訓練日期,20190806 - 20191105
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11123608.359999999403954
真實報酬,1123608.359999999403954

夏普值報酬,0.103660836000000
夏普值風險,0.029780150938896
夏普值,3.480870067203319

預期報酬,17473.547874766456516
風險,114809.102338034004788
趨勢值,0.152196537721538
找到最佳解世代,63
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](1),CAT[3](15),HD[9](5),JNJ[12](19),JPM[13](9),MRK[17](18),MSFT[18](7),NKE[19](3),PG[21](10),UNH[23](29),VZ[26](2),WMT[28](4),
20191016,1010172.300000000046566,891832.000000000000000,959216.359999999986030,865407.020000000018626,910219.550000000046566,846666.250000000000000,885017.599999999976717,1001215.320000000065193,866125.050000000046566,805895.000000000000000,909844.369999999995343,940433.000000000000000,10892047.819999998435378
20191017,1014094.400000000023283,904710.000000000000000,962753.780000000027940,871809.020000000018626,915314.900000000023283,840150.000000000000000,880479.439999999944121,1008390.680000000051223,859492.949999999953434,828607.000000000000000,911655.289999999920838,943740.500000000000000,10941201.959999997168779
20191018,1018964.699999999953434,895394.000000000000000,967470.339999999967404,817584.080000000074506,916911.950000000069849,848972.000000000116415,866108.599999999976717,1014088.760000000009313,865682.909999999916181,834285.000000000000000,921313.529999999911524,938228.000000000000000,10905007.869999999180436
20191021,1036635.699999999953434,905805.999999999883585,962469.159999999916181,819632.720000000088476,939650.900000000023283,847368.000000000000000,872537.660000000032596,1015355.000000000000000,877547.000000000000000,829457.000000000000000,916786.229999999981374,942953.000000000000000,10966202.370000001043081
20191022,1034265.199999999953434,915807.000000000000000,964502.159999999916181,827187.079999999958090,949081.100000000093132,815087.500000000000000,859553.479999999981374,1008812.760000000009313,900390.900000000023283,848361.000000000000000,917088.050000000046566,941693.000000000000000,10981833.230000000447035
20191023,1048143.400000000023283,927109.500000000000000,954215.179999999934807,831668.480000000097789,951590.750000000000000,830826.750000000000000,865037.090000000083819,974202.199999999953434,906433.479999999981374,842649.000000000000000,918748.060000000055879,939881.750000000000000,10990509.640000000596046
20191024,1049867.399999999906868,916903.000000000000000,951043.699999999953434,816303.680000000051223,950906.300000000046566,827919.500000000000000,882055.189999999944121,965549.560000000055879,919623.989999999990687,831463.000000000000000,914220.760000000009313,937913.000000000000000,10963773.080000000074506
20191025,1062797.399999999906868,957180.999999999883585,953036.039999999920838,821745.380000000004657,958511.300000000046566,824711.500000000000000,887034.559999999939464,959429.400000000023283,908275.729999999981374,832823.000000000000000,911051.649999999906868,937440.500000000000000,11014041.460000000894070
20191028,1073443.100000000093132,959441.500000000000000,962875.760000000009313,827059.040000000037253,962161.700000000069849,824110.000000000000000,908842.939999999944121,958690.760000000009313,909970.599999999976717,840099.000000000000000,908184.359999999986030,938858.000000000000000,11073740.759999999776483
20191029,1048617.500000000000000,968141.000000000116415,952060.199999999953434,826674.920000000041910,961553.300000000046566,853182.500000000000000,900270.860000000102445,942124.120000000111759,910854.879999999888241,857915.000000000000000,908335.269999999902211,922556.750000000000000,11052290.300000000745058
20191030,1048488.199999999953434,961359.500000000000000,960598.800000000046566,850490.360000000102445,956229.800000000046566,864410.500000000000000,911490.200000000069849,951726.440000000060536,920729.339999999967404,866449.000000000000000,917842.599999999976717,930038.000000000000000,11139856.740000000223517
20191031,1072193.199999999720603,943960.500000000116415,953849.239999999990687,845368.760000000009313,950069.750000000000000,868821.500000000000000,903674.479999999981374,944973.160000000032596,917560.670000000041910,859309.000000000000000,912560.750000000000000,923423.000000000000000,11095768.009999999776483
20191101,1102621.799999999813735,989787.000000000116415,965071.400000000023283,839991.079999999958090,971972.150000000023283,851578.500000000000000,905880.530000000027940,941068.920000000158325,912844.510000000009313,857643.000000000000000,911051.649999999906868,926258.000000000000000,11175772.540000000968575
20191104,1109862.600000000093132,1006432.499999999883585,955231.679999999934807,833781.140000000013970,979729.250000000000000,841152.500000000000000,911112.020000000018626,948244.280000000027940,877473.309999999939464,854379.000000000000000,903506.149999999906868,925864.250000000000000,11146772.679999999701977
20191105,1108267.899999999906868,1002665.000000000000000,944172.159999999916181,834997.520000000018626,981858.650000000023283,831328.000000000000000,910544.750000000000000,948455.320000000065193,876220.580000000074506,851149.000000000000000,897922.479999999981374,936023.000000000000000,11123608.359999999403954
