訓練日期,20140716 - 20141015
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9941439.480000000447035
真實報酬,-58560.519999999552965

夏普值報酬,-0.014556052000000
夏普值風險,0.017079646628372
夏普值,-0.852245501134685

預期報酬,6051.093496183198113
風險,150493.765668897394789
趨勢值,0.040208266895894
找到最佳解世代,23
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](4),GS[8](2),HD[9](1),IBM[10](12),INTC[11](7),JNJ[12](13),MSFT[18](3),NKE[19](5),PG[21](6),WBA[27](30),XOM[29](23),
20140724,925398.270000000018626,947184.570000000065193,924343.219999999972060,941645.250000000000000,981906.719999999972060,899583.839999999967404,950849.249999999883585,915613.439999999827705,897903.000000000000000,928010.019999999902211,925869.419999999925494,10238317.000000000000000
20140725,931501.950000000069849,942563.790000000153668,922408.109999999986030,937593.930000000051223,981906.719999999972060,898791.659999999916181,952990.749999999883585,905362.319999999948777,890072.099999999860302,930676.599999999976717,916103.619999999995343,10209981.549999998882413
20140728,944376.900000000023283,945518.940000000060536,922863.429999999934807,944249.670000000041910,981333.359999999869615,898791.659999999916181,941640.799999999813735,913283.640000000013970,886716.000000000000000,907312.280000000027940,926668.439999999944121,10212765.119999999180436
20140729,938273.219999999972060,943316.010000000009313,921838.960000000079162,938413.839999999967404,980186.639999999897555,897471.359999999869615,939927.599999999860302,909788.939999999827705,879891.929999999934807,890931.859999999869615,919388.479999999981374,10159438.839999997988343
20140730,936079.710000000079162,944498.070000000065193,930717.700000000069849,935664.729999999981374,984773.520000000018626,900464.039999999920838,933288.949999999837019,927495.419999999925494,874410.299999999813735,900201.399999999906868,916725.079999999958090,10184328.919999999925494
20140731,911760.359999999986030,928970.100000000093132,920359.169999999925494,924427.139999999897555,971586.239999999990687,881011.619999999995343,924294.649999999790452,898605.899999999906868,865013.219999999855645,873281.639999999897555,878460.899999999906868,9977780.939999999478459
20140801,916814.969999999972060,914892.840000000083819,907837.869999999995343,912273.180000000051223,967286.040000000037253,879339.239999999990687,917870.149999999906868,894412.259999999892898,891078.929999999934807,895630.119999999995343,877217.979999999981374,9974663.580000000074506
20140804,911664.990000000107102,922629.960000000079162,911025.109999999986030,914636.449999999953434,976173.119999999878928,881627.759999999892898,928791.799999999813735,898838.879999999888241,886268.519999999902211,915692.959999999962747,889025.719999999972060,10036385.269999999552965
20140805,907182.600000000093132,910433.250000000000000,911025.109999999986030,902386.029999999911524,940911.479999999981374,878635.079999999841675,922581.449999999837019,896043.119999999995343,888394.049999999813735,877725.939999999944121,871891.179999999934807,9907219.289999999105930
20140806,905656.679999999934807,912152.610000000102445,916602.779999999911524,896936.039999999920838,941771.520000000018626,886468.859999999869615,915300.349999999976717,898605.899999999906868,907188.209999999962747,751888.759999999892898,878816.020000000018626,9811397.730000000447035
20140807,901078.920000000041910,908713.890000000013970,916033.630000000004657,888881.630000000004657,936897.959999999962747,879603.300000000046566,925793.699999999837019,889286.699999999953434,896560.559999999939464,772967.439999999944121,872512.639999999897555,9788340.369999999180436
20140808,903558.540000000037253,925692.570000000065193,938344.310000000055879,900119.219999999972060,934604.520000000018626,889725.599999999976717,925151.250000000000000,897673.979999999981374,905622.029999999911524,770808.780000000027940,885563.299999999930151,9876874.100000001490116
20140811,915479.790000000037253,926767.170000000158325,943466.659999999916181,904170.539999999920838,946645.080000000074506,890429.759999999892898,925151.250000000000000,897673.979999999981374,911551.139999999897555,787189.199999999953434,876596.520000000018626,9925131.089999999850988
20140812,915289.050000000046566,926068.680000000167638,943921.979999999981374,903543.550000000046566,949798.560000000055879,885764.699999999953434,932004.049999999930151,893946.299999999813735,910879.919999999925494,789347.859999999869615,874465.799999999930151,9925040.450000001117587
20140813,927401.040000000037253,926283.600000000093132,946198.580000000074506,906485.579999999958090,977606.520000000018626,895534.919999999925494,943996.449999999837019,900003.780000000027940,911551.139999999897555,793030.280000000027940,879792.599999999976717,10007894.490000000223517
20140814,929880.660000000032596,928217.880000000004657,954622.000000000000000,906147.969999999972060,973019.639999999897555,897999.479999999864958,948065.299999999930151,900469.739999999874271,916809.029999999911524,790490.679999999934807,879792.599999999976717,10025524.979999998584390
20140815,934458.420000000041910,923758.290000000153668,952686.890000000013970,903736.469999999972060,979613.280000000027940,890517.779999999911524,959201.099999999860302,898605.899999999906868,914907.239999999874271,784141.679999999934807,879259.919999999925494,10020896.970000000670552
20140818,945712.079999999958090,937996.740000000107102,951548.590000000083819,913286.010000000009313,986493.599999999860302,903984.839999999967404,966053.899999999906868,915147.479999999981374,922290.659999999916181,788205.039999999920838,883610.139999999897555,10114339.080000000074506
20140819,958777.770000000018626,934826.670000000158325,1004365.710000000079162,916710.339999999967404,984486.840000000083819,906273.359999999869615,970765.199999999837019,914681.519999999902211,925087.409999999916181,789220.879999999888241,883343.799999999930151,10188549.500000000000000
20140820,959159.250000000000000,935202.780000000144355,1033050.869999999995343,916855.029999999911524,989073.719999999972060,908473.859999999869615,962627.500000000000000,919341.119999999995343,926429.849999999860302,787316.179999999934807,885208.179999999934807,10222748.339999999850988
20140821,959254.619999999995343,941220.540000000153668,1037604.070000000065193,922305.019999999902211,1007707.919999999925494,917099.819999999948777,968409.549999999813735,919574.099999999860302,931687.739999999874271,775507.039999999920838,881479.419999999925494,10261859.839999997988343
20140822,966312.000000000000000,942939.900000000023283,1036238.109999999986030,918350.159999999916181,1001687.639999999897555,907505.639999999897555,966910.499999999883585,923767.739999999874271,932918.309999999939464,775253.079999999841675,874554.579999999958090,10246447.660000000149012
20140825,968410.140000000130385,955835.100000000093132,1038173.219999999972060,921967.409999999916181,997960.800000000046566,908649.900000000023283,967338.799999999930151,932155.019999999902211,934596.359999999986030,771951.599999999976717,876774.079999999958090,10273822.429999999701977
20140826,962211.090000000083819,955996.290000000153668,1043067.909999999916181,930793.500000000000000,997674.119999999878928,910498.319999999948777,963912.399999999790452,925864.559999999939464,932806.439999999827705,773729.319999999948777,884675.500000000000000,10281239.449999999254942
20140827,974036.969999999972060,955512.720000000088476,1045799.830000000074506,927224.479999999981374,997387.439999999944121,908561.879999999888241,960914.299999999813735,928660.319999999948777,932023.349999999860302,768650.119999999995343,883698.919999999925494,10282480.329999998211861
20140828,975181.410000000032596,954653.040000000153668,1053084.950000000186265,926018.729999999981374,993373.919999999925494,906185.339999999967404,961128.449999999953434,918176.219999999855645,928890.989999999874271,767888.239999999874271,884054.039999999920838,10268645.330000000074506
20140829,977565.660000000032596,962497.620000000111759,1064354.120000000111759,927465.630000000004657,1001114.280000000027940,913050.900000000023283,972906.699999999837019,915147.479999999981374,929785.949999999837019,768523.140000000013970,883077.459999999846332,10315498.939999999478459
20140902,985195.260000000009313,966043.800000000162981,1037604.070000000065193,923896.609999999986030,991080.479999999981374,909794.159999999916181,965625.599999999976717,923534.759999999892898,928331.639999999897555,762047.159999999916181,874465.799999999930151,10267629.339999999850988
20140903,943613.940000000060536,965130.390000000013970,1013130.619999999995343,925777.579999999958090,991080.479999999981374,913314.959999999962747,962841.649999999906868,918176.219999999855645,927436.679999999934807,764713.739999999874271,879970.159999999916181,10205196.419999999925494
20140904,935793.600000000093132,967709.430000000167638,1023716.810000000055879,919652.369999999995343,1000827.599999999860302,914019.119999999995343,969266.149999999790452,930990.119999999995343,936386.279999999911524,793157.259999999892898,873311.659999999916181,10264840.400000000372529
20140905,943900.050000000046566,965936.340000000083819,1042840.250000000000000,922160.329999999958090,1003407.719999999972060,919124.279999999911524,983185.899999999790452,955686.000000000000000,937169.369999999878928,812077.280000000027940,881301.859999999986030,10366799.379999998956919
20140908,938082.479999999981374,967870.620000000111759,1033847.679999999934807,917047.949999999953434,1012868.159999999916181,915867.539999999920838,995178.299999999813735,959879.640000000013970,932135.219999999855645,799506.259999999892898,868073.639999999897555,10340367.490000000223517
20140909,934553.790000000037253,953309.790000000153668,1012333.810000000055879,916324.500000000000000,1000827.599999999860302,913667.039999999920838,1001388.649999999790452,953356.199999999953434,928443.509999999776483,795061.959999999962747,864700.000000000000000,10273976.850000001490116
20140910,963260.160000000032596,966581.100000000093132,1015976.369999999995343,923800.149999999906868,1003981.080000000074506,924141.419999999925494,1003101.849999999976717,960811.559999999939464,935715.059999999939464,804077.539999999920838,859550.760000000009313,10361007.049999998882413
20140911,967361.070000000065193,972652.590000000083819,1015634.880000000004657,924668.289999999920838,1003981.080000000074506,920268.539999999920838,1006528.249999999883585,953123.219999999855645,934037.009999999776483,805601.299999999930151,861503.919999999925494,10365370.150000000372529
20140912,969554.579999999958090,984312.000000000000000,1011309.340000000083819,922546.170000000041910,992513.879999999888241,920532.599999999976717,1000103.750000000000000,953356.199999999953434,931464.000000000000000,797728.539999999920838,850406.419999999925494,10333837.479999998584390
20140915,969268.469999999972060,988664.130000000004657,1017456.159999999916181,925102.359999999986030,990220.439999999944121,921764.879999999888241,990252.849999999976717,950793.419999999925494,938288.069999999948777,796458.739999999874271,854934.200000000069849,10343213.719999998807907
20140916,961924.979999999981374,988986.510000000009313,1027587.029999999911524,930648.810000000055879,1001400.959999999962747,931975.199999999953434,1001388.649999999790452,945900.839999999967404,940637.339999999850988,808140.899999999906868,865055.119999999995343,10403656.339999999850988
20140917,968791.619999999995343,993177.450000000069849,1038400.880000000004657,929877.130000000004657,1002834.359999999869615,934703.819999999948777,996249.049999999930151,949628.519999999902211,941532.299999999813735,809283.719999999855645,861947.819999999948777,10426436.669999999925494
20140918,970794.390000000130385,1009672.560000000055879,1048304.090000000083819,934458.979999999981374,1008281.280000000027940,944914.139999999897555,999675.449999999837019,954987.059999999939464,941867.909999999916181,802299.819999999948777,857775.159999999916181,10473040.839999999850988
20140919,962878.679999999934807,1000592.190000000060536,1051149.839999999850988,935664.729999999981374,998247.479999999981374,950547.419999999925494,1017664.049999999930151,953123.219999999855645,945000.269999999902211,798490.419999999925494,862302.939999999944121,10475671.239999998360872
20140922,963832.380000000004657,995702.760000000009313,1046027.489999999990687,931372.260000000009313,995094.000000000000000,949579.199999999953434,1007813.149999999906868,940076.339999999967404,948803.849999999860302,767253.339999999967404,857153.700000000069849,10402718.469999998807907
20140923,978900.840000000083819,994628.160000000149012,1041474.289999999920838,924185.989999999990687,986780.280000000027940,945882.359999999869615,997105.649999999906868,933319.919999999925494,944664.659999999916181,775887.979999999981374,852625.919999999925494,10375466.050000000745058
20140924,970412.910000000032596,1009242.720000000088476,1058890.279999999795109,927513.859999999986030,996240.719999999972060,956268.719999999972060,1008241.449999999837019,941707.199999999953434,953614.259999999776483,781221.140000000013970,850761.539999999920838,10454124.800000000745058
20140925,933409.350000000093132,989255.160000000149012,1046141.320000000065193,911597.959999999962747,978753.239999999990687,942713.639999999897555,985969.849999999860302,929126.280000000027940,943434.089999999850988,768142.199999999953434,836823.079999999958090,10265376.169999999925494
20140926,960875.910000000032596,994789.350000000093132,1056841.339999999850988,916662.109999999986030,982193.399999999906868,942713.639999999897555,993893.399999999790452,1042587.539999999920838,946230.839999999850988,764205.819999999948777,847299.119999999995343,10448302.469999996945262
20140929,954772.229999999981374,987858.180000000167638,1057296.660000000149012,914636.449999999953434,1000540.919999999925494,937784.520000000018626,994535.849999999860302,1038160.919999999925494,944664.659999999916181,756840.979999999981374,838421.119999999995343,10425522.490000000223517
20140930,960875.910000000032596,986461.200000000069849,1044320.039999999920838,915552.820000000065193,998247.479999999981374,938224.619999999995343,992822.649999999906868,1039092.839999999967404,936833.759999999776483,752650.640000000013970,835047.479999999981374,10400139.439999999478459
20141001,945902.820000000065193,971040.690000000060536,1036124.279999999911524,902723.639999999897555,974453.040000000037253,918068.039999999920838,982971.749999999883585,1021619.339999999967404,930121.559999999939464,749730.099999999976717,824482.659999999916181,10257247.919999999925494
20141002,952769.460000000079162,982753.830000000074506,1050011.540000000037253,901469.659999999916181,960979.080000000074506,914107.139999999897555,979973.649999999790452,1040257.739999999874271,929114.729999999864958,758872.659999999916181,828388.979999999981374,10298708.470000000670552
20141003,950099.100000000093132,1010639.700000000069849,1064809.439999999944121,909958.139999999897555,975599.760000000009313,925373.699999999953434,987040.599999999976717,1051906.739999999757856,937393.109999999986030,771697.640000000013970,833893.339999999967404,10418421.269999999552965
20141006,950099.100000000093132,1007469.630000000004657,1061622.200000000186265,911742.649999999906868,977893.199999999953434,922997.159999999916181,987040.599999999976717,1039325.819999999948777,934931.969999999855645,770173.879999999888241,839220.139999999897555,10402526.350000001490116
20141007,941801.910000000032596,987696.990000000107102,1052629.629999999888241,895682.060000000055879,959545.679999999934807,901256.219999999972060,975048.199999999953434,1026045.959999999846332,930345.299999999813735,759888.500000000000000,829010.439999999944121,10258960.889999998733401
20141008,961352.760000000009313,1002956.310000000055879,1071070.089999999850988,913286.010000000009313,982480.080000000074506,923437.259999999892898,1001816.949999999953434,1034899.199999999953434,941756.039999999920838,780459.259999999892898,840019.159999999916181,10453543.119999999180436
20141009,963450.900000000023283,974103.300000000162981,1059459.429999999701977,899106.389999999897555,963845.879999999888241,898527.599999999976717,981900.999999999883585,1016260.799999999813735,935938.799999999813735,781602.079999999841675,815249.539999999920838,10289455.719999996945262
20141010,960685.170000000041910,969321.330000000074506,1053540.270000000018626,896743.119999999995343,914823.599999999976717,891045.900000000023283,942925.699999999953434,1015794.839999999967404,947461.409999999916181,799887.199999999953434,813296.379999999888241,10205534.919999998062849
20141013,951911.130000000004657,960670.800000000162981,1031343.419999999925494,885119.690000000060536,902209.679999999934807,872473.679999999934807,934787.999999999883585,994826.640000000013970,932694.569999999948777,770681.799999999930151,806549.099999999976717,10043278.509999999776483
20141014,941801.910000000032596,960294.690000000060536,1025651.919999999925494,886470.130000000004657,921417.239999999990687,853901.459999999962747,936501.199999999837019,991331.939999999827705,934708.229999999864958,770681.799999999930151,803974.479999999981374,10026745.000000000000000
20141015,930262.140000000130385,952450.110000000102445,1000040.169999999925494,876582.979999999981374,896762.760000000009313,864463.859999999869615,925579.549999999813735,992263.859999999986030,927996.029999999911524,773983.280000000027940,801044.739999999990687,9941439.480000000447035
