訓練日期,20110620 - 20110920
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10604851.300000002607703
真實報酬,604851.300000002607703

夏普值報酬,0.051785130000000
夏普值風險,0.036982503565338
夏普值,1.400260258435742

預期報酬,6227.600629263864903
風險,451782.430791240360122
趨勢值,0.013784512643303
找到最佳解世代,46
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](1),AXP[1](10),BA[2](25),CSCO[4](6),CVX[5](11),IBM[10](8),INTC[11](14),MSFT[18](5),NKE[19](7),VZ[26](9),
20110726,1259661.160000000149012,1063297.260000000009313,946064.000000000000000,1088176.000000000000000,1084697.199999999720603,1112437.689999999944121,1080698.319999999832362,1157460.399999999906868,1113410.699999999953434,1021683.970000000088476,10927586.699999999254942
20110727,1225782.810000000055879,1040823.639999999897555,952401.479999999981374,1048096.000000000000000,1065136.180000000167638,1102829.709999999962747,1063237.279999999795109,1126545.399999999906868,1093687.099999999860302,1019712.700000000069849,10738252.299999998882413
20110728,1223378.540000000037253,1042266.899999999906868,952806.000000000000000,1069472.000000000000000,1059086.379999999888241,1105566.160000000149012,1064181.120000000111759,1142621.199999999720603,1115383.060000000055879,1004224.149999999906868,10778985.509999999776483
20110729,1219225.709999999962747,1031751.719999999972060,950244.040000000037253,1066800.000000000000000,1048902.549999999813735,1105870.209999999962747,1053798.879999999888241,1129430.799999999813735,1111438.339999999850988,993804.579999999958090,10711266.830000000074506
20110801,1238897.010000000009313,1031339.360000000102445,948356.280000000027940,1057448.000000000000000,1062615.430000000167638,1099181.109999999869615,1049551.599999999627471,1124072.199999999720603,1101576.540000000037253,1010137.959999999962747,10723175.489999998360872
20110802,1214417.170000000158325,1000412.360000000102445,912893.360000000102445,1032732.000000000000000,1043155.239999999990687,1082762.410000000149012,1025011.759999999892898,1104698.799999999813735,1049309.000000000000000,999436.780000000027940,10464828.880000000819564
20110803,1225782.810000000055879,1007422.479999999981374,908039.120000000111759,1034736.000000000000000,1036197.970000000088476,1087505.589999999850988,1029259.039999999804422,1109645.200000000186265,1073470.409999999916181,1012954.059999999939464,10525012.680000001564622
20110804,1178353.119999999878928,965774.120000000111759,850732.120000000111759,989980.000000000000000,976506.610000000102445,1042810.239999999874271,983954.719999999972060,1069249.600000000093132,1005423.989999999990687,983385.010000000009313,10046169.530000001192093
20110805,1166550.339999999850988,973402.780000000027940,846147.560000000055879,997996.000000000000000,984270.520000000018626,1051931.739999999757856,981123.199999999837019,1058532.399999999906868,1034023.209999999962747,987045.939999999944121,10081023.689999999478459
20110808,1102946.469999999972060,887425.719999999972060,791672.200000000069849,931196.000000000000000,910059.640000000013970,1010824.179999999934807,949032.639999999897555,1009068.399999999906868,976331.680000000051223,932695.209999999962747,9501252.140000000596046
20110809,1167861.760000000009313,950516.800000000046566,840619.120000000111759,939212.000000000000000,941821.090000000083819,1037519.770000000018626,972156.719999999972060,1054410.399999999906868,1017258.149999999906868,965643.579999999958090,9887019.390000000596046
20110810,1135731.969999999972060,882477.399999999906868,774143.000000000000000,917168.000000000000000,913286.199999999953434,988446.099999999976717,940538.079999999841675,997526.799999999930151,977810.949999999953434,947902.149999999906868,9475030.650000000372529
20110811,1166987.479999999981374,929280.260000000009313,793559.960000000079162,1063460.000000000000000,948576.699999999953434,1013925.489999999874271,979707.439999999944121,1038334.599999999976717,1026133.769999999902211,974936.709999999962747,9934902.410000000149012
20110812,1177260.270000000018626,925569.020000000018626,832663.560000000055879,1068136.000000000000000,966625.270000000018626,1022864.559999999939464,974516.319999999832362,1034624.800000000046566,1038461.019999999902211,965925.189999999944121,10006646.009999999776483
20110815,1197150.140000000130385,944743.760000000009313,845473.360000000102445,1070808.000000000000000,999294.189999999944121,1051992.549999999813735,985842.399999999906868,1051525.000000000000000,1049309.000000000000000,987045.939999999944121,10183184.339999999850988
20110816,1187970.199999999953434,925569.020000000018626,839135.880000000004657,1068804.000000000000000,989614.510000000009313,1041350.800000000046566,981123.199999999837019,1044929.800000000046566,1026133.769999999902211,982258.570000000065193,10086889.750000000000000
20110817,1187970.199999999953434,945568.479999999981374,838461.680000000051223,1058784.000000000000000,984976.330000000074506,1042810.239999999874271,975460.160000000032596,1040807.799999999930151,1017751.239999999990687,1002816.099999999976717,10095406.229999998584390
20110818,1142944.780000000027940,912992.040000000037253,794638.680000000051223,1002672.000000000000000,940207.809999999939464,996290.590000000083819,932987.359999999869615,1016900.199999999953434,985207.300000000046566,987609.160000000032596,9712449.919999999925494
20110819,1111689.270000000018626,916909.459999999962747,775895.920000000041910,1007348.000000000000000,940711.960000000079162,958041.099999999976717,905616.000000000000000,991343.799999999930151,968935.329999999958090,977471.200000000069849,9553962.039999999105930
20110822,1113000.689999999944121,919589.800000000046566,787222.480000000097789,1002672.000000000000000,940812.790000000037253,966797.739999999874271,914582.479999999864958,988458.399999999906868,976824.769999999902211,980568.910000000032596,9590530.059999998658895
20110823,1166550.339999999850988,957114.560000000055879,819449.240000000107102,1031396.000000000000000,981447.280000000027940,999270.279999999911524,930155.839999999967404,1018961.199999999837019,1030571.579999999958090,1012672.450000000069849,9947588.769999999552965
20110824,1174637.429999999934807,991340.439999999944121,831854.520000000018626,1032732.000000000000000,984068.860000000102445,1014107.919999999925494,934403.119999999878928,1026380.799999999813735,1057691.530000000027940,1027034.559999999939464,10074251.179999999701977
20110825,1166987.479999999981374,991546.620000000111759,823898.960000000079162,1007348.000000000000000,967633.569999999948777,1006932.340000000083819,916470.160000000032596,1012778.199999999953434,1032543.940000000060536,1007321.860000000102445,9933461.129999998956919
20110826,1197805.849999999860302,999587.639999999897555,846821.760000000009313,1023380.000000000000000,976607.439999999944121,1028580.699999999953434,932987.359999999869615,1040807.799999999930151,1063608.610000000102445,1007040.250000000000000,10117227.410000000149012
20110829,1217695.719999999972060,1001030.899999999906868,871092.959999999962747,1051436.000000000000000,995664.309999999939464,1049742.580000000074506,957999.119999999878928,1065127.600000000093132,1091714.739999999990687,1017741.430000000051223,10319245.359999999403954
20110830,1217695.719999999972060,1003298.879999999888241,890375.080000000074506,1044088.000000000000000,992236.090000000083819,1049073.669999999925494,955167.599999999860302,1081203.399999999906868,1064594.790000000037253,1022528.800000000046566,10320262.030000001192093
20110831,1201740.109999999869615,1024947.780000000027940,901566.800000000046566,1046760.000000000000000,996672.610000000102445,1045425.069999999948777,949976.479999999864958,1096454.799999999813735,1068046.419999999925494,1018586.260000000009313,10350176.330000000074506
20110901,1189718.760000000009313,1020618.000000000000000,890644.760000000009313,1056780.000000000000000,993446.049999999930151,1035817.090000000083819,943369.599999999860302,1080379.000000000000000,1067060.239999999990687,1010419.570000000065193,10288253.069999998435378
20110902,1168080.329999999841675,1000206.179999999934807,863407.080000000074506,1029392.000000000000000,972170.919999999925494,1015445.739999999874271,926852.399999999906868,1063478.799999999813735,1035995.570000000065193,1001408.050000000046566,10076437.070000000298023
20110906,1185784.500000000000000,990928.080000000074506,846417.240000000107102,1020708.000000000000000,964104.520000000018626,1004074.270000000018626,922133.199999999837019,1051525.000000000000000,1032543.940000000060536,991833.309999999939464,10010052.060000000521541
20110907,1198898.699999999953434,1030514.639999999897555,875138.160000000149012,1060788.000000000000000,1001209.960000000079162,1017452.469999999972060,947616.879999999771826,1071722.799999999813735,1066567.149999999906868,1003097.709999999962747,10273006.469999998807907
20110908,1199554.410000000149012,1021236.540000000037253,846956.600000000093132,1088176.000000000000000,992336.919999999925494,1004925.609999999986030,939122.319999999832362,1080791.199999999720603,1051774.449999999953434,996339.070000000065193,10221213.119999999180436
20110909,1178790.260000000009313,974846.040000000037253,833202.920000000041910,1056780.000000000000000,959869.660000000032596,981331.329999999958090,929683.919999999925494,1061005.600000000093132,1017258.149999999906868,992396.530000000027940,9985164.410000000149012
20110912,1186440.209999999962747,978557.280000000027940,841293.320000000065193,1074816.000000000000000,967129.419999999925494,987716.379999999888241,957055.279999999911524,1067188.600000000093132,1039940.289999999920838,992678.140000000013970,10092814.919999999925494
20110913,1201084.400000000139698,987629.199999999953434,847495.960000000079162,1092184.000000000000000,967331.080000000074506,993858.190000000060536,979707.439999999944121,1073371.600000000093132,1058184.620000000111759,999718.390000000013970,10200564.880000002682209
20110914,1215510.020000000018626,1010102.820000000065193,849923.080000000074506,1090848.000000000000000,981245.619999999995343,1017026.800000000046566,996696.559999999939464,1092332.799999999813735,1078401.310000000055879,1002534.490000000107102,10334621.500000000000000
20110915,1227094.229999999981374,1017731.479999999981374,867317.439999999944121,1113560.000000000000000,1000907.470000000088476,1034357.650000000023283,1016517.199999999837019,1112530.600000000093132,1085304.570000000065193,1019149.479999999981374,10494470.120000001043081
20110916,1250481.219999999972060,1033401.159999999916181,881610.479999999981374,1110220.000000000000000,1004638.179999999934807,1051992.549999999813735,1036809.759999999892898,1117889.200000000186265,1106507.439999999944121,1034074.809999999939464,10627624.799999998882413
20110919,1285233.849999999860302,1003711.239999999990687,865025.160000000149012,1102872.000000000000000,995361.819999999948777,1052843.890000000130385,1034922.079999999841675,1121599.000000000000000,1111931.429999999934807,1021683.970000000088476,10595184.440000001341105
20110920,1290916.670000000158325,1015875.860000000102445,857069.600000000093132,1104208.000000000000000,986085.460000000079162,1062512.680000000167638,1047663.919999999925494,1112118.399999999906868,1103055.810000000055879,1025344.899999999906868,10604851.300000002607703
