訓練日期,20160224 - 20160525
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10913032.429999999701977
真實報酬,913032.429999999701977

夏普值報酬,0.082603243000000
夏普值風險,0.025053631651956
夏普值,3.297056656197421

預期報酬,16328.843861527784611
風險,131518.598868126515299
趨勢值,0.124156157395660
找到最佳解世代,96
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](4),DIS[6](18),DD[7](13),JNJ[12](1),MCD[15](9),MMM[16](6),PFE[20](10),PG[21](29),UNH[23](5),WMT[28](24),XOM[29](2),
20160310,969131.800000000046566,924911.460000000195578,950805.159999999916181,935816.040000000037253,933040.079999999958090,930744.119999999995343,897863.089999999967404,914312.640000000013970,916142.819999999948777,921806.819999999948777,919721.450000000069849,10214305.479999998584390
20160311,980843.250000000116415,933489.360000000102445,979611.719999999972060,940794.419999999925494,945248.399999999906868,942327.910000000032596,925475.219999999972060,908423.280000000027940,938726.849999999860302,918525.060000000055879,919833.359999999869615,10333308.830000000074506
20160314,982657.700000000069849,941781.330000000074506,972953.599999999860302,940357.719999999972060,955746.000000000000000,941920.440000000060536,913338.020000000018626,901978.320000000065193,939627.209999999962747,921123.119999999995343,922295.379999999888241,10333788.839999999850988
20160315,977049.400000000023283,936348.660000000032596,971323.040000000037253,941231.120000000111759,959867.280000000027940,945413.040000000037253,896345.939999999944121,903534.000000000000000,936851.099999999860302,931105.140000000013970,926883.689999999827705,10325962.410000000149012
20160316,984802.050000000046566,938254.860000000102445,980291.119999999995343,938174.219999999972060,960567.119999999995343,948207.119999999995343,881174.439999999944121,903867.360000000102445,937226.250000000000000,929737.739999999874271,927443.239999999990687,10329755.519999999552965
20160317,991070.150000000023283,949310.820000000065193,994694.400000000023283,932322.439999999944121,957767.759999999892898,953213.180000000051223,890277.339999999967404,919535.280000000027940,934450.139999999897555,922353.780000000027940,941208.169999999925494,10386213.459999999031425
20160318,1009874.450000000069849,945498.420000000158325,999721.959999999846332,938960.280000000027940,964921.679999999934807,962410.360000000102445,893615.069999999948777,923980.080000000074506,950881.709999999962747,915516.780000000027940,942327.270000000018626,10447718.060000000521541
20160321,1009709.500000000116415,938445.479999999981374,997412.000000000000000,937038.800000000046566,962822.160000000032596,959558.070000000065193,912427.729999999981374,925869.119999999995343,951031.769999999902211,929464.260000000009313,935836.489999999990687,10459625.380000000819564
20160322,999812.500000000000000,930058.200000000069849,991705.040000000037253,937912.199999999953434,962899.919999999925494,959965.540000000037253,921834.059999999939464,919424.159999999916181,960635.609999999986030,928096.859999999986030,941431.989999999990687,10453786.080000000074506
20160323,1000142.400000000139698,922909.950000000069849,990482.119999999995343,947694.280000000027940,965777.039999999920838,956240.100000000093132,916068.890000000013970,920313.119999999995343,973915.919999999925494,922490.519999999902211,937291.319999999948777,10453335.660000000149012
20160324,997503.200000000069849,926627.040000000037253,993063.839999999850988,946034.820000000065193,958778.640000000013970,957346.090000000083819,912731.159999999916181,921090.960000000079162,964912.319999999948777,929874.479999999981374,939865.250000000000000,10447837.800000000745058
20160328,994369.150000000023283,934919.010000000125729,997819.640000000013970,945336.100000000093132,957845.520000000018626,967940.310000000055879,903628.260000000009313,918090.720000000088476,967388.309999999823049,931515.359999999986030,942551.089999999967404,10461413.469999998807907
20160329,999647.550000000046566,935586.180000000051223,989259.199999999837019,953284.040000000037253,964066.319999999948777,956938.619999999995343,911820.869999999995343,920090.880000000004657,974216.040000000037253,930284.699999999953434,946020.299999999930151,10481224.699999999254942
20160330,994534.099999999976717,942734.430000000051223,996189.079999999958090,951886.600000000093132,978529.679999999934807,970676.180000000051223,912427.729999999981374,918757.440000000060536,973090.589999999967404,940813.679999999934807,945908.389999999897555,10525557.900000000372529
20160331,1012843.550000000046566,946546.830000000074506,984231.640000000013970,945074.080000000074506,977363.280000000027940,969977.660000000032596,899380.239999999990687,914646.000000000000000,967238.250000000000000,936574.739999999874271,935500.760000000009313,10489387.030000001192093
20160401,1007895.050000000046566,944259.390000000013970,989666.839999999850988,953720.739999999990687,987783.119999999995343,975216.560000000055879,911517.439999999944121,928202.640000000013970,974891.309999999823049,944368.920000000041910,928450.429999999934807,10545982.439999997615814
20160404,999977.449999999953434,940542.300000000162981,988308.040000000037253,948480.340000000083819,992059.919999999925494,968638.830000000074506,932150.679999999934807,924646.799999999930151,971665.020000000018626,944915.879999999888241,930688.629999999888241,10542083.889999996870756
20160405,992884.599999999976717,924530.220000000088476,981921.680000000051223,951624.580000000074506,990582.479999999981374,965204.440000000060536,951570.199999999953434,924091.199999999953434,953282.669999999925494,938625.839999999967404,920057.179999999934807,10494385.089999999850988
20160406,987771.150000000139698,929105.100000000093132,985590.439999999944121,955729.560000000055879,991671.119999999995343,971025.440000000060536,999208.709999999962747,931314.000000000000000,960710.639999999897555,944095.440000000060536,932367.280000000027940,10588598.879999998956919
20160407,970946.250000000000000,916524.180000000051223,976078.839999999850988,954419.459999999962747,996492.239999999874271,973062.790000000037253,994050.399999999906868,924980.159999999916181,952007.159999999916181,932882.760000000009313,921847.739999999990687,10513301.980000000447035
20160408,981503.050000000046566,919002.240000000107102,982465.199999999837019,952934.679999999934807,995092.559999999939464,969977.660000000032596,986161.219999999972060,924535.680000000051223,943078.589999999967404,930694.920000000041910,931248.179999999934807,10516703.979999998584390
20160411,986451.550000000046566,917572.590000000083819,982329.320000000065193,951799.260000000009313,991982.160000000032596,969744.820000000065193,967651.989999999990687,919313.040000000037253,947955.539999999920838,921670.080000000074506,932479.189999999827705,10488959.539999999105930
20160412,1000967.150000000023283,927866.070000000065193,998906.680000000051223,957301.679999999934807,992370.959999999962747,978127.060000000055879,969776.000000000000000,920424.239999999990687,951481.949999999953434,940813.679999999934807,944005.919999999925494,10582051.389999998733401
20160413,1025379.750000000000000,948167.100000000093132,1010320.599999999860302,959659.860000000102445,986772.239999999990687,981386.820000000065193,987374.939999999944121,916312.799999999930151,958684.829999999958090,945599.580000000074506,949377.599999999976717,10669046.119999999180436
20160414,1031153.000000000000000,940065.750000000000000,1013309.959999999846332,959397.840000000083819,991593.359999999986030,978883.790000000037253,990712.669999999925494,911312.400000000139698,960335.489999999990687,940813.679999999934807,956092.200000000069849,10673680.139999998733401
20160415,1025049.850000000093132,939684.510000000125729,1013445.839999999850988,962367.400000000139698,993692.880000000004657,982492.810000000055879,986161.219999999972060,914534.880000000004657,955458.539999999920838,944368.920000000041910,950944.339999999967404,10668211.189999999478459
20160418,1032472.600000000093132,967229.100000000093132,1016706.959999999846332,968917.900000000139698,1002013.199999999953434,986974.980000000097789,989498.949999999953434,920424.239999999990687,959059.979999999981374,955308.119999999995343,960009.049999999930151,10758625.080000001937151
20160419,1048637.699999999953434,978285.060000000055879,1026626.199999999837019,984202.400000000139698,1002090.960000000079162,987557.080000000074506,997994.989999999990687,925424.640000000013970,979243.049999999930151,954077.459999999962747,964821.179999999934807,10848970.719999998807907
20160420,1072555.449999999953434,984289.590000000083819,1005157.159999999916181,992063.000000000000000,999680.400000000023283,983424.170000000041910,1008311.609999999869615,906200.880000000004657,1004978.339999999967404,946420.019999999902211,971423.869999999878928,10874514.490000000223517
20160421,1082287.500000000000000,980858.430000000051223,1005836.559999999823049,991975.659999999916181,978218.640000000013970,981794.290000000037253,1008615.040000000037253,897866.880000000004657,997700.429999999934807,936301.260000000009313,971311.959999999962747,10832776.649999998509884
20160422,1087565.900000000139698,989055.090000000083819,1018065.760000000009313,989792.159999999916181,975963.599999999976717,981794.290000000037253,1009525.330000000074506,899533.680000000051223,1006478.939999999944121,939719.760000000009313,979593.299999999930151,10877097.810000000521541
20160425,1083772.050000000046566,996679.890000000013970,1016706.959999999846332,991451.620000000111759,991204.559999999939464,980164.410000000032596,1007704.750000000000000,904645.199999999953434,1003852.889999999897555,949975.260000000009313,977355.099999999976717,10903522.689999999478459
20160426,1092019.550000000046566,999729.810000000055879,1038583.640000000013970,986211.219999999972060,993148.559999999939464,967358.210000000079162,1002849.869999999878928,883976.880000000004657,1007304.270000000018626,947650.679999999934807,980712.399999999906868,10899555.089999999850988
20160427,1092514.400000000139698,1003446.900000000139698,1037224.839999999850988,984988.459999999962747,997736.400000000023283,976555.390000000013970,1001332.719999999972060,887754.960000000079162,996499.950000000069849,949291.560000000055879,990000.929999999934807,10917356.509999999776483
20160428,1086081.350000000093132,991533.150000000139698,1033691.959999999846332,982455.600000000093132,994781.520000000018626,972131.430000000051223,998601.849999999860302,886310.400000000139698,991022.759999999892898,942317.819999999948777,985188.799999999930151,10864126.640000000596046
20160429,1079318.400000000139698,984194.280000000144355,1018065.760000000009313,978962.000000000000000,983661.839999999967404,974343.410000000032596,992533.250000000000000,890310.720000000088476,988096.589999999967404,914422.859999999986030,989329.469999999972060,10793248.580000000074506
20160502,1083442.150000000139698,994678.380000000121072,1018881.040000000037253,984813.780000000027940,996958.799999999930151,979931.570000000065193,995264.119999999878928,899755.920000000041910,991247.849999999860302,924268.140000000013970,997498.899999999906868,10866750.650000002235174
20160503,1069751.300000000046566,989150.400000000139698,1001896.040000000037253,984289.739999999990687,998514.000000000000000,977777.800000000046566,1022572.820000000065193,901200.479999999981374,993948.929999999934807,916200.479999999981374,986084.079999999958090,10841396.070000000298023
20160504,1060019.250000000232831,988101.990000000107102,994422.640000000013970,980184.760000000009313,1005745.680000000051223,973062.790000000037253,1013469.919999999925494,906756.479999999981374,990722.639999999897555,918798.539999999920838,984181.609999999869615,10815476.299999998882413
20160505,1054410.950000000186265,1000111.050000000162981,984095.760000000009313,985949.199999999953434,1005356.880000000004657,976613.600000000093132,1018628.229999999981374,903422.880000000004657,992823.479999999981374,919072.019999999902211,985300.709999999962747,10825794.760000001639128
20160506,1064143.000000000232831,1005924.960000000195578,990074.479999999864958,984726.439999999944121,1015465.680000000051223,983133.119999999995343,1018931.659999999916181,912645.839999999967404,990797.669999999925494,933292.979999999981374,990560.479999999981374,10889706.310000002384186
20160509,1055400.649999999906868,1004018.760000000125729,983824.000000000000000,993285.760000000009313,1017409.680000000051223,980979.350000000093132,1026213.979999999981374,912534.720000000088476,995524.559999999823049,942864.780000000027940,991231.939999999827705,10903298.179999997839332
20160510,1069586.350000000093132,1016027.820000000065193,997412.000000000000000,1001583.060000000055879,1023397.199999999953434,991107.890000000013970,1025607.119999999878928,916535.040000000037253,1002277.259999999892898,940676.940000000060536,1007123.159999999916181,10991343.839999999850988
20160511,1065462.600000000093132,974949.210000000195578,991705.040000000037253,998962.860000000102445,1004268.239999999874271,988255.600000000093132,1006187.599999999860302,912868.080000000074506,980668.619999999878928,908132.819999999948777,993917.780000000027940,10825388.449999999254942
20160512,1061338.850000000093132,969421.229999999981374,997412.000000000000000,997740.100000000093132,1011888.719999999972060,990467.580000000074506,1007097.889999999897555,915757.199999999953434,973540.770000000018626,914149.379999999888241,1003542.039999999920838,10842365.759999997913837
20160513,1057709.950000000186265,958079.340000000083819,978252.919999999809079,991888.320000000065193,1001857.680000000051223,979815.150000000023283,1007097.889999999897555,902645.040000000037253,967988.549999999930151,888032.039999999920838,992239.129999999888241,10725616.009999997913837
20160516,1056885.199999999953434,956554.380000000121072,998499.040000000037253,999574.239999999990687,1008156.239999999874271,986974.980000000097789,1012863.060000000055879,907089.839999999967404,980293.469999999855645,902799.959999999962747,1002422.939999999827705,10812123.349999999627471
20160517,1035276.750000000000000,952551.360000000102445,996732.599999999860302,994246.500000000000000,992993.039999999920838,976846.440000000060536,1002243.010000000009313,895866.720000000088476,972190.229999999981374,890219.879999999888241,1001975.299999999930151,10711151.830000001937151
20160518,1047812.950000000069849,943592.220000000088476,983280.479999999864958,992150.340000000083819,981484.559999999939464,971083.650000000023283,1006491.030000000027940,887310.479999999981374,979318.079999999841675,863555.579999999958090,999960.919999999925494,10656050.290000000968575
20160519,1034946.850000000093132,937968.930000000051223,982465.199999999837019,985687.179999999934807,974330.640000000013970,961129.740000000107102,1012863.060000000055879,891088.560000000055879,975491.549999999930151,946283.280000000027940,1008466.079999999958090,10710731.070000000298023
20160520,1054410.950000000186265,951026.400000000139698,993879.119999999995343,983853.040000000037253,953102.160000000032596,960547.640000000013970,1023786.540000000037253,889199.520000000018626,982544.369999999878928,955308.119999999995343,1004325.409999999916181,10751993.269999997690320
20160523,1048967.600000000093132,945307.800000000162981,1011271.760000000009313,979660.719999999972060,955046.160000000032596,966950.740000000107102,1021662.530000000027940,891199.680000000051223,978642.809999999823049,950385.479999999981374,1002758.669999999925494,10751863.950000001117587
20160524,1070081.200000000186265,948453.030000000144355,1022142.159999999916181,984289.739999999990687,963910.800000000046566,981619.660000000032596,1034710.020000000018626,899755.920000000041910,994924.319999999948777,960504.239999999874271,1003542.039999999920838,10863943.130000000819564
20160525,1077339.000000000000000,951788.880000000121072,1022957.439999999944121,990054.179999999934807,958545.359999999986030,989536.220000000088476,1042295.770000000018626,905423.040000000037253,1001151.809999999823049,963786.000000000000000,1010144.729999999981374,10913032.429999999701977
