訓練日期,20151204 - 20160309
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10481124.009999999776483
真實報酬,481124.009999999776483

夏普值報酬,0.039412401000000
夏普值風險,0.023142121145811
夏普值,1.703059142749925

預期報酬,1093.937335183905589
風險,230172.633708112931345
趨勢值,0.004752682008979
找到最佳解世代,78
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
CVX[5](15),IBM[10](20),JNJ[12](6),KO[14](5),MCD[15](4),MMM[16](10),MSFT[18](13),TRV[22](11),UNH[23](8),UTX[24](16),VZ[26](2),WBA[27](12),WMT[28](1),
20151214,773385.359999999986030,752674.370000000111759,779609.520000000018626,769048.840000000083819,788697.210000000079162,785421.500000000000000,782570.479999999981374,767433.139999999897555,774914.799999999930151,755666.260000000009313,784593.179999999934807,775049.939999999944121,786817.800000000046566,10075892.399999998509884
20151215,803078.870000000111759,762973.190000000060536,794720.879999999888241,780280.760000000009313,793241.820000000065193,738092.500000000000000,783422.000000000000000,782291.790000000037253,786685.680000000051223,757534.320000000065193,786319.379999999888241,770825.789999999920838,777046.800000000046566,10116523.780000001192093
20151216,808965.630000000004657,771278.690000000060536,803268.719999999972060,794230.080000000074506,799414.349999999976717,747159.739999999874271,796620.560000000055879,791690.750000000000000,794845.040000000037253,772722.459999999962747,802890.899999999906868,795231.989999999874271,785645.279999999911524,10263974.189999999478459
20151217,783860.330000000074506,757214.710000000079162,790981.199999999953434,787889.480000000097789,797108.130000000004657,741679.539999999920838,790518.000000000000000,782913.779999999911524,797453.359999999986030,762488.739999999990687,795813.479999999981374,782371.800000000046566,768448.319999999948777,10138750.870000001043081
20151218,777540.720000000088476,746971.260000000125729,778083.119999999995343,769954.640000000013970,791410.410000000032596,732064.279999999911524,768236.560000000055879,761213.239999999874271,774714.159999999916181,750062.079999999958090,786492.000000000000000,774580.589999999967404,766754.680000000051223,9978087.740000000223517
20151221,772606.229999999981374,750293.460000000079162,775259.279999999911524,775027.119999999995343,798396.900000000023283,734854.199999999953434,778170.959999999962747,766811.149999999906868,785348.079999999958090,760377.020000000018626,792361.079999999841675,796921.650000000023283,775874.279999999911524,10062311.409999998286366
20151222,781522.940000000060536,763748.370000000111759,783883.439999999944121,784266.280000000027940,798600.390000000013970,742277.380000000004657,785550.800000000046566,777454.089999999967404,785548.719999999972060,770610.739999999990687,799956.359999999986030,807435.089999999967404,788772.000000000000000,10169636.599999999627471
20151223,812168.720000000088476,767125.940000000060536,789836.399999999906868,791150.360000000102445,805926.030000000027940,753187.959999999962747,792221.040000000037253,782499.119999999878928,793908.719999999972060,782225.199999999953434,810486.179999999934807,807810.569999999948777,795937.400000000023283,10284493.640000000596046
20151224,796932.400000000023283,765520.210000000079162,791591.760000000009313,788795.280000000027940,804365.939999999944121,753337.419999999925494,790092.239999999990687,782913.779999999911524,791567.920000000041910,782225.199999999953434,806343.299999999930151,811659.239999999874271,792550.119999999995343,10257904.810000000521541
20151228,782302.070000000065193,761976.530000000144355,787775.760000000009313,787889.480000000097789,805586.880000000004657,753486.880000000004657,794066.000000000000000,784365.089999999967404,791501.040000000037253,780519.579999999958090,807033.779999999911524,805839.300000000046566,791507.880000000004657,10233860.270000001415610
20151229,790006.800000000046566,773991.820000000065193,793957.679999999934807,791875.000000000000000,814540.439999999944121,761806.819999999948777,802581.199999999953434,795008.029999999911524,801466.159999999916181,790103.539999999920838,814974.299999999930151,815038.559999999939464,802711.959999999962747,10348072.310000002384186
20151230,779964.680000000051223,771555.540000000153668,792049.679999999934807,789338.760000000009313,810199.320000000065193,756924.459999999962747,799175.119999999995343,789963.000000000000000,795446.959999999962747,787098.400000000023283,807379.020000000018626,811002.150000000023283,803623.920000000041910,10293731.010000001639128
20151231,778839.270000000018626,762031.900000000139698,783959.760000000009313,778288.000000000000000,801449.250000000000000,750597.319999999948777,787395.759999999892898,780080.269999999902211,786886.319999999948777,780357.139999999897555,797884.919999999925494,799456.139999999897555,798673.279999999911524,10185909.330000000074506
20160104,769230.000000000000000,752785.109999999986030,766864.079999999958090,768143.040000000037253,797650.770000000018626,731566.079999999958090,777745.199999999953434,760107.479999999981374,778994.479999999981374,776296.139999999897555,791843.219999999855645,779649.569999999948777,800757.760000000009313,10051642.929999999701977
20160105,775809.320000000065193,752231.410000000032596,770069.520000000018626,770860.439999999944121,808639.229999999981374,734754.560000000055879,781293.199999999953434,763562.979999999981374,780465.840000000083819,777514.439999999944121,802718.279999999911524,759185.910000000032596,819778.640000000013970,10096893.769999999552965
20160106,745163.540000000037253,748466.250000000000000,766177.199999999953434,766693.760000000009313,803212.830000000074506,719958.020000000018626,767101.199999999953434,753680.250000000000000,772507.119999999995343,756397.239999999990687,785801.520000000018626,747546.029999999911524,827986.279999999911524,9960701.239999998360872
20160107,718759.690000000060536,735675.780000000144355,757247.760000000009313,754012.559999999939464,784627.410000000032596,702421.380000000004657,740420.239999999990687,735711.649999999906868,749767.920000000041910,746488.400000000023283,781486.020000000018626,762002.010000000009313,847267.719999999972060,9815898.540000000968575
20160108,711054.959999999962747,728865.270000000018626,749157.839999999967404,752019.799999999930151,783406.470000000088476,700030.020000000018626,742690.959999999962747,732601.699999999953434,736860.079999999958090,734305.400000000023283,773890.739999999874271,760875.569999999948777,827856.000000000000000,9733624.810000000521541
20160111,699281.440000000060536,737724.469999999972060,744654.959999999962747,753287.919999999925494,791613.900000000023283,699880.560000000055879,742265.199999999953434,738130.500000000000000,732981.040000000037253,735117.599999999976717,778378.859999999986030,760593.959999999962747,836715.040000000037253,9750635.449999999254942
20160112,711228.100000000093132,735897.260000000125729,749768.399999999906868,763070.559999999939464,796701.150000000023283,701873.359999999986030,749077.359999999986030,746354.589999999967404,750904.880000000004657,735117.599999999976717,775616.939999999944121,768103.559999999939464,828898.239999999990687,9812622.000000000000000
20160113,704129.359999999986030,726318.250000000000000,740457.359999999986030,758179.239999999990687,780964.590000000083819,691211.880000000004657,732898.479999999981374,733085.469999999972060,730640.239999999990687,721553.859999999986030,762152.579999999841675,750362.130000000004657,806750.640000000013970,9638714.080000001937151
20160114,739969.340000000083819,735952.630000000004657,754729.199999999953434,758722.720000000088476,791139.090000000083819,703467.599999999976717,753760.719999999972060,739443.589999999967404,740872.880000000004657,723015.820000000065193,774581.219999999855645,768572.910000000032596,821602.560000000055879,9805840.279999999329448
20160115,724386.740000000107102,720006.070000000065193,740304.719999999972060,751838.640000000013970,781371.570000000065193,691062.419999999925494,723673.680000000051223,726450.909999999916181,730907.760000000009313,695563.459999999962747,766985.939999999944121,750362.130000000004657,806880.920000000041910,9609804.960000000894070
20160119,705687.620000000111759,709375.030000000144355,744120.719999999972060,759447.360000000102445,797108.130000000004657,689567.819999999948777,717571.119999999995343,731012.169999999925494,753045.040000000037253,692395.879999999888241,774581.219999999855645,757590.119999999995343,815088.560000000055879,9646600.790000000968575
20160120,683785.410000000032596,674768.780000000027940,730764.719999999972060,749664.720000000088476,785441.369999999995343,682443.560000000055879,720835.279999999911524,716429.959999999962747,767825.520000000018626,689065.859999999986030,766813.319999999948777,745856.369999999995343,792680.400000000023283,9506385.270000001415610
20160121,701705.400000000023283,680582.630000000004657,732214.799999999930151,749845.880000000004657,799414.349999999976717,686429.159999999916181,716435.759999999892898,709864.510000000009313,759198.000000000000000,695076.139999999897555,791843.219999999855645,741444.479999999981374,806229.520000000018626,9570293.849999997764826
20160122,723261.330000000074506,678312.460000000079162,738396.719999999972060,761983.600000000093132,803212.830000000074506,695197.479999999981374,742123.279999999911524,712905.349999999976717,764749.040000000037253,701411.299999999930151,812039.759999999892898,758904.300000000046566,816782.199999999953434,9709289.649999998509884
20160125,700320.280000000027940,675986.920000000041910,735725.520000000018626,763795.199999999953434,808639.229999999981374,685482.579999999958090,735027.279999999911524,705579.689999999944121,758395.439999999944121,689634.400000000023283,811867.139999999897555,738909.989999999874271,826683.480000000097789,9636057.149999998509884
20160126,728282.390000000130385,678810.790000000153668,772206.479999999981374,762345.919999999925494,816982.320000000065193,721402.799999999930151,740420.239999999990687,713665.559999999939464,762274.479999999981374,695725.900000000023283,832926.779999999911524,745762.500000000000000,833848.880000000004657,9804665.040000000968575
20160127,721097.080000000074506,669785.480000000097789,779685.839999999967404,762527.080000000074506,819966.840000000083819,725238.940000000060536,726937.839999999967404,714080.219999999972060,751373.040000000037253,697025.420000000041910,846391.139999999897555,736469.369999999995343,833197.480000000097789,9783785.769999999552965
20160128,743864.990000000107102,676762.100000000093132,780525.359999999986030,771222.760000000009313,830209.169999999925494,734057.079999999958090,738859.119999999995343,722096.979999999981374,745019.439999999944121,702223.500000000000000,846045.899999999906868,728584.289999999920838,836715.040000000037253,9856195.730000000447035
20160129,748626.340000000083819,690992.190000000060536,797086.799999999930151,777563.360000000102445,839705.369999999995343,752390.839999999967404,781860.880000000004657,739858.250000000000000,770300.079999999958090,712294.779999999911524,862617.419999999925494,748390.859999999986030,864594.959999999962747,10086292.129999998956919
20160201,738411.080000000074506,691213.670000000041910,796552.560000000055879,779012.640000000013970,845335.260000000009313,741081.699999999953434,776467.920000000041910,739650.919999999925494,775182.319999999948777,711238.920000000041910,876254.399999999906868,751676.309999999939464,879446.880000000004657,10101534.580000001937151
20160202,703350.229999999981374,680748.740000000107102,789225.839999999967404,768867.679999999934807,840858.479999999981374,736797.179999999934807,752199.599999999976717,732878.139999999897555,761739.439999999944121,693857.839999999967404,861581.699999999837019,732245.219999999972060,871108.959999999962747,9925469.050000000745058
20160203,732610.890000000130385,690604.600000000093132,794797.199999999953434,773940.160000000032596,824036.640000000013970,759963.479999999981374,740278.319999999948777,738821.599999999976717,754182.000000000000000,698243.719999999972060,873837.719999999855645,721074.689999999944121,863422.439999999944121,9965823.459999999031425
20160204,734082.580000000074506,706828.010000000125729,792965.520000000018626,770498.119999999995343,818542.410000000032596,764546.919999999925494,738007.599999999976717,742968.199999999953434,763879.599999999976717,715787.239999999990687,870557.939999999944121,724641.750000000000000,865376.640000000013970,10008692.530000001192093
20160205,717547.709999999962747,711922.050000000046566,767322.000000000000000,768867.679999999934807,782863.830000000074506,764696.380000000004657,711894.319999999948777,734675.000000000000000,747293.359999999986030,713513.079999999958090,879879.419999999925494,705961.619999999995343,872932.880000000004657,9879379.330000000074506
20160208,744470.979999999981374,703118.220000000088476,778464.719999999972060,772672.040000000037253,787272.780000000027940,766838.640000000013970,701250.319999999948777,729906.409999999916181,735923.760000000009313,704903.760000000009313,875909.159999999916181,684465.389999999897555,871630.080000000074506,9856836.259999999776483
20160209,717893.990000000107102,687005.550000000046566,778235.760000000009313,784447.439999999944121,793784.460000000079162,771023.520000000018626,699405.359999999986030,732117.929999999934807,743548.079999999958090,708639.879999999888241,865724.579999999841675,703427.130000000004657,857429.560000000055879,9842693.240000000223517
20160210,718932.830000000074506,665521.990000000107102,776404.079999999958090,770860.439999999944121,797379.450000000069849,759614.739999999874271,705507.920000000041910,730735.729999999981374,754115.119999999995343,706365.719999999972060,862790.039999999804422,713565.089999999967404,857169.000000000116415,9818972.150000000372529
20160211,718499.979999999981374,652565.410000000032596,776175.119999999995343,768324.199999999953434,791885.220000000088476,750746.779999999911524,705224.079999999958090,717259.279999999911524,739936.560000000055879,687685.119999999995343,852605.459999999962747,709059.329999999958090,851045.839999999967404,9721022.380000000819564
20160212,739623.060000000055879,670228.440000000060536,777090.959999999962747,781005.400000000023283,800024.820000000065193,767137.560000000055879,716719.599999999976717,742968.199999999953434,747962.159999999916181,698162.500000000000000,865034.099999999860302,723609.179999999934807,862249.920000000041910,9891825.900000000372529
20160216,734255.720000000088476,679641.340000000083819,780906.959999999962747,785534.400000000023283,808503.570000000065193,774959.299999999930151,725092.880000000004657,742138.880000000004657,770233.200000000069849,702467.160000000032596,867278.159999999916181,718634.069999999948777,858602.080000000074506,9948257.720000000670552
20160217,764555.220000000088476,698245.660000000032596,782280.719999999972060,787889.480000000097789,804840.750000000000000,780389.679999999934807,743968.239999999990687,754647.790000000037253,791300.400000000023283,715787.239999999990687,868659.119999999878928,733747.139999999897555,861337.959999999962747,10087659.400000002235174
20160218,750877.160000000032596,733405.609999999986030,795560.399999999906868,790063.400000000023283,794869.739999999990687,781186.799999999930151,740704.079999999958090,752367.159999999916181,785615.599999999976717,717736.520000000018626,879361.559999999823049,718634.069999999948777,835412.240000000107102,10075804.339999999850988
20160219,748886.050000000046566,736893.920000000158325,794949.839999999967404,792961.960000000079162,790528.619999999995343,779542.739999999874271,735453.040000000037253,747114.799999999930151,787153.840000000083819,716680.660000000032596,877980.599999999860302,728208.809999999939464,842447.359999999986030,10078812.240000000223517
20160222,768970.290000000037253,740714.450000000186265,799452.719999999972060,796041.679999999934807,798261.239999999990687,785770.239999999874271,747232.399999999906868,755822.659999999916181,811163.760000000009313,750305.739999999990687,881605.619999999878928,739754.819999999948777,855084.519999999902211,10230190.139999998733401
20160223,735121.420000000041910,733128.760000000125729,794339.279999999911524,791512.679999999934807,793038.330000000074506,778147.779999999911524,726370.159999999916181,745870.819999999948777,810361.200000000069849,744051.799999999930151,874010.339999999967404,739097.729999999981374,866158.320000000065193,10131218.620000001043081
20160224,738237.940000000060536,735343.560000000172295,801055.439999999944121,795498.199999999953434,794123.609999999986030,783378.880000000004657,728924.719999999972060,749810.089999999967404,804007.599999999976717,760377.020000000018626,877290.119999999878928,745668.630000000004657,874496.240000000107102,10188222.050000000745058
20160225,738497.650000000023283,744756.460000000079162,811892.879999999888241,800027.199999999953434,803009.340000000083819,792197.020000000018626,739426.800000000046566,755269.779999999911524,810695.599999999976717,796601.139999999897555,882296.099999999860302,750268.260000000009313,886482.000000000116415,10311430.230000000447035
20160226,730273.500000000000000,731080.070000000065193,807313.679999999934807,781548.880000000004657,794123.609999999986030,788609.979999999981374,728073.199999999953434,749671.869999999878928,811565.040000000037253,793514.779999999911524,880742.520000000018626,746982.809999999939464,866549.160000000032596,10210059.100000001490116
20160229,722395.630000000004657,725543.070000000065193,802963.439999999944121,781367.720000000088476,795005.400000000023283,781635.179999999934807,722112.560000000055879,743175.529999999911524,796650.799999999930151,784824.239999999990687,875736.539999999804422,741069.000000000000000,864334.400000000023283,10136823.509999999776483
20160301,745682.959999999962747,744036.650000000139698,818303.760000000009313,791512.679999999934807,806265.179999999934807,795186.219999999972060,746238.959999999962747,761213.239999999874271,813838.959999999962747,772072.699999999953434,888337.799999999930151,754304.669999999925494,865897.759999999892898,10302901.539999999105930
20160302,754426.530000000027940,754723.060000000172295,816930.000000000000000,792961.960000000079162,803755.470000000088476,794289.459999999962747,751490.000000000000000,761697.010000000009313,811163.760000000009313,775971.260000000009313,899730.719999999855645,745950.239999999874271,862640.759999999892898,10325740.230000000447035
20160303,757802.760000000009313,763028.560000000172295,813953.520000000018626,796404.000000000000000,791613.900000000023283,794140.000000000000000,742974.800000000046566,758932.609999999869615,814842.159999999916181,780682.020000000018626,895760.459999999962747,750268.260000000009313,861728.800000000046566,10322141.849999999627471
20160304,761265.560000000055879,763028.560000000172295,812808.719999999972060,799121.400000000023283,794937.570000000065193,797577.579999999958090,738433.359999999986030,763079.209999999962747,814708.400000000023283,787910.599999999976717,894379.500000000000000,745856.369999999995343,870066.719999999972060,10343183.550000000745058
20160307,784985.740000000107102,776040.510000000125729,814640.399999999906868,797309.799999999930151,794734.080000000074506,800068.579999999958090,724241.359999999986030,763148.319999999948777,814440.880000000004657,787260.839999999967404,901284.299999999930151,743040.270000000018626,884527.800000000046566,10385732.880000000819564
20160308,768277.729999999981374,770060.550000000046566,810671.760000000009313,802925.760000000009313,803348.489999999990687,798225.239999999874271,733040.399999999906868,766189.159999999916181,813772.079999999958090,787098.400000000023283,905599.799999999930151,754680.150000000023283,886482.000000000116415,10400381.520000001415610
20160309,803598.290000000037253,777480.130000000004657,815403.599999999976717,811802.600000000093132,811623.750000000000000,797677.219999999972060,749928.880000000004657,769506.439999999944121,810026.799999999930151,784661.799999999930151,903528.359999999986030,766038.419999999925494,879837.719999999972060,10481124.009999999776483
