訓練日期,20151019 - 20160121
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9817346.100000001490116
真實報酬,-182653.899999998509884

夏普值報酬,-0.026965390000000
夏普值風險,0.024962515089484
夏普值,-1.080235300943680

預期報酬,8823.980893823734732
風險,373687.888397438859101
趨勢值,0.023613237591578
找到最佳解世代,12
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
CAT[3](26),DD[7](11),INTC[11](14),KO[14](9),MCD[15](1),MRK[17](10),MSFT[18](2),PG[21](3),TRV[22](7),VZ[26](8),
20151027,1010189.209999999962747,1064431.280000000027940,1043280.380000000004657,1014040.819999999948777,1065062.800000000279397,1038655.750000000116415,1130076.639999999897555,1031908.890000000013970,1070909.419999999925494,1032885.369999999995343,10501440.559999998658895
20151028,1032863.789999999920838,1078732.960000000195578,1050544.220000000204891,1016896.579999999841675,1077464.800000000279397,1070318.500000000000000,1136180.560000000055879,1021495.110000000102445,1078935.120000000111759,1039820.379999999888241,10603252.019999999552965
20151029,1032863.789999999920838,1068854.479999999981374,1029963.339999999967404,1018324.459999999846332,1074412.000000000000000,1065850.750000000000000,1123130.800000000046566,1028304.119999999878928,1079218.380000000121072,1038030.699999999953434,10558952.820000000298023
20151030,1047501.809999999823049,1084925.440000000176951,1024818.119999999995343,1007853.339999999967404,1070882.200000000186265,1061771.500000000000000,1107976.239999999990687,1019759.479999999864958,1065999.580000000074506,1048768.779999999795109,10540256.490000000223517
20151102,1066875.660000000149012,1083303.600000000093132,1032384.619999999995343,1005235.559999999939464,1069546.600000000093132,1070512.750000000000000,1120605.040000000037253,1022696.699999999953434,1075252.739999999990687,1046531.679999999934807,10592944.950000001117587
20151103,1072759.569999999832362,1091412.800000000046566,1038437.820000000065193,1003331.719999999855645,1069260.399999999906868,1070512.750000000000000,1139758.719999999972060,1028704.649999999906868,1073553.179999999934807,1039149.250000000000000,10626880.859999999403954
20151104,1069889.370000000111759,1078880.400000000139698,1033595.259999999892898,998810.099999999860302,1072313.200000000186265,1078671.250000000000000,1145020.719999999972060,1028838.160000000032596,1077235.559999999823049,1032214.239999999990687,10615468.259999999776483
20151105,1065153.540000000037253,1083745.920000000158325,1029055.359999999986030,1007377.379999999888241,1076606.200000000186265,1069347.250000000000000,1144599.760000000009313,1019892.989999999990687,1076196.939999999944121,1033556.500000000000000,10605531.839999999850988
20151106,1059700.160000000149012,1088464.000000000000000,1024212.800000000046566,998572.119999999995343,1080994.600000000093132,1060800.250000000000000,1155965.680000000167638,1008945.169999999925494,1067982.399999999906868,1024160.679999999934807,10569797.859999999403954
20151109,1031715.709999999962747,1085662.640000000130385,1009382.460000000079162,988576.959999999846332,1077369.399999999906868,1053613.000000000000000,1139969.199999999953434,1006675.500000000000000,1065433.059999999823049,1013422.599999999860302,10471820.530000001192093
20151110,1039465.250000000000000,1085810.080000000074506,1005145.219999999972060,994050.500000000000000,1080136.000000000000000,1057303.750000000000000,1126288.000000000000000,1011615.369999999878928,1076952.299999999813735,1008948.399999999906868,10485714.869999999180436
20151111,1032002.729999999864958,1085662.640000000130385,994552.119999999995343,1000475.959999999846332,1086146.200000000186265,1043512.000000000116415,1129234.719999999972060,1014152.059999999939464,1080068.159999999916181,1013870.019999999902211,10479676.609999999403954
20151112,985361.979999999864958,1058976.000000000000000,980629.759999999892898,989528.879999999888241,1069546.600000000093132,1030108.750000000116415,1122288.880000000121072,996795.759999999892898,1060523.219999999972060,1002908.229999999864958,10296668.060000000521541
20151113,999282.449999999837019,1073867.440000000176951,971852.619999999995343,984769.280000000027940,1049131.000000000000000,1030108.750000000116415,1112185.840000000083819,987450.059999999939464,1057596.199999999953434,989485.629999999888241,10255729.269999999552965
20151116,1010189.209999999962747,1084483.120000000111759,971549.960000000079162,998572.119999999995343,1059529.600000000093132,1043123.500000000116415,1131760.479999999981374,1005340.399999999906868,1065999.580000000074506,1007606.139999999897555,10378154.110000001266599
20151117,995838.209999999962747,1084483.120000000111759,987893.599999999976717,991670.699999999953434,1058384.800000000279397,1043317.750000000116415,1114922.080000000074506,1002269.669999999925494,1064583.279999999795109,1008500.979999999864958,10351864.189999999478459
20151118,1009184.639999999897555,1116182.720000000204891,1003631.919999999925494,1006187.479999999981374,1073553.399999999906868,1053418.750000000000000,1133444.320000000065193,1013351.000000000000000,1082900.760000000009313,1015212.280000000027940,10507067.269999999552965
20151119,1004879.339999999850988,1119573.840000000316650,1038135.159999999916181,1025939.819999999948777,1080899.200000000186265,1054390.000000000000000,1135338.639999999897555,1017623.319999999948777,1086111.039999999804422,1023713.259999999892898,10586603.619999997317791
20151120,1020952.459999999962747,1119573.840000000316650,1049030.919999999925494,1009757.179999999934807,1086718.600000000093132,1050893.500000000000000,1140600.639999999897555,1012282.919999999925494,1093759.059999999823049,1015435.989999999990687,10599005.109999999403954
20151123,1019230.339999999850988,1112939.040000000270084,1043583.039999999920838,1022370.119999999995343,1092061.000000000000000,1049145.250000000000000,1140600.639999999897555,1014285.569999999948777,1091870.659999999916181,1006487.589999999967404,10592573.250000000000000
20151124,1024683.720000000088476,1120900.800000000046566,1039951.119999999995343,1031889.319999999948777,1090248.399999999906868,1038850.000000000000000,1141863.520000000018626,1020694.050000000046566,1090076.679999999934807,1010961.789999999920838,10610119.399999998509884
20151125,1025975.309999999823049,1090233.280000000027940,1042675.060000000055879,1031889.319999999948777,1091393.200000000186265,1043512.000000000116415,1130076.639999999897555,1013351.000000000000000,1084033.799999999813735,1004921.619999999995343,10558061.229999998584390
20151127,1022100.539999999920838,1092150.000000000000000,1042977.719999999972060,1026891.739999999874271,1089771.399999999906868,1048174.000000000116415,1135128.159999999916181,1010680.800000000046566,1084505.899999999906868,1011856.629999999888241,10564236.890000000596046
20151130,1042622.470000000088476,1094656.479999999981374,1052360.180000000167638,1014278.799999999813735,1089103.600000000093132,1029720.250000000116415,1143968.320000000065193,999198.940000000060536,1081862.139999999897555,1016778.250000000000000,10564549.429999999701977
20151201,1026979.880000000004657,1121638.000000000000000,1062045.300000000279397,1020704.259999999892898,1091870.200000000186265,1060023.250000000000000,1162280.080000000074506,1013885.039999999920838,1092342.760000000009313,1019686.479999999864958,10671455.250000000000000
20151202,1019373.849999999976717,1098047.600000000093132,1054176.140000000130385,1017848.500000000000000,1084906.000000000000000,1045454.500000000116415,1162069.600000000093132,1011882.390000000013970,1083184.019999999785796,1004921.619999999995343,10581864.219999998807907
20151203,999425.959999999962747,1088906.320000000065193,1030266.000000000000000,1010471.119999999995343,1081757.800000000279397,1021561.750000000232831,1140811.120000000111759,1011214.839999999850988,1050892.380000000121072,996868.059999999939464,10432175.350000001490116
20151204,1004305.300000000046566,1119426.400000000139698,1057505.399999999906868,1030223.459999999846332,1108565.200000000186265,1041958.000000000116415,1176803.199999999953434,1039118.429999999934807,1077046.719999999972060,1022594.709999999962747,10677546.820000000298023
20151207,981056.679999999934807,1092592.320000000065193,1059018.700000000186265,1028081.640000000013970,1110664.000000000000000,1042735.000000000116415,1174698.400000000139698,1046327.970000000088476,1072608.979999999981374,1030424.559999999939464,10638208.250000001862645
20151208,954937.859999999986030,1068854.479999999981374,1051754.859999999869615,1023560.019999999902211,1111713.399999999906868,1038655.750000000116415,1174277.439999999944121,1038050.349999999976717,1061089.739999999990687,1022371.000000000000000,10545264.899999998509884
20151209,945896.729999999864958,1196242.640000000130385,1053570.819999999832362,1015230.719999999855645,1112190.399999999906868,1026029.500000000116415,1157228.560000000055879,1037382.800000000046566,1048531.880000000004657,1014764.859999999869615,10607068.910000002011657
20151210,952641.699999999837019,1153042.720000000204891,1052360.180000000167638,1017610.519999999902211,1118105.200000000186265,1042929.250000000116415,1163332.479999999981374,1038584.390000000013970,1048059.779999999911524,1013870.019999999902211,10600536.240000000223517
20151211,939008.250000000000000,1120605.920000000158325,1037227.180000000051223,1005949.500000000000000,1107420.399999999906868,1013014.750000000116415,1137864.400000000139698,1038450.880000000004657,1036446.119999999995343,1002684.519999999902211,10438671.919999999925494
20151214,948910.440000000060536,1076963.680000000167638,1043280.380000000004657,1010233.140000000013970,1109137.600000000093132,1013986.000000000116415,1160596.239999999990687,1045259.890000000013970,1048437.459999999962747,1016778.250000000000000,10473583.080000001937151
20151215,957951.569999999948777,1061924.800000000046566,1064769.239999999757856,1024987.899999999906868,1115529.399999999906868,1027583.500000000116415,1161859.120000000111759,1063817.780000000260770,1068737.760000000009313,1019015.349999999860302,10566176.419999999925494
20151216,971872.039999999920838,1065021.040000000270084,1068401.159999999683350,1043312.359999999986030,1124210.800000000279397,1049339.500000000000000,1181433.760000000009313,1081307.589999999850988,1081578.880000000121072,1040491.509999999892898,10706968.640000000596046
20151217,931402.220000000088476,1055142.560000000288710,1056597.419999999925494,1034983.059999999939464,1120967.200000000186265,1022921.500000000000000,1172383.120000000111759,1071961.890000000130385,1069587.539999999804422,1031319.399999999906868,10567265.910000000149012
20151218,934415.929999999934807,1042167.840000000316650,1025120.779999999911524,1011423.039999999920838,1112953.600000000093132,1003108.000000000116415,1139337.760000000009313,1043123.729999999864958,1039939.659999999916181,1019239.059999999939464,10370829.400000000372529
20151221,936281.559999999823049,1070328.880000000121072,1036319.200000000069849,1018086.479999999981374,1122779.800000000279397,1007575.750000000116415,1154071.359999999869615,1054071.549999999813735,1047587.679999999934807,1026845.199999999953434,10473947.459999997168779
20151222,981774.229999999864958,1081386.880000000121072,1051149.540000000037253,1030223.459999999846332,1123066.000000000000000,1012043.500000000116415,1165016.320000000065193,1062749.699999999720603,1062128.360000000102445,1036688.440000000060536,10606226.429999997839332
20151223,1003013.709999999962747,1103060.560000000288710,1059321.359999999869615,1039266.699999999953434,1133369.200000000186265,1029137.500000000000000,1174908.880000000121072,1067022.020000000018626,1069021.019999999785796,1050334.750000000000000,10728455.699999999254942
20151224,995694.699999999837019,1098342.479999999981374,1058716.040000000037253,1036172.959999999846332,1131175.000000000000000,1026612.250000000116415,1171751.680000000167638,1065286.390000000130385,1069587.539999999804422,1044965.709999999962747,10698304.750000000000000
20151228,984213.899999999906868,1096720.640000000130385,1057202.739999999757856,1034983.059999999939464,1132892.200000000186265,1026418.000000000232831,1177645.120000000111759,1067022.020000000018626,1071570.360000000102445,1045860.549999999930151,10694528.589999999850988
20151229,992968.009999999892898,1108515.840000000316650,1072638.399999999906868,1040218.619999999995343,1145485.000000000000000,1036130.500000000232831,1190273.919999999925494,1072896.459999999962747,1086111.039999999804422,1056151.209999999962747,10801389.000000000000000
20151230,985792.509999999892898,1084778.000000000000000,1059018.700000000186265,1036886.899999999906868,1139379.399999999906868,1034382.250000000116415,1185222.400000000139698,1069024.669999999925494,1079218.380000000121072,1046307.969999999972060,10720011.180000001564622
20151231,975316.279999999911524,1080944.560000000288710,1042675.060000000055879,1022370.119999999995343,1127072.800000000279397,1026029.500000000116415,1167752.560000000055879,1060213.009999999776483,1065716.319999999832362,1034003.919999999925494,10602094.130000000819564
20160104,975746.809999999823049,1048360.320000000065193,1028752.700000000069849,1009043.239999999874271,1121730.399999999906868,1019425.000000000000000,1153439.919999999925494,1046327.970000000088476,1038428.939999999944121,1026174.069999999832362,10467429.369999999180436
20160105,965557.599999999976717,1040398.560000000172295,1023910.139999999897555,1012612.939999999827705,1137185.200000000186265,1032439.750000000116415,1158701.919999999925494,1049665.720000000204891,1043149.939999999944121,1040267.799999999930151,10503889.570000000298023
20160106,950345.539999999920838,1017545.360000000218861,1001210.639999999897555,1007139.399999999906868,1129553.200000000186265,1018259.500000000116415,1137653.919999999925494,1039518.959999999962747,1029647.880000000004657,1018344.219999999972060,10349218.620000001043081
20160107,917625.259999999892898,979358.400000000139698,963680.799999999930151,990480.799999999813735,1103413.600000000093132,1009324.000000000116415,1098083.680000000167638,1030440.280000000027940,1005098.679999999934807,1012751.469999999972060,10110256.970000000670552
20160108,908297.109999999986030,971838.960000000079162,953693.020000000018626,987863.019999999902211,1101696.399999999906868,992230.000000000116415,1101451.359999999869615,1014285.569999999948777,1000849.779999999911524,1002908.229999999864958,10035113.449999999254942
20160111,882178.289999999920838,953261.520000000251457,970339.320000000065193,989528.879999999888241,1113239.800000000279397,995532.250000000116415,1100819.919999999925494,1023631.270000000018626,1008403.380000000004657,1008724.690000000060536,10045659.320000000298023
20160112,884043.919999999925494,940581.680000000167638,989104.239999999990687,1002379.799999999813735,1120394.800000000279397,1005439.000000000116415,1110922.959999999962747,1021495.110000000102445,1019639.359999999986030,1005145.329999999958090,10099146.199999999254942
20160113,873854.709999999962747,916106.640000000246800,965799.420000000041910,995954.339999999967404,1098262.000000000000000,984071.500000000000000,1086928.239999999990687,1012683.449999999953434,1001510.719999999972060,987695.949999999953434,9922866.969999998807907
20160114,893659.089999999967404,928933.920000000158325,990920.200000000069849,996668.280000000027940,1112572.000000000000000,1006216.000000000116415,1117868.800000000046566,1016688.750000000000000,1010197.359999999986030,1003803.069999999832362,10077527.470000000670552
20160115,859216.689999999944121,902099.840000000200234,900727.520000000018626,987625.039999999920838,1098834.399999999906868,993395.500000000116415,1073247.040000000037253,1001068.080000000074506,992446.399999999906868,993959.829999999958090,9802620.339999999850988
20160119,847161.849999999976717,883374.960000000079162,901938.160000000032596,997620.199999999953434,1120967.200000000186265,997280.500000000232831,1064196.400000000139698,1024432.330000000074506,998678.119999999995343,1003803.069999999832362,9839452.790000000968575
20160120,844004.630000000004657,867598.880000000237487,895582.299999999930151,984769.280000000027940,1104558.399999999906868,981934.750000000116415,1069037.439999999944121,1012416.429999999934807,978755.500000000000000,993736.119999999995343,9732393.729999998584390
20160121,856633.509999999892898,881900.560000000172295,897700.920000000041910,985007.259999999892898,1124210.800000000279397,989122.000000000116415,1062512.560000000055879,1024298.819999999948777,969785.599999999976717,1026174.069999999832362,9817346.100000001490116
