訓練日期,20140506 - 20140806
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10651209.759999999776483
真實報酬,651209.759999999776483

夏普值報酬,0.056420976000000
夏普值風險,0.028242603716820
夏普值,1.997725725493189

預期報酬,15202.926009395179790
風險,96119.275189186068019
趨勢值,0.158167297656710
找到最佳解世代,31
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
CSCO[4](7),CVX[5](16),DIS[6](6),GS[8](2),HD[9](15),INTC[11](1),JNJ[12](17),MSFT[18](4),NKE[19](8),V[25](12),VZ[26](9),
20140618,975211.979999999981374,944764.920000000041910,935503.119999999995343,987637.140000000013970,932425.039999999920838,1039701.119999999995343,934632.900000000023283,960272.099999999976717,945055.800000000046566,927172.679999999934807,948031.489999999990687,10530418.290000000968575
20140619,978379.500000000000000,957164.130000000121072,937629.599999999976717,986881.319999999948777,929306.000000000000000,1045259.039999999920838,943722.900000000023283,957044.399999999906868,938110.680000000051223,923134.799999999930151,948990.640000000013970,10545633.010000001639128
20140620,983130.779999999911524,959701.979999999981374,926997.199999999953434,987520.859999999986030,926186.959999999962747,1049080.109999999869615,956994.299999999930151,960963.750000000000000,931413.599999999976717,919448.039999999920838,947456.000000000000000,10548903.579999998211861
20140623,977983.559999999939464,964342.619999999995343,926325.680000000051223,989846.460000000079162,931616.400000000023283,1050122.219999999972060,952267.500000000000000,968110.800000000046566,935878.319999999948777,919448.039999999920838,953978.219999999972060,10569929.819999998435378
20140624,971252.580000000074506,955568.910000000032596,925430.320000000065193,978160.319999999948777,929190.480000000097789,1059501.209999999962747,950813.099999999976717,962577.599999999976717,929925.360000000102445,912074.520000000018626,945345.869999999995343,10519850.269999997690320
20140625,978775.439999999944121,951653.369999999995343,939084.560000000055879,979032.419999999925494,930345.680000000051223,1072701.270000000018626,961448.400000000023283,969033.000000000000000,948528.360000000102445,917692.440000000060536,947839.659999999916181,10596144.599999999627471
20140626,976003.859999999986030,949405.559999999939464,945240.160000000032596,976881.239999999874271,932887.119999999995343,1069227.570000000065193,960448.500000000000000,961885.949999999953434,953241.119999999995343,917165.760000000009313,944003.060000000055879,10586399.900000000372529
20140627,977983.559999999939464,945345.000000000116415,954753.359999999986030,969730.020000000018626,937276.879999999888241,1074438.119999999878928,954449.099999999976717,974105.099999999976717,963410.760000000125729,918570.239999999990687,946113.190000000060536,10616185.330000000074506
20140630,983922.660000000032596,946722.690000000060536,959677.839999999967404,973567.260000000009313,935313.039999999920838,1073396.010000000009313,951085.800000000046566,961424.850000000093132,961922.520000000018626,924890.399999999906868,938631.819999999948777,10610564.890000000596046
20140701,993029.279999999911524,946650.179999999934807,967848.000000000000000,969904.439999999944121,945247.759999999892898,1076174.969999999972060,962448.300000000046566,965344.199999999953434,967379.400000000023283,940339.679999999934807,947072.339999999967404,10681448.549999998882413
20140702,991049.580000000074506,944402.369999999995343,967512.239999999990687,970369.559999999939464,947096.080000000074506,1076174.969999999972060,962357.400000000023283,966035.849999999976717,964899.000000000000000,942973.079999999958090,952635.409999999916181,10685515.540000000968575
20140703,997384.620000000111759,951363.329999999958090,971989.040000000037253,985311.540000000037253,947904.719999999972060,1081732.889999999897555,958357.800000000046566,963730.349999999860302,973084.319999999948777,950346.599999999976717,953594.560000000055879,10734809.769999999552965
20140707,998968.380000000004657,946142.609999999986030,969191.040000000037253,975544.020000000018626,940626.959999999962747,1077911.820000000065193,967902.300000000046566,968110.800000000046566,975564.719999999972060,951399.959999999962747,954361.880000000004657,10725734.490000000223517
20140708,992633.339999999967404,942009.540000000037253,961020.880000000004657,958857.839999999967404,933002.640000000013970,1069574.939999999944121,961084.800000000046566,963269.250000000000000,963410.760000000125729,944904.239999999990687,935370.709999999962747,10625148.940000001341105
20140709,1007283.120000000111759,952813.529999999911524,976242.000000000000000,957462.479999999864958,932656.080000000074506,1073048.639999999897555,963993.600000000093132,960733.200000000069849,976060.800000000046566,948766.559999999939464,938056.329999999958090,10687126.339999999850988
20140710,1007283.120000000111759,944547.390000000013970,972212.880000000004657,950194.979999999864958,917291.920000000041910,1085901.330000000074506,961812.000000000000000,961194.299999999930151,961178.400000000023283,946133.159999999916181,952251.750000000000000,10660011.230000000447035
20140711,1010450.640000000013970,931640.609999999986030,972548.640000000013970,958218.300000000046566,919717.839999999967404,1085553.959999999962747,955449.000000000000000,970416.300000000046566,958698.000000000000000,952453.319999999948777,965296.190000000060536,10680452.799999998882413
20140714,1007283.120000000111759,937368.899999999906868,971093.680000000051223,971009.099999999976717,917985.039999999920838,1093890.839999999850988,957994.199999999953434,971569.050000000046566,966883.319999999948777,970184.879999999888241,969324.619999999995343,10734596.749999998137355
20140715,1016389.740000000107102,937368.899999999906868,964266.560000000055879,983625.479999999864958,922605.839999999967404,1101532.979999999981374,938905.199999999953434,978716.100000000093132,967875.480000000097789,973520.520000000018626,972777.560000000055879,10757594.360000001266599
20140716,1028663.880000000004657,949188.029999999911524,955312.959999999962747,991183.679999999934807,920295.439999999944121,1203659.760000000009313,929269.800000000046566,1016295.749999999883585,953985.239999999990687,977382.839999999967404,977573.310000000055879,10902820.689999999478459
20140717,1014805.979999999981374,943314.720000000088476,951731.520000000018626,989265.059999999939464,919024.719999999972060,1170659.610000000102445,912453.300000000046566,1026670.500000000000000,949272.480000000097789,956315.639999999897555,965296.190000000060536,10798819.720000000670552
20140718,1025892.300000000046566,945562.529999999911524,960461.280000000027940,996997.679999999934807,925147.280000000027940,1170659.610000000102445,925452.000000000000000,1030359.299999999930151,961426.439999999944121,966498.119999999878928,973544.880000000004657,10882011.419999999925494
20140721,1023516.660000000032596,952088.429999999934807,959677.839999999967404,998451.179999999934807,920873.039999999920838,1183164.929999999934807,920634.299999999930151,1033817.550000000046566,952745.039999999920838,962284.679999999934807,972585.730000000097789,10879849.379999998956919
20140722,1027476.059999999939464,961442.220000000088476,964938.079999999958090,1017637.380000000004657,930461.200000000069849,1208522.939999999944121,931542.300000000046566,1033586.999999999883585,955473.480000000097789,971238.239999999990687,977956.969999999972060,10980285.869999999180436
20140723,1016785.680000000051223,970868.520000000018626,963035.440000000060536,1028102.579999999958090,936006.159999999916181,1198449.209999999962747,928997.099999999976717,1034509.199999999953434,959690.159999999916181,970887.119999999878928,976614.159999999916181,10983955.329999998211861
20140724,1022724.779999999911524,977901.989999999990687,971541.359999999986030,1024846.739999999874271,938085.520000000018626,1189764.959999999962747,929088.000000000000000,1023673.349999999976717,974820.599999999976717,977733.959999999962747,979299.779999999911524,11009491.039999997243285
20140725,1028267.939999999944121,968620.709999999962747,965161.920000000041910,1019846.699999999953434,936121.680000000051223,1189764.959999999962747,928269.900000000023283,1025978.849999999976717,963906.839999999967404,942621.959999999962747,983711.869999999995343,10952283.330000000074506
20140728,1026288.240000000107102,966227.880000000121072,975458.560000000055879,1023044.399999999906868,936583.759999999892898,1189070.219999999739230,928269.900000000023283,1013759.699999999953434,972340.200000000069849,940339.679999999934807,989466.770000000018626,10960859.309999998658895
20140729,1017973.500000000000000,960282.059999999939464,964826.160000000032596,1020660.659999999916181,935544.080000000074506,1187680.739999999990687,926906.399999999906868,1011915.300000000046566,968619.599999999976717,937179.599999999976717,996948.140000000013970,10928546.240000000223517
20140730,1014805.979999999981374,961079.670000000041910,976130.079999999958090,1021939.739999999874271,944554.640000000013970,1193238.659999999916181,929997.000000000000000,1004768.249999999883585,987470.640000000130385,939637.440000000060536,992919.709999999962747,10966551.809999998658895
20140731,998968.380000000004657,937223.880000000121072,961244.719999999972060,1005137.280000000027940,934042.319999999948777,1177259.639999999897555,909908.099999999976717,995085.149999999906868,956713.680000000051223,926119.319999999948777,967214.489999999990687,10768926.960000000894070
20140801,989861.760000000009313,927507.540000000037253,955648.719999999972060,989904.599999999976717,921335.119999999995343,1172049.090000000083819,908181.000000000000000,988168.649999999906868,952248.960000000079162,929630.520000000018626,955896.520000000018626,10690442.480000000447035
20140804,996592.740000000107102,929465.309999999939464,976465.839999999967404,998276.760000000009313,924569.680000000051223,1182817.559999999823049,910544.400000000023283,999926.699999999953434,956961.719999999972060,931210.559999999939464,963186.060000000055879,10770027.330000001937151
20140805,988673.939999999944121,906189.599999999976717,970981.760000000009313,985078.979999999864958,924569.680000000051223,1140091.050000000046566,907453.799999999930151,993240.749999999883585,953985.239999999990687,924188.159999999916181,952635.409999999916181,10647098.369999999180436
20140806,987090.180000000051223,911772.869999999995343,969191.040000000037253,986939.460000000079162,930230.159999999916181,1141133.159999999916181,915543.899999999906868,985402.050000000046566,956713.680000000051223,924714.839999999967404,942468.420000000041910,10651209.759999999776483
