訓練日期,20171114 - 20180216
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11329388.170000001788139
真實報酬,1329388.170000001788139

夏普值報酬,0.124238817000000
夏普值風險,0.044957631271431
夏普值,2.763464477252161

預期報酬,24391.864453210913780
風險,253359.655256429949077
趨勢值,0.096273672414511
找到最佳解世代,62
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](18),BA[2](1),CAT[3](8),CSCO[4](3),DD[7](19),HD[9](7),INTC[11](27),JPM[13](2),MSFT[18](10),NKE[19](4),TRV[22](16),UTX[24](6),V[25](12),
20180126,816170.159999999916181,1006054.800000000046566,941236.020000000018626,964306.770000000018626,840830.439999999944121,964055.760000000009313,842030.289999999920838,914325.599999999976717,862071.449999999953434,936114.540000000153668,862110.900000000023283,906608.700000000069849,872252.599999999976717,11728178.029999999329448
20180129,814367.919999999925494,999020.399999999906868,915995.700000000069849,970877.300000000046566,828334.859999999869615,953309.640000000013970,840348.989999999990687,913382.400000000023283,860788.349999999976717,929785.860000000102445,859457.160000000032596,898002.000000000000000,862033.200000000069849,11645713.779999999329448
20180130,808633.519999999902211,989904.989999999874271,922643.819999999948777,957283.099999999976717,820208.899999999906868,938841.920000000041910,820341.520000000018626,904815.000000000000000,849973.649999999906868,926346.360000000102445,858072.600000000093132,896885.100000000093132,853125.750000000000000,11547086.229999998584390
20180131,814286.000000000000000,1038735.449999999953434,917122.500000000000000,941196.630000000004657,825115.139999999897555,934608.600000000093132,809413.070000000065193,909216.600000000093132,870778.199999999953434,938590.980000000097789,864995.400000000023283,906805.800000000046566,857821.150000000023283,11628695.520000001415610
20180201,819201.199999999953434,1046268.119999999995343,914080.140000000013970,944821.750000000000000,802423.779999999911524,929956.600000000093132,801174.699999999953434,918648.600000000093132,863904.449999999953434,930748.920000000158325,865456.920000000041910,908842.500000000000000,868109.599999999976717,11613647.280000001192093
20180202,792003.760000000009313,1022732.190000000060536,887318.640000000013970,927375.859999999986030,773906.260000000009313,902370.239999999990687,775955.199999999953434,898291.200000000069849,841175.249999999883585,924832.980000000097789,853630.469999999972060,884467.800000000162981,834896.549999999930151,11318966.400000002235174
20180205,753747.119999999995343,964024.260000000009313,851204.700000000069849,878663.310000000055879,740635.819999999948777,851849.520000000135042,748550.010000000009313,855218.400000000023283,806531.549999999930151,885897.840000000083819,816535.800000000046566,836046.900000000023283,802857.349999999976717,10791772.580000000074506
20180206,771523.760000000009313,999284.190000000060536,881233.919999999925494,910156.540000000037253,784868.639999999897555,888739.880000000004657,755107.079999999958090,881235.000000000000000,837050.999999999883585,897316.980000000097789,812670.570000000065193,852931.800000000162981,828405.849999999976717,11100535.210000000894070
20180207,766854.319999999948777,1020416.699999999953434,869571.540000000037253,914008.230000000097789,770763.199999999953434,889902.880000000004657,759982.850000000093132,887208.600000000093132,821287.199999999953434,902957.760000000009313,820112.579999999958090,867123.000000000116415,826196.250000000000000,11116395.110000001266599
20180208,723682.479999999981374,966310.440000000060536,822527.640000000013970,878436.739999999990687,744698.799999999930151,843057.239999999990687,718791.000000000000000,847987.199999999953434,779128.199999999953434,859757.640000000130385,778979.609999999986030,837623.700000000069849,786216.300000000046566,10587206.990000000223517
20180209,751371.439999999944121,975601.709999999962747,840669.119999999995343,895656.060000000055879,758574.260000000009313,856548.040000000037253,738966.600000000093132,864964.800000000046566,808181.250000000000000,901031.640000000013970,790921.440000000060536,821527.200000000069849,803202.599999999976717,10807226.159999998286366
20180212,775783.599999999976717,1007754.780000000027940,858021.839999999967404,919899.050000000046566,784332.019999999902211,856268.920000000041910,753762.039999999920838,878326.799999999930151,816887.999999999883585,907773.060000000172295,797036.579999999958090,836966.700000000069849,818048.349999999976717,11010871.739999998360872
20180213,774636.719999999972060,1005878.940000000060536,867486.959999999962747,934172.959999999962747,772373.059999999939464,854687.239999999990687,747541.229999999981374,883750.200000000069849,823303.499999999883585,906259.680000000167638,799574.940000000060536,826389.000000000116415,817219.750000000000000,11013284.179999999701977
20180214,788317.359999999986030,1010832.330000000074506,890530.020000000018626,953657.980000000097789,778735.839999999967404,859199.680000000051223,763009.190000000060536,904186.200000000069849,832285.199999999953434,935013.900000000023283,811228.320000000065193,832499.100000000093132,834344.150000000023283,11193849.270000001415610
20180215,791020.719999999972060,1044861.239999999874271,901347.299999999930151,998745.409999999916181,784408.679999999934807,861897.840000000083819,772088.210000000079162,907959.000000000116415,849240.449999999953434,939554.040000000153668,812843.640000000013970,854180.100000000093132,844356.400000000023283,11362513.030000001192093
20180216,792904.880000000004657,1040699.220000000088476,880557.839999999967404,1004409.659999999916181,785481.919999999925494,869806.239999999990687,766035.530000000027940,901435.200000000069849,843191.549999999930151,939691.619999999995343,814458.960000000079162,849318.300000000046566,841387.250000000000000,11329388.170000001788139
