訓練日期,20181029 - 20190201
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10733684.509999999776483
真實報酬,733684.509999999776483

夏普值報酬,0.064668451000000
夏普值風險,0.025180504791576
夏普值,2.568195178582551

預期報酬,9886.298046015053842
風險,350610.624096333805937
趨勢值,0.028197371575651
找到最佳解世代,68
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
CAT[3](1),CSCO[4](12),DD[7](9),HD[9](11),MMM[16](8),MRK[17](3),NKE[19](4),PFE[20](15),PG[21](2),V[25](18),
20181108,1142010.939999999944121,1094685.619999999878928,1143142.400000000139698,1091560.620000000111759,1103362.719999999972060,1072156.320000000065193,1079226.250000000000000,1029342.500000000000000,1039833.500000000000000,1054377.399999999906868,10849698.270000001415610
20181109,1103075.260000000242144,1064630.280000000027940,1128558.079999999841675,1079890.560000000055879,1087306.899999999906868,1063349.839999999850988,1059523.750000000000000,1039436.319999999948777,1051783.549999999813735,1044939.400000000023283,10722493.939999999478459
20181112,1086475.450000000186265,1030959.259999999892898,1109652.479999999981374,1041803.200000000186265,1065358.540000000037253,1060935.159999999916181,1042041.250000000000000,1035445.739999999990687,1055084.040000000037253,1014374.799999999930151,10542129.920000001788139
20181113,1094818.810000000055879,1019660.259999999892898,1105196.160000000149012,1039306.620000000111759,1072548.520000000018626,1059798.839999999850988,1043428.750000000116415,1021596.080000000074506,1063847.410000000149012,1014374.799999999930151,10534576.250000000000000
20181114,1087344.549999999813735,1001807.839999999967404,1115054.079999999841675,1044532.020000000135042,1070872.660000000149012,1052412.760000000009313,1043428.750000000116415,1007276.939999999944121,1064075.029999999795109,1012705.000000000000000,10499509.629999998956919
20181115,1124889.669999999925494,1056946.959999999962747,1129503.360000000102445,1029784.780000000144355,1107903.760000000009313,1063065.760000000009313,1031357.500000000116415,1014319.140000000013970,1067944.569999999832362,1029766.000000000000000,10655481.500000000000000
20181116,1129582.810000000055879,1047455.800000000046566,1138280.960000000195578,1027810.740000000223517,1130014.300000000046566,1080394.639999999897555,1037046.250000000000000,1021361.339999999967404,1067830.759999999776483,1017714.400000000023283,10697492.000000000000000
20181119,1094992.629999999888241,1033897.000000000000000,1111543.040000000037253,1007896.160000000149012,1111525.780000000027940,1084513.799999999813735,1006243.750000000116415,1037088.919999999925494,1061798.830000000074506,978365.199999999953434,10527865.109999999403954
20181120,1062749.020000000018626,1005423.520000000018626,1084129.920000000158325,981536.920000000158325,1084117.360000000102445,1062213.520000000018626,986818.750000000232831,1021830.819999999948777,1048255.439999999944121,968273.800000000046566,10305349.070000000298023
20181121,1076654.620000000111759,1014462.719999999972060,1095608.320000000065193,982988.420000000158325,1074278.439999999944121,1062355.560000000055879,1004162.500000000232831,1011737.000000000000000,1040402.549999999930151,975896.799999999930151,10338546.930000001564622
20181123,1063183.569999999832362,1006553.419999999925494,1085210.239999999990687,980375.720000000088476,1064061.100000000093132,1060651.079999999841675,991952.500000000000000,1012675.959999999962747,1041882.080000000074506,964643.800000000046566,10271189.470000000670552
20181126,1084737.250000000000000,1029829.359999999986030,1108842.239999999990687,986007.540000000037253,1080603.460000000195578,1071588.159999999916181,1008880.000000000000000,1017370.760000000009313,1046434.479999999981374,986932.000000000000000,10421225.250000000000000
20181127,1082999.049999999813735,1042258.259999999892898,1099659.520000000251457,1005747.940000000060536,1085090.439999999944121,1084371.760000000009313,1000277.500000000116415,1034506.780000000027940,1055311.660000000149012,986714.199999999953434,10476937.109999999403954
20181128,1136622.520000000018626,1068697.919999999925494,1100469.760000000009313,1030191.200000000186265,1104822.340000000083819,1097013.320000000065193,1035936.250000000116415,1053990.199999999720603,1058612.149999999906868,1026426.399999999906868,10712782.060000000521541
20181129,1131929.379999999888241,1069827.820000000065193,1100874.879999999888241,1019914.580000000074506,1106011.660000000149012,1106672.039999999804422,1031496.250000000116415,1068309.339999999850988,1056449.759999999776483,1009873.599999999976717,10701359.309999998658895
20181130,1179208.419999999925494,1081804.760000000009313,1112488.320000000065193,1046970.540000000037253,1124175.820000000065193,1126983.760000000009313,1042318.750000000232831,1085210.620000000111759,1075683.649999999906868,1028822.200000000069849,10903666.839999999850988
20181203,1207714.899999999906868,1101465.020000000018626,1137740.800000000046566,1055215.060000000055879,1128716.860000000102445,1125279.279999999795109,1081446.250000000000000,1079576.859999999869615,1062140.259999999776483,1052707.600000000093132,11032002.889999998733401
20181204,1124020.569999999832362,1070053.800000000046566,1086425.600000000093132,1017824.420000000158325,1093253.500000000000000,1110933.239999999757856,1051615.000000000000000,1059623.959999999962747,1062026.450000000186265,1006533.999999999883585,10682310.539999999105930
20181206,1115764.120000000111759,1093555.719999999972060,1075487.360000000102445,1021656.380000000121072,1095848.380000000121072,1113205.879999999888241,1048146.250000000232831,1055868.120000000111759,1064757.890000000130385,1024030.600000000093132,10708320.700000001117587
20181207,1073873.500000000000000,1049489.619999999878928,1033624.960000000079162,1003251.360000000102445,1071845.739999999990687,1089769.279999999795109,1017621.250000000116415,1030985.680000000051223,1052238.790000000037253,995426.200000000069849,10418126.379999998956919
20181210,1072482.939999999944121,1058980.780000000027940,1034705.280000000144355,996864.760000000125729,1072278.219999999972060,1099712.079999999841675,1006105.000000000232831,1042253.199999999953434,1058839.770000000018626,1001016.399999999906868,10443238.430000001564622
20181211,1071179.290000000037253,1064178.320000000065193,1024307.199999999953434,999883.880000000121072,1067629.060000000055879,1095308.839999999850988,1020812.500000000000000,1033098.339999999967404,1068855.049999999813735,993248.199999999953434,10438500.679999999701977
20181212,1089691.120000000111759,1071635.660000000149012,1045238.400000000139698,1011495.880000000121072,1080333.160000000149012,1108092.439999999944121,1031218.750000000000000,1036619.439999999944121,1070220.770000000018626,1000435.600000000093132,10544981.219999998807907
20181213,1094297.350000000093132,1072765.560000000055879,1034300.160000000149012,1009521.840000000083819,1092875.080000000074506,1122296.439999999944121,1011932.500000000232831,1046243.780000000027940,1098218.029999999795109,998547.999999999883585,10580998.739999998360872
20181214,1101858.520000000018626,1035478.859999999986030,1014989.439999999944121,1000348.360000000102445,1060276.899999999906868,1086360.320000000065193,1006382.500000000116415,1028168.799999999930151,1099925.180000000167638,980761.000000000000000,10414549.880000000819564
20181217,1081869.220000000204891,998870.100000000093132,993923.199999999953434,975266.440000000060536,1042545.219999999972060,1068605.320000000065193,969891.250000000232831,1011971.739999999990687,1055880.709999999962747,953971.599999999976717,10152794.800000000745058
20181218,1080131.020000000018626,995706.380000000004657,1005671.680000000051223,987284.860000000102445,1051951.660000000149012,1055821.719999999972060,987235.000000000232831,995305.199999999953434,1052694.029999999795109,963119.199999999953434,10174920.750000000000000
20181219,1063270.479999999981374,974916.219999999972060,1003105.920000000041910,972885.980000000097789,1027084.060000000055879,1047867.479999999864958,956987.500000000116415,985211.380000000004657,1044385.900000000023283,952955.199999999953434,10028670.119999999180436
20181220,1056491.500000000000000,960227.520000000018626,981634.560000000055879,953145.580000000074506,1013136.580000000074506,1043890.359999999869615,937007.500000000116415,984741.900000000023283,1035508.719999999972060,934805.199999999953434,9900589.419999999925494
20181221,1043628.820000000065193,945764.800000000046566,972856.960000000079162,931779.500000000000000,993512.800000000046566,1035510.000000000000000,1004162.500000000232831,984272.419999999925494,1035394.909999999916181,902135.200000000069849,9849017.909999998286366
20181224,1016512.900000000139698,910285.940000000060536,944093.439999999944121,918193.460000000079162,965780.020000000018626,1010653.000000000000000,944916.250000000000000,951878.299999999930151,994309.500000000000000,883767.400000000023283,9540390.209999999031425
20181226,1084389.610000000335276,959775.559999999939464,1004456.319999999948777,977066.300000000162981,1007081.859999999986030,1051134.399999999906868,1013042.500000000232831,990375.659999999916181,1025379.630000000004657,945477.399999999906868,10058179.240000002086163
20181227,1100989.419999999925494,969718.679999999934807,1025657.600000000093132,988910.540000000037253,1031084.500000000000000,1070735.919999999925494,1022200.000000000116415,1005868.500000000000000,1047344.959999999962747,958400.199999999953434,10220910.320000000298023
20181228,1091776.959999999962747,966554.960000000079162,1019715.840000000083819,988329.940000000060536,1023894.520000000018626,1070593.879999999888241,1017621.250000000116415,1008450.640000000013970,1037784.920000000041910,950632.000000000000000,10175354.910000000149012
20181231,1104465.819999999832362,979209.839999999967404,1028493.439999999944121,997619.540000000037253,1030219.540000000037253,1085366.039999999804422,1028721.250000000116415,1024647.699999999953434,1046206.859999999986030,957892.000000000000000,10282842.029999999329448
20190102,1098469.030000000260770,970622.600000000093132,1048479.360000000102445,1001045.080000000074506,1032436.000000000000000,1073718.760000000009313,1027611.250000000116415,1015258.099999999976717,1038923.020000000018626,965006.799999999930151,10271570.000000000000000
20190103,1056143.860000000335276,928138.359999999986030,1009857.920000000041910,978982.280000000144355,993566.859999999986030,1051702.560000000055879,1009435.000000000116415,986854.559999999939464,1031639.179999999934807,930231.399999999906868,9976551.980000000447035
20190104,1113852.100000000093132,969944.660000000032596,1052530.560000000055879,1008070.340000000083819,1034436.219999999972060,1083377.479999999748543,1035797.500000000232831,1009389.599999999976717,1052694.029999999795109,970306.599999999976717,10330399.089999997988343
20190107,1114547.379999999888241,976498.080000000074506,1053070.720000000204891,1027926.860000000102445,1032057.580000000074506,1071446.120000000111759,1050643.750000000000000,1014788.619999999878928,1048483.060000000055879,987803.199999999953434,10377265.369999999180436
20190108,1127931.520000000018626,984407.380000000004657,1065224.320000000065193,1032861.960000000079162,1036382.380000000121072,1079400.359999999869615,1064657.500000000000000,1019483.419999999925494,1052352.600000000093132,993175.600000000093132,10455877.039999999105930
20190109,1132277.020000000018626,978983.859999999986030,1069680.639999999897555,1043545.000000000000000,1039734.100000000093132,1071162.039999999804422,1062715.000000000000000,1017370.760000000009313,1035167.290000000037253,1004864.199999999953434,10455499.910000000149012
20190110,1155655.810000000055879,977176.020000000018626,1070760.960000000195578,1039654.980000000097789,1046761.900000000023283,1057952.320000000065193,1060356.250000000000000,993192.540000000037253,1037671.109999999986030,1006751.799999999930151,10445933.690000001341105
20190111,1148181.549999999813735,982825.520000000018626,1063063.679999999934807,1041687.080000000074506,1039247.560000000055879,1063918.000000000000000,1055083.750000000000000,1006572.720000000088476,1044499.709999999962747,1002323.199999999953434,10447402.769999999552965
20190114,1145574.250000000000000,976498.080000000074506,1065089.280000000027940,1038203.480000000097789,1039031.319999999948777,1042185.880000000004657,1055777.500000000000000,994600.979999999864958,1037443.489999999990687,995353.599999999976717,10389757.859999999403954
20190115,1135927.240000000223517,994802.460000000079162,1057932.160000000149012,1024617.440000000060536,1021569.940000000060536,1058236.399999999906868,1080613.750000000000000,1003051.619999999878928,1047231.150000000023283,997096.000000000000000,10421078.160000000149012
20190116,1144357.510000000242144,993446.580000000074506,1065359.360000000102445,1027926.860000000102445,1024489.179999999934807,1059798.839999999850988,1077838.750000000000000,988497.739999999990687,1039947.310000000055879,997096.000000000000000,10418758.130000000819564
20190117,1169387.589999999850988,999096.080000000074506,1096958.720000000204891,1015327.840000000083819,1036544.560000000055879,1073860.799999999813735,1097957.500000000000000,996948.380000000004657,1031639.179999999934807,996660.400000000023283,10514381.050000000745058
20190118,1187291.049999999813735,1017626.440000000060536,1116539.520000000251457,1042674.100000000209548,1058979.460000000195578,1077695.879999999888241,1116272.500000000000000,998356.819999999948777,1040516.359999999986030,1005517.599999999976717,10661469.729999998584390
20190122,1149398.290000000037253,1011976.940000000060536,1081564.160000000149012,1028333.280000000144355,1039517.859999999986030,1077127.719999999972060,1120435.000000000000000,992253.580000000074506,1029362.979999999981374,1002250.600000000093132,10532220.410000000149012
20190123,1145748.069999999832362,1027343.580000000074506,1085210.239999999990687,1027055.960000000079162,1039680.040000000037253,1071588.159999999916181,1116966.250000000000000,989671.439999999944121,1079439.379999999888241,994700.199999999953434,10577403.320000000298023
20190124,1153656.879999999888241,1030733.280000000027940,1083319.679999999934807,1029378.360000000102445,1040923.420000000158325,1039345.079999999958090,1116133.750000000000000,961267.900000000023283,1073293.640000000130385,999709.599999999860302,10527761.589999999850988
20190125,1189550.709999999962747,1042484.240000000107102,1110867.840000000083819,1047435.020000000135042,1059195.700000000186265,1036220.199999999953434,1118492.500000000000000,953990.959999999962747,1065326.939999999944121,1006751.799999999930151,10630315.910000002011657
20190128,1081000.120000000111759,1033897.000000000000000,1117889.920000000158325,1044125.600000000209548,1044599.500000000000000,1035794.079999999958090,1114468.750000000000000,927934.819999999948777,1064416.459999999962747,987295.000000000000000,10451421.250000000000000
20190129,1099772.680000000167638,1038642.580000000074506,1125452.160000000149012,1043312.760000000125729,1064872.000000000000000,1040197.319999999948777,1113081.250000000000000,957042.580000000074506,1064644.080000000074506,980107.599999999976717,10527125.010000001639128
20190130,1130886.459999999962747,1055591.080000000074506,1140036.479999999981374,1057769.700000000186265,1077413.920000000158325,1042185.880000000004657,1127788.750000000000000,976056.519999999902211,1075797.459999999962747,998983.599999999976717,10682509.849999999627471
20190131,1157394.010000000242144,1068697.919999999925494,1034840.319999999948777,1065607.800000000046566,1082982.100000000093132,1057242.120000000111759,1136113.750000000000000,996478.900000000023283,1097990.410000000149012,980180.199999999953434,10677527.529999999329448
20190201,1137839.260000000242144,1069827.820000000065193,1028358.400000000139698,1070484.840000000083819,1076819.260000000009313,1085934.199999999953434,1130980.000000000000000,1006572.720000000088476,1109371.410000000149012,1017496.599999999976717,10733684.509999999776483
