代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14516761.900000000372529
真實報酬,4516761.900000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18675.198618923008326
風險,189735.540273751743371
起點值,0.098427519651713
找到最佳解世代,1722
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](16),CAT[3](1),KO[14](5),MCD[15](15),PFE[20](8),UNH[23](3),VZ[26](2),XOM[29](11),
FS( 18 ),1309643.650000000372529,1336464.899999999906868,1262183.000000000000000,1275805.320000000065193,1205804.359999999869615,1283643.739999999990687,1330581.399999999674037,1267299.540000000037253,10271425.910000000149012
FS( 19 ),1360994.600000000325963,1364724.159999999916181,1224659.359999999869615,1269966.160000000149012,1220814.199999999953434,1288819.699999999953434,1311418.750000000000000,1246835.449999999953434,10288232.379999998956919
FS( 20 ),1343133.400000000139698,1358186.570000000065193,1244639.479999999981374,1268270.919999999925494,1212475.399999999906868,1259057.929999999934807,1318788.999999999767169,1233544.340000000083819,10238097.039999999105930
FS( 21 ),1278705.500000000232831,1283320.620000000111759,1226608.640000000130385,1251883.599999999860302,1190794.519999999785796,1234903.449999999953434,1314858.199999999953434,1208649.879999999888241,9989724.410000000149012
FS( 22 ),1266266.450000000186265,1266871.199999999953434,1221248.119999999878928,1240770.360000000102445,1189126.759999999776483,1224982.859999999869615,1287342.599999999860302,1204008.540000000037253,9900616.890000000596046
FS( 23 ),1259249.550000000046566,1264762.300000000046566,1219298.839999999850988,1256592.599999999860302,1186625.119999999878928,1201259.709999999962747,1292256.099999999860302,1194303.919999999925494,9874348.140000000596046
FS( 24 ),1257335.850000000325963,1248101.989999999990687,1219786.159999999916181,1245856.080000000074506,1179120.199999999953434,1220669.560000000055879,1317314.949999999720603,1193460.040000000037253,9881644.829999998211861
FS( 25 ),1250637.900000000139698,1261388.060000000055879,1229045.239999999990687,1245291.000000000000000,1191628.399999999906868,1246118.030000000027940,1307487.949999999720603,1212236.370000000111759,9943832.949999999254942
FS( 26 ),1312514.200000000186265,1311368.989999999990687,1254385.879999999888241,1267894.200000000186265,1219146.439999999711290,1259489.259999999776483,1303065.799999999813735,1232700.459999999962747,10160565.230000000447035
FS( 27 ),1343452.350000000093132,1332247.100000000093132,1277289.919999999925494,1300103.760000000009313,1235824.039999999804422,1280193.099999999860302,1315840.899999999906868,1240717.320000000065193,10325668.490000000223517
FS( 28 ),1358124.050000000046566,1364935.050000000046566,1276802.599999999860302,1303870.959999999962747,1231654.639999999897555,1292701.669999999925494,1309453.349999999860302,1240084.409999999916181,10377626.730000000447035
FS( 29 ),1366097.800000000046566,1355655.889999999897555,1278264.560000000055879,1317432.879999999888241,1244996.719999999972060,1295720.979999999981374,1301591.749999999767169,1243459.929999999934807,10403220.509999999776483
FS( 30 ),1408837.100000000325963,1408589.280000000027940,1284599.719999999972060,1334385.280000000027940,1233322.399999999906868,1300034.280000000027940,1321245.750000000000000,1253586.489999999990687,10544600.300000002607703
FS( 31 ),1393846.450000000186265,1406691.270000000018626,1287036.320000000065193,1335515.440000000176951,1237491.799999999813735,1307798.219999999972060,1318788.999999999767169,1250210.969999999972060,10537379.470000000670552
FS( 32 ),1385234.800000000279397,1402684.360000000102445,1288010.959999999962747,1343614.919999999925494,1239993.439999999711290,1331952.699999999953434,1316823.599999999860302,1250421.940000000176951,10558736.719999998807907
FS( 33 ),1319850.050000000279397,1348485.629999999888241,1276315.280000000027940,1317432.879999999888241,1214143.159999999916181,1308660.879999999888241,1311418.750000000000000,1222784.870000000111759,10319091.500000000000000
FS( 34 ),1326229.050000000046566,1366622.169999999925494,1273878.679999999934807,1316867.800000000046566,1228319.119999999878928,1329364.719999999972060,1312892.799999999813735,1232700.459999999962747,10386874.800000000745058
FS( 35 ),1341538.650000000372529,1400997.240000000223517,1297270.040000000037253,1334950.360000000102445,1213309.280000000027940,1329796.049999999813735,1310436.050000000046566,1243670.900000000139698,10471968.570000002160668
FS( 36 ),1312514.200000000186265,1410276.400000000139698,1317737.479999999981374,1320635.000000000000000,1209139.879999999888241,1324188.759999999776483,1303065.799999999813735,1227215.239999999990687,10424772.759999999776483
FS( 37 ),1377580.000000000000000,1434106.969999999972060,1322123.359999999869615,1344933.440000000176951,1234990.159999999916181,1337128.659999999916181,1326650.599999999860302,1252742.610000000102445,10630255.799999998882413
FS( 38 ),1428612.000000000232831,1461733.560000000055879,1334306.359999999869615,1316679.440000000176951,1215810.919999999925494,1333678.020000000018626,1376768.299999999813735,1259915.590000000083819,10727504.190000001341105
FS( 39 ),1449024.800000000279397,1476074.079999999841675,1338692.239999999990687,1334950.360000000102445,1252501.639999999897555,1357401.169999999925494,1389543.399999999906868,1274050.580000000074506,10872238.269999999552965
FS( 40 ),1420957.200000000186265,1458991.990000000223517,1341616.159999999916181,1326097.440000000176951,1273348.639999999897555,1327639.399999999906868,1404775.249999999767169,1282911.320000000065193,10836337.400000000372529
FS( 41 ),1421914.050000000046566,1470380.050000000046566,1337230.280000000027940,1314230.760000000009313,1250833.879999999888241,1308229.549999999813735,1420498.449999999953434,1285021.020000000018626,10808338.039999999105930
FS( 42 ),1421276.150000000372529,1463631.570000000065193,1340154.199999999953434,1306884.719999999972060,1258338.799999999813735,1312974.179999999934807,1419024.399999999906868,1272995.729999999981374,10795279.750000000000000
FS( 43 ),1423827.750000000232831,1471012.719999999972060,1343078.119999999878928,1313477.320000000065193,1250833.879999999888241,1313405.509999999776483,1427868.699999999720603,1259071.709999999962747,10802575.710000000894070
FS( 44 ),1434991.000000000232831,1498428.419999999925494,1374753.919999999925494,1323272.040000000037253,1290860.119999999878928,1356107.179999999934807,1452436.199999999720603,1306750.929999999934807,11037599.809999998658895
FS( 45 ),1422551.950000000186265,1484087.900000000139698,1373779.280000000027940,1327039.239999999990687,1362573.799999999813735,1398377.520000000018626,1451453.499999999767169,1323206.590000000083819,11143069.780000001192093
FS( 46 ),1406923.400000000139698,1499904.650000000139698,1378165.159999999916181,1331559.879999999888241,1370912.600000000093132,1419512.689999999711290,1444574.599999999860302,1323206.590000000083819,11174759.569999998435378
FS( 47 ),1378536.850000000093132,1517619.409999999916181,1373779.280000000027940,1327039.239999999990687,1350065.600000000093132,1441510.520000000018626,1451944.849999999860302,1322995.620000000111759,11163491.370000001043081
FS( 48 ),1387467.450000000186265,1509183.810000000055879,1383038.359999999869615,1351337.679999999934807,1354234.999999999767169,1442804.510000000009313,1451944.849999999860302,1307383.840000000083819,11187395.500000000000000
FS( 49 ),1395441.200000000186265,1519939.199999999720603,1391810.119999999878928,1373564.160000000149012,1369244.840000000083819,1444529.830000000074506,1467176.699999999720603,1317510.400000000139698,11279216.449999999254942
FS( 50 ),1406285.500000000232831,1506231.350000000093132,1388398.879999999888241,1372057.280000000027940,1381753.039999999804422,1437628.549999999813735,1475038.299999999813735,1306539.959999999962747,11273932.860000003129244
FS( 51 ),1370244.150000000139698,1449080.159999999916181,1365494.839999999850988,1348135.559999999823049,1334221.879999999888241,1379830.329999999841675,1452436.199999999720603,1274050.580000000074506,10973493.699999999254942
FS( 52 ),1344409.200000000186265,1423562.469999999972060,1357210.399999999906868,1357365.200000000186265,1350899.479999999748543,1385868.949999999953434,1489778.799999999813735,1270675.059999999823049,10979769.560000000521541
FS( 53 ),1331013.300000000046566,1434317.860000000102445,1358185.040000000037253,1354163.080000000074506,1340892.919999999692664,1381555.649999999906868,1475529.649999999906868,1263924.020000000018626,10939581.519999999552965
FS( 54 ),1324953.250000000232831,1444440.579999999841675,1361596.280000000027940,1352279.480000000214204,1336723.520000000018626,1375948.359999999869615,1472090.199999999953434,1263291.110000000102445,10931322.779999999329448
FS( 55 ),1331332.250000000232831,1470801.829999999841675,1367444.119999999878928,1379214.959999999962747,1356736.639999999897555,1395358.209999999962747,1482408.550000000046566,1283122.290000000037253,11066418.850000001490116
FS( 56 ),1329737.500000000000000,1471012.719999999972060,1360621.640000000130385,1379780.040000000037253,1342560.679999999934807,1403553.479999999981374,1481425.849999999860302,1268987.300000000046566,11037679.210000000894070
FS( 57 ),1306454.150000000139698,1461311.780000000027940,1346976.679999999934807,1374505.959999999962747,1336723.520000000018626,1371203.729999999981374,1455384.299999999813735,1250843.879999999888241,10903404.000000000000000
FS( 58 ),1300075.150000000139698,1452243.510000000009313,1347464.000000000000000,1376577.919999999925494,1327550.839999999850988,1363439.789999999804422,1443100.549999999813735,1242405.080000000074506,10852856.839999999850988
FS( 59 ),1282213.950000000186265,1409643.729999999981374,1354773.800000000046566,1381475.280000000027940,1342560.679999999934807,1358695.159999999916181,1445065.949999999953434,1255274.250000000000000,10829702.800000000745058
FS( 60 ),1262120.100000000093132,1371683.530000000027940,1356235.759999999776483,1369796.959999999962747,1319212.039999999804422,1338853.979999999981374,1448014.049999999813735,1243459.929999999934807,10709376.349999997764826
FS( 61 ),1269455.950000000186265,1364513.270000000018626,1349900.599999999860302,1378649.879999999888241,1333388.000000000000000,1378536.339999999850988,1457349.699999999953434,1242827.020000000018626,10774620.759999999776483
FS( 62 ),1267223.300000000046566,1348696.520000000018626,1344052.759999999776483,1378084.800000000046566,1325883.079999999841675,1373791.709999999962747,1449488.099999999860302,1233755.309999999823049,10720975.580000000074506
FS( 63 ),1304859.400000000139698,1389820.070000000065193,1368418.759999999776483,1393718.679999999934807,1341726.799999999813735,1396220.869999999878928,1466193.999999999767169,1261603.349999999860302,10922561.929999999701977
FS( 64 ),1272326.500000000232831,1359662.800000000046566,1353799.159999999916181,1370173.679999999934807,1322547.559999999823049,1376379.689999999944121,1446540.000000000000000,1244725.750000000000000,10746155.139999998733401
FS( 65 ),1271688.600000000093132,1374214.209999999962747,1361596.280000000027940,1376201.200000000186265,1326716.959999999962747,1368184.419999999925494,1450962.149999999906868,1247046.419999999925494,10776610.240000000223517
FS( 66 ),1309962.600000000093132,1437481.209999999962747,1396683.320000000065193,1404078.480000000214204,1357570.520000000018626,1405710.130000000121072,1486830.699999999953434,1285021.020000000018626,11083337.980000000447035
FS( 67 ),1303902.550000000279397,1445495.030000000027940,1398145.280000000027940,1413119.760000000009313,1367577.079999999841675,1417356.039999999804422,1479460.449999999720603,1288185.570000000065193,11113241.759999999776483
FS( 68 ),1333245.950000000186265,1477972.089999999850988,1402531.159999999916181,1414438.280000000027940,1372580.359999999869615,1462645.689999999711290,1483882.599999999860302,1293670.790000000037253,11240966.919999998062849
FS( 69 ),1278705.500000000232831,1469958.270000000018626,1404480.439999999944121,1427811.840000000083819,1361739.919999999692664,1457038.399999999906868,1484865.299999999813735,1277426.099999999860302,11162025.770000001415610
FS( 70 ),1278067.600000000093132,1491890.829999999841675,1409353.640000000130385,1433085.919999999925494,1380919.159999999683350,1460057.709999999962747,1496657.699999999953434,1281645.500000000000000,11231678.059999998658895
FS( 71 ),1297842.500000000000000,1489781.929999999934807,1420562.000000000000000,1400876.360000000102445,1398430.639999999897555,1467390.320000000065193,1515328.999999999767169,1287974.599999999860302,11278187.349999999627471
FS( 72 ),1281895.000000000000000,1502857.110000000102445,1425922.520000000018626,1412931.400000000139698,1416775.999999999767169,1487662.830000000074506,1514346.299999999813735,1291139.150000000139698,11333530.310000000521541
FS( 73 ),1314746.850000000093132,1523524.329999999841675,1414226.839999999850988,1404643.559999999823049,1415108.239999999757856,1497583.419999999925494,1518277.099999999860302,1286919.750000000000000,11375030.089999997988343
FS( 74 ),1287955.050000000279397,1514877.839999999850988,1403505.800000000046566,1392776.879999999888241,1424280.919999999692664,1492838.789999999804422,1518768.449999999953434,1287130.719999999972060,11322134.449999999254942
FS( 75 ),1302945.700000000186265,1521204.539999999804422,1399119.919999999925494,1407280.599999999860302,1440124.639999999897555,1478173.570000000065193,1532526.250000000000000,1286919.750000000000000,11368294.969999998807907
FS( 76 ),1306454.150000000139698,1518462.969999999972060,1401556.520000000018626,1408975.840000000083819,1431785.840000000083819,1476879.580000000074506,1543827.300000000046566,1286286.840000000083819,11374229.040000000968575
FS( 77 ),1319531.100000000093132,1543347.990000000223517,1402531.159999999916181,1399934.559999999823049,1422613.159999999683350,1472134.949999999953434,1556602.399999999906868,1282278.409999999916181,11398973.729999998584390
FS( 78 ),1375347.350000000093132,1576457.719999999972060,1412764.879999999888241,1414815.000000000000000,1440124.639999999897555,1506641.349999999860302,1576747.750000000000000,1298523.099999999860302,11601421.789999999105930
FS( 79 ),1364503.050000000279397,1611043.679999999934807,1416176.119999999878928,1422349.400000000139698,1429284.199999999953434,1520875.239999999757856,1588048.799999999813735,1298312.129999999888241,11650592.620000001043081
FS( 80 ),1364822.000000000232831,1606614.990000000223517,1419100.040000000037253,1415191.719999999972060,1435955.239999999757856,1538991.099999999860302,1591488.250000000000000,1296413.400000000139698,11668576.740000000223517
FS( 81 ),1351107.150000000139698,1608302.110000000102445,1410328.280000000027940,1405962.080000000074506,1420945.399999999906868,1528639.179999999701977,1580678.550000000046566,1290084.300000000046566,11596047.050000000745058
FS( 82 ),1375666.300000000279397,1681480.939999999944121,1428359.119999999878928,1414626.639999999897555,1450965.079999999841675,1541147.749999999767169,1603772.000000000000000,1302742.500000000000000,11798760.330000000074506
FS( 83 ),1385553.750000000000000,1677474.030000000027940,1427871.800000000046566,1408222.400000000139698,1431785.840000000083819,1524757.209999999962747,1614581.699999999720603,1301898.620000000111759,11772145.350000001490116
FS( 84 ),1393527.500000000000000,1680215.600000000093132,1440054.800000000046566,1405773.719999999972060,1453466.719999999972060,1511385.979999999981374,1607702.799999999813735,1309282.570000000065193,11801409.690000001341105
FS( 85 ),1371838.900000000139698,1686964.079999999841675,1431770.359999999869615,1402383.239999999990687,1450965.079999999841675,1518287.260000000009313,1604754.699999999720603,1299366.979999999981374,11766330.599999999627471
FS( 86 ),1340581.800000000279397,1659337.490000000223517,1425922.520000000018626,1403513.400000000139698,1431785.840000000083819,1514405.289999999804422,1601315.250000000000000,1303586.379999999888241,11680447.969999998807907
FS( 87 ),1332608.050000000279397,1649636.550000000046566,1440542.119999999878928,1411236.160000000149012,1432619.719999999972060,1528207.849999999860302,1616055.750000000000000,1319409.129999999888241,11730315.330000001937151
FS( 88 ),1245534.700000000186265,1629602.000000000000000,1434694.280000000027940,1411801.239999999990687,1409271.079999999841675,1489819.479999999981374,1622934.649999999906868,1312025.179999999934807,11555682.610000001266599
FS( 89 ),1220975.550000000279397,1674521.570000000065193,1453699.759999999776483,1428188.559999999823049,1436789.119999999878928,1512679.969999999972060,1649467.549999999813735,1334598.969999999972060,11710921.049999998882413
FS( 90 ),1213958.650000000372529,1663133.510000000009313,1456136.359999999869615,1420277.440000000176951,1433453.600000000093132,1468684.309999999823049,1633744.349999999860302,1344303.590000000083819,11633691.810000000521541
FS( 91 ),1206303.850000000093132,1660602.829999999841675,1448339.239999999990687,1428942.000000000000000,1449297.319999999832362,1481192.880000000121072,1618021.149999999906868,1347046.199999999953434,11639745.470000000670552
FS( 92 ),1211726.000000000232831,1694977.900000000139698,1447851.919999999925494,1433462.639999999897555,1455968.359999999869615,1481624.209999999962747,1613107.649999999674037,1358227.609999999869615,11696946.290000000968575
FS( 93 ),1210131.250000000000000,1686753.189999999944121,1451263.159999999916181,1423856.280000000027940,1449297.319999999832362,1494564.109999999869615,1622934.649999999906868,1361814.099999999860302,11700614.059999998658895
FS( 94 ),1229268.250000000232831,1673256.229999999981374,1452237.800000000046566,1423667.919999999925494,1457636.119999999878928,1510523.320000000065193,1598858.499999999767169,1364978.650000000139698,11710426.790000000968575
FS( 95 ),1252232.650000000139698,1693290.780000000027940,1460522.239999999990687,1426870.040000000037253,1478483.119999999878928,1523463.219999999972060,1582643.949999999953434,1372151.630000000121072,11789657.630000000819564
FS( 96 ),1257973.750000000000000,1685276.959999999962747,1460034.919999999925494,1451168.480000000214204,1472645.959999999962747,1543304.399999999906868,1593944.999999999767169,1377636.849999999860302,11841986.320000000298023
FS( 97 ),1246810.500000000232831,1681902.719999999972060,1460522.239999999990687,1459456.320000000065193,1480150.879999999888241,1551930.999999999767169,1593453.649999999906868,1375316.179999999934807,11849543.490000000223517
FS( 98 ),1261482.200000000186265,1692236.329999999841675,1461984.199999999953434,1456442.559999999823049,1484320.280000000027940,1563576.909999999916181,1601315.250000000000000,1398311.909999999916181,11919669.640000000596046
FS( 99 ),1253827.400000000372529,1656595.919999999925494,1470268.640000000130385,1450226.679999999934807,1450131.199999999953434,1522600.559999999823049,1580187.199999999720603,1373839.390000000130385,11757676.990000000223517
FS( 100 ),1267223.300000000046566,1693923.449999999720603,1490248.759999999776483,1458137.800000000046566,1472645.959999999962747,1584280.749999999767169,1603772.000000000000000,1392615.720000000204891,11962847.740000000223517
FS( 101 ),1284446.600000000325963,1663766.179999999934807,1498045.879999999888241,1477538.879999999888241,1470144.319999999832362,1573928.830000000074506,1597875.800000000046566,1399155.789999999804422,11964902.279999999329448
FS( 102 ),1244896.800000000279397,1651956.339999999850988,1501457.119999999878928,1479610.840000000083819,1459303.879999999888241,1607141.239999999757856,1576747.750000000000000,1399577.729999999981374,11920691.699999999254942
FS( 103 ),1253508.450000000186265,1667140.419999999925494,1486837.520000000018626,1482436.239999999990687,1469310.439999999944121,1620081.140000000130385,1589522.849999999860302,1396624.150000000139698,11965461.210000000894070
FS( 104 ),1279024.450000000186265,1658704.820000000065193,1492198.040000000037253,1483566.400000000139698,1458469.999999999767169,1620512.469999999972060,1596893.099999999860302,1403586.159999999916181,11992955.440000001341105
FS( 105 ),1297523.550000000279397,1649636.550000000046566,1491223.399999999906868,1459456.320000000065193,1440958.520000000018626,1549774.349999999860302,1597384.449999999720603,1385442.739999999990687,11871399.879999998956919
FS( 106 ),1314746.850000000093132,1639513.829999999841675,1491710.719999999972060,1459456.320000000065193,1465141.039999999804422,1563576.909999999916181,1592470.949999999720603,1397046.090000000083819,11923662.709999999031425
FS( 107 ),1322401.650000000139698,1657650.369999999878928,1494147.320000000065193,1464918.760000000009313,1452632.840000000083819,1554950.309999999823049,1595910.399999999674037,1402742.279999999795109,11945353.929999999701977
FS( 108 ),1325591.150000000372529,1671780.000000000000000,1503893.719999999972060,1466990.719999999972060,1469310.439999999944121,1557538.289999999804422,1591979.599999999860302,1412446.900000000139698,11999530.819999998435378
FS( 109 ),1352064.000000000232831,1681902.719999999972060,1507304.959999999962747,1476785.440000000176951,1455134.479999999748543,1595926.659999999916181,1611633.599999999627471,1431223.229999999981374,12111975.089999999850988
FS( 110 ),1341857.600000000093132,1684644.289999999804422,1509741.560000000055879,1478669.040000000037253,1466808.799999999813735,1581261.439999999711290,1620969.250000000000000,1433965.840000000083819,12117917.819999998435378
FS( 111 ),1394803.300000000046566,1754237.990000000223517,1521924.560000000055879,1491477.520000000251457,1449297.319999999832362,1587300.059999999823049,1647010.800000000046566,1463712.609999999869615,12309764.160000000149012
FS( 112 ),1405647.600000000093132,1761830.030000000027940,1524848.479999999981374,1493737.840000000083819,1432619.719999999972060,1589888.039999999804422,1642588.649999999906868,1476792.750000000000000,12327953.109999999403954
FS( 113 ),1400225.450000000186265,1752972.650000000139698,1521924.560000000055879,1493926.200000000186265,1421779.280000000027940,1601102.619999999878928,1629813.550000000046566,1483543.789999999804422,12305288.099999999627471
FS( 114 ),1383002.150000000139698,1727454.959999999962747,1526310.439999999944121,1489970.639999999897555,1416775.999999999767169,1595063.999999999767169,1621951.949999999720603,1490083.859999999869615,12250613.999999998137355
FS( 115 ),1389381.150000000372529,1739053.909999999916181,1524361.159999999916181,1497505.040000000037253,1403433.919999999692664,1602827.939999999711290,1614090.349999999860302,1500632.359999999869615,12271285.830000000074506
FS( 116 ),1382683.200000000186265,1738632.129999999888241,1530209.000000000000000,1501272.239999999990687,1415942.119999999878928,1616199.169999999925494,1603280.649999999906868,1515400.260000000009313,12303618.769999999552965
FS( 117 ),1361951.450000000186265,1709107.530000000027940,1533132.919999999925494,1485261.639999999897555,1405101.679999999934807,1581692.770000000018626,1599841.199999999953434,1497678.779999999795109,12173767.969999998807907
FS( 118 ),1361951.450000000186265,1725556.949999999720603,1534107.560000000055879,1489405.559999999823049,1396762.879999999888241,1529933.169999999925494,1610159.550000000046566,1486919.310000000055879,12134796.430000001564622
FS( 119 ),1337392.300000000279397,1694977.900000000139698,1512665.479999999981374,1458326.160000000149012,1384254.679999999934807,1510091.989999999757856,1581661.249999999767169,1454429.929999999934807,11933799.689999999478459
FS( 120 ),1320806.900000000139698,1711849.100000000093132,1523386.520000000018626,1476220.360000000102445,1374248.119999999878928,1523894.549999999813735,1589031.500000000000000,1455906.720000000204891,11975343.770000001415610
FS( 121 ),1347598.700000000186265,1752761.760000000009313,1555549.640000000130385,1488463.760000000009313,1403433.919999999692664,1536834.449999999953434,1604263.349999999860302,1483332.820000000065193,12172238.399999998509884
FS( 122 ),1363546.200000000186265,1770898.300000000046566,1567245.319999999832362,1500142.080000000074506,1400932.280000000027940,1552793.659999999916181,1601315.250000000000000,1488185.130000000121072,12245058.220000000670552
FS( 123 ),1346641.850000000093132,1771530.969999999972060,1566270.679999999934807,1497881.760000000009313,1386756.319999999832362,1572634.839999999850988,1596893.099999999860302,1480801.179999999934807,12219410.699999999254942
FS( 124 ),1338030.200000000186265,1742639.039999999804422,1550189.119999999878928,1488275.400000000139698,1381753.039999999804422,1554950.309999999823049,1591488.250000000000000,1455273.810000000055879,12102599.170000001788139
FS( 125 ),1371519.950000000186265,1786082.379999999888241,1574555.120000000111759,1497128.320000000065193,1391759.600000000093132,1560557.599999999860302,1589522.849999999860302,1474261.109999999869615,12245386.929999999701977
FS( 126 ),1348236.600000000325963,1774272.539999999804422,1562372.120000000111759,1479422.480000000214204,1375081.999999999767169,1547617.699999999953434,1582643.949999999953434,1460548.060000000055879,12130195.449999999254942
FS( 127 ),1382045.300000000046566,1764571.600000000093132,1544828.599999999860302,1474148.400000000139698,1380919.159999999683350,1578242.130000000121072,1567412.099999999860302,1465189.400000000139698,12157356.690000001341105
FS( 128 ),1378536.850000000093132,1784184.369999999878928,1539468.079999999841675,1474901.840000000083819,1359238.280000000027940,1575222.820000000065193,1572816.949999999720603,1467510.070000000065193,12151879.259999999776483
FS( 129 ),1412983.450000000186265,1844288.020000000018626,1576504.399999999906868,1493549.480000000214204,1392593.479999999748543,1624825.770000000018626,1589522.849999999860302,1504851.760000000009313,12439119.209999999031425
FS( 130 ),1434672.050000000046566,1868962.150000000139698,1581377.600000000093132,1495244.719999999972060,1391759.600000000093132,1641216.309999999823049,1608685.500000000000000,1508016.310000000055879,12529934.240000002086163
FS( 131 ),1431482.550000000279397,1884989.789999999804422,1571631.199999999953434,1502402.400000000139698,1394261.239999999757856,1631295.719999999972060,1616547.099999999860302,1501898.179999999934807,12534508.179999999701977
FS( 132 ),1435309.950000000186265,1881193.770000000018626,1559448.199999999953434,1499011.919999999925494,1401766.159999999683350,1608435.229999999981374,1616055.750000000000000,1504429.820000000065193,12505650.800000000745058
FS( 133 ),1428293.050000000279397,1905446.119999999878928,1562859.439999999944121,1513327.280000000027940,1398430.639999999897555,1586006.070000000065193,1619003.850000000093132,1507594.369999999878928,12520960.819999998435378
FS( 134 ),1455403.800000000279397,1890051.150000000139698,1569194.600000000093132,1483189.679999999934807,1394261.239999999757856,1589025.380000000121072,1620477.899999999674037,1515822.199999999953434,12517425.950000001117587
