代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14251532.150000000372529
真實報酬,4251532.150000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16426.495535659116285
風險,166999.499282823293470
起點值,0.098362543637570
找到最佳解世代,4189
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
BA[2](7),DD[7](11),MCD[15](22),MMM[16](1),UNH[23](10),
FS( 16 ),2052687.050000000046566,2196500.700000000186265,2051227.560000000055879,2064007.719999999972060,2035627.520000000018626,10400050.550000000745058
FS( 17 ),2054038.000000000000000,2212795.879999999888241,2038592.959999999729916,2061349.959999999962747,2012246.959999999962747,10379023.759999999776483
FS( 18 ),2048904.390000000130385,2192187.270000000018626,2038133.520000000018626,2051826.320000000065193,2020411.600000000093132,10351463.099999999627471
FS( 19 ),2018102.729999999981374,2158159.100000000093132,2011945.439999999944121,2032779.040000000037253,1998886.640000000130385,10219872.949999999254942
FS( 20 ),2036205.460000000195578,2206565.370000000111759,2026417.799999999813735,2056477.399999999906868,2012989.200000000186265,10338655.230000000447035
FS( 21 ),2082407.949999999953434,2255930.180000000167638,2070294.320000000065193,2099223.040000000037253,2024122.800000000046566,10531978.290000000968575
FS( 22 ),2093215.550000000046566,2262639.959999999962747,2082010.039999999804422,2096786.760000000242144,1929487.200000000186265,10464139.510000001639128
FS( 23 ),2099159.729999999981374,2295230.319999999832362,2064091.879999999888241,2112290.360000000335276,1933198.400000000139698,10503970.689999999478459
FS( 24 ),2057010.090000000083819,2292833.970000000204891,2088442.199999999953434,2114948.120000000111759,1933198.400000000139698,10486432.780000001192093
FS( 25 ),2002972.090000000083819,2259285.069999999832362,2089131.359999999869615,2115169.600000000093132,1907591.120000000111759,10374149.239999998360872
FS( 26 ),2074032.060000000288710,2286603.459999999962747,2086145.000000000000000,2135324.279999999795109,1943589.760000000009313,10525694.560000000521541
FS( 27 ),2082948.330000000307336,2309608.419999999925494,2099698.480000000447035,2145955.320000000298023,1971052.640000000130385,10609263.190000001341105
FS( 28 ),2030801.659999999916181,2311046.229999999981374,2107279.240000000223517,2132445.040000000037253,1960290.160000000149012,10541862.330000000074506
FS( 29 ),2068358.070000000065193,2339802.430000000167638,2102684.839999999850988,2150163.439999999944121,1980330.640000000130385,10641339.419999999925494
FS( 30 ),2078895.479999999981374,2326862.140000000130385,2102225.400000000372529,2154814.520000000018626,1989979.760000000009313,10652777.300000000745058
FS( 31 ),2008646.080000000307336,2297147.399999999906868,2092806.879999999888241,2161680.399999999906868,1991464.239999999990687,10551745.000000000000000
FS( 32 ),2033503.560000000288710,2307691.339999999850988,2107968.400000000372529,2172311.439999999944121,2018927.120000000111759,10640401.859999999403954
FS( 33 ),2027559.380000000353903,2306732.800000000279397,2119454.400000000372529,2186929.120000000111759,2024865.040000000037253,10665540.740000002086163
FS( 34 ),2003782.659999999916181,2317276.740000000223517,2135305.080000000074506,2199996.439999999944121,2079048.560000000288710,10735409.480000000447035
FS( 35 ),2007295.130000000353903,2325903.600000000093132,2147480.240000000223517,2203540.120000000111759,2074966.239999999990687,10759185.330000000074506
FS( 36 ),2035124.699999999953434,2349867.100000000093132,2143575.000000000000000,2207526.760000000242144,2086470.959999999962747,10822564.519999999552965
FS( 37 ),2027289.190000000176951,2360411.040000000037253,2152993.519999999552965,2227902.920000000391155,2079790.800000000046566,10848387.470000000670552
FS( 38 ),1999459.620000000111759,2349387.830000000074506,2167695.599999999627471,2229231.800000000279397,2071255.040000000037253,10817029.890000000596046
FS( 39 ),1990002.970000000204891,2370475.709999999962747,2180559.919999999925494,2254923.479999999981374,2088697.680000000167638,10884659.759999999776483
FS( 40 ),2015400.830000000307336,2362328.120000000111759,2174816.919999999925494,2232554.000000000000000,2081275.280000000027940,10866375.150000000372529
FS( 41 ),1995947.150000000139698,2197938.510000000242144,2189059.560000000521541,2227017.000000000000000,2048987.840000000083819,10658950.060000000521541
FS( 42 ),2022966.150000000139698,2224298.359999999869615,2204221.080000000074506,2249386.479999999981374,2069770.560000000288710,10770642.630000000819564
FS( 43 ),2032152.609999999869615,2193145.810000000055879,2173208.879999999888241,2231889.560000000055879,2069028.320000000065193,10699425.179999999701977
FS( 44 ),2050525.530000000027940,2205127.560000000055879,2180330.200000000186265,2247836.120000000111759,2143994.560000000521541,10827813.970000000670552
FS( 45 ),2061333.130000000353903,2220464.200000000186265,2184005.719999999739230,2274413.720000000204891,2129520.879999999888241,10869737.649999998509884
FS( 46 ),2092134.790000000270084,2197938.510000000242144,2173898.040000000037253,2264004.160000000149012,2117273.919999999925494,10845249.419999999925494
FS( 47 ),2068628.260000000242144,2212795.879999999888241,2179411.320000000298023,2273749.279999999795109,2142881.200000000186265,10877465.940000001341105
FS( 48 ),2049985.150000000139698,2216630.040000000037253,2186302.919999999925494,2272863.360000000335276,2119871.759999999776483,10845653.230000000447035
FS( 49 ),2053227.429999999934807,2235800.839999999850988,2184694.879999999888241,2291467.680000000167638,2115789.440000000409782,10880980.269999999552965
FS( 50 ),2020534.440000000176951,2252575.290000000037253,2159425.679999999701977,2278178.879999999888241,2123954.080000000074506,10834668.369999999180436
FS( 51 ),2024587.290000000270084,2217588.580000000074506,2149318.000000000000000,2276407.040000000037253,2117273.919999999925494,10785174.830000000074506
FS( 52 ),2027289.190000000176951,2195062.890000000130385,2157128.480000000447035,2286373.640000000130385,2127294.160000000149012,10793148.360000001266599
FS( 53 ),2017021.970000000204891,2197938.510000000242144,2155979.879999999888241,2307414.240000000223517,2102800.240000000223517,10781154.840000001713634
FS( 54 ),2020534.440000000176951,2159596.910000000149012,2157358.200000000186265,2284601.800000000279397,2048987.840000000083819,10671079.190000001341105
FS( 55 ),2053767.810000000288710,2104960.129999999888241,2162641.759999999776483,2275078.160000000149012,2050101.200000000186265,10646549.059999998658895
FS( 56 ),2071330.159999999916181,2141863.919999999925494,2188140.679999999701977,2293239.520000000018626,2021524.959999999962747,10716099.239999998360872
FS( 57 ),2027289.190000000176951,2091061.300000000046566,2208585.759999999776483,2253594.600000000093132,1978103.919999999925494,10558634.769999999552965
FS( 58 ),2044040.970000000204891,2108315.020000000018626,2210423.519999999552965,2265997.479999999981374,1968825.919999999925494,10597602.910000000149012
FS( 59 ),2090243.460000000195578,2171099.390000000130385,2199167.240000000223517,2293903.959999999962747,1999257.760000000009313,10753671.810000000521541
FS( 60 ),2077814.720000000204891,2164868.879999999888241,2203072.480000000447035,2303427.600000000093132,1983670.720000000204891,10732854.400000000372529
FS( 61 ),2088081.940000000176951,2171099.390000000130385,2198018.639999999664724,2298333.560000000055879,1986268.560000000288710,10741802.089999999850988
FS( 62 ),2082948.330000000307336,2178767.709999999962747,2184005.719999999739230,2287481.040000000037253,1978846.160000000149012,10712048.960000000894070
FS( 63 ),2125368.160000000149012,2197938.510000000242144,2201005.000000000000000,2313394.200000000186265,1985526.320000000065193,10823232.190000001341105
FS( 64 ),2136716.140000000130385,2232445.950000000186265,2223977.000000000000000,2318045.279999999795109,1989608.640000000130385,10900793.009999999776483
FS( 65 ),2189943.569999999832362,2218067.850000000093132,2230409.160000000149012,2315387.520000000018626,1996659.919999999925494,10950468.019999999552965
FS( 66 ),2194806.990000000223517,2236759.379999999888241,2267623.799999999813735,2341300.680000000167638,1997031.040000000037253,11037521.890000000596046
FS( 67 ),2241009.479999999981374,2251616.750000000000000,2271758.759999999776483,2343515.479999999981374,2011875.840000000083819,11119776.310000000521541
FS( 68 ),2273972.660000000149012,2268870.470000000204891,2268772.400000000372529,2328454.839999999850988,2034885.280000000027940,11174955.650000000372529
FS( 69 ),2289913.870000000111759,2266474.120000000111759,2283015.040000000037253,2327568.920000000391155,2021896.079999999841675,11188868.030000001192093
FS( 70 ),2286401.400000000372529,2298105.939999999944121,2281407.000000000000000,2348166.560000000055879,2031174.079999999841675,11245254.980000000447035
FS( 71 ),2335305.790000000502914,2307691.339999999850988,2289676.919999999925494,2356582.800000000279397,2031174.079999999841675,11320430.930000001564622
FS( 72 ),2301532.040000000502914,2270787.550000000279397,2264407.719999999739230,2334656.279999999795109,2041194.320000000065193,11212577.910000000149012
FS( 73 ),2310448.310000000055879,2265515.580000000074506,2260502.480000000447035,2329562.240000000223517,2047503.360000000102445,11213531.970000000670552
FS( 74 ),2306665.650000000372529,2282290.029999999795109,2269002.120000000111759,2340193.279999999795109,2036740.880000000121072,11234891.960000000894070
FS( 75 ),2278565.890000000130385,2216630.040000000037253,2263488.839999999850988,2324246.720000000204891,2043421.040000000037253,11126352.530000001192093
FS( 76 ),2291805.199999999720603,2237238.649999999906868,2280488.120000000111759,2357025.760000000242144,2021153.840000000083819,11187711.570000000298023
FS( 77 ),2292615.770000000018626,2203689.750000000000000,2256826.959999999962747,2329340.760000000242144,2035998.640000000130385,11118471.880000000819564
FS( 78 ),2340439.400000000372529,2184039.680000000167638,2262799.679999999701977,2349273.959999999962747,2065317.120000000111759,11201869.839999999850988
FS( 79 ),2329091.420000000391155,2169182.310000000055879,2271988.480000000447035,2331998.520000000018626,2101315.759999999776483,11203576.490000000223517
FS( 80 ),2319634.770000000018626,2173016.470000000204891,2290136.360000000335276,2354589.479999999981374,2123211.839999999850988,11260588.919999999925494
FS( 81 ),2303423.370000000111759,2140905.379999999888241,2275434.280000000260770,2339971.800000000279397,2188528.959999999962747,11248263.789999999105930
FS( 82 ),2272081.330000000074506,2112628.450000000186265,2303230.400000000372529,2359240.560000000055879,2291329.200000000186265,11338509.940000001341105
FS( 83 ),2279376.459999999962747,2115983.339999999850988,2280028.679999999701977,2340636.240000000223517,2288731.360000000335276,11304756.079999998211861
FS( 84 ),2295317.670000000391155,2145218.810000000055879,2311730.040000000037253,2343736.959999999962747,2302091.679999999701977,11398095.160000000149012
FS( 85 ),2328280.850000000093132,2108794.290000000037253,2329877.919999999925494,2342851.040000000037253,2304689.520000000484288,11414493.620000001043081
FS( 86 ),2343951.870000000111759,2093936.919999999925494,2331715.679999999701977,2342186.600000000093132,2296896.000000000000000,11408687.070000000298023
FS( 87 ),2356380.609999999869615,2145698.080000000074506,2321608.000000000000000,2346616.200000000186265,2307658.480000000447035,11477961.370000001043081
FS( 88 ),2372862.199999999720603,2172537.200000000186265,2331485.959999999962747,2385153.720000000204891,2316194.240000000223517,11578233.320000000298023
FS( 89 ),2392045.689999999944121,2174454.279999999795109,2342971.959999999962747,2397556.600000000093132,2337348.080000000074506,11644376.609999999403954
FS( 90 ),2401772.530000000260770,2166785.959999999962747,2379727.160000000149012,2384932.240000000223517,2339203.679999999701977,11672421.570000000298023
FS( 91 ),2344492.250000000000000,2059908.750000000000000,2346647.480000000447035,2342408.080000000074506,2285762.400000000372529,11379218.960000000894070
FS( 92 ),2347734.530000000260770,2066139.260000000009313,2367092.560000000521541,2351045.800000000279397,2331039.040000000037253,11463051.190000001341105
FS( 93 ),2342330.729999999981374,2068056.340000000083819,2355606.560000000521541,2336206.640000000130385,2302091.679999999701977,11404291.950000001117587
FS( 94 ),2326929.900000000372529,2059908.750000000000000,2341134.200000000186265,2325132.640000000130385,2215249.599999999627471,11268355.089999999850988
FS( 95 ),2376644.859999999869615,2085310.060000000055879,2295419.919999999925494,2341300.680000000167638,2228238.799999999813735,11326914.320000000298023
FS( 96 ),2349085.479999999981374,2115024.800000000279397,2281636.719999999739230,2343294.000000000000000,2197806.959999999962747,11286847.960000000894070
FS( 97 ),2382589.040000000502914,2161034.720000000204891,2291744.400000000372529,2378509.320000000298023,2172570.799999999813735,11386448.280000001192093
FS( 98 ),2454189.390000000130385,2195542.160000000149012,2320689.120000000111759,2389140.360000000335276,2181848.799999999813735,11541409.830000001937151
FS( 99 ),2476885.350000000093132,2318714.550000000279397,2318851.360000000335276,2322917.839999999850988,2202260.400000000372529,11639629.500000001862645
FS( 100 ),2508767.770000000018626,2280852.220000000204891,2317702.759999999776483,2298776.520000000018626,2207456.080000000074506,11613555.349999999627471
FS( 101 ),2483099.720000000204891,2311525.500000000000000,2347336.639999999664724,2299662.439999999944121,2227125.440000000409782,11668749.740000002086163
FS( 102 ),2469860.410000000149012,2314401.120000000111759,2346417.759999999776483,2319152.680000000167638,2224156.480000000447035,11673988.450000001117587
FS( 103 ),2463646.040000000502914,2262639.959999999962747,2328959.040000000037253,2315609.000000000000000,2216362.959999999962747,11587217.000000000000000
FS( 104 ),2491475.609999999869615,2260722.879999999888241,2344580.000000000000000,2348609.520000000018626,2207456.080000000074506,11652844.089999999850988
FS( 105 ),2532814.680000000167638,2317756.010000000242144,2364335.919999999925494,2388254.439999999944121,2186673.360000000335276,11789834.410000000149012
FS( 106 ),2544973.229999999981374,2321110.899999999906868,2344809.719999999739230,2388475.920000000391155,2234176.719999999739230,11833546.489999998360872
FS( 107 ),2561184.630000000353903,2357535.419999999925494,2349863.560000000521541,2392241.080000000074506,2245310.320000000298023,11906135.010000001639128
FS( 108 ),2540920.380000000353903,2355618.339999999850988,2319081.080000000074506,2396449.200000000186265,2319905.440000000409782,11931974.440000001341105
FS( 109 ),2556321.209999999962747,2383416.000000000000000,2290136.360000000335276,2434543.760000000242144,2301349.440000000409782,11965766.769999999552965
FS( 110 ),2546324.180000000167638,2351784.180000000167638,2301852.080000000074506,2446946.640000000130385,2334750.240000000223517,11981657.320000000298023
FS( 111 ),2560374.060000000055879,2344595.129999999888241,2305987.040000000037253,2447389.600000000093132,2315452.000000000000000,11973797.830000000074506
FS( 112 ),2596849.709999999962747,2383895.270000000018626,2324824.080000000074506,2449382.920000000391155,2290958.080000000074506,12045910.060000000521541
FS( 113 ),2621437.000000000000000,2412172.200000000186265,2342053.080000000074506,2469537.600000000093132,2286504.639999999664724,12131704.519999999552965
FS( 114 ),2609548.640000000130385,2395877.020000000018626,2322986.320000000298023,2460013.959999999962747,2306174.000000000000000,12094599.940000001341105
FS( 115 ),2672773.100000000093132,2444762.560000000055879,2332634.560000000521541,2467101.320000000298023,2332152.400000000372529,12249423.940000001341105
FS( 116 ),2667369.300000000279397,2430384.459999999962747,2332634.560000000521541,2474410.160000000149012,2321761.040000000037253,12226559.519999999552965
FS( 117 ),2668179.870000000111759,2441886.939999999944121,2346417.759999999776483,2480833.080000000074506,2333265.759999999776483,12270583.410000000149012
FS( 118 ),2646024.290000000502914,2396835.560000000055879,2337228.959999999962747,2453812.520000000018626,2311369.679999999701977,12145271.009999999776483
FS( 119 ),2695198.870000000111759,2395877.020000000018626,2320918.839999999850988,2445396.279999999795109,2314338.639999999664724,12171729.649999998509884
FS( 120 ),2701953.620000000111759,2394439.209999999962747,2303919.560000000521541,2442295.560000000055879,2303205.040000000037253,12145812.990000002086163
FS( 121 ),2704925.709999999962747,2391563.589999999850988,2325742.959999999962747,2471530.920000000391155,2350708.400000000372529,12244471.580000000074506
FS( 122 ),2677366.330000000074506,2384853.810000000055879,2275434.280000000260770,2461342.839999999850988,2351079.520000000484288,12150076.780000001192093
FS( 123 ),2716543.880000000353903,2375268.410000000149012,2229949.719999999739230,2467765.760000000242144,2399696.240000000223517,12189224.010000001639128
FS( 124 ),2675475.000000000000000,2351784.180000000167638,2218463.719999999739230,2442295.560000000055879,2324358.879999999888241,12012377.339999999850988
FS( 125 ),2721947.680000000167638,2343636.589999999850988,2250394.799999999813735,2449825.879999999888241,2330667.919999999925494,12096472.869999999180436
FS( 126 ),2691416.209999999962747,2362807.390000000130385,2259813.320000000298023,2436758.560000000055879,2314338.639999999664724,12065134.120000001043081
FS( 127 ),2661154.930000000167638,2297147.399999999906868,2215017.919999999925494,2405086.920000000391155,2291700.320000000298023,11870107.490000000223517
FS( 128 ),2695469.060000000055879,2312963.310000000055879,2220990.639999999664724,2406858.760000000242144,2298009.360000000335276,11934291.129999998956919
FS( 129 ),2769230.930000000167638,2344595.129999999888241,2257745.839999999850988,2460899.879999999888241,2322132.160000000149012,12154603.940000001341105
FS( 130 ),2762476.180000000167638,2343157.319999999832362,2286460.839999999850988,2454255.479999999981374,2363326.480000000447035,12209676.300000000745058
FS( 131 ),2749236.870000000111759,2320631.629999999888241,2256597.240000000223517,2441188.160000000149012,2372604.480000000447035,12140258.380000000819564
FS( 132 ),2725730.339999999850988,2306253.529999999795109,2256826.959999999962747,2414832.040000000037253,2368893.280000000260770,12072536.149999998509884
FS( 133 ),2760314.660000000149012,2364724.470000000204891,2271529.040000000037253,2462893.200000000186265,2380769.120000000111759,12240230.490000002086163
FS( 134 ),2751398.390000000130385,2321110.899999999906868,2260961.919999999925494,2459128.040000000037253,2367779.919999999925494,12160379.169999999925494
FS( 135 ),2783821.189999999944121,2330217.029999999795109,2268312.959999999962747,2478618.279999999795109,2388933.759999999776483,12249903.219999998807907
FS( 136 ),2812191.140000000130385,2362807.390000000130385,2291514.679999999701977,2502095.160000000149012,2437550.480000000447035,12406158.850000001490116
FS( 137 ),2762746.370000000111759,2327341.410000000149012,2269921.000000000000000,2471087.959999999962747,2421963.440000000409782,12253060.179999999701977
FS( 138 ),2692226.780000000260770,2265515.580000000074506,2223517.560000000521541,2409295.040000000037253,2367779.919999999925494,11958334.880000000819564
FS( 139 ),2701413.240000000223517,2227173.979999999981374,2233625.240000000223517,2427234.920000000391155,2371491.120000000111759,11960938.500000000000000
FS( 140 ),2643862.770000000018626,2208003.180000000167638,2235003.560000000521541,2380945.600000000093132,2399325.120000000111759,11867140.230000000447035
FS( 141 ),2666018.350000000093132,2218067.850000000093132,2240287.120000000111759,2397335.120000000111759,2365182.080000000074506,11886890.520000001415610
FS( 142 ),2722217.870000000111759,2197938.510000000242144,2270610.160000000149012,2429228.240000000223517,2404149.679999999701977,12024144.460000000894070
FS( 143 ),2787063.470000000204891,2208003.180000000167638,2289217.480000000447035,2441631.120000000111759,2452766.400000000372529,12178681.650000000372529
FS( 144 ),2767879.979999999981374,2195542.160000000149012,2274285.679999999701977,2421919.399999999906868,2430128.080000000074506,12089755.300000000745058
FS( 145 ),2789495.180000000167638,2218067.850000000093132,2293122.719999999739230,2421033.479999999981374,2435694.879999999888241,12157414.109999999403954
FS( 146 ),2741671.550000000279397,2214233.689999999944121,2295649.639999999664724,2408187.640000000130385,2422334.559999999590218,12082077.079999998211861
FS( 147 ),2780038.530000000260770,2213275.149999999906868,2305297.879999999888241,2424134.200000000186265,2432354.800000000745058,12155100.560000000521541
FS( 148 ),2815433.420000000391155,2231008.140000000130385,2294041.599999999627471,2470423.520000000018626,2455735.360000000335276,12266642.039999999105930
FS( 149 ),2820026.650000000372529,2258326.529999999795109,2294501.040000000037253,2483490.839999999850988,2507321.040000000037253,12363666.099999997764826
FS( 150 ),2828402.540000000502914,2322069.439999999944121,2297027.959999999962747,2510511.399999999906868,2522536.959999999962747,12480548.300000000745058
FS( 151 ),2850558.120000000111759,2306253.529999999795109,2296798.240000000223517,2512283.240000000223517,2512145.599999999627471,12478038.730000000447035
FS( 152 ),2887844.339999999850988,2334051.189999999944121,2315405.560000000521541,2536646.040000000037253,2537010.639999999664724,12610957.769999999552965
FS( 153 ),2752479.150000000372529,2328779.220000000204891,2333553.439999999478459,2550156.320000000298023,2523650.320000000298023,12488618.450000001117587
FS( 154 ),2854881.160000000149012,2347950.020000000018626,2314486.679999999701977,2543733.399999999906868,2509547.759999999776483,12570599.019999999552965
FS( 155 ),2816243.990000000223517,2318714.550000000279397,2317473.040000000037253,2532437.920000000391155,2483198.240000000223517,12468067.740000002086163
FS( 156 ),2831374.630000000353903,2370475.709999999962747,2299554.879999999888241,2539082.320000000298023,2457962.080000000074506,12498449.619999999180436
FS( 157 ),2908108.589999999850988,2360411.040000000037253,2301392.639999999664724,2557686.640000000130385,2618285.919999999925494,12745884.830000000074506
FS( 158 ),2890005.859999999869615,2366162.279999999795109,2303460.120000000111759,2573411.720000000204891,2651686.719999999739230,12784726.699999999254942
FS( 159 ),2887303.959999999962747,2360890.310000000055879,2241665.439999999478459,2575405.040000000037253,2678778.480000000447035,12744043.230000000447035
FS( 160 ),2912431.630000000353903,2358014.689999999944121,2222828.400000000372529,2585814.600000000093132,2697705.599999999627471,12776794.919999999925494
FS( 161 ),2889735.670000000391155,2346032.939999999944121,2220531.200000000186265,2576512.439999999944121,2691767.679999999701977,12724579.929999999701977
FS( 162 ),2882980.920000000391155,2388208.700000000186265,2239597.959999999962747,2581385.000000000000000,2695107.759999999776483,12787280.340000001713634
FS( 163 ),2853260.020000000018626,2368558.629999999888241,2252002.839999999850988,2589358.279999999795109,2679891.839999999850988,12743071.609999999403954
FS( 164 ),2831915.010000000242144,2388687.970000000204891,2248327.320000000298023,2582713.879999999888241,2701416.800000000745058,12753060.980000000447035
FS( 165 ),2856772.490000000223517,2393001.399999999906868,2259813.320000000298023,2587807.920000000391155,2682118.559999999590218,12779513.690000001341105
FS( 166 ),2839750.520000000018626,2391563.589999999850988,2253151.439999999478459,2600875.240000000223517,2703643.519999999552965,12788984.309999998658895
FS( 167 ),2882980.920000000391155,2416006.359999999869615,2274285.679999999701977,2622580.279999999795109,2715148.240000000223517,12911001.480000000447035
FS( 168 ),2915403.720000000204891,2472080.950000000186265,2278880.080000000074506,2619258.080000000074506,2681747.440000000409782,12967370.269999999552965
FS( 169 ),2904596.120000000111759,2489813.939999999944121,2281407.000000000000000,2611727.760000000242144,2721828.400000000372529,13009373.220000000670552
FS( 170 ),2892167.380000000353903,2461057.740000000223517,2267164.360000000335276,2602425.600000000093132,2718117.200000000186265,12940932.280000001192093
FS( 171 ),2875415.600000000093132,2476873.649999999906868,2258894.439999999478459,2609734.439999999944121,2706241.360000000335276,12927159.489999998360872
FS( 172 ),2859744.580000000074506,2519049.410000000149012,2252232.560000000521541,2628560.240000000223517,2715890.480000000447035,12975477.270000001415610
FS( 173 ),2845964.890000000130385,2596211.879999999888241,2242584.320000000298023,2620365.479999999981374,2706612.480000000447035,13011739.050000000745058
FS( 174 ),2816514.180000000167638,2557870.279999999795109,2229260.560000000521541,2621915.839999999850988,2686572.000000000000000,12912132.859999999403954
FS( 175 ),2870281.990000000223517,2585188.669999999925494,2215707.080000000074506,2628338.760000000242144,2722199.519999999552965,13021716.019999999552965
FS( 176 ),2814352.660000000149012,2576561.810000000055879,2207896.599999999627471,2605083.360000000335276,2690283.200000000186265,12894177.629999998956919
FS( 177 ),2775715.490000000223517,2535823.859999999869615,2191356.759999999776483,2565881.399999999906868,2649831.120000000111759,12718608.629999998956919
FS( 178 ),2795709.550000000279397,2517611.600000000093132,2183086.839999999850988,2566988.800000000279397,2650944.480000000447035,12714341.270000001415610
FS( 179 ),2829483.300000000279397,2499878.609999999869615,2193424.240000000223517,2560565.879999999888241,2661335.839999999850988,12744687.870000001043081
FS( 180 ),2827051.589999999850988,2521925.029999999795109,2193883.679999999701977,2556357.760000000242144,2689169.839999999850988,12788387.899999998509884
FS( 181 ),2807597.910000000149012,2534865.319999999832362,2184924.599999999627471,2512061.760000000242144,2666531.519999999552965,12705981.109999999403954
FS( 182 ),2840831.280000000260770,2538220.209999999962747,2192964.799999999813735,2539746.760000000242144,2670984.959999999962747,12782748.010000001639128
FS( 183 ),2850017.740000000223517,2644138.879999999888241,2185384.040000000037253,2533766.800000000279397,2692138.800000000745058,12905446.260000001639128
FS( 184 ),2851368.689999999944121,2637908.370000000111759,2189519.000000000000000,2532216.439999999944121,2686200.879999999888241,12897213.379999998956919
FS( 185 ),2788684.609999999869615,2563621.520000000018626,2178722.160000000149012,2496779.640000000130385,2654284.559999999590218,12682092.489999998360872
FS( 186 ),2790305.750000000000000,2555953.200000000186265,2207207.439999999478459,2502759.600000000093132,2655026.800000000745058,12711252.790000000968575
FS( 187 ),2835157.290000000502914,2560745.899999999906868,2179181.599999999627471,2509846.959999999962747,2688427.599999999627471,12773359.349999999627471
FS( 188 ),2807868.100000000093132,2552598.310000000055879,2167695.599999999627471,2515605.439999999944121,2662449.200000000186265,12706216.649999998509884
FS( 189 ),2837318.810000000055879,2555473.930000000167638,2171371.120000000111759,2507632.160000000149012,2692881.040000000037253,12764677.059999998658895
FS( 190 ),2874064.650000000372529,2578478.890000000130385,2186073.200000000186265,2537089.000000000000000,2722199.519999999552965,12897905.260000001639128
FS( 191 ),2881629.970000000204891,2621613.189999999944121,2197559.200000000186265,2544176.360000000335276,2747806.800000000745058,12992785.520000001415610
FS( 192 ),2865958.949999999720603,2631677.859999999869615,2211342.400000000372529,2547941.520000000018626,2748549.040000000037253,13005469.769999999552965
FS( 193 ),2896220.229999999981374,2648931.580000000074506,2215707.080000000074506,2585593.120000000111759,2755600.320000000298023,13102052.330000001937151
FS( 194 ),2922698.850000000093132,2728969.669999999925494,2225814.759999999776483,2604418.920000000391155,2769702.879999999888241,13251605.079999998211861
FS( 195 ),2951338.990000000223517,2719863.540000000037253,2238908.799999999813735,2629224.680000000167638,2790114.480000000447035,13329450.490000000223517
