代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14641240.269999999552965
真實報酬,4641240.269999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19222.356700578759046
風險,174081.377858571766410
起點值,0.110421671387479
找到最佳解世代,1734
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](2),PG[21](7),TRV[22](3),V[25](1),
FS( 13 ),2761151.259999999776483,2526807.219999999739230,2618436.290000000037253,2703134.320000000298023,10609529.089999999850988
FS( 14 ),2753853.620000000111759,2452884.279999999795109,2634943.090000000316650,2730753.460000000428408,10572434.450000001117587
FS( 15 ),2672015.799999999813735,2426889.399999999906868,2582534.000000000000000,2661260.140000000596046,10342699.339999999850988
FS( 16 ),2711631.560000000055879,2430138.759999999776483,2614309.590000000316650,2783318.920000000391155,10539398.830000000074506
FS( 17 ),2685568.560000000055879,2409017.919999999925494,2564789.189999999944121,2701352.440000000409782,10360728.109999999403954
FS( 18 ),2704333.920000000391155,2407393.240000000223517,2564789.189999999944121,2743226.620000000111759,10419742.969999998807907
FS( 19 ),2687132.339999999850988,2436231.309999999590218,2592850.750000000000000,2749463.200000000186265,10465677.599999999627471
FS( 20 ),2694429.979999999981374,2448822.580000000074506,2593676.090000000316650,2706698.080000000074506,10443626.730000000447035
FS( 21 ),2762193.780000000260770,2487814.899999999906868,2634530.420000000391155,2753917.900000000372529,10638457.000000000000000
FS( 22 ),2763236.299999999813735,2485377.879999999888241,2637831.780000000260770,2820738.400000000372529,10707184.359999999403954
FS( 23 ),2692344.939999999944121,2492282.770000000018626,2646497.850000000093132,2814501.820000000298023,10645627.380000000819564
FS( 24 ),2716322.899999999906868,2491876.600000000093132,2639482.459999999962747,2828756.860000000335276,10676438.820000000298023
FS( 25 ),2718407.939999999944121,2489033.410000000149012,2610595.560000000055879,2790446.440000000409782,10608483.350000001490116
FS( 26 ),2716844.159999999683350,2500000.000000000000000,2602754.830000000074506,2753917.900000000372529,10573516.890000000596046
FS( 27 ),2722056.759999999776483,2507311.059999999590218,2608532.209999999962747,2723625.940000000409782,10561525.969999998807907
FS( 28 ),2693387.459999999962747,2493907.449999999720603,2580470.650000000372529,2689770.220000000670552,10457535.780000001192093
FS( 29 ),2687132.339999999850988,2587326.549999999813735,2568503.220000000204891,2731644.400000000372529,10574606.509999999776483
FS( 30 ),2715280.380000000353903,2643784.180000000167638,2605230.850000000093132,2763718.240000000223517,10728013.650000000372529
FS( 31 ),2681919.740000000223517,2632411.419999999925494,2581295.990000000223517,2832320.620000000111759,10727947.769999999552965
FS( 32 ),2643867.759999999776483,2654344.599999999627471,2612658.910000000149012,2856376.000000000465661,10767247.269999999552965
FS( 33 ),2653771.699999999720603,2632817.589999999850988,2641133.140000000130385,2847466.600000000558794,10775189.030000001192093
FS( 34 ),2656378.000000000000000,2636879.290000000037253,2628340.370000000111759,2793119.260000000242144,10714716.919999999925494
FS( 35 ),2642825.240000000223517,2629162.060000000055879,2587898.709999999962747,2801137.720000000670552,10661023.730000000447035
FS( 36 ),2656378.000000000000000,2615352.279999999795109,2547869.720000000204891,2772627.640000000596046,10592227.640000000596046
FS( 37 ),2667324.459999999962747,2600323.989999999757856,2512792.770000000018626,2731644.400000000372529,10512085.619999999180436
FS( 38 ),2662111.859999999869615,2600323.989999999757856,2516506.799999999813735,2721844.060000000521541,10500786.710000000894070
FS( 39 ),2758023.699999999720603,2622257.169999999925494,2542505.010000000242144,2823411.220000000670552,10746197.099999999627471
FS( 40 ),2799724.500000000000000,2643784.180000000167638,2588311.379999999888241,2875976.680000000633299,10907796.740000000223517
FS( 41 ),2775746.540000000037253,2644190.349999999627471,2608532.209999999962747,2914287.100000000558794,10942756.199999999254942
FS( 42 ),2719971.720000000204891,2621444.830000000074506,2585422.689999999944121,2875085.740000000689179,10801924.980000000447035
FS( 43 ),2693908.720000000204891,2599917.820000000298023,2614309.590000000316650,2839448.140000000596046,10747584.270000001415610
FS( 44 ),2678792.180000000167638,2579609.319999999832362,2594501.430000000167638,2879540.440000000409782,10732443.370000001043081
FS( 45 ),2725705.580000000074506,2660437.149999999906868,2629165.709999999962747,2916959.920000000391155,10932268.360000001266599
FS( 46 ),2710589.040000000037253,2673028.419999999925494,2621324.980000000447035,2918741.800000000279397,10923684.240000000223517
FS( 47 ),2731439.439999999944121,2689681.389999999664724,2615134.930000000167638,2904486.760000000242144,10940742.519999999552965
FS( 48 ),2751768.580000000074506,2709989.889999999664724,2633292.410000000149012,2921414.620000000111759,11016465.500000000000000
FS( 49 ),2770533.939999999944121,2710396.060000000055879,2636593.770000000018626,2862612.580000000540167,10980136.349999999627471
FS( 50 ),2765842.600000000093132,2712020.739999999757856,2640307.799999999813735,2875085.740000000689179,10993256.880000000819564
FS( 51 ),2753332.359999999869615,2700241.810000000055879,2629991.049999999813735,2858157.880000000353903,10941723.099999999627471
FS( 52 ),2851850.500000000000000,2710396.060000000055879,2622150.320000000298023,2892904.540000000037253,11077301.420000001788139
FS( 53 ),2866967.040000000037253,2706740.529999999795109,2630816.390000000130385,2875085.740000000689179,11079609.700000001117587
FS( 54 ),2935252.100000000093132,2721362.649999999906868,2642371.150000000372529,2888449.840000000316650,11187435.740000000223517
FS( 55 ),2957145.020000000018626,2721362.649999999906868,2687764.850000000093132,2866176.340000000316650,11232448.859999999403954
FS( 56 ),2948804.859999999869615,2711208.399999999906868,2708811.020000000018626,2854594.120000000111759,11223418.399999998509884
FS( 57 ),2935773.359999999869615,2712020.739999999757856,2691891.550000000279397,2840339.080000000074506,11180024.730000000447035
FS( 58 ),2952453.680000000167638,2715270.099999999627471,2700970.290000000037253,2853703.180000000633299,11222397.250000000000000
FS( 59 ),2947762.339999999850988,2708365.209999999962747,2674146.740000000223517,2832320.620000000111759,11162594.910000000149012
FS( 60 ),2969134.000000000000000,2722174.989999999757856,2698906.940000000409782,2821629.340000000316650,11211845.269999999552965
FS( 61 ),2954017.459999999962747,2725830.520000000018626,2689828.200000000186265,2843902.840000000316650,11213579.020000001415610
FS( 62 ),2946719.820000000298023,2720956.479999999515712,2675797.420000000391155,2837666.260000000242144,11181139.980000000447035
FS( 63 ),2962878.880000000353903,2716082.439999999944121,2674146.740000000223517,2851921.300000000279397,11205029.360000001266599
FS( 64 ),2951411.159999999683350,2716488.609999999869615,2661353.969999999739230,2822520.280000000260770,11151774.019999999552965
FS( 65 ),2958187.540000000037253,2729079.879999999888241,2671670.719999999739230,2856376.000000000465661,11215314.140000000596046
FS( 66 ),2960272.580000000074506,2737609.450000000186265,2667544.020000000018626,2862612.580000000540167,11228038.630000000819564
FS( 67 ),2947241.080000000074506,2733141.580000000074506,2663004.650000000372529,2842120.960000000428408,11185508.270000001415610
FS( 68 ),3005100.939999999944121,2771727.729999999515712,2696430.920000000391155,2884886.080000000540167,11358145.669999999925494
FS( 69 ),2984771.799999999813735,2783100.489999999757856,2691066.209999999962747,2889340.780000000260770,11348279.280000001192093
FS( 70 ),2986856.839999999850988,2782694.320000000298023,2695192.910000000149012,2866176.340000000316650,11330920.410000000149012
FS( 71 ),2956623.759999999776483,2772540.070000000298023,2762870.790000000037253,2928542.140000000130385,11420576.760000001639128
FS( 72 ),2973825.339999999850988,2766041.349999999627471,2787218.320000000298023,2973089.140000000130385,11500174.150000000372529
FS( 73 ),3038982.839999999850988,2798941.119999999646097,2824771.290000000037253,3006053.920000000391155,11668749.169999999925494
FS( 74 ),3099449.000000000000000,2809095.369999999646097,2830136.000000000000000,2990017.000000000465661,11728697.369999999180436
FS( 75 ),3070779.699999999720603,2812750.899999999906868,2826009.300000000279397,2981998.540000000037253,11691538.440000001341105
FS( 76 ),3068173.399999999906868,2811532.389999999664724,2825183.959999999962747,2977543.840000000316650,11682433.589999999850988
FS( 77 ),3099970.259999999776483,2813157.070000000298023,2815692.550000000279397,3002490.160000000614673,11731310.040000000968575
FS( 78 ),3090066.320000000298023,2825342.169999999925494,2824771.290000000037253,2998035.460000000428408,11738215.240000002086163
FS( 79 ),3097363.959999999962747,2819655.790000000037253,2831374.010000000242144,3006944.860000000335276,11755338.620000001043081
FS( 80 ),3095800.180000000167638,2833465.570000000298023,2823533.280000000260770,2979325.720000000204891,11732124.750000001862645
FS( 81 ),3113001.759999999776483,2826560.680000000167638,2826009.300000000279397,2997144.520000000484288,11762716.260000001639128
FS( 82 ),3084332.459999999962747,2814781.750000000000000,2797122.400000000372529,2951706.580000000540167,11647943.189999999478459
FS( 83 ),3121341.920000000391155,2814781.750000000000000,2823120.609999999869615,2982889.479999999981374,11742133.759999999776483
FS( 84 ),3146883.659999999683350,2817218.770000000018626,2816930.560000000521541,2990907.940000000409782,11771940.929999999701977
FS( 85 ),3157308.859999999869615,2820874.299999999813735,2850356.830000000074506,3045255.280000000260770,11873795.269999999552965
FS( 86 ),3144798.620000000111759,2794067.080000000074506,2835088.040000000037253,3029218.360000000335276,11803172.100000001490116
FS( 87 ),3219860.060000000055879,2809501.540000000037253,2847880.810000000521541,3085347.580000000540167,11962589.990000000223517
FS( 88 ),3218296.280000000260770,2818031.109999999869615,2859022.900000000372529,3111184.840000000316650,12006535.130000000819564
FS( 89 ),3294400.240000000223517,2828185.359999999869615,2870577.660000000149012,3124548.940000000409782,12117712.199999999254942
FS( 90 ),3225593.920000000391155,2806658.349999999627471,2869752.320000000298023,3089802.280000000260770,11991806.870000001043081
FS( 91 ),3177116.740000000223517,2790411.549999999813735,2860673.580000000074506,3046146.220000000204891,11874348.090000001713634
FS( 92 ),3114044.280000000260770,2767666.029999999795109,2863974.940000000409782,3060401.260000000242144,11806086.509999999776483
FS( 93 ),3075992.299999999813735,2761979.649999999906868,2854070.859999999869615,3096929.800000000279397,11788972.609999999403954
FS( 94 ),3104661.600000000093132,2759542.629999999888241,2835913.379999999888241,3098711.680000000633299,11798829.289999999105930
FS( 95 ),3161478.939999999944121,2790817.719999999739230,2880069.070000000298023,3115639.540000000037253,11948005.269999999552965
FS( 96 ),3172425.399999999906868,2802596.649999999906868,2908955.969999999739230,3144149.620000000111759,12028127.640000000596046
FS( 97 ),3200052.180000000167638,2821686.639999999664724,2945683.600000000093132,3175332.520000000484288,12142754.940000001341105
FS( 98 ),3221423.839999999850988,2821686.639999999664724,3051327.120000000111759,3160186.540000000037253,12254624.140000000596046
FS( 99 ),3226115.180000000167638,2785131.339999999850988,3033582.310000000521541,3117421.420000000391155,12162250.250000000000000
FS( 100 ),3233934.080000000074506,2782288.149999999906868,3053390.469999999739230,3096038.860000000335276,12165651.559999998658895
FS( 101 ),3218817.540000000037253,2739234.129999999888241,3028217.600000000093132,3043473.399999999906868,12029742.669999999925494
FS( 102 ),3194318.320000000298023,2765229.009999999776483,3019964.200000000186265,3039909.640000000130385,12019421.170000001788139
FS( 103 ),3152617.520000000018626,2846056.839999999850988,2976221.180000000167638,3063965.020000000484288,12038860.559999998658895
FS( 104 ),3129682.080000000074506,2820468.129999999888241,2953111.660000000149012,3080892.880000000353903,11984154.750000001862645
FS( 105 ),3199530.920000000391155,2812344.729999999515712,2927526.120000000111759,3090693.220000000204891,12030094.990000000223517
FS( 106 ),3245401.799999999813735,2812750.899999999906868,2898226.550000000279397,3204733.540000000037253,12161112.789999999105930
FS( 107 ),3232891.560000000055879,2810313.879999999888241,2873053.680000000167638,3194042.260000000242144,12110301.379999998956919
FS( 108 ),3251656.920000000391155,2789193.040000000037253,2852007.510000000242144,3152168.080000000540167,12045025.550000000745058
FS( 109 ),3264167.159999999683350,2799753.459999999962747,2895750.530000000260770,3204733.540000000037253,12164404.689999997615814
FS( 110 ),3231327.780000000260770,2764416.669999999925494,2835500.709999999962747,3175332.520000000484288,12006577.679999999701977
FS( 111 ),3172425.399999999906868,2717707.119999999646097,2847468.140000000130385,3164641.240000000689179,11902241.900000000372529
FS( 112 ),3177638.000000000000000,2721768.820000000298023,2846642.800000000279397,3183350.979999999981374,11929400.600000001490116
FS( 113 ),3188063.199999999720603,2724612.009999999776483,2823945.950000000186265,3190478.500000000465661,11927099.660000000149012
FS( 114 ),3303782.920000000391155,2715270.099999999627471,2815692.550000000279397,3172659.700000000186265,12007405.269999999552965
FS( 115 ),3204222.259999999776483,2702272.660000000149012,2809089.830000000074506,3117421.420000000391155,11833006.169999999925494
FS( 116 ),3192754.540000000037253,2693743.089999999850988,2819406.580000000074506,3118312.360000000335276,11824216.570000000298023
FS( 117 ),3238104.159999999683350,2714051.589999999850988,2833024.690000000409782,3178896.280000000260770,11964076.720000002533197
FS( 118 ),3301176.620000000111759,2758730.290000000037253,2869752.320000000298023,3243934.899999999906868,12173594.130000000819564
FS( 119 ),3326718.359999999869615,2774164.750000000000000,2873879.020000000018626,3259971.820000000763685,12234733.949999999254942
FS( 120 ),3340792.380000000353903,2781069.639999999664724,2897813.879999999888241,3267099.340000000316650,12286775.239999998360872
FS( 121 ),3378844.359999999869615,2826560.680000000167638,2941144.229999999981374,3299173.180000000633299,12445722.449999999254942
FS( 122 ),3371025.459999999962747,2822092.810000000055879,2924224.760000000242144,3279572.500000000465661,12396915.529999999329448
FS( 123 ),3344441.199999999720603,2802190.479999999515712,2922986.750000000000000,3269772.160000000614673,12339390.589999999850988
FS( 124 ),3379365.620000000111759,2820468.129999999888241,2928351.459999999962747,3280463.440000000409782,12408648.650000002235174
FS( 125 ),3348611.279999999795109,2822905.149999999906868,2937430.200000000186265,3300955.060000000055879,12409901.689999999478459
FS( 126 ),3391875.859999999869615,2836308.759999999776483,2922574.080000000074506,3334810.780000000260770,12485569.480000000447035
FS( 127 ),3387184.520000000018626,2826154.509999999776483,2927938.790000000037253,3310755.399999999906868,12452033.220000000670552
FS( 128 ),3348611.279999999795109,2815187.919999999925494,2910606.650000000372529,3287590.960000000428408,12361996.810000000521541
FS( 129 ),3337143.560000000055879,2819249.619999999646097,3053803.140000000130385,3298282.240000000689179,12508478.560000000521541
FS( 130 ),3353823.880000000353903,2841182.799999999813735,3018726.190000000409782,3307191.640000000130385,12520924.510000001639128
FS( 131 ),3359557.740000000223517,2854992.580000000074506,3028630.270000000018626,3308973.520000000484288,12552154.109999999403954
FS( 132 ),3286060.080000000074506,2852149.389999999664724,3026566.920000000391155,3311646.340000000316650,12476422.730000000447035
FS( 133 ),3278241.180000000167638,2870020.869999999646097,3030280.950000000186265,3316991.979999999981374,12495534.980000000447035
FS( 134 ),3280326.220000000204891,2874082.570000000298023,3025328.910000000149012,3293827.540000000037253,12473565.240000002086163
FS( 135 ),3253220.699999999720603,2848493.859999999869615,3022027.550000000279397,3278681.560000000055879,12402423.669999999925494
FS( 136 ),3234976.600000000093132,2840370.459999999962747,3027804.930000000167638,3270663.100000000558794,12373815.089999999850988
FS( 137 ),3300134.100000000093132,2840370.459999999962747,3061643.870000000111759,3321446.680000000633299,12523595.109999999403954
FS( 138 ),3283975.040000000037253,2841995.139999999664724,3067421.250000000000000,3357084.280000000260770,12550475.710000000894070
FS( 139 ),3219860.060000000055879,2816406.430000000167638,3030280.950000000186265,3322337.620000000111759,12388885.060000002384186
FS( 140 ),3230285.259999999776483,2835902.589999999850988,3046375.080000000074506,3396285.640000000130385,12508848.570000000298023
FS( 141 ),3196403.359999999869615,2791223.889999999664724,3005108.080000000074506,3357975.220000000204891,12350710.550000000745058
FS( 142 ),3209434.859999999869615,2783100.489999999757856,2986125.260000000242144,3367775.560000000055879,12346436.169999999925494
FS( 143 ),3187020.680000000167638,2761979.649999999906868,2982411.229999999981374,3335701.720000000204891,12267113.280000001192093
FS( 144 ),3183371.859999999869615,2760761.139999999664724,2963841.080000000074506,3327683.260000000242144,12235657.339999999850988
FS( 145 ),3161478.939999999944121,2727455.200000000186265,2939906.219999999739230,3310755.399999999906868,12139595.759999999776483
FS( 146 ),3224030.140000000130385,2757511.779999999795109,2963841.080000000074506,3376684.960000000428408,12322067.960000000894070
FS( 147 ),3308995.520000000018626,2818437.279999999795109,3006758.760000000242144,3461324.260000000242144,12595515.820000000298023
FS( 148 ),3299612.839999999850988,2800565.799999999813735,3029868.280000000260770,3463997.080000000540167,12594044.000000000000000
FS( 149 ),3293357.720000000204891,2806252.180000000167638,3056279.160000000149012,3491616.220000000204891,12647505.280000001192093
FS( 150 ),3275634.880000000353903,2787162.189999999944121,3015012.160000000149012,3516562.540000000037253,12594371.769999999552965
FS( 151 ),3295442.759999999776483,2782694.320000000298023,3020376.870000000111759,3549527.320000000763685,12648041.269999999552965
FS( 152 ),3292836.459999999962747,2797722.609999999869615,3051327.120000000111759,3603874.660000000614673,12745760.850000001490116
FS( 153 ),3316293.159999999683350,2813563.239999999757856,3072373.290000000037253,3575364.580000000540167,12777594.269999999552965
FS( 154 ),3320463.240000000223517,2811532.389999999664724,3088880.089999999850988,3589619.620000000111759,12810495.339999999850988
FS( 155 ),3308995.520000000018626,2828185.359999999869615,3093006.790000000037253,3578037.399999999906868,12808225.070000000298023
FS( 156 ),3333494.740000000223517,2838339.609999999869615,3118179.660000000149012,3573582.700000000186265,12863596.710000000894070
FS( 157 ),3328803.399999999906868,2816406.430000000167638,3117766.990000000223517,3568237.060000000055879,12831213.880000000819564
FS( 158 ),3390833.339999999850988,2829810.040000000037253,3132210.440000000409782,3561109.540000000037253,12913963.359999999403954
FS( 159 ),3412726.259999999776483,2840776.629999999888241,3149129.910000000149012,3525471.940000000409782,12928104.740000002086163
FS( 160 ),3427321.540000000037253,2841182.799999999813735,3216807.790000000037253,3542399.800000000279397,13027711.929999999701977
FS( 161 ),3464330.999999999534339,2871239.379999999888241,3204015.020000000018626,3542399.800000000279397,13081985.199999999254942
FS( 162 ),3510723.139999999664724,2860272.790000000037253,3222585.170000000391155,3553982.020000000484288,13147563.120000001043081
FS( 163 ),3535222.359999999869615,2975218.899999999906868,3233314.589999999850988,3560218.600000000558794,13303974.449999999254942
FS( 164 ),3522712.120000000111759,2996339.739999999757856,3192047.589999999850988,3482706.820000000763685,13193806.269999999552965
FS( 165 ),3502904.240000000223517,3046298.649999999906868,3211030.410000000149012,3489834.340000000316650,13250067.640000000596046
FS( 166 ),3504989.279999999795109,3049548.009999999776483,3201539.000000000000000,3452414.860000000335276,13208491.149999998509884
FS( 167 ),3488308.959999999962747,3052797.369999999646097,3237853.959999999962747,3517453.479999999981374,13296413.769999999552965
FS( 168 ),3508116.839999999850988,3083666.290000000037253,3296865.770000000018626,3531708.520000000484288,13420357.420000001788139
FS( 169 ),3459118.399999999906868,3056452.899999999906868,3218871.140000000130385,3488943.399999999906868,13223385.839999999850988
FS( 170 ),3460682.180000000167638,3074730.549999999813735,3245694.690000000409782,3553091.080000000540167,13334198.500000001862645
FS( 171 ),3475277.459999999962747,3093008.200000000186265,3258487.459999999962747,3582492.100000000558794,13409265.220000002533197
FS( 172 ),3456512.100000000093132,3093008.200000000186265,3265090.180000000167638,3498743.740000000689179,13313354.220000000670552
FS( 173 ),3493000.300000000279397,3076761.399999999906868,3254360.760000000242144,3514780.660000000614673,13338903.120000001043081
FS( 174 ),3460160.919999999925494,3079198.419999999925494,3268804.209999999962747,3481815.880000000353903,13289979.430000001564622
FS( 175 ),3509159.359999999869615,3086103.310000000055879,3297278.440000000409782,3492507.160000000614673,13385048.269999999552965
FS( 176 ),3515935.740000000223517,3109661.169999999925494,3300992.469999999739230,3447069.220000000204891,13373658.599999999627471
FS( 177 ),3510201.880000000353903,3118596.910000000149012,3315435.920000000391155,3473797.420000000391155,13418032.130000000819564
FS( 178 ),3519584.560000000055879,3108848.830000000074506,3317499.270000000018626,3519235.360000000335276,13465168.019999999552965
FS( 179 ),3521148.339999999850988,3142967.109999999869615,3326165.339999999850988,3510325.960000000428408,13500606.750000000000000
FS( 180 ),3463288.479999999981374,3130782.009999999776483,3305944.510000000242144,3461324.260000000242144,13361339.259999999776483
FS( 181 ),3355908.919999999925494,3129157.330000000074506,3317086.600000000093132,3506762.200000000186265,13308915.050000000745058
FS( 182 ),3418460.120000000111759,3127126.479999999515712,3343084.810000000521541,3551309.200000000186265,13439980.609999999403954
FS( 183 ),3331930.959999999962747,3083666.290000000037253,3270454.890000000130385,3472015.540000000037253,13158067.679999999701977
FS( 184 ),3521669.600000000093132,3090165.009999999776483,3303055.820000000298023,3515671.600000000558794,13430562.030000001192093
FS( 185 ),3547732.600000000093132,3117378.399999999906868,3333593.400000000372529,3561109.540000000037253,13559813.940000001341105
FS( 186 ),3570668.040000000037253,3094226.709999999962747,3318737.280000000260770,3533490.399999999906868,13517122.430000001564622
FS( 187 ),3598294.820000000298023,3106817.979999999515712,3329879.370000000111759,3521017.240000000689179,13556009.410000000149012
FS( 188 ),3663973.580000000540167,3114535.209999999962747,3322863.979999999981374,3553091.080000000540167,13654463.850000001490116
FS( 189 ),3673356.259999999776483,3129563.500000000000000,3361654.959999999962747,3570018.940000000409782,13734593.660000000149012
FS( 190 ),3673877.520000000018626,3135656.049999999813735,3345560.830000000074506,3587837.740000000689179,13742932.140000000596046
FS( 191 ),3661888.540000000037253,3123470.950000000186265,3350925.540000000037253,3575364.580000000540167,13711649.610000001266599
FS( 192 ),3720269.660000000149012,3134843.709999999962747,3369495.690000000409782,3578928.340000000316650,13803537.400000000372529
FS( 193 ),3717663.359999999869615,3141748.599999999627471,3373622.390000000130385,3590510.560000000055879,13823544.910000000149012
FS( 194 ),3687951.540000000037253,3134437.540000000037253,3373209.719999999739230,3559327.660000000614673,13754926.460000000894070
FS( 195 ),3688472.800000000279397,3119409.250000000000000,3388891.180000000167638,3549527.320000000763685,13746300.550000000745058
FS( 196 ),3661367.279999999795109,3143373.279999999795109,3398795.260000000242144,3578928.340000000316650,13782464.160000000149012
FS( 197 ),3599337.339999999850988,3100725.430000000167638,3395493.900000000372529,3531708.520000000484288,13627265.190000001341105
FS( 198 ),3614975.139999999664724,3093414.369999999646097,3405810.650000000372529,3521017.240000000689179,13635217.400000000372529
FS( 199 ),3585784.580000000540167,3132000.520000000018626,3433046.870000000111759,3474688.360000000335276,13625520.330000001937151
FS( 200 ),3590475.919999999925494,3151090.509999999776483,3459870.420000000391155,3548636.380000000353903,13750073.230000000447035
FS( 201 ),3594124.740000000223517,3136062.219999999739230,3456156.390000000130385,3514780.660000000614673,13701124.009999999776483
FS( 202 ),3625921.600000000093132,3138499.239999999757856,3453680.370000000111759,3565564.240000000689179,13783665.450000001117587
FS( 203 ),3621230.259999999776483,3114535.209999999962747,3440474.930000000167638,3652876.360000000335276,13829116.760000001639128
FS( 204 ),3651463.339999999850988,3143779.450000000186265,3440062.260000000242144,3730388.140000000130385,13965693.190000001341105
FS( 205 ),3630612.940000000409782,3129969.669999999925494,3440474.930000000167638,3757116.340000000316650,13958173.880000000819564
FS( 206 ),3637389.320000000298023,3129969.669999999925494,3474313.870000000111759,3782953.600000000558794,14024626.460000000894070
FS( 207 ),3631655.459999999962747,3155964.549999999813735,3464409.790000000037253,3727715.320000000763685,13979745.120000001043081
FS( 208 ),3702025.560000000055879,3207141.969999999739230,3483392.609999999869615,3741079.420000000391155,14133639.559999998658895
FS( 209 ),3667622.399999999906868,3173023.689999999944121,3454918.379999999888241,3669804.220000000204891,13965368.689999999478459
FS( 210 ),3684823.979999999981374,3190082.830000000074506,3480503.920000000391155,3708114.640000000130385,14063525.370000001043081
FS( 211 ),3651984.600000000093132,3177491.560000000055879,3483392.609999999869615,3678713.620000000111759,13991582.390000000596046
FS( 212 ),3712450.759999999776483,3200237.080000000074506,3496598.050000000279397,3703659.940000000409782,14112945.830000001937151
FS( 213 ),3711408.240000000223517,3178710.070000000298023,3518882.229999999981374,3669804.220000000204891,14078804.760000001639128
FS( 214 ),3736949.979999999981374,3218514.729999999515712,3499899.410000000149012,3719696.860000000335276,14175060.980000000447035
FS( 215 ),3747896.440000000409782,3235980.040000000037253,3551483.160000000149012,3733951.899999999906868,14269311.540000000968575
FS( 216 ),3837553.160000000149012,3252633.009999999776483,3559736.560000000521541,3692077.720000000204891,14342000.450000001117587
FS( 217 ),3765098.020000000018626,3235167.700000000186265,3495772.709999999962747,3592292.440000000409782,14088330.870000001043081
FS( 218 ),3777086.999999999534339,3253445.349999999627471,3571703.990000000223517,3668913.280000000260770,14271149.620000001043081
FS( 219 ),3794809.839999999850988,3211203.669999999925494,3510628.830000000074506,3613675.000000000465661,14130317.339999999850988
FS( 220 ),3778129.520000000018626,3244103.439999999944121,3470599.839999999850988,3594965.260000000242144,14087798.060000000521541
FS( 221 ),3857361.040000000037253,3307465.959999999962747,3499899.410000000149012,3651985.420000000391155,14316711.830000000074506
FS( 222 ),3850063.399999999906868,3306247.450000000186265,3490408.000000000000000,3642185.080000000540167,14288903.929999999701977
FS( 223 ),3825042.919999999925494,3352550.830000000074506,3563450.589999999850988,3690295.840000000316650,14431340.179999999701977
FS( 224 ),3819830.320000000298023,3132406.689999999944121,3543229.760000000242144,3721478.740000000689179,14216945.509999999776483
FS( 225 ),3824521.660000000149012,3110473.509999999776483,3518882.229999999981374,3758898.220000000204891,14212775.620000001043081
FS( 226 ),3823479.139999999664724,3131594.349999999627471,3513930.190000000409782,3725042.500000000465661,14194046.179999999701977
FS( 227 ),3840159.459999999962747,3155152.209999999962747,3527548.300000000279397,3740188.479999999981374,14263048.450000001117587
FS( 228 ),3823479.139999999664724,3118190.739999999757856,3524659.609999999869615,3752661.640000000130385,14218991.129999998956919
FS( 229 ),3792724.800000000279397,3127126.479999999515712,3470599.839999999850988,3698314.300000000279397,14088765.419999999925494
FS( 230 ),3822436.620000000111759,3158401.570000000298023,3483805.280000000260770,3906794.260000000242144,14371437.730000000447035
