代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13167763.539999999105930
真實報酬,3167763.539999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14004.242703361735039
風險,322417.056702254107222
起點值,0.043435179412032
找到最佳解世代,3197
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
IBM[10](1),KO[14](3),MCD[15](16),UNH[23](2),
FS( 122 ),3195695.000000000000000,2786111.120000000111759,2522471.129999999888241,3279373.599999999627471,11783650.849999999627471
FS( 123 ),3225709.270000000018626,2805301.499999999534339,2496646.100000000093132,3261730.299999999813735,11789387.169999998062849
FS( 124 ),3217758.469999999739230,2787855.699999999720603,2538234.459999999962747,3266332.899999999441206,11810181.529999997466803
FS( 125 ),3179793.399999999906868,2831470.199999999720603,2511738.649999999906868,3256360.599999999627471,11779362.849999999627471
FS( 126 ),3183570.029999999795109,2810535.239999999757856,2505030.850000000093132,3341508.699999999720603,11840644.819999998435378
FS( 127 ),3249561.669999999925494,2859383.479999999981374,2557016.299999999813735,3435861.999999999534339,12101823.449999999254942
FS( 128 ),3216764.620000000111759,2843682.259999999776483,2549973.109999999869615,3409780.599999999627471,12020200.589999999850988
FS( 129 ),3178998.320000000298023,2844554.549999999813735,2558693.250000000000000,3341508.699999999720603,11923754.820000000298023
FS( 130 ),3225709.270000000018626,2862872.639999999664724,2533539.000000000000000,3362220.399999999441206,11984341.309999998658895
FS( 131 ),3296868.930000000167638,2862000.350000000093132,2541588.359999999869615,3412849.000000000000000,12113306.640000000596046
FS( 132 ),3220541.250000000000000,2848043.709999999962747,2571773.459999999962747,3359151.999999999534339,11999510.419999999925494
FS( 133 ),3228690.820000000298023,2827108.749999999534339,2573450.410000000149012,3343810.000000000000000,11973059.980000000447035
FS( 134 ),3208018.739999999757856,2788727.989999999757856,2537899.069999999832362,3310824.699999999254942,11845470.499999998137355
FS( 135 ),3160910.250000000000000,2749474.939999999944121,2519452.620000000111759,3282441.999999999534339,11712279.809999998658895
FS( 136 ),3041250.709999999962747,2686670.060000000055879,2461094.759999999776483,3211101.699999999720603,11400117.229999998584390
FS( 137 ),3064705.570000000298023,2716327.919999999925494,2461765.540000000037253,3242552.799999999813735,11485351.830000000074506
FS( 138 ),3098695.239999999757856,2734646.009999999776483,2448014.549999999813735,3267867.099999999627471,11549222.899999998509884
FS( 139 ),3134275.070000000298023,2773026.770000000018626,2473839.580000000074506,3313125.999999999534339,11694267.419999999925494
FS( 140 ),3140635.709999999962747,2770409.899999999906868,2477528.870000000111759,3278606.500000000000000,11667180.980000000447035
FS( 141 ),3171047.520000000018626,2803556.919999999925494,2499664.609999999869615,3279373.599999999627471,11753642.649999998509884
FS( 142 ),3181184.790000000037253,2821875.009999999776483,2513080.209999999962747,3359919.099999999627471,11876059.109999999403954
FS( 143 ),3223721.570000000298023,2844554.549999999813735,2523812.689999999944121,3356083.599999999627471,11948172.410000000149012
FS( 144 ),3207621.200000000186265,2836703.939999999944121,2515427.939999999944121,3365288.799999999348074,11925041.879999998956919
FS( 145 ),3237635.469999999739230,2866361.799999999813735,2527837.370000000111759,3412081.899999999441206,12043916.539999999105930
FS( 146 ),3251946.909999999683350,2880318.439999999944121,2542594.529999999795109,3482655.099999999627471,12157514.979999998584390
FS( 147 ),3241412.099999999627471,2893402.790000000037253,2551985.450000000186265,3467313.099999999627471,12154113.439999999478459
FS( 148 ),3265264.500000000000000,2931783.549999999813735,2548631.549999999813735,3498764.199999999720603,12244443.799999998882413
FS( 149 ),3264866.959999999962747,2950973.929999999701977,2562047.149999999906868,3497997.099999999627471,12275885.139999998733401
FS( 150 ),3259698.939999999944121,2943123.319999999832362,2569090.339999999850988,3458875.000000000000000,12230787.599999999627471
FS( 151 ),3260692.790000000037253,2950101.639999999664724,2573115.020000000018626,3448902.699999999720603,12232812.149999998509884
FS( 152 ),3267450.969999999739230,2941378.739999999757856,2549302.330000000074506,3408246.399999999441206,12166378.439999997615814
FS( 153 ),3260891.560000000055879,2934400.419999999925494,2550308.500000000000000,3404410.899999999906868,12150011.380000000819564
FS( 154 ),3258903.859999999869615,2939634.160000000149012,2557351.689999999944121,3399808.299999999813735,12155698.009999997913837
FS( 155 ),3244989.959999999962747,2917826.910000000149012,2571102.679999999701977,3437396.199999999720603,12171315.750000000000000
FS( 156 ),3258903.859999999869615,2934400.419999999925494,2578816.649999999906868,3400575.399999999441206,12172696.329999998211861
FS( 157 ),3279178.399999999906868,2979759.499999999534339,2584853.669999999925494,3438163.299999999813735,12281954.870000001043081
FS( 158 ),3303825.879999999888241,2966675.149999999906868,2595250.759999999776483,3450436.899999999441206,12316188.689999997615814
FS( 159 ),3298459.089999999850988,2936144.999999999534339,2582505.939999999944121,3340741.599999999627471,12157851.629999998956919
FS( 160 ),3287725.510000000242144,2925677.520000000018626,2569090.339999999850988,3372192.699999999720603,12154686.070000000298023
FS( 161 ),3274805.459999999962747,2958824.540000000037253,2629460.540000000037253,3393671.500000000000000,12256762.039999999105930
FS( 162 ),3344971.270000000018626,2960569.119999999646097,2579487.429999999701977,3667526.199999999720603,12552554.019999999552965
FS( 163 ),3332846.299999999813735,2954463.089999999850988,2586866.009999999776483,3659855.199999999720603,12534030.599999997764826
FS( 164 ),3349145.439999999944121,2919571.489999999757856,2580493.600000000093132,3632239.599999999627471,12481450.129999998956919
FS( 165 ),3386514.200000000186265,2922188.359999999869615,2611684.870000000111759,3698210.199999999720603,12618597.629999998956919
FS( 166 ),3394663.770000000018626,2940506.449999999720603,2617051.109999999869615,3766482.099999999627471,12718703.429999999701977
FS( 167 ),3390688.370000000111759,2942251.029999999795109,2626442.029999999795109,3776454.399999999441206,12735835.829999998211861
FS( 168 ),3421895.260000000242144,2953590.799999999813735,2637509.899999999906868,3826315.899999999906868,12839311.860000001266599
FS( 169 ),3436206.700000000186265,2960569.119999999646097,2647571.600000000093132,3810973.899999999441206,12855321.320000000298023
FS( 170 ),3391483.450000000186265,2942251.029999999795109,2651931.669999999925494,3801768.699999999720603,12787434.849999999627471
FS( 171 ),3348549.129999999888241,2909104.009999999776483,2636168.339999999850988,3803302.899999999441206,12697124.379999998956919
FS( 172 ),3357096.239999999757856,2917826.910000000149012,2639522.240000000223517,3844726.299999999348074,12759171.689999999478459
FS( 173 ),3361270.409999999683350,2920443.779999999795109,2659981.029999999795109,3871574.799999999348074,12813270.019999997690320
FS( 174 ),3386712.969999999739230,2937017.290000000037253,2673396.629999999888241,3874643.199999999254942,12871770.089999999850988
FS( 175 ),3369221.209999999962747,2936144.999999999534339,2666688.830000000074506,3837055.299999999813735,12809110.339999999850988
FS( 176 ),3423684.189999999944121,2979759.499999999534339,2705258.679999999701977,3841657.899999999441206,12950360.269999999552965
FS( 177 ),3377569.549999999813735,2973653.470000000204891,2707941.799999999813735,3831685.599999999627471,12890850.419999999925494
FS( 178 ),3356499.930000000167638,2958824.540000000037253,2721357.399999999906868,3848561.799999999813735,12885243.670000001788139
FS( 179 ),3389098.209999999962747,2964930.569999999832362,2714314.209999999962747,3834754.000000000000000,12903096.989999998360872
FS( 180 ),3387905.589999999850988,2978887.209999999962747,2733431.439999999944121,3882314.199999999720603,12982538.439999999478459
FS( 181 ),3390887.140000000130385,2985865.529999999795109,2767305.830000000074506,3877711.599999999627471,13021770.099999999627471
FS( 182 ),3382340.029999999795109,2978887.209999999962747,2761268.810000000055879,3815576.500000000000000,12938072.550000000745058
FS( 183 ),3344573.729999999981374,2943123.319999999832362,2766970.439999999944121,3771084.699999999254942,12825752.189999999478459
FS( 184 ),3339206.939999999944121,2943123.319999999832362,2771665.899999999906868,3679032.699999999720603,12733028.859999999403954
FS( 185 ),3334436.459999999962747,2918699.199999999720603,2774349.020000000018626,3672128.799999999348074,12699613.479999998584390
FS( 186 ),3323106.570000000298023,2909104.009999999776483,2764622.709999999962747,3659088.099999999627471,12655921.389999998733401
FS( 187 ),3329467.209999999962747,2901253.399999999906868,2737456.120000000111759,3705114.099999999627471,12673290.830000000074506
FS( 188 ),3357891.320000000298023,2914337.749999999534339,2734773.000000000000000,3754975.599999999627471,12761977.669999999925494
FS( 189 ),3310782.830000000074506,2911720.879999999888241,2715991.160000000149012,3708949.599999999627471,12647444.470000000670552
FS( 190 ),3301440.640000000130385,2880318.439999999944121,2708277.189999999944121,3788727.999999999534339,12678764.269999999552965
FS( 191 ),3280768.560000000055879,2858511.189999999944121,2701234.000000000000000,3747304.599999999627471,12587818.349999999627471
FS( 192 ),3274805.459999999962747,2853277.449999999720603,2706600.240000000223517,3693607.599999999627471,12528290.750000000000000
FS( 193 ),3253735.839999999850988,2843682.259999999776483,2721357.399999999906868,3679799.799999999348074,12498575.299999998882413
FS( 194 ),3266655.890000000130385,2852405.160000000149012,2721692.790000000037253,3697443.099999999627471,12538196.939999999478459
FS( 195 ),3276594.390000000130385,2874212.410000000149012,2725382.080000000074506,3881547.099999999627471,12757735.980000000447035
FS( 196 ),3243598.570000000298023,2852405.160000000149012,2695196.979999999981374,3790262.199999999254942,12581462.910000000149012
FS( 197 ),3243399.799999999813735,2840193.100000000093132,2707606.410000000149012,3767249.199999999720603,12558448.509999999776483
FS( 198 ),3262282.950000000186265,2862000.350000000093132,2732425.270000000018626,3804837.099999999627471,12661545.669999999925494
FS( 199 ),3226703.120000000111759,2834087.069999999832362,2724711.299999999813735,3785659.599999999627471,12571161.089999997988343
FS( 200 ),3233461.299999999813735,2855894.319999999832362,2743828.529999999795109,3809439.699999999254942,12642623.849999997764826
FS( 201 ),3268643.589999999850988,2862000.350000000093132,2767641.219999999739230,3832452.699999999720603,12730737.859999999403954
FS( 202 ),3280172.250000000000000,2871595.540000000037253,2773342.850000000093132,3932942.799999999813735,12858053.440000001341105
FS( 203 ),3304024.649999999906868,2889913.629999999888241,2777032.139999999664724,4005817.299999999348074,12976787.719999996945262
FS( 204 ),3293291.070000000298023,2896019.660000000149012,2772001.290000000037253,3972064.899999999906868,12933376.919999999925494
FS( 205 ),3302036.950000000186265,2834087.069999999832362,2759927.250000000000000,3923737.599999999627471,12819788.869999999180436
FS( 206 ),3281166.099999999627471,2832342.489999999757856,2744834.700000000186265,3870807.699999999720603,12729150.989999998360872
FS( 207 ),3331852.450000000186265,2843682.259999999776483,2760933.419999999925494,3914532.399999999906868,12851000.529999999329448
FS( 208 ),3379358.479999999981374,2880318.439999999944121,2829017.589999999850988,3971297.799999999813735,13059992.309999998658895
FS( 209 ),3389893.290000000037253,2909104.009999999776483,2836396.169999999925494,3953654.499999999534339,13089047.969999998807907
FS( 210 ),3409969.060000000055879,2935272.709999999962747,2828011.419999999925494,3956722.899999999441206,13129976.089999999850988
FS( 211 ),3469401.290000000037253,2970164.309999999590218,2872618.290000000037253,4075623.399999999906868,13387807.290000000968575
FS( 212 ),3487091.820000000298023,2978887.209999999962747,2872282.899999999906868,4054144.599999999627471,13392406.529999999329448
FS( 213 ),3532411.379999999888241,2989354.689999999944121,2879661.479999999981374,4075623.399999999906868,13477050.950000001117587
FS( 214 ),3507962.669999999925494,2998949.879999999888241,2886369.279999999795109,4037268.399999999906868,13430550.230000000447035
FS( 215 ),3508161.439999999944121,2995460.720000000204891,2870941.339999999850988,3995077.899999999441206,13369641.399999998509884
FS( 216 ),3478345.939999999944121,2970164.309999999590218,2862556.589999999850988,3907628.499999999534339,13218695.339999999850988
FS( 217 ),3459661.560000000055879,2958824.540000000037253,2850482.549999999813735,3943682.199999999254942,13212650.849999997764826
FS( 218 ),3465028.349999999627471,2968419.729999999981374,2849476.379999999888241,3968229.399999999441206,13251153.859999999403954
FS( 219 ),3463239.419999999925494,2951846.220000000204891,2877984.529999999795109,4009652.799999999813735,13302722.969999998807907
FS( 220 ),3489278.290000000037253,2945740.189999999944121,2866916.660000000149012,3986639.799999999348074,13288574.939999999478459
FS( 221 ),3484110.270000000018626,2927422.100000000093132,2864233.540000000037253,3985105.599999999627471,13260871.509999999776483
FS( 222 ),3681488.879999999888241,3023373.999999999534339,2891400.129999999888241,3946750.599999999627471,13543013.609999997541308
FS( 223 ),3650480.760000000242144,3004183.619999999646097,2893412.469999999739230,3951353.199999999254942,13499430.049999998882413
FS( 224 ),3675327.010000000242144,3024246.290000000037253,2902468.000000000000000,4000447.599999999627471,13602488.900000000372529
FS( 225 ),3680892.570000000298023,3041692.089999999850988,2970216.779999999795109,4046473.599999999627471,13739275.039999999105930
FS( 226 ),3651474.609999999869615,3020757.129999999888241,2955459.620000000111759,3960558.399999999906868,13588249.759999999776483
FS( 227 ),3636169.320000000298023,3018140.259999999776483,2952105.719999999739230,3932175.699999999254942,13538591.000000000000000
FS( 228 ),3604763.659999999683350,2996333.009999999776483,2920914.450000000186265,3827082.999999999534339,13349094.120000001043081
FS( 229 ),3613708.310000000055879,3001566.749999999534339,2910517.359999999869615,3829384.299999999813735,13355176.719999998807907
FS( 230 ),3614702.159999999683350,2966675.149999999906868,2900455.660000000149012,3807138.399999999906868,13288971.369999999180436
