代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13183619.640000000596046
真實報酬,3183619.640000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12696.382583601021906
風險,169631.239525691809831
起點值,0.074846959906097
找到最佳解世代,1850
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),KO[14](9),TRV[22](5),V[25](2),WMT[28](10),
FS( 60 ),2332807.599999999627471,2231720.660000000149012,2185586.500000000000000,2403430.609999999869615,1896110.280000000027940,11049655.649999998509884
FS( 61 ),2336405.520000000484288,2259432.799999999813735,2159941.820000000298023,2409673.250000000000000,1898683.399999999906868,11064136.790000000968575
FS( 62 ),2329209.679999999701977,2249998.879999999888241,2170402.149999999441206,2399528.959999999962747,1894823.719999999972060,11043963.389999998733401
FS( 63 ),2353045.900000000372529,2268277.100000000093132,2179850.189999999478459,2401089.620000000111759,1899969.959999999962747,11102232.769999999552965
FS( 64 ),2370585.759999999776483,2274762.919999999925494,2184574.209999999962747,2383922.359999999869615,1898040.119999999878928,11111885.369999999180436
FS( 65 ),2359792.000000000000000,2283017.600000000093132,2184911.639999999664724,2270774.510000000242144,1897396.840000000083819,10995892.589999999850988
FS( 66 ),2336855.259999999776483,2270045.959999999962747,2176475.889999999664724,2298086.060000000055879,1888069.280000000027940,10969532.449999999254942
FS( 67 ),2311220.080000000074506,2278300.640000000130385,2179512.759999999776483,2312132.000000000000000,1903829.639999999897555,10984995.120000001043081
FS( 68 ),2276590.099999999627471,2274173.299999999813735,2172764.160000000149012,2305109.029999999795109,1899326.679999999934807,10927963.269999999552965
FS( 69 ),2253653.360000000335276,2263560.140000000130385,2156904.950000000186265,2291063.089999999850988,1898683.399999999906868,10863864.939999999478459
FS( 70 ),2276590.099999999627471,2282427.979999999981374,2181199.910000000149012,2305109.029999999795109,1903829.639999999897555,10949156.660000000149012
FS( 71 ),2263997.379999999888241,2284196.839999999850988,2180525.049999999813735,2300427.049999999813735,1911227.360000000102445,10940373.679999999701977
FS( 72 ),2243309.339999999850988,2266508.239999999757856,2175801.030000000260770,2277017.149999999906868,1899969.959999999962747,10862605.719999998807907
FS( 73 ),2188890.799999999813735,2257074.319999999832362,2164665.839999999850988,2274676.159999999683350,1908975.880000000121072,10794283.000000000000000
FS( 74 ),2193388.200000000186265,2250588.500000000000000,2146444.620000000111759,2292623.750000000000000,1903829.639999999897555,10786874.710000000894070
FS( 75 ),2114683.700000000186265,2214621.680000000167638,2115738.490000000223517,2243462.959999999962747,1983918.000000000000000,10672424.830000001937151
FS( 76 ),2116032.919999999925494,2183371.819999999832362,2098192.129999999888241,2197423.489999999757856,2008041.000000000000000,10603061.359999999403954
FS( 77 ),2141218.360000000335276,2196933.080000000074506,2115738.490000000223517,2267653.189999999944121,2027661.040000000037253,10749204.160000000149012
FS( 78 ),2170451.459999999962747,2187499.160000000149012,2119787.650000000372529,2309791.010000000242144,2049854.199999999953434,10837383.480000000447035
FS( 79 ),2170451.459999999962747,2187499.160000000149012,2119787.650000000372529,2309791.010000000242144,2049854.199999999953434,10837383.480000000447035
FS( 80 ),2235663.759999999776483,2227593.319999999832362,2132272.559999999590218,2336322.229999999981374,2092953.959999999729916,11024805.829999998211861
FS( 81 ),2223520.780000000260770,2218159.399999999906868,2112364.190000000409782,2328518.930000000167638,2100673.319999999832362,10983236.620000001043081
FS( 82 ),2238811.940000000409782,2224645.219999999739230,2121812.230000000447035,2346466.520000000018626,2112574.000000000000000,11044309.910000000149012
FS( 83 ),2235663.759999999776483,2212852.819999999832362,2088406.659999999916181,2291843.419999999925494,2104854.640000000130385,10933621.300000000745058
FS( 84 ),2219023.379999999888241,2203418.899999999906868,2108652.459999999962747,2247364.609999999869615,2117076.959999999962747,10895536.309999998658895
FS( 85 ),2156959.259999999776483,2155070.059999999590218,2044203.329999999841675,2189620.189999999944121,2108392.679999999701977,10654245.519999999552965
FS( 86 ),2192938.459999999962747,2170989.799999999813735,2037454.729999999981374,2227076.029999999795109,2122544.839999999850988,10751003.859999999403954
FS( 87 ),2200134.299999999813735,2159197.399999999906868,2051626.789999999804422,2220053.060000000055879,2106784.479999999981374,10737796.029999999329448
FS( 88 ),2275690.620000000111759,2199881.180000000167638,2079970.909999999916181,2269994.180000000167638,2120615.000000000000000,10946151.890000000596046
FS( 89 ),2304473.980000000447035,2189857.640000000130385,2089081.519999999785796,2278577.810000000055879,2118685.160000000149012,10980676.110000001266599
FS( 90 ),2354395.120000000111759,2218159.399999999906868,2096842.409999999916181,2274676.159999999683350,2194270.560000000055879,11138343.650000000372529
FS( 91 ),2309421.120000000111759,2201060.419999999925494,2077271.469999999972060,2269994.180000000167638,2172077.399999999906868,11029824.589999999850988
FS( 92 ),2349447.980000000447035,2216980.160000000149012,2090093.809999999823049,2285600.779999999795109,2178188.560000000055879,11120311.290000000968575
FS( 93 ),2292331.000000000000000,2202239.660000000149012,2080308.339999999850988,2241902.299999999813735,2157281.959999999962747,10974063.260000001639128
FS( 94 ),2345850.059999999590218,2232899.899999999906868,2129910.549999999813735,2272335.169999999925494,2175293.799999999813735,11156289.480000000447035
FS( 95 ),2332807.599999999627471,2243513.059999999590218,2139696.019999999552965,2309791.010000000242144,2179153.479999999981374,11204961.169999999925494
FS( 96 ),2353045.900000000372529,2239975.339999999850988,2128223.400000000372529,2343345.200000000186265,2191054.160000000149012,11255644.000000000000000
FS( 97 ),2382279.000000000000000,2232899.899999999906868,2141045.740000000223517,2367535.430000000167638,2181083.319999999832362,11304843.390000000596046
FS( 98 ),2375982.639999999664724,2227593.319999999832362,2154542.940000000409782,2391725.659999999683350,2203919.759999999776483,11353764.319999998435378
FS( 99 ),2305373.459999999962747,2201650.040000000037253,2111689.330000000074506,2330859.919999999925494,2177545.280000000260770,11127118.030000001192093
FS( 100 ),2339553.700000000186265,2209315.100000000093132,2137671.440000000409782,2437765.129999999888241,2164679.679999999701977,11288985.050000000745058
FS( 101 ),2317066.700000000186265,2204598.140000000130385,2097179.839999999850988,2365974.770000000018626,2192984.000000000000000,11177803.449999999254942
FS( 102 ),2333257.339999999850988,2213442.439999999944121,2097179.839999999850988,2402650.279999999795109,2205849.600000000093132,11252379.499999998137355
FS( 103 ),2318415.919999999925494,2250588.500000000000000,2120125.080000000074506,2408112.589999999850988,2206171.240000000223517,11303413.330000000074506
FS( 104 ),2324712.280000000260770,2257074.319999999832362,2120799.940000000409782,2370656.750000000000000,2196843.679999999701977,11270086.969999998807907
FS( 105 ),2383178.480000000447035,2305423.160000000149012,2154205.509999999776483,2412014.239999999757856,2242516.560000000055879,11497337.950000001117587
FS( 106 ),2384077.959999999962747,2326649.479999999981374,2156904.950000000186265,2470538.989999999757856,2230615.879999999888241,11568787.259999997913837
FS( 107 ),2322913.320000000298023,2333724.919999999925494,2163990.979999999515712,2465076.680000000167638,2275645.479999999981374,11561351.380000000819564
FS( 108 ),2343601.360000000335276,2313088.219999999739230,2158254.669999999925494,2477561.959999999962747,2286259.600000000093132,11578765.810000000521541
FS( 109 ),2345400.320000000298023,2304243.919999999925494,2134634.569999999366701,2444007.770000000018626,2295265.520000000018626,11523552.099999999627471
FS( 110 ),2344051.099999999627471,2298937.339999999850988,2128223.400000000372529,2412014.239999999757856,2308131.120000000111759,11491357.199999999254942
FS( 111 ),2348548.500000000000000,2298937.339999999850988,2132947.419999999925494,2385483.020000000018626,2319388.520000000018626,11485304.799999998882413
FS( 112 ),2323812.799999999813735,2283607.219999999739230,2110002.179999999701977,2355830.479999999981374,2324213.120000000111759,11397465.800000000745058
FS( 113 ),2318415.919999999925494,2259432.799999999813735,2100216.709999999962747,2392505.989999999757856,2325821.319999999832362,11396392.740000000223517
FS( 114 ),2342701.879999999888241,2278300.640000000130385,2130247.980000000447035,2420597.870000000111759,2353804.000000000000000,11525652.370000001043081
FS( 115 ),2313918.520000000484288,2254715.839999999850988,2110677.040000000037253,2480683.279999999795109,2347371.200000000186265,11507365.879999998956919
FS( 116 ),2281087.500000000000000,2290682.660000000149012,2136321.719999999739230,2501752.189999999944121,2351230.879999999888241,11561074.949999999254942
FS( 117 ),2289632.559999999590218,2283017.600000000093132,2159604.389999999664724,2493948.890000000130385,2343189.879999999888241,11569393.320000000298023
FS( 118 ),2291881.259999999776483,2286555.319999999832362,2149144.059999999590218,2446348.760000000242144,2300733.399999999906868,11474662.800000000745058
FS( 119 ),2280188.020000000484288,2271225.200000000186265,2116075.919999999925494,2453371.729999999981374,2323891.479999999981374,11444752.350000001490116
FS( 120 ),2291881.259999999776483,2266508.239999999757856,2083345.209999999962747,2428401.169999999925494,2311025.879999999888241,11381161.759999997913837
FS( 121 ),2301325.799999999813735,2260022.419999999925494,2054663.659999999916181,2392505.989999999757856,2320353.439999999944121,11328871.309999998658895
FS( 122 ),2296828.400000000372529,2270635.580000000074506,2057700.529999999795109,2383922.359999999869615,2318423.600000000093132,11327510.469999998807907
FS( 123 ),2379580.559999999590218,2324291.000000000000000,2078958.619999999878928,2472879.979999999981374,2369564.359999999869615,11625274.519999999552965
FS( 124 ),2415559.759999999776483,2359078.580000000074506,2116413.349999999627471,2518919.450000000186265,2396903.759999999776483,11806874.900000000372529
FS( 125 ),2394871.719999999739230,2391507.680000000167638,2132947.419999999925494,2552473.640000000130385,2411699.200000000186265,11883499.660000000149012
FS( 126 ),2346749.540000000037253,2382073.759999999776483,2114051.339999999850988,2518139.120000000111759,2394009.000000000000000,11755022.759999999776483
FS( 127 ),2324262.540000000037253,2388559.580000000074506,2137671.440000000409782,2486925.919999999925494,2367956.160000000149012,11705375.640000000596046
FS( 128 ),2311220.080000000074506,2351413.520000000018626,2121474.799999999813735,2522040.770000000018626,2381786.679999999701977,11687935.849999999627471
FS( 129 ),2351696.679999999701977,2383253.000000000000000,2149818.919999999925494,2554814.629999999888241,2397868.679999999701977,11837451.910000000149012
FS( 130 ),2338654.219999999739230,2377356.799999999813735,2143407.750000000000000,2556375.290000000037253,2389184.399999999906868,11804978.459999999031425
FS( 131 ),2356643.820000000298023,2352003.140000000130385,2138346.299999999813735,2543890.010000000242144,2379856.839999999850988,11770740.110000001266599
FS( 132 ),2374183.679999999701977,2345517.319999999832362,2153193.219999999739230,2558716.279999999795109,2390149.319999999832362,11821759.820000000298023
FS( 133 ),2390374.320000000298023,2336083.399999999906868,2155892.660000000149012,2507214.500000000000000,2375353.879999999888241,11764918.760000001639128
FS( 134 ),2386326.660000000149012,2323111.759999999776483,2158929.529999999329448,2518139.120000000111759,2369886.000000000000000,11756393.070000000298023
FS( 135 ),2375532.900000000372529,2317215.559999999590218,2150493.779999999329448,2503312.849999999627471,2360880.080000000074506,11707435.169999999925494
FS( 136 ),2460533.759999999776483,2321932.520000000018626,2144082.609999999403954,2533745.719999999739230,2380500.120000000111759,11840794.730000000447035
FS( 137 ),2473576.219999999739230,2320163.660000000149012,2151168.639999999664724,2518139.120000000111759,2394652.280000000260770,11857699.920000001788139
FS( 138 ),2532492.160000000149012,2331956.059999999590218,2160616.679999999701977,2529844.070000000298023,2320675.080000000074506,11875584.049999998882413
FS( 139 ),2551381.240000000223517,2330776.819999999832362,2197733.979999999515712,2510335.820000000298023,2315528.839999999850988,11905756.699999999254942
FS( 140 ),2544185.400000000372529,2327239.100000000093132,2214942.910000000149012,2500191.529999999795109,2325499.679999999701977,11912058.619999999180436
FS( 141 ),2532941.900000000372529,2314857.080000000074506,2201108.280000000260770,2487706.250000000000000,2297517.000000000000000,11834130.510000001639128
FS( 142 ),2547333.580000000074506,2285965.700000000186265,2208531.740000000223517,2499411.200000000186265,2308452.759999999776483,11849694.980000000447035
FS( 143 ),2543285.919999999925494,2247050.779999999795109,2186598.790000000037253,2480683.279999999795109,2301698.319999999832362,11759317.089999999850988
FS( 144 ),2561725.259999999776483,2268277.100000000093132,2206844.589999999850988,2471319.320000000298023,2319388.520000000018626,11827554.789999999105930
FS( 145 ),2548682.799999999813735,2250588.500000000000000,2199421.129999999888241,2490827.570000000298023,2331932.479999999981374,11821452.480000000447035
FS( 146 ),2542386.440000000409782,2240564.959999999962747,2187948.509999999776483,2485365.260000000242144,2329037.719999999739230,11785302.890000000596046
FS( 147 ),2556328.379999999888241,2208725.479999999981374,2186598.790000000037253,2497850.540000000037253,2340616.759999999776483,11790119.949999999254942
FS( 148 ),2546434.099999999627471,2189857.640000000130385,2176138.459999999962747,2472099.649999999906868,2323891.479999999981374,11708421.330000000074506
FS( 149 ),2552280.719999999739230,2205187.759999999776483,2184574.209999999962747,2501752.189999999944121,2335148.879999999888241,11778943.759999997913837
FS( 150 ),2554079.679999999701977,2198112.319999999832362,2181199.910000000149012,2507214.500000000000000,2364418.120000000111759,11805024.530000001192093
FS( 151 ),2542836.179999999701977,2211673.580000000074506,2177488.179999999701977,2489266.909999999683350,2365704.679999999701977,11786969.529999999329448
FS( 152 ),2592757.320000000298023,2249409.259999999776483,2204820.009999999776483,2526722.750000000000000,2406231.319999999832362,11979940.660000000149012
FS( 153 ),2575217.459999999962747,2234668.759999999776483,2200433.419999999925494,2530624.399999999906868,2374388.959999999962747,11915333.000000000000000
FS( 154 ),2577016.419999999925494,2220517.879999999888241,2203807.719999999739230,2510335.820000000298023,2364418.120000000111759,11876095.960000000894070
FS( 155 ),2550931.500000000000000,2227003.700000000186265,2259146.240000000223517,2564958.919999999925494,2382108.319999999832362,11984148.679999999701977
FS( 156 ),2565772.919999999925494,2214032.059999999590218,2279054.610000000335276,2603975.419999999925494,2382429.959999999962747,12045264.969999998807907
FS( 157 ),2621990.419999999925494,2261201.660000000149012,2309760.740000000223517,2632847.629999999888241,2416845.439999999944121,12242645.889999998733401
FS( 158 ),2674160.259999999776483,2247640.399999999906868,2314147.330000000074506,2618801.689999999944121,2396260.479999999981374,12251010.160000000149012
FS( 159 ),2649424.559999999590218,2261201.660000000149012,2310773.030000000260770,2611778.719999999739230,2379856.839999999850988,12213034.809999998658895
FS( 160 ),2647175.860000000335276,2277121.399999999906868,2310098.169999999925494,2607877.070000000298023,2378570.280000000260770,12220842.780000001192093
FS( 161 ),2674610.000000000000000,2271225.200000000186265,2302337.280000000260770,2629726.310000000055879,2392079.160000000149012,12269977.950000001117587
FS( 162 ),2666064.940000000409782,2278300.640000000130385,2309760.740000000223517,2625824.659999999683350,2404301.479999999981374,12284252.460000000894070
FS( 163 ),2672361.299999999813735,2242333.819999999832362,2315159.620000000111759,2633627.959999999962747,2394652.280000000260770,12258134.980000000447035
FS( 164 ),2671012.080000000074506,2247640.399999999906868,2308748.450000000186265,2609437.729999999981374,2403979.839999999850988,12240818.500000000000000
FS( 165 ),2685853.500000000000000,2221697.120000000111759,2310773.030000000260770,2625044.330000000074506,2388541.120000000111759,12231909.100000001490116
FS( 166 ),2661117.799999999813735,2226414.080000000074506,2287152.929999999701977,2585247.500000000000000,2386289.640000000130385,12146221.949999999254942
FS( 167 ),2693049.339999999850988,2258843.180000000167638,2308411.019999999552965,2612559.049999999813735,2379535.200000000186265,12252397.789999999105930
FS( 168 ),2715086.599999999627471,2236437.620000000111759,2303349.570000000298023,2619582.020000000018626,2373745.679999999701977,12248201.490000000223517
FS( 169 ),2724081.400000000372529,2262970.520000000018626,2330681.399999999441206,2667182.149999999906868,2381786.679999999701977,12366702.149999998509884
FS( 170 ),2713287.639999999664724,2260612.040000000037253,2318196.490000000223517,2653136.209999999962747,2372137.479999999981374,12317369.859999999403954
FS( 171 ),2778050.200000000186265,2254715.839999999850988,2328656.820000000298023,2702297.000000000000000,2386611.280000000260770,12450331.140000000596046
FS( 172 ),2776700.980000000447035,2260022.419999999925494,2337767.429999999701977,2724926.570000000298023,2403336.560000000055879,12502753.960000000894070
FS( 173 ),2842363.020000000484288,2274762.919999999925494,2347215.469999999739230,2736631.520000000018626,2416523.799999999813735,12617496.730000000447035
FS( 174 ),2782997.339999999850988,2274762.919999999925494,2346540.610000000335276,2706198.649999999906868,2420383.479999999981374,12530883.000000000000000
FS( 175 ),2741171.520000000484288,2273583.680000000167638,2339117.149999999441206,2667962.479999999981374,2384681.439999999944121,12406516.269999999552965
FS( 176 ),2686752.980000000447035,2245871.540000000037253,2341816.589999999850988,2680447.760000000242144,2425851.359999999869615,12380740.230000000447035
FS( 177 ),2653921.959999999962747,2247050.779999999795109,2333718.269999999552965,2712441.290000000037253,2412664.120000000111759,12359796.420000001788139
FS( 178 ),2678657.660000000149012,2254126.219999999739230,2318871.349999999627471,2714001.950000000186265,2438395.319999999832362,12404052.500000000000000
FS( 179 ),2727679.320000000298023,2248230.020000000018626,2354976.360000000335276,2728828.219999999739230,2481495.080000000074506,12541209.000000000000000
FS( 180 ),2737123.860000000335276,2234668.759999999776483,2378596.459999999962747,2753798.779999999795109,2473775.719999999739230,12577963.579999998211861
FS( 181 ),2760960.080000000074506,2225234.839999999850988,2408627.729999999515712,2781110.330000000074506,2477635.399999999906868,12653568.380000000819564
FS( 182 ),2779399.419999999925494,2231131.040000000037253,2495009.809999999590218,2767844.719999999739230,2462518.319999999832362,12735903.309999998658895
FS( 183 ),2783447.080000000074506,2205187.759999999776483,2480500.320000000298023,2730388.879999999888241,2432284.160000000149012,12631808.199999999254942
FS( 184 ),2790193.179999999701977,2195164.219999999739230,2496696.959999999962747,2711660.959999999962747,2433249.080000000074506,12626964.400000000372529
FS( 185 ),2777150.719999999739230,2158607.779999999795109,2476113.729999999515712,2665621.489999999757856,2404623.120000000111759,12482116.839999999850988
FS( 186 ),2756012.940000000409782,2174527.520000000018626,2469365.129999999888241,2662500.169999999925494,2406552.959999999962747,12468958.720000002533197
FS( 187 ),2720033.740000000223517,2186909.540000000037253,2433597.549999999813735,2683569.080000000074506,2422634.959999999962747,12446744.870000001043081
FS( 188 ),2700245.179999999701977,2183961.439999999944121,2414701.469999999739230,2698395.349999999627471,2415880.520000000018626,12413183.959999997168779
FS( 189 ),2760510.339999999850988,2192216.120000000111759,2393780.809999999590218,2706978.979999999981374,2412985.759999999776483,12466472.009999999776483
FS( 190 ),2800087.459999999962747,2201060.419999999925494,2369823.280000000260770,2806861.219999999739230,2362488.280000000260770,12540320.660000000149012
FS( 191 ),2789293.700000000186265,2186319.919999999925494,2349240.049999999813735,2797497.260000000242144,2340616.759999999776483,12462967.689999999478459
FS( 192 ),2805484.339999999850988,2168041.700000000186265,2332031.120000000111759,2760821.750000000000000,2352517.439999999944121,12418896.349999999627471
FS( 193 ),2816278.099999999627471,2206367.000000000000000,2367798.700000000186265,2806861.219999999739230,2372459.120000000111759,12569764.140000000596046
FS( 194 ),2787944.480000000447035,2165093.600000000093132,2318533.919999999925494,2781110.330000000074506,2351552.520000000018626,12404234.849999999627471
FS( 195 ),2737123.860000000335276,2143867.279999999795109,2328319.389999999664724,2771746.370000000111759,2331289.200000000186265,12312346.100000001490116
