代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13098942.320000000298023
真實報酬,3098942.320000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10797.280391117532417
風險,229498.857333624735475
起點值,0.047047207626927
找到最佳解世代,1877
找到最佳解實驗#,2
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
CAT[3](11),DIS[6](1),INTC[11](2),MRK[17](4),NKE[19](22),UNH[23](6),
FS( 11 ),1728583.659999999916181,1657264.800000000046566,1719408.250000000000000,1597250.830000000074506,1610619.800000000279397,1596999.700000000186265,9910131.039999999105930
FS( 12 ),1719483.939999999944121,1660790.250000000000000,1734176.080000000074506,1590940.359999999869615,1617362.200000000419095,1589583.610000000102445,9912340.439999999478459
FS( 13 ),1744211.439999999944121,1696984.870000000111759,1768634.350000000093132,1624153.359999999869615,1655288.200000000186265,1626664.060000000055879,10115940.279999999329448
FS( 14 ),1731748.780000000027940,1715082.179999999934807,1767931.120000000111759,1620499.929999999934807,1648967.200000000419095,1626888.790000000037253,10111122.000000000000000
FS( 15 ),1759245.760000000242144,1701685.470000000204891,1762305.280000000027940,1638102.819999999832362,1629582.800000000279397,1648462.869999999878928,10139389.000000000000000
FS( 16 ),1779621.219999999972060,1722368.110000000102445,1780589.260000000242144,1639431.339999999850988,1624947.400000000372529,1670935.869999999878928,10217897.199999999254942
FS( 17 ),1798414.119999999878928,1735764.819999999832362,1788324.790000000037253,1641091.989999999757856,1636325.200000000186265,1665991.810000000055879,10265916.729999998584390
FS( 18 ),1803161.800000000046566,1753862.130000000121072,1807312.000000000000000,1651388.019999999785796,1647703.000000000232831,1682172.369999999878928,10345603.319999998435378
FS( 19 ),1797622.840000000083819,1747516.319999999832362,1800279.700000000186265,1653712.929999999934807,1646860.200000000186265,1678576.689999999944121,10324572.679999999701977
FS( 20 ),1797622.840000000083819,1791701.960000000195578,1817860.450000000186265,1658694.879999999888241,1659080.800000000046566,1680599.260000000009313,10405564.189999999478459
FS( 21 ),1796435.920000000158325,1795697.470000000204891,1825595.980000000214204,1662348.309999999823049,1656973.800000000279397,1692285.219999999972060,10429340.700000001117587
FS( 22 ),1777840.840000000083819,1792642.079999999841675,1813641.070000000065193,1643749.030000000027940,1648545.800000000046566,1675879.929999999934807,10352302.750000000000000
FS( 23 ),1776851.739999999757856,1788881.600000000093132,1812937.840000000316650,1651720.149999999906868,1644331.800000000279397,1687790.619999999878928,10362517.750000000000000
FS( 24 ),1753508.979999999981374,1782065.729999999748543,1790434.480000000214204,1652052.280000000027940,1631689.800000000279397,1668463.839999999850988,10278219.110000001266599
FS( 25 ),1759245.760000000242144,1794287.290000000037253,1799576.470000000204891,1664341.089999999850988,1632532.600000000325963,1719477.550000000279397,10369464.760000001639128
FS( 26 ),1763399.979999999981374,1767963.929999999934807,1788324.790000000037253,1653712.929999999934807,1624526.000000000000000,1699476.580000000074506,10297408.209999999031425
FS( 27 ),1774675.719999999972060,1760442.970000000204891,1779886.030000000027940,1644745.419999999925494,1624526.000000000000000,1709814.159999999916181,10294094.300000000745058
FS( 28 ),1790501.320000000065193,1771959.439999999944121,1795357.090000000316650,1656702.100000000093132,1620733.400000000372529,1678801.420000000158325,10314058.769999999552965
FS( 29 ),1778236.479999999981374,1722133.079999999841675,1793247.400000000139698,1764312.219999999739230,1584071.600000000325963,1661721.939999999944121,10303726.719999998807907
FS( 30 ),1791490.420000000158325,1749866.620000000111759,1864273.630000000353903,1760326.659999999916181,1584071.600000000325963,1663519.780000000027940,10413552.709999999031425
FS( 31 ),1828087.119999999878928,1745871.110000000102445,1875525.310000000288710,1744384.419999999925494,1589549.800000000279397,1681947.640000000130385,10465369.400000000372529
FS( 32 ),1820174.320000000065193,1744225.899999999906868,1866383.320000000065193,1743720.159999999916181,1576065.000000000232831,1635203.800000000279397,10385776.500000001862645
FS( 33 ),1808898.579999999841675,1738820.210000000195578,1817860.450000000186265,1725453.010000000009313,1546567.000000000465661,1629810.280000000027940,10267413.529999999329448
FS( 34 ),1792281.699999999953434,1743990.870000000111759,1799576.470000000204891,1721467.449999999953434,1554152.200000000419095,1644193.000000000000000,10255665.690000001341105
FS( 35 ),1773290.979999999981374,1770079.200000000186265,1779886.030000000027940,1705525.209999999962747,1548674.000000000232831,1649586.520000000251457,10227045.939999999478459
FS( 36 ),1750343.860000000102445,1757857.640000000130385,1767227.890000000130385,1713828.459999999962747,1532660.800000000046566,1645091.920000000158325,10167014.570000000298023
FS( 37 ),1704647.439999999944121,1709206.429999999934807,1744724.530000000027940,1726449.399999999906868,1509905.200000000186265,1609135.119999999878928,10004072.119999999180436
FS( 38 ),1805931.280000000027940,1698160.020000000018626,1738395.459999999962747,1744716.550000000046566,1514962.000000000465661,1610258.770000000251457,10112428.080000000074506
FS( 39 ),1829274.040000000037253,1712966.909999999916181,1751053.600000000093132,1756008.969999999739230,1531818.000000000232831,1611607.149999999906868,10192732.670000001788139
FS( 40 ),1792677.340000000083819,1676537.260000000009313,1735582.540000000037253,1734088.389999999897555,1512433.600000000325963,1601494.300000000279397,10052817.430000001564622
FS( 41 ),1843714.900000000139698,1720957.929999999934807,1739801.919999999925494,1777265.289999999804422,1557944.800000000279397,1636102.719999999972060,10275791.560000000521541
FS( 42 ),1857760.119999999878928,1706621.100000000093132,1725737.320000000065193,1759330.269999999785796,1534767.800000000279397,1624416.760000000009313,10208637.369999999180436
FS( 43 ),1828284.939999999944121,1645043.239999999990687,1684246.750000000000000,1729770.699999999953434,1493470.600000000093132,1589808.339999999850988,9970628.570000000298023
FS( 44 ),1829867.500000000000000,1669956.419999999925494,1675104.760000000242144,1777265.289999999804422,1485885.400000000139698,1584639.550000000279397,10022722.919999999925494
FS( 45 ),1819185.219999999972060,1686643.550000000046566,1654007.860000000102445,1777929.550000000046566,1487571.000000000000000,1591606.179999999934807,10016947.359999999403954
FS( 46 ),1856177.560000000055879,1775954.950000000186265,1687059.669999999925494,1785900.669999999925494,1506955.400000000139698,1592729.830000000074506,10204782.080000000074506
FS( 47 ),1876750.840000000083819,1778540.280000000027940,1702530.730000000214204,1819113.669999999925494,1531818.000000000232831,1603741.600000000093132,10312499.120000001043081
FS( 48 ),1869431.500000000000000,1811209.450000000186265,1708156.570000000065193,1823099.229999999981374,1531396.600000000325963,1567335.339999999850988,10310632.689999999478459
FS( 49 ),1878531.219999999972060,1828366.640000000130385,1720814.709999999962747,1850001.760000000009313,1558787.600000000325963,1587111.580000000074506,10423617.509999999776483
FS( 50 ),1902467.439999999944121,1831187.000000000000000,1726440.550000000279397,1826752.659999999916181,1561737.400000000372529,1578571.839999999850988,10427160.890000000596046
FS( 51 ),1901280.520000000018626,1830951.970000000204891,1736989.000000000000000,1830073.959999999962747,1577750.600000000093132,1600370.649999999906868,10477420.700000001117587
FS( 52 ),1909984.599999999860302,1862210.960000000195578,1741208.380000000353903,1841366.379999999888241,1581543.200000000186265,1652283.280000000027940,10588600.799999998882413
FS( 53 ),1910182.420000000158325,1870437.010000000009313,1741208.380000000353903,1849669.629999999888241,1584493.000000000232831,1659249.909999999916181,10615244.350000001490116
FS( 54 ),1903258.719999999972060,1853749.880000000121072,1722924.400000000139698,1828081.179999999934807,1576486.400000000139698,1652957.469999999972060,10537462.050000000745058
FS( 55 ),1917303.939999999944121,1861270.839999999850988,1739801.919999999925494,1853655.189999999944121,1592499.600000000093132,1651384.360000000102445,10615919.849999997764826
FS( 56 ),1928777.500000000000000,1883363.659999999916181,1717298.560000000288710,1860962.050000000046566,1611462.600000000325963,1658800.450000000186265,10660668.820000000298023
FS( 57 ),1925216.739999999757856,1897465.460000000195578,1732066.390000000130385,1865944.000000000000000,1640117.800000000279397,1708241.050000000279397,10769055.440000001341105
FS( 58 ),1907215.119999999878928,1885243.899999999906868,1731363.160000000149012,1856976.489999999757856,1646017.400000000372529,1692734.679999999934807,10719554.750000000000000
FS( 59 ),1922842.900000000139698,1882188.510000000009313,1744021.300000000279397,1868933.169999999925494,1652338.400000000372529,1709364.700000000186265,10779692.980000000447035
FS( 60 ),1912951.900000000139698,1891589.710000000195578,1741208.380000000353903,1881886.239999999757856,1643910.400000000139698,1708465.780000000027940,10780016.410000000149012
FS( 61 ),1918293.040000000037253,1899345.700000000186265,1741208.380000000353903,1892846.530000000027940,1649810.000000000232831,1736557.030000000027940,10838064.680000001564622
FS( 62 ),1905236.920000000158325,1867616.649999999906868,1722924.400000000139698,1873915.119999999878928,1630847.000000000465661,1732736.619999999878928,10733280.710000000894070
FS( 63 ),1919282.139999999897555,1920498.399999999906868,1730659.930000000167638,1895171.439999999944121,1656552.400000000372529,1755883.810000000055879,10878052.120000001043081
FS( 64 ),1906423.840000000083819,1943296.310000000288710,1722924.400000000139698,1889193.100000000093132,1631268.400000000372529,1752737.589999999850988,10845847.640000000596046
FS( 65 ),1930755.699999999953434,1958808.290000000037253,1732066.390000000130385,1901814.039999999804422,1648124.400000000139698,1744872.040000000037253,10916444.859999999403954
FS( 66 ),1919875.599999999860302,1932249.899999999906868,1732769.620000000111759,1908788.769999999785796,1674251.200000000186265,1739478.520000000251457,10907417.609999999403954
FS( 67 ),1913941.000000000000000,1926609.179999999934807,1746834.220000000204891,1903806.819999999832362,1664137.600000000325963,1750265.560000000055879,10905598.380000000819564
FS( 68 ),1915721.380000000121072,1904986.419999999925494,1739098.690000000176951,1882882.629999999888241,1660345.000000000232831,1748018.260000000009313,10851056.380000000819564
FS( 69 ),1915325.739999999757856,1912742.409999999916181,1741208.380000000353903,1886868.189999999944121,1664137.600000000325963,1743973.119999999878928,10864259.439999997615814
FS( 70 ),1891389.520000000018626,1878663.060000000288710,1727847.010000000242144,1852990.929999999934807,1654866.800000000279397,1730714.050000000279397,10736475.370000001043081
FS( 71 ),1887037.479999999981374,1881953.479999999748543,1722924.400000000139698,1850001.760000000009313,1650231.400000000139698,1701274.420000000158325,10693426.939999999478459
FS( 72 ),1892576.439999999944121,1912977.439999999944121,1736989.000000000000000,1868601.039999999804422,1664137.600000000325963,1725095.800000000279397,10800381.320000000298023
FS( 73 ),1907215.119999999878928,1927079.239999999990687,1745427.760000000242144,1871922.339999999850988,1678043.800000000279397,1752962.320000000065193,10882654.580000000074506
FS( 74 ),1899895.780000000027940,1892529.829999999841675,1759492.360000000102445,1859633.530000000027940,1667930.200000000186265,1797009.399999999906868,10876495.099999999627471
FS( 75 ),1903258.719999999972060,1899345.700000000186265,1788324.790000000037253,1846348.330000000074506,1670458.600000000325963,1832292.010000000009313,10940032.150000000372529
FS( 76 ),1926601.479999999981374,1888534.319999999832362,1770040.810000000288710,1815460.239999999757856,1584493.000000000232831,1828022.140000000130385,10813155.990000000223517
FS( 77 ),1915919.199999999953434,1868321.739999999990687,1766524.660000000149012,1786232.800000000046566,1577329.200000000186265,1826673.760000000009313,10741005.359999999403954
FS( 78 ),1950339.880000000121072,1869731.919999999925494,1790434.480000000214204,1833063.129999999888241,1552045.200000000186265,1822628.619999999878928,10818247.229999998584390
FS( 79 ),1934712.099999999860302,1847874.130000000121072,1784808.640000000130385,1860629.919999999925494,1542774.400000000139698,1832516.740000000223517,10803319.929999999701977
FS( 80 ),1947570.400000000139698,1844583.710000000195578,1779886.030000000027940,1850998.149999999906868,1544881.400000000139698,1820830.780000000027940,10788754.470000000670552
FS( 81 ),1966165.479999999981374,1856570.239999999990687,1801686.160000000149012,1859301.399999999906868,1549516.800000000279397,1834314.580000000074506,10867558.660000000149012
FS( 82 ),1965769.840000000083819,1881953.479999999748543,1815047.530000000027940,1885539.669999999925494,1556259.200000000186265,1842629.589999999850988,10947203.309999998658895
FS( 83 ),1974473.920000000158325,1917207.979999999748543,1827705.669999999925494,1872254.469999999739230,1567637.000000000465661,1839258.640000000130385,10998541.680000001564622
FS( 84 ),2030259.159999999916181,1919558.280000000027940,1820673.370000000111759,1875243.639999999897555,1570586.800000000279397,1834089.850000000093132,11050415.099999999627471
FS( 85 ),2028676.599999999860302,1920028.339999999850988,1857241.330000000074506,1866940.389999999897555,1558787.600000000325963,1848472.570000000065193,11080150.830000000074506
FS( 86 ),2021159.439999999944121,1890414.560000000288710,1839660.580000000074506,1863951.219999999739230,1534767.800000000279397,1832292.010000000009313,10982249.609999999403954
FS( 87 ),2000190.520000000018626,1859860.659999999916181,1862867.169999999925494,1833063.129999999888241,1492627.800000000279397,1822179.159999999916181,10870792.439999999478459
FS( 88 ),2025511.479999999981374,1870201.979999999748543,1892402.830000000074506,1828081.179999999934807,1536453.400000000372529,1812740.500000000000000,10965395.370000001043081
FS( 89 ),2037380.679999999934807,1891354.679999999934807,1897325.440000000176951,1896499.959999999962747,1549938.200000000186265,1829145.790000000037253,11101648.750000000000000
FS( 90 ),2022939.820000000065193,1821785.800000000046566,1858647.790000000037253,1854983.709999999962747,1526761.200000000186265,1797683.589999999850988,10882805.910000000149012
FS( 91 ),2006916.400000000139698,1810034.300000000046566,1841067.040000000037253,1857308.619999999878928,1501477.200000000419095,1774311.670000000158325,10791119.230000000447035
FS( 92 ),2033226.459999999962747,1824371.130000000121072,1867789.780000000027940,1845684.069999999832362,1525075.600000000093132,1779480.460000000195578,10875631.500000000000000
FS( 93 ),2027687.500000000000000,1825311.250000000000000,1882557.610000000102445,1861626.309999999823049,1522968.600000000325963,1786896.550000000279397,10907051.820000000298023
FS( 94 ),2036193.760000000242144,1855630.120000000111759,1893809.290000000037253,1868601.039999999804422,1540246.000000000000000,1757232.189999999944121,10951716.400000000372529
FS( 95 ),2034215.560000000055879,1880073.239999999990687,1901544.820000000065193,1875575.769999999785796,1560051.800000000279397,1703072.260000000009313,10954537.449999999254942
FS( 96 ),2030456.979999999981374,1859390.600000000093132,1895215.750000000000000,1901481.909999999916181,1557102.000000000465661,1684419.670000000158325,10928070.910000000149012
FS( 97 ),2051228.079999999841675,1867381.620000000111759,1887480.220000000204891,1918752.669999999925494,1566372.800000000279397,1702622.800000000279397,10993842.190000001341105
FS( 98 ),2045095.659999999916181,1869026.829999999841675,1881151.150000000139698,1909785.159999999916181,1561316.000000000000000,1692959.409999999916181,10959338.210000000894070
FS( 99 ),2082681.459999999962747,1870672.040000000037253,1881151.150000000139698,1910781.550000000046566,1546567.000000000465661,1721275.390000000130385,11013132.590000001713634
FS( 100 ),2071010.079999999841675,1838707.960000000195578,1846692.880000000353903,1901149.780000000027940,1531818.000000000232831,1700375.500000000000000,10889758.200000001117587
FS( 101 ),2062503.820000000065193,1828131.610000000102445,1851615.489999999990687,1882550.500000000000000,1510326.600000000325963,1702173.339999999850988,10837305.359999999403954
FS( 102 ),2083077.099999999860302,1848344.189999999944121,1862163.940000000176951,1950305.019999999785796,1527182.600000000325963,1690037.920000000158325,10961114.769999999552965
FS( 103 ),2085055.300000000046566,1864796.290000000037253,1876931.770000000251457,1944990.939999999944121,1537296.200000000186265,1686442.240000000223517,10995516.740000000223517
FS( 104 ),2078527.239999999757856,1869966.950000000186265,1860054.250000000000000,1980196.719999999739230,1536453.400000000372529,1684419.670000000158325,11009622.229999998584390
FS( 105 ),2077340.320000000065193,1887594.200000000186265,1857241.330000000074506,1933698.519999999785796,1537717.600000000325963,1686217.510000000009313,10979813.480000000447035
FS( 106 ),2067647.139999999897555,1908981.929999999934807,1840363.810000000288710,1947315.850000000093132,1544460.000000000232831,1690712.110000000102445,10999484.839999999850988
FS( 107 ),2054788.840000000083819,1904516.360000000102445,1842473.500000000000000,1896832.089999999850988,1522547.200000000419095,1691386.300000000279397,10912548.290000000968575
FS( 108 ),2069625.340000000083819,1887124.140000000130385,1854428.410000000149012,1854651.580000000074506,1520861.600000000325963,1750939.750000000000000,10937634.820000000298023
FS( 109 ),2075955.579999999841675,1917913.069999999832362,1852318.720000000204891,1821106.449999999953434,1539403.200000000186265,1728017.290000000037253,10934718.309999998658895
FS( 110 ),2078329.420000000158325,1926139.120000000111759,1849505.800000000279397,1833727.389999999897555,1547831.200000000186265,1729365.670000000158325,10964902.599999999627471
FS( 111 ),2100880.899999999906868,1937185.530000000027940,1854428.410000000149012,1836384.429999999934807,1572693.800000000279397,1747119.339999999850988,11048696.410000000149012
FS( 112 ),2119673.800000000279397,1929194.510000000009313,1860054.250000000000000,1851662.409999999916181,1571851.000000000000000,1753861.240000000223517,11086301.210000000894070
FS( 113 ),2107408.959999999962747,1901931.030000000027940,1851615.489999999990687,1872254.469999999739230,1550359.600000000093132,1734309.730000000214204,11017883.280000001192093
FS( 114 ),2076944.679999999934807,1883833.720000000204891,1829112.130000000353903,1856312.229999999981374,1536874.800000000279397,1718803.360000000102445,10901884.920000001788139
FS( 115 ),2097517.959999999962747,1889474.439999999944121,1815750.760000000242144,1855647.969999999739230,1557944.800000000279397,1722623.770000000251457,10938963.699999999254942
FS( 116 ),2084857.479999999981374,1904986.419999999925494,1831221.820000000065193,1871590.209999999962747,1569322.600000000325963,1734983.920000000158325,10996966.449999999254942
FS( 117 ),2009092.420000000158325,1905926.540000000037253,1831221.820000000065193,1859965.659999999916181,1543617.200000000419095,1722848.500000000000000,10872676.140000000596046
FS( 118 ),2035204.659999999916181,1931779.839999999850988,1842473.500000000000000,1879229.199999999953434,1563423.000000000232831,1746669.880000000121072,10998784.080000001937151
FS( 119 ),2039161.060000000055879,1935540.319999999832362,1838957.350000000093132,1876240.030000000027940,1577750.600000000093132,1760603.140000000130385,11028256.500000001862645
FS( 120 ),2057953.959999999962747,1958338.229999999748543,1848802.570000000065193,1886868.189999999944121,1597977.800000000279397,1770266.530000000027940,11120211.279999999329448
FS( 121 ),2051030.260000000242144,1968209.489999999990687,1878338.230000000214204,1882882.629999999888241,1614412.400000000372529,1777907.350000000093132,11172784.360000001266599
FS( 122 ),2035798.119999999878928,1964919.069999999832362,1890293.140000000130385,1873250.859999999869615,1607248.600000000325963,1765996.659999999916181,11137510.449999999254942
FS( 123 ),2049447.699999999953434,1975025.360000000102445,1895918.980000000214204,1916427.760000000009313,1609355.600000000093132,1783750.330000000074506,11229929.730000000447035
FS( 124 ),2022346.360000000102445,1974555.300000000046566,1921235.260000000242144,1921741.839999999850988,1620733.400000000372529,1789593.310000000055879,11250209.470000000670552
FS( 125 ),2052612.820000000065193,1980666.079999999841675,1917015.880000000353903,1924066.750000000000000,1616519.400000000139698,1785997.630000000121072,11276882.560000000521541
FS( 126 ),2067053.679999999934807,1971499.909999999916181,1945145.080000000074506,1923402.489999999757856,1592078.200000000186265,1795211.560000000055879,11294394.919999999925494
FS( 127 ),2063492.920000000158325,1979960.989999999990687,1940925.700000000186265,1924066.750000000000000,1604298.800000000279397,1809369.550000000279397,11322118.710000000894070
FS( 128 ),2115915.219999999739230,1992652.610000000102445,1945145.080000000074506,1929712.959999999962747,1598820.600000000093132,1793413.719999999972060,11375664.190000001341105
FS( 129 ),2140049.260000000242144,1988657.100000000093132,1981009.810000000288710,1921409.709999999962747,1606405.800000000046566,1796335.210000000195578,11433870.890000002458692
FS( 130 ),2151325.000000000000000,2009104.710000000195578,1962725.830000000074506,1924398.879999999888241,1615676.600000000325963,1792514.800000000279397,11455749.820000000298023
FS( 131 ),2162402.919999999925494,1991947.520000000018626,1985932.419999999925494,1942666.030000000027940,1608091.400000000139698,1793638.450000000186265,11484682.739999998360872
FS( 132 ),2150138.080000000074506,1981606.200000000186265,1964132.290000000037253,1953294.189999999944121,1583228.800000000279397,1801728.730000000214204,11434132.290000000968575
FS( 133 ),2109782.800000000279397,1946116.669999999925494,1966241.980000000214204,1936355.559999999823049,1575643.600000000325963,1785323.439999999944121,11319468.049999998882413
FS( 134 ),2112156.640000000130385,1946116.669999999925494,2100558.910000000149012,1934362.780000000027940,1572272.400000000372529,1779480.460000000195578,11444951.860000003129244
FS( 135 ),2112947.919999999925494,1957868.169999999925494,2110404.129999999888241,1928716.569999999832362,1571008.200000000186265,1752962.320000000065193,11433911.309999998658895
FS( 136 ),2110178.439999999944121,1954577.750000000000000,2106184.750000000000000,1928384.439999999944121,1582386.000000000000000,1756782.730000000214204,11438498.109999999403954
FS( 137 ),2126201.859999999869615,1964449.010000000009313,2104778.290000000037253,1940008.989999999757856,1605563.000000000232831,1780154.649999999906868,11521159.800000000745058
FS( 138 ),2121652.000000000000000,1968914.579999999841675,2116029.969999999739230,1936355.559999999823049,1593763.800000000279397,1809369.550000000279397,11546089.460000000894070
FS( 139 ),2163787.659999999683350,1946586.729999999748543,2123765.500000000000000,1956947.619999999878928,1582386.000000000000000,1829595.250000000000000,11603072.759999999776483
FS( 140 ),2151918.459999999962747,1945176.550000000046566,2125875.190000000409782,1942998.159999999916181,1589971.200000000186265,1831393.089999999850988,11587336.650000000372529
FS( 141 ),2132729.919999999925494,1943296.310000000288710,2144862.400000000372529,1923734.619999999878928,1579857.600000000325963,1837011.339999999850988,11561496.190000001341105
FS( 142 ),2145192.580000000074506,1971969.970000000204891,2171585.139999999664724,1954954.839999999850988,1611462.600000000325963,1850495.140000000130385,11705664.269999999552965
FS( 143 ),2146775.140000000130385,1984896.620000000111759,2164552.839999999850988,1943994.550000000046566,1619469.200000000186265,1849371.490000000223517,11709063.839999999850988
FS( 144 ),2151918.459999999962747,2004874.169999999925494,2175101.290000000037253,1910781.550000000046566,1636746.600000000325963,1842854.320000000065193,11722280.390000000596046
FS( 145 ),2149742.439999999944121,2015215.489999999990687,2172991.599999999627471,1921409.709999999962747,1634218.200000000186265,1837236.070000000065193,11730817.509999999776483
FS( 146 ),2159633.439999999944121,2032372.679999999934807,2178617.440000000409782,1943330.289999999804422,1643489.000000000232831,1840382.290000000037253,11797829.140000000596046
FS( 147 ),2167348.419999999925494,2031667.589999999850988,2178617.440000000409782,1961265.309999999823049,1639275.000000000232831,1853866.089999999850988,11832043.849999999627471
FS( 148 ),2197417.060000000055879,2041068.790000000037253,2189869.120000000111759,1966247.260000000009313,1653181.200000000186265,1873192.869999999878928,11920980.299999998882413
FS( 149 ),2179217.620000000111759,2035193.040000000037253,2182133.589999999850988,1943662.419999999925494,1657395.200000000186265,1847798.380000000121072,11845404.250000001862645
FS( 150 ),2165370.219999999739230,2018035.850000000093132,2165256.070000000298023,1932037.869999999878928,1636746.600000000325963,1841281.210000000195578,11758731.820000002160668
FS( 151 ),2178821.979999999981374,2049999.929999999934807,2172288.370000000111759,1944658.809999999823049,1658238.000000000232831,1859484.339999999850988,11863495.429999999701977
FS( 152 ),2163392.020000000018626,2041538.850000000093132,2198307.879999999888241,1945655.199999999953434,1632954.000000000232831,1844652.159999999916181,11826504.110000001266599
FS( 153 ),2175261.219999999739230,2042243.939999999944121,2197604.650000000372529,1941005.379999999888241,1628740.000000000232831,1862405.830000000074506,11847265.020000001415610
FS( 154 ),2177832.879999999888241,2039188.550000000046566,2214482.169999999925494,1932370.000000000000000,1642646.200000000186265,1893868.030000000027940,11900391.830000000074506
FS( 155 ),2173085.199999999720603,2024851.720000000204891,2229953.230000000447035,1923402.489999999757856,1644331.800000000279397,1885553.020000000251457,11881181.460000000894070
FS( 156 ),2203747.300000000279397,2006049.319999999832362,2436702.849999999627471,1931373.609999999869615,1620733.400000000372529,1882406.800000000279397,12081017.280000001192093
FS( 157 ),2157655.239999999757856,1998528.360000000102445,2369896.000000000000000,1913106.459999999962747,1612726.800000000279397,1912745.350000000093132,11964662.209999999031425
FS( 158 ),2179415.439999999944121,2016860.700000000186265,2369896.000000000000000,1937684.080000000074506,1633375.400000000139698,1921959.280000000027940,12059194.900000000372529
FS( 159 ),2180602.359999999869615,2015215.489999999990687,2395212.280000000260770,1926391.659999999916181,1618626.400000000139698,1911621.700000000186265,12047673.890000000596046
FS( 160 ),2177239.419999999925494,2026261.899999999906868,2446548.070000000298023,1940673.250000000000000,1623261.800000000279397,1933869.969999999972060,12147858.410000002011657
FS( 161 ),2144005.659999999683350,2022266.390000000130385,2426154.400000000372529,1930045.089999999850988,1630425.600000000093132,1931397.939999999944121,12084299.079999998211861
FS( 162 ),2077933.780000000027940,2040128.669999999925494,2408573.650000000372529,1933366.389999999897555,1656131.000000000000000,1925554.960000000195578,12041692.450000001117587
FS( 163 ),2074175.199999999953434,2026731.960000000195578,2408573.650000000372529,1931373.609999999869615,1637589.400000000139698,1903081.960000000195578,11981529.780000001192093
FS( 164 ),2060327.800000000046566,2048354.720000000204891,2407167.189999999478459,1925395.269999999785796,1651917.000000000465661,1927128.070000000065193,12020294.050000000745058
FS( 165 ),2071010.079999999841675,2026026.870000000111759,2404354.269999999552965,1945655.199999999953434,1645596.000000000000000,1893868.030000000027940,11986514.449999999254942
FS( 166 ),2045095.659999999916181,2049764.899999999906868,2415605.950000000186265,1929048.699999999953434,1677622.400000000372529,1864203.670000000158325,11981345.279999999329448
FS( 167 ),1993069.000000000000000,2018505.909999999916181,2383257.370000000111759,1884543.280000000027940,1625368.800000000279397,1821504.969999999972060,11726253.330000001937151
FS( 168 ),1988519.139999999897555,2006754.409999999916181,2372708.919999999925494,1886536.059999999823049,1617783.600000000325963,1831393.089999999850988,11703699.219999998807907
FS( 169 ),2014037.920000000158325,2050469.989999999990687,2394509.049999999813735,1895171.439999999944121,1625790.200000000186265,1848922.030000000027940,11828904.630000000819564
FS( 170 ),2007905.500000000000000,2038953.520000000018626,2308011.759999999776483,1860962.050000000046566,1620733.400000000372529,1820156.589999999850988,11656726.820000000298023
