代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13989957.419999998062849
真實報酬,3989957.419999998062849

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15532.162425669850563
風險,156727.804210316477111
起點值,0.099102788454989
找到最佳解世代,1717
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AAPL[0](11),CAT[3](4),DIS[6](1),DD[7](2),MRK[17](5),MSFT[18](3),
FS( 171 ),2020523.140000000363216,2113265.889999999664724,2196220.080000000074506,2204286.399999999441206,1971330.889999999897555,2060849.660000000149012,12566480.060000000521541
FS( 172 ),2005719.400000000139698,2119729.570000000298023,2232052.509999999776483,2190533.320000000298023,1935674.859999999869615,2072351.040000000037253,12556064.699999999254942
FS( 173 ),1997362.450000000186265,2122153.450000000186265,2241626.060000000055879,2193346.450000000186265,1949090.000000000000000,2067123.139999999897555,12570705.550000000745058
FS( 174 ),2022194.530000000027940,2145180.310000000521541,2254481.970000000204891,2231167.419999999925494,1951914.239999999757856,2089603.109999999869615,12694545.580000000074506
FS( 175 ),2025298.540000000037253,2164369.360000000335276,2245181.949999999720603,2228041.719999999739230,1968153.619999999878928,2113128.660000000149012,12744177.849999999627471
FS( 176 ),2025776.080000000307336,2151845.980000000447035,2213452.470000000204891,2234605.689999999478459,1990041.479999999748543,2103718.439999999944121,12719444.140000000596046
FS( 177 ),2008584.640000000363216,2120739.519999999552965,2192390.660000000149012,2163964.870000000111759,1973096.039999999804422,2070259.880000000121072,12529039.610000001266599
FS( 178 ),2038192.120000000111759,2141746.480000000447035,2198955.379999999888241,2180218.509999999776483,1972389.979999999748543,2082284.049999999813735,12613790.519999999552965
FS( 179 ),2062307.890000000363216,2128819.120000000111759,2217008.359999999869615,2196159.580000000074506,1989335.419999999925494,2078101.729999999981374,12671736.100000001490116
FS( 180 ),2062785.430000000167638,2051456.949999999953434,2218102.479999999981374,2213976.070000000298023,1976979.369999999878928,2074442.199999999953434,12597746.499999998137355
FS( 181 ),2068277.140000000363216,2078119.629999999888241,2248190.779999999795109,2223040.600000000558794,1997455.109999999869615,2109469.129999999888241,12724556.390000000596046
FS( 182 ),2071381.150000000139698,2082159.429999999934807,2252567.259999999776483,2215851.490000000223517,1994277.839999999850988,2096399.380000000121072,12712640.550000000745058
FS( 183 ),2094780.610000000335276,2101348.480000000447035,2279099.669999999925494,2255860.450000000186265,2005574.800000000046566,2097444.959999999962747,12834112.970000002533197
FS( 184 ),2134177.660000000149012,2094278.830000000074506,2290587.929999999701977,2267112.969999999739230,2001338.439999999711290,2101104.489999999757856,12888604.320000000298023
FS( 185 ),2128447.179999999701977,2078725.599999999860302,2286758.509999999776483,2304621.370000000111759,1991100.569999999832362,2091694.269999999785796,12881351.500000000000000
FS( 186 ),2167366.690000000409782,2092662.909999999916181,2298520.299999999813735,2335565.799999999813735,2036994.469999999972060,2108946.340000000316650,13040060.509999999776483
FS( 187 ),2159248.510000000707805,2064990.280000000027940,2297973.240000000223517,2319937.299999999813735,2042642.949999999953434,2140313.739999999757856,13025110.020000001415610
FS( 188 ),2144444.770000000484288,2095894.750000000000000,2305085.020000000018626,2337441.219999999739230,2045114.159999999916181,2132471.890000000130385,13060455.810000002384186
FS( 189 ),2174768.560000000521541,2110640.019999999552965,2294417.349999999627471,2341817.200000000186265,2044408.099999999860302,2106332.390000000130385,13072387.619999999180436
FS( 190 ),2199600.640000000596046,2107004.200000000186265,2304264.429999999701977,2336190.939999999478459,2045114.159999999916181,2107900.759999999776483,13100079.130000000819564
FS( 191 ),2208196.360000000335276,2160531.549999999813735,2319035.049999999813735,2342442.339999999850988,2051115.669999999925494,2154429.069999999832362,13235754.040000000968575
FS( 192 ),2201988.339999999850988,2185174.330000000074506,2314385.040000000037253,2364947.379999999888241,2042289.919999999925494,2168544.399999999906868,13277333.410000000149012
FS( 193 ),2237326.299999999813735,2196687.759999999776483,2338182.149999999906868,2358695.979999999515712,2045467.189999999711290,2157565.810000000055879,13333929.189999997615814
FS( 194 ),2250458.650000000372529,2207999.200000000186265,2318214.459999999962747,2365885.089999999850988,2064883.839999999850988,2149201.169999999925494,13356646.410000000149012
FS( 195 ),2241146.620000000111759,2195475.820000000298023,2306179.140000000130385,2353069.719999999739230,2076180.800000000046566,2136131.419999999925494,13308187.520000001415610
FS( 196 ),2203659.730000000447035,2154269.860000000335276,2264876.109999999869615,2314623.610000000335276,2058176.269999999785796,2121493.299999999813735,13117102.880000002682209
FS( 197 ),2179543.959999999962747,2156693.740000000223517,2264876.109999999869615,2332440.100000000558794,2056058.089999999850988,2155474.649999999906868,13145090.650000000372529
FS( 198 ),2201510.799999999813735,2157501.700000000186265,2278552.609999999869615,2328064.120000000111759,2050056.579999999841675,2169589.979999999981374,13185279.790000000968575
FS( 199 ),2198645.560000000521541,2154673.839999999850988,2274723.189999999944121,2314623.610000000335276,2049703.550000000046566,2179000.200000000186265,13171373.949999999254942
FS( 200 ),2201033.260000000707805,2171035.030000000260770,2286211.449999999720603,2337753.790000000037253,2062059.599999999860302,2177431.830000000074506,13235528.960000000894070
FS( 201 ),2193392.620000000111759,2166389.259999999776483,2291408.520000000018626,2317749.310000000521541,2058176.269999999785796,2170112.770000000018626,13197232.750000000000000
FS( 202 ),2170709.469999999739230,2209413.129999999888241,2265423.169999999925494,2335565.799999999813735,2080064.129999999888241,2179000.200000000186265,13240179.899999998509884
FS( 203 ),2168799.310000000521541,2197293.730000000447035,2263781.990000000223517,2354320.000000000000000,2065236.869999999878928,2195206.689999999944121,13244642.589999999850988
FS( 204 ),2155666.959999999962747,2177700.700000000186265,2261593.750000000000000,2329001.830000000074506,2044761.129999999888241,2182659.729999999981374,13151388.100000001490116
FS( 205 ),2157577.120000000111759,2190426.070000000298023,2294964.410000000149012,2341817.200000000186265,2077945.949999999953434,2197297.850000000093132,13260032.599999999627471
FS( 206 ),2170470.700000000186265,2192041.990000000223517,2310008.560000000055879,2319937.299999999813735,2066295.959999999962747,2181091.359999999869615,13239849.870000001043081
FS( 207 ),2196257.860000000335276,2197293.730000000447035,2333258.609999999869615,2297432.259999999776483,2030992.959999999962747,2208799.229999999981374,13264038.650000002235174
FS( 208 ),2218941.010000000707805,2195071.839999999850988,2345293.929999999701977,2290555.719999999739230,2042289.919999999925494,2180045.780000000260770,13272202.199999999254942
FS( 209 ),2233028.440000000409782,2205171.339999999850988,2365261.620000000111759,2294306.560000000521541,2065589.899999999906868,2188933.209999999962747,13352295.070000000298023
FS( 210 ),2232073.360000000335276,2213048.950000000186265,2364441.029999999795109,2293368.850000000558794,2084653.519999999785796,2190501.580000000074506,13378091.290000000968575
FS( 211 ),2245205.709999999962747,2243751.429999999701977,2375382.229999999981374,2316811.600000000558794,2089948.969999999972060,2185273.679999999701977,13456377.619999999180436
FS( 212 ),2291527.089999999850988,2225168.349999999627471,2368543.979999999981374,2280553.479999999515712,2065942.929999999934807,2195206.689999999944121,13426946.519999997690320
FS( 213 ),2276723.349999999627471,2211029.049999999813735,2348576.290000000037253,2269613.530000000260770,2053586.879999999888241,2184228.100000000093132,13343761.199999997392297
FS( 214 ),2277678.429999999701977,2224764.370000000111759,2385776.370000000111759,2278990.629999999888241,2067002.019999999785796,2178477.410000000149012,13412693.230000000447035
FS( 215 ),2269321.480000000447035,2209009.150000000372529,2375929.290000000037253,2275552.360000000335276,2068061.109999999869615,2179522.989999999757856,13377400.380000000819564
FS( 216 ),2273619.339999999850988,2221128.549999999813735,2376749.879999999888241,2296807.120000000111759,2063118.689999999711290,2200434.590000000316650,13431862.169999999925494
FS( 217 ),2302988.049999999813735,2223754.419999999925494,2373193.990000000223517,2292431.139999999664724,2053939.909999999916181,2203048.540000000037253,13449360.050000000745058
FS( 218 ),2276007.040000000037253,2218906.660000000149012,2356508.660000000149012,2294306.560000000521541,2044408.099999999860302,2219255.030000000260770,13409396.050000000745058
FS( 219 ),2263113.459999999962747,2250215.110000000335276,2334626.259999999776483,2317749.310000000521541,2052880.819999999832362,2304469.799999999813735,13523058.760000001639128
FS( 220 ),2222761.330000000074506,2203151.439999999478459,2325873.299999999813735,2298995.110000000335276,2033464.169999999925494,2327995.350000000093132,13412244.699999999254942
FS( 221 ),2254756.510000000707805,2225370.339999999850988,2347208.640000000130385,2300870.530000000260770,2059588.389999999897555,2336359.989999999757856,13524158.400000000372529
FS( 222 ),2243056.780000000260770,2226582.280000000260770,2345293.929999999701977,2308372.209999999962747,2047585.369999999878928,2344201.840000000316650,13515096.409999998286366
FS( 223 ),2261680.839999999850988,2223148.450000000186265,2358149.839999999850988,2328064.120000000111759,2062765.659999999916181,2343679.049999999813735,13577491.960000000894070
FS( 224 ),2320657.030000000260770,2189214.129999999888241,2353499.830000000074506,2398704.939999999478459,2051468.699999999953434,2345770.209999999962747,13659318.839999999850988
FS( 225 ),2316836.709999999962747,2121749.469999999739230,2374288.109999999869615,2396516.950000000186265,2054999.000000000000000,2321199.080000000074506,13585593.319999998435378
FS( 226 ),2332117.990000000223517,2117911.660000000149012,2358696.899999999906868,2390890.689999999478459,2052880.819999999832362,2326426.979999999981374,13578929.040000000968575
FS( 227 ),2364351.940000000409782,2103772.360000000335276,2383861.660000000149012,2390265.549999999813735,2046526.279999999795109,2298719.109999999869615,13587500.900000000372529
FS( 228 ),2349070.660000000149012,2114679.820000000298023,2357876.310000000055879,2379325.600000000558794,2068061.109999999869615,2294536.790000000037253,13563554.289999999105930
FS( 229 ),2343578.950000000186265,2088219.129999999888241,2385502.839999999850988,2336190.939999999478459,2050409.609999999869615,2278330.299999999813735,13482235.769999999552965
FS( 230 ),2282692.599999999627471,2035095.760000000009313,2349123.349999999627471,2273364.370000000111759,2003103.589999999850988,2256373.119999999646097,13199756.789999997243285
FS( 231 ),2295347.410000000149012,2030449.989999999990687,2335446.849999999627471,2268988.389999999664724,2005221.769999999785796,2240689.419999999925494,13176147.830000000074506
FS( 232 ),2282453.830000000074506,2056506.699999999953434,2386323.429999999701977,2300557.959999999962747,2014400.550000000046566,2267351.709999999962747,13307598.179999999701977
FS( 233 ),2271231.640000000596046,2050245.010000000009313,2372920.459999999962747,2274614.649999999441206,1978038.459999999962747,2252190.799999999813735,13199245.019999999552965
FS( 234 ),2267411.320000000298023,2050043.020000000018626,2368543.979999999981374,2292118.570000000298023,1974508.159999999916181,2234415.939999999944121,13187044.990000000223517
FS( 235 ),2255950.360000000335276,2059132.570000000065193,2339002.740000000223517,2284304.320000000298023,1964270.289999999804422,2260032.649999999906868,13162696.930000001564622
FS( 236 ),2262158.379999999888241,2086199.229999999981374,2375655.759999999776483,2327126.410000000149012,1996396.019999999785796,2258464.280000000260770,13306004.079999998211861
FS( 237 ),2292004.629999999888241,2110842.009999999776483,2393435.209999999962747,2305871.649999999441206,2000279.349999999860302,2258464.280000000260770,13360901.129999998956919
FS( 238 ),2291527.089999999850988,2107408.179999999701977,2385502.839999999850988,2305871.649999999441206,2013341.459999999962747,2275193.560000000055879,13378848.779999999329448
FS( 239 ),2321850.879999999888241,2124173.349999999627471,2396170.509999999776483,2336816.080000000074506,2042289.919999999925494,2304469.799999999813735,13525774.539999999105930
FS( 240 ),2328058.900000000372529,2134272.849999999627471,2423797.040000000037253,2320562.439999999478459,2075121.709999999962747,2314402.810000000055879,13596219.750000001862645
FS( 241 ),2339519.860000000335276,2135888.769999999552965,2442123.549999999813735,2315561.320000000298023,2069120.199999999953434,2341587.890000000130385,13643805.589999999850988
FS( 242 ),2367694.719999999739230,2160935.530000000260770,2460997.120000000111759,2354007.429999999701977,2062412.629999999888241,2358317.169999999925494,13764368.599999999627471
FS( 243 ),2400406.209999999962747,2167399.209999999962747,2464279.479999999981374,2362759.389999999664724,2079711.099999999860302,2369818.549999999813735,13844377.939999997615814
FS( 244 ),2401361.290000000037253,2175478.810000000521541,2457441.229999999981374,2372449.060000000521541,2099833.809999999590218,2349952.530000000260770,13856520.730000000447035
FS( 245 ),2401600.060000000521541,2180932.540000000037253,2472211.849999999627471,2362446.820000000298023,2077592.919999999925494,2364067.859999999869615,13858856.049999998882413
FS( 246 ),2419269.040000000037253,2167601.200000000186265,2475220.679999999701977,2364009.669999999925494,2088889.879999999888241,2360408.330000000074506,13875402.799999998882413
FS( 247 ),2424521.980000000447035,2180932.540000000037253,2472211.849999999627471,2364947.379999999888241,2108659.559999999590218,2361453.910000000149012,13912731.219999998807907
FS( 248 ),2409001.929999999701977,2182750.450000000186265,2462364.770000000018626,2363697.100000000558794,2125251.969999999739230,2353089.270000000018626,13896159.489999998360872
FS( 249 ),2438609.410000000149012,2192647.959999999962747,2471938.320000000298023,2387764.990000000223517,2128076.209999999962747,2345770.209999999962747,13964811.100000001490116
FS( 250 ),2441474.650000000372529,2194667.860000000335276,2468108.899999999906868,2387764.990000000223517,2118191.370000000111759,2346293.000000000000000,13956504.769999999552965
FS( 251 ),2447443.900000000372529,2203151.439999999478459,2458535.349999999627471,2383701.580000000074506,2122074.700000000186265,2375046.450000000186265,13989957.419999998062849
