代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14835231.189999999478459
真實報酬,4835231.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20537.604966797578527
風險,242963.255598687508609
起點值,0.084529674728760
找到最佳解世代,1951
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),DIS[6](1),KO[14](7),VZ[26](9),WMT[28](5),
FS( 14 ),2110632.959999999962747,2333790.600000000093132,2051971.550000000046566,2041826.599999999860302,2169745.309999999590218,10707967.019999999552965
FS( 15 ),2097551.360000000335276,2424824.399999999906868,2084988.770000000018626,2059437.800000000046566,2190915.360000000335276,10857717.690000001341105
FS( 16 ),2166696.959999999962747,2439307.049999999813735,2075205.889999999897555,2032470.649999999906868,2185526.620000000111759,10899207.169999998062849
FS( 17 ),2123714.559999999590218,2379997.149999999906868,2047080.109999999869615,1991744.749999999767169,2182832.250000000000000,10725368.819999998435378
FS( 18 ),2139038.719999999739230,2417238.250000000000000,2062977.290000000037253,2025866.449999999953434,2208236.309999999590218,10853357.019999999552965
FS( 19 ),2160716.799999999813735,2493099.750000000000000,2095994.510000000009313,2072646.199999999720603,2225172.349999999627471,11047629.609999999403954
FS( 20 ),2162211.839999999850988,2497237.649999999906868,2107611.679999999701977,2070995.149999999906868,2199768.290000000037253,11037824.609999999403954
FS( 21 ),2161464.320000000298023,2405514.200000000186265,2088657.349999999860302,2035222.399999999674037,2183217.160000000149012,10874075.429999999701977
FS( 22 ),2116986.879999999888241,2317239.000000000000000,2049525.830000000074506,2007154.549999999813735,2164356.569999999366701,10655262.829999998211861
FS( 23 ),2121845.759999999776483,2349652.549999999813735,2072148.739999999990687,2025316.099999999627471,2188605.899999999441206,10757569.049999997019768
FS( 24 ),2152120.320000000298023,2415858.950000000186265,2099051.660000000149012,2061088.850000000093132,2210160.860000000335276,10938280.640000000596046
FS( 25 ),2137169.919999999925494,2397238.399999999906868,2072148.739999999990687,2045679.050000000046566,2213240.139999999664724,10865476.250000000000000
FS( 26 ),2134179.839999999850988,2424134.750000000000000,2084988.770000000018626,2055035.000000000000000,2230176.179999999701977,10928514.539999999105930
FS( 27 ),2168939.520000000484288,2433789.850000000093132,2099051.660000000149012,2064941.300000000046566,2283293.759999999776483,11050016.090000001713634
FS( 28 ),2110632.959999999962747,2330342.350000000093132,2049525.830000000074506,2030269.250000000000000,2234410.189999999478459,10755180.580000000074506
FS( 29 ),2056811.520000000018626,2388962.600000000093132,2060531.570000000065193,2054484.649999999674037,2237489.469999999739230,10798279.809999998658895
FS( 30 ),2053821.440000000176951,2531030.500000000000000,2082543.050000000046566,2064941.300000000046566,2278674.839999999850988,11011011.130000000819564
FS( 31 ),2025041.919999999925494,2491030.799999999813735,2072760.169999999925494,2036323.099999999860302,2266742.629999999888241,10891898.620000001043081
FS( 32 ),2076247.039999999804422,2513789.250000000000000,2078874.469999999972060,2049531.500000000000000,2211700.500000000000000,10930142.759999999776483
FS( 33 ),2054568.959999999962747,2450341.450000000186265,2048914.399999999906868,2017060.849999999860302,2181677.519999999552965,10752563.179999999701977
FS( 34 ),2015324.160000000149012,2424134.750000000000000,2036685.800000000046566,2019812.600000000093132,2183602.069999999366701,10679559.379999998956919
FS( 35 ),2001868.800000000046566,2457237.950000000186265,2060531.570000000065193,2006604.199999999953434,2202847.569999999366701,10729090.089999999850988
FS( 36 ),1970472.959999999962747,2367583.449999999720603,2016508.609999999869615,1985140.549999999813735,2180907.700000000186265,10520613.269999999552965
FS( 37 ),2010465.280000000027940,2346204.300000000279397,2017120.040000000037253,1991744.749999999767169,2188220.990000000223517,10553755.359999999403954
FS( 38 ),1959633.919999999925494,2303446.000000000000000,1983491.389999999897555,1945515.349999999860302,2180137.879999999888241,10372224.539999999105930
FS( 39 ),1941319.679999999934807,2311032.149999999906868,1979211.379999999888241,1945515.349999999860302,2189760.629999999888241,10366839.189999999478459
FS( 40 ),2008222.719999999972060,2349652.549999999813735,1992662.840000000083819,1995046.849999999860302,2203617.389999999664724,10549202.349999997764826
FS( 41 ),1992524.800000000046566,2344825.000000000000000,2023845.770000000018626,2015960.149999999906868,2239029.110000000335276,10616184.830000001937151
FS( 42 ),2040739.840000000083819,2472410.250000000000000,2055640.129999999888241,2076498.649999999674037,2267127.540000000037253,10912416.410000000149012
FS( 43 ),2071388.160000000149012,2482065.350000000093132,2043411.530000000027940,2078700.050000000046566,2255965.149999999441206,10931530.239999998360872
FS( 44 ),2080732.160000000149012,2524823.649999999906868,2029348.639999999897555,2083102.849999999860302,2235949.830000000074506,10953957.130000000819564
FS( 45 ),2098298.879999999888241,2547582.099999999627471,2027514.349999999860302,2094109.849999999627471,2245572.580000000074506,11013077.759999999776483
FS( 46 ),2087459.840000000083819,2539995.949999999720603,2038520.090000000083819,2108969.299999999813735,2262508.620000000111759,11037453.800000000745058
FS( 47 ),2077368.319999999832362,2558616.500000000000000,2041577.239999999990687,2108418.950000000186265,2252116.049999999813735,11038097.060000002384186
FS( 48 ),2085964.800000000046566,2477237.800000000279397,2040354.379999999888241,2080901.449999999953434,2231715.819999999366701,10916174.250000000000000
FS( 49 ),2101662.719999999739230,2521375.400000000372529,2065423.010000000009313,2115023.149999999441206,2244802.759999999776483,11048287.039999999105930
FS( 50 ),2092318.719999999972060,2527582.250000000000000,2045245.820000000065193,2110620.349999999627471,2235949.830000000074506,11011716.970000000670552
FS( 51 ),2075873.280000000027940,2505513.449999999720603,2032405.790000000037253,2105667.200000000186265,2217089.240000000223517,10936548.959999999031425
FS( 52 ),2029900.800000000046566,2424824.399999999906868,2025680.060000000055879,2105667.200000000186265,2219013.790000000037253,10805086.250000000000000
FS( 53 ),2023173.120000000111759,2426893.349999999627471,2045245.820000000065193,2114472.799999999813735,2230561.089999999850988,10840346.179999999701977
FS( 54 ),2034385.919999999925494,2435858.799999999813735,2061754.429999999934807,2134285.400000000372529,2242878.209999999962747,10909162.760000001639128
FS( 55 ),2040739.840000000083819,2396548.750000000000000,2059920.139999999897555,2126030.150000000372529,2224017.620000000111759,10847256.500000000000000
FS( 56 ),2113996.799999999813735,2494479.050000000279397,2091103.070000000065193,2157950.450000000186265,2278289.929999999701977,11135819.300000000745058
FS( 57 ),2116986.879999999888241,2501375.550000000279397,2126566.009999999776483,2159051.149999999441206,2285988.129999999888241,11189967.719999998807907
FS( 58 ),2128199.679999999701977,2548271.750000000000000,2115560.270000000484288,2162353.250000000000000,2278289.929999999701977,11232674.879999998956919
FS( 59 ),2153615.360000000335276,2599995.500000000000000,2138183.179999999701977,2200327.399999999441206,2309082.729999999515712,11401204.169999998062849
FS( 60 ),2170808.320000000298023,2593788.649999999906868,2136348.889999999664724,2200877.750000000000000,2302924.169999999925494,11404747.779999999329448
FS( 61 ),2149877.759999999776483,2568271.600000000093132,2125343.149999999441206,2188219.700000000186265,2299075.069999999366701,11330787.279999997466803
FS( 62 ),2162959.360000000335276,2600685.149999999906868,2144908.910000000149012,2204179.849999999627471,2309082.729999999515712,11421816.000000000000000
FS( 63 ),2162585.599999999627471,2586202.500000000000000,2139406.040000000037253,2208032.299999999813735,2300229.799999999813735,11396456.239999998360872
FS( 64 ),2195850.240000000223517,2642064.150000000372529,2144297.480000000447035,2186568.649999999441206,2322169.669999999925494,11490950.189999999478459
FS( 65 ),2207436.799999999813735,2679305.250000000000000,2130846.020000000484288,2157950.450000000186265,2298305.250000000000000,11473843.769999999552965
FS( 66 ),2232104.959999999962747,2724132.500000000000000,2121063.139999999664724,2143091.000000000000000,2287142.860000000335276,11507534.460000000894070
FS( 67 ),2255278.080000000074506,2752408.149999999906868,2107611.679999999701977,2109519.649999999441206,2270976.639999999664724,11495794.199999999254942
FS( 68 ),2251914.240000000223517,2741373.750000000000000,2107611.679999999701977,2111721.049999999813735,2277905.019999999552965,11490525.739999998360872
FS( 69 ),2259763.200000000186265,2733097.950000000186265,2119840.280000000260770,2122728.049999999813735,2272516.280000000260770,11507945.760000001639128
FS( 70 ),2256025.599999999627471,2668960.500000000000000,2080708.760000000009313,2140889.599999999627471,2286373.040000000037253,11432957.500000000000000
FS( 71 ),2250045.440000000409782,2671029.449999999720603,2065423.010000000009313,2141990.299999999813735,2290222.139999999664724,11418710.339999999850988
FS( 72 ),2241448.959999999962747,2648271.000000000000000,2047691.540000000037253,2141990.299999999813735,2291761.780000000260770,11371163.580000001937151
FS( 73 ),2267612.160000000149012,2653788.199999999720603,2058697.280000000027940,2147493.799999999813735,2303693.990000000223517,11431285.429999999701977
FS( 74 ),2291159.040000000037253,2691029.300000000279397,2066645.869999999878928,2146943.450000000186265,2309852.549999999813735,11505630.210000000894070
FS( 75 ),2284057.599999999627471,2719994.599999999627471,2062365.859999999869615,2146393.099999999627471,2332947.149999999441206,11545758.309999998658895
FS( 76 ),2244065.280000000260770,2711029.150000000372529,2081931.619999999878928,2144742.049999999813735,2348343.549999999813735,11530111.650000002235174
FS( 77 ),2282188.799999999813735,2706891.250000000000000,2095383.080000000074506,2113372.099999999627471,2344494.450000000186265,11542329.679999999701977
FS( 78 ),2244812.799999999813735,2706891.250000000000000,2075817.320000000065193,2079800.749999999767169,2362970.129999999888241,11470292.250000000000000
FS( 79 ),2384972.799999999813735,2728270.400000000372529,2092325.929999999934807,2074297.249999999767169,2366049.410000000149012,11645915.789999999105930
FS( 80 ),2374133.759999999776483,2713787.750000000000000,2079485.899999999906868,2055035.000000000000000,2346803.910000000149012,11569246.320000000298023
FS( 81 ),2388336.639999999664724,2706891.250000000000000,2061754.429999999934807,2047880.449999999953434,2336796.250000000000000,11541659.019999999552965
FS( 82 ),2418984.959999999962747,2688960.350000000093132,2062365.859999999869615,2069894.449999999720603,2359505.939999999478459,11599711.559999998658895
FS( 83 ),2437299.200000000186265,2682753.500000000000000,2064811.580000000074506,2072646.199999999720603,2361815.399999999441206,11619325.879999998956919
FS( 84 ),2435804.160000000149012,2712408.449999999720603,2073983.030000000027940,2080351.099999999627471,2393378.019999999552965,11695924.759999997913837
FS( 85 ),2430197.759999999776483,2683443.149999999906868,2073983.030000000027940,2067142.699999999953434,2384140.179999999701977,11638906.820000000298023
FS( 86 ),2454492.160000000149012,2758615.000000000000000,2081320.189999999944121,2082552.500000000000000,2387604.370000000111759,11764584.219999998807907
FS( 87 ),2477291.520000000484288,2790338.899999999906868,2080097.330000000074506,2099063.000000000000000,2381830.719999999739230,11828621.469999998807907
FS( 88 ),2503454.719999999739230,2826200.699999999720603,2095994.510000000009313,2086955.300000000046566,2374517.429999999701977,11887122.660000000149012
FS( 89 ),2545315.839999999850988,2846200.550000000279397,2089268.780000000027940,2086955.300000000046566,2371823.059999999590218,11939563.530000001192093
FS( 90 ),2633149.440000000409782,2864131.450000000186265,2078263.040000000037253,2086955.300000000046566,2384910.000000000000000,12047409.230000000447035
FS( 91 ),2634644.479999999515712,2858614.250000000000000,2077040.179999999934807,2074297.249999999767169,2382600.540000000037253,12027196.699999999254942
FS( 92 ),2683607.040000000037253,2882062.350000000093132,2092325.929999999934807,2098512.650000000372529,2378366.530000000260770,12134874.500000000000000
FS( 93 ),2720235.520000000484288,2868959.000000000000000,2106388.820000000298023,2093559.499999999767169,2394917.660000000149012,12184060.500000000000000
FS( 94 ),2657443.839999999850988,2844821.250000000000000,2091103.070000000065193,2082002.149999999674037,2377211.799999999813735,12052582.109999999403954
FS( 95 ),2681364.479999999515712,2864821.100000000093132,2105165.959999999962747,2094109.849999999627471,2387989.280000000260770,12133450.670000001788139
FS( 96 ),2680990.719999999739230,2879303.750000000000000,2111280.259999999776483,2116674.200000000186265,2404925.319999999366701,12193174.250000000000000
FS( 97 ),2749015.040000000037253,2866890.049999999813735,2103943.099999999627471,2118325.250000000000000,2312162.009999999776483,12150335.449999999254942
FS( 98 ),2739297.280000000260770,2846200.550000000279397,2117394.560000000521541,2102915.450000000186265,2255580.240000000223517,12061388.080000000074506
FS( 99 ),2757237.759999999776483,2860683.199999999720603,2114948.839999999850988,2098512.650000000372529,2253270.780000000260770,12084653.230000000447035
FS( 100 ),2789381.120000000111759,2848959.150000000372529,2109445.969999999739230,2099063.000000000000000,2262893.530000000260770,12109742.769999999552965
FS( 101 ),2807321.599999999627471,2871717.600000000093132,2104554.530000000260770,2098512.650000000372529,2250191.500000000000000,12132297.879999998956919
FS( 102 ),2858900.479999999515712,2891717.450000000186265,2104554.530000000260770,2099613.349999999627471,2268282.269999999552965,12223068.079999998211861
FS( 103 ),2896276.479999999515712,2895855.350000000093132,2135737.459999999962747,2097411.950000000186265,2274055.919999999925494,12299337.160000000149012
FS( 104 ),2907115.520000000484288,2923441.350000000093132,2127788.870000000111759,2115023.149999999441206,2264048.259999999776483,12337417.150000000372529
FS( 105 ),2910853.120000000111759,2921372.399999999906868,2114948.839999999850988,2128231.549999999813735,2271361.549999999813735,12346767.460000000894070
FS( 106 ),2846940.160000000149012,2944820.500000000000000,2116783.129999999888241,2146393.099999999627471,2286373.040000000037253,12341309.929999999701977
FS( 107 ),2831242.240000000223517,2896545.000000000000000,2102108.810000000521541,2129332.250000000000000,2269821.910000000149012,12229050.210000000894070
FS( 108 ),2833484.799999999813735,2879303.750000000000000,2103331.669999999925494,2139238.549999999813735,2304078.899999999441206,12259437.669999998062849
FS( 109 ),2894033.919999999925494,2897924.300000000279397,2118005.990000000223517,2158500.799999999813735,2300614.709999999962747,12369079.720000002533197
FS( 110 ),2910853.120000000111759,2913096.600000000093132,2125343.149999999441206,2151896.599999999627471,2312546.919999999925494,12413736.389999998733401
FS( 111 ),2947481.599999999627471,2919993.100000000093132,2144908.910000000149012,2164004.299999999813735,2335641.519999999552965,12512029.429999999701977
FS( 112 ),3033446.399999999441206,3035164.649999999906868,2147966.060000000521541,2172809.899999999441206,2347958.639999999664724,12737345.649999998509884
FS( 113 ),3148190.719999999739230,2998613.199999999720603,2146743.200000000186265,2172259.549999999813735,2351037.919999999925494,12816844.589999999850988
FS( 114 ),3126512.640000000596046,2997923.549999999813735,2150411.780000000260770,2176112.000000000000000,2356811.569999999366701,12807771.539999999105930
FS( 115 ),3126512.640000000596046,2978613.349999999627471,2144908.910000000149012,2177763.049999999813735,2341800.080000000074506,12769598.029999999329448
FS( 116 ),3209487.360000000335276,2995854.599999999627471,2152246.070000000298023,2182165.849999999627471,2337950.979999999515712,12877704.859999999403954
FS( 117 ),3235650.559999999590218,2982061.600000000093132,2158360.370000000111759,2181065.150000000372529,2332562.240000000223517,12889699.919999999925494
FS( 118 ),3216962.559999999590218,2984130.550000000279397,2174257.549999999813735,2189320.400000000372529,2331022.599999999627471,12895693.659999998286366
FS( 119 ),3200143.360000000335276,2985509.850000000093132,2183429.000000000000000,2182716.199999999254942,2334486.790000000037253,12886285.199999999254942
FS( 120 ),3182576.640000000596046,3010337.250000000000000,2185263.290000000037253,2169507.799999999813735,2338335.889999999664724,12886020.870000001043081
FS( 121 ),3240883.200000000186265,3060681.700000000186265,2198103.320000000298023,2164554.649999999441206,2355656.839999999850988,13019879.710000000894070
FS( 122 ),3280875.520000000484288,3044819.750000000000000,2197491.889999999664724,2127681.199999999254942,2351422.830000000074506,13002291.189999999478459
FS( 123 ),3297694.719999999739230,3000682.149999999906868,2221337.660000000149012,2105667.200000000186265,2355271.929999999701977,12980653.660000000149012
FS( 124 ),3256207.360000000335276,2966199.649999999906868,2256800.599999999627471,2095210.549999999813735,2341030.259999999776483,12915448.419999999925494
FS( 125 ),3201264.640000000596046,3019302.700000000186265,2262914.899999999441206,2104016.149999999441206,2355656.839999999850988,12943155.230000000447035
FS( 126 ),3303301.120000000111759,3023440.600000000093132,2266583.480000000447035,2119976.299999999813735,2361815.399999999441206,13075116.899999998509884
FS( 127 ),3360112.640000000596046,2985509.850000000093132,2254966.310000000521541,2116674.200000000186265,2334486.790000000037253,13051749.789999999105930
FS( 128 ),3333575.679999999701977,2960682.450000000186265,2245794.859999999403954,2112821.750000000000000,2319475.299999999813735,12972350.039999999105930
FS( 129 ),3383659.520000000484288,2971027.199999999720603,2246406.290000000037253,2072646.199999999720603,2335256.610000000335276,13008995.820000000298023
FS( 130 ),3397114.879999999888241,2904131.149999999906868,2228063.389999999664724,2061639.199999999953434,2314471.469999999739230,12905420.089999996125698
FS( 131 ),3355627.520000000484288,2826890.350000000093132,2201771.899999999441206,2025316.099999999627471,2306773.269999999552965,12716379.140000000596046
FS( 132 ),3343667.200000000186265,2853097.049999999813735,2204829.049999999813735,2057236.399999999906868,2301769.439999999478459,12760599.140000000596046
FS( 133 ),3325352.959999999962747,2906889.750000000000000,2207886.200000000186265,2066592.349999999627471,2314856.379999999888241,12821577.640000000596046
FS( 134 ),3231539.200000000186265,2886200.250000000000000,2199326.179999999701977,2050632.199999999720603,2300614.709999999962747,12668312.539999999105930
FS( 135 ),3097733.120000000111759,2873096.899999999906868,2214611.929999999701977,2059988.149999999906868,2331792.419999999925494,12577222.519999999552965
FS( 136 ),3255459.839999999850988,2943441.200000000186265,2261080.609999999403954,2077049.000000000000000,2381445.809999999590218,12918476.459999997168779
FS( 137 ),3248358.399999999441206,2930337.850000000093132,2267806.339999999850988,2072646.199999999720603,2388759.099999999627471,12907907.889999998733401
FS( 138 ),3136604.160000000149012,2902062.199999999720603,2256800.599999999627471,2099613.349999999627471,2376826.889999999664724,12771907.199999999254942
FS( 139 ),3059235.839999999850988,2920682.750000000000000,2266583.480000000447035,2131533.649999999441206,2403770.589999999850988,12781806.309999998658895
FS( 140 ),3052508.160000000149012,2897234.649999999906868,2253132.020000000484288,2122728.049999999813735,2291761.780000000260770,12617364.660000000149012
FS( 141 ),2991585.280000000260770,2908958.700000000186265,2265972.049999999813735,2173910.599999999627471,2223632.709999999962747,12564059.339999999850988
FS( 142 ),3256954.879999999888241,2944820.500000000000000,2291040.679999999701977,2172809.899999999441206,2207851.399999999441206,12873477.359999995678663
FS( 143 ),3244620.799999999813735,2990337.399999999906868,2314275.020000000484288,2209133.000000000000000,2269052.089999999850988,13027418.309999998658895
FS( 144 ),3219578.879999999888241,2989647.750000000000000,2343012.230000000447035,2214086.149999999441206,2272131.370000000111759,13038456.379999998956919
FS( 145 ),3118289.919999999925494,2973096.149999999906868,2333229.349999999627471,2222341.400000000372529,2267512.450000000186265,12914469.269999999552965
FS( 146 ),3108198.399999999441206,3019992.350000000093132,2352183.679999999701977,2232247.700000000186265,2273671.009999999776483,12986293.139999998733401
FS( 147 ),3128755.200000000186265,3002751.100000000093132,2358909.410000000149012,2234449.099999999627471,2271361.549999999813735,12996226.359999999403954
FS( 148 ),3106703.360000000335276,3021371.650000000372529,2367469.429999999701977,2236650.500000000000000,2270591.729999999515712,13002786.670000001788139
FS( 149 ),3018122.240000000223517,2960682.450000000186265,2354017.969999999739230,2215737.200000000186265,2259429.339999999850988,12807989.199999999254942
FS( 150 ),3040547.839999999850988,3022061.299999999813735,2362577.990000000223517,2230596.650000000372529,2278289.929999999701977,12934073.709999999031425
FS( 151 ),3033820.160000000149012,3055164.500000000000000,2358297.980000000447035,2231697.349999999627471,2272901.189999999478459,12951881.179999999701977
FS( 152 ),3039052.799999999813735,3104819.300000000279397,2347292.240000000223517,2215186.849999999627471,2272131.370000000111759,12978482.559999998658895
FS( 153 ),3046154.240000000223517,3122750.200000000186265,2366858.000000000000000,2231697.349999999627471,2278289.929999999701977,13045749.720000000670552
FS( 154 ),3025971.200000000186265,3142060.400000000372529,2368692.290000000037253,2265268.699999999254942,2287142.860000000335276,13089135.449999999254942
FS( 155 ),2980746.240000000223517,3115164.050000000279397,2350349.389999999664724,2250409.250000000000000,2273671.009999999776483,12970339.939999999478459
FS( 156 ),2953461.759999999776483,3104129.649999999906868,2340566.509999999776483,2259214.849999999627471,2284448.490000000223517,12941821.259999999776483
FS( 157 ),2915712.000000000000000,3108957.199999999720603,2333840.780000000260770,2249858.900000000372529,2278289.929999999701977,12886658.809999998658895
FS( 158 ),2830494.719999999739230,3057233.449999999720603,2296543.549999999813735,2276826.049999999813735,2374132.519999999552965,12835230.289999999105930
FS( 159 ),2831989.759999999776483,3021371.650000000372529,2264137.759999999776483,2285631.650000000372529,2403000.769999999552965,12806131.589999999850988
FS( 160 ),2996817.919999999925494,3061371.350000000093132,2278200.649999999441206,2275175.000000000000000,2426480.280000000260770,13038045.199999999254942
FS( 161 ),2974018.559999999590218,3061371.350000000093132,2268417.770000000484288,2277926.750000000000000,2453039.069999999366701,13034773.500000000000000
FS( 162 ),3046528.000000000000000,3061371.350000000093132,2268417.770000000484288,2277926.750000000000000,2453039.069999999366701,13107282.940000001341105
FS( 163 ),3018496.000000000000000,3064819.599999999627471,2309995.009999999776483,2277926.750000000000000,2504617.009999999776483,13175854.369999999180436
FS( 164 ),3002424.320000000298023,3068957.500000000000000,2300212.129999999888241,2281228.849999999627471,2513854.849999999627471,13166677.650000000372529
FS( 165 ),3055498.240000000223517,3136543.199999999720603,2306937.859999999403954,2297739.349999999627471,2528096.520000000484288,13324815.169999998062849
FS( 166 ),3092500.479999999515712,3117233.000000000000000,2294709.259999999776483,2279577.799999999813735,2518858.679999999701977,13302879.219999998807907
FS( 167 ),3084651.520000000484288,3152405.149999999906868,2284926.379999999888241,2291685.500000000000000,2533485.259999999776483,13347153.810000000521541
FS( 168 ),2995322.879999999888241,3062061.000000000000000,2234789.120000000111759,2258114.150000000372529,2523092.689999999478459,13073379.839999999850988
FS( 169 ),3012889.599999999627471,3062750.649999999906868,2251297.730000000447035,2275175.000000000000000,2540028.729999999515712,13142141.710000000894070
FS( 170 ),3005040.640000000596046,3092405.600000000093132,2239069.129999999888241,2267470.099999999627471,2521168.139999999664724,13125153.609999999403954
FS( 171 ),3051386.879999999888241,3139991.450000000186265,2281257.799999999813735,2298840.049999999813735,2537719.270000000484288,13309195.449999999254942
FS( 172 ),3052508.160000000149012,3146887.950000000186265,2270863.490000000223517,2291685.500000000000000,2535409.810000000521541,13297354.910000002011657
FS( 173 ),3098480.640000000596046,3188956.600000000093132,2300212.129999999888241,2335713.500000000000000,2625863.660000000149012,13549226.530000001192093
FS( 174 ),3049891.839999999850988,3158612.000000000000000,2282480.660000000149012,2342317.700000000186265,2599304.870000000111759,13432607.070000000298023
FS( 175 ),3076428.799999999813735,3198611.700000000186265,2298989.270000000484288,2363231.000000000000000,2606618.160000000149012,13543878.929999999701977
FS( 176 ),3055124.479999999515712,3188266.949999999720603,2283703.520000000484288,2365982.750000000000000,2581599.009999999776483,13474676.709999999031425
FS( 177 ),3051760.640000000596046,3253783.700000000186265,2315497.879999999888241,2407809.349999999627471,2603153.969999999739230,13632005.539999999105930
FS( 178 ),3065589.759999999776483,3247576.850000000093132,2326503.620000000111759,2396802.349999999627471,2607772.889999999664724,13644245.469999998807907
FS( 179 ),3127633.919999999925494,3248266.500000000000000,2322835.040000000037253,2411661.799999999813735,2622014.560000000521541,13732411.820000002160668
FS( 180 ),3136604.160000000149012,3276542.149999999906868,2315497.879999999888241,2406708.649999999441206,2610082.349999999627471,13745435.189999999478459
FS( 181 ),3127633.919999999925494,3291714.449999999720603,2309995.009999999776483,2383043.599999999627471,2637410.959999999962747,13749797.939999997615814
FS( 182 ),3084277.759999999776483,3268956.000000000000000,2283092.089999999850988,2384694.649999999441206,2605848.339999999850988,13626868.839999999850988
FS( 183 ),3108198.399999999441206,3273783.549999999813735,2291040.679999999701977,2418816.349999999627471,2590451.939999999478459,13682290.919999998062849
FS( 184 ),3047649.280000000260770,3220680.500000000000000,2286149.240000000223517,2402305.849999999627471,2624324.020000000484288,13581108.890000000596046
FS( 185 ),3054376.959999999962747,3262059.500000000000000,2295320.689999999478459,2412762.500000000000000,2639720.419999999925494,13664240.069999998435378
FS( 186 ),3067458.559999999590218,3301369.549999999813735,2333840.780000000260770,2409460.400000000372529,2640105.330000000074506,13752234.620000001043081
FS( 187 ),3038305.280000000260770,3297921.299999999813735,2340566.509999999776483,2419917.049999999813735,2628942.939999999478459,13725653.080000000074506
FS( 188 ),3118289.919999999925494,3344817.500000000000000,2390703.770000000484288,2445783.500000000000000,2683600.160000000149012,13983194.850000001490116
FS( 189 ),3163888.640000000596046,3359989.799999999813735,2412715.250000000000000,2472750.649999999441206,2669358.489999999292195,14078702.829999998211861
FS( 190 ),3200517.120000000111759,3351024.350000000093132,2420052.410000000149012,2473851.349999999627471,2723245.889999999664724,14168691.120000001043081
FS( 191 ),3256581.120000000111759,3317921.149999999906868,2398652.359999999403954,2470549.250000000000000,2735947.919999999925494,14179651.799999998882413
FS( 192 ),3234903.040000000037253,3313093.600000000093132,2389480.910000000149012,2444682.799999999813735,2746725.399999999441206,14128885.750000000000000
FS( 193 ),3277885.440000000409782,3310335.000000000000000,2383978.040000000037253,2462294.000000000000000,2762121.799999999813735,14196614.280000001192093
FS( 194 ),3247610.879999999888241,3266197.399999999906868,2383978.040000000037253,2460092.599999999627471,2775593.649999999441206,14133472.570000000298023
FS( 195 ),3227427.839999999850988,3259990.550000000279397,2368080.859999999403954,2471099.599999999627471,2781367.299999999813735,14107966.149999998509884
