代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13380502.109999999403954
真實報酬,3380502.109999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14778.541630705924035
風險,181937.856452874722891
起點值,0.081228513509138
找到最佳解世代,1485
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
CVX[5](4),KO[14](5),MCD[15](14),UNH[23](1),
FS( 35 ),2567479.300000000279397,2569124.379999999888241,2672952.819999999832362,2777510.839999999850988,10587067.339999999850988
FS( 36 ),2562659.350000000093132,2575327.849999999627471,2687187.620000000111759,2803751.119999999646097,10628925.939999999478459
FS( 37 ),2546592.850000000093132,2580645.109999999869615,2673664.560000000055879,2837147.839999999850988,10638050.359999999403954
FS( 38 ),2523778.420000000391155,2564693.330000000074506,2656226.930000000167638,2818064.000000000000000,10562762.679999999701977
FS( 39 ),2574548.560000000055879,2597483.099999999627471,2672596.949999999720603,2841123.639999999664724,10685752.250000000000000
FS( 40 ),2573263.240000000223517,2596596.890000000130385,2660497.370000000111759,2810907.560000000055879,10641265.060000000521541
FS( 41 ),2598969.640000000130385,2618752.140000000130385,2655871.060000000055879,2786257.600000000093132,10659850.439999999478459
FS( 42 ),2611822.840000000316650,2603686.569999999832362,2649465.399999999906868,2798980.160000000149012,10663954.970000000670552
FS( 43 ),2604432.250000000000000,2593052.049999999813735,2651600.620000000111759,2791823.719999999739230,10640908.640000000596046
FS( 44 ),2633351.950000000186265,2619638.349999999627471,2666191.290000000037253,2817268.839999999850988,10736450.429999999701977
FS( 45 ),2612786.830000000074506,2609003.830000000074506,2667258.899999999906868,2746499.600000000093132,10635549.160000000149012
FS( 46 ),2679623.470000000204891,2643566.019999999552965,2698219.589999999850988,2788643.080000000074506,10810052.160000000149012
FS( 47 ),2688299.379999999888241,2647997.069999999832362,2683273.050000000279397,2707536.759999999776483,10727106.259999999776483
FS( 48 ),2683800.759999999776483,2633817.709999999962747,2699643.069999999832362,2730596.400000000372529,10747857.939999999478459
FS( 49 ),2697296.620000000111759,2632931.500000000000000,2708183.949999999720603,2731391.560000000055879,10769803.630000000819564
FS( 50 ),2689906.029999999795109,2639134.969999999739230,2690034.580000000074506,2755246.359999999869615,10774321.939999999478459
FS( 51 ),2694083.320000000298023,2640907.390000000130385,2689678.709999999962747,2784667.280000000260770,10809336.700000001117587
FS( 52 ),2688620.709999999962747,2655972.959999999962747,2695728.500000000000000,2808522.080000000074506,10848844.250000000000000
FS( 53 ),2696011.300000000279397,2655086.750000000000000,2741635.730000000447035,2845099.439999999944121,10937833.220000000670552
FS( 54 ),2686692.729999999981374,2655972.959999999962747,2757294.010000000242144,2861002.639999999664724,10960962.339999999850988
FS( 55 ),2714648.440000000409782,2658631.589999999850988,2751600.089999999850988,2882471.959999999962747,11007352.080000000074506
FS( 56 ),2660343.670000000391155,2673697.160000000149012,2739856.379999999888241,2806931.759999999776483,10880828.969999998807907
FS( 57 ),2699867.259999999776483,2710031.769999999552965,2754802.919999999925494,2920639.639999999664724,11085341.589999999850988
FS( 58 ),2707257.850000000093132,2724211.129999999888241,2791457.529999999795109,2901555.800000000279397,11124482.310000000521541
FS( 59 ),2716897.750000000000000,2730414.599999999627471,2795372.100000000093132,2962783.119999999646097,11205467.569999998435378
FS( 60 ),2727180.310000000055879,2703828.299999999813735,2800710.149999999906868,2986637.919999999925494,11218356.679999999701977
FS( 61 ),2736177.550000000279397,2713576.609999999869615,2802845.370000000111759,2987433.080000000074506,11240032.609999999403954
FS( 62 ),2709185.830000000074506,2711804.189999999944121,2757294.010000000242144,2857026.839999999850988,11035310.869999999180436
FS( 63 ),2713363.120000000111759,2712690.399999999906868,2757294.010000000242144,2882471.959999999962747,11065819.489999998360872
FS( 64 ),2654238.399999999906868,2717121.449999999720603,2767614.239999999757856,2866568.759999999776483,11005542.849999999627471
FS( 65 ),2617285.450000000186265,2734845.649999999906868,2771528.810000000055879,2871339.719999999739230,10994999.629999998956919
FS( 66 ),2639778.550000000279397,2741049.119999999646097,2790034.050000000279397,2942108.959999999962747,11112970.679999999701977
FS( 67 ),2657451.700000000186265,2745480.169999999925494,2793592.750000000000000,2915073.519999999552965,11111598.140000000596046
FS( 68 ),2735856.220000000204891,2767635.419999999925494,2817791.910000000149012,2926205.759999999776483,11247489.310000000521541
FS( 69 ),2730714.940000000409782,2772952.679999999701977,2822062.350000000093132,2930976.719999999739230,11256706.690000001341105
FS( 70 ),2724931.000000000000000,2767635.419999999925494,2822418.220000000204891,2951650.879999999888241,11266635.519999999552965
FS( 71 ),2685086.080000000074506,2775611.310000000055879,2814944.949999999720603,2940518.639999999664724,11216160.980000000447035
FS( 72 ),2736820.209999999962747,2772066.469999999739230,2829179.750000000000000,2954831.519999999552965,11292897.949999999254942
FS( 73 ),2766382.570000000298023,2782700.989999999757856,2836297.149999999906868,2979481.479999999981374,11364862.190000001341105
FS( 74 ),2745496.120000000111759,2788018.250000000000000,2806048.199999999720603,2915868.680000000167638,11255431.250000000000000
FS( 75 ),2726858.979999999981374,2789790.669999999925494,2813877.339999999850988,2820449.479999999981374,11150976.470000000670552
FS( 76 ),2650382.440000000409782,2750797.429999999701977,2755158.790000000037253,2783872.119999999646097,10940210.779999999329448
FS( 77 ),2649739.779999999795109,2770294.049999999813735,2788966.439999999944121,2809317.239999999757856,11018317.509999999776483
FS( 78 ),2693440.659999999683350,2828783.910000000149012,2812097.989999999757856,2833172.040000000037253,11167494.600000001490116
FS( 79 ),2697296.620000000111759,2850052.949999999720603,2834161.930000000167638,2862592.959999999962747,11244104.460000000894070
FS( 80 ),2681551.450000000186265,2848280.529999999795109,2829891.489999999757856,2899170.319999999832362,11258893.790000000968575
FS( 81 ),2626925.350000000093132,2819035.599999999627471,2811742.120000000111759,2866568.759999999776483,11124271.829999998211861
FS( 82 ),2664842.290000000502914,2863346.100000000093132,2828468.010000000242144,2876905.839999999850988,11233562.240000000223517
FS( 83 ),2636565.250000000000000,2841190.850000000093132,2795016.230000000447035,2853051.040000000037253,11125823.370000001043081
FS( 84 ),2624997.370000000111759,2809287.289999999571592,2785051.870000000111759,2909507.400000000372529,11128843.929999999701977
FS( 85 ),2601861.609999999869615,2799538.979999999981374,2786475.350000000093132,2903941.280000000260770,11091817.219999998807907
FS( 86 ),2657451.700000000186265,2866890.939999999944121,2821706.480000000447035,2995384.680000000167638,11341433.800000000745058
FS( 87 ),2715291.100000000093132,2875753.040000000037253,2824909.310000000055879,3025600.759999999776483,11441554.210000000894070
FS( 88 ),2727822.970000000204891,2858028.839999999850988,2838432.370000000111759,3007312.080000000074506,11431596.259999999776483
FS( 89 ),2729750.950000000186265,2835873.589999999850988,2832026.709999999962747,2965168.600000000093132,11362819.849999999627471
FS( 90 ),2773130.500000000000000,2842077.060000000055879,2859072.830000000074506,2923820.280000000260770,11398100.670000001788139
FS( 91 ),2767989.220000000204891,2853597.790000000037253,2802133.629999999888241,2929386.400000000372529,11353107.040000000968575
FS( 92 ),2784377.050000000279397,2873094.410000000149012,2761920.319999999832362,2914278.359999999869615,11333670.140000000596046
FS( 93 ),2796587.590000000316650,2865118.519999999552965,2760140.970000000204891,2915868.680000000167638,11337715.759999999776483
FS( 94 ),2839645.810000000055879,2873094.410000000149012,2744126.819999999832362,2934157.359999999869615,11391024.400000000372529
FS( 95 ),2839967.140000000130385,2831442.539999999571592,2744126.819999999832362,2902350.959999999962747,11317887.460000000894070
FS( 96 ),2828077.930000000167638,2868663.359999999403954,2739500.510000000242144,2818859.160000000149012,11255100.959999999031425
FS( 97 ),2861817.580000000074506,2895249.660000000149012,2729892.019999999552965,2831581.719999999739230,11318540.980000000447035
FS( 98 ),2843501.770000000018626,2911201.439999999944121,2733450.720000000204891,2787052.759999999776483,11275206.689999999478459
FS( 99 ),2853463.000000000000000,2894363.449999999720603,2737365.290000000037253,2797389.839999999850988,11282581.579999998211861
FS( 100 ),2867280.190000000409782,2901453.129999999888241,2735230.069999999832362,2809317.239999999757856,11313280.630000000819564
FS( 101 ),2889451.959999999962747,2906770.389999999664724,2740568.120000000111759,2849870.400000000372529,11386660.869999999180436
FS( 102 ),2913873.040000000502914,2905884.179999999701977,2738788.769999999552965,2844304.280000000260770,11402850.269999999552965
FS( 103 ),2895878.560000000055879,2882842.719999999739230,2719927.660000000149012,2826015.600000000093132,11324664.539999999105930
FS( 104 ),2930260.870000000111759,2896135.869999999646097,2719927.660000000149012,2840328.479999999981374,11386652.880000000819564
FS( 105 ),2936044.810000000055879,2900566.919999999459833,2739856.379999999888241,2855436.519999999552965,11431904.629999998956919
FS( 106 ),2943435.399999999906868,2902339.339999999850988,2731671.370000000111759,2857822.000000000000000,11435268.109999999403954
FS( 107 ),2932188.850000000093132,2914746.279999999795109,2731671.370000000111759,2871339.719999999739230,11449946.219999998807907
FS( 108 ),2954360.620000000111759,2889932.399999999906868,2725977.449999999720603,2952446.040000000037253,11522716.509999997913837
FS( 109 ),2943435.399999999906868,2830556.330000000074506,2644483.220000000204891,2979481.479999999981374,11397956.430000001564622
FS( 110 ),2938294.120000000111759,2813718.339999999850988,2656938.669999999925494,2989023.400000000372529,11397974.529999999329448
FS( 111 ),2914194.370000000111759,2793335.509999999776483,2640924.519999999552965,3051045.879999999888241,11399500.279999999329448
FS( 112 ),2930260.870000000111759,2788018.250000000000000,2646618.439999999944121,3057407.160000000149012,11422304.720000000670552
FS( 113 ),2905197.129999999888241,2794221.719999999739230,2617792.970000000204891,3057407.160000000149012,11374618.980000000447035
FS( 114 ),2950825.990000000223517,2778269.939999999944121,2629892.550000000279397,3107502.239999999757856,11466490.720000000670552
FS( 115 ),2970748.450000000186265,2793335.509999999776483,2619216.449999999720603,3090008.719999999739230,11473309.129999998956919
FS( 116 ),2962072.540000000502914,2809287.289999999571592,2586120.540000000037253,3148850.560000000055879,11506330.929999999701977
FS( 117 ),2982958.990000000223517,2797766.560000000055879,2635586.470000000204891,3241884.280000000260770,11658196.300000000745058
FS( 118 ),2999668.149999999906868,2812832.129999999888241,2657650.410000000149012,3250631.040000000037253,11720781.730000000447035
FS( 119 ),2987457.609999999869615,2810173.500000000000000,2681493.699999999720603,3225185.919999999925494,11704310.729999998584390
FS( 120 ),2979103.029999999795109,2788904.459999999962747,2674732.169999999925494,3205306.919999999925494,11648046.580000000074506
FS( 121 ),3013485.340000000316650,2781814.779999999795109,2669394.120000000111759,3213258.519999999552965,11677952.759999999776483
FS( 122 ),3023767.899999999906868,2803083.819999999832362,2682561.310000000055879,3165548.919999999925494,11674961.949999999254942
FS( 123 ),3023125.240000000223517,2789790.669999999925494,2686120.010000000242144,3229956.879999999888241,11728992.800000000745058
FS( 124 ),3041119.720000000204891,2789790.669999999925494,2675088.040000000037253,3200535.959999999962747,11706534.390000000596046
FS( 125 ),3044654.350000000093132,2778269.939999999944121,2645906.699999999720603,3362748.600000000093132,11831579.589999999850988
FS( 126 ),3000310.810000000055879,2757000.899999999906868,2607828.609999999869615,3254606.839999999850988,11619747.160000000149012
FS( 127 ),3050438.290000000502914,2785359.619999999646097,2621707.540000000037253,3264148.759999999776483,11721654.209999999031425
FS( 128 ),3091889.859999999869615,2794221.719999999739230,2614590.140000000130385,3345255.080000000074506,11845956.800000000745058
FS( 129 ),3100244.440000000409782,2785359.619999999646097,2620639.930000000167638,3335713.160000000149012,11841957.150000000372529
FS( 130 ),3126914.830000000074506,2772952.679999999701977,2627401.459999999962747,3422385.600000000093132,11949654.569999998435378
FS( 131 ),3120488.229999999981374,2772066.469999999739230,2635230.600000000093132,3378651.800000000279397,11906437.099999999627471
FS( 132 ),3138161.379999999888241,2770294.049999999813735,2613878.399999999906868,3324580.919999999925494,11846914.750000000000000
FS( 133 ),3140732.020000000018626,2786245.830000000074506,2681849.569999999832362,3337303.479999999981374,11946130.900000000372529
FS( 134 ),3092532.520000000018626,2798652.769999999552965,2702134.160000000149012,3345255.080000000074506,11938574.529999999329448
FS( 135 ),3107313.700000000186265,2815490.759999999776483,2696084.370000000111759,3373880.839999999850988,11992769.669999999925494
FS( 136 ),3099280.450000000186265,2817263.179999999701977,2709607.430000000167638,3369905.040000000037253,11996056.100000001490116
FS( 137 ),3115346.950000000186265,2797766.560000000055879,2713166.129999999888241,3376266.319999999832362,12002545.960000000894070
FS( 138 ),3095745.820000000298023,2800425.189999999944121,2709963.300000000279397,3342074.439999999944121,11948208.750000000000000
FS( 139 ),3106028.379999999888241,2809287.289999999571592,2705336.989999999757856,3379446.959999999962747,12000099.620000001043081
FS( 140 ),3122416.209999999962747,2860687.469999999739230,2703913.510000000242144,3386603.400000000372529,12073620.589999999850988
FS( 141 ),3172222.359999999869615,2860687.469999999739230,2709251.560000000055879,3406482.400000000372529,12148643.790000000968575
FS( 142 ),3223635.159999999683350,2825239.069999999832362,2693949.149999999906868,3416024.319999999832362,12158847.699999999254942
FS( 143 ),3286294.509999999776483,2832328.750000000000000,2675799.779999999795109,3412048.519999999552965,12206471.559999998658895
FS( 144 ),3278582.590000000316650,2830556.330000000074506,2676511.519999999552965,3399325.959999999962747,12184976.399999998509884
FS( 145 ),3280831.899999999906868,2850052.949999999720603,2649109.529999999795109,3381037.280000000260770,12161031.660000000149012
FS( 146 ),3333851.350000000093132,2832328.750000000000000,2693237.410000000149012,3385808.239999999757856,12245225.750000000000000
FS( 147 ),3306538.300000000279397,2876639.250000000000000,2665123.680000000167638,3375471.160000000149012,12223772.390000000596046
FS( 148 ),3324854.109999999869615,2855370.209999999962747,2658006.279999999795109,3463733.919999999925494,12301964.519999999552965
FS( 149 ),3347989.870000000111759,2904997.969999999739230,2713166.129999999888241,3561538.600000000093132,12527692.569999998435378
FS( 150 ),3333851.350000000093132,2889046.189999999944121,2705692.859999999869615,3534503.160000000149012,12463093.560000000521541
FS( 151 ),3310072.930000000167638,2889932.399999999906868,2714945.480000000447035,3463733.919999999925494,12378684.730000000447035
FS( 152 ),3334494.009999999776483,2908542.810000000055879,2688255.230000000447035,3485203.239999999757856,12416495.290000000968575
FS( 153 ),3282117.220000000204891,2907656.600000000093132,2696796.109999999869615,3537683.800000000279397,12424253.730000000447035
FS( 154 ),3183790.240000000223517,2893477.239999999757856,2728824.410000000149012,3482022.600000000093132,12288114.490000000223517
FS( 155 ),3211103.290000000502914,2872208.199999999720603,2730603.760000000242144,3466119.400000000372529,12280034.650000000372529
FS( 156 ),3239059.000000000000000,2833214.959999999962747,2692881.540000000037253,3431927.519999999552965,12197083.019999999552965
FS( 157 ),3252876.190000000409782,2793335.509999999776483,2673308.689999999944121,3402506.600000000093132,12122026.990000000223517
FS( 158 ),3197607.430000000167638,2729528.390000000130385,2611387.310000000055879,3328556.719999999739230,11867079.850000001490116
FS( 159 ),3285330.520000000018626,2759659.529999999795109,2612099.050000000279397,3361158.280000000260770,12018247.379999998956919
FS( 160 ),3303325.000000000000000,2778269.939999999944121,2597508.379999999888241,3387398.560000000055879,12066501.880000000819564
FS( 161 ),3380122.870000000111759,2817263.179999999701977,2624910.370000000111759,3434313.000000000000000,12256609.419999999925494
FS( 162 ),3381408.190000000409782,2814604.549999999813735,2628824.939999999944121,3398530.800000000279397,12223368.480000000447035
FS( 163 ),3389441.440000000409782,2848280.529999999795109,2652312.359999999869615,3399325.959999999962747,12289360.289999999105930
FS( 164 ),3386228.140000000130385,2866890.939999999944121,2666547.160000000149012,3482817.759999999776483,12402484.000000000000000
FS( 165 ),3431214.340000000316650,2889932.399999999906868,2677935.000000000000000,3478841.959999999962747,12477923.699999999254942
FS( 166 ),3407435.920000000391155,2881956.510000000242144,2669038.250000000000000,3488383.879999999888241,12446814.559999998658895
FS( 167 ),3450172.810000000055879,2912087.649999999906868,2682205.439999999944121,3536888.639999999664724,12581354.539999999105930
FS( 168 ),3470737.930000000167638,2926267.010000000242144,2697863.720000000204891,3610043.359999999869615,12704912.019999999552965
FS( 169 ),3454028.770000000018626,2939560.160000000149012,2707828.080000000074506,3594140.160000000149012,12695557.169999999925494
FS( 170 ),3480699.159999999683350,2978553.399999999906868,2704269.379999999888241,3626741.719999999739230,12790263.660000000149012
FS( 171 ),3477807.190000000409782,2998050.019999999552965,2718504.180000000167638,3625946.560000000055879,12820307.950000001117587
FS( 172 ),3513153.490000000223517,2990074.129999999888241,2725977.449999999720603,3585393.400000000372529,12814598.470000000670552
FS( 173 ),3491624.379999999888241,2997163.810000000055879,2730247.890000000130385,3575056.319999999832362,12794092.400000000372529
FS( 174 ),3500621.620000000111759,2988301.709999999962747,2704981.120000000111759,3532912.839999999850988,12726817.289999999105930
FS( 175 ),3523757.379999999888241,2981212.029999999795109,2706048.730000000447035,3528937.040000000037253,12739955.179999999701977
FS( 176 ),3463347.340000000316650,2986529.290000000037253,2713522.000000000000000,3524166.080000000074506,12687564.710000000894070
FS( 177 ),3347668.540000000502914,2964374.040000000037253,2728112.669999999925494,3563128.919999999925494,12603284.169999999925494
FS( 178 ),3335779.330000000074506,2981212.029999999795109,2736297.680000000167638,3524961.239999999757856,12578250.279999999329448
FS( 179 ),3370161.640000000130385,3027294.949999999720603,2742703.339999999850988,3563924.080000000074506,12704084.009999999776483
FS( 180 ),3413862.520000000018626,3014001.799999999813735,2753735.310000000055879,3576646.639999999664724,12758246.269999999552965
FS( 181 ),3357951.100000000093132,2982984.449999999720603,2740212.250000000000000,3462938.759999999776483,12544086.560000000521541
FS( 182 ),3386870.800000000279397,2972349.929999999701977,2725977.449999999720603,3495540.319999999832362,12580738.500000000000000
FS( 183 ),3464311.330000000074506,3006025.910000000149012,2790034.050000000279397,3517804.800000000279397,12778176.090000001713634
FS( 184 ),3474593.890000000130385,3007798.329999999608845,2737009.419999999925494,3801676.919999999925494,13021078.560000000521541
FS( 185 ),3451779.459999999962747,3001594.859999999403954,2744838.560000000055879,3793725.319999999832362,12991938.199999999254942
FS( 186 ),3494516.350000000093132,2966146.459999999962747,2738077.029999999795109,3765099.560000000055879,12963839.400000000372529
FS( 187 ),3501585.609999999869615,2968805.089999999850988,2771172.939999999944121,3833483.319999999832362,13075046.959999999031425
FS( 188 ),3496444.330000000074506,2987415.500000000000000,2776866.859999999869615,3904252.560000000055879,13164979.250000000000000
FS( 189 ),3516688.120000000111759,2989187.919999999459833,2786831.220000000204891,3914589.639999999664724,13207296.899999998509884
FS( 190 ),3476200.540000000502914,3000708.649999999906868,2798574.930000000167638,3966275.040000000037253,13241759.160000000149012
FS( 191 ),3411613.209999999962747,3007798.329999999608845,2809251.029999999795109,3950371.839999999850988,13179034.409999998286366
FS( 192 ),3363735.040000000502914,2989187.919999999459833,2813877.339999999850988,3940829.919999999925494,13107630.220000000670552
FS( 193 ),3297541.060000000055879,2955511.939999999944121,2797151.449999999720603,3942420.239999999757856,12992624.689999999478459
FS( 194 ),3305895.640000000130385,2964374.040000000037253,2800710.149999999906868,3985358.879999999888241,13056338.710000000894070
FS( 195 ),3344776.570000000298023,2967032.669999999459833,2822418.220000000204891,4013189.479999999981374,13147416.940000001341105
FS( 196 ),3353452.479999999981374,2983870.660000000149012,2836653.019999999552965,4016370.119999999646097,13190346.279999999329448
FS( 197 ),3285973.180000000167638,2982984.449999999720603,2829535.620000000111759,3977407.280000000260770,13075900.530000001192093
FS( 198 ),3302039.680000000167638,3027294.949999999720603,2870460.669999999925494,3982178.239999999757856,13181973.540000000968575
FS( 199 ),3290150.470000000204891,3021091.479999999981374,2873307.629999999888241,3971841.160000000149012,13156390.740000000223517
FS( 200 ),3266372.050000000279397,3006025.910000000149012,2887542.430000000167638,3989334.680000000167638,13149275.070000000298023
FS( 201 ),3226527.129999999888241,3012229.379999999888241,2880069.160000000149012,3975021.800000000279397,13093847.470000000670552
FS( 202 ),3305252.979999999981374,3026408.739999999757856,2900353.750000000000000,4024321.719999999739230,13256337.189999997615814
FS( 203 ),3337707.310000000055879,3033498.419999999459833,2936296.620000000111759,4019550.759999999776483,13327053.109999999403954
FS( 204 ),3295934.409999999683350,3026408.739999999757856,2929890.959999999962747,3955142.800000000279397,13207376.910000000149012
FS( 205 ),3257374.810000000055879,2990074.129999999888241,2935940.750000000000000,3909023.519999999552965,13092413.209999999031425
FS( 206 ),3286294.509999999776483,2990074.129999999888241,2940922.930000000167638,3813604.319999999832362,13030895.890000000596046
FS( 207 ),3317784.850000000093132,2965260.250000000000000,2943769.890000000130385,3806447.879999999888241,13033262.870000001043081
FS( 208 ),3321319.479999999981374,2955511.939999999944121,2933449.660000000149012,3792930.160000000149012,13003211.240000000223517
FS( 209 ),3316499.529999999795109,2947536.049999999813735,2904624.189999999944121,3840639.759999999776483,13009299.529999999329448
FS( 210 ),3371125.629999999888241,2960829.199999999720603,2901777.230000000447035,3892325.160000000149012,13126057.220000000670552
FS( 211 ),3293363.770000000018626,2958170.570000000298023,2881848.510000000242144,3844615.560000000055879,12977998.410000000149012
FS( 212 ),3249341.560000000055879,2926267.010000000242144,2873663.500000000000000,3927312.200000000186265,12976584.269999999552965
FS( 213 ),3245485.600000000093132,2904111.760000000242144,2866190.230000000447035,3884373.560000000055879,12900161.150000000372529
FS( 214 ),3203070.040000000502914,2898794.500000000000000,2871884.149999999906868,3828712.359999999869615,12802461.050000000745058
FS( 215 ),3196322.109999999869615,2889046.189999999944121,2887542.430000000167638,3814399.479999999981374,12787310.210000000894070
FS( 216 ),3211745.950000000186265,2897908.290000000037253,2887898.300000000279397,3832688.160000000149012,12830240.700000001117587
FS( 217 ),3252876.190000000409782,2920063.540000000037253,2891812.870000000111759,4023526.560000000055879,13088279.160000002011657
FS( 218 ),3202748.709999999962747,2897908.290000000037253,2859784.569999999832362,3928902.519999999552965,12889344.089999999850988
FS( 219 ),3178970.290000000502914,2885501.350000000093132,2872951.760000000242144,3905047.719999999739230,12842471.120000001043081
FS( 220 ),3232632.399999999906868,2907656.600000000093132,2899286.140000000130385,3944010.560000000055879,12983585.700000001117587
FS( 221 ),3162261.129999999888241,2879297.879999999888241,2891101.129999999888241,3924131.560000000055879,12856791.700000001117587
FS( 222 ),3195036.790000000502914,2901453.129999999888241,2911385.720000000204891,3948781.519999999552965,12956657.160000000149012
FS( 223 ),3186682.209999999962747,2907656.600000000093132,2936652.489999999757856,3972636.319999999832362,13003627.620000001043081
FS( 224 ),3210460.629999999888241,2917404.910000000149012,2942702.279999999795109,4076802.280000000260770,13147370.100000001490116
FS( 225 ),3264444.070000000298023,2936015.320000000298023,2946616.850000000093132,4152342.479999999981374,13299418.720000000670552
FS( 226 ),3247734.909999999683350,2942218.790000000037253,2941278.800000000279397,4117355.439999999944121,13248587.939999999478459
FS( 227 ),3192787.479999999981374,2879297.879999999888241,2928467.480000000447035,4067260.359999999869615,13067813.199999999254942
FS( 228 ),3145873.300000000279397,2877525.459999999962747,2912453.330000000074506,4012394.319999999832362,12948246.410000000149012
FS( 229 ),3178006.300000000279397,2889046.189999999944121,2929535.089999999850988,4057718.439999999944121,13054306.019999999552965
FS( 230 ),3224599.149999999906868,2926267.010000000242144,3001776.699999999720603,4116560.280000000260770,13269203.140000000596046
