代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14431933.189999999478459
真實報酬,4431933.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16972.583184099159553
風險,117011.577201358129969
起點值,0.145050460732548
找到最佳解世代,3212
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,8
AAPL[0](6),BA[2](5),HD[9](11),KO[14](18),MCD[15](1),MMM[16](4),UNH[23](3),V[25](10),
FS( 39 ),1314687.470000000204891,1382269.389999999897555,1410247.620000000111759,1234864.729999999981374,1370480.699999999953434,1361638.699999999953434,1458077.649999999906868,1199923.219999999739230,10732189.480000000447035
FS( 40 ),1309081.970000000204891,1370157.129999999888241,1408266.679999999934807,1228335.790000000037253,1366138.050000000046566,1355246.300000000046566,1447319.650000000139698,1199157.519999999785796,10683703.089999999850988
FS( 41 ),1308745.640000000130385,1366558.559999999823049,1408579.459999999962747,1234567.959999999962747,1367362.900000000139698,1357757.599999999860302,1443733.649999999906868,1199616.939999999711290,10686922.709999999031425
FS( 42 ),1298543.630000000121072,1366470.790000000037253,1397944.940000000176951,1230413.179999999934807,1355448.449999999953434,1358975.199999999953434,1434768.649999999906868,1194869.599999999860302,10637434.439999999478459
FS( 43 ),1302243.260000000242144,1377793.119999999878928,1400342.920000000158325,1240503.359999999869615,1332064.949999999953434,1355018.000000000000000,1447409.300000000046566,1217534.319999999832362,10672909.230000000447035
FS( 44 ),1300785.830000000074506,1392275.169999999925494,1412749.860000000102445,1236051.810000000055879,1330506.050000000046566,1357072.699999999953434,1451533.199999999953434,1227488.419999999925494,10708463.039999999105930
FS( 45 ),1307400.320000000065193,1393065.100000000093132,1396068.260000000242144,1239019.510000000009313,1332955.750000000000000,1352430.600000000093132,1453953.750000000000000,1241883.579999999841675,10716776.870000001043081
FS( 46 ),1321974.620000000111759,1396488.129999999888241,1392210.640000000130385,1238722.739999999990687,1344758.850000000093132,1356387.799999999813735,1456015.699999999953434,1259035.259999999776483,10765593.740000000223517
FS( 47 ),1334082.500000000000000,1389642.069999999832362,1400342.920000000158325,1226258.399999999906868,1341084.300000000046566,1349082.200000000186265,1451891.800000000046566,1251990.819999999832362,10744375.010000001639128
FS( 48 ),1335427.820000000065193,1396224.819999999832362,1419005.459999999962747,1217948.840000000083819,1339080.000000000000000,1343831.300000000046566,1448574.750000000232831,1245252.659999999916181,10745345.650000000372529
FS( 49 ),1342602.860000000102445,1399121.229999999981374,1414835.060000000055879,1218245.609999999869615,1346095.050000000046566,1353800.399999999906868,1451353.899999999906868,1252756.519999999785796,10778810.629999998956919
FS( 50 ),1336997.360000000102445,1389378.759999999776483,1408266.679999999934807,1215277.910000000149012,1359679.750000000000000,1350375.899999999906868,1455567.450000000186265,1246171.500000000000000,10761715.309999998658895
FS( 51 ),1334643.050000000279397,1394118.340000000083819,1407953.899999999906868,1213200.520000000018626,1352998.750000000000000,1349995.399999999906868,1450547.050000000046566,1243108.699999999953434,10746565.710000000894070
FS( 52 ),1345405.610000000102445,1383937.019999999785796,1417233.040000000270084,1223290.699999999953434,1366917.500000000000000,1349006.099999999860302,1440326.949999999953434,1244486.959999999962747,10770603.879999998956919
FS( 53 ),1345293.500000000000000,1389642.069999999832362,1419631.020000000018626,1225368.090000000083819,1366472.099999999860302,1358366.400000000139698,1414149.150000000139698,1249540.579999999841675,10768462.910000000149012
FS( 54 ),1342939.190000000176951,1395610.429999999934807,1411603.000000000000000,1220916.540000000037253,1360570.550000000046566,1359812.300000000046566,1422755.550000000046566,1251684.539999999804422,10765892.099999999627471
FS( 55 ),1345405.610000000102445,1400262.239999999990687,1413792.459999999962747,1226258.399999999906868,1361461.350000000093132,1358366.400000000139698,1422396.949999999953434,1253369.079999999841675,10781312.490000000223517
FS( 56 ),1346302.489999999990687,1385429.109999999869615,1439544.679999999934807,1229522.870000000111759,1351662.550000000046566,1358518.599999999860302,1426072.600000000093132,1258116.419999999925494,10795169.319999998435378
FS( 57 ),1345069.280000000027940,1409214.780000000027940,1439440.420000000158325,1243471.060000000055879,1347988.000000000000000,1339189.199999999953434,1438265.000000000000000,1274655.539999999804422,10837293.280000001192093
FS( 58 ),1366482.290000000037253,1468986.150000000139698,1433393.340000000083819,1250000.000000000000000,1356227.900000000139698,1344972.799999999813735,1445526.650000000139698,1284915.919999999925494,10950505.050000000745058
FS( 59 ),1367154.950000000186265,1484433.669999999925494,1443610.820000000298023,1240800.130000000121072,1357230.050000000046566,1345657.699999999953434,1459063.800000000046566,1274808.679999999701977,10972759.800000000745058
FS( 60 ),1367267.060000000055879,1471970.329999999841675,1442255.440000000176951,1230116.410000000149012,1368142.350000000093132,1350680.299999999813735,1461215.400000000139698,1282925.099999999860302,10974572.389999998733401
FS( 61 ),1363679.540000000037253,1453275.319999999832362,1443715.080000000074506,1228039.020000000018626,1369923.949999999953434,1335003.699999999953434,1453146.900000000139698,1281853.119999999878928,10928636.629999998956919
FS( 62 ),1360540.459999999962747,1434404.769999999785796,1434435.940000000176951,1233677.649999999906868,1364913.199999999953434,1330437.699999999953434,1453236.550000000046566,1266692.259999999776483,10878338.530000001192093
FS( 63 ),1443501.860000000102445,1439232.119999999878928,1432976.300000000046566,1224477.780000000027940,1363242.949999999953434,1333101.199999999953434,1458705.200000000186265,1262557.479999999748543,10957794.890000000596046
FS( 64 ),1441035.440000000176951,1424223.449999999953434,1427867.560000000055879,1228632.560000000055879,1372150.949999999953434,1325567.300000000046566,1441223.449999999953434,1260413.519999999785796,10921114.229999998584390
FS( 65 ),1447201.490000000223517,1425452.229999999981374,1438606.340000000083819,1232787.340000000083819,1383508.649999999906868,1332111.899999999906868,1451174.600000000093132,1318300.439999999711290,11029142.990000000223517
FS( 66 ),1460766.800000000046566,1439319.889999999897555,1423071.600000000093132,1233380.880000000121072,1385847.000000000000000,1332568.500000000000000,1438982.199999999953434,1314471.939999999711290,11028408.809999998658895
FS( 67 ),1474668.440000000176951,1461437.929999999934807,1424739.760000000242144,1243471.060000000055879,1387405.900000000139698,1337591.099999999860302,1439161.500000000000000,1313706.239999999757856,11082181.930000001564622
FS( 68 ),1480386.050000000046566,1437827.800000000046566,1437563.739999999990687,1247032.300000000046566,1388296.699999999953434,1347560.199999999953434,1437189.199999999953434,1303139.579999999841675,11078995.570000000298023
FS( 69 ),1484646.229999999981374,1441952.989999999990687,1446217.320000000298023,1224181.010000000009313,1386181.050000000046566,1356007.300000000046566,1438354.650000000139698,1310643.439999999711290,11088183.989999998360872
FS( 70 ),1481282.930000000167638,1459068.139999999897555,1458102.959999999962747,1204297.419999999925494,1401101.949999999953434,1362247.500000000000000,1441133.800000000046566,1315543.919999999925494,11122778.620000001043081
FS( 71 ),1494399.800000000046566,1474866.739999999990687,1458311.480000000214204,1205484.500000000000000,1397984.150000000139698,1377619.700000000186265,1452250.400000000139698,1323813.479999999748543,11184730.250000001862645
FS( 72 ),1513794.830000000307336,1478991.929999999934807,1473846.220000000204891,1202813.570000000065193,1400990.600000000093132,1382033.500000000000000,1462470.500000000000000,1330092.219999999739230,11245033.370000001043081
FS( 73 ),1519288.219999999972060,1486013.530000000027940,1482499.800000000046566,1200142.639999999897555,1408451.050000000046566,1382794.500000000000000,1472869.899999999906868,1340658.879999999888241,11292718.519999999552965
FS( 74 ),1517494.459999999962747,1499266.800000000046566,1475722.899999999906868,1222697.160000000149012,1410900.750000000000000,1395807.599999999860302,1467132.300000000046566,1338668.059999999823049,11327690.030000001192093
FS( 75 ),1521642.530000000027940,1515943.100000000093132,1490944.860000000102445,1223587.469999999972060,1423149.250000000000000,1392307.000000000000000,1413073.350000000093132,1339433.759999999776483,11320081.320000000298023
FS( 76 ),1532629.310000000055879,1540957.550000000046566,1512005.380000000121072,1230413.179999999934807,1425821.649999999906868,1395503.199999999953434,1439520.100000000093132,1346478.199999999953434,11423328.569999998435378
FS( 77 ),1537225.820000000298023,1539202.150000000139698,1514403.360000000102445,1234567.959999999962747,1423706.000000000000000,1415821.899999999906868,1439520.100000000093132,1344640.519999999785796,11449087.810000000521541
FS( 78 ),1530723.440000000176951,1552367.650000000139698,1508773.320000000298023,1236348.579999999841675,1428382.700000000186265,1424573.399999999906868,1457719.050000000046566,1350459.839999999850988,11489347.980000000447035
FS( 79 ),1532180.870000000111759,1557458.309999999823049,1521701.560000000055879,1239909.820000000065193,1432614.000000000000000,1426247.599999999860302,1461842.949999999953434,1354288.339999999850988,11526243.449999999254942
FS( 80 ),1535207.840000000083819,1574924.540000000037253,1514924.660000000149012,1236645.350000000093132,1414129.899999999906868,1422442.599999999860302,1482641.750000000000000,1347703.319999999832362,11528619.960000000894070
FS( 81 ),1535880.500000000232831,1581946.139999999897555,1510858.520000000018626,1245251.679999999934807,1421479.000000000000000,1418181.000000000000000,1482641.750000000000000,1346784.479999999748543,11543023.070000000298023
FS( 82 ),1567271.300000000046566,1614245.500000000000000,1529312.540000000270084,1251187.079999999841675,1437068.000000000232831,1444892.100000000093132,1505592.150000000139698,1362864.179999999701977,11712432.849999999627471
FS( 83 ),1557966.170000000158325,1606170.659999999916181,1542553.560000000055879,1260386.949999999953434,1427937.299999999813735,1445120.399999999906868,1499944.199999999953434,1355819.739999999757856,11695898.980000000447035
FS( 84 ),1567159.190000000176951,1599061.290000000037253,1541093.920000000158325,1260683.719999999972060,1424262.750000000000000,1440706.600000000093132,1507923.050000000046566,1359801.379999999888241,11700691.900000002235174
FS( 85 ),1562226.350000000093132,1588090.040000000037253,1534004.239999999990687,1251780.620000000111759,1425710.300000000046566,1437586.500000000000000,1512405.550000000046566,1362098.479999999748543,11673902.080000001937151
FS( 86 ),1564244.330000000307336,1597656.969999999972060,1522431.380000000121072,1246141.989999999990687,1426155.699999999953434,1439032.400000000139698,1508819.550000000046566,1363936.159999999916181,11668418.480000002309680
FS( 87 ),1558414.610000000102445,1595199.409999999916181,1531814.780000000027940,1246141.989999999990687,1426378.400000000139698,1442228.599999999860302,1505323.199999999953434,1362404.759999999776483,11667905.750000000000000
FS( 88 ),1554827.090000000083819,1584930.319999999832362,1528686.980000000214204,1247329.070000000065193,1426935.149999999906868,1445196.500000000000000,1506219.699999999953434,1364701.859999999869615,11658826.669999999925494
FS( 89 ),1559984.149999999906868,1568517.329999999841675,1531084.959999999962747,1255045.090000000083819,1425153.550000000046566,1455165.600000000093132,1523880.750000000000000,1374196.539999999804422,11693027.969999998807907
FS( 90 ),1560656.810000000055879,1571589.280000000027940,1537132.040000000270084,1247329.070000000065193,1421033.600000000093132,1457524.700000000186265,1525942.700000000186265,1380015.859999999869615,11701224.059999998658895
FS( 91 ),1558302.500000000232831,1568780.639999999897555,1534317.020000000018626,1245548.449999999953434,1423149.250000000000000,1448468.800000000046566,1515632.949999999953434,1371440.019999999785796,11665639.629999998956919
FS( 92 ),1574782.670000000158325,1568605.100000000093132,1542553.560000000055879,1250000.000000000000000,1424040.050000000046566,1455089.500000000000000,1540017.750000000000000,1377106.199999999953434,11732194.829999998211861
FS( 93 ),1577361.200000000186265,1564041.059999999823049,1550685.840000000083819,1253858.010000000009313,1425153.550000000046566,1448316.600000000093132,1535714.550000000046566,1378943.879999999888241,11734074.690000001341105
FS( 94 ),1569513.500000000232831,1580805.129999999888241,1559756.459999999962747,1247329.070000000065193,1432502.649999999906868,1463917.100000000093132,1521370.550000000046566,1382006.679999999701977,11757201.140000000596046
FS( 95 ),1585993.670000000158325,1574573.459999999729916,1540989.660000000149012,1251780.620000000111759,1434061.550000000046566,1468863.599999999860302,1506130.050000000046566,1365773.839999999850988,11728166.450000001117587
FS( 96 ),1567831.850000000093132,1544468.350000000093132,1528582.720000000204891,1261277.260000000009313,1431166.450000000186265,1462166.800000000046566,1503440.550000000046566,1348622.159999999916181,11647556.140000000596046
FS( 97 ),1585545.229999999981374,1553420.889999999897555,1536402.220000000204891,1257716.020000000018626,1437624.750000000000000,1462851.699999999953434,1497434.000000000000000,1355666.599999999860302,11686661.409999998286366
FS( 98 ),1579939.729999999981374,1555878.449999999953434,1542970.600000000093132,1251483.850000000093132,1436511.250000000000000,1462242.899999999906868,1481834.899999999906868,1360873.359999999869615,11671735.039999999105930
FS( 99 ),1576800.649999999906868,1543239.569999999832362,1540051.320000000298023,1250000.000000000000000,1440297.150000000139698,1457448.599999999860302,1479235.050000000046566,1365926.979999999748543,11652999.320000002160668
FS( 100 ),1579491.290000000037253,1545697.129999999888241,1531293.480000000214204,1255935.399999999906868,1441967.400000000139698,1449229.800000000046566,1475649.050000000046566,1362251.619999999878928,11641515.170000001788139
FS( 101 ),1612227.410000000149012,1556756.150000000139698,1534734.060000000055879,1259199.870000000111759,1441521.999999999767169,1453491.400000000139698,1482372.800000000046566,1364855.000000000000000,11705158.690000001341105
FS( 102 ),1615814.930000000167638,1559125.939999999944121,1533065.899999999906868,1258903.100000000093132,1434729.650000000139698,1451132.300000000046566,1465249.650000000139698,1365773.839999999850988,11683795.310000000521541
FS( 103 ),1613684.840000000083819,1562197.889999999897555,1532127.560000000055879,1264244.959999999962747,1440074.449999999953434,1455698.300000000046566,1479145.400000000139698,1363170.459999999962747,11710343.859999999403954
FS( 104 ),1610657.870000000111759,1552367.650000000139698,1530876.440000000176951,1259496.639999999897555,1443303.600000000093132,1456078.800000000046566,1470359.699999999953434,1361026.500000000000000,11684167.200000001117587
FS( 105 ),1611106.310000000055879,1550524.479999999981374,1528686.980000000214204,1258606.329999999841675,1443303.600000000093132,1451436.699999999953434,1484524.400000000139698,1368530.359999999869615,11696719.160000000149012
FS( 106 ),1623102.080000000307336,1568517.329999999841675,1525767.700000000186265,1266619.120000000111759,1439740.399999999906868,1447403.399999999906868,1478966.100000000093132,1359648.239999999757856,11709764.370000001043081
FS( 107 ),1614693.830000000307336,1554298.590000000083819,1528895.500000000000000,1263354.649999999906868,1452211.599999999860302,1447783.900000000139698,1482552.100000000093132,1363476.739999999757856,11707266.910000000149012
FS( 108 ),1610657.870000000111759,1556843.919999999925494,1535151.100000000093132,1266322.350000000093132,1449316.500000000000000,1445120.399999999906868,1482283.150000000139698,1364395.579999999841675,11710090.870000001043081
FS( 109 ),1607070.350000000093132,1569833.879999999888241,1534004.239999999990687,1264541.729999999981374,1447200.850000000093132,1445881.400000000139698,1488379.350000000093132,1359035.679999999701977,11715947.479999998584390
FS( 110 ),1605164.479999999981374,1558511.550000000046566,1545264.320000000298023,1266915.889999999897555,1447423.549999999813735,1443750.600000000093132,1483538.250000000000000,1360873.359999999869615,11711442.000000000000000
FS( 111 ),1587899.540000000037253,1567376.319999999832362,1545160.060000000055879,1266025.579999999841675,1461008.249999999767169,1446490.199999999953434,1486676.000000000232831,1360720.219999999739230,11721356.169999998062849
FS( 112 ),1589805.410000000149012,1545258.280000000027940,1527852.899999999906868,1274335.139999999897555,1461676.349999999860302,1443674.500000000000000,1484255.449999999953434,1358116.839999999850988,11684974.869999997317791
FS( 113 ),1581397.160000000149012,1541484.169999999925494,1521284.520000000018626,1269883.590000000083819,1456108.849999999860302,1435684.000000000000000,1478876.450000000186265,1361026.500000000000000,11645745.239999998360872
FS( 114 ),1590141.740000000223517,1571325.969999999972060,1535880.920000000158325,1278193.149999999906868,1462678.500000000000000,1448697.100000000093132,1498778.750000000000000,1375421.659999999916181,11761117.789999999105930
FS( 115 ),1583078.810000000055879,1561056.879999999888241,1540572.620000000111759,1290360.719999999972060,1473256.750000000232831,1447631.699999999953434,1511419.400000000139698,1374196.539999999804422,11781573.419999999925494
FS( 116 ),1577249.090000000083819,1565884.229999999981374,1534942.580000000074506,1282941.469999999972060,1477042.649999999906868,1444663.800000000046566,1517336.300000000046566,1374502.819999999832362,11774562.940000001341105
FS( 117 ),1596980.450000000186265,1573783.530000000027940,1550581.580000000074506,1278786.690000000176951,1484057.700000000186265,1454785.099999999860302,1537866.149999999906868,1395942.419999999925494,11872783.620000001043081
FS( 118 ),1595074.580000000307336,1583262.689999999944121,1563926.860000000102445,1278193.149999999906868,1485616.599999999860302,1457372.500000000000000,1534459.449999999953434,1395942.419999999925494,11893848.250000000000000
FS( 119 ),1610433.649999999906868,1598008.050000000046566,1583632.000000000000000,1284425.320000000065193,1494747.299999999813735,1478147.799999999813735,1544948.500000000232831,1406662.219999999739230,12001004.839999999850988
FS( 120 ),1620411.440000000176951,1610734.699999999953434,1595517.640000000130385,1279380.229999999981374,1577925.749999999767169,1484996.800000000046566,1560278.649999999906868,1410643.859999999869615,12139889.070000000298023
FS( 121 ),1610882.090000000083819,1594936.100000000093132,1607924.580000000074506,1283238.239999999990687,1568349.650000000139698,1484007.500000000000000,1563326.750000000000000,1406202.799999999813735,12118867.710000000894070
FS( 122 ),1612115.300000000046566,1608189.369999999878928,1627733.980000000214204,1276412.530000000027940,1568683.699999999953434,1492454.600000000093132,1565568.000000000000000,1402833.719999999739230,12153991.199999999254942
FS( 123 ),1610545.760000000242144,1622320.340000000083819,1627525.459999999962747,1280567.310000000055879,1558216.800000000046566,1490323.800000000046566,1567809.250000000000000,1397014.399999999906868,12154323.120000001043081
FS( 124 ),1643393.990000000223517,1600904.459999999729916,1607820.320000000298023,1282644.699999999953434,1571801.500000000000000,1482561.600000000093132,1565209.400000000139698,1397626.959999999962747,12151962.929999999701977
FS( 125 ),1653820.219999999972060,1610120.309999999823049,1615535.560000000055879,1287689.790000000037253,1572692.299999999813735,1495650.800000000046566,1561175.149999999906868,1417228.879999999888241,12213913.010000001639128
FS( 126 ),1648775.270000000018626,1609681.459999999729916,1616056.860000000102445,1285612.399999999906868,1588169.949999999953434,1504021.800000000046566,1546831.149999999906868,1415697.479999999748543,12214846.370000001043081
FS( 127 ),1642833.440000000176951,1606872.819999999832362,1614597.220000000204891,1295702.579999999841675,1597411.999999999767169,1518328.599999999860302,1560099.350000000093132,1418454.000000000000000,12254300.009999999776483
FS( 128 ),1670076.170000000158325,1623900.199999999953434,1623667.840000000083819,1296592.889999999897555,1603090.850000000093132,1517491.500000000000000,1560995.850000000093132,1410337.579999999841675,12306152.879999998956919
FS( 129 ),1715480.719999999972060,1632764.969999999972060,1635762.000000000000000,1302528.290000000037253,1606208.650000000139698,1511784.000000000000000,1563864.650000000139698,1407734.199999999953434,12376127.479999998584390
FS( 130 ),1726467.500000000232831,1640576.500000000000000,1643998.540000000270084,1291251.030000000027940,1607544.850000000093132,1506533.100000000093132,1553106.650000000139698,1408959.319999999832362,12378437.490000000223517
FS( 131 ),1718283.469999999972060,1607838.290000000037253,1648690.239999999990687,1293031.649999999906868,1609326.450000000186265,1496487.899999999906868,1554451.399999999906868,1412787.819999999832362,12340897.220000000670552
FS( 132 ),1726019.060000000055879,1614508.809999999823049,1628568.060000000055879,1295999.350000000093132,1605874.600000000093132,1497325.000000000000000,1553823.850000000093132,1410490.719999999739230,12332609.449999999254942
FS( 133 ),1750122.709999999962747,1608452.679999999934807,1636074.780000000027940,1293625.190000000176951,1618679.850000000093132,1495955.199999999953434,1540286.699999999953434,1420138.539999999804422,12363335.649999998509884
FS( 134 ),1745638.310000000055879,1600904.459999999729916,1640349.440000000176951,1297779.969999999972060,1628924.050000000046566,1504021.800000000046566,1537776.500000000000000,1427795.539999999804422,12383190.069999998435378
