代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12257705.719999998807907
真實報酬,2257705.719999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11451.351742248216397
風險,268292.619449642952532
起點值,0.042682321137789
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](11),MCD[15](4),V[25](1),
FS( 55 ),3459156.599999999627471,3601709.239999999757856,3535353.000000000000000,10596219.839999999850988
FS( 56 ),3383263.000000000000000,3523913.059999999590218,3378787.500000000000000,10285964.559999998658895
FS( 57 ),3350309.199999999254942,3590595.500000000000000,3350167.999999999534339,10291073.699999999254942
FS( 58 ),3359296.599999999627471,3612411.359999999869615,3358585.500000000000000,10330294.459999999031425
FS( 59 ),3448172.000000000000000,3685268.099999999627471,3525252.000000000000000,10658693.099999999627471
FS( 60 ),3479128.600000000093132,3709965.299999999348074,3636363.000000000465661,10825457.900000000372529
FS( 61 ),3394247.600000000093132,3651515.259999999310821,3540403.500000000000000,10586167.359999999403954
FS( 62 ),3420211.199999999720603,3701732.899999999906868,3612794.000000000000000,10734739.099999999627471
FS( 63 ),3482124.399999999441206,3737132.220000000204891,3644780.499999999534339,10864038.119999999180436
FS( 64 ),3488115.999999999534339,3736720.599999999627471,3700336.000000000000000,10925173.599999999627471
FS( 65 ),3518073.999999999534339,3721490.659999999683350,3698652.500000000000000,10938218.160000000149012
FS( 66 ),3518073.999999999534339,3707495.579999999608845,3691918.500000000000000,10917489.079999998211861
FS( 67 ),3482124.399999999441206,3667156.819999999832362,3601009.500000000000000,10750291.719999998807907
FS( 68 ),3467145.399999999441206,3656043.079999999608845,3614477.500000000000000,10737666.979999998584390
FS( 69 ),3535050.199999999720603,3675389.220000000204891,3723905.000000000000000,10934345.419999999925494
FS( 70 ),3554023.600000000093132,3647399.059999999590218,3681817.500000000000000,10883241.160000000149012
FS( 71 ),3464149.599999999627471,3500039.099999999627471,3634679.500000000000000,10598869.199999999254942
FS( 72 ),3464149.599999999627471,3547787.019999999552965,3680134.000000000000000,10692071.619999999180436
FS( 73 ),3450169.199999999254942,3544905.680000000167638,3693602.000000000000000,10688677.879999998956919
FS( 74 ),3484121.599999999627471,3570837.739999999757856,3771042.999999999534339,10826003.339999999850988
FS( 75 ),3546034.799999999348074,3625171.579999999608845,3809763.500000000000000,10980970.879999998956919
FS( 76 ),3557019.399999999441206,3634227.220000000204891,3823231.500000000000000,11014479.119999999180436
FS( 77 ),3519072.600000000093132,3655631.459999999962747,3789561.500000000465661,10964266.560000000521541
FS( 78 ),3528059.999999999534339,3676212.459999999962747,3907406.500000000000000,11111679.959999999031425
FS( 79 ),3459156.599999999627471,3602532.479999999515712,3848484.000000000000000,10910174.079999998211861
FS( 80 ),3386258.799999999348074,3539554.619999999646097,3717170.999999999534339,10642985.419999998062849
FS( 81 ),3366286.799999999813735,3596358.180000000167638,3791245.000000000000000,10753890.980000000447035
FS( 82 ),3433193.000000000000000,3677447.319999999832362,3799662.500000000000000,10910303.820000000298023
FS( 83 ),3473137.000000000000000,3693912.119999999646097,3765992.500000000000000,10933042.619999999180436
FS( 84 ),3398242.000000000000000,3623525.099999999627471,3688551.500000000000000,10710319.599999999627471
FS( 85 ),3448172.000000000000000,3654396.599999999627471,3690235.000000000465661,10792804.599999999627471
FS( 86 ),3373277.000000000000000,3614881.079999999608845,3607743.500000000000000,10595902.580000000074506
FS( 87 ),3266426.799999999813735,3540789.479999999515712,3547137.500000000000000,10354354.779999999329448
FS( 88 ),3257439.399999999441206,3559724.000000000000000,3569023.000000000000000,10386187.399999998509884
FS( 89 ),3272418.399999999906868,3532968.699999999720603,3577440.500000000000000,10382828.599999999627471
FS( 90 ),3265428.200000000186265,3585656.059999999590218,3666666.000000000000000,10517751.259999999776483
FS( 91 ),3290393.200000000186265,3589360.639999999664724,3629629.000000000000000,10509383.839999999850988
FS( 92 ),3340323.200000000186265,3643282.859999999869615,3755891.500000000000000,10739498.560000000521541
FS( 93 ),3335330.199999999720603,3677447.319999999832362,3809763.500000000000000,10822542.019999999552965
FS( 94 ),3369282.600000000093132,3637108.559999999590218,3836699.500000000000000,10843091.660000000149012
FS( 95 ),3365288.200000000186265,3676212.459999999962747,3897305.499999999534339,10938807.160000000149012
FS( 96 ),3387257.399999999906868,3702144.519999999552965,3952861.000000000000000,11042263.919999999925494
FS( 97 ),3345316.199999999720603,3649457.159999999683350,3838383.000000000000000,10833157.359999999403954
FS( 98 ),3332334.399999999441206,3689795.919999999925494,3952861.000000000000000,10974992.320000000298023
FS( 99 ),3347313.399999999906868,3688972.680000000167638,3791245.000000000000000,10827532.080000000074506
FS( 100 ),3351307.799999999813735,3663863.859999999869615,3845117.000000000000000,10860289.660000000149012
FS( 101 ),3405232.199999999720603,3800110.079999999608845,3932659.000000000000000,11138002.279999999329448
FS( 102 ),3389254.599999999627471,3787349.859999999869615,3964645.500000000000000,11141250.959999999031425
FS( 103 ),3343318.999999999534339,3777470.979999999515712,3816497.500000000465661,10937288.479999998584390
FS( 104 ),3369282.600000000093132,3777882.599999999627471,3873736.500000000465661,11020902.699999999254942
FS( 105 ),3423207.000000000000000,3849092.859999999869615,3973063.000000000465661,11245363.859999999403954
FS( 106 ),3442180.399999999441206,3840037.220000000204891,4003366.000000000000000,11285584.619999999180436
FS( 107 ),3411223.799999999348074,3821925.939999999478459,3925925.000000000000000,11159075.739999998360872
FS( 108 ),3347313.399999999906868,3783233.659999999683350,3789561.500000000465661,10920109.560000000521541
FS( 109 ),3384261.599999999627471,3808754.099999999627471,3851851.000000000000000,11044867.699999999254942
FS( 110 ),3428199.999999999534339,3828100.239999999757856,3922558.000000000000000,11178859.239999998360872
FS( 111 ),3384261.599999999627471,3861441.459999999962747,3898989.000000000000000,11144693.059999998658895
FS( 112 ),3405232.199999999720603,3894782.680000000167638,3912456.999999999534339,11212472.879999998956919
FS( 113 ),3428199.999999999534339,3893959.439999999478459,3979797.000000000000000,11301957.439999999478459
FS( 114 ),3347313.399999999906868,3813693.540000000037253,3919191.000000000000000,11080198.939999999478459
FS( 115 ),3365288.200000000186265,3838802.359999999869615,3915824.000000000465661,11119915.560000000521541
FS( 116 ),3401237.799999999813735,3900545.359999999869615,4005049.500000000000000,11306833.660000000149012
FS( 117 ),3385260.199999999720603,3871731.959999999962747,3949494.000000000000000,11206487.160000000149012
FS( 118 ),3395246.199999999720603,3888608.379999999888241,4025251.500000000000000,11309107.080000000074506
FS( 119 ),3346314.799999999348074,3834274.540000000037253,3930975.500000000465661,11111565.839999999850988
FS( 120 ),3326342.799999999813735,3798875.220000000204891,3846800.500000000465661,10972019.519999999552965
FS( 121 ),3365288.200000000186265,3817398.119999999646097,3821548.000000000000000,11004235.320000000298023
FS( 122 ),3293388.999999999534339,3798463.599999999627471,3838383.000000000000000,10930236.599999999627471
FS( 123 ),3294387.600000000093132,3813693.540000000037253,3823231.500000000000000,10931313.640000000596046
FS( 124 ),3239464.599999999627471,3781587.180000000167638,3757575.000000000000000,10778627.779999999329448
FS( 125 ),3232474.399999999441206,3791054.439999999478459,3747474.000000000465661,10771003.839999999850988
FS( 126 ),3254443.600000000093132,3859383.359999999869615,3934342.500000000000000,11048170.460000000894070
FS( 127 ),3305372.199999999720603,3847034.759999999310821,3910773.500000000000000,11063181.459999999031425
FS( 128 ),3357299.399999999441206,3931828.479999999515712,4080806.999999999534339,11369935.879999998956919
FS( 129 ),3337327.399999999906868,3931005.239999999757856,4114477.000000000000000,11382810.640000000596046
FS( 130 ),3314359.599999999627471,3939237.639999999664724,4090908.000000000000000,11344506.239999998360872
FS( 131 ),3311363.799999999348074,3924830.939999999478459,4043770.000000000000000,11279965.739999998360872
FS( 132 ),3329338.600000000093132,3951997.859999999869615,4013467.000000000000000,11294804.460000000894070
FS( 133 ),3334331.599999999627471,3970109.139999999664724,4085857.500000000000000,11390299.239999998360872
FS( 134 ),3332334.399999999441206,3989455.279999999795109,4031985.500000000000000,11353776.179999999701977
FS( 135 ),3373277.000000000000000,4035145.099999999627471,4090908.000000000000000,11499331.099999999627471
FS( 136 ),3340323.200000000186265,4053668.000000000000000,4079123.500000000000000,11473115.699999999254942
FS( 137 ),3319352.600000000093132,4033910.239999999757856,4037036.000000000000000,11390299.839999999850988
FS( 138 ),3308368.000000000000000,4017857.059999999590218,4055554.500000000000000,11381780.559999998658895
FS( 139 ),3340323.200000000186265,4039672.919999999925494,4033669.000000000000000,11413666.120000001043081
FS( 140 ),3367285.399999999441206,4012917.619999999646097,4101009.000000000000000,11481213.019999999552965
FS( 141 ),3364289.599999999627471,4002627.119999999646097,4149830.499999999534339,11516748.219999998807907
FS( 142 ),3415218.200000000186265,4067663.079999999608845,4265992.000000000000000,11748874.279999999329448
FS( 143 ),3473137.000000000000000,4083304.639999999664724,4239056.000000000000000,11795498.640000000596046
FS( 144 ),3455162.199999999720603,4058607.439999999478459,4232322.000000000000000,11746092.639999998733401
FS( 145 ),3492110.399999999441206,4122408.540000000037253,4313130.000000000000000,11927649.939999999478459
FS( 146 ),3489114.599999999627471,4138873.339999999850988,4289561.000000000000000,11917549.939999999478459
FS( 147 ),3471139.799999999348074,4098946.199999999720603,4239056.000000000000000,11809143.000000000000000
FS( 148 ),3503094.999999999534339,4149575.459999999962747,4341749.500000000000000,11994420.959999999031425
FS( 149 ),3494107.600000000093132,4129817.699999999720603,4272726.000000000000000,11896652.300000000745058
FS( 150 ),3502096.399999999906868,4068486.319999999832362,4335015.500000000000000,11905599.219999998807907
FS( 151 ),3480127.199999999720603,4091125.419999999925494,4257574.500000000000000,11828828.119999999180436
FS( 152 ),3464149.599999999627471,4109236.699999999720603,4289561.000000000000000,11862948.299999998882413
FS( 153 ),3442180.399999999441206,4140931.439999999478459,4239056.000000000000000,11822168.839999999850988
FS( 154 ),3442180.399999999441206,4101415.919999999925494,4205386.000000000000000,11748983.320000000298023
FS( 155 ),3462152.399999999906868,4103885.639999999664724,4200335.500000000000000,11766374.539999999105930
FS( 156 ),3398242.000000000000000,4113352.899999999906868,4171716.000000000000000,11683311.900000000372529
FS( 157 ),3373277.000000000000000,4139696.579999999608845,4265992.000000000000000,11778966.580000000074506
FS( 158 ),3344317.600000000093132,4130640.939999999478459,4240739.500000000000000,11715699.039999999105930
FS( 159 ),3362292.399999999906868,4138873.339999999850988,4314813.500000000000000,11815980.240000000223517
FS( 160 ),3375274.199999999254942,4180446.959999999962747,4368685.500000000000000,11924407.660000000149012
FS( 161 ),3368283.999999999534339,4168098.359999999869615,4308079.500000000000000,11844462.859999999403954
FS( 162 ),3400239.199999999254942,4187856.119999999646097,4234005.500000000000000,11822101.819999998435378
FS( 163 ),3422208.399999999906868,4155338.139999999664724,4191917.999999999534339,11769465.539999999105930
FS( 164 ),3390253.200000000186265,4064781.739999999757856,4250840.500000000000000,11705876.439999999478459
FS( 165 ),3417215.399999999441206,4084539.500000000000000,4232322.000000000000000,11734077.899999998509884
FS( 166 ),3396244.799999999348074,4082481.399999999906868,4245790.000000000000000,11724517.199999999254942
FS( 167 ),3367285.399999999441206,4062312.019999999552965,4252524.000000000000000,11682122.419999998062849
FS( 168 ),3368283.999999999534339,4062312.019999999552965,4203702.500000000000000,11634299.519999999552965
FS( 169 ),3372278.399999999906868,4077130.339999999850988,4235689.000000000000000,11685098.740000000223517
FS( 170 ),3387257.399999999906868,4050375.040000000037253,4314813.500000000000000,11752446.939999999478459
FS( 171 ),3387257.399999999906868,4059430.680000000167638,4464645.000000000000000,11911334.080000000074506
FS( 172 ),3399240.599999999627471,4116645.859999999869615,4505049.000000000000000,12020936.459999999031425
FS( 173 ),3397243.399999999906868,4095241.619999999646097,4518517.000000000000000,12011003.019999999552965
FS( 174 ),3423207.000000000000000,4153691.659999999683350,4503365.500000000000000,12080265.160000000149012
FS( 175 ),3412222.399999999906868,4118292.339999999850988,4560604.500000000000000,12091120.240000000223517
FS( 176 ),3394247.600000000093132,4115822.619999999646097,4732321.500000000000000,12242392.719999998807907
FS( 177 ),3392250.399999999441206,4094418.379999999888241,4794611.000000000000000,12281280.779999999329448
FS( 178 ),3417215.399999999441206,4101827.540000000037253,4744106.000000000000000,12263149.939999999478459
FS( 179 ),3440183.200000000186265,4097711.339999999850988,4850166.500000000000000,12388062.039999999105930
FS( 180 ),3415218.200000000186265,4059019.059999999590218,4845116.000000000000000,12319354.259999999776483
FS( 181 ),3438185.999999999534339,4085774.359999999869615,4789560.500000000000000,12313521.859999999403954
FS( 182 ),3448172.000000000000000,4115822.619999999646097,4840065.500000000000000,12404061.119999999180436
FS( 183 ),3436188.799999999348074,4136403.619999999646097,4806395.500000000000000,12378988.919999998062849
FS( 184 ),3458158.000000000000000,4143401.159999999683350,4897304.500000000000000,12498864.660000000149012
FS( 185 ),3454163.600000000093132,4149575.459999999962747,4902355.000000000000000,12506095.060000000521541
FS( 186 ),3445176.199999999720603,4129406.079999999608845,4947809.500000000000000,12522392.779999999329448
FS( 187 ),3437187.399999999906868,4131052.559999999590218,4919190.000000000000000,12487430.959999999031425
FS( 188 ),3437187.399999999906868,4107178.599999999627471,5006732.000000000000000,12551099.000000000000000
FS( 189 ),3488115.999999999534339,4086597.599999999627471,4897304.500000000000000,12472019.099999999627471
FS( 190 ),3475134.199999999254942,4085362.739999999757856,4932658.000000000000000,12493155.939999999478459
FS( 191 ),3454163.600000000093132,4095653.239999999757856,4888887.000000000000000,12438704.839999999850988
FS( 192 ),3457159.399999999441206,4113764.519999999552965,4892254.000000000000000,12463178.919999998062849
FS( 193 ),3433193.000000000000000,4111706.419999999925494,4833331.500000000000000,12378231.919999999925494
FS( 194 ),3435190.199999999720603,4123643.399999999906868,4867001.500000000000000,12425836.099999999627471
FS( 195 ),3459156.599999999627471,3991101.759999999310821,4964644.500000000000000,12414903.859999999403954
FS( 196 ),3471139.799999999348074,3986162.319999999832362,4930974.500000000000000,12388277.619999999180436
FS( 197 ),3503094.999999999534339,3978753.159999999683350,4904038.500000000000000,12385887.660000000149012
FS( 198 ),3508088.000000000000000,3983692.599999999627471,4936025.000000000000000,12427806.599999999627471
FS( 199 ),3506090.799999999813735,4004685.220000000204891,4914139.500000000000000,12424916.519999999552965
FS( 200 ),3512082.399999999906868,4035556.720000000204891,4924240.500000000000000,12471880.620000001043081
FS( 201 ),3503094.999999999534339,4019915.159999999683350,4910772.500000000000000,12433783.660000000149012
FS( 202 ),3515078.200000000186265,4022796.500000000000000,5001681.500000000000000,12539557.199999999254942
FS( 203 ),3525064.199999999254942,4019503.540000000037253,4904038.500000000000000,12448607.239999998360872
FS( 204 ),3551027.799999999813735,3981222.879999999888241,4914139.500000000000000,12446391.179999999701977
FS( 205 ),3566006.799999999813735,3943353.839999999850988,4936025.000000000000000,12445386.640000000596046
FS( 206 ),3569002.600000000093132,3933063.339999999850988,4999998.000000000000000,12502064.939999999478459
FS( 207 ),3589973.200000000186265,3991513.379999999888241,5053870.000000000000000,12635357.580000000074506
FS( 208 ),3588974.599999999627471,4006743.319999999832362,5042085.500000000000000,12637804.419999999925494
FS( 209 ),3627919.999999999534339,3996041.199999999720603,5023567.000000000000000,12647529.199999999254942
FS( 210 ),3685838.799999999348074,4019091.919999999925494,5008415.500000000000000,12713347.219999998807907
FS( 211 ),3695824.799999999348074,4038026.439999999478459,4966328.000000000000000,12700180.239999998360872
FS( 212 ),3701816.399999999906868,4048728.559999999590218,5008415.500000000000000,12758961.459999999031425
FS( 213 ),3682843.000000000000000,4091537.040000000037253,5065654.500000000000000,12840035.539999999105930
FS( 214 ),3667863.999999999534339,4012506.000000000000000,5008415.500000000000000,12688786.500000000000000
FS( 215 ),3668862.600000000093132,4059430.680000000167638,5092590.500000000000000,12820884.780000001192093
FS( 216 ),3638904.599999999627471,4070132.799999999348074,5030301.000000000000000,12739339.399999998509884
FS( 217 ),3595964.799999999348074,4020326.779999999795109,4914139.500000000000000,12530432.079999998211861
FS( 218 ),3600957.799999999813735,4056960.959999999962747,4941075.500000000000000,12598995.259999999776483
FS( 219 ),3605950.799999999813735,4019091.919999999925494,5094274.000000000000000,12719317.719999998807907
FS( 220 ),3591970.399999999441206,3991513.379999999888241,5183499.500000000000000,12766984.279999999329448
FS( 221 ),3616935.399999999441206,3975460.199999999720603,5085856.500000000000000,12678253.099999999627471
FS( 222 ),3692828.999999999534339,3997276.059999999590218,5138045.000000000000000,12828151.059999998658895
FS( 223 ),3703813.600000000093132,4006743.319999999832362,5126260.500000000000000,12836818.419999999925494
FS( 224 ),3685838.799999999348074,3921949.599999999627471,5101008.000000000000000,12708797.399999998509884
FS( 225 ),3701816.399999999906868,3949116.519999999552965,5092590.500000000000000,12743524.419999999925494
FS( 226 ),3679847.199999999720603,3918245.019999999552965,4971378.500000000000000,12569471.719999998807907
FS( 227 ),3700817.799999999813735,3893547.819999999832362,5005048.500000000000000,12599415.119999999180436
FS( 228 ),3741760.399999999441206,3919479.879999999888241,5126260.500000000000000,12787501.779999999329448
FS( 229 ),3779707.199999999720603,3944588.699999999720603,5185183.000000000000000,12909479.899999998509884
FS( 230 ),3826641.399999999906868,4008389.799999999348074,5198651.000000000000000,13033683.199999999254942
FS( 231 ),3810663.799999999348074,4011271.139999999664724,5176765.500000000000000,12998701.439999999478459
FS( 232 ),3841620.399999999441206,4000980.639999999664724,5180132.500000000000000,13022734.539999999105930
FS( 233 ),3852604.999999999534339,4013740.859999999869615,5143095.500000000000000,13009442.359999999403954
FS( 234 ),3866585.399999999441206,3994394.720000000204891,4898988.000000000000000,12759969.119999999180436
FS( 235 ),3844616.199999999720603,3946235.180000000167638,4957910.500000000000000,12748762.879999998956919
FS( 236 ),3858596.599999999627471,3931416.859999999869615,4988213.500000000000000,12778227.959999999031425
FS( 237 ),3851606.399999999906868,3850739.339999999850988,4973062.000000000000000,12675408.740000000223517
FS( 238 ),3833631.599999999627471,3784056.899999999906868,4942759.000000000000000,12560448.500000000000000
FS( 239 ),3865586.799999999813735,3781587.180000000167638,4973062.000000000000000,12620236.980000000447035
FS( 240 ),3868582.600000000093132,3782822.040000000037253,4962961.000000000000000,12614366.640000000596046
FS( 241 ),3838624.599999999627471,3740836.799999999348074,4912456.000000000000000,12491918.399999998509884
FS( 242 ),3822647.000000000000000,3746187.859999999869615,4907405.500000000000000,12476241.359999999403954
FS( 243 ),3811662.399999999906868,3763475.899999999906868,4946126.000000000000000,12521265.300000000745058
FS( 244 ),3750747.799999999813735,3688972.680000000167638,4840065.500000000000000,12279786.980000000447035
FS( 245 ),3697822.000000000000000,3698439.939999999478459,4740739.000000000000000,12137001.939999999478459
FS( 246 ),3720789.799999999348074,3756889.979999999515712,4892254.000000000000000,12369934.779999999329448
FS( 247 ),3704812.199999999720603,3759771.319999999832362,4983163.000000000000000,12447747.519999999552965
FS( 248 ),3704812.199999999720603,3759771.319999999832362,4983163.000000000000000,12447747.519999999552965
FS( 249 ),3772717.000000000000000,3767592.099999999627471,5040402.000000000000000,12580712.099999999627471
FS( 250 ),3756739.399999999441206,3747834.339999999850988,5023567.000000000000000,12528141.739999998360872
FS( 251 ),3767723.999999999534339,3741660.040000000037253,5062287.500000000000000,12571672.539999999105930
FS( 252 ),3747752.000000000000000,3709142.059999999590218,4944442.500000000000000,12401337.559999998658895
FS( 253 ),3731774.399999999441206,3677447.319999999832362,4848483.000000000000000,12257705.719999998807907
