代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13552508.039999999105930
真實報酬,3552508.039999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12502.028224211175257
風險,179870.903819120227126
起點值,0.069505561815508
找到最佳解世代,3555
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](1),V[25](3),WMT[28](7),
FS( 35 ),3522666.340000000316650,3256022.639999999664724,3424597.319999999832362,10203287.300000000745058
FS( 36 ),3529408.180000000167638,3316526.400000000372529,3462080.879999999888241,10308016.460000000894070
FS( 37 ),3529408.180000000167638,3316526.400000000372529,3462080.879999999888241,10308016.460000000894070
FS( 38 ),3550195.520000000018626,3354621.360000000335276,3534875.039999999571592,10439692.919999999925494
FS( 39 ),3517048.140000000130385,3343416.959999999962747,3547912.799999999813735,10408378.899999998509884
FS( 40 ),3532779.100000000093132,3369187.080000000074506,3568012.680000000167638,10469979.859999999403954
FS( 41 ),3477158.919999999925494,3290756.280000000260770,3554974.919999999925494,10322891.120000001043081
FS( 42 ),3510868.120000000111759,3226891.200000000186265,3575618.039999999571592,10313378.359999999403954
FS( 43 ),3403560.500000000000000,3143978.639999999664724,3560950.559999999590218,10108490.699999999254942
FS( 44 ),3392324.100000000093132,3197759.759999999776483,3584853.119999999646097,10174937.979999998584390
FS( 45 ),3415920.539999999571592,3187675.799999999813735,3558234.359999999869615,10161831.699999999254942
FS( 46 ),3463113.419999999925494,3259383.959999999962747,3581593.680000000167638,10304092.060000000521541
FS( 47 ),3478282.559999999590218,3271708.799999999813735,3578334.240000000223517,10328326.599999999627471
FS( 48 ),3491204.419999999925494,3266106.599999999627471,3705995.639999999664724,10463307.660000000149012
FS( 49 ),3458618.859999999869615,3259383.959999999962747,3668512.080000000074506,10386515.900000000372529
FS( 50 ),3479968.020000000018626,3281792.759999999776483,3678833.639999999664724,10440595.419999998062849
FS( 51 ),3463675.239999999757856,3219048.120000000111759,3643523.039999999571592,10326247.399999998509884
FS( 52 ),3546262.779999999795109,3262745.280000000260770,3673944.479999999515712,10482953.539999999105930
FS( 53 ),3562555.559999999590218,3316526.400000000372529,3680463.359999999869615,10559546.320000000298023
FS( 54 ),3543453.680000000167638,3364705.320000000298023,3700563.240000000223517,10608723.240000000223517
FS( 55 ),3564802.840000000316650,3399438.959999999962747,3683722.799999999813735,10647965.600000001490116
FS( 56 ),3587275.640000000130385,3434172.599999999627471,3722292.839999999850988,10743742.080000000074506
FS( 57 ),3515924.500000000000000,3346778.280000000260770,3677747.160000000149012,10540450.940000001341105
FS( 58 ),3559184.640000000130385,3500278.560000000055879,3656017.559999999590218,10715481.759999999776483
FS( 59 ),3491766.239999999757856,3397198.080000000074506,3703822.680000000167638,10592788.000000000000000
FS( 60 ),3491766.239999999757856,3449858.759999999776483,3725552.279999999795109,10667178.279999999329448
FS( 61 ),3529970.000000000000000,3457701.839999999850988,3726095.520000000018626,10713768.359999999403954
FS( 62 ),3531093.640000000130385,3403920.719999999739230,3710341.559999999590218,10645356.919999998062849
FS( 63 ),3586713.820000000298023,3463304.040000000037253,3787481.639999999664724,10837500.500000000000000
FS( 64 ),3591208.379999999888241,3547337.040000000037253,3767381.759999999776483,10905928.179999999701977
FS( 65 ),3603006.599999999627471,3539493.959999999962747,3843435.359999999869615,10985936.919999999925494
FS( 66 ),3593455.660000000149012,3557421.000000000000000,3861362.279999999795109,11012239.939999999478459
FS( 67 ),3554128.259999999776483,3509242.080000000074506,3876573.000000000000000,10939944.339999999850988
FS( 68 ),3543453.680000000167638,3463304.040000000037253,3898302.600000000093132,10905061.320000000298023
FS( 69 ),3551319.160000000149012,3425209.080000000074506,3917316.000000000000000,10893845.240000000223517
FS( 70 ),3513115.399999999906868,3382632.360000000335276,3925464.600000000093132,10821213.359999999403954
FS( 71 ),3496822.620000000111759,3435293.040000000037253,3928180.799999999813735,10860297.460000000894070
FS( 72 ),3546824.600000000093132,3475628.879999999888241,3975442.680000000167638,10997897.160000000149012
FS( 73 ),3514239.039999999571592,3561902.759999999776483,3964577.879999999888241,11040720.679999999701977
FS( 74 ),3556937.359999999869615,3592154.640000000130385,3971096.759999999776483,11120189.759999999776483
FS( 75 ),3595702.939999999944121,3580950.240000000223517,3957515.759999999776483,11134169.939999999478459
FS( 76 ),3578286.520000000018626,3512603.400000000372529,3885808.080000000074506,10976699.000000000000000
FS( 77 ),3523228.160000000149012,3522687.360000000335276,3924921.359999999869615,10970837.880000000819564
FS( 78 ),3468731.620000000111759,3486833.280000000260770,3903191.759999999776483,10858757.660000000149012
FS( 79 ),3420976.919999999925494,3435293.040000000037253,3918945.719999999739230,10775216.679999999701977
FS( 80 ),3426033.299999999813735,3422968.200000000186265,3915686.279999999795109,10764688.779999999329448
FS( 81 ),3461427.959999999962747,3550698.360000000335276,4002061.439999999944121,11014188.759999999776483
FS( 82 ),3523789.979999999981374,3616804.320000000298023,4048236.839999999850988,11188832.140000000596046
FS( 83 ),3551319.160000000149012,3664983.240000000223517,4073225.879999999888241,11289529.280000001192093
FS( 84 ),3519857.239999999757856,3615683.880000000353903,4043347.680000000167638,11178889.800000000745058
FS( 85 ),3559184.640000000130385,3570866.280000000260770,3999345.240000000223517,11129397.160000000149012
FS( 86 ),3532217.279999999795109,3621286.080000000074506,4022704.559999999590218,11176208.919999998062849
FS( 87 ),3579410.160000000149012,3668344.560000000055879,4049866.559999999590218,11297622.280000001192093
FS( 88 ),3568735.580000000074506,3670585.439999999944121,4035199.080000000074506,11274521.099999999627471
FS( 89 ),3560308.279999999795109,3652658.400000000372529,4019445.119999999646097,11232412.799999998882413
FS( 90 ),3585028.359999999869615,3673946.759999999776483,4036828.799999999813735,11295804.919999998062849
FS( 91 ),3589522.919999999925494,3599997.720000000204891,4011839.759999999776483,11201361.400000000372529
FS( 92 ),3594579.299999999813735,3615683.880000000353903,4002604.680000000167638,11212868.859999999403954
FS( 93 ),3580533.799999999813735,3594395.520000000018626,3987393.959999999962747,11162324.280000001192093
FS( 94 ),3569859.219999999739230,3638092.679999999701977,4020531.600000000093132,11228484.500000000000000
FS( 95 ),3581657.439999999944121,3615683.880000000353903,4044434.160000000149012,11241776.480000000447035
FS( 96 ),3597388.399999999906868,3632490.479999999981374,3919488.959999999962747,11149368.839999999850988
FS( 97 ),3659188.599999999627471,3604479.479999999981374,3910797.119999999646097,11174466.199999999254942
FS( 98 ),3687841.419999999925494,3589913.759999999776483,3927637.559999999590218,11205393.739999998360872
FS( 99 ),3664806.800000000279397,3571986.719999999739230,3880375.680000000167638,11117170.199999999254942
FS( 100 ),3677166.840000000316650,3588793.320000000298023,3898845.839999999850988,11164807.000000000000000
FS( 101 ),3640648.539999999571592,3561902.759999999776483,3887437.799999999813735,11089990.099999997764826
FS( 102 ),3674357.740000000223517,3548457.479999999981374,3917316.000000000000000,11140132.220000000670552
FS( 103 ),3661997.700000000186265,3576468.479999999981374,3938502.359999999869615,11176969.539999999105930
FS( 104 ),3642895.820000000298023,3568625.400000000372529,3933613.199999999720603,11145135.419999999925494
FS( 105 ),3640648.539999999571592,3586552.439999999944121,3953169.839999999850988,11180371.820000000298023
FS( 106 ),3623232.119999999646097,3549577.919999999925494,3924921.359999999869615,11097732.399999998509884
FS( 107 ),3637277.619999999646097,3592154.640000000130385,3943934.759999999776483,11173368.019999999552965
FS( 108 ),3631659.419999999925494,3599997.720000000204891,3993369.600000000093132,11225027.740000000223517
FS( 109 ),3625479.399999999906868,3574227.599999999627471,3995542.559999999590218,11195250.559999998658895
FS( 110 ),3670986.820000000298023,3628008.720000000204891,4063990.799999999813735,11362987.339999999850988
FS( 111 ),3663683.159999999683350,3633610.919999999925494,4010210.039999999571592,11307505.119999999180436
FS( 112 ),3669301.359999999869615,3604479.479999999981374,3993369.600000000093132,11267151.439999999478459
FS( 113 ),3761439.840000000316650,3682910.279999999795109,4023247.799999999813735,11467598.919999999925494
FS( 114 ),3794587.220000000204891,3738932.279999999795109,4023791.039999999571592,11557311.539999999105930
FS( 115 ),3845712.840000000316650,3780388.560000000055879,4081917.719999999739230,11708020.120000001043081
FS( 116 ),3853016.500000000000000,3760220.640000000130385,4047150.359999999869615,11660388.500000000000000
FS( 117 ),3847398.300000000279397,3750136.679999999701977,4019445.119999999646097,11616981.099999999627471
FS( 118 ),3846274.659999999683350,3744534.479999999981374,4017272.160000000149012,11608082.300000000745058
FS( 119 ),3833352.800000000279397,3775906.800000000279397,4040088.240000000223517,11649348.839999999850988
FS( 120 ),3845712.840000000316650,3770304.599999999627471,4060731.359999999869615,11676749.799999998882413
FS( 121 ),3854701.959999999962747,3781509.000000000000000,4044434.160000000149012,11680646.120000001043081
FS( 122 ),3844027.379999999888241,3746775.359999999869615,4060188.119999999646097,11650991.859999999403954
FS( 123 ),3847398.300000000279397,3769184.160000000149012,4034112.600000000093132,11650696.060000000521541
FS( 124 ),3808070.899999999906868,3712041.720000000204891,4030309.919999999925494,11550423.539999999105930
FS( 125 ),3843465.559999999590218,3751257.119999999646097,4018901.879999999888241,11613625.559999998658895
FS( 126 ),3835038.260000000242144,3761341.080000000074506,4009123.559999999590218,11605503.899999998509884
FS( 127 ),3880545.679999999701977,3829687.919999999925494,4022704.559999999590218,11732939.160000000149012
FS( 128 ),3859758.340000000316650,3809520.000000000000000,4006407.359999999869615,11675686.699999999254942
FS( 129 ),3877174.760000000242144,3880107.720000000204891,4030853.160000000149012,11788136.640000000596046
FS( 130 ),3892343.899999999906868,3912600.479999999981374,4059101.639999999664724,11864047.019999999552965
FS( 131 ),3908074.859999999869615,3929407.080000000074506,4081374.479999999515712,11918857.419999998062849
FS( 132 ),3906951.220000000204891,3885709.919999999925494,4087893.359999999869615,11880555.500000000000000
FS( 133 ),3894591.179999999701977,3830808.359999999869615,4027593.719999999739230,11752994.259999997913837
FS( 134 ),3899085.740000000223517,3848735.400000000372529,4097128.439999999944121,11844950.580000000074506
FS( 135 ),3885602.059999999590218,3894673.439999999944121,4074855.600000000093132,11855132.099999999627471
FS( 136 ),3860881.979999999981374,3896914.320000000298023,4118314.799999999813735,11876112.100000001490116
FS( 137 ),3920996.720000000204891,3918202.679999999701977,4191108.959999999962747,12030309.359999999403954
FS( 138 ),3960324.119999999646097,3954056.759999999776483,4178071.199999999720603,12092453.079999998211861
FS( 139 ),4010326.099999999627471,3993272.160000000149012,4184590.080000000074506,12188189.339999999850988
FS( 140 ),4154152.020000000018626,3974224.679999999701977,4159057.799999999813735,12287435.500000000000000
FS( 141 ),4129993.760000000242144,3920443.560000000055879,4107993.240000000223517,12158431.560000000521541
FS( 142 ),4156961.119999999646097,3893553.000000000000000,4109622.959999999962747,12160138.079999998211861
FS( 143 ),4122690.099999999627471,3827447.039999999571592,4061274.600000000093132,12011412.739999998360872
FS( 144 ),4111453.700000000186265,3822965.279999999795109,4064534.039999999571592,11998954.019999999552965
FS( 145 ),4051900.780000000260770,3853217.160000000149012,4091696.039999999571592,11996814.980000000447035
FS( 146 ),4020438.859999999869615,3874505.520000000018626,4080288.000000000000000,11975233.379999998956919
FS( 147 ),3985606.020000000018626,3886830.359999999869615,4075398.839999999850988,11947836.219999998807907
FS( 148 ),3945716.800000000279397,4030246.679999999701977,3990110.160000000149012,11966074.640000000596046
FS( 149 ),3911445.780000000260770,4016801.400000000372529,3953169.839999999850988,11881418.019999999552965
FS( 150 ),3882792.959999999962747,3964140.720000000204891,3973269.719999999739230,11820204.399999998509884
FS( 151 ),3942345.879999999888241,4030246.679999999701977,4006950.600000000093132,11979544.160000000149012
FS( 152 ),3860320.159999999683350,3993272.160000000149012,3971640.000000000000000,11825233.320000000298023
FS( 153 ),3876612.939999999944121,3979826.880000000353903,3937415.879999999888241,11793856.699999999254942
FS( 154 ),3875489.300000000279397,4003356.119999999646097,3928180.799999999813735,11807027.219999998807907
FS( 155 ),3844589.200000000186265,4012319.640000000130385,3937415.879999999888241,11794325.719999998807907
FS( 156 ),3833352.800000000279397,3989910.839999999850988,3901018.799999999813735,11724283.440000001341105
FS( 157 ),3824363.679999999701977,3920443.560000000055879,3873856.799999999813735,11618665.039999999105930
FS( 158 ),3838409.179999999701977,3921564.000000000000000,3733157.639999999664724,11493131.820000000298023
FS( 159 ),3856949.240000000223517,3997753.919999999925494,3695674.080000000074506,11550378.240000000223517
FS( 160 ),3906951.220000000204891,4079546.039999999571592,3749454.839999999850988,11735953.099999999627471
FS( 161 ),3912569.419999999925494,4099713.960000000428408,3748368.359999999869615,11760652.740000000223517
FS( 162 ),3945154.979999999981374,4108677.479999999981374,3742392.719999999739230,11796226.179999999701977
FS( 163 ),4004146.079999999608845,4149013.320000000298023,3813557.160000000149012,11966717.560000000521541
FS( 164 ),3981111.459999999962747,4124363.640000000130385,3797803.199999999720603,11903279.299999998882413
FS( 165 ),3979426.000000000000000,4112038.800000000279397,3775530.359999999869615,11866996.160000000149012
FS( 166 ),3986729.659999999683350,4125484.080000000074506,3833113.799999999813735,11945328.539999999105930
FS( 167 ),3999089.700000000186265,4151254.199999999720603,3847781.279999999795109,11998126.179999999701977
FS( 168 ),3978864.179999999701977,4193830.919999999925494,3912426.839999999850988,12085122.939999999478459
FS( 169 ),3986167.840000000316650,4163579.039999999571592,3875486.520000000018626,12025234.400000000372529
FS( 170 ),3962571.399999999906868,4134447.599999999627471,3917859.240000000223517,12014879.240000000223517
FS( 171 ),4157522.939999999944121,4147892.880000000353903,3892326.959999999962747,12197743.780000001192093
FS( 172 ),4109768.240000000223517,4159097.279999999795109,3889067.520000000018626,12157934.039999999105930
FS( 173 ),4123251.919999999925494,4161338.160000000149012,3927094.320000000298023,12211685.400000000372529
FS( 174 ),4120442.820000000298023,4164699.479999999981374,3919488.959999999962747,12204632.260000001639128
FS( 175 ),4125499.200000000186265,4171422.119999999646097,3851040.719999999739230,12147963.039999999105930
FS( 176 ),4118757.359999999869615,4142290.679999999701977,3745108.919999999925494,12006157.959999999031425
FS( 177 ),4114262.800000000279397,4123243.199999999720603,3750541.320000000298023,11988048.320000000298023
FS( 178 ),4122128.280000000260770,4113159.240000000223517,3734787.359999999869615,11970075.880000000819564
FS( 179 ),4168197.520000000018626,4177024.320000000298023,3759233.160000000149012,12104456.000000000000000
FS( 180 ),4176063.000000000000000,4221841.919999999925494,3775530.359999999869615,12173436.279999999329448
FS( 181 ),4125499.200000000186265,4178144.759999999776483,3722292.839999999850988,12025937.800000000745058
FS( 182 ),4147410.179999999701977,4271141.279999999329448,3748368.359999999869615,12166920.819999998435378
FS( 183 ),4091228.179999999701977,4222962.359999999403954,3729354.959999999962747,12043546.500000000000000
FS( 184 ),4065384.459999999962747,4235287.199999999254942,3725009.039999999571592,12025681.699999999254942
FS( 185 ),4060328.079999999608845,4194951.359999999403954,3693501.119999999646097,11948781.559999998658895
FS( 186 ),4035046.179999999701977,4184867.400000000372529,3704365.919999999925494,11924280.500000000000000
FS( 187 ),4002460.619999999646097,4163579.039999999571592,3672858.000000000000000,11838898.660000000149012
FS( 188 ),4035046.179999999701977,4246491.599999999627471,3706538.879999999888241,11988077.660000000149012
FS( 189 ),4093475.459999999962747,4352933.400000000372529,3761406.119999999646097,12207815.979999998584390
FS( 190 ),4124937.379999999888241,4356294.720000000670552,3737503.559999999590218,12218736.660000000149012
FS( 191 ),4160893.859999999869615,4391028.359999999403954,3751627.799999999813735,12303551.019999999552965
FS( 192 ),4104711.859999999869615,4422400.679999999701977,3715773.959999999962747,12242887.500000000000000
FS( 193 ),4112015.520000000018626,4463856.959999999962747,3726095.520000000018626,12301969.000000000000000
FS( 194 ),4154152.020000000018626,4532203.800000000745058,3725009.039999999571592,12411365.859999999403954
FS( 195 ),4182804.840000000316650,4496349.720000000670552,3713601.000000000000000,12392756.560000000521541
FS( 196 ),4205277.639999998733401,4514276.759999999776483,3728268.479999999515712,12447823.879999998956919
FS( 197 ),4210895.839999999850988,4499711.040000000037253,3710341.559999999590218,12420949.439999997615814
FS( 198 ),4245166.859999999403954,4494108.839999999850988,3747281.879999999888241,12486558.579999998211861
FS( 199 ),4244605.039999999105930,4487386.199999999254942,3759776.399999999441206,12491768.639999996870756
FS( 200 ),4264268.740000000223517,4478422.679999999701977,3740219.759999999776483,12482912.179999999701977
FS( 201 ),4287303.359999999403954,4433605.080000000074506,3759233.160000000149012,12480142.599999999627471
FS( 202 ),4379441.839999999850988,4454893.439999999478459,3779876.279999999795109,12614212.559999998658895
FS( 203 ),4362025.419999999925494,4454893.439999999478459,3774987.119999999646097,12591906.979999998584390
FS( 204 ),4387307.320000000298023,4469459.160000000149012,3791284.320000000298023,12648051.800000000745058
FS( 205 ),4401914.639999998733401,4477302.240000000223517,3748368.359999999869615,12627586.239999998360872
FS( 206 ),4345732.639999998733401,4379823.959999999962747,3767381.759999999776483,12492939.359999997541308
FS( 207 ),4371576.359999999403954,4388787.480000000447035,3796716.719999999739230,12557081.559999998658895
FS( 208 ),4358654.500000000000000,4341729.000000000000000,3789111.359999999869615,12489495.859999999403954
FS( 209 ),4408094.660000000149012,4423521.120000000111759,3799976.160000000149012,12631592.940000001341105
FS( 210 ),4488434.919999999925494,4441448.160000000149012,3829311.119999999646097,12759195.199999999254942
FS( 211 ),4382250.939999999478459,4387667.040000000037253,3782592.479999999515712,12552511.460000000894070
FS( 212 ),4418769.240000000223517,4468338.720000000670552,3844521.839999999850988,12731630.800000000745058
FS( 213 ),4436185.660000000149012,4505313.240000000223517,3873856.799999999813735,12815356.699999999254942
FS( 214 ),4445174.779999999329448,4399991.879999999888241,3869510.879999999888241,12714678.539999999105930
FS( 215 ),4430567.459999999031425,4420159.800000000745058,3883091.879999999888241,12733820.140000000596046
FS( 216 ),4450231.160000000149012,4378703.519999999552965,3878745.959999999962747,12707681.640000000596046
FS( 217 ),4488996.740000000223517,4392148.800000000745058,3878745.959999999962747,12759892.500000000000000
FS( 218 ),4494053.119999999180436,4335006.359999999403954,3878202.719999999739230,12707263.199999999254942
FS( 219 ),4513716.820000000298023,4368619.560000000521541,3847238.039999999571592,12729575.419999999925494
FS( 220 ),4516525.919999999925494,4425762.000000000000000,3764665.559999999590218,12706954.480000000447035
FS( 221 ),4528324.139999998733401,4414557.599999999627471,3735330.600000000093132,12678213.339999997988343
FS( 222 ),4500794.959999999031425,4352933.400000000372529,3759776.399999999441206,12613505.759999997913837
FS( 223 ),4515964.099999999627471,4410075.839999999850988,3816816.600000000093132,12742857.539999999105930
FS( 224 ),4551358.759999999776483,4466097.839999999850988,3824421.959999999962747,12841879.559999998658895
FS( 225 ),4452478.439999999478459,4366378.679999999701977,3826594.919999999925494,12645453.039999999105930
FS( 226 ),4496862.220000000670552,4421280.240000000223517,3862992.000000000000000,12781135.460000000894070
FS( 227 ),4538436.900000000372529,4478422.679999999701977,3892870.199999999720603,12909730.779999999329448
FS( 228 ),4518211.380000000819564,4443689.040000000037253,3845065.080000000074506,12806966.500000001862645
FS( 229 ),4533380.519999999552965,4428002.879999999888241,3897216.119999999646097,12858600.519999997690320
FS( 230 ),4523829.580000000074506,4468338.720000000670552,3979788.600000000093132,12971957.900000000372529
FS( 231 ),4576640.660000000149012,4489627.080000000074506,4004777.639999999664724,13071046.379999998956919
FS( 232 ),4554729.679999999701977,4512035.879999999888241,3986307.479999999515712,13053074.039999999105930
FS( 233 ),4562033.339999999850988,4496349.720000000670552,3983048.039999999571592,13041432.099999999627471
FS( 234 ),4587315.240000000223517,4500831.480000000447035,3967294.080000000074506,13055441.800000000745058
FS( 235 ),4592933.439999999478459,4515397.199999999254942,3964577.879999999888241,13072909.519999999552965
FS( 236 ),4592371.619999999180436,4476181.800000000745058,3998258.759999999776483,13066813.179999999701977
FS( 237 ),4613720.779999999329448,4463856.959999999962747,4000974.959999999962747,13078553.699999999254942
FS( 238 ),4627204.459999999031425,4500831.480000000447035,3977615.639999999664724,13105652.579999998211861
FS( 239 ),4622709.900000000372529,4441448.160000000149012,3938502.359999999869615,13002661.419999999925494
FS( 240 ),4636755.400000000372529,4428002.879999999888241,3924921.359999999869615,12989680.640000000596046
FS( 241 ),4673835.519999999552965,4369740.000000000000000,3935786.160000000149012,12979362.679999999701977
FS( 242 ),4710353.820000000298023,4462736.519999999552965,3965121.119999999646097,13138212.459999999031425
FS( 243 ),4705297.439999999478459,4420159.800000000745058,3972726.479999999515712,13098184.719999998807907
FS( 244 ),4701926.519999999552965,4484024.879999999888241,4035199.080000000074506,13221151.479999998584390
FS( 245 ),4683948.279999999329448,4593828.000000000000000,4066163.759999999776483,13343941.039999999105930
FS( 246 ),4683386.459999999031425,4691306.279999999329448,4061817.839999999850988,13436511.579999998211861
FS( 247 ),4683948.279999999329448,4724919.480000000447035,4062361.080000000074506,13471229.839999999850988
FS( 248 ),4730017.519999999552965,4757412.240000000223517,4065077.279999999795109,13552508.039999999105930
