代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12201967.779999999329448
真實報酬,2201967.779999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8493.615979274194615
風險,243926.541971877770266
起點值,0.034820384492039
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,4
AAPL[0](2),IBM[10](1),MCD[15](10),VZ[26](4),
FS( 21 ),2557521.359999999869615,2539122.859999999869615,2420231.629999999888241,2748065.590000000316650,10264941.439999999478459
FS( 22 ),2548671.919999999459833,2540680.850000000093132,2420231.629999999888241,2765066.970000000204891,10274651.369999999180436
FS( 23 ),2603980.919999999459833,2553144.770000000018626,2415186.989999999757856,2815298.320000000298023,10387611.000000000000000
FS( 24 ),2617808.169999999459833,2555914.529999999795109,2342985.580000000074506,2871711.989999999757856,10388420.269999999552965
FS( 25 ),2638825.589999999850988,2545701.040000000502914,2354020.729999999515712,2911124.280000000260770,10449671.640000000596046
FS( 26 ),2637166.319999999832362,2573571.750000000000000,2339832.679999999701977,2799842.520000000018626,10350413.269999999552965
FS( 27 ),2655971.379999999888241,2560934.720000000204891,2344877.319999999832362,2776658.820000000298023,10338442.240000000223517
FS( 28 ),2705749.479999999981374,2555914.529999999795109,2319338.830000000074506,2775886.030000000260770,10356888.870000001043081
FS( 29 ),2699665.489999999757856,2549682.570000000298023,2330058.689999999944121,2732609.790000000037253,10312016.539999999105930
FS( 30 ),2721236.000000000000000,2581188.590000000316650,2320599.989999999757856,2741110.479999999981374,10364135.060000000521541
FS( 31 ),2731191.619999999646097,2576341.510000000242144,2291278.020000000018626,2766612.549999999813735,10365423.699999999254942
FS( 32 ),2753315.219999999739230,2596768.490000000223517,2335103.330000000074506,2740337.689999999944121,10425524.730000000447035
FS( 33 ),2691369.139999999664724,2608020.640000000130385,2354651.310000000055879,2655330.790000000037253,10309371.879999998956919
FS( 34 ),2677541.889999999664724,2695268.080000000074506,2375775.739999999757856,2673877.750000000000000,10422463.459999999031425
FS( 35 ),2628869.969999999739230,2697172.290000000502914,2369785.229999999515712,2674650.540000000037253,10370478.029999999329448
FS( 36 ),2581304.229999999981374,2691978.990000000223517,2365055.879999999888241,2700925.400000000372529,10339264.500000000000000
FS( 37 ),2666480.089999999850988,2763473.419999999925494,2376721.609999999869615,2723336.310000000055879,10530011.429999999701977
FS( 38 ),2697453.129999999888241,2794806.330000000074506,2379874.509999999776483,2765839.760000000242144,10637973.730000000447035
FS( 39 ),2716811.279999999795109,2787881.930000000167638,2370100.520000000018626,2812979.950000000186265,10687773.679999999701977
FS( 40 ),2711833.469999999739230,2788401.260000000242144,2344246.739999999757856,2819935.060000000055879,10664416.530000001192093
FS( 41 ),2655418.289999999571592,2756202.800000000279397,2310510.709999999962747,2753475.120000000111759,10475606.919999999925494
FS( 42 ),2680860.429999999701977,2804500.490000000223517,2322807.020000000018626,2752702.330000000074506,10560870.269999999552965
FS( 43 ),2726213.809999999590218,2831505.650000000372529,2316501.219999999739230,2802933.680000000167638,10677154.359999999403954
FS( 44 ),2720682.909999999683350,2827004.790000000502914,2321861.149999999906868,2794432.989999999757856,10663981.839999999850988
FS( 45 ),2713492.739999999757856,2830986.320000000298023,2327851.659999999683350,2811434.370000000111759,10683765.089999999850988
FS( 46 ),2737828.699999999720603,2839122.490000000223517,2334788.039999999571592,2806024.840000000316650,10717764.069999998435378
FS( 47 ),2780416.629999999888241,2853317.510000000242144,2315870.640000000130385,2783613.930000000167638,10733218.710000000894070
FS( 48 ),2806411.859999999869615,2874610.040000000502914,2376091.029999999795109,2808343.210000000428408,10865456.140000000596046
FS( 49 ),2830194.729999999981374,2850374.640000000130385,2394062.560000000055879,2834618.070000000298023,10909250.000000000000000
FS( 50 ),2801434.049999999813735,2840680.480000000447035,2388702.629999999888241,2814525.530000000260770,10845342.690000001341105
FS( 51 ),2819686.019999999552965,2836525.840000000316650,2400683.649999999906868,2812207.160000000149012,10869102.669999999925494
FS( 52 ),2837937.989999999757856,2825619.910000000149012,2403836.549999999813735,2774340.450000000186265,10841734.900000000372529
FS( 53 ),2843468.889999999664724,2819041.730000000447035,2400998.939999999944121,2817616.689999999944121,10881126.250000000000000
FS( 54 ),2869464.119999999646097,2828735.890000000130385,2396900.169999999925494,2795205.780000000260770,10890305.960000000894070
FS( 55 ),2831300.909999999683350,2843277.130000000353903,2395639.009999999776483,2810661.580000000074506,10880878.629999998956919
FS( 56 ),2769907.919999999459833,2853663.730000000447035,2400368.359999999869615,2829981.330000000074506,10853921.339999999850988
FS( 57 ),2675329.529999999795109,2803634.939999999944121,2386810.890000000130385,2782068.350000000093132,10647843.709999999031425
FS( 58 ),2707408.750000000000000,2772994.470000000204891,2370731.099999999627471,2767385.340000000316650,10618519.660000000149012
FS( 59 ),2709068.019999999552965,2783207.960000000428408,2371361.679999999701977,2749611.169999999925494,10613248.830000000074506
FS( 60 ),2751102.859999999869615,2809347.570000000298023,2347084.349999999627471,2779749.979999999981374,10687284.759999999776483
FS( 61 ),2790925.339999999850988,2802423.169999999925494,2386180.310000000055879,2853165.030000000260770,10832693.850000001490116
FS( 62 ),2759952.299999999813735,2769359.160000000149012,2361272.399999999906868,2783613.930000000167638,10674197.789999999105930
FS( 63 ),2782075.899999999441206,2772648.250000000000000,2354966.599999999627471,2808343.210000000428408,10718033.959999999031425
FS( 64 ),2841256.529999999795109,2830120.770000000018626,2403836.549999999813735,2809888.790000000037253,10885102.640000000596046
FS( 65 ),2844575.069999999832362,2801557.620000000577420,2397215.459999999962747,2788250.669999999925494,10831598.820000000298023
FS( 66 ),2808071.129999999888241,2768666.720000000204891,2405413.000000000000000,2782841.140000000130385,10764991.990000000223517
FS( 67 ),2810836.579999999608845,2809347.570000000298023,2381766.250000000000000,2819162.270000000018626,10821112.669999999925494
FS( 68 ),2784841.349999999627471,2871320.950000000651926,2389333.209999999962747,2832299.700000000186265,10877795.210000000894070
FS( 69 ),2738934.879999999888241,2804846.710000000428408,2417709.310000000055879,2812979.950000000186265,10774470.850000001490116
FS( 70 ),2780969.719999999739230,2811944.220000000204891,2419285.759999999776483,2770476.500000000000000,10782676.199999999254942
FS( 71 ),2793690.789999999571592,2793940.779999999795109,2385865.020000000018626,2718699.570000000298023,10692196.160000000149012
FS( 72 ),2729532.349999999627471,2752913.710000000428408,2368524.069999999832362,2694743.080000000074506,10545713.210000000894070
FS( 73 ),2607299.459999999962747,2648701.490000000223517,2313663.609999999869615,2650694.049999999813735,10220358.609999999403954
FS( 74 ),2644356.489999999757856,2669128.470000000204891,2314294.189999999944121,2730291.419999999925494,10358070.570000000298023
FS( 75 ),2612830.359999999869615,2698730.279999999795109,2301367.299999999813735,2769703.710000000428408,10382631.650000000372529
FS( 76 ),2680860.429999999701977,2729716.970000000204891,2325644.629999999888241,2817616.689999999944121,10553838.720000000670552
FS( 77 ),2695793.859999999869615,2735256.490000000223517,2329112.819999999832362,2855483.400000000372529,10615646.570000000298023
FS( 78 ),2680307.339999999850988,2761742.320000000298023,2349921.959999999962747,2857801.770000000018626,10649773.390000000596046
FS( 79 ),2725660.719999999739230,2770570.930000000167638,2362533.560000000055879,2873257.570000000298023,10732022.780000001192093
FS( 80 ),2777651.179999999701977,2807616.470000000204891,2372622.839999999850988,2881758.260000000242144,10839648.750000000000000
FS( 81 ),2768801.739999999757856,2793594.560000000521541,2364740.589999999850988,2917306.600000000093132,10844443.490000000223517
FS( 82 ),2773226.459999999962747,2819734.169999999925494,2376406.319999999832362,2959037.260000000242144,10928404.209999999031425
FS( 83 ),2754421.399999999441206,2832198.090000000316650,2390279.080000000074506,2972174.689999999944121,10949073.259999999776483
FS( 84 ),2753868.309999999590218,2823023.260000000242144,2399107.200000000186265,2978357.010000000242144,10954355.780000001192093
FS( 85 ),2722342.179999999701977,2843796.460000000428408,2395954.299999999813735,2972947.479999999981374,10935040.419999999925494
FS( 86 ),2695793.859999999869615,2843450.240000000223517,2408565.899999999906868,2983766.540000000037253,10931576.539999999105930
FS( 87 ),2677541.889999999664724,2838949.380000000353903,2415186.989999999757856,2965992.370000000111759,10897670.629999998956919
FS( 88 ),2670904.809999999590218,2839814.930000000167638,2418970.469999999739230,2925034.500000000000000,10854724.710000000894070
FS( 89 ),2671457.899999999441206,2845700.669999999925494,2396584.879999999888241,2918079.390000000130385,10831822.839999999850988
FS( 90 ),2647675.029999999795109,2839988.040000000502914,2397530.750000000000000,2914988.229999999981374,10800182.050000000745058
FS( 91 ),2613936.539999999571592,2838256.939999999944121,2404151.839999999850988,2925034.500000000000000,10781379.820000000298023
FS( 92 ),2626657.609999999869615,2826139.240000000223517,2417078.729999999515712,2908805.910000000149012,10778681.489999998360872
FS( 93 ),2655971.379999999888241,2838256.939999999944121,2424330.399999999906868,2912669.859999999869615,10831228.580000000074506
FS( 94 ),2626657.609999999869615,2855914.160000000149012,2430005.619999999646097,2914215.439999999944121,10826792.829999998211861
FS( 95 ),2587388.219999999739230,2877379.800000000279397,2439779.609999999869615,2925034.500000000000000,10829582.129999998956919
FS( 96 ),2622232.889999999664724,2872705.830000000074506,2427798.589999999850988,2883303.840000000316650,10806041.150000000372529
FS( 97 ),2669798.629999999888241,2863357.890000000130385,2415186.989999999757856,2877894.310000000055879,10826237.820000000298023
FS( 98 ),2705749.479999999981374,2852105.740000000223517,2471939.189999999944121,2920397.760000000242144,10950192.169999999925494
FS( 99 ),2771014.099999999627471,2913213.570000000298023,2424960.979999999515712,2852392.239999999757856,10961580.889999998733401
FS( 100 ),2789266.069999999832362,2902653.859999999869615,2431897.359999999869615,2858574.560000000055879,10982391.849999999627471
FS( 101 ),2768801.739999999757856,2916848.880000000353903,2425906.849999999627471,2908033.120000000111759,11019590.589999999850988
FS( 102 ),2766589.379999999888241,2949393.560000000521541,2455228.819999999832362,2955946.100000000093132,11127157.859999999403954
FS( 103 ),2740041.059999999590218,2956491.070000000298023,2460273.459999999962747,2957491.680000000167638,11114297.269999999552965
FS( 104 ),2766589.379999999888241,2953028.870000000577420,2469101.580000000074506,2919624.970000000204891,11108344.800000000745058
FS( 105 ),2736169.429999999701977,2980207.140000000130385,2479506.149999999906868,2902623.590000000316650,11098506.310000000521541
FS( 106 ),2751102.859999999869615,2992671.060000000521541,2488964.849999999627471,2921170.549999999813735,11153909.320000000298023
FS( 107 ),2762164.659999999683350,2953721.310000000521541,2493063.619999999646097,2911124.280000000260770,11120073.870000001043081
FS( 108 ),2740041.059999999590218,2916329.550000000279397,2478244.989999999757856,2868620.830000000074506,11003236.429999999701977
FS( 109 ),2738934.879999999888241,2923773.279999999795109,2481397.890000000130385,2880985.470000000204891,11025091.520000001415610
FS( 110 ),2746678.139999999664724,2927408.590000000316650,2500630.580000000074506,2877894.310000000055879,11052611.620000001043081
FS( 111 ),2761058.479999999981374,2949566.669999999925494,2513242.179999999701977,2903396.379999999888241,11127263.710000000894070
FS( 112 ),2743359.599999999627471,2934332.990000000223517,2506936.379999999888241,2879439.890000000130385,11064068.859999999403954
FS( 113 ),2738381.789999999571592,2981765.130000000353903,2543194.729999999515712,2892577.320000000298023,11155918.969999998807907
FS( 114 ),2690262.959999999962747,2941603.609999999869615,2545717.049999999813735,2879439.890000000130385,11057023.509999999776483
FS( 115 ),2633294.689999999478459,2923253.950000000651926,2558328.649999999906868,2857028.979999999981374,10971906.270000001415610
FS( 116 ),2655971.379999999888241,2951643.990000000223517,2551707.560000000055879,2867848.040000000037253,11027170.969999998807907
FS( 117 ),2685285.149999999441206,2950605.330000000074506,2569679.089999999850988,2866302.460000000428408,11071872.029999999329448
FS( 118 ),2690816.049999999813735,2953201.980000000447035,2601523.379999999888241,2884076.629999999888241,11129618.039999999105930
FS( 119 ),2648781.209999999962747,2945758.250000000000000,2595848.159999999683350,2870939.200000000186265,11061326.820000000298023
FS( 120 ),2642144.129999999888241,2912867.350000000093132,2601208.089999999850988,2847755.500000000000000,11003975.070000000298023
FS( 121 ),2624998.339999999850988,2908193.380000000353903,2605622.149999999906868,2851619.450000000186265,10990433.320000000298023
FS( 122 ),2660949.189999999478459,2904038.740000000223517,2608144.469999999739230,2812979.950000000186265,10986112.349999999627471
FS( 123 ),2647121.939999999478459,2894171.470000000204891,2599001.060000000055879,2829208.540000000037253,10969503.010000001639128
FS( 124 ),2665927.000000000000000,2899710.990000000223517,2573462.569999999832362,2833845.280000000260770,10972945.839999999850988
FS( 125 ),2748337.409999999683350,2924465.720000000204891,2570940.250000000000000,2853937.820000000298023,11097681.199999999254942
FS( 126 ),2730085.439999999478459,2883438.650000000372529,2553284.009999999776483,2802933.680000000167638,10969741.779999999329448
FS( 127 ),2734510.159999999683350,2875302.480000000447035,2546032.339999999850988,2795205.780000000260770,10951050.760000001639128
FS( 128 ),2713492.739999999757856,2857299.040000000502914,2539411.250000000000000,2753475.120000000111759,10863678.150000000372529
FS( 129 ),2670904.809999999590218,2852105.740000000223517,2544455.890000000130385,2721017.939999999944121,10788484.379999998956919
FS( 130 ),2623339.069999999832362,2833756.080000000074506,2558328.649999999906868,2734155.370000000111759,10749579.170000001788139
FS( 131 ),2624998.339999999850988,2845008.230000000447035,2558643.939999999944121,2774340.450000000186265,10802990.960000000894070
FS( 132 ),2619467.439999999478459,2853663.730000000447035,2562112.129999999888241,2756566.280000000260770,10791809.580000000074506
FS( 133 ),2575220.239999999757856,2824927.470000000204891,2533736.029999999795109,2719472.359999999869615,10653356.099999999627471
FS( 134 ),2580751.139999999664724,2824754.359999999869615,2545401.759999999776483,2753475.120000000111759,10704382.379999998956919
FS( 135 ),2626657.609999999869615,2841199.810000000521541,2568733.219999999739230,2749611.169999999925494,10786201.809999998658895
FS( 136 ),2581857.319999999832362,2810213.120000000577420,2561481.549999999813735,2714062.830000000074506,10667614.820000000298023
FS( 137 ),2569136.250000000000000,2816098.859999999869615,2579453.080000000074506,2723336.310000000055879,10688024.500000000000000
FS( 138 ),2530419.949999999720603,2846739.330000000074506,2601838.669999999925494,2744201.640000000130385,10723199.589999999850988
FS( 139 ),2491703.649999999441206,2856779.710000000428408,2607198.599999999627471,2755020.700000000186265,10710702.660000000149012
FS( 140 ),2570242.429999999701977,2877552.910000000149012,2610666.789999999571592,2781295.560000000055879,10839757.689999999478459
FS( 141 ),2549225.009999999776483,2868204.970000000204891,2605937.439999999944121,2777431.609999999869615,10800799.029999999329448
FS( 142 ),2617255.079999999608845,2875821.810000000521541,2594587.000000000000000,2785932.299999999813735,10873596.190000001341105
FS( 143 ),2578538.779999999795109,2857645.260000000242144,2580398.950000000186265,2782068.350000000093132,10798651.339999999850988
FS( 144 ),2623339.069999999832362,2901788.310000000521541,2595532.869999999646097,2812979.950000000186265,10933640.199999999254942
FS( 145 ),2648781.209999999962747,2943161.600000000093132,2659536.739999999757856,2826117.379999999888241,11077596.929999999701977
FS( 146 ),2639378.679999999701977,2952336.430000000167638,2666473.119999999646097,2837709.229999999981374,11095897.459999999031425
FS( 147 ),2652099.750000000000000,2969820.540000000502914,2658590.869999999646097,2877121.520000000018626,11157632.679999999701977
FS( 148 ),2712386.559999999590218,3021580.430000000167638,2700524.439999999944121,2921170.549999999813735,11355661.980000000447035
FS( 149 ),2761058.479999999981374,3036987.220000000204891,2700209.149999999906868,2922716.129999999888241,11420970.980000000447035
FS( 150 ),2779310.449999999720603,3076456.300000000279397,2707145.529999999795109,2901078.010000000242144,11463990.289999999105930
FS( 151 ),2822451.469999999739230,3055163.770000000018626,2713451.330000000074506,2891804.530000000260770,11482871.100000001490116
FS( 152 ),2842362.709999999962747,3055336.880000000353903,2698947.989999999757856,2896441.270000000018626,11493088.849999999627471
FS( 153 ),2797009.329999999608845,3029370.380000000353903,2691065.739999999757856,2868620.830000000074506,11386066.279999999329448
FS( 154 ),2795350.059999999590218,3013098.040000000502914,2679715.299999999813735,2866302.460000000428408,11354465.859999999403954
FS( 155 ),2829088.549999999813735,3017772.010000000242144,2678769.429999999701977,2854710.609999999869615,11380340.599999999627471
FS( 156 ),2826876.189999999478459,3016214.020000000018626,2705569.080000000074506,2850073.870000000111759,11398733.160000000149012
FS( 157 ),2883291.369999999646097,3038891.430000000167638,2695164.509999999776483,2845437.129999999888241,11462784.439999997615814
FS( 158 ),2953533.799999999813735,3034390.570000000298023,2692642.189999999944121,2836936.439999999944121,11517503.000000000000000
FS( 159 ),2977869.759999999776483,3206288.800000000279397,2718180.679999999701977,2857028.979999999981374,11759368.220000000670552
FS( 160 ),3056961.629999999888241,3179283.640000000130385,2720072.419999999925494,2884849.419999999925494,11841167.109999999403954
FS( 161 ),3060280.169999999459833,3200922.390000000130385,2728585.250000000000000,2903396.379999999888241,11893184.189999997615814
FS( 162 ),3107845.909999999683350,3205769.470000000204891,2792273.830000000074506,2839254.810000000055879,11945144.020000001415610
FS( 163 ),3148774.569999999832362,3180149.189999999944121,2778401.069999999832362,2799069.729999999981374,11906394.560000000521541
FS( 164 ),3187490.869999999646097,3166819.720000000204891,2775248.169999999925494,2803706.470000000204891,11933265.230000000447035
FS( 165 ),3101761.919999999459833,3139468.340000000316650,2745926.200000000186265,2798296.939999999944121,11785453.400000000372529
FS( 166 ),3095677.929999999701977,3147258.290000000502914,2736152.209999999962747,2755793.489999999757856,11734881.919999999925494
FS( 167 ),3085169.219999999739230,3148123.840000000316650,2726693.509999999776483,2727200.260000000242144,11687186.830000000074506
FS( 168 ),3134947.319999999832362,3129081.740000000223517,2723855.899999999906868,2772022.080000000074506,11759907.040000000968575
FS( 169 ),3073001.239999999757856,3082342.040000000502914,2681922.330000000074506,2742656.060000000055879,11579921.669999999925494
FS( 170 ),3101761.919999999459833,3095844.620000000577420,2697056.250000000000000,2779749.979999999981374,11674412.769999999552965
FS( 171 ),2981741.389999999664724,2968608.770000000018626,2657329.709999999962747,2698607.030000000260770,11306286.900000002235174
FS( 172 ),2951874.529999999795109,2994575.270000000018626,2682552.909999999683350,2708653.299999999813735,11337656.009999997913837
FS( 173 ),2790925.339999999850988,2877552.910000000149012,2588911.779999999795109,2559504.830000000074506,10816894.859999999403954
FS( 174 ),2955193.069999999832362,2953548.200000000651926,2710298.429999999701977,2649921.260000000242144,11268960.959999999031425
FS( 175 ),2873888.839999999850988,2813848.430000000167638,2651023.909999999683350,2601235.489999999757856,10939996.669999999925494
FS( 176 ),2952980.709999999962747,2886381.520000000018626,2720387.709999999962747,2675423.330000000074506,11235173.270000001415610
FS( 177 ),2978975.939999999478459,2911828.689999999944121,2727324.089999999850988,2650694.049999999813735,11268822.769999999552965
FS( 178 ),3029307.129999999888241,2994748.380000000353903,2737413.369999999646097,2708653.299999999813735,11470122.179999999701977
FS( 179 ),3006077.349999999627471,2964454.130000000353903,2732684.020000000018626,2695515.870000000111759,11398731.370000001043081
FS( 180 ),3006077.349999999627471,2968608.770000000018626,2758853.089999999850988,2751929.540000000037253,11485468.750000000000000
FS( 181 ),2892140.809999999590218,2836179.620000000577420,2699263.279999999795109,2710198.879999999888241,11137782.589999999850988
FS( 182 ),2813048.939999999478459,2727293.430000000167638,2750340.259999999776483,2682378.439999999944121,10973061.069999998435378
FS( 183 ),2816367.479999999981374,2752221.270000000018626,2767050.629999999888241,2690879.129999999888241,11026518.509999999776483
FS( 184 ),2951874.529999999795109,2844662.010000000242144,2822856.959999999962747,2778977.189999999944121,11398370.689999999478459
FS( 185 ),2972338.859999999869615,2886900.850000000093132,2841774.359999999869615,2818389.479999999981374,11519403.550000000745058
FS( 186 ),2952980.709999999962747,2866473.870000000577420,2797003.179999999701977,2764294.180000000167638,11380751.939999999478459
FS( 187 ),3030966.399999999441206,2928101.029999999795109,2835468.560000000055879,2763521.390000000130385,11558057.380000000819564
FS( 188 ),3081297.589999999850988,2988343.310000000521541,2862583.500000000000000,2792887.410000000149012,11725111.810000000521541
FS( 189 ),3081297.589999999850988,2986439.100000000093132,2862268.209999999962747,2806024.840000000316650,11736029.739999998360872
FS( 190 ),3040922.019999999552965,2976052.500000000000000,2850602.479999999515712,2795205.780000000260770,11662782.780000001192093
FS( 191 ),3010502.069999999832362,2948701.120000000577420,2839882.619999999646097,2772794.870000000111759,11571880.679999999701977
FS( 192 ),2955746.159999999683350,2890709.270000000018626,2808984.200000000186265,2748065.590000000316650,11403505.219999998807907
FS( 193 ),3000546.449999999720603,2858337.700000000651926,2800471.369999999646097,2721790.729999999981374,11381146.250000000000000
FS( 194 ),3033731.849999999627471,2896421.900000000372529,2815290.000000000000000,2752702.330000000074506,11498146.080000000074506
FS( 195 ),3035391.119999999646097,2860761.240000000223517,2793850.279999999795109,2734155.370000000111759,11424158.009999997913837
FS( 196 ),2982847.569999999832362,2793594.560000000521541,2680976.459999999962747,2723336.310000000055879,11180754.900000000372529
FS( 197 ),3002205.719999999739230,2811771.109999999869615,2717550.099999999627471,2724109.100000000093132,11255636.029999999329448
FS( 198 ),3039262.750000000000000,2829255.220000000204891,2715343.069999999832362,2743428.850000000093132,11327289.890000000596046
FS( 199 ),3075766.689999999478459,2895210.130000000353903,2735206.339999999850988,2751156.750000000000000,11457339.910000000149012
FS( 200 ),3105080.459999999962747,2944546.480000000447035,2776824.619999999646097,2796751.359999999869615,11623202.919999999925494
FS( 201 ),3164261.089999999850988,2994748.380000000353903,2783761.000000000000000,2837709.229999999981374,11780479.700000001117587
FS( 202 ),3252202.399999999441206,2997171.919999999925494,2800156.080000000074506,2803706.470000000204891,11853236.869999999180436
FS( 203 ),3266582.739999999757856,3024696.410000000149012,2815920.580000000074506,2813752.739999999757856,11920952.470000000670552
FS( 204 ),3256627.119999999646097,2995267.710000000428408,2759483.669999999925494,2769703.710000000428408,11781082.210000000894070
FS( 205 ),3174769.799999999813735,2919099.310000000521541,2711244.299999999813735,2750383.960000000428408,11555497.370000001043081
FS( 206 ),3194681.039999999571592,2931563.230000000447035,2754754.319999999832362,2772794.870000000111759,11653793.460000000894070
FS( 207 ),3185831.599999999627471,3021061.100000000093132,2816866.450000000186265,2809888.790000000037253,11833647.939999997615814
FS( 208 ),3154858.559999999590218,3076456.300000000279397,2829478.049999999813735,2850846.660000000149012,11911639.570000000298023
FS( 209 ),3137159.679999999701977,3073686.540000000502914,2775563.459999999962747,2846982.710000000428408,11833392.390000000596046
FS( 210 ),3086275.399999999441206,3101730.359999999869615,2799210.209999999962747,2870939.200000000186265,11858155.169999998062849
FS( 211 ),3012714.429999999701977,3027293.060000000521541,2768942.369999999646097,2843891.549999999813735,11652841.410000000149012
FS( 212 ),2959617.789999999571592,2999941.680000000167638,2712190.169999999925494,2808343.210000000428408,11480092.850000001490116
FS( 213 ),2943025.089999999850988,3025042.630000000353903,2726693.509999999776483,2812979.950000000186265,11507741.179999999701977
FS( 214 ),2988931.559999999590218,3061568.840000000316650,2706199.659999999683350,2764294.180000000167638,11520994.240000000223517
FS( 215 ),2981741.389999999664724,3145354.080000000074506,2746556.779999999795109,2775113.239999999757856,11648765.490000000223517
FS( 216 ),2922007.669999999459833,3157471.779999999795109,2749394.390000000130385,2794432.989999999757856,11623306.830000000074506
FS( 217 ),3071895.059999999590218,3230697.310000000521541,2790697.379999999888241,2851619.450000000186265,11944909.199999999254942
FS( 218 ),3162601.819999999832362,3202653.490000000223517,2816866.450000000186265,2820707.850000000093132,12002829.610000001266599
FS( 219 ),3178088.339999999850988,3222041.810000000521541,2785968.029999999795109,2833845.280000000260770,12019943.460000000894070
FS( 220 ),3227313.349999999627471,3234159.510000000242144,2815920.580000000074506,2860892.930000000167638,12138286.369999999180436
FS( 221 ),3334612.809999999590218,3298383.320000000298023,2835783.849999999627471,2884849.419999999925494,12353629.400000000372529
FS( 222 ),3318573.199999999720603,3230177.980000000447035,2795426.729999999515712,2854710.609999999869615,12198888.519999999552965
FS( 223 ),3336272.079999999608845,3097056.390000000130385,2826325.149999999906868,2877894.310000000055879,12137547.929999999701977
FS( 224 ),3149880.750000000000000,3070916.779999999795109,2825694.569999999832362,2863211.299999999813735,11909703.399999998509884
FS( 225 ),3123332.429999999701977,3068493.240000000223517,2806461.879999999888241,2867075.250000000000000,11865362.800000000745058
FS( 226 ),3103974.279999999795109,3144315.419999999925494,2910822.869999999646097,2891804.530000000260770,12050917.099999997764826
FS( 227 ),3206295.929999999701977,3155048.240000000223517,2901048.879999999888241,2853937.820000000298023,12116330.870000001043081
FS( 228 ),3142690.579999999608845,3122330.450000000651926,2893481.919999999925494,2796751.359999999869615,11955254.309999998658895
FS( 229 ),3165367.269999999552965,3150201.160000000149012,2893797.209999999962747,2844664.340000000316650,12054029.980000000447035
FS( 230 ),3197446.489999999757856,3225850.230000000447035,2948342.379999999888241,2910351.489999999757856,12281990.590000001713634
