代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12238157.739999998360872
真實報酬,2238157.739999998360872

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8894.573105344081341
風險,230869.930222755880095
起點值,0.038526338604435
找到最佳解世代,3694
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PG[21](2),UNH[23](1),
FS( 129 ),5449694.029999999329448,5941423.229999999515712,11391117.259999997913837
FS( 130 ),5420065.579999999143183,5889384.759999999776483,11309450.339999999850988
FS( 131 ),5441793.110000000335276,6038188.979999999515712,11479982.089999999850988
FS( 132 ),5476030.429999999701977,6050230.940000000409782,11526261.370000001043081
FS( 133 ),5478005.660000000149012,5988300.860000000335276,11466306.519999999552965
FS( 134 ),5436525.829999999143183,5938842.809999999590218,11375368.639999998733401
FS( 135 ),5487881.809999999590218,5929381.269999999552965,11417263.079999998211861
FS( 136 ),5461545.410000000149012,5903146.999999999068677,11364692.410000000149012
FS( 137 ),5491832.269999999552965,5963356.799999999813735,11455189.070000000298023
FS( 138 ),5473396.790000000037253,5921640.009999999776483,11395036.800000000745058
FS( 139 ),5467471.100000000558794,5957335.820000000298023,11424806.920000001788139
FS( 140 ),5491832.269999999552965,5943143.509999999776483,11434975.779999999329448
FS( 141 ),5502366.829999999143183,5930671.479999999515712,11433038.309999998658895
FS( 142 ),5544505.069999999366701,5986150.509999999776483,11530655.579999998211861
FS( 143 ),5416115.120000000111759,5904437.209999999031425,11320552.329999998211861
FS( 144 ),5348298.890000000596046,5896695.950000000186265,11244994.839999999850988
FS( 145 ),5429283.319999999366701,5965507.150000000372529,11394790.469999998807907
FS( 146 ),5524752.769999999552965,6043349.820000000298023,11568102.589999999850988
FS( 147 ),5574791.929999999701977,6072594.579999999143183,11647386.509999997913837
FS( 148 ),5582034.440000000409782,6057972.200000000186265,11640006.640000000596046
FS( 149 ),5625489.500000000000000,6088077.099999999627471,11713566.599999999627471
FS( 150 ),5598494.690000000409782,6123342.839999999850988,11721837.530000001192093
FS( 151 ),5585326.490000000223517,6055391.780000000260770,11640718.269999999552965
FS( 152 ),5647217.029999999329448,6075605.070000000298023,11722822.099999999627471
FS( 153 ),5645900.209999999962747,6034748.419999998994172,11680648.629999998956919
FS( 154 ),5645900.209999999962747,6014965.200000000186265,11660865.410000000149012
FS( 155 ),5655117.950000000186265,6084636.539999999105930,11739754.489999998360872
FS( 156 ),5653801.129999999888241,6057112.059999999590218,11710913.189999999478459
FS( 157 ),5663018.870000000111759,6078185.490000000223517,11741204.359999999403954
FS( 158 ),5657751.590000000782311,6053241.429999999701977,11710993.019999999552965
FS( 159 ),5673553.429999999701977,6132374.309999999590218,11805927.739999998360872
FS( 160 ),5617588.579999999143183,6150867.320000000298023,11768455.899999998509884
FS( 161 ),5613638.120000000111759,6144416.269999999552965,11758054.390000000596046
FS( 162 ),5643924.979999999515712,6179682.009999999776483,11823606.989999998360872
FS( 163 ),5649192.259999999776483,6095388.289999999105930,11744580.549999998882413
FS( 164 ),5614296.529999999329448,6094098.079999999143183,11708394.609999999403954
FS( 165 ),5560965.319999999366701,6093237.940000000409782,11654203.259999999776483
FS( 166 ),5584009.669999999925494,6139685.499999999068677,11723695.169999998062849
FS( 167 ),5635365.650000000372529,6158608.579999999143183,11793974.230000000447035
FS( 168 ),5689355.269999999552965,6171940.749999999068677,11861296.019999999552965
FS( 169 ),5712399.620000000111759,6157318.369999999180436,11869717.989999998360872
FS( 170 ),5660385.229999999515712,6144846.339999999850988,11805231.570000000298023
FS( 171 ),5665652.509999999776483,6137535.150000000372529,11803187.660000000149012
FS( 172 ),5647875.440000000409782,6149577.110000000335276,11797452.550000000745058
FS( 173 ),5646558.620000000111759,6112591.089999999850988,11759149.710000000894070
FS( 174 ),5661702.049999999813735,6099258.919999998994172,11760960.969999998807907
FS( 175 ),5682771.169999999925494,6115171.509999999776483,11797942.679999999701977
FS( 176 ),5710424.390000000596046,6134094.589999999850988,11844518.980000000447035
FS( 177 ),5730835.100000000558794,6144846.339999999850988,11875681.440000001341105
FS( 178 ),5729518.279999999329448,6090657.519999999552965,11820175.799999998882413
FS( 179 ),5700548.240000000223517,6067433.740000000223517,11767981.980000000447035
FS( 180 ),5725567.819999999366701,6094528.150000000372529,11820095.969999998807907
FS( 181 ),5757171.500000000000000,6114311.369999999180436,11871482.869999999180436
FS( 182 ),5748612.169999999925494,6108720.459999999031425,11857332.629999998956919
FS( 183 ),5718325.309999999590218,6110870.809999999590218,11829196.119999999180436
FS( 184 ),5754537.860000000335276,6107430.249999999068677,11861968.109999999403954
FS( 185 ),5748612.169999999925494,6015395.269999999552965,11764007.439999999478459
FS( 186 ),5787458.360000000335276,5904867.280000000260770,11692325.640000000596046
FS( 187 ),5766389.240000000223517,5875622.519999999552965,11642011.759999999776483
FS( 188 ),5813794.759999999776483,5903577.070000000298023,11717371.830000000074506
FS( 189 ),5763755.600000000558794,5886374.269999999552965,11650129.870000001043081
FS( 190 ),5748612.169999999925494,5851108.530000000260770,11599720.699999999254942
FS( 191 ),5814453.169999999925494,5837776.360000000335276,11652229.530000001192093
FS( 192 ),5807210.660000000149012,5875192.450000000186265,11682403.109999999403954
FS( 193 ),5836180.700000000186265,5847667.969999999739230,11683848.669999999925494
FS( 194 ),5790750.410000000149012,5805521.110000000335276,11596271.519999999552965
FS( 195 ),5779557.440000000409782,5824874.259999999776483,11604431.699999999254942
FS( 196 ),5678162.299999999813735,5746601.519999999552965,11424763.820000000298023
FS( 197 ),5810502.709999999962747,5828744.889999999664724,11639247.599999999627471
FS( 198 ),5731493.509999999776483,5760793.829999999143183,11492287.339999999850988
FS( 199 ),5728859.870000000111759,5749612.009999999776483,11478471.879999998956919
FS( 200 ),5797992.919999999925494,5832185.450000000186265,11630178.370000001043081
FS( 201 ),5797334.509999999776483,5955185.469999999739230,11752519.980000000447035
FS( 202 ),5818403.629999999888241,5921209.940000000409782,11739613.570000000298023
FS( 203 ),5832230.240000000223517,5912178.469999999739230,11744408.710000000894070
FS( 204 ),5780874.259999999776483,6017115.549999999813735,11797989.809999998658895
FS( 205 ),5859225.049999999813735,6065713.459999999031425,11924938.509999997913837
FS( 206 ),5778240.620000000111759,6042919.749999999068677,11821160.369999999180436
FS( 207 ),5784166.309999999590218,6008944.219999999739230,11793110.529999999329448
FS( 208 ),5817745.219999999739230,6054961.709999999031425,11872706.929999999701977
FS( 209 ),5890170.319999999366701,6038619.049999999813735,11928789.369999999180436
FS( 210 ),5809185.890000000596046,5948734.419999998994172,11757920.309999998658895
FS( 211 ),5909264.209999999962747,6020986.179999999701977,11930250.390000000596046
FS( 212 ),5837497.519999999552965,5956045.610000000335276,11793543.129999998956919
FS( 213 ),5817086.809999999590218,5941853.299999999813735,11758940.109999999403954
FS( 214 ),5850007.309999999590218,5917769.379999999888241,11767776.689999999478459
FS( 215 ),5874368.479999999515712,5869171.469999999739230,11743539.949999999254942
FS( 216 ),5925724.459999999962747,5877342.799999999813735,11803067.259999999776483
FS( 217 ),5863833.919999999925494,5938412.740000000223517,11802246.660000000149012
FS( 218 ),5829596.600000000558794,5795199.429999999701977,11624796.030000001192093
FS( 219 ),5831571.829999999143183,5810251.879999999888241,11641823.709999999031425
FS( 220 ),5809844.299999999813735,5771115.509999999776483,11580959.809999998658895
FS( 221 ),5822354.090000000782311,5759503.619999999180436,11581857.710000000894070
FS( 222 ),5782849.490000000223517,5768535.089999999850988,11551384.580000000074506
FS( 223 ),5757829.910000000149012,6166779.909999999217689,11924609.820000000298023
FS( 224 ),5632073.600000000558794,6208926.769999999552965,11841000.370000001043081
FS( 225 ),5591910.590000000782311,6239031.669999998994172,11830942.259999999776483
FS( 226 ),5552405.990000000223517,6251933.769999999552965,11804339.759999999776483
FS( 227 ),5537262.559999999590218,6222689.009999999776483,11759951.570000000298023
FS( 228 ),5726226.229999999515712,6183552.639999999664724,11909778.869999999180436
FS( 229 ),5754537.860000000335276,6116891.789999999105930,11871429.649999998509884
FS( 230 ),5700548.240000000223517,6104419.759999999776483,11804968.000000000000000
FS( 231 ),5717666.900000000372529,6036038.629999999888241,11753705.530000001192093
FS( 232 ),5715033.259999999776483,6078185.490000000223517,11793218.750000000000000
FS( 233 ),5718325.309999999590218,5996472.190000000409782,11714797.500000000000000
FS( 234 ),5711082.799999999813735,5977119.039999999105930,11688201.839999999850988
FS( 235 ),5701865.059999999590218,5927660.990000000223517,11629526.050000000745058
FS( 236 ),5601786.740000000223517,5922500.150000000372529,11524286.890000000596046
FS( 237 ),5699231.419999999925494,6103989.690000000409782,11803221.109999999403954
FS( 238 ),5758488.319999999366701,6145706.479999999515712,11904194.799999998882413
FS( 239 ),5657751.590000000782311,6102699.479999999515712,11760451.070000000298023
FS( 240 ),5462203.819999999366701,6284619.089999999850988,11746822.910000000149012
FS( 241 ),5503025.240000000223517,6297091.119999999180436,11800116.359999999403954
FS( 242 ),5464837.459999999962747,6549112.139999999664724,12013949.599999999627471
FS( 243 ),5505658.879999999888241,6546961.789999999105930,12052620.669999998062849
FS( 244 ),5477347.250000000000000,6515566.679999999701977,11992913.929999999701977
FS( 245 ),5469446.329999999143183,6484171.570000000298023,11953617.899999998509884
FS( 246 ),5398996.459999999962747,6427402.329999999143183,11826398.789999999105930
FS( 247 ),5441134.700000000186265,6468689.049999999813735,11909823.750000000000000
FS( 248 ),5449035.620000000111759,6548251.999999999068677,11997287.619999999180436
FS( 249 ),5443768.340000000782311,6603300.959999999031425,12047069.300000000745058
FS( 250 ),5495124.319999999366701,6571905.849999999627471,12067030.169999998062849
FS( 251 ),5469446.329999999143183,6541800.950000000186265,12011247.279999999329448
FS( 252 ),5457594.950000000186265,6777479.309999999590218,12235074.259999999776483
FS( 253 ),5429283.319999999366701,6808874.419999998994172,12238157.739999998360872
