代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14484009.839999997988343
真實報酬,4484009.839999997988343

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21343.987478455030214
風險,299742.049805893679149
起點值,0.071207851858880
找到最佳解世代,2229
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](3),MCD[15](11),MSFT[18](4),V[25](1),
FS( 27 ),2592412.559999999590218,2787584.080000000074506,2643398.880000000353903,2580850.640000000130385,10604246.160000000149012
FS( 28 ),2603168.079999999608845,2781604.799999999813735,2610981.580000000074506,2576654.239999999757856,10572408.699999999254942
FS( 29 ),2593403.199999999720603,2803786.000000000000000,2607930.540000000037253,2594279.120000000111759,10599398.859999999403954
FS( 30 ),2581232.479999999515712,2821530.959999999962747,2609837.440000000409782,2608267.120000000111759,10620868.000000000000000
FS( 31 ),2585619.599999999627471,2841011.839999999850988,2647212.680000000167638,2606029.040000000502914,10679873.160000000149012
FS( 32 ),2530143.759999999776483,2824038.399999999906868,2573606.340000000316650,2567142.400000000372529,10494930.900000000372529
FS( 33 ),2510614.000000000000000,2835611.199999999720603,2582378.080000000074506,2565743.600000000093132,10494346.879999998956919
FS( 34 ),2558164.719999999739230,2857599.520000000018626,2581615.319999999832362,2587285.120000000111759,10584664.679999999701977
FS( 35 ),2599347.039999999571592,2858371.039999999571592,2610600.200000000186265,2610505.200000000186265,10678823.480000000447035
FS( 36 ),2596799.679999999701977,2851234.479999999515712,2619371.940000000409782,2625892.000000000000000,10693298.099999999627471
FS( 37 ),2621707.199999999720603,2883638.319999999832362,2622804.359999999869615,2652469.200000000186265,10780619.079999998211861
FS( 38 ),2647463.839999999850988,2889038.959999999962747,2655221.660000000149012,2658903.680000000167638,10850628.140000000596046
FS( 39 ),2640670.879999999888241,2890582.000000000000000,2668188.580000000074506,2648552.560000000055879,10847994.019999999552965
FS( 40 ),2644774.959999999497086,2891932.160000000149012,2685350.680000000167638,2649951.359999999869615,10872009.159999998286366
FS( 41 ),2655388.959999999497086,2910448.639999999664724,2663612.020000000018626,2664219.120000000111759,10893668.739999998360872
FS( 42 ),2651001.839999999850988,2939380.639999999664724,2673527.899999999906868,2668975.040000000502914,10932885.419999999925494
FS( 43 ),2692184.159999999683350,2965419.439999999944121,2736836.980000000447035,2689957.040000000502914,11084397.620000001043081
FS( 44 ),2674069.599999999627471,2947095.839999999850988,2756668.740000000223517,2701147.439999999944121,11078981.619999999180436
FS( 45 ),2642935.199999999720603,2917006.559999999590218,2765821.859999999869615,2679885.680000000167638,11005649.299999998882413
FS( 46 ),2662040.399999999441206,2930701.039999999571592,2760863.919999999925494,2688278.480000000447035,11041883.839999999850988
FS( 47 ),2687938.559999999590218,2920864.160000000149012,2744083.200000000186265,2688278.480000000447035,11041164.400000000372529
FS( 48 ),2689353.759999999776483,2921828.559999999590218,2681918.259999999776483,2645475.200000000186265,10938575.779999999329448
FS( 49 ),2688929.199999999720603,2863771.679999999701977,2661323.740000000223517,2615820.640000000130385,10829845.259999999776483
FS( 50 ),2704354.879999999888241,2889810.479999999515712,2694503.800000000279397,2660022.720000000204891,10948691.880000000819564
FS( 51 ),2722610.959999999497086,2906398.160000000149012,2680011.359999999869615,2666736.959999999962747,10975757.439999997615814
FS( 52 ),2766057.599999999627471,2915849.279999999795109,2665900.300000000279397,2634564.560000000055879,10982371.740000000223517
FS( 53 ),2780068.079999999608845,2931665.439999999944121,2669714.100000000093132,2634564.560000000055879,11016012.179999999701977
FS( 54 ),2817429.359999999869615,2953846.639999999664724,2702894.160000000149012,2651909.680000000167638,11126079.839999999850988
FS( 55 ),2806815.359999999869615,2971784.479999999515712,2666281.680000000167638,2640439.520000000018626,11085321.039999999105930
FS( 56 ),2818703.039999999571592,2965226.559999999590218,2680011.359999999869615,2644915.680000000167638,11108856.639999998733401
FS( 57 ),2822524.079999999608845,2985864.720000000204891,2679629.980000000447035,2628409.840000000316650,11116428.620000001043081
FS( 58 ),2862008.159999999683350,2982778.639999999664724,2715861.080000000074506,2674010.720000000204891,11234658.599999999627471
FS( 59 ),2830166.159999999683350,2969662.799999999813735,2689927.240000000223517,2663939.359999999869615,11153695.559999998658895
FS( 60 ),2814740.479999999515712,2965033.679999999701977,2639585.080000000074506,2654987.040000000502914,11074346.279999999329448
FS( 61 ),2825071.439999999944121,2976220.720000000204891,2662086.500000000000000,2692195.120000000111759,11155573.780000001192093
FS( 62 ),2794503.119999999646097,2953653.759999999776483,2612125.719999999739230,2641558.560000000055879,11001841.159999998286366
FS( 63 ),2798607.199999999720603,2954232.399999999906868,2628906.440000000409782,2623653.920000000391155,11005399.960000000894070
FS( 64 ),2810494.879999999888241,2941502.319999999832362,2599921.560000000055879,2611624.239999999757856,10963543.000000000000000
FS( 65 ),2856064.319999999832362,2952496.479999999515712,2634627.140000000130385,2630088.400000000372529,11073276.339999999850988
FS( 66 ),2851394.159999999683350,2952882.239999999757856,2615176.759999999776483,2608826.640000000130385,11028279.800000000745058
FS( 67 ),2863989.439999999944121,3014218.080000000074506,2649119.580000000074506,2627570.560000000055879,11154897.660000000149012
FS( 68 ),2886491.119999999646097,2999752.080000000074506,2668951.340000000316650,2660302.480000000447035,11215497.019999999552965
FS( 69 ),2919182.239999999757856,2987986.399999999906868,2669332.719999999739230,2669254.799999999813735,11245756.160000000149012
FS( 70 ),2921588.079999999608845,3020197.359999999869615,2713572.800000000279397,2690796.320000000298023,11346154.560000000521541
FS( 71 ),2918616.159999999683350,2990493.839999999850988,2737218.359999999869615,2684082.080000000074506,11330410.439999999478459
FS( 72 ),2950882.719999999739230,2995122.959999999962747,2775737.740000000223517,2711778.320000000298023,11433521.740000000223517
FS( 73 ),2957817.199999999720603,2994737.199999999720603,2797476.399999999906868,2708980.720000000204891,11459011.519999999552965
FS( 74 ),2947061.679999999701977,2969662.799999999813735,2795569.500000000000000,2729962.720000000204891,11442256.700000001117587
FS( 75 ),2984422.959999999497086,2968312.639999999664724,2816926.780000000260770,2748706.640000000130385,11518369.019999999552965
FS( 76 ),2975931.759999999776483,2974484.799999999813735,2830656.459999999962747,2744790.000000000000000,11525863.019999999552965
FS( 77 ),3002254.479999999515712,2968891.279999999795109,2814257.120000000111759,2786474.239999999757856,11571877.119999999180436
FS( 78 ),3002820.559999999590218,2928965.119999999646097,2807010.899999999906868,2808015.760000000242144,11546812.339999999850988
FS( 79 ),3006783.119999999646097,3068224.479999999515712,2829512.319999999832362,2797384.879999999888241,11701904.800000000745058
FS( 80 ),3303833.599999999627471,3018847.199999999720603,2824173.000000000000000,2821444.239999999757856,11968298.039999999105930
FS( 81 ),3410681.199999999720603,3027333.919999999459833,2790230.180000000167638,2785634.959999999962747,12013880.259999997913837
FS( 82 ),3414502.239999999757856,3006117.119999999646097,2785653.620000000111759,2773885.040000000502914,11980158.020000001415610
FS( 83 ),3431343.119999999646097,2992422.639999999664724,2772686.700000000186265,2785355.200000000186265,11981807.660000000149012
FS( 84 ),3388604.079999999608845,2971205.839999999850988,2768110.140000000130385,2822003.760000000242144,11949923.820000000298023
FS( 85 ),3367517.599999999627471,3020390.239999999757856,2755905.980000000447035,2833473.920000000391155,11977287.740000000223517
FS( 86 ),3371763.199999999720603,2984321.679999999701977,2751710.800000000279397,2814170.480000000447035,11921966.160000000149012
FS( 87 ),3364121.119999999646097,2966962.479999999515712,2771923.940000000409782,2822563.280000000260770,11925570.820000000298023
FS( 88 ),3399784.159999999683350,2989143.679999999701977,2761245.300000000279397,2839348.879999999888241,11989522.019999999552965
FS( 89 ),3389453.199999999720603,2988179.279999999795109,2776119.120000000111759,2833473.920000000391155,11987225.519999999552965
FS( 90 ),3316004.319999999832362,2988179.279999999795109,2763914.959999999962747,2824801.359999999869615,11892899.919999998062849
FS( 91 ),3295766.959999999497086,3020968.879999999888241,2723488.680000000167638,2783396.879999999888241,11823621.399999998509884
FS( 92 ),3324070.959999999497086,3034084.720000000204891,2765059.100000000093132,2800182.480000000447035,11923397.259999999776483
FS( 93 ),3356196.000000000000000,3033313.199999999720603,2806629.520000000018626,2849979.760000000242144,12046118.479999998584390
FS( 94 ),3384783.039999999571592,3040256.879999999888241,2792518.459999999962747,2871241.520000000018626,12088799.899999998509884
FS( 95 ),3362422.879999999888241,3064945.520000000018626,2808917.800000000279397,2890544.959999999962747,12126831.160000000149012
FS( 96 ),3334118.879999999888241,3045464.639999999664724,2761245.300000000279397,2858092.799999999813735,11998921.620000001043081
FS( 97 ),3336666.239999999757856,3042957.199999999720603,2764677.719999999739230,2867884.400000000372529,12012185.560000000521541
FS( 98 ),3335392.559999999590218,3054530.000000000000000,2751710.800000000279397,2887747.359999999869615,12029380.719999998807907
FS( 99 ),3392991.199999999720603,3079218.639999999664724,2790230.180000000167638,2911526.959999999962747,12173966.980000000447035
FS( 100 ),3369498.879999999888241,3063209.600000000093132,2773449.459999999962747,2886628.320000000298023,12092786.260000001639128
FS( 101 ),3378697.679999999701977,3055494.399999999906868,2772305.319999999832362,2887747.359999999869615,12094244.759999999776483
FS( 102 ),3338364.479999999515712,3063402.479999999515712,2777263.259999999776483,2891384.239999999757856,12070414.459999999031425
FS( 103 ),3356620.559999999590218,3079797.279999999795109,2777644.640000000130385,2903413.920000000391155,12117476.400000000372529
FS( 104 ),3403463.679999999701977,3074203.759999999776483,2786035.000000000000000,2903134.160000000149012,12166836.599999999627471
FS( 105 ),3403039.119999999646097,3077096.959999999962747,2822647.480000000447035,2902015.120000000111759,12204798.679999999701977
FS( 106 ),3391717.519999999552965,3085583.679999999701977,2851632.359999999869615,2896140.160000000149012,12225073.719999998807907
FS( 107 ),3401199.359999999869615,3082497.600000000093132,2819977.819999999832362,2906771.040000000502914,12210445.820000000298023
FS( 108 ),3354073.199999999720603,3068803.119999999646097,2807392.280000000260770,2881872.400000000372529,12112141.000000000000000
FS( 109 ),3320391.439999999944121,3051829.679999999701977,2799383.300000000279397,2886628.320000000298023,12058232.740000000223517
FS( 110 ),3344308.319999999832362,3084233.520000000018626,2835233.020000000018626,2925235.200000000186265,12189010.059999998658895
FS( 111 ),3379263.759999999776483,3080568.799999999813735,2821503.340000000316650,2921598.320000000298023,12202934.220000000670552
FS( 112 ),3404878.879999999888241,3115672.959999999962747,2851250.980000000447035,2969717.040000000502914,12341519.860000001266599
FS( 113 ),3404737.359999999869615,3015375.359999999869615,2848199.940000000409782,2971395.600000000093132,12239708.259999999776483
FS( 114 ),3423842.559999999590218,3028298.319999999832362,2868413.080000000074506,2960764.720000000204891,12281318.679999999701977
FS( 115 ),3470544.159999999683350,3028298.319999999832362,2851632.359999999869615,2967758.720000000204891,12318233.560000000521541
FS( 116 ),3523897.199999999720603,3026755.279999999795109,2872226.880000000353903,2945937.439999999944121,12368816.799999998882413
FS( 117 ),3581637.359999999869615,3022126.160000000149012,2866506.180000000167638,2932788.720000000204891,12403058.419999999925494
FS( 118 ),3572863.119999999646097,3036592.160000000149012,2877184.819999999832362,2949014.799999999813735,12435654.899999998509884
FS( 119 ),3615319.119999999646097,3083847.759999999776483,2858115.819999999832362,2949014.799999999813735,12506297.500000000000000
FS( 120 ),3623527.279999999795109,3067452.959999999962747,2830275.080000000074506,2946217.200000000186265,12467472.519999999552965
FS( 121 ),3629329.599999999627471,3065138.399999999906868,2837902.680000000167638,2953211.200000000186265,12485581.879999998956919
FS( 122 ),3599185.839999999850988,3014025.199999999720603,2794043.980000000447035,2882152.160000000149012,12289407.179999999701977
FS( 123 ),3590411.599999999627471,2957897.119999999646097,2794043.980000000447035,2879914.080000000074506,12222266.779999999329448
FS( 124 ),3612771.759999999776483,2971398.720000000204891,2816545.399999999906868,2906491.280000000260770,12307207.160000000149012
FS( 125 ),3598478.239999999757856,3037749.439999999944121,2817308.160000000149012,2925794.720000000204891,12379330.560000000521541
FS( 126 ),3597629.119999999646097,3022126.160000000149012,2840953.719999999739230,2925794.720000000204891,12386503.720000000670552
FS( 127 ),3622819.679999999701977,3027526.799999999813735,2845530.280000000260770,2949854.080000000074506,12445730.839999999850988
FS( 128 ),3615319.119999999646097,3025598.000000000000000,2832181.980000000447035,2954050.480000000447035,12427149.580000000074506
FS( 129 ),3619564.719999999739230,3032348.799999999813735,2848581.319999999832362,2946217.200000000186265,12446712.039999999105930
FS( 130 ),3663860.479999999515712,3063016.720000000204891,2897397.959999999962747,2972234.879999999888241,12596510.039999999105930
FS( 131 ),3659473.359999999403954,3078447.119999999646097,2898542.100000000093132,2985943.120000000111759,12622405.699999999254942
FS( 132 ),3656784.479999999515712,3088476.879999999888241,2909602.120000000111759,2993776.400000000372529,12648639.880000000819564
FS( 133 ),3692730.559999999590218,3097349.359999999869615,2909602.120000000111759,3002169.200000000186265,12701851.239999998360872
FS( 134 ),3699948.079999999608845,3146919.520000000018626,2914560.060000000055879,3033782.080000000074506,12795209.740000000223517
FS( 135 ),3706599.520000000018626,3161578.399999999906868,2941256.660000000149012,3024550.000000000000000,12833984.580000000074506
FS( 136 ),3690041.679999999701977,3189738.879999999888241,2955367.719999999739230,3039936.799999999813735,12875085.079999998211861
FS( 137 ),3676031.199999999720603,3182795.199999999720603,2961469.800000000279397,3029865.439999999944121,12850161.639999998733401
FS( 138 ),3660039.439999999944121,3190317.520000000018626,2959181.520000000018626,3008603.680000000167638,12818142.160000000149012
FS( 139 ),3680135.279999999795109,3197454.080000000074506,2959944.280000000260770,3015877.439999999944121,12853411.080000000074506
FS( 140 ),3665983.279999999795109,3211534.319999999832362,2971385.680000000167638,2994056.160000000149012,12842959.439999999478459
FS( 141 ),3746791.199999999720603,3207676.720000000204891,3005709.880000000353903,3008883.439999999944121,12969061.240000000223517
FS( 142 ),3712401.839999999850988,3150584.239999999757856,3006472.640000000130385,3008323.920000000391155,12877782.640000000596046
FS( 143 ),3764481.199999999720603,3160999.759999999776483,3007616.780000000260770,3032942.799999999813735,12966040.539999999105930
FS( 144 ),3657209.040000000037253,3155213.359999999869615,2998845.040000000037253,3063156.879999999888241,12874424.320000000298023
FS( 145 ),3669238.239999999292195,3163507.199999999720603,3003802.980000000447035,3071829.439999999944121,12908377.859999999403954
FS( 146 ),3629471.119999999646097,3190124.639999999664724,3196399.880000000353903,3069311.600000000093132,13085307.240000000223517
FS( 147 ),3668955.199999999720603,3206326.559999999590218,3199450.919999999925494,3078543.680000000167638,13153276.359999999403954
FS( 148 ),3650982.160000000149012,3219442.399999999906868,3172372.940000000409782,3076865.120000000111759,13119662.620000001043081
FS( 149 ),3658341.199999999720603,3209026.879999999888241,3172372.940000000409782,3107358.959999999962747,13147099.980000000447035
FS( 150 ),3716788.959999999497086,3242395.119999999646097,3205553.000000000000000,3104841.120000000111759,13269578.199999999254942
FS( 151 ),3704335.199999999720603,3253003.520000000018626,3208985.419999999925494,3115472.000000000000000,13281796.140000000596046
FS( 152 ),3737167.839999999850988,3280392.479999999515712,3221570.959999999962747,3131138.560000000055879,13370269.839999999850988
FS( 153 ),3766320.959999999497086,3293894.080000000074506,3213943.359999999869615,3135894.480000000447035,13410052.879999998956919
FS( 154 ),3758395.839999999850988,3280971.119999999646097,3225003.380000000353903,3146525.359999999869615,13410895.699999999254942
FS( 155 ),3717779.599999999627471,3221178.319999999832362,3207078.520000000018626,3137293.280000000260770,13283329.719999998807907
FS( 156 ),3691598.399999999906868,3193982.239999999757856,3198688.160000000149012,3130019.520000000018626,13214288.320000000298023
FS( 157 ),3713817.040000000037253,3228314.879999999888241,3200976.440000000409782,3116591.040000000502914,13259699.400000000372529
FS( 158 ),3704476.719999999739230,3242588.000000000000000,3205553.000000000000000,3132817.120000000111759,13285434.839999999850988
FS( 159 ),3720043.919999999925494,3227350.479999999515712,3164745.340000000316650,3084418.640000000130385,13196558.380000000819564
FS( 160 ),3731931.599999999627471,3242202.239999999757856,3173135.700000000186265,3105960.160000000149012,13253229.699999999254942
FS( 161 ),3711552.719999999739230,3215777.679999999701977,3142625.300000000279397,3072388.959999999962747,13142344.660000000149012
FS( 162 ),3745092.959999999497086,3219828.160000000149012,3147583.240000000223517,3076025.840000000316650,13188530.199999999254942
FS( 163 ),3778491.679999999701977,3246252.720000000204891,3192967.459999999962747,3117989.840000000316650,13335701.699999999254942
FS( 164 ),3752451.999999999534339,3260718.720000000204891,3169703.280000000260770,3100364.959999999962747,13283238.960000000894070
FS( 165 ),3762782.959999999497086,3261876.000000000000000,3175423.980000000447035,3132537.359999999869615,13332620.299999998882413
FS( 166 ),3758537.359999999403954,3258982.799999999813735,3198688.160000000149012,3144007.520000000018626,13360215.839999999850988
FS( 167 ),3792643.679999999701977,3304888.239999999757856,3237207.540000000037253,3171424.000000000000000,13506163.460000000894070
FS( 168 ),3811182.799999999813735,3287336.160000000149012,3178475.020000000018626,3073508.000000000000000,13350501.980000000447035
FS( 169 ),3917322.799999999813735,3317039.679999999701977,3210129.560000000055879,3149882.480000000447035,13594374.519999999552965
FS( 170 ),3840618.959999999497086,3334398.879999999888241,3213561.980000000447035,3097847.120000000111759,13486426.940000001341105
FS( 171 ),3933880.640000000130385,3291579.520000000018626,3092283.140000000130385,3005526.320000000298023,13323269.620000001043081
FS( 172 ),3899491.279999999795109,3336713.439999999944121,3111733.520000000018626,3037698.720000000204891,13385636.960000000894070
FS( 173 ),3938126.239999999292195,3346164.559999999590218,3157117.740000000223517,3070150.879999999888241,13511559.419999998062849
FS( 174 ),3990488.640000000130385,3335170.399999999906868,3146057.719999999739230,3116591.040000000502914,13588307.800000000745058
FS( 175 ),4046105.999999999534339,3339799.520000000018626,3209748.180000000167638,3150162.239999999757856,13745815.939999999478459
FS( 176 ),4007329.520000000018626,3341728.319999999832362,3250555.840000000316650,3143727.760000000242144,13743341.439999999478459
FS( 177 ),4103280.079999999608845,3322054.559999999590218,3263904.140000000130385,3174221.600000000093132,13863460.379999998956919
FS( 178 ),4130168.879999999422580,3347514.720000000204891,3255132.399999999906868,3170025.200000000186265,13902841.199999999254942
FS( 179 ),4159038.959999999497086,3339606.639999999664724,3229961.319999999832362,3159114.560000000055879,13887721.480000000447035
FS( 180 ),4159888.079999999608845,3357351.600000000093132,3312339.399999999906868,3184292.959999999962747,14013872.039999999105930
FS( 181 ),4191022.479999999515712,3360051.919999999459833,3294414.540000000037253,3176739.439999999944121,14022228.379999997094274
FS( 182 ),4206731.199999999254942,3344428.639999999664724,3273438.640000000130385,3137293.280000000260770,13961891.759999997913837
FS( 183 ),4215930.000000000000000,3320897.279999999795109,3261615.859999999869615,3136733.760000000242144,13935176.899999998509884
FS( 184 ),4175313.759999999310821,3314725.119999999646097,3260853.100000000093132,3144846.799999999813735,13895738.779999997466803
FS( 185 ),4176304.399999999906868,3306431.279999999795109,3261234.480000000447035,3152680.080000000074506,13896650.240000000223517
FS( 186 ),4179983.919999999925494,3303923.839999999850988,3257039.300000000279397,3161072.879999999888241,13902019.940000001341105
FS( 187 ),4183663.439999999944121,3330541.279999999795109,3268862.080000000074506,3189888.160000000149012,13972954.960000000894070
FS( 188 ),4193994.399999999906868,3338835.119999999646097,3269243.459999999962747,3199120.239999999757856,14001193.220000000670552
FS( 189 ),4173615.520000000018626,3319932.879999999888241,3262378.620000000111759,3189888.160000000149012,13945815.179999999701977
FS( 190 ),4200928.879999998956919,3341149.679999999701977,3278015.200000000186265,3203596.400000000372529,14023690.159999998286366
FS( 191 ),4214514.800000000745058,3327069.439999999944121,3293270.399999999906868,3235489.040000000502914,14070343.680000001564622
FS( 192 ),4198523.039999999105930,3350407.919999999459833,3322255.280000000260770,3247518.720000000204891,14118704.959999999031425
FS( 193 ),4370752.879999998956919,3357158.720000000204891,3363444.319999999832362,3325292.000000000000000,14416647.919999999925494
FS( 194 ),4389292.000000000000000,3354844.160000000149012,3366876.740000000223517,3338720.480000000447035,14449733.380000000819564
FS( 195 ),4506470.560000000521541,3347321.839999999850988,3364588.459999999962747,3332286.000000000000000,14550666.859999999403954
FS( 196 ),4532368.719999998807907,3346743.199999999720603,3349333.259999999776483,3328649.120000000111759,14557094.299999997019768
FS( 197 ),4643603.439999999478459,3344428.639999999664724,3359249.140000000130385,3352708.480000000447035,14699989.699999999254942
FS( 198 ),4758093.119999999180436,3347900.479999999515712,3417218.899999999906868,3359702.480000000447035,14882914.979999998584390
FS( 199 ),4743233.519999999552965,3350022.160000000149012,3369546.399999999906868,3368095.280000000260770,14830897.359999999403954
FS( 200 ),4967542.719999998807907,3375096.559999999590218,3437813.419999999925494,3412577.120000000111759,15193029.820000000298023
FS( 201 ),4813993.519999999552965,3367188.479999999515712,3436287.899999999906868,3444190.000000000000000,15061659.899999998509884
FS( 202 ),4779604.160000000149012,3397084.879999999888241,3432474.100000000093132,3432719.840000000316650,15041882.980000000447035
FS( 203 ),4783425.199999999254942,3398820.799999999813735,3493876.280000000260770,3478320.720000000204891,15154443.000000000000000
FS( 204 ),4749318.879999998956919,3410393.600000000093132,3504936.300000000279397,3487273.040000000502914,15151921.820000000298023
FS( 205 ),4736582.080000000074506,3397084.879999999888241,3501885.259999999776483,3484475.439999999944121,15120027.659999998286366
FS( 206 ),4855741.919999999925494,3388212.399999999906868,3521335.640000000130385,3503219.359999999869615,15268509.320000000298023
FS( 207 ),4857298.640000000596046,3440290.000000000000000,3587314.380000000353903,3533992.959999999962747,15418895.980000000447035
FS( 208 ),4823333.839999999850988,3428910.080000000074506,3581975.060000000055879,3492588.480000000447035,15326807.460000000894070
FS( 209 ),4779321.119999999180436,3326876.559999999590218,3536972.219999999739230,3456499.439999999944121,15099669.339999997988343
FS( 210 ),5015093.439999999478459,3301030.639999999664724,3623545.480000000447035,3475523.120000000111759,15415192.679999999701977
FS( 211 ),5051464.080000000074506,3315689.520000000018626,3594941.980000000447035,3517207.359999999869615,15479302.939999999478459
FS( 212 ),4937823.519999999552965,3267083.759999999776483,3500359.740000000223517,3382642.799999999813735,15087909.820000000298023
FS( 213 ),4654358.959999999031425,3160421.119999999646097,3356198.100000000093132,3252834.160000000149012,14423812.339999997988343
FS( 214 ),4824607.519999999552965,3186074.160000000149012,3483197.640000000130385,3356345.359999999869615,14850224.679999999701977
FS( 215 ),4926643.439999999478459,3196296.799999999813735,3417600.280000000260770,3347393.040000000502914,14887933.560000000521541
FS( 216 ),4665397.519999999552965,3066295.679999999701977,3242165.480000000447035,3185412.000000000000000,14159270.679999999701977
FS( 217 ),4710259.359999999403954,3101592.720000000204891,3363062.940000000409782,3254232.959999999962747,14429147.980000000447035
FS( 218 ),4865506.800000000745058,3161385.520000000018626,3399294.040000000037253,3314381.359999999869615,14740567.719999998807907
FS( 219 ),4856449.519999999552965,3132453.520000000018626,3425990.640000000130385,3311024.239999999757856,14725917.919999999925494
FS( 220 ),4880366.400000000372529,3085969.439999999944121,3463365.880000000353903,3380404.720000000204891,14810106.440000001341105
FS( 221 ),5044671.119999999180436,3101206.959999999962747,3533921.180000000167638,3420969.920000000391155,15100769.179999999701977
FS( 222 ),5024575.279999999329448,3043535.839999999850988,3508750.100000000093132,3408940.239999999757856,14985801.459999999031425
FS( 223 ),5000658.400000000372529,3031384.399999999906868,3536209.459999999962747,3413416.400000000372529,14981668.660000002011657
FS( 224 ),4986789.439999999478459,3059930.639999999664724,3489299.719999999739230,3369214.320000000298023,14905234.119999999180436
FS( 225 ),5037029.039999999105930,3098892.399999999906868,3498452.840000000316650,3367815.520000000018626,15002189.799999998882413
FS( 226 ),5047501.519999999552965,3145183.600000000093132,3587314.380000000353903,3439154.320000000298023,15219153.820000000298023
FS( 227 ),5144018.160000000149012,3155213.359999999869615,3639182.060000000055879,3485594.480000000447035,15424008.060000000521541
FS( 228 ),5160434.480000000447035,3098892.399999999906868,3592653.700000000186265,3451463.760000000242144,15303444.340000001713634
FS( 229 ),5126045.119999999180436,3042571.439999999944121,3576254.359999999869615,3439434.080000000074506,15184304.999999998137355
FS( 230 ),4948862.080000000074506,3003223.919999999459833,3541167.399999999906868,3368375.040000000502914,14861628.440000001341105
