訓練日期,20171005 - 20180108
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11417389.359999999403954
真實報酬,1417389.359999999403954

夏普值報酬,0.133038936000000
夏普值風險,0.036707454679918
夏普值,3.624302942278966

預期報酬,20962.010223455930827
風險,36972.415912050499173
趨勢值,0.566963497146632
找到最佳解世代,2427
找到最佳解實驗#,3
找到最佳解次數,15

stock[index](rank)
投資組合檔數,11
AAPL[0](13),CAT[3](3),CVX[5](23),HD[9](14),KO[14](25),MCD[15](6),MSFT[18](8),NKE[19](1),TRV[22](15),WBA[27](29),WMT[28](2),
20171025,926444.390000000013970,981527.200000000069849,915738.660000000032596,913379.219999999972060,920079.000000000000000,945921.339999999967404,957043.739999999990687,959011.299999999930151,966905.559999999939464,831527.640000000013970,1017018.659999999916181,10334606.710000000894070
20171026,932367.390000000013970,982244.400000000023283,915738.660000000032596,922067.640000000013970,923675.399999999906868,948407.599999999860302,958625.970000000088476,991652.150000000023283,968079.479999999981374,804554.640000000013970,1018627.819999999948777,10366051.150000000372529
20171027,965773.110000000102445,988484.040000000153668,877856.760000000009313,920362.950000000069849,920478.599999999976717,956386.759999999776483,1020089.520000000018626,976815.400000000023283,961622.919999999925494,773026.199999999953434,1013455.519999999902211,10374361.779999999329448
20171030,987510.520000000018626,979017.000000000116415,884428.109999999986030,909199.980000000097789,916282.800000000046566,961243.639999999897555,1021063.200000000069849,964771.450000000069849,973068.640000000013970,794364.839999999967404,999432.839999999967404,10390393.019999999552965
20171031,1001251.880000000004657,974068.320000000181608,896024.609999999986030,911784.510000000009313,918680.399999999906868,965175.399999999906868,1012421.790000000037253,959884.050000000046566,971821.349999999860302,794484.719999999972060,1003570.679999999934807,10409177.710000000894070
20171101,988517.430000000051223,977582.599999999976717,896101.920000000041910,909584.910000000032596,915084.000000000000000,962053.119999999995343,1012421.790000000037253,961280.449999999953434,979305.089999999967404,803355.839999999967404,1010811.899999999906868,10416109.050000000745058
20171102,995743.490000000107102,978873.560000000055879,891695.250000000000000,894902.580000000074506,916682.400000000023283,972055.979999999864958,1023010.559999999939464,962153.199999999953434,988256.229999999981374,800598.599999999976717,1020696.739999999874271,10444678.589999999850988
20171103,1021745.460000000079162,980021.080000000074506,889066.709999999962747,904140.899999999906868,918480.599999999976717,975236.079999999958090,1024105.950000000069849,972451.650000000023283,978204.539999999920838,801677.520000000018626,1030811.459999999962747,10495951.949999999254942
20171106,1032110.710000000079162,987766.840000000200234,904915.260000000009313,903206.070000000065193,908490.599999999976717,983446.519999999902211,1028122.380000000004657,978211.799999999930151,979084.979999999981374,790528.679999999934807,1019547.339999999967404,10515441.179999999701977
20171107,1035427.590000000083819,995656.040000000153668,906461.459999999962747,900126.630000000004657,917881.199999999953434,987493.919999999925494,1025688.179999999934807,962676.849999999976717,981139.339999999967404,814264.919999999925494,1022420.839999999967404,10549246.969999998807907
20171108,1043897.480000000097789,984754.599999999976717,902054.790000000037253,902271.240000000107102,922676.400000000023283,983619.979999999864958,1029217.770000000018626,973324.399999999906868,979671.940000000060536,826013.160000000032596,1037477.979999999981374,10584989.740000000223517
20171109,1041765.200000000069849,970769.200000000069849,906461.459999999962747,897982.020000000135042,923675.399999999906868,965695.779999999911524,1023497.400000000023283,979782.750000000000000,987082.309999999939464,833685.479999999981374,1037937.739999999874271,10568344.740000002086163
20171110,1034598.369999999995343,978945.280000000027940,905997.600000000093132,902601.180000000167638,929869.199999999953434,957543.159999999916181,1020819.780000000027940,979084.550000000046566,994492.679999999934807,851068.079999999958090,1045064.019999999902211,10600093.900000000372529
20171113,1030452.270000000018626,979303.880000000121072,906384.150000000023283,909419.940000000060536,933465.599999999976717,967835.119999999995343,1021550.040000000037253,975942.649999999906868,978204.539999999920838,843635.520000000018626,1045868.599999999860302,10592072.309999998658895
20171114,1014874.780000000144355,986547.599999999976717,903987.540000000037253,924322.230000000097789,947651.400000000023283,972113.800000000046566,1023010.559999999939464,977164.499999999883585,982166.520000000018626,846272.880000000004657,1047018.000000000000000,10625139.810000000521541
20171115,1001488.800000000162981,961875.920000000041910,900353.970000000088476,910079.820000000065193,935263.800000000046566,967546.019999999902211,1009987.590000000083819,988510.250000000000000,981065.969999999972060,841597.559999999939464,1032535.559999999939464,10530315.260000001639128
20171116,1013453.260000000009313,978084.640000000130385,885819.689999999944121,921242.790000000037253,930069.000000000000000,971998.159999999916181,1012665.210000000079162,998983.249999999883585,959788.669999999925494,854784.359999999986030,1145061.819999999832362,10671960.849999999627471
20171117,1007826.410000000149012,976435.080000000074506,886902.030000000027940,922562.550000000046566,913285.800000000046566,964076.819999999948777,1002928.410000000032596,1033195.049999999930151,953258.739999999874271,854184.959999999962747,1120349.719999999739230,10635015.570000000298023
20171120,1006819.500000000000000,982029.240000000107102,886979.339999999967404,937464.839999999967404,908290.800000000046566,965291.039999999920838,1004510.640000000013970,1034242.349999999976717,952158.190000000060536,848550.599999999976717,1120464.660000000149012,10646811.199999999254942
20171121,1025536.180000000051223,986977.920000000041910,890458.290000000037253,950717.430000000167638,914684.400000000023283,973212.380000000004657,1018994.130000000004657,1036686.049999999930151,958468.009999999892898,853106.039999999920838,1109430.419999999925494,10718281.250000000000000
20171122,1036316.040000000153668,989918.440000000060536,896179.229999999981374,946318.230000000097789,915883.200000000069849,977548.880000000004657,1011569.819999999948777,1031100.449999999953434,953919.069999999832362,855144.000000000000000,1108166.080000000074506,10722073.439999999478459
20171124,1036375.270000000018626,985471.800000000046566,900817.830000000074506,947802.960000000079162,916682.400000000023283,977895.800000000046566,1013395.470000000088476,1035464.199999999953434,952598.410000000032596,842556.599999999976717,1110579.819999999832362,10719650.560000000521541
20171127,1031163.030000000144355,984037.400000000023283,893705.310000000055879,957866.130000000004657,917082.000000000000000,977028.500000000000000,1020819.780000000027940,1040875.250000000000000,957367.459999999846332,831887.279999999911524,1110579.819999999832362,10722421.959999999031425
20171128,1025121.570000000065193,996947.000000000116415,900353.970000000088476,971118.719999999972060,915683.400000000023283,990789.659999999916181,1033112.489999999990687,1040002.500000000000000,975930.069999999832362,866053.079999999958090,1112303.919999999925494,10827426.380000000819564
20171129,1003858.000000000000000,990277.040000000153668,905997.600000000093132,974858.040000000037253,909090.000000000000000,985528.039999999920838,1014369.150000000023283,1053617.399999999906868,987082.309999999939464,862216.919999999925494,1121384.180000000167638,10808288.679999999701977
20171130,1017895.510000000009313,1012438.520000000135042,919990.709999999962747,988990.469999999972060,914484.600000000093132,994432.319999999948777,1024471.080000000074506,1054664.700000000186265,994712.789999999920838,872286.839999999967404,1117591.160000000149012,10911968.700000001117587
20171201,1013157.110000000102445,1015092.160000000149012,924010.830000000074506,992289.869999999995343,918480.599999999976717,999636.119999999995343,1025566.470000000088476,1045239.000000000000000,999408.469999999972060,856582.559999999939464,1118970.439999999944121,10908443.630000000819564
20171204,1005753.360000000102445,1014948.720000000088476,934293.060000000055879,1016925.390000000013970,923675.399999999906868,986800.079999999958090,986862.689999999944121,1049079.100000000093132,1000509.020000000018626,858021.119999999878928,1115062.479999999981374,10891940.419999998062849
20171205,1004805.680000000051223,1005194.800000000046566,930814.109999999986030,1005652.440000000060536,924274.799999999930151,1000329.959999999962747,993069.900000000023283,1054664.700000000186265,992878.539999999920838,841357.800000000046566,1124487.560000000055879,10877540.290000000968575
20171206,1001074.190000000060536,1006629.200000000069849,924783.930000000051223,994379.490000000107102,928071.000000000000000,1003163.139999999897555,1007553.390000000013970,1042446.199999999953434,993172.020000000018626,851787.359999999986030,1118165.859999999869615,10871235.779999999329448
20171207,1002910.320000000065193,1024917.800000000046566,924938.549999999930151,1000978.290000000037253,914684.400000000023283,999867.399999999906868,1004023.799999999930151,1057806.600000000093132,984734.469999999972060,834524.640000000013970,1112418.859999999869615,10861815.130000000819564
20171208,1003206.470000000088476,1031874.640000000130385,927180.540000000037253,1008731.880000000004657,905293.800000000046566,1001255.079999999958090,1024349.369999999995343,1070025.100000000093132,981359.449999999953434,857781.359999999986030,1109775.239999999757856,10920842.929999999701977
20171211,1022752.369999999995343,1031229.160000000149012,931046.040000000037253,1002353.040000000037253,905693.400000000023283,1001833.279999999911524,1037372.340000000083819,1080672.649999999906868,977030.619999999878928,861737.399999999906868,1114142.959999999962747,10965873.260000001639128
20171212,1017007.060000000055879,1028718.959999999962747,925325.100000000093132,999878.490000000107102,904894.199999999953434,995935.639999999897555,1041632.189999999944121,1085210.950000000186265,985761.649999999906868,863295.839999999967404,1111499.339999999850988,10959169.419999999925494
20171213,1020383.170000000158325,1065654.760000000242144,927257.850000000093132,1006642.260000000009313,917082.000000000000000,1003567.880000000004657,1038832.859999999986030,1122390.100000000093132,979965.419999999925494,859819.319999999948777,1123682.979999999981374,11065288.600000001490116
20171214,1020087.020000000018626,1049230.879999999888241,924165.450000000069849,1001693.160000000032596,919679.400000000023283,1001197.259999999776483,1030800.000000000000000,1126404.750000000000000,972775.160000000032596,843515.640000000013970,1116441.759999999776483,11006000.480000000447035
20171215,1030452.270000000018626,1052171.399999999906868,925711.650000000023283,1004167.710000000079162,922876.199999999953434,1006516.699999999953434,1057089.359999999869615,1130943.050000000279397,989723.629999999888241,862456.679999999934807,1116211.879999999888241,11098330.529999997466803
20171218,1044963.619999999995343,1074261.160000000149012,925479.720000000088476,1015990.559999999939464,917681.400000000023283,1007326.179999999818392,1051368.989999999990687,1131292.149999999906868,992071.469999999972060,869769.359999999986030,1125292.140000000130385,11155506.750000001862645
20171219,1033828.380000000004657,1082437.240000000223517,926562.060000000055879,1022864.309999999939464,921677.400000000023283,1002642.759999999776483,1044674.939999999944121,1121342.799999999813735,994492.679999999934807,865453.679999999934807,1135636.739999999757856,11151622.990000000223517
20171220,1032703.010000000009313,1093984.160000000149012,934679.609999999986030,1030177.980000000097789,920678.400000000023283,995588.719999999855645,1040901.929999999934807,1109997.049999999813735,992438.319999999832362,871807.319999999948777,1135062.040000000037253,11158028.539999999105930
20171221,1036612.190000000060536,1109188.799999999813735,965062.439999999944121,1034412.210000000079162,911088.000000000000000,993738.479999999864958,1040658.510000000009313,1130593.949999999720603,986421.979999999981374,878160.959999999962747,1127131.180000000167638,11213078.699999999254942
20171222,1036612.190000000060536,1117149.720000000204891,966299.400000000023283,1034687.160000000032596,910888.200000000069849,991252.219999999855645,1040780.220000000088476,1104760.549999999813735,986055.129999999888241,871687.439999999944121,1128855.279999999795109,11189037.509999997913837
20171226,1010314.070000000065193,1122098.399999999906868,974030.400000000023283,1046949.930000000167638,915283.800000000046566,990500.559999999823049,1039441.410000000032596,1111044.350000000093132,988916.559999999939464,878760.359999999986030,1139774.580000000074506,11217124.419999999925494
20171227,1010491.760000000009313,1129844.160000000149012,970706.069999999948777,1046015.099999999976717,917681.400000000023283,998479.719999999855645,1043214.419999999925494,1098825.850000000093132,988843.190000000060536,873485.640000000013970,1140923.979999999981374,11218521.290000000968575
20171228,1013334.800000000162981,1136298.959999999962747,970938.000000000000000,1043760.510000000009313,913485.599999999976717,1000965.979999999864958,1043336.130000000004657,1098825.850000000093132,995373.119999999878928,874444.679999999934807,1142533.140000000130385,11233306.769999999552965
20171229,1002377.250000000000000,1130274.479999999981374,967922.910000000032596,1042385.760000000009313,916682.400000000023283,995299.619999999995343,1041145.350000000093132,1091843.850000000093132,995226.379999999888241,870608.520000000018626,1135062.040000000037253,11188838.559999998658895
20180102,1020323.940000000060536,1126401.600000000093132,986400.000000000000000,1034137.260000000009313,909889.199999999953434,1001659.819999999948777,1046135.460000000079162,1108251.549999999813735,968372.959999999846332,898540.559999999939464,1133223.000000000000000,11233345.349999999627471
20180103,1020146.250000000000000,1128122.879999999888241,993589.829999999958090,1039526.280000000027940,907891.199999999953434,997438.959999999962747,1051003.859999999869615,1108077.000000000000000,971454.500000000000000,905253.839999999967404,1143107.839999999850988,11265622.439999999478459
20180104,1024884.650000000139698,1143614.399999999906868,990497.430000000167638,1047774.780000000027940,920678.400000000023283,1004435.179999999818392,1060253.820000000065193,1107378.799999999813735,971454.500000000000000,858380.759999999892898,1144142.299999999813735,11273505.019999999552965
20180105,1036552.960000000079162,1161687.840000000316650,988873.920000000041910,1058717.790000000037253,920478.599999999976717,1006458.880000000004657,1073398.500000000000000,1116804.500000000000000,969693.619999999878928,874204.919999999925494,1150923.759999999776483,11357805.289999999105930
20180108,1032703.010000000009313,1190877.879999999888241,993744.450000000069849,1056188.250000000000000,919080.000000000000000,1005765.039999999920838,1074493.890000000130385,1126753.850000000093132,964484.349999999860302,885353.759999999892898,1167934.879999999888241,11417389.359999999403954
