訓練日期,20140127 - 20140429
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11070233.419999999925494
真實報酬,1070233.419999999925494

夏普值報酬,0.098323342000000
夏普值風險,0.029092381819651
夏普值,3.379693784081529

預期報酬,16338.779842203590306
風險,67950.866396196710411
趨勢值,0.240449911954590
找到最佳解世代,3884
找到最佳解實驗#,2
找到最佳解次數,23

stock[index](rank)
投資組合檔數,6
CAT[3](1),DD[7](8),INTC[11](15),JNJ[12](3),MCD[15](5),PG[21](23),
20140303,1862783.739999999990687,1859692.439999999944121,1645841.130000000121072,1684139.350000000093132,1664724.609999999869615,1630882.699999999953434,10348067.969999998807907
20140304,1876515.849999999860302,1899052.579999999841675,1653230.600000000093132,1716878.890000000130385,1676372.949999999953434,1651300.229999999981374,10473355.099999999627471
20140305,1863944.200000000186265,1916306.339999999850988,1645841.130000000121072,1703084.140000000130385,1677078.909999999916181,1638039.359999999869615,10444298.080000000074506
20140306,1887733.629999999888241,1911184.129999999888241,1654574.140000000130385,1708602.040000000037253,1686962.349999999860302,1643091.119999999878928,10492151.410000000149012
20140307,1877096.080000000074506,1900939.709999999962747,1655245.910000000149012,1716511.029999999795109,1685550.429999999934807,1649826.799999999813735,10485173.960000000894070
20140310,1871293.780000000027940,1913071.259999999776483,1668681.310000000055879,1718902.120000000111759,1680255.729999999981374,1652984.149999999906868,10505192.349999999627471
20140311,1873034.470000000204891,1891234.469999999972060,1661291.840000000083819,1719637.839999999850988,1743439.149999999906868,1661824.729999999981374,10550466.500000000000000
20140312,1872647.649999999906868,1882337.999999999767169,1663307.150000000139698,1721661.069999999832362,1742203.719999999739230,1667928.939999999711290,10550090.529999999329448
20140313,1849245.040000000037253,1871284.809999999823049,1650543.520000000251457,1710625.270000000018626,1718554.060000000055879,1666876.489999999990687,10467133.190000001341105
20140314,1844990.020000000018626,1867780.139999999897555,1645841.130000000121072,1707130.600000000093132,1722260.349999999860302,1662456.199999999953434,10450462.439999999478459
20140317,1850405.500000000000000,1881259.639999999897555,1659276.530000000027940,1727730.760000000242144,1722613.329999999841675,1680558.340000000083819,10521848.099999999627471
20140318,1864717.839999999850988,1906870.689999999944121,1667337.770000000251457,1727914.689999999944121,1717495.119999999878928,1679084.909999999916181,10563425.019999999552965
20140319,1857561.670000000158325,1904713.969999999972060,1680773.170000000158325,1721477.140000000130385,1696139.829999999841675,1658246.399999999906868,10518916.180000001564622
20140320,1860849.639999999897555,1928977.069999999832362,1708315.739999999990687,1731225.430000000167638,1704964.329999999841675,1648563.859999999869615,10582900.070000000298023
20140321,1883672.020000000018626,1927629.119999999878928,1690849.720000000204891,1764516.760000000242144,1685020.959999999962747,1639302.299999999813735,10590994.879999998956919
20140324,1873227.879999999888241,1925741.989999999990687,1687490.870000000111759,1751089.870000000111759,1697551.750000000000000,1669191.879999999888241,10604298.239999998360872
20140325,1906881.220000000204891,1944343.699999999953434,1710331.050000000279397,1791186.609999999869615,1692786.519999999785796,1679926.869999999878928,10725459.969999998807907
20140326,1891601.830000000074506,1897704.629999999888241,1704956.890000000130385,1785116.919999999925494,1691551.090000000083819,1673401.679999999934807,10644337.039999999105930
20140327,1904173.479999999981374,1842438.679999999934807,1700254.500000000000000,1789347.310000000055879,1697198.769999999785796,1676559.030000000027940,10609975.769999999552965
20140328,1922354.020000000018626,1850526.379999999888241,1721079.370000000111759,1792290.189999999944121,1716259.689999999944121,1678874.420000000158325,10681388.069999998435378
20140331,1921967.200000000186265,1865623.419999999925494,1733843.000000000000000,1806820.660000000149012,1730202.399999999906868,1696555.579999999841675,10755016.259999999776483
20140401,1930477.239999999990687,1908488.229999999981374,1745934.860000000102445,1801486.689999999944121,1727908.030000000027940,1691082.840000000083819,10805381.889999998733401
20140402,1985018.859999999869615,1915767.159999999916181,1739217.160000000149012,1806820.660000000149012,1722436.840000000083819,1686662.549999999813735,10855927.230000000447035
20140403,1983471.580000000074506,1902826.839999999850988,1774149.200000000186265,1807372.450000000186265,1723672.269999999785796,1686031.079999999841675,10877527.419999999925494
20140404,1976122.000000000000000,1869397.679999999934807,1757354.950000000186265,1810315.330000000074506,1727378.560000000055879,1679084.909999999916181,10819657.429999999701977
20140407,1955620.540000000037253,1840281.959999999962747,1779523.360000000102445,1800567.040000000037253,1712200.419999999925494,1694240.189999999711290,10782437.509999999776483
20140408,1980377.020000000018626,1845673.759999999776483,1807737.700000000186265,1803693.850000000093132,1731084.849999999860302,1712342.329999999841675,10880913.509999999776483
20140409,1991981.619999999878928,1880181.279999999795109,1812440.090000000083819,1820063.620000000111759,1735850.079999999841675,1715289.189999999711290,10955809.879999998956919
20140410,1977862.690000000176951,1831385.489999999990687,1775492.739999999990687,1775736.490000000223517,1754911.000000000000000,1706869.590000000083819,10822262.000000000000000
20140411,1962196.479999999981374,1802539.359999999869615,1758698.489999999990687,1781806.180000000167638,1752440.140000000130385,1699923.420000000158325,10757608.070000000298023
20140414,1987920.010000000009313,1823567.379999999888241,1784225.750000000000000,1786772.290000000037253,1766912.319999999832362,1700975.869999999878928,10850377.619999999180436
20140415,1982504.530000000027940,1826263.279999999795109,1798332.920000000158325,1824661.870000000111759,1779619.599999999860302,1701607.340000000083819,10912993.539999999105930
20140416,1990821.160000000149012,1862118.749999999767169,1809081.239999999990687,1816385.020000000018626,1779619.599999999860302,1718657.030000000027940,10976686.799999998882413
20140417,1988887.060000000055879,1870476.039999999804422,1816470.709999999962747,1820247.549999999813735,1769383.179999999934807,1720972.420000000158325,10986440.959999999031425
20140421,1985212.270000000018626,1871554.399999999906868,1810424.780000000027940,1839376.270000000018626,1759146.760000000009313,1716762.619999999878928,10982481.099999999627471
20140422,2005520.320000000065193,1879102.919999999925494,1803035.310000000055879,1842687.010000000242144,1752969.609999999869615,1710237.429999999934807,10993556.599999999627471
20140423,1999524.609999999869615,1895547.909999999916181,1796989.380000000121072,1843422.729999999981374,1749616.299999999813735,1691503.819999999832362,10976608.750000000000000
20140424,2036272.510000000009313,1890425.699999999953434,1796989.380000000121072,1838640.549999999813735,1762147.090000000083819,1708132.530000000027940,11032611.759999999776483
20140425,2024861.320000000065193,1862118.749999999767169,1764072.650000000139698,1835513.740000000223517,1777854.699999999953434,1713605.269999999785796,10978030.429999999701977
20140428,2016544.690000000176951,1815749.269999999785796,1768775.040000000037253,1864022.890000000130385,1770442.119999999878928,1745810.239999999990687,10981348.250000000000000
20140429,2036659.330000000074506,1869667.269999999785796,1778851.590000000083819,1858321.060000000055879,1791444.429999999934807,1735285.739999999990687,11070233.419999999925494
