訓練日期,20171016 - 20180118
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11689479.000000000000000
真實報酬,1689479.000000000000000

夏普值報酬,0.160247900000000
夏普值風險,0.043687639067012
夏普值,3.668037536983789

預期報酬,25268.019355468961294
風險,48134.144571771772462
趨勢值,0.524950003376343
找到最佳解世代,2737
找到最佳解實驗#,2
找到最佳解次數,22

stock[index](rank)
投資組合檔數,9
CAT[3](10),DIS[6](3),HD[9](6),MCD[15](8),MSFT[18](7),NKE[19](2),TRV[22](18),WBA[27](13),WMT[28](4),
20171108,1167041.000000000000000,1154469.000000000000000,1108273.899999999906868,1142887.140000000130385,1212480.660000000149012,1215291.100000000093132,1171192.350000000093132,1133148.640000000130385,1157801.280000000027940,10462586.070000000298023
20171109,1150466.000000000000000,1171584.000000000000000,1103005.000000000000000,1122061.340000000083819,1205741.800000000279397,1223355.250000000232831,1180051.060000000055879,1143674.080000000074506,1158314.359999999869615,10458253.890000000596046
20171110,1160156.000000000000000,1195545.000000000000000,1108679.199999999953434,1112588.960000000195578,1202587.440000000176951,1222483.450000000186265,1188909.769999999785796,1167520.779999999795109,1166267.100000000093132,10524738.699999999254942
20171113,1160581.000000000000000,1195088.599999999860302,1117055.399999999906868,1124547.000000000000000,1203447.720000000204891,1218560.350000000093132,1169438.149999999906868,1157324.260000000009313,1167164.989999999990687,10513208.470000000670552
20171114,1169166.000000000000000,1177174.899999999906868,1135361.449999999953434,1129518.320000000065193,1205168.280000000027940,1220086.000000000000000,1174174.489999999990687,1160942.380000000121072,1168447.689999999944121,10540040.509999999776483
20171115,1139926.000000000000000,1183108.099999999860302,1117866.000000000000000,1124211.100000000093132,1189826.620000000111759,1234252.750000000232831,1172858.840000000083819,1154528.439999999944121,1152285.669999999925494,10468864.519999999552965
20171116,1159136.000000000000000,1182081.199999999953434,1131578.649999999906868,1129383.960000000195578,1192980.980000000214204,1247329.750000000000000,1147422.939999999944121,1172619.040000000037253,1277862.000000000000000,10640395.519999999552965
20171117,1157181.000000000000000,1180255.599999999860302,1133199.849999999860302,1120180.300000000046566,1181510.580000000307336,1290047.950000000186265,1139616.749999999767169,1171796.739999999990687,1250283.949999999953434,10624073.719999998807907
20171120,1163811.000000000000000,1172382.699999999953434,1151505.899999999906868,1121591.080000000074506,1183374.520000000251457,1291355.650000000139698,1138301.100000000093132,1164067.120000000111759,1250412.219999999972060,10636802.290000000968575
20171121,1169676.000000000000000,1175235.199999999953434,1167785.449999999953434,1130794.740000000223517,1200436.739999999990687,1294406.950000000186265,1145844.159999999916181,1170316.599999999860302,1238098.300000000046566,10692595.140000002458692
20171122,1173161.000000000000000,1172268.599999999860302,1162381.449999999953434,1135833.240000000223517,1191690.560000000055879,1287432.550000000046566,1140406.139999999897555,1173112.419999999925494,1236687.330000000074506,10672974.289999999105930
20171124,1167891.000000000000000,1171127.599999999860302,1164205.300000000046566,1136236.320000000065193,1193841.260000000242144,1292881.300000000046566,1138827.360000000102445,1155844.120000000111759,1239381.000000000000000,10660236.260000001639128
20171127,1166191.000000000000000,1172839.100000000093132,1176566.949999999953434,1135228.620000000111759,1202587.440000000176951,1299637.750000000232831,1144528.509999999776483,1141207.179999999934807,1239381.000000000000000,10678168.550000000745058
20171128,1181491.000000000000000,1179913.299999999813735,1192846.499999999767169,1151217.460000000195578,1217068.820000000065193,1298548.000000000000000,1166719.139999999897555,1188078.279999999795109,1241305.050000000046566,10817188.550000000745058
20171129,1173586.000000000000000,1200793.599999999860302,1197439.899999999906868,1145104.080000000074506,1194988.300000000279397,1315548.100000000093132,1180051.060000000055879,1182815.560000000055879,1251438.380000000121072,10841765.980000002309680
20171130,1199851.000000000000000,1196001.399999999906868,1214800.249999999767169,1155449.800000000046566,1206888.840000000083819,1316855.800000000279397,1189172.899999999906868,1196630.200000000186265,1247205.469999999972060,10922856.660000002011657
20171201,1202996.000000000000000,1200907.699999999953434,1218853.249999999767169,1161496.000000000000000,1208179.260000000242144,1305086.500000000232831,1194786.340000000083819,1175085.939999999944121,1248744.709999999962747,10916136.699999999254942
20171204,1202826.000000000000000,1257615.399999999906868,1249115.649999999906868,1146582.040000000037253,1162584.420000000158325,1309881.400000000139698,1196101.989999999990687,1177059.459999999962747,1244383.530000000027940,10946150.889999998733401
20171205,1191266.000000000000000,1223385.399999999906868,1235267.899999999906868,1162302.160000000149012,1169896.800000000279397,1316855.800000000279397,1186980.149999999906868,1154199.520000000018626,1254901.669999999925494,10895056.400000000372529
20171206,1192966.000000000000000,1203303.799999999813735,1221420.149999999906868,1165593.979999999981374,1186959.020000000251457,1301599.300000000046566,1187330.989999999990687,1168507.540000000037253,1247846.820000000065193,10875528.600000001490116
20171207,1214641.000000000000000,1201021.800000000046566,1229526.149999999906868,1161764.719999999972060,1182801.000000000000000,1320778.900000000139698,1177244.340000000083819,1144825.300000000046566,1241433.320000000065193,10874037.530000001192093
20171208,1222886.000000000000000,1189269.500000000000000,1239050.699999999953434,1163377.040000000037253,1206745.459999999962747,1336035.400000000139698,1173209.679999999934807,1176730.540000000037253,1238483.109999999869615,10945788.429999999701977
20171211,1222121.000000000000000,1218935.500000000000000,1231214.899999999906868,1164048.840000000083819,1222087.120000000111759,1349330.350000000093132,1168034.789999999804422,1182157.719999999972060,1243357.370000000111759,11001288.589999999850988
20171212,1219146.000000000000000,1225781.500000000000000,1228175.149999999906868,1157196.479999999981374,1227105.420000000158325,1354997.050000000279397,1178472.279999999795109,1184295.700000000186265,1240407.160000000149012,11015577.739999998360872
20171213,1262921.000000000000000,1227835.300000000046566,1236483.799999999813735,1166064.240000000223517,1223807.679999999934807,1401420.400000000139698,1171543.189999999944121,1179526.359999999869615,1254003.780000000027940,11123606.749999998137355
20171214,1243456.000000000000000,1261608.899999999906868,1230404.299999999813735,1163309.860000000102445,1214344.600000000093132,1406433.250000000232831,1162947.610000000102445,1157159.800000000046566,1245922.770000000018626,11085588.089999999850988
20171215,1246941.000000000000000,1269595.899999999906868,1233444.050000000046566,1169490.420000000158325,1245314.679999999934807,1412099.950000000186265,1183208.619999999878928,1183144.479999999981374,1245666.229999999981374,11188906.330000000074506
20171218,1273121.000000000000000,1266857.500000000000000,1247967.299999999813735,1170430.939999999944121,1238575.820000000065193,1412535.850000000093132,1186015.340000000083819,1193176.540000000037253,1255799.560000000055879,11244480.849999999627471
20171219,1282811.000000000000000,1275757.300000000046566,1256411.049999999813735,1164989.360000000102445,1230689.920000000158325,1400112.699999999953434,1188909.769999999785796,1187255.979999999981374,1267343.859999999869615,11254281.939999999478459
20171220,1296496.000000000000000,1251568.099999999860302,1265395.199999999953434,1156793.399999999906868,1226245.140000000130385,1385945.950000000186265,1186453.889999999897555,1195972.359999999869615,1266702.510000000009313,11231573.549999998882413
20171221,1314516.000000000000000,1250198.899999999906868,1270596.550000000046566,1154643.640000000130385,1225958.380000000121072,1411664.050000000046566,1179261.669999999925494,1204688.739999999990687,1257851.880000000121072,11269380.810000000521541
20171222,1323951.000000000000000,1239929.899999999906868,1270934.299999999813735,1151754.899999999906868,1226101.760000000242144,1379407.450000000186265,1178823.119999999878928,1195807.899999999906868,1259775.929999999934807,11226487.259999999776483
20171226,1329816.000000000000000,1233654.399999999906868,1285997.949999999953434,1150881.560000000055879,1224524.580000000307336,1387253.650000000139698,1182243.810000000055879,1205511.040000000037253,1271961.580000000074506,11271845.570000002160668
20171227,1338996.000000000000000,1228177.599999999860302,1284849.599999999860302,1160152.399999999906868,1228969.360000000102445,1371997.150000000139698,1182156.100000000093132,1198274.800000000046566,1273244.280000000027940,11266818.290000000968575
20171228,1346646.000000000000000,1229660.899999999906868,1282080.049999999813735,1163041.140000000130385,1229112.739999999990687,1371997.150000000139698,1189962.289999999804422,1199590.479999999981374,1275040.060000000055879,11287131.810000000521541
20171229,1339506.000000000000000,1226694.300000000046566,1280391.299999999813735,1156457.500000000000000,1226531.900000000139698,1363279.150000000139698,1189786.869999999878928,1194327.760000000009313,1266702.510000000009313,11243678.289999999105930
20180102,1334916.000000000000000,1275643.199999999953434,1270258.799999999813735,1163847.300000000046566,1232410.480000000214204,1383766.450000000186265,1157685.009999999776483,1232646.939999999944121,1264650.189999999944121,11315825.369999999180436
20180103,1336956.000000000000000,1281120.000000000000000,1276878.699999999953434,1158943.160000000149012,1238145.679999999934807,1383548.500000000000000,1161368.830000000074506,1241856.700000000186265,1275681.410000000149012,11354499.980000000447035
20180104,1355316.000000000000000,1280549.500000000000000,1287011.199999999953434,1167071.939999999944121,1249042.560000000055879,1382676.700000000186265,1161368.830000000074506,1177552.839999999850988,1276835.840000000083819,11337426.410000000149012
20180105,1376736.000000000000000,1273589.399999999906868,1300453.649999999906868,1169423.240000000223517,1264527.600000000093132,1394446.000000000000000,1159263.789999999804422,1199261.560000000055879,1284403.770000000018626,11422106.009999999776483
20180108,1411331.000000000000000,1255333.399999999906868,1297346.349999999860302,1168617.080000000074506,1265818.020000000251457,1406869.150000000139698,1153036.379999999888241,1214556.339999999850988,1303387.729999999981374,11476296.450000001117587
20180109,1414731.000000000000000,1254420.599999999860302,1304506.649999999906868,1165997.060000000055879,1264957.739999999990687,1396843.450000000186265,1161982.799999999813735,1207484.560000000055879,1287738.790000000037253,11458663.650000002235174
20180110,1409971.000000000000000,1249057.899999999906868,1295725.149999999906868,1165795.520000000018626,1259222.540000000037253,1399676.800000000046566,1158825.239999999990687,1218338.919999999925494,1278503.350000000093132,11435117.419999999925494
20180111,1438276.000000000000000,1266401.099999999860302,1315179.550000000046566,1164989.360000000102445,1262950.420000000158325,1401202.450000000186265,1160842.570000000065193,1239718.719999999972060,1282992.800000000046566,11532553.970000000670552
20180112,1447626.000000000000000,1283287.899999999906868,1326933.249999999767169,1166198.600000000093132,1284744.179999999934807,1409484.550000000279397,1181805.259999999776483,1251066.459999999962747,1293895.750000000000000,11645042.949999999254942
20180116,1439211.000000000000000,1262978.099999999860302,1326190.199999999953434,1166937.580000000074506,1266821.679999999934807,1382240.800000000279397,1188734.350000000093132,1250408.620000000111759,1291586.889999999897555,11575110.219999998807907
20180117,1432326.000000000000000,1277582.899999999906868,1349900.249999999767169,1175670.979999999981374,1292486.700000000186265,1390740.850000000093132,1200487.489999999990687,1246297.120000000111759,1317369.160000000149012,11682862.449999999254942
20180118,1435131.000000000000000,1259897.399999999906868,1339835.300000000046566,1172916.600000000093132,1291913.179999999934807,1397279.350000000093132,1204697.570000000065193,1249915.239999999990687,1337892.359999999869615,11689479.000000000000000
