訓練日期,20140310 - 20140610
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10764974.109999999403954
真實報酬,764974.109999999403954

夏普值報酬,0.067797411000000
夏普值風險,0.022535600910061
夏普值,3.008458095729471

預期報酬,12253.840536166115271
風險,41843.525468387022556
趨勢值,0.292849142107396
找到最佳解世代,2207
找到最佳解實驗#,4
找到最佳解次數,12

stock[index](rank)
投資組合檔數,6
CSCO[4](2),KO[14](9),MCD[15](4),PG[21](13),TRV[22](3),UNH[23](19),
20140523,1880653.419999999925494,1754428.989999999990687,1780104.000000000000000,1712168.820000000065193,1843989.009999999776483,1696166.209999999729916,10667514.449999999254942
20140527,1895226.040000000037253,1762643.260000000242144,1786386.719999999972060,1702813.100000000093132,1856498.919999999692664,1703487.429999999701977,10707059.470000000670552
20140528,1903662.820000000065193,1754428.989999999990687,1767887.599999999860302,1703238.359999999869615,1855903.209999999729916,1692074.939999999711290,10677199.919999998062849
20140529,1892925.099999999860302,1757887.629999999888241,1768585.680000000167638,1709617.260000000242144,1868611.689999999711290,1709086.010000000009313,10706717.369999999180436
20140530,1888323.219999999972060,1768695.879999999888241,1770156.360000000102445,1717909.830000000074506,1855704.639999999897555,1714684.589999999618158,10715478.519999999552965
20140602,1900594.900000000139698,1766534.229999999981374,1780627.560000000055879,1708766.739999999990687,1860867.459999999729916,1711239.309999999823049,10728634.199999999254942
20140603,1892925.099999999860302,1767398.890000000130385,1770505.400000000139698,1699623.650000000139698,1854910.359999999636784,1720067.839999999618158,10705435.240000000223517
20140604,1879119.459999999962747,1763507.920000000158325,1787782.879999999888241,1698135.239999999990687,1879930.179999999701977,1733633.629999999888241,10742113.309999998658895
20140605,1894459.059999999823049,1767831.220000000204891,1787957.400000000139698,1703450.989999999990687,1885887.279999999795109,1718345.199999999720603,10757935.150000000372529
20140606,1904429.799999999813735,1772154.520000000251457,1779405.919999999925494,1701749.950000000186265,1873774.509999999776483,1721144.489999999990687,10752663.189999999478459
20140609,1902128.860000000102445,1768695.879999999888241,1769283.760000000009313,1703025.730000000214204,1879731.609999999636784,1717483.879999999888241,10740353.719999998807907
20140610,1917468.459999999962747,1775613.160000000149012,1760557.760000000009313,1704301.510000000242144,1888468.689999999711290,1718560.529999999795109,10764974.109999999403954
