訓練日期,20120703 - 20121003
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11070430.179999999701977
真實報酬,1070430.179999999701977

夏普值報酬,0.098343018000000
夏普值風險,0.030495443103489
夏普值,3.224843058232127

預期報酬,17448.888709870279854
風險,57990.192661990018678
趨勢值,0.300893787533616
找到最佳解世代,2536
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,9
AAPL[0](3),HD[9](13),NKE[19](8),PFE[20](5),PG[21](1),TRV[22](20),UNH[23](28),WBA[27](7),WMT[28](12),
20120730,1115704.750000000000000,1116141.400000000139698,1198658.250000000000000,1145410.390000000130385,1182108.779999999795109,1098769.780000000027940,1051864.000000000000000,1349627.100000000093132,1201309.230000000214204,10459594.680000001564622
20120731,1145236.000000000000000,1093714.200000000186265,1167641.509999999776483,1161352.359999999869615,1171940.300000000046566,1089035.860000000102445,1009008.670000000041910,1352976.000000000000000,1192497.680000000167638,10383403.580000000074506
20120801,1137886.000000000000000,1083234.200000000186265,1163139.079999999841675,1156521.459999999962747,1162316.560000000055879,1101203.260000000009313,1011378.550000000046566,1349627.100000000093132,1179520.670000000158325,10344827.880000000819564
20120802,1139723.500000000000000,1077155.800000000046566,1157636.109999999869615,1155555.280000000027940,1153237.560000000055879,1092859.899999999906868,1009206.160000000032596,1330277.899999999906868,1186409.700000000186265,10302062.910000000149012
20120803,1154554.750000000000000,1096019.800000000046566,1182649.609999999869615,1172946.520000000018626,1189371.979999999981374,1107460.780000000027940,1019278.150000000023283,1332138.399999999906868,1194420.200000000186265,10448841.190000001341105
20120806,1167417.250000000000000,1089941.400000000139698,1194656.089999999850988,1171980.340000000083819,1195000.959999999962747,1104158.200000000186265,1007231.260000000009313,1331766.299999999813735,1190094.530000000260770,10452247.330000001937151
20120807,1164267.250000000000000,1098325.400000000139698,1202660.409999999683350,1146859.659999999916181,1202445.739999999990687,1101550.899999999906868,1037644.719999999972060,1340696.699999999953434,1185448.439999999944121,10479900.219999998807907
20120808,1162298.500000000000000,1106499.800000000046566,1199658.789999999804422,1151207.469999999972060,1211524.739999999990687,1109198.979999999981374,1041397.029999999911524,1348510.800000000046566,1190575.160000000149012,10520872.269999999552965
20120809,1164004.750000000000000,1114045.400000000139698,1189153.119999999878928,1153139.830000000074506,1211706.320000000065193,1110589.540000000037253,1027375.240000000107102,1342929.300000000046566,1183205.500000000000000,10496150.000000001862645
20120810,1165711.000000000000000,1112159.000000000232831,1182149.339999999850988,1156521.459999999962747,1212432.639999999897555,1112153.919999999925494,1025005.359999999986030,1345906.099999999860302,1180481.930000000167638,10492521.750000000000000
20120813,1181329.750000000000000,1107128.600000000093132,1198658.250000000000000,1145893.479999999981374,1207166.820000000065193,1107808.419999999925494,1025005.359999999986030,1338464.099999999860302,1175996.050000000279397,10487451.830000001937151
20120814,1184479.750000000000000,1146743.000000000232831,1187152.039999999804422,1158453.820000000065193,1211706.320000000065193,1104505.840000000083819,1026387.790000000037253,1328789.500000000000000,1185768.860000000335276,10533987.920000001788139
20120815,1182904.750000000000000,1152821.400000000139698,1178647.449999999720603,1161352.359999999869615,1210072.100000000093132,1108156.060000000055879,1043174.440000000060536,1323208.000000000000000,1192818.100000000093132,10553155.660000002011657
20120816,1193273.500000000000000,1180279.000000000232831,1185651.229999999748543,1160386.179999999934807,1216608.979999999981374,1113023.020000000018626,1054431.370000000111759,1321719.600000000093132,1155969.800000000279397,10581343.679999999701977
20120817,1215323.500000000000000,1189082.200000000186265,1204161.219999999972060,1149275.109999999869615,1216608.979999999981374,1132143.219999999972060,1049296.630000000121072,1333626.800000000046566,1153406.439999999944121,10642925.099999999627471
20120820,1247217.250000000000000,1185728.600000000093132,1197657.709999999962747,1155072.189999999944121,1212069.479999999981374,1141008.040000000037253,1050679.060000000055879,1340696.699999999953434,1158372.950000000186265,10688502.980000000447035
20120821,1230154.750000000000000,1180488.600000000093132,1198658.250000000000000,1144444.209999999962747,1212432.639999999897555,1133881.420000000158325,1055023.840000000083819,1326556.899999999906868,1144434.680000000167638,10626076.289999999105930
20120822,1254173.500000000000000,1187195.800000000046566,1197657.709999999962747,1144927.300000000046566,1213885.279999999795109,1137705.460000000195578,1065885.790000000037253,1322835.899999999906868,1149881.820000000065193,10674149.560000000521541
20120823,1242492.250000000000000,1185309.400000000139698,1193655.549999999813735,1146859.659999999916181,1210798.420000000158325,1126407.159999999916181,1064898.340000000083819,1326928.999999999767169,1146517.410000000149012,10643868.189999999478459
20120824,1243673.500000000000000,1193903.000000000232831,1211665.269999999785796,1159903.090000000083819,1216972.139999999897555,1136836.360000000102445,1069638.099999999860302,1326556.899999999906868,1155328.960000000195578,10714478.320000000298023
20120827,1267036.000000000000000,1187824.600000000093132,1206162.299999999813735,1154106.010000000009313,1218606.359999999869615,1133012.320000000065193,1078525.149999999906868,1324696.399999999906868,1161577.150000000139698,10731547.290000000968575
20120828,1265329.750000000000000,1184890.200000000186265,1236678.769999999785796,1152173.650000000139698,1216427.399999999906868,1127102.440000000176951,1072995.429999999934807,1317254.399999999906868,1160135.260000000009313,10732988.299999998882413
20120829,1262836.000000000000000,1191387.800000000279397,1234177.419999999925494,1157487.640000000130385,1214248.440000000176951,1126407.159999999916181,1079117.620000000111759,1313533.399999999906868,1165902.820000000065193,10745099.300000000745058
20120830,1244854.750000000000000,1186776.600000000093132,1222671.209999999962747,1151690.560000000055879,1214430.019999999785796,1121018.739999999990687,1080105.070000000065193,1310184.500000000000000,1157571.900000000139698,10689304.349999999627471
20120831,1247348.500000000000000,1189501.400000000139698,1217668.509999999776483,1152656.739999999990687,1220059.000000000000000,1125364.239999999990687,1072402.959999999962747,1330649.999999999767169,1163179.250000000000000,10718831.599999999627471
20120904,1265592.250000000000000,1190339.800000000046566,1216667.969999999972060,1148792.020000000018626,1223872.180000000167638,1123626.040000000037253,1077537.699999999953434,1328417.399999999906868,1177758.360000000335276,10752604.719999998807907
20120905,1256798.500000000000000,1185099.800000000046566,1217668.509999999776483,1155555.280000000027940,1221874.800000000046566,1121714.020000000018626,1072007.979999999981374,1335115.199999999953434,1178399.200000000186265,10744234.289999999105930
20120906,1268086.000000000000000,1208365.400000000139698,1244182.819999999832362,1175845.060000000055879,1239124.899999999906868,1135793.440000000176951,1084054.870000000111759,1309812.399999999906868,1198585.660000000149012,10863851.550000000745058
20120907,1275961.000000000000000,1200191.000000000000000,1241681.469999999972060,1171014.159999999916181,1244209.139999999897555,1133533.780000000027940,1083857.380000000121072,1300137.799999999813735,1182724.870000000111759,10833311.600000001490116
20120910,1242754.750000000000000,1201029.400000000139698,1251186.599999999860302,1164250.900000000139698,1244027.560000000055879,1135271.979999999981374,1061343.520000000018626,1307579.799999999813735,1177758.360000000335276,10785203.870000001043081
20120911,1238686.000000000000000,1188872.600000000093132,1246684.169999999925494,1167632.530000000027940,1239488.060000000055879,1163778.460000000195578,1042779.459999999962747,1306463.500000000000000,1186569.910000000149012,10780955.689999999478459
20120912,1255879.750000000000000,1195789.400000000139698,1261192.000000000000000,1162801.630000000121072,1236582.779999999795109,1174033.840000000083819,1043174.440000000060536,1315766.000000000000000,1186730.120000000111759,10831950.960000000894070
20120913,1280686.000000000000000,1221989.400000000139698,1240680.929999999934807,1171497.250000000000000,1251290.760000000009313,1189851.460000000195578,1064305.870000000111759,1340324.600000000093132,1203872.590000000083819,10964499.859999999403954
20120914,1296173.500000000000000,1246303.000000000232831,1208663.649999999906868,1149758.199999999953434,1255830.260000000009313,1192111.120000000111759,1071415.510000000009313,1340324.600000000093132,1193619.150000000139698,10954199.990000000223517
20120917,1312186.000000000000000,1234775.000000000000000,1225172.559999999823049,1160386.179999999934807,1257464.479999999981374,1190372.920000000158325,1075957.780000000027940,1328417.399999999906868,1185448.439999999944121,10970181.759999997913837
20120918,1316123.500000000000000,1233727.000000000232831,1222170.939999999711290,1159903.090000000083819,1256919.739999999990687,1190025.280000000027940,1088794.630000000121072,1326928.999999999767169,1184807.600000000093132,10979401.779999999329448
20120919,1316517.250000000000000,1246512.600000000093132,1221670.669999999925494,1167149.439999999944121,1257646.060000000055879,1186027.420000000158325,1085239.810000000055879,1332510.500000000000000,1191536.420000000158325,11004811.169999999925494
20120920,1310086.000000000000000,1242530.200000000186265,1209664.189999999711290,1179226.689999999944121,1263093.459999999962747,1189851.460000000195578,1085042.320000000065193,1322835.899999999906868,1197624.400000000139698,10999955.620000001043081
20120921,1312711.000000000000000,1245464.600000000093132,1207162.839999999850988,1184540.679999999934807,1260551.340000000083819,1192632.580000000074506,1109531.080000000074506,1306463.500000000000000,1192818.100000000093132,11011876.720000000670552
20120924,1295254.750000000000000,1244835.800000000046566,1192154.739999999757856,1195651.750000000000000,1266725.060000000055879,1189330.000000000000000,1105581.280000000027940,1327301.099999999860302,1197464.189999999944121,11014299.669999998062849
20120925,1262967.250000000000000,1251752.600000000093132,1189153.119999999878928,1199999.560000000055879,1263638.199999999953434,1190372.920000000158325,1109926.060000000055879,1342185.099999999860302,1189774.110000000335276,10999769.919999998062849
20120926,1247348.500000000000000,1240224.600000000093132,1194155.819999999832362,1199516.469999999972060,1258372.379999999888241,1178205.520000000018626,1101631.479999999981374,1332882.599999999860302,1188652.640000000130385,10940991.009999999776483
20120927,1277536.000000000000000,1255106.200000000186265,1200659.329999999841675,1205796.640000000130385,1258372.379999999888241,1189156.179999999934807,1110716.020000000018626,1361906.399999999906868,1185288.230000000214204,11044538.380000000819564
20120928,1250892.250000000000000,1265376.600000000093132,1187152.039999999804422,1200482.650000000139698,1259461.859999999869615,1186548.880000000121072,1094324.349999999860302,1355952.799999999813735,1182404.450000000186265,10982596.879999998956919
20121001,1236454.750000000000000,1269568.600000000093132,1195156.359999999869615,1209661.359999999869615,1261096.080000000074506,1200628.300000000046566,1115060.800000000046566,1374929.899999999906868,1186409.700000000186265,11048966.850000001490116
20121002,1239998.500000000000000,1264538.200000000186265,1187652.309999999823049,1213526.080000000074506,1249111.800000000046566,1194196.960000000195578,1121775.459999999962747,1373441.499999999767169,1181603.400000000139698,11025845.209999999031425
20121003,1259029.750000000000000,1294720.600000000093132,1173144.479999999748543,1223187.880000000121072,1256011.840000000083819,1199585.380000000121072,1122960.399999999906868,1352976.000000000000000,1188812.850000000093132,11070430.179999999701977
