訓練日期,20140425 - 20140728
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11052515.599999999627471
真實報酬,1052515.599999999627471

夏普值報酬,0.096551560000000
夏普值風險,0.029039949438177
夏普值,3.324784025728039

預期報酬,16076.145637004203309
風險,35478.027506718943187
趨勢值,0.453129634502923
找到最佳解世代,2305
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,10
AAPL[0](1),CSCO[4](3),CVX[5](16),DIS[6](2),INTC[11](11),MCD[15](24),TRV[22](9),UNH[23](4),VZ[26](5),XOM[29](14),
20140602,1107253.600000000093132,1062151.350000000093132,983185.949999999953434,1058799.520000000018626,1019065.330000000074506,1021935.039999999920838,1057789.439999999944121,1037601.279999999911524,1081458.389999999664724,999300.069999999832362,10428539.970000000670552
20140603,1122910.160000000149012,1057865.050000000279397,985921.250000000000000,1053899.559999999823049,1034018.530000000027940,1016125.760000000009313,1054403.339999999850988,1042954.239999999874271,1065037.069999999832362,1003799.619999999878928,10436934.580000000074506
20140604,1135731.280000000260770,1050149.709999999962747,984312.250000000000000,1058422.599999999860302,1031775.550000000046566,1026041.599999999860302,1068624.959999999962747,1051179.520000000018626,1062012.089999999850988,1000299.969999999972060,10468549.529999999329448
20140605,1140169.359999999869615,1058722.310000000055879,993724.900000000023283,1065207.159999999916181,1034018.530000000027940,1026141.760000000009313,1072011.059999999823049,1041909.759999999892898,1064821.000000000000000,1005399.459999999846332,10502125.299999998882413
20140606,1136964.080000000074506,1064294.500000000000000,999115.049999999930151,1063071.280000000027940,1053083.860000000102445,1021233.919999999925494,1065125.989999999990687,1043607.040000000037253,1067845.979999999981374,1015898.409999999799766,10530240.110000001266599
20140609,1155209.520000000018626,1063008.610000000335276,1000563.150000000023283,1074001.959999999962747,1043364.280000000027940,1015424.639999999897555,1068512.089999999850988,1041387.520000000018626,1071087.029999999795109,1015098.489999999874271,10547657.289999999105930
20140610,1161989.919999999925494,1071581.209999999962747,1008366.800000000046566,1064830.239999999990687,1055700.669999999925494,1010416.639999999897555,1073478.369999999878928,1042040.319999999948777,1070006.680000000167638,1014498.549999999813735,10572909.399999998509884
20140611,1157182.000000000000000,1073295.729999999981374,1007079.600000000093132,1059302.080000000074506,1044111.939999999944121,1005809.279999999911524,1071220.969999999972060,1046740.479999999981374,1066765.629999999888241,1019398.059999999939464,10550905.770000001415610
20140612,1137827.040000000037253,1057007.790000000037253,1014561.449999999953434,1040330.439999999944121,1045233.430000000051223,999198.719999999972060,1072349.669999999925494,1037209.599999999976717,1059635.319999999832362,1016498.349999999860302,10479851.810000000521541
20140613,1125375.760000000242144,1058722.310000000055879,1023813.200000000069849,1040330.439999999944121,1116634.959999999962747,1006510.399999999906868,1076977.339999999850988,1033815.040000000037253,1062660.299999999813735,1026397.359999999986030,10571237.109999999403954
20140616,1136717.520000000018626,1051435.600000000093132,1034110.799999999930151,1046612.439999999944121,1121868.580000000074506,1012620.159999999916181,1077541.689999999944121,1018408.959999999962747,1065469.209999999962747,1029097.089999999967404,10593882.050000000745058
20140617,1135238.160000000149012,1050149.709999999962747,1036443.850000000093132,1044853.479999999981374,1119625.599999999860302,1014322.879999999888241,1074832.809999999823049,1020628.479999999981374,1063308.509999999776483,1024097.589999999967404,10583501.069999998435378
20140618,1136470.959999999962747,1055721.899999999906868,1048109.099999999976717,1050130.359999999869615,1118877.939999999944121,1015124.159999999916181,1076864.469999999972060,1034206.719999999855645,1067845.979999999981374,1027197.279999999911524,10630548.869999999180436
20140619,1132526.000000000000000,1059150.939999999944121,1061866.050000000046566,1052517.520000000018626,1124859.219999999972060,1020733.119999999878928,1079121.869999999878928,1051179.520000000018626,1068926.330000000074506,1026197.379999999888241,10677077.949999999254942
20140620,1120814.399999999906868,1064294.500000000000000,1064681.800000000046566,1040581.719999999855645,1128971.349999999860302,1020833.279999999911524,1067722.000000000000000,1062929.919999999925494,1067197.770000000018626,1038196.179999999818392,10676222.919999998062849
20140623,1119828.160000000149012,1058722.310000000055879,1069830.599999999860302,1039827.880000000004657,1130092.840000000083819,1020733.119999999878928,1071785.320000000065193,1063974.399999999906868,1074544.149999999906868,1043695.629999999888241,10693034.410000000149012
20140624,1113047.760000000242144,1051435.600000000093132,1060096.150000000139698,1038822.760000000125729,1140186.250000000000000,1016326.079999999958090,1068624.959999999962747,1067238.399999999906868,1064821.000000000000000,1027197.279999999911524,10647796.240000000223517
20140625,1114034.000000000000000,1059579.569999999832362,1055751.849999999860302,1054150.840000000083819,1154391.790000000037253,1017728.319999999948777,1070769.489999999990687,1075072.000000000000000,1067629.909999999683350,1021297.869999999878928,10690405.639999998733401
20140626,1120691.120000000111759,1056579.160000000149012,1053257.899999999906868,1061061.040000000037253,1150653.489999999990687,1016726.719999999972060,1065690.339999999850988,1074419.199999999953434,1063308.509999999776483,1020197.979999999864958,10682585.460000000894070
20140627,1134005.359999999869615,1058722.310000000055879,1048752.700000000186265,1071740.439999999944121,1156260.939999999944121,1016225.919999999925494,1060159.709999999962747,1070632.959999999962747,1065685.279999999795109,1011998.799999999813735,10694184.419999998062849
20140630,1145716.959999999962747,1065151.760000000242144,1050281.250000000000000,1077268.599999999860302,1155139.449999999953434,1009014.399999999906868,1061852.759999999776483,1067368.959999999962747,1057258.549999999813735,1006699.329999999958090,10695752.020000001415610
20140701,1152990.479999999981374,1075010.250000000000000,1050200.800000000046566,1086440.320000000065193,1158130.090000000083819,1011618.559999999939464,1074719.939999999944121,1069196.800000000046566,1066765.629999999888241,1013498.649999999906868,10758571.520000001415610
20140702,1152497.359999999869615,1072867.100000000093132,1047706.849999999860302,1086063.399999999906868,1158130.090000000083819,1006911.039999999920838,1068060.609999999869615,1077030.399999999906868,1073031.659999999683350,1015598.439999999827705,10757896.949999999254942
20140703,1159277.760000000242144,1079725.180000000167638,1055430.050000000046566,1091089.000000000000000,1164111.370000000111759,1011418.239999999990687,1070543.750000000000000,1088258.559999999823049,1074112.009999999776483,1025797.419999999925494,10819763.339999999850988
20140707,1183194.080000000074506,1081439.700000000186265,1049637.649999999906868,1087948.000000000000000,1159999.239999999990687,1003305.279999999911524,1067270.519999999785796,1073505.280000000027940,1074976.290000000037253,1026397.359999999986030,10807673.399999998509884
20140708,1175550.719999999739230,1074581.620000000111759,1045052.000000000000000,1078776.280000000027940,1151027.320000000065193,1002504.000000000000000,1062642.849999999860302,1069719.040000000037253,1053585.359999999869615,1028197.179999999818392,10741636.369999999180436
20140709,1176043.839999999850988,1090440.930000000167638,1057039.049999999813735,1095863.320000000065193,1154765.620000000111759,1012319.679999999818392,1068963.570000000065193,1080294.399999999906868,1056610.339999999850988,1035396.459999999846332,10827737.209999999031425
20140710,1171729.040000000037253,1090440.930000000167638,1047867.750000000000000,1091340.280000000027940,1168597.330000000074506,1007411.839999999967404,1064448.769999999785796,1071677.439999999944121,1072599.520000000018626,1025597.439999999827705,10811710.339999997988343
20140711,1173948.080000000074506,1093869.970000000204891,1033547.650000000023283,1091717.199999999953434,1168223.500000000000000,1005308.479999999981374,1068737.830000000074506,1081991.679999999934807,1087292.279999999795109,1017298.269999999785796,10821934.939999999478459
20140714,1189111.520000000018626,1090440.930000000167638,1039903.199999999953434,1090083.880000000121072,1177195.419999999925494,1006310.079999999958090,1078670.389999999897555,1100270.079999999841675,1091829.750000000000000,1026697.329999999958090,10890512.580000000074506
20140715,1175180.879999999888241,1100299.419999999925494,1039903.199999999953434,1082419.840000000083819,1185419.679999999934807,1004607.359999999869615,1083072.320000000065193,1095439.360000000102445,1095719.009999999776483,1023797.619999999878928,10885858.689999997615814
20140716,1168523.760000000242144,1113586.950000000186265,1053016.549999999813735,1072368.639999999897555,1295325.699999999953434,994290.879999999888241,1079347.609999999869615,1093611.520000000018626,1101120.759999999776483,1037596.239999999874271,11008788.609999999403954
20140717,1147689.439999999944121,1098584.899999999906868,1046500.100000000093132,1068348.159999999916181,1259811.850000000093132,985276.479999999981374,1068963.570000000065193,1111237.119999999878928,1087292.279999999795109,1022997.699999999953434,10896701.599999997764826
20140718,1164208.959999999962747,1110586.540000000037253,1048994.049999999813735,1078148.080000000074506,1259811.850000000093132,991486.399999999906868,1076187.250000000000000,1116590.079999999841675,1096583.290000000037253,1027197.279999999911524,10969793.779999999329448
20140721,1158168.240000000223517,1108014.760000000242144,1056234.550000000046566,1077268.599999999860302,1273269.729999999981374,977063.359999999869615,1075284.290000000037253,1110584.320000000065193,1095502.939999999944121,1030696.929999999818392,10962087.719999998807907
20140722,1167784.080000000074506,1112301.060000000055879,1066612.600000000093132,1083173.679999999934807,1300559.320000000065193,964242.879999999888241,1034312.479999999864958,1123509.760000000009313,1101552.899999999906868,1035296.469999999972060,10989345.230000000447035
20140723,1198234.240000000223517,1100728.050000000279397,1077071.099999999860302,1081037.800000000046566,1289718.250000000000000,955028.159999999916181,1036005.529999999911524,1122073.599999999860302,1100040.409999999683350,1042395.759999999892898,11002332.900000000372529
20140724,1196261.760000000242144,1107157.500000000000000,1084874.750000000000000,1090586.439999999944121,1280372.500000000000000,955028.159999999916181,1048421.229999999864958,1118679.040000000037253,1103065.389999999664724,1042695.729999999864958,11027142.500000000000000
20140725,1204151.680000000167638,1113158.319999999832362,1074577.149999999906868,1083424.959999999962747,1280372.500000000000000,958734.079999999958090,1039617.369999999878928,1105623.040000000037253,1108035.000000000000000,1031696.829999999958090,10999390.929999999701977
20140728,1220794.479999999981374,1111015.169999999925494,1071922.300000000046566,1094983.840000000083819,1279624.839999999850988,959335.039999999920838,1037134.229999999864958,1119592.959999999962747,1114517.100000000093132,1043595.639999999897555,11052515.599999999627471
