訓練日期,20170412 - 20170714
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11054983.519999999552965
真實報酬,1054983.519999999552965

夏普值報酬,0.096798352000000
夏普值風險,0.029275186756412
夏普值,3.306498189248910

預期報酬,16582.131318635569187
風險,55802.141575503323111
趨勢值,0.297159407335632
找到最佳解世代,2010
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
BA[2](4),JNJ[12](10),JPM[13](17),KO[14](8),MCD[15](3),V[25](5),
20170504,1708664.500000000000000,1663043.410000000149012,1693298.799999999813735,1705734.000000000000000,1822277.750000000000000,1737383.660000000381842,10330406.120000001043081
20170505,1726770.520000000018626,1657139.930000000167638,1691354.799999999813735,1706906.040000000037253,1828756.280000000260770,1727441.920000000158325,10338373.490000000223517
20170508,1736196.850000000325963,1653651.510000000009313,1693298.799999999813735,1714719.640000000130385,1832313.120000000344589,1724253.060000000288710,10354436.980000002309680
20170509,1744503.220000000204891,1653114.829999999841675,1686494.799999999813735,1699873.800000000046566,1833837.480000000214204,1725753.700000000186265,10343581.829999998211861
20170510,1709691.130000000353903,1647748.030000000027940,1699714.000000000000000,1702217.880000000121072,1835869.960000000195578,1730443.200000000186265,10325688.199999999254942
20170511,1716784.210000000195578,1652980.660000000149012,1694465.199999999720603,1706124.680000000167638,1831932.030000000260770,1727629.500000000000000,10329920.280000001192093
20170512,1710344.440000000176951,1658884.140000000130385,1689799.599999999860302,1702999.240000000223517,1846540.480000000214204,1739447.040000000270084,10348018.940000001341105
20170515,1702318.060000000055879,1703831.089999999850988,1697964.399999999906868,1708468.760000000009313,1858227.240000000223517,1748826.040000000270084,10419639.590000001713634
20170516,1705211.290000000037253,1714296.349999999860302,1703213.199999999720603,1713156.920000000158325,1871057.270000000018626,1747325.400000000372529,10454264.429999999701977
20170517,1668625.930000000167638,1699537.650000000139698,1638283.599999999627471,1716282.360000000102445,1859878.630000000121072,1721251.780000000260770,10303863.949999999254942
20170518,1655746.390000000130385,1703562.750000000000000,1632257.199999999720603,1711203.520000000018626,1867500.429999999934807,1720313.880000000121072,10290588.169999999925494
20170519,1687105.270000000018626,1703965.260000000009313,1648197.999999999767169,1715110.320000000065193,1881981.850000000325963,1734757.540000000270084,10371122.240000002086163
20170522,1714264.300000000046566,1707453.680000000167638,1646642.799999999813735,1726049.360000000102445,1882489.970000000204891,1750326.680000000167638,10427230.790000000968575
20170523,1712584.360000000335276,1710942.099999999860302,1667249.199999999953434,1734253.640000000130385,1877789.860000000102445,1760643.580000000074506,10463466.740000000223517
20170524,1729010.440000000176951,1710807.930000000167638,1666277.199999999720603,1759257.160000000149012,1899130.900000000139698,1778463.680000000167638,10542951.310000000521541
20170525,1745996.500000000000000,1711076.270000000018626,1659278.799999999813735,1774103.000000000000000,1902687.740000000223517,1782778.020000000251457,10575924.330000000074506
20170526,1741516.660000000149012,1702891.900000000139698,1659473.199999999720603,1773321.640000000130385,1903703.980000000214204,1775837.560000000288710,10556748.940000001341105
20170530,1744223.230000000214204,1705441.129999999888241,1631090.799999999813735,1774884.360000000102445,1904593.190000000176951,1776775.460000000195578,10537012.170000001788139
20170531,1751222.980000000214204,1720736.510000000009313,1597070.799999999813735,1776447.080000000074506,1916788.070000000065193,1786342.040000000270084,10548611.480000000447035
20170601,1748329.750000000000000,1727847.520000000018626,1614761.199999999953434,1788948.840000000083819,1935842.570000000065193,1789530.900000000372529,10605264.779999999329448
20170602,1775488.780000000027940,1745289.620000000111759,1606596.399999999906868,1792855.640000000130385,1952991.620000000344589,1803599.400000000372529,10676825.460000002756715
20170605,1763542.540000000037253,1749046.380000000121072,1609512.399999999906868,1796762.440000000176951,1940923.770000000018626,1811102.600000000093132,10670894.130000000819564
20170606,1743009.940000000176951,1755352.370000000111759,1612817.199999999720603,1796371.760000000009313,1921107.090000000083819,1796846.520000000251457,10625508.879999998956919
20170607,1755609.490000000223517,1754279.010000000009313,1631285.199999999720603,1778009.800000000046566,1930126.220000000204891,1802473.920000000158325,10651787.639999998733401
20170608,1772688.880000000353903,1751595.610000000102445,1651502.799999999813735,1763163.960000000195578,1923647.690000000176951,1802473.920000000158325,10665076.859999999403954
20170609,1773622.180000000167638,1764744.270000000018626,1690577.199999999720603,1770586.880000000121072,1924282.840000000083819,1773774.180000000167638,10697591.550000000745058
20170612,1773342.190000000176951,1768635.199999999953434,1690966.000000000000000,1770977.560000000055879,1886046.810000000055879,1753890.700000000186265,10643862.460000000894070
20170613,1783515.160000000149012,1771318.600000000093132,1696603.599999999627471,1759257.160000000149012,1903195.860000000102445,1783528.340000000083819,10697422.719999998807907
20170614,1795554.730000000214204,1781381.350000000093132,1693104.399999999906868,1769805.520000000018626,1914120.440000000176951,1788030.260000000009313,10742000.699999999254942
20170615,1824207.040000000037253,1785003.939999999944121,1682995.599999999627471,1767852.120000000111759,1920344.909999999916181,1766458.560000000288710,10746866.169999999925494
20170616,1833446.710000000195578,1802580.209999999962747,1675414.000000000000000,1770196.200000000186265,1930761.370000000344589,1766458.560000000288710,10778861.050000000745058
20170619,1858085.830000000307336,1798823.449999999953434,1712155.599999999627471,1772930.960000000195578,1945369.820000000065193,1778088.520000000251457,10865458.179999999701977
20170620,1851086.080000000307336,1800836.000000000000000,1701463.599999999627471,1781916.600000000093132,1957183.610000000102445,1770397.739999999990687,10862887.629999998956919
20170621,1858925.800000000046566,1810093.729999999981374,1693687.599999999860302,1766680.080000000074506,1952864.590000000083819,1773399.020000000251457,10855654.820000000298023
20170622,1861445.710000000195578,1825389.110000000102445,1691743.599999999627471,1760819.880000000121072,1966456.800000000279397,1762331.800000000279397,10868190.900000000372529
20170623,1887484.780000000027940,1830487.570000000065193,1688633.199999999720603,1767852.120000000111759,1964424.320000000065193,1792907.340000000083819,10931793.330000000074506
20170626,1866485.530000000027940,1829280.040000000037253,1696020.399999999674037,1774884.360000000102445,1955786.280000000260770,1786154.460000000195578,10908615.070000000298023
20170627,1856312.560000000055879,1811435.429999999934807,1711766.799999999813735,1760038.520000000018626,1952737.560000000055879,1780151.900000000372529,10872446.770000001415610
20170628,1863125.650000000139698,1795469.199999999953434,1746175.599999999627471,1770586.880000000121072,1960105.300000000279397,1805100.040000000270084,10940566.669999999925494
20170629,1842966.370000000344589,1779637.139999999897555,1772030.799999999813735,1751443.560000000055879,1945242.790000000037253,1771148.060000000288710,10862472.720000000670552
20170630,1845672.940000000176951,1774941.189999999944121,1776890.799999999813735,1752224.920000000158325,1945623.880000000121072,1759142.940000000176951,10854500.669999999925494
20170703,1853512.660000000149012,1783125.560000000055879,1803134.799999999813735,1748708.800000000046566,1937239.900000000139698,1751077.000000000000000,10876802.719999998807907
20170705,1883564.920000000158325,1793054.139999999897555,1821214.000000000000000,1751052.880000000121072,1944480.610000000102445,1763457.280000000260770,10956827.830000001937151
20170706,1880485.030000000027940,1778027.100000000093132,1815381.999999999767169,1734644.320000000065193,1944734.670000000158325,1749201.200000000186265,10902478.320000000298023
20170707,1888791.400000000139698,1778295.439999999944121,1824518.799999999813735,1734253.640000000130385,1985130.210000000195578,1761769.060000000288710,10972762.550000000745058
20170710,1903630.870000000344589,1765012.610000000102445,1811688.399999999674037,1733862.960000000195578,1975602.960000000195578,1783715.920000000158325,10973517.720000000670552
20170711,1925190.100000000325963,1760719.169999999925494,1804689.999999999767169,1731909.560000000055879,1967854.130000000121072,1789718.480000000214204,10980085.440000001341105
20170712,1926776.710000000195578,1774136.169999999925494,1798469.199999999953434,1738941.800000000046566,1989068.140000000363216,1804162.140000000363216,11031558.160000000149012
20170713,1924816.780000000027940,1769171.880000000121072,1809938.799999999813735,1735816.360000000102445,1969505.520000000018626,1799660.220000000204891,11008913.560000000521541
20170714,1946096.020000000018626,1779100.459999999962747,1793414.799999999813735,1745583.360000000102445,1972554.240000000223517,1818230.640000000363216,11054983.519999999552965
