訓練日期,20101110 - 20110211
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11669033.509999999776483
真實報酬,1669033.509999999776483

夏普值報酬,0.158203351000000
夏普值風險,0.046458450751991
夏普值,3.405265316412244

預期報酬,23367.556954251849675
風險,122754.153080932708690
趨勢值,0.190360622168485
找到最佳解世代,2186
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,3
CAT[3](1),INTC[11](20),WBA[27](4),
20101227,3828184.200000000186265,3282923.719999999739230,3685204.079999999608845,10796313.000000000000000
20101228,3812720.100000000093132,3289224.879999999888241,3733444.469999999739230,10835390.449999999254942
20101229,3816382.650000000372529,3298676.620000000111759,3734390.359999999403954,10849450.629999998956919
20101230,3820045.200000000651926,3311278.939999999944121,3711689.000000000000000,10843014.140000000596046
20101231,3811499.250000000000000,3312854.229999999981374,3685204.079999999608845,10809558.560000000521541
20110103,3831439.800000000279397,3284499.010000000242144,3719256.119999999646097,10835195.929999999701977
20110104,3813534.000000000000000,3331757.709999999497086,3750470.489999999757856,10895763.199999999254942
20110105,3846496.950000000186265,3298676.620000000111759,3802494.439999999944121,10947669.009999999776483
20110106,3806615.850000000558794,3271896.689999999944121,3813845.119999999646097,10892358.660000000149012
20110107,3814347.900000000372529,3254568.500000000000000,3791143.759999999310821,10860061.160000000149012
20110110,3800511.600000000093132,3259294.370000000111759,3873436.189999999944121,10933243.160000000149012
20110111,3823300.800000000279397,3316004.810000000055879,3862085.509999999310821,11001392.119999999180436
20110112,3804581.100000000093132,3355387.060000000055879,3897083.439999999944121,11057052.599999999627471
20110113,3831032.850000000093132,3353811.769999999552965,3938702.599999999627471,11123548.219999998807907
20110114,3825742.500000000465661,3320730.679999999701977,3919784.799999999348074,11066258.979999998584390
20110118,3916085.400000000372529,3320730.679999999701977,3969916.969999999739230,11206734.050000000745058
20110119,3888005.850000000558794,3309703.649999999906868,3904650.559999999590218,11102361.059999998658895
20110120,3809464.500000000465661,3300251.909999999683350,3935864.929999999701977,11045582.339999999850988
20110121,3774466.800000000279397,3279773.140000000130385,3943432.049999999348074,10997672.990000000223517
20110124,3848531.700000000186265,3345935.319999999832362,3924514.250000000000000,11118982.269999999552965
20110125,3841206.600000000093132,3394769.310000000055879,3900867.000000000000000,11136843.910000000149012
20110126,3896551.800000000279397,3426275.109999999869615,3905596.449999999720603,11228424.359999999403954
20110127,3932363.399999999906868,3426275.109999999869615,3884786.869999999646097,11243426.379999998956919
20110128,3893703.150000000372529,3380591.700000000186265,3817628.679999999701977,11091924.530000001192093
20110131,3947827.500000000465661,3380591.700000000186265,3825195.799999999348074,11153616.000000000000000
20110201,3988522.500000000465661,3383742.279999999795109,3994510.109999999403954,11366775.890000000596046
20110202,4032473.100000000558794,3396344.599999999627471,3969916.969999999739230,11398735.669999999925494
20110203,4025961.900000000372529,3397919.890000000130385,4002077.229999999981374,11425960.020000001415610
20110204,4052820.600000000558794,3415248.079999999608845,4007752.569999999366701,11475822.250000000000000
20110207,4088632.200000000186265,3416823.370000000111759,4002077.229999999981374,11507533.800000000745058
20110208,4094329.500000000465661,3408946.919999999925494,4046534.059999999590218,11549811.480000000447035
20110209,4060959.600000000558794,3380591.700000000186265,4035183.379999999422580,11476735.679999999701977
20110210,4093922.550000000279397,3434151.560000000055879,4027616.259999999310821,11555691.369999999180436
20110211,4213565.849999999627471,3427850.399999999906868,4027616.259999999310821,11669033.509999999776483
