訓練日期,20120705 - 20121004
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11379588.830000000074506
真實報酬,1379588.830000000074506

夏普值報酬,0.129258883000000
夏普值風險,0.037694773712760
夏普值,3.429092955563897

預期報酬,20988.234312816955935
風險,64721.376034166365571
趨勢值,0.324285971635357
找到最佳解世代,2306
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](5),GS[8](10),HD[9](2),PFE[20](3),PG[21](1),UNH[23](24),WBA[27](7),WMT[28](11),
20120713,1261531.630000000121072,1235167.910000000149012,1260648.440000000176951,1246720.639999999897555,1325983.830000000074506,1257288.319999999832362,1290948.550000000046566,1292930.810000000055879,10171220.130000000819564
20120716,1265618.790000000270084,1238337.160000000149012,1245159.800000000046566,1264210.560000000055879,1320279.949999999953434,1256377.279999999795109,1287571.350000000093132,1289397.410000000149012,10166952.300000000745058
20120717,1265764.760000000009313,1242140.260000000009313,1227493.070000000065193,1290992.000000000000000,1331280.289999999804422,1273231.519999999785796,1296014.350000000093132,1291517.449999999953434,10218433.699999999254942
20120718,1264305.060000000055879,1223505.070000000065193,1232091.260000000009313,1293724.800000000046566,1320483.659999999916181,1283480.719999999972060,1307412.400000000139698,1287100.699999999953434,10212103.669999998062849
20120719,1281091.610000000102445,1204362.800000000046566,1233301.310000000055879,1300830.080000000074506,1322520.760000000009313,1252505.359999999869615,1461497.149999999906868,1263780.260000000009313,10319889.330000000074506
20120720,1260217.900000000139698,1193714.120000000111759,1227009.050000000046566,1295364.479999999981374,1318650.270000000018626,1262071.279999999795109,1460652.850000000093132,1276500.500000000000000,10294180.449999999254942
20120723,1259196.110000000102445,1181037.120000000111759,1233301.310000000055879,1289898.880000000121072,1311724.129999999888241,1241572.879999999888241,1431946.650000000139698,1269433.699999999953434,10218110.779999999329448
20120724,1253211.340000000083819,1197643.989999999990687,1238383.520000000018626,1277874.560000000055879,1304186.859999999869615,1250455.519999999785796,1439967.500000000000000,1274557.130000000121072,10236280.419999999925494
20120725,1199056.470000000204891,1216532.719999999972060,1235963.420000000158325,1275141.760000000009313,1304186.859999999869615,1195337.599999999860302,1462763.600000000093132,1273497.109999999869615,10162479.539999999105930
20120726,1198910.500000000000000,1243154.420000000158325,1280493.260000000009313,1283886.719999999972060,1315187.199999999953434,1184632.879999999888241,1476272.400000000139698,1301587.640000000130385,10284125.019999999552965
20120727,1220222.120000000111759,1288538.080000000074506,1299854.060000000055879,1302469.760000000009313,1325983.830000000074506,1214924.959999999962747,1507933.650000000139698,1316604.589999999850988,10476531.050000000745058
20120730,1240803.890000000130385,1278903.560000000055879,1288721.600000000093132,1295911.040000000037253,1326187.539999999804422,1213102.879999999888241,1531151.900000000139698,1324731.410000000149012,10499513.820000000298023
20120731,1273647.140000000130385,1279157.100000000093132,1262826.530000000027940,1313947.520000000018626,1314779.780000000027940,1163678.959999999962747,1534951.250000000000000,1315014.560000000055879,10458002.840000001713634
20120801,1265472.820000000065193,1268888.729999999981374,1250726.030000000027940,1308481.920000000158325,1303983.150000000139698,1166412.079999999841675,1531151.900000000139698,1300704.290000000037253,10395820.920000001788139
20120802,1267516.400000000139698,1239985.170000000158325,1243707.739999999990687,1307388.800000000046566,1293797.649999999906868,1163906.719999999972060,1509200.100000000093132,1308301.099999999860302,10333803.679999999701977
20120803,1284011.010000000009313,1280171.260000000009313,1265488.640000000130385,1327064.960000000195578,1334335.939999999944121,1175522.479999999981374,1511310.849999999860302,1317134.599999999860302,10495039.740000000223517
20120806,1298316.070000000065193,1293355.340000000083819,1258470.350000000093132,1325971.840000000083819,1340650.949999999953434,1161629.119999999878928,1510888.699999999953434,1312364.510000000009313,10501646.880000000819564
20120807,1294812.790000000270084,1308821.280000000027940,1268150.750000000000000,1297550.719999999972060,1349003.059999999823049,1196704.159999999916181,1521020.300000000046566,1307241.079999999841675,10543304.140000000596046
20120808,1292623.239999999990687,1299440.300000000046566,1277589.140000000130385,1302469.760000000009313,1359188.559999999823049,1201031.599999999860302,1529885.450000000186265,1312894.520000000018626,10575122.570000000298023
20120809,1294520.850000000325963,1313385.000000000000000,1286301.500000000000000,1304656.000000000000000,1359392.270000000018626,1184860.639999999897555,1523553.200000000186265,1304767.699999999953434,10571437.160000000149012
20120810,1296418.460000000195578,1306032.340000000083819,1284123.410000000149012,1308481.920000000158325,1360207.109999999869615,1182127.519999999785796,1526930.400000000139698,1301764.310000000055879,10566085.470000000670552
20120813,1313788.890000000130385,1313511.770000000018626,1278315.170000000158325,1296457.599999999860302,1354299.520000000018626,1182127.519999999785796,1518487.400000000139698,1296817.550000000046566,10553805.419999999925494
20120814,1317292.170000000158325,1309074.820000000065193,1324055.060000000055879,1310668.160000000149012,1359392.270000000018626,1183721.839999999850988,1507511.500000000232831,1307594.420000000158325,10619310.240000000223517
20120815,1315540.530000000260770,1307426.810000000055879,1331073.350000000093132,1313947.520000000018626,1357558.879999999888241,1203081.439999999944121,1501179.250000000232831,1315367.900000000139698,10645175.680000001564622
20120816,1327072.160000000149012,1311990.530000000027940,1362776.660000000149012,1312854.399999999906868,1364892.439999999944121,1216063.759999999776483,1499490.650000000139698,1274733.800000000046566,10669874.400000000372529
20120817,1351595.120000000111759,1313385.000000000000000,1372941.080000000074506,1300283.520000000018626,1364892.439999999944121,1210142.000000000000000,1512999.450000000186265,1271907.079999999841675,10698145.689999999478459
20120820,1387065.830000000074506,1334682.360000000102445,1369068.920000000158325,1306842.239999999990687,1359799.689999999944121,1211736.319999999832362,1521020.300000000046566,1277383.849999999860302,10767599.510000001639128
20120821,1368089.730000000214204,1335189.439999999944121,1363018.670000000158325,1294817.920000000158325,1360207.109999999869615,1216747.039999999804422,1504978.600000000093132,1262013.560000000055879,10705062.070000000298023
20120822,1394802.239999999990687,1326949.390000000130385,1370762.989999999990687,1295364.479999999981374,1361836.789999999804422,1229273.839999999850988,1500757.099999999860302,1268020.339999999850988,10747767.169999999925494
20120823,1381810.910000000149012,1319469.959999999962747,1368584.900000000139698,1297550.719999999972060,1358373.719999999972060,1228135.039999999804422,1505400.750000000000000,1264310.270000000018626,10723636.269999999552965
20120824,1383124.640000000130385,1330625.719999999972060,1378507.310000000055879,1312307.840000000083819,1365299.859999999869615,1233601.279999999795109,1504978.600000000093132,1274027.119999999878928,10782472.369999999180436
20120827,1409107.300000000046566,1332654.040000000037253,1371489.020000000018626,1305749.120000000111759,1367133.250000000000000,1243850.479999999981374,1502867.850000000093132,1280917.250000000000000,10813768.310000000521541
20120828,1407209.690000000176951,1331513.110000000102445,1368100.880000000121072,1303562.880000000121072,1364688.729999999748543,1237473.199999999953434,1494424.850000000093132,1279327.219999999972060,10786300.560000000521541
20120829,1404436.260000000009313,1337851.610000000102445,1375603.190000000176951,1309575.040000000037253,1362244.209999999962747,1244533.759999999776483,1490203.349999999860302,1285687.339999999850988,10810134.759999999776483
20120830,1384438.370000000111759,1327583.239999999990687,1370278.969999999972060,1303016.320000000065193,1362447.919999999925494,1245672.559999999823049,1486404.000000000232831,1276500.500000000000000,10756341.880000000819564
20120831,1387211.800000000046566,1340260.239999999990687,1373425.100000000093132,1304109.439999999944121,1368762.929999999934807,1236789.919999999925494,1509622.250000000000000,1282683.949999999953434,10802865.629999998956919
20120904,1407501.630000000121072,1349007.370000000111759,1374393.140000000130385,1299736.960000000195578,1373040.840000000083819,1242711.679999999934807,1507089.350000000325963,1298760.920000000158325,10852241.890000000596046
20120905,1397721.640000000130385,1393757.179999999934807,1368342.890000000130385,1307388.800000000046566,1370800.030000000027940,1236334.399999999906868,1514688.050000000279397,1299467.599999999860302,10888500.590000001713634
20120906,1410275.060000000055879,1439394.380000000121072,1395206.000000000000000,1330344.320000000065193,1390152.479999999748543,1250227.759999999776483,1485981.850000000325963,1321728.020000000018626,11023309.869999999180436
20120907,1419033.260000000009313,1474763.209999999962747,1385767.610000000102445,1324878.719999999972060,1395856.359999999869615,1250000.000000000000000,1475005.949999999953434,1304237.689999999944121,11029542.799999998882413
20120910,1382102.850000000325963,1453846.160000000149012,1386735.650000000139698,1317226.880000000121072,1395652.650000000139698,1224035.359999999869615,1483448.950000000186265,1298760.920000000158325,10941809.419999999925494
20120911,1377577.780000000260770,1479326.929999999934807,1372699.070000000065193,1321052.800000000046566,1390559.900000000139698,1202625.919999999925494,1482182.500000000000000,1308477.770000000018626,10934502.669999999925494
20120912,1396699.850000000325963,1498976.280000000027940,1380685.400000000139698,1315587.199999999953434,1387300.539999999804422,1203081.439999999944121,1492736.250000000000000,1308654.439999999944121,10983721.400000000372529
20120913,1424288.179999999934807,1529781.390000000130385,1410936.650000000139698,1325425.280000000027940,1403801.049999999813735,1227451.759999999776483,1520598.150000000139698,1327558.130000000121072,11169840.590000001713634
20120914,1441512.640000000130385,1538528.520000000018626,1439009.810000000055879,1300830.080000000074506,1408893.799999999813735,1235651.119999999878928,1520598.150000000139698,1316251.250000000000000,11201275.370000001043081
20120917,1459320.980000000214204,1520020.100000000093132,1425699.260000000009313,1312854.399999999906868,1410727.189999999944121,1240889.599999999860302,1507089.350000000325963,1307241.079999999841675,11183841.959999999031425
20120918,1463700.080000000074506,1519766.560000000055879,1424489.210000000195578,1312307.840000000083819,1410116.059999999823049,1255694.000000000000000,1505400.750000000000000,1306534.400000000139698,11198008.900000000372529
20120919,1464137.989999999990687,1508864.340000000083819,1439251.820000000065193,1320506.239999999990687,1410930.900000000139698,1251594.319999999832362,1511733.000000000232831,1313954.540000000037253,11220973.150000002235174
20120920,1456985.460000000195578,1491243.310000000055879,1434653.630000000121072,1334170.239999999990687,1417042.199999999953434,1251366.559999999823049,1500757.099999999860302,1320668.000000000000000,11206886.500000000000000
20120921,1459904.860000000102445,1479707.239999999990687,1438041.770000000018626,1340182.399999999906868,1414190.260000000009313,1279608.799999999813735,1482182.500000000000000,1315367.900000000139698,11209185.729999998584390
20120924,1440490.850000000325963,1478186.000000000000000,1437315.739999999990687,1352753.280000000027940,1421116.400000000139698,1275053.599999999860302,1505822.900000000139698,1320491.329999999841675,11231230.100000001490116
20120925,1404582.230000000214204,1438887.300000000046566,1445302.070000000065193,1357672.320000000065193,1417653.330000000074506,1280064.319999999832362,1522708.900000000139698,1312011.170000000158325,11178881.640000000596046
20120926,1387211.800000000046566,1433562.959999999962747,1431991.520000000018626,1357125.760000000009313,1411745.739999999990687,1270498.399999999906868,1512155.150000000139698,1310774.479999999981374,11115065.810000000521541
20120927,1420784.900000000139698,1460818.510000000009313,1449174.230000000214204,1364231.040000000037253,1411745.739999999990687,1280975.359999999869615,1545082.850000000093132,1307064.410000000149012,11239877.040000000968575
20120928,1391152.989999999990687,1441169.160000000149012,1461032.719999999972060,1358218.880000000121072,1412968.000000000000000,1262071.279999999795109,1538328.449999999953434,1303884.349999999860302,11168825.829999998211861
20121001,1375096.290000000270084,1481482.020000000018626,1465872.920000000158325,1368603.520000000018626,1414801.389999999897555,1285986.079999999841675,1559858.100000000325963,1308301.099999999860302,11260001.419999998062849
20121002,1379037.480000000214204,1486426.050000000046566,1460064.680000000167638,1372976.000000000000000,1401356.530000000027940,1293729.919999999925494,1558169.500000000000000,1303001.000000000000000,11254761.160000000149012
20121003,1400203.130000000121072,1494792.870000000111759,1494914.120000000111759,1383907.199999999953434,1409097.510000000009313,1295096.479999999981374,1534951.250000000000000,1310951.150000000139698,11323913.710000000894070
20121004,1390569.110000000102445,1520020.100000000093132,1494188.090000000083819,1385546.880000000121072,1413375.419999999925494,1320377.839999999850988,1535373.399999999906868,1320137.989999999990687,11379588.830000000074506
