訓練日期,20190128 - 20190430
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11425200.210000000894070
真實報酬,1425200.210000000894070

夏普值報酬,0.133820021000000
夏普值風險,0.037601899786388
夏普值,3.558863295743421

預期報酬,21603.306972508416948
風險,52625.269962014652265
趨勢值,0.410512040852272
找到最佳解世代,2709
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,11
AAPL[0](3),CSCO[4](1),JNJ[12](12),KO[14](27),MCD[15](22),MSFT[18](8),PG[21](5),TRV[22](4),V[25](2),WMT[28](16),XOM[29](9),
20190212,984745.059999999939464,943774.319999999948777,951127.770000000018626,953037.390000000013970,859541.800000000046566,906715.039999999920838,964059.920000000041910,925672.439999999944121,930852.600000000209548,909371.309999999939464,955734.000000000116415,10284641.650000000372529
20190213,980654.040000000037253,936088.589999999967404,953183.579999999958090,955532.220000000088476,860431.000000000000000,906036.479999999981374,963865.680000000051223,931345.379999999888241,940685.100000000209548,918467.000000000000000,966507.750000000000000,10312806.820000000298023
20190214,984226.480000000097789,953824.889999999897555,952191.119999999995343,874930.020000000135042,868927.800000000046566,906799.859999999986030,956290.319999999948777,923272.349999999976717,938521.950000000069849,923905.659999999916181,966761.250000000000000,10249661.700000001117587
20190215,982036.919999999925494,974123.099999999976717,966865.349999999976717,868213.170000000158325,889181.800000000046566,917996.099999999976717,956484.560000000055879,936436.479999999981374,949993.200000000069849,937689.849999999976717,985013.249999999883585,10364043.779999999329448
20190219,984975.540000000037253,978458.639999999897555,961973.940000000060536,860344.859999999986030,885625.000000000000000,917572.000000000000000,971149.680000000051223,939054.759999999892898,946912.350000000093132,958413.020000000018626,991604.250000000000000,10396094.039999999105930
20190220,991313.739999999990687,978064.500000000000000,966652.679999999934807,865526.430000000051223,891750.600000000093132,908920.359999999986030,964254.160000000032596,943709.479999999981374,948813.300000000046566,936658.380000000004657,995406.750000000000000,10391080.380000002682209
20190221,985724.599999999976717,973728.959999999846332,960059.909999999916181,880111.590000000083819,903211.400000000023283,928089.679999999934807,969110.160000000032596,944291.319999999948777,944028.150000000139698,932063.650000000023283,986407.499999999883585,10406836.919999999925494
20190222,996730.020000000018626,987523.859999999986030,968424.929999999934807,868980.810000000055879,904989.799999999930151,941321.599999999976717,973674.800000000046566,953018.920000000041910,956286.000000000116415,933563.969999999972060,994012.500000000000000,10478537.210000000894070
20190225,1003990.139999999897555,1000924.619999999995343,965589.329999999958090,862455.869999999995343,902223.400000000023283,946580.439999999944121,967070.640000000013970,963710.229999999981374,957531.450000000186265,929531.859999999986030,995026.500000000000000,10494644.480000000447035
20190226,1004566.340000000083819,1008610.349999999976717,964951.320000000181608,857658.119999999995343,905187.400000000023283,953111.579999999958090,969595.760000000009313,969383.170000000041910,963955.350000000093132,925499.750000000000000,997054.500000000000000,10519583.640000000596046
20190227,1007677.820000000065193,1016690.220000000088476,963249.960000000079162,862455.869999999995343,905928.400000000023283,951500.000000000000000,960660.719999999972060,964655.719999999972060,965135.250000000116415,920061.089999999967404,1007321.250000000000000,10525346.300000000745058
20190228,997767.180000000051223,1020237.479999999981374,968708.489999999874271,870132.270000000135042,908299.599999999976717,950312.519999999902211,957164.400000000023283,966764.889999999897555,971034.750000000116415,928312.849999999976717,1001744.250000000000000,10540488.679999999701977
20190301,1008254.020000000018626,1013142.959999999846332,980830.679999999934807,870899.910000000149012,914277.000000000000000,954553.519999999902211,956096.080000000074506,967637.650000000023283,979884.000000000116415,918373.230000000097789,1014039.000000000000000,10577998.050000000745058
20190304,1013324.579999999958090,1008216.209999999846332,981752.250000000000000,876081.480000000097789,892244.599999999976717,952263.380000000004657,960272.240000000107102,961237.410000000032596,969985.950000000186265,917623.069999999948777,1017968.250000000000000,10550979.420000001788139
20190305,1011480.739999999990687,1010975.189999999944121,983808.060000000055879,875121.930000000051223,895999.000000000000000,947513.459999999962747,962408.880000000121072,965164.829999999958090,969920.400000000023283,922217.800000000046566,1016447.250000000000000,10561067.540000000968575
20190306,1005661.120000000111759,1018266.780000000027940,986076.540000000037253,872243.280000000144355,899358.199999999953434,947937.559999999939464,960854.960000000079162,958691.860000000102445,969002.700000000186265,921467.640000000013970,1004913.000000000000000,10544483.640000000596046
20190307,994021.880000000004657,1010778.119999999995343,980050.890000000130385,868980.810000000055879,891898.800000000046566,936402.039999999920838,957164.400000000023283,956437.229999999981374,962578.800000000279397,913872.270000000018626,1016067.000000000000000,10488262.240000000223517
20190308,996384.299999999930151,1006442.579999999958090,978774.869999999995343,860536.770000000135042,886860.000000000000000,937419.880000000004657,955804.719999999972060,953018.920000000041910,965987.400000000139698,915185.050000000046566,1001490.750000000116415,10457915.240000000223517
20190311,1030898.680000000051223,1023193.530000000027940,982319.369999999995343,886252.710000000079162,894665.200000000069849,957098.119999999878928,967167.760000000009313,959200.969999999972060,987750.000000000000000,923530.580000000074506,1011250.500000000000000,10623337.419999999925494
20190312,1042480.299999999930151,1027726.139999999897555,986714.550000000046566,883757.880000000004657,898370.200000000069849,963798.900000000023283,971732.400000000023283,965383.019999999902211,994698.300000000046566,922499.109999999986030,1014039.000000000000000,10671209.800000000745058
20190313,1047089.900000000023283,1036397.220000000088476,988345.020000000018626,887020.350000000093132,899506.400000000023283,971263.059999999939464,982706.960000000079162,967419.459999999962747,999549.000000000116415,928687.930000000051223,1023038.249999999883585,10731033.550000000745058
20190314,1058729.140000000130385,1039353.270000000018626,978491.310000000055879,877041.030000000144355,902865.600000000093132,972026.439999999944121,984066.640000000013970,967855.839999999967404,1010889.150000000023283,921092.559999999939464,1019616.000000000000000,10732036.980000000447035
20190315,1072500.319999999832362,1048418.489999999990687,975513.929999999934807,869364.630000000004657,915660.200000000069849,983222.679999999934807,994944.080000000074506,976001.599999999976717,1019148.450000000186265,922967.959999999962747,1015940.250000000116415,10793692.589999999850988
20190318,1083448.120000000111759,1054527.660000000149012,972465.659999999916181,871475.640000000013970,908843.000000000000000,997302.799999999930151,985911.920000000041910,981529.079999999958090,1015870.950000000186265,934595.439999999944121,1027728.000000000000000,10833708.269999999552965
20190319,1074862.740000000223517,1050586.260000000242144,981468.690000000060536,874354.290000000153668,904693.400000000023283,997981.359999999986030,989699.600000000093132,966910.349999999976717,1013445.600000000209548,936377.069999999948777,1025066.250000000000000,10815455.610000001266599
20190320,1084254.799999999813735,1049600.910000000149012,973316.339999999967404,873778.560000000055879,913881.800000000046566,996878.699999999953434,987951.440000000060536,955273.550000000046566,1007939.400000000139698,925030.900000000023283,1030769.999999999883585,10798686.400000000372529
20190321,1124185.459999999962747,1063001.669999999925494,979058.429999999934807,873394.739999999990687,920797.800000000046566,1019780.099999999976717,995429.680000000051223,977383.469999999972060,1021377.150000000256114,928969.239999999990687,1036727.250000000116415,10940114.989999998360872
20190322,1100906.979999999981374,1039353.270000000018626,970622.520000000018626,881454.960000000079162,922971.400000000023283,992892.159999999916181,987368.719999999972060,981238.160000000032596,1003482.000000000116415,921655.180000000051223,1020123.000000000000000,10822078.349999999627471
20190325,1087596.760000000242144,1039156.199999999953434,968495.820000000181608,883374.060000000055879,917586.800000000046566,998066.179999999934807,990282.319999999948777,981601.809999999823049,1003219.800000000162981,920623.709999999962747,1013025.000000000000000,10803038.460000000894070
20190326,1076360.859999999869615,1049009.699999999720603,982390.260000000009313,895080.570000000065193,926281.199999999953434,1000186.679999999934807,1000577.040000000037253,981819.999999999883585,1018099.650000000256114,922030.259999999892898,1026206.999999999883585,10878053.219999998807907
20190327,1086041.020000000018626,1047236.069999999948777,983311.829999999958090,894504.840000000083819,926429.399999999906868,990517.199999999953434,999411.600000000093132,991784.009999999892898,1011020.250000000116415,911621.789999999920838,1018348.500000000000000,10860236.509999999776483
20190328,1087481.520000000018626,1051571.609999999869615,984587.849999999976717,893929.109999999986030,935716.599999999976717,991874.319999999948777,1005724.400000000023283,995784.160000000032596,1013970.000000000000000,910871.630000000004657,1023418.499999999883585,10894939.700000001117587
20190329,1094568.779999999795109,1063987.020000000018626,991038.839999999967404,899302.590000000083819,938236.000000000000000,1000441.139999999897555,1010580.400000000023283,997675.139999999897555,1023933.600000000093132,914622.430000000051223,1024179.000000000000000,10958574.939999999478459
20190401,1102001.760000000242144,1083496.949999999720603,985296.750000000000000,896615.850000000093132,930776.599999999976717,1009601.699999999953434,1006598.480000000097789,1003929.920000000041910,1030947.450000000069849,917341.759999999892898,1035966.750000000000000,11002583.970000000670552
20190402,1118020.120000000111759,1089606.120000000111759,976293.720000000088476,893737.200000000069849,930579.000000000000000,1011043.639999999897555,1007666.800000000046566,995129.589999999967404,1034356.050000000162981,909090.000000000000000,1031530.500000000000000,10997062.740000000223517
20190403,1125683.580000000074506,1096306.500000000000000,972465.659999999916181,886252.710000000079162,930579.000000000000000,1017659.599999999976717,1007084.080000000074506,993602.259999999892898,1038813.450000000186265,911434.250000000000000,1025446.500000000116415,11005337.589999999850988
20190404,1127642.660000000149012,1086650.069999999832362,961123.260000000009313,892010.010000000009313,938087.800000000046566,1012485.579999999958090,1004558.960000000079162,993020.420000000041910,1033438.350000000093132,920061.089999999967404,1040022.750000000000000,11009110.949999999254942
20190405,1135190.879999999888241,1088029.560000000055879,965447.550000000046566,891818.100000000093132,942237.400000000023283,1016981.039999999920838,1006695.600000000093132,992147.660000000032596,1033503.900000000139698,926812.530000000027940,1045599.749999999883585,11044473.970000000670552
20190408,1153053.080000000074506,1093547.520000000018626,965163.989999999874271,893353.380000000004657,937989.000000000000000,1017320.319999999948777,1019515.440000000060536,988365.699999999953434,1034159.400000000139698,930563.330000000074506,1052064.000000000000000,11085105.160000000149012
20190409,1149595.879999999888241,1087438.350000000093132,961123.260000000009313,895656.300000000162981,939125.200000000069849,1011807.019999999902211,1016504.719999999972060,983347.329999999958090,1032455.100000000209548,925499.750000000000000,1038501.750000000116415,11041064.660000000149012
20190410,1156049.319999999832362,1100050.830000000074506,961194.150000000139698,895080.570000000065193,934876.800000000046566,1019525.639999999897555,1016407.600000000093132,985311.040000000037253,1039468.950000000186265,934032.819999999948777,1033812.000000000000000,11075819.720000000670552
20190411,1146426.779999999795109,1095715.290000000037253,958571.220000000088476,896423.940000000060536,933197.199999999953434,1020713.119999999878928,1017378.800000000046566,991274.900000000023283,1034880.450000000186265,945285.219999999972060,1038755.250000000000000,11078632.169999999925494
20190412,1145965.819999999832362,1109313.120000000111759,964029.750000000000000,896999.670000000158325,946634.000000000000000,1025971.959999999962747,1020389.520000000018626,1001748.019999999902211,1046548.350000000093132,952411.739999999990687,1025700.000000000000000,11135721.949999999254942
20190415,1148040.140000000130385,1114634.010000000242144,967857.810000000055879,901989.330000000074506,947869.000000000000000,1026820.159999999916181,1026896.560000000055879,994984.129999999888241,1051792.350000000093132,960569.730000000097789,1022277.750000000116415,11163740.970000002533197
20190416,1148155.379999999888241,1122319.740000000223517,978491.310000000055879,901029.780000000144355,947128.000000000000000,1024445.199999999953434,1033597.840000000083819,1006257.280000000027940,1050415.800000000046566,965258.230000000097789,1029249.000000000000000,11206357.560000002384186
20190417,1170511.939999999944121,1109707.260000000242144,982035.810000000055879,907362.810000000055879,946683.400000000023283,1032927.199999999953434,1028062.000000000000000,988292.969999999972060,1051792.350000000093132,967414.939999999944121,1032164.250000000116415,11216964.929999999701977
20190418,1174718.200000000186265,1111480.890000000130385,974946.810000000055879,911201.010000000009313,962985.400000000023283,1046498.400000000023283,1030004.400000000023283,1010548.349999999976717,1049956.950000000186265,967602.480000000097789,1028361.750000000000000,11268314.640000000596046
20190422,1178578.740000000223517,1110298.470000000204891,977144.400000000139698,909665.730000000097789,958094.799999999930151,1049806.379999999888241,1029615.920000000041910,993674.990000000107102,1051530.150000000139698,960007.109999999986030,1050796.500000000000000,11269223.189999999478459
20190423,1195576.640000000130385,1117195.919999999925494,991818.630000000121072,925210.440000000060536,964714.399999999906868,1064056.140000000130385,1001936.719999999972060,1003857.189999999944121,1059789.450000000186265,966571.009999999892898,1056880.500000000000000,11347617.040000000968575
20190424,1193732.799999999813735,1120940.250000000000000,986856.329999999958090,920796.510000000009313,976422.199999999953434,1060408.879999999888241,1007084.080000000074506,1012366.599999999976717,1058675.100000000093132,970884.430000000051223,1036347.000000000116415,11344524.179999999701977
20190425,1182900.240000000223517,1110101.399999999906868,990046.380000000121072,918109.770000000135042,977904.200000000069849,1095524.359999999869615,1003102.160000000032596,1012439.329999999958090,1055594.250000000232831,970790.659999999916181,1042177.500000000000000,11358700.250000001862645
20190426,1177253.479999999981374,1101233.250000000000000,995292.239999999874271,926169.989999999990687,975384.799999999930151,1101801.040000000037253,1028159.119999999995343,1020075.979999999981374,1068114.300000000279397,952130.430000000051223,1020249.749999999883585,11365874.380000000819564
20190429,1179039.700000000186265,1106160.000000000000000,991393.290000000037253,929240.550000000162981,973902.800000000046566,1100783.200000000186265,1017670.160000000032596,1028949.040000000037253,1076111.400000000139698,952411.739999999990687,1013658.750000000000000,11369330.630000000819564
20190430,1156337.419999999925494,1102612.740000000223517,1001034.329999999958090,941522.790000000153668,976125.799999999930151,1107823.259999999776483,1034180.560000000055879,1045604.209999999962747,1077946.800000000279397,964414.300000000046566,1017588.000000000000000,11425200.210000000894070
