訓練日期,20171024 - 20180126
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11580091.169999999925494
真實報酬,1580091.169999999925494

夏普值報酬,0.149309117000000
夏普值風險,0.041353685560812
夏普值,3.610539543819736

預期報酬,23646.956873645445739
風險,44230.985769025719492
趨勢值,0.534624233724518
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,12
AAPL[0](16),AXP[1](10),CAT[3](7),CVX[5](21),DIS[6](4),HD[9](3),MCD[15](6),MSFT[18](9),NKE[19](1),PG[21](17),WBA[27](8),WMT[28](5),
20171106,929807.880000000121072,868601.200000000069849,871490.839999999967404,820091.659999999916181,849712.420000000041910,830702.839999999967404,867662.729999999981374,892953.440000000060536,870292.020000000135042,821401.750000000000000,813954.489999999874271,833803.000000000000000,10270478.270000001415610
20171107,932796.040000000153668,860302.800000000046566,878451.640000000013970,821492.859999999869615,857902.130000000004657,827870.359999999986030,871233.430000000051223,890839.239999999990687,856471.210000000079162,830278.600000000093132,838393.630000000004657,836153.000000000000000,10302188.940000001341105
20171108,940426.520000000135042,858138.000000000000000,868833.079999999958090,817499.439999999944121,854271.640000000130385,829842.979999999981374,867815.760000000009313,893904.830000000074506,865943.900000000023283,836005.599999999976717,850489.770000000018626,848467.000000000000000,10331642.519999999552965
20171109,938505.560000000055879,845690.400000000023283,856493.479999999981374,821492.859999999869615,866936.140000000130385,825897.739999999990687,852002.660000000032596,888936.460000000079162,871689.630000000121072,837914.599999999976717,858389.290000000037253,848843.000000000000000,10312795.820000000298023
20171110,932049.000000000000000,843615.799999999930151,863707.399999999906868,821072.500000000000000,884666.440000000060536,830146.460000000079162,844810.250000000000000,886610.840000000083819,871068.470000000204891,841541.699999999953434,876286.639999999897555,854671.000000000000000,10350250.500000000000000
20171113,928313.800000000162981,847043.400000000023283,864023.799999999930151,821422.799999999930151,884328.719999999972060,836418.379999999888241,853890.030000000027940,887245.100000000093132,868273.250000000000000,849559.500000000000000,868633.979999999981374,855329.000000000000000,10364485.759999999776483
20171114,914280.120000000111759,845780.600000000093132,870415.079999999958090,819250.939999999944121,871073.210000000079162,850125.559999999939464,857664.770000000135042,888513.619999999995343,869360.280000000027940,848318.650000000023283,871349.439999999944121,856269.000000000000000,10362405.269999999552965
20171115,902220.760000000242144,841270.600000000093132,848646.759999999892898,815958.119999999995343,875463.569999999948777,837025.339999999967404,853634.979999999981374,877202.650000000139698,879454.130000000121072,842209.850000000093132,866535.670000000041910,844425.000000000000000,10284051.430000001564622
20171116,912999.480000000097789,843976.600000000093132,862948.040000000037253,802786.839999999850988,874703.699999999953434,847293.079999999958090,857562.750000000000000,879528.270000000135042,888771.530000000027940,851945.750000000000000,880112.969999999855645,936451.000000000000000,10439084.010000001639128
20171117,907930.280000000144355,845149.199999999953434,861492.599999999976717,803767.679999999934807,873352.819999999948777,848507.000000000000000,850574.380000000004657,871071.470000000088476,919208.370000000111759,844118.850000000093132,879495.819999999948777,916241.000000000000000,10420913.470000000670552
20171120,907023.160000000032596,847494.400000000023283,866428.439999999944121,803837.739999999874271,867527.150000000023283,862214.179999999934807,851645.590000000083819,872445.700000000069849,920140.110000000102445,842591.649999999906868,873694.609999999986030,916335.000000000000000,10431381.729999998584390
20171121,923884.920000000041910,851643.599999999976717,870794.759999999892898,806990.439999999944121,869637.900000000023283,874403.960000000079162,858633.960000000079162,885025.190000000060536,922314.170000000158325,846886.900000000023283,878384.949999999953434,907311.000000000000000,10495915.750000000000000
20171122,933596.440000000176951,846321.799999999930151,873389.239999999874271,812174.879999999888241,867442.719999999972060,870357.559999999939464,862459.710000000079162,878576.880000000004657,917344.890000000130385,843164.349999999976717,880483.259999999892898,906277.000000000000000,10491592.729999998584390
20171124,933649.800000000162981,843255.000000000116415,869465.879999999888241,816378.479999999981374,866598.420000000041910,871723.219999999972060,862765.770000000135042,880162.530000000144355,921227.140000000130385,844309.750000000000000,867523.109999999986030,908251.000000000000000,10485314.099999999627471
20171127,928954.120000000111759,843164.800000000046566,868200.279999999911524,809932.959999999962747,867864.870000000111759,880979.359999999986030,862000.620000000111759,886610.840000000083819,926041.130000000121072,849177.699999999953434,856537.839999999967404,908251.000000000000000,10487719.519999999552965
20171128,923511.400000000139698,859491.000000000000000,879590.680000000051223,815958.119999999995343,873099.530000000027940,893169.139999999897555,874141.000000000000000,897287.550000000046566,925264.680000000051223,853377.500000000000000,891715.389999999897555,909661.000000000000000,10596270.990000000223517
20171129,904355.160000000032596,871397.400000000023283,873705.640000000013970,821072.500000000000000,888550.219999999972060,896608.579999999958090,869499.090000000083819,881008.210000000079162,937377.300000000046566,853186.599999999976717,887765.630000000004657,917087.000000000000000,10601617.330000000074506
20171130,917001.480000000097789,881409.599999999976717,893259.160000000032596,833753.359999999869615,885004.159999999916181,909607.639999999897555,877354.630000000004657,889782.140000000130385,938309.040000000153668,859009.049999999930151,898133.750000000000000,913985.000000000000000,10696613.009999999776483
20171201,912732.680000000167638,882762.599999999976717,895600.520000000018626,837396.479999999981374,888634.650000000023283,912642.439999999944121,881945.530000000027940,890733.530000000144355,929923.380000000121072,862540.699999999953434,881964.420000000041910,915113.000000000000000,10691993.930000001564622
20171204,906062.680000000167638,889347.200000000069849,895473.959999999962747,846714.459999999962747,930596.359999999986030,935302.280000000027940,870621.310000000055879,857117.750000000000000,933339.760000000125729,872562.949999999953434,883445.579999999841675,911917.000000000000000,10732505.289999999105930
20171205,905208.920000000041910,890429.599999999976717,886867.879999999888241,843561.759999999892898,905267.359999999986030,924933.379999999888241,882557.650000000023283,862508.960000000079162,938309.040000000153668,872467.500000000000000,866288.810000000055879,919625.000000000000000,10698029.860000001266599
20171206,901847.240000000107102,885919.599999999976717,888133.479999999981374,838097.079999999958090,890407.679999999934807,914564.479999999981374,885057.140000000013970,875088.450000000069849,927438.740000000107102,871035.750000000000000,877027.219999999855645,914455.000000000000000,10669075.860000001266599
20171207,903501.400000000139698,889257.000000000000000,904269.879999999888241,838237.199999999837019,888719.080000000074506,920634.079999999958090,882149.570000000065193,872022.859999999986030,941104.260000000125729,860059.000000000000000,859253.299999999930151,909755.000000000000000,10668966.630000002682209
20171208,903768.200000000186265,888986.400000000023283,910408.040000000037253,840268.939999999944121,880022.790000000037253,927765.859999999986030,883373.810000000055879,889676.430000000051223,951974.560000000055879,862636.150000000023283,883198.719999999855645,907593.000000000000000,10729676.900000002235174
20171211,921377.000000000000000,893045.400000000023283,909838.520000000018626,843771.939999999944121,901974.589999999967404,921898.579999999958090,883883.910000000032596,900987.400000000139698,961447.250000000000000,861299.850000000093132,887271.909999999916181,911165.000000000116415,10797965.350000001490116
20171212,916201.080000000074506,896382.800000000046566,907623.719999999855645,838587.500000000000000,907040.390000000130385,919622.479999999981374,878680.890000000013970,904687.250000000000000,965484.790000000153668,857672.750000000000000,888876.500000000000000,909003.000000000000000,10789867.150000000372529
20171213,919242.600000000209548,882041.000000000000000,940212.919999999925494,840339.000000000000000,908560.130000000004657,925843.819999999948777,885414.210000000079162,902255.920000000041910,998561.560000000055879,867504.099999999976717,885297.029999999911524,918967.000000000000000,10874243.289999999105930
20171214,918975.800000000162981,876358.400000000023283,925721.799999999930151,837536.599999999976717,933551.409999999916181,921291.619999999878928,883322.799999999930151,895279.060000000055879,1002133.230000000097789,868649.500000000000000,868510.549999999930151,913045.000000000000000,10844379.770000001415610
20171215,928313.800000000162981,888715.799999999930151,928316.279999999911524,838937.799999999930151,939461.510000000009313,923567.719999999972060,888015.720000000088476,918112.420000000041910,1006170.770000000251457,877144.550000000046566,888012.489999999874271,912857.000000000000000,10937629.859999999403954
20171218,941387.000000000000000,899179.000000000116415,947806.520000000018626,838727.619999999995343,937435.190000000060536,934442.419999999925494,888729.859999999986030,913144.050000000046566,1006481.350000000093132,877049.099999999976717,895541.719999999855645,920283.000000000000000,11000210.830000000074506
20171219,931355.320000000065193,894398.400000000023283,955020.439999999944121,839708.459999999962747,944020.730000000097789,940764.919999999925494,884598.049999999930151,907330.000000000000000,997629.820000000065193,875140.100000000093132,891098.239999999874271,928743.000000000000000,10989811.480000000447035
20171220,930341.480000000097789,888625.600000000093132,965208.520000000018626,847064.759999999892898,926121.569999999948777,947492.059999999939464,878374.829999999958090,904052.989999999990687,987535.970000000204891,873708.349999999976717,897640.029999999911524,928273.000000000000000,10974443.159999998286366
20171221,933863.240000000107102,888535.400000000023283,978623.879999999888241,874598.339999999850988,925108.409999999916181,951386.719999999972060,876742.510000000009313,903841.570000000065193,1005860.190000000060536,875044.650000000023283,904181.819999999948777,921787.000000000000000,11039577.730000000447035
20171222,933863.240000000107102,890700.199999999953434,985647.959999999962747,875719.299999999930151,917509.710000000079162,951639.619999999878928,874549.079999999958090,903947.280000000144355,982877.270000000135042,879435.349999999976717,897516.599999999860302,923196.999999999883585,11016606.610000001266599
20171226,910171.400000000139698,889166.799999999930151,990014.279999999911524,882725.299999999930151,912866.060000000055879,962918.960000000079162,873885.949999999953434,902784.470000000088476,988467.710000000079162,882776.100000000093132,904798.969999999855645,932127.000000000000000,11032707.000000000000000
20171227,910331.480000000097789,894218.000000000000000,996848.520000000018626,879712.719999999855645,908813.420000000041910,962059.099999999976717,880925.329999999958090,906061.479999999981374,977597.410000000149012,879149.000000000000000,899368.049999999930151,933067.000000000000000,11028155.509999999776483
20171228,912892.760000000242144,899359.400000000023283,1002543.719999999855645,879922.899999999906868,909911.010000000009313,959985.319999999948777,883118.760000000009313,906167.190000000060536,977597.410000000149012,878862.649999999906868,900355.489999999874271,934383.000000000000000,11045103.610000001266599
20171229,903021.160000000032596,895841.600000000093132,997228.200000000069849,877190.559999999939464,907715.830000000074506,958720.819999999948777,878119.780000000027940,904264.410000000149012,971385.810000000055879,877049.099999999976717,896405.729999999981374,928273.000000000000000,10995220.000000001862645
20180102,919189.240000000107102,892504.199999999953434,993811.079999999958090,893934.899999999906868,943936.300000000046566,951133.819999999948777,883730.880000000004657,908598.520000000135042,985983.070000000181608,865308.750000000000000,925164.920000000041910,926769.000000000000000,11090068.680000001564622
20180103,919029.160000000032596,898006.400000000023283,995329.799999999930151,900450.479999999864958,947988.940000000060536,956090.659999999916181,880007.150000000023283,912826.920000000041910,985827.780000000027940,864258.800000000046566,932077.000000000000000,934853.000000000000000,11126750.090000001713634
20180104,923297.960000000079162,909732.400000000023283,1008998.279999999911524,897648.080000000074506,947566.790000000037253,963677.659999999916181,886179.359999999986030,920860.880000000004657,985206.620000000111759,870367.600000000093132,883815.869999999878928,935699.000000000116415,11133054.500000000000000
20180105,933809.880000000121072,911807.000000000000000,1024944.839999999967404,896176.819999999948777,942416.560000000055879,973743.079999999958090,887964.710000000079162,932277.560000000055879,993592.280000000027940,870940.299999999930151,900108.630000000004657,941245.000000000000000,11209030.660000000149012
20180108,930341.480000000097789,903418.400000000023283,1050699.800000000046566,900590.599999999976717,928907.760000000009313,971416.399999999906868,887352.590000000083819,933228.950000000069849,1002443.810000000055879,875521.900000000023283,911587.619999999878928,955157.000000000000000,11250670.309999998658895
20180109,930234.760000000242144,906755.799999999930151,1053231.000000000000000,895756.459999999962747,928232.319999999948777,976777.879999999888241,885363.199999999953434,932594.690000000060536,995300.470000000204891,869126.750000000000000,906280.130000000004657,943689.000000000000000,11223346.460000000894070
20180110,930021.320000000065193,913069.800000000046566,1049687.320000000065193,901501.379999999888241,924264.109999999986030,970202.479999999981374,885210.170000000041910,928366.290000000037253,997319.240000000107102,863590.650000000023283,914426.509999999892898,936921.000000000000000,11214584.269999999552965
20180111,935303.960000000079162,908650.000000000116415,1070759.559999999823049,928894.839999999850988,937097.469999999972060,984769.520000000018626,884598.049999999930151,931114.750000000000000,998406.270000000251457,860536.250000000000000,930472.409999999916181,940211.000000000000000,11310818.080000000074506
20180112,944962.120000000111759,910814.800000000046566,1077720.360000000102445,936111.019999999902211,949593.109999999986030,993570.439999999944121,885516.229999999981374,947182.670000000041910,1004307.290000000153668,855381.949999999953434,938989.079999999841675,948201.000000000000000,11392354.070000000298023
20180116,940159.720000000088476,905132.200000000069849,1071455.639999999897555,924971.479999999864958,934564.569999999948777,993014.059999999939464,886077.340000000083819,933968.920000000041910,984896.040000000153668,861204.400000000023283,938495.359999999986030,946509.000000000000000,11320452.730000000447035
20180117,955687.480000000097789,908920.600000000093132,1066329.959999999962747,927423.580000000074506,945371.609999999986030,1010767.639999999897555,892708.640000000013970,952891.010000000125729,990952.350000000093132,870558.500000000000000,935409.609999999986030,965403.000000000000000,11422427.979999998584390
20180118,956541.240000000107102,900802.599999999976717,1068418.199999999953434,922028.959999999962747,932284.960000000079162,1003231.219999999972060,890617.229999999981374,952468.170000000041910,995611.050000000046566,860822.600000000093132,938125.069999999948777,980443.000000000000000,11401398.300000000745058
20180119,952272.440000000176951,884296.000000000000000,1078416.439999999944121,919997.219999999972060,933720.270000000018626,1018405.219999999972060,898523.780000000027940,951411.070000000065193,1043750.949999999953434,869317.649999999906868,943926.279999999911524,983169.000000000000000,11477210.319999998435378
20180122,944481.880000000121072,886911.799999999930151,1081453.879999999888241,928824.779999999911524,938026.199999999953434,1034236.760000000009313,898982.870000000111759,968430.380000000004657,1031017.170000000158325,877144.550000000046566,955405.270000000018626,991253.000000000000000,11536172.540000000968575
20180123,944695.320000000065193,883845.000000000116415,1072215.000000000000000,918035.540000000037253,932200.530000000027940,1036462.280000000027940,902043.470000000088476,971495.970000000088476,1042663.920000000158325,850036.750000000000000,950714.929999999934807,995483.000000000000000,11499895.710000000894070
20180124,929647.800000000162981,895751.400000000023283,1065317.479999999981374,920627.759999999776483,932960.400000000023283,1043138.839999999967404,898523.780000000027940,970650.290000000037253,1056018.860000000102445,842973.450000000069849,954541.259999999892898,994449.000000000116415,11504604.319999998435378
20180125,913052.840000000200234,899269.199999999953434,1071835.320000000065193,915443.319999999948777,933382.550000000046566,1038839.540000000037253,896177.320000000065193,976041.500000000000000,1051515.449999999953434,843259.800000000046566,966143.679999999934807,1002063.000000000000000,11507027.520000001415610
20180126,915187.240000000107102,898728.000000000000000,1057217.639999999897555,919226.559999999939464,947229.069999999948777,1048247.419999999925494,909950.020000000135042,994329.330000000074506,1056640.020000000251457,837437.350000000093132,977005.520000000018626,1018889.000000000000000,11580091.169999999925494
