訓練日期,20170918 - 20171218
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11532991.690000001341105
真實報酬,1532991.690000001341105

夏普值報酬,0.144599169000000
夏普值風險,0.039006058567194
夏普值,3.707095110645592

預期報酬,21491.169935514870303
風險,46860.309014190985181
趨勢值,0.458622027631243
找到最佳解世代,2578
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,9
BA[2](11),CSCO[4](5),CVX[5](22),DIS[6](18),HD[9](10),INTC[11](13),TRV[22](8),V[25](12),WMT[28](4),
20171114,1168046.119999999878928,1165912.600000000093132,1133307.970000000204891,1163553.699999999953434,1178866.239999999990687,1377176.800000000046566,1232248.800000000046566,1181591.679999999934807,1259155.330000000074506,10859860.240000000223517
20171115,1172954.320000000065193,1168310.169999999925494,1128752.260000000242144,1169418.260000000009313,1160699.979999999981374,1365164.800000000046566,1230868.050000000046566,1163338.449999999953434,1241738.350000000093132,10801245.639999998733401
20171116,1176702.399999999906868,1228934.440000000176951,1110529.420000000158325,1168403.239999999990687,1174938.399999999906868,1370870.500000000000000,1204173.550000000046566,1171462.719999999972060,1377065.520000000018626,10983081.190000001341105
20171117,1170277.119999999878928,1229619.459999999962747,1111886.440000000176951,1166598.760000000009313,1176621.760000000009313,1340239.900000000139698,1195981.099999999860302,1158801.519999999785796,1347346.070000000065193,10897373.130000000819564
20171120,1180852.060000000055879,1250170.060000000055879,1111983.370000000111759,1158816.939999999944121,1195629.699999999720603,1339939.599999999860302,1194600.350000000093132,1160173.149999999906868,1347484.300000000046566,10939650.529999999329448
20171121,1191382.380000000121072,1255307.709999999962747,1116345.220000000204891,1161636.439999999944121,1212533.439999999944121,1349549.199999999953434,1202516.649999999906868,1175999.649999999906868,1334214.219999999972060,10999485.910000000149012
20171122,1183172.299999999813735,1248457.510000000242144,1123518.040000000037253,1158704.159999999916181,1206922.239999999990687,1340840.500000000000000,1196809.549999999813735,1169352.519999999785796,1332693.689999999944121,10960471.509999999776483
20171124,1186429.560000000055879,1249827.550000000046566,1129333.840000000083819,1157576.359999999869615,1208816.020000000018626,1343843.500000000000000,1195152.650000000139698,1181486.169999999925494,1335596.520000000018626,10988063.169999999925494
20171127,1185090.959999999962747,1262842.929999999934807,1120416.280000000260770,1159268.060000000055879,1221651.639999999897555,1336035.699999999953434,1201135.899999999906868,1185812.079999999841675,1335596.520000000018626,11007851.070000000298023
20171128,1195844.380000000121072,1292298.790000000037253,1128752.260000000242144,1166260.419999999925494,1238555.379999999888241,1343242.899999999906868,1224424.549999999813735,1196152.060000000055879,1337669.969999999972060,11123201.710000000894070
20171129,1201689.600000000093132,1283736.040000000037253,1135828.150000000139698,1186899.159999999916181,1243324.899999999906868,1319819.500000000000000,1238416.149999999906868,1159223.560000000055879,1348590.140000000130385,11117528.200000001117587
20171130,1235154.600000000093132,1277570.859999999869615,1153372.480000000214204,1182162.399999999906868,1261350.879999999888241,1346546.200000000186265,1247989.349999999860302,1188027.790000000037253,1344028.550000000046566,11236204.109999999403954
20171201,1210970.560000000055879,1287846.160000000149012,1158412.840000000083819,1187011.939999999944121,1265559.279999999795109,1341741.399999999906868,1253880.550000000046566,1168402.929999999934807,1345687.309999999823049,11219513.970000000670552
20171204,1240375.140000000130385,1291956.280000000027940,1171304.530000000260770,1243063.599999999860302,1296982.000000000000000,1336035.699999999953434,1255261.300000000046566,1133584.630000000121072,1340987.489999999990687,11309551.670000001788139
20171205,1229532.479999999981374,1277913.370000000111759,1166942.680000000167638,1209229.599999999860302,1282603.299999999813735,1304504.199999999953434,1245688.099999999860302,1145718.280000000027940,1352322.350000000093132,11214455.359999999403954
20171206,1241713.739999999990687,1281338.469999999972060,1159382.140000000130385,1189380.319999999832362,1268224.600000000093132,1304804.500000000000000,1246056.300000000046566,1157957.439999999944121,1344719.699999999953434,11193578.209999999031425
20171207,1258223.140000000130385,1280995.959999999962747,1159576.000000000000000,1187124.719999999972060,1276641.399999999906868,1293693.399999999906868,1235470.550000000046566,1175472.100000000093132,1337808.199999999953434,11205006.470000000670552
20171208,1275758.799999999813735,1288188.669999999925494,1162386.970000000204891,1175508.379999999888241,1286531.139999999897555,1301801.500000000000000,1231236.250000000000000,1188133.299999999813735,1334628.909999999916181,11244174.920000001788139
20171211,1263532.920000000158325,1300176.520000000018626,1167233.470000000204891,1204831.179999999934807,1278394.899999999906868,1311110.799999999813735,1225805.300000000046566,1185706.570000000065193,1339881.650000000139698,11276674.310000000521541
20171212,1293785.280000000027940,1298463.969999999972060,1160060.650000000139698,1211597.979999999981374,1275238.600000000093132,1301200.899999999906868,1236759.250000000000000,1197207.159999999916181,1336702.360000000102445,11311017.150000000372529
20171213,1302263.079999999841675,1306684.209999999962747,1162483.900000000139698,1213628.020000000018626,1283865.819999999832362,1301501.200000000186265,1229487.300000000046566,1195624.510000000009313,1351354.739999999990687,11346893.780000001192093
20171214,1311365.560000000055879,1298121.459999999962747,1158606.700000000186265,1247010.899999999906868,1277553.219999999972060,1299098.800000000046566,1220466.400000000139698,1191509.619999999878928,1342646.250000000000000,11346379.909999998286366
20171215,1311633.280000000027940,1308054.250000000000000,1160545.300000000279397,1254905.500000000000000,1280709.520000000018626,1338137.800000000046566,1241729.949999999953434,1201005.519999999785796,1342369.790000000037253,11439091.910000000149012
20171218,1321449.679999999934807,1317987.040000000037253,1160254.510000000242144,1252198.780000000027940,1295789.619999999878928,1389188.800000000046566,1244675.550000000046566,1198156.750000000000000,1353289.960000000195578,11532991.690000001341105
