訓練日期,20111222 - 20120327
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12534363.139999998733401
真實報酬,2534363.139999998733401

夏普值報酬,0.244736314000000
夏普值風險,0.065833136582195
夏普值,3.717524740666688

預期報酬,39183.171606576623162
風險,82685.192492765825591
趨勢值,0.473883780460507
找到最佳解世代,2862
找到最佳解實驗#,2
找到最佳解次數,40

stock[index](rank)
投資組合檔數,7
AAPL[0](3),GS[8](6),HD[9](1),INTC[11](11),MSFT[18](4),PG[21](24),V[25](14),
20120118,1546100.859999999869615,1619708.370000000111759,1526528.440000000176951,1531731.879999999888241,1565547.320000000065193,1429220.350000000093132,1472256.180000000167638,10691096.400000000372529
20120119,1541308.870000000111759,1672034.360000000102445,1544555.329999999841675,1546210.599999999860302,1559447.159999999916181,1430302.599999999860302,1451831.940000000176951,10745693.859999999403954
20120120,1514322.400000000139698,1688492.979999999981374,1513943.629999999888241,1591456.599999999860302,1647622.199999999953434,1433549.350000000093132,1426868.979999999981374,10816259.140000000596046
20120123,1540047.820000000065193,1679953.129999999888241,1526528.440000000176951,1611364.840000000083819,1648731.320000000065193,1406926.000000000000000,1412685.479999999981374,10826240.030000001192093
20120124,1514826.820000000065193,1690511.489999999990687,1529249.479999999981374,1622827.159999999916181,1627103.479999999981374,1396103.500000000000000,1432542.380000000121072,10813167.310000000521541
20120125,1609405.570000000065193,1681195.290000000037253,1539453.379999999888241,1622827.159999999916181,1639303.799999999813735,1406493.100000000093132,1426301.640000000130385,10924982.940000001341105
20120126,1602091.480000000214204,1685698.120000000111759,1528909.350000000093132,1613777.959999999962747,1635976.439999999944121,1402597.000000000000000,1430840.360000000102445,10899893.710000000894070
20120127,1611675.459999999962747,1735539.790000000037253,1526188.309999999823049,1612571.399999999906868,1621003.320000000065193,1391774.500000000000000,1433109.720000000204891,10931865.500000000000000
20120130,1632356.679999999934807,1703864.709999999962747,1522787.010000000009313,1613174.679999999934807,1642076.599999999860302,1368181.449999999953434,1416656.860000000102445,10899100.989999998360872
20120131,1644714.969999999972060,1730881.689999999944121,1509862.070000000065193,1593869.719999999972060,1637640.120000000111759,1364501.800000000046566,1427436.320000000065193,10908909.690000001341105
20120201,1643706.130000000121072,1761625.150000000139698,1512583.109999999869615,1601712.360000000102445,1657604.280000000027940,1368181.449999999953434,1454101.300000000046566,10999516.780000001192093
20120202,1639922.979999999981374,1760693.530000000027940,1512242.979999999981374,1598092.679999999934807,1660931.639999999897555,1370562.399999999906868,1504594.560000000055879,11047043.769999999552965
20120203,1656316.630000000121072,1824975.310000000055879,1536392.209999999962747,1613174.679999999934807,1677013.879999999888241,1358657.650000000139698,1518210.720000000204891,11184744.080000000074506
20120206,1671701.440000000176951,1822801.530000000027940,1537412.600000000093132,1611968.119999999878928,1674795.639999999897555,1374674.949999999953434,1522749.440000000176951,11216106.719999998807907
20120207,1689356.140000000130385,1800908.459999999962747,1546255.979999999981374,1607141.879999999888241,1683114.040000000037253,1378787.500000000000000,1517643.380000000121072,11223210.380000000819564
20120208,1717603.659999999916181,1803548.050000000046566,1536392.209999999962747,1619810.760000000009313,1700305.399999999906868,1377488.800000000046566,1536932.940000000176951,11292084.820000000298023
20120209,1776873.010000000242144,1799355.760000000009313,1539793.510000000009313,1620414.040000000037253,1706405.559999999823049,1386146.800000000046566,1594801.620000000111759,11423793.300000000745058
20120210,1777881.849999999860302,1772028.239999999990687,1541834.290000000037253,1610761.559999999823049,1691432.439999999944121,1382683.600000000093132,1615793.200000000186265,11392418.179999999701977
20120213,1810921.359999999869615,1778394.310000000055879,1562242.090000000083819,1610761.559999999823049,1695868.919999999925494,1390259.350000000093132,1598773.000000000000000,11447223.589999997988343
20120214,1835637.940000000176951,1752619.489999999990687,1566663.780000000027940,1615587.800000000046566,1677568.439999999944121,1395670.600000000093132,1634515.420000000158325,11478266.469999998807907
20120215,1793266.659999999916181,1757277.590000000083819,1554759.229999999981374,1603522.199999999953434,1666477.239999999990687,1397185.750000000000000,1632813.400000000139698,11405305.070000002160668
20120216,1809408.099999999860302,1781654.979999999981374,1562242.090000000083819,1618604.199999999953434,1735242.679999999934807,1411255.000000000000000,1614091.180000000167638,11532501.230000000447035
20120217,1809155.890000000130385,1799821.569999999832362,1588772.229999999981374,1651181.320000000065193,1733024.439999999944121,1404977.949999999953434,1631111.380000000121072,11618047.779999999329448
20120221,1855058.109999999869615,1811001.010000000009313,1595914.959999999962747,1638512.439999999944121,1743561.080000000074506,1394371.900000000139698,1619764.580000000074506,11658187.080000000074506
20120222,1848500.650000000139698,1775754.719999999972060,1584010.409999999916181,1612571.399999999906868,1734133.559999999823049,1394804.800000000046566,1650400.940000000176951,11600179.480000000447035
20120223,1860606.729999999981374,1798113.599999999860302,1596935.350000000093132,1608348.439999999944121,1739679.159999999916181,1437661.900000000139698,1652102.960000000195578,11693451.140000000596046
20120224,1882296.790000000037253,1799200.489999999990687,1597955.739999999990687,1610761.559999999823049,1745779.320000000065193,1443938.949999999953434,1667421.140000000130385,11747356.990000000223517
20120227,1894402.870000000111759,1804790.209999999962747,1596255.090000000083819,1622223.879999999888241,1738570.040000000037253,1443722.500000000000000,1657776.360000000102445,11757743.949999999254942
20120228,1929207.849999999860302,1818453.969999999972060,1606458.989999999990687,1643338.679999999934807,1767407.159999999916181,1458657.550000000046566,1687278.040000000037253,11910805.239999998360872
20120229,1954428.849999999860302,1787865.780000000027940,1618023.409999999916181,1621620.599999999860302,1760197.879999999888241,1463635.900000000139698,1650400.940000000176951,11856176.359999999403954
20120301,1961742.940000000176951,1880872.510000000009313,1614281.979999999981374,1620414.040000000037253,1790698.679999999934807,1442856.699999999953434,1662315.080000000074506,11973184.929999999701977
20120302,1964265.040000000037253,1862705.919999999925494,1612581.329999999841675,1624033.719999999972060,1779052.919999999925494,1443073.150000000139698,1647564.239999999990687,11933279.320000000298023
20120305,1921137.130000000121072,1842055.010000000009313,1611901.070000000065193,1601109.079999999841675,1763525.239999999990687,1449133.750000000000000,1648698.920000000158325,11837563.199999999254942
20120306,1910544.310000000055879,1765041.090000000083819,1577888.070000000065193,1605332.040000000037253,1750215.799999999813735,1446752.800000000046566,1628842.020000000251457,11684619.130000000819564
20120307,1912057.570000000065193,1807429.800000000046566,1611901.070000000065193,1623430.439999999944121,1765743.479999999981374,1441125.099999999860302,1640188.820000000065193,11801879.280000001192093
20120308,1952915.590000000316650,1819385.590000000083819,1626526.659999999916181,1619207.479999999981374,1775170.999999999767169,1448051.500000000232831,1673094.540000000037253,11914355.359999999403954
20120309,1964265.040000000037253,1821248.830000000074506,1636050.300000000046566,1633082.919999999925494,1774061.879999999888241,1448700.850000000093132,1661747.739999999990687,11939160.559999998658895
20120312,1988981.620000000111759,1816590.729999999981374,1652716.670000000158325,1628256.679999999934807,1776834.679999999934807,1465583.949999999953434,1652670.300000000046566,11981637.630000000819564
20120313,2046989.919999999925494,1933819.580000000074506,1671423.820000000065193,1658420.679999999934807,1811771.959999999962747,1469696.500000000232831,1663449.760000000242144,12255575.220000000670552
20120314,2124418.390000000130385,1869071.989999999990687,1682648.109999999869615,1656610.840000000083819,1817317.560000000055879,1468614.249999999767169,1656074.340000000083819,12274758.480000000447035
20120315,2109790.210000000428408,1910839.620000000111759,1673464.600000000093132,1674105.959999999962747,1821754.040000000037253,1464934.600000000093132,1659478.380000000121072,12314370.410000000149012
20120316,2109790.210000000428408,1908821.110000000102445,1668362.649999999906868,1672899.399999999906868,1807890.040000000037253,1455627.250000000000000,1654939.660000000149012,12278333.320000000298023
20120319,2165780.830000000074506,1930093.099999999860302,1660879.790000000037253,1673502.679999999934807,1785707.640000000130385,1454761.449999999953434,1685576.020000000251457,12356304.509999997913837
20120320,2183435.529999999795109,1956799.540000000037253,1679586.940000000176951,1674105.959999999962747,1774061.879999999888241,1454761.449999999953434,1652670.300000000046566,12375424.599999999627471
20120321,2170825.029999999795109,1956333.729999999981374,1693532.270000000018626,1675915.800000000046566,1769625.399999999906868,1454545.000000000000000,1656074.340000000083819,12376854.569999998435378
20120322,2159475.580000000074506,1936924.979999999981374,1689790.840000000083819,1683155.159999999916181,1774616.439999999944121,1461471.399999999906868,1663449.760000000242144,12368887.160000000149012
20120323,2147621.710000000428408,1959283.860000000102445,1685029.020000000018626,1681948.599999999860302,1775170.999999999767169,1459523.350000000093132,1685008.680000000167638,12393589.219999998807907
20120326,2186966.469999999739230,1988629.889999999897555,1705096.690000000176951,1700650.280000000027940,1807335.480000000214204,1460172.699999999953434,1703163.560000000055879,12552018.070000000298023
20120327,2213952.939999999944121,1961612.909999999916181,1702035.520000000018626,1700650.280000000027940,1803453.560000000055879,1453462.750000000232831,1699192.180000000167638,12534363.139999998733401
