訓練日期,20130108 - 20130411
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11323912.630000000819564
真實報酬,1323912.630000000819564

夏普值報酬,0.123691263000000
夏普值風險,0.034638774422536
夏普值,3.570890282986655

預期報酬,19330.804924678373936
風險,45714.910486403154209
趨勢值,0.422855578606632
找到最佳解世代,2899
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,8
AXP[1](15),JNJ[12](1),MMM[16](5),MRK[17](24),MSFT[18](12),PG[21](10),TRV[22](2),VZ[26](23),
20130128,1233503.219999999972060,1288865.540000000037253,1317544.400000000139698,1274038.370000000111759,1307137.479999999981374,1343812.399999999674037,1323397.609999999869615,1196297.600000000093132,10284596.619999999180436
20130129,1241438.380000000121072,1302696.069999999832362,1332728.800000000279397,1295702.579999999841675,1311820.880000000121072,1366218.079999999841675,1331267.750000000000000,1216715.699999999953434,10398588.239999998360872
20130130,1238932.540000000037253,1297093.830000000074506,1319507.900000000139698,1290954.260000000009313,1304327.440000000176951,1367675.359999999869615,1327332.679999999934807,1219792.399999999906868,10365616.410000000149012
20130131,1228073.900000000139698,1294117.639999999897555,1316235.400000000139698,1283535.010000000009313,1285593.840000000083819,1369132.639999999664724,1342388.599999999860302,1219792.399999999906868,10338869.429999999701977
20130201,1251044.099999999860302,1298669.459999999962747,1329456.300000000279397,1241393.669999999925494,1308074.159999999916181,1382976.799999999813735,1366854.469999999972060,1246363.899999999906868,10424832.859999999403954
20130204,1240603.099999999860302,1297443.969999999972060,1319115.200000000186265,1212310.209999999962747,1285125.500000000000000,1370772.079999999841675,1334518.459999999962747,1245245.100000000093132,10305133.619999999180436
20130205,1266705.599999999860302,1307072.819999999832362,1328540.000000000000000,1229522.870000000111759,1287935.540000000037253,1378969.279999999795109,1345639.310000000055879,1246363.899999999906868,10390749.320000000298023
20130206,1264617.400000000139698,1319852.929999999934807,1344248.000000000000000,1219432.690000000176951,1280442.100000000093132,1387166.479999999981374,1350943.099999999860302,1251678.199999999953434,10418380.900000000372529
20130207,1297610.959999999962747,1314075.619999999878928,1338095.700000000186265,1216761.760000000009313,1277632.060000000055879,1387166.479999999981374,1353680.540000000037253,1243566.899999999906868,10428590.020000001415610
20130208,1290511.079999999841675,1321428.560000000055879,1343855.300000000046566,1222103.620000000111759,1290277.239999999990687,1379880.079999999841675,1349232.199999999953434,1240490.199999999953434,10437778.279999999329448
20130211,1294269.839999999850988,1320203.069999999832362,1343331.700000000186265,1228039.020000000018626,1304795.780000000027940,1380973.039999999804422,1355220.349999999860302,1239651.099999999860302,10466483.900000000372529
20130212,1298863.880000000121072,1327030.799999999813735,1354327.300000000046566,1230116.410000000149012,1305732.459999999962747,1384069.760000000009313,1367025.560000000055879,1243007.500000000000000,10510173.669999999925494
20130213,1296775.679999999934807,1324579.819999999832362,1346473.300000000046566,1221213.310000000055879,1312757.560000000055879,1394635.039999999804422,1368565.369999999878928,1245245.100000000093132,10510245.179999999701977
20130214,1301787.360000000102445,1327205.869999999878928,1345426.100000000093132,1222400.389999999897555,1313225.899999999906868,1398642.559999999823049,1374553.520000000018626,1239930.799999999813735,10523172.500000000000000
20130215,1288214.059999999823049,1333333.319999999832362,1351316.600000000093132,1229226.100000000093132,1311820.880000000121072,1394270.719999999972060,1375408.969999999972060,1241888.699999999953434,10525479.349999999627471
20130219,1300534.439999999944121,1347338.919999999925494,1363752.100000000325963,1252967.699999999953434,1313694.239999999990687,1409572.159999999683350,1379001.859999999869615,1244685.699999999953434,10611547.119999999180436
20130220,1292808.099999999860302,1341911.750000000000000,1350269.400000000139698,1266025.579999999841675,1305264.120000000111759,1404107.359999999869615,1370618.449999999953434,1256433.100000000093132,10587437.859999999403954
20130221,1285081.760000000009313,1345763.290000000037253,1344640.700000000186265,1261277.260000000009313,1287467.199999999953434,1403378.719999999972060,1375237.879999999888241,1262027.099999999860302,10564873.909999998286366
20130222,1306590.219999999972060,1334908.949999999953434,1355374.500000000232831,1275225.449999999953434,1300112.380000000121072,1402467.919999999692664,1386016.550000000046566,1269858.699999999953434,10630554.669999999925494
20130225,1295105.120000000111759,1323004.189999999944121,1331943.400000000139698,1261870.800000000046566,1281847.120000000111759,1382976.799999999813735,1355904.709999999962747,1278809.099999999860302,10511461.240000000223517
20130226,1293016.919999999925494,1326155.449999999953434,1339273.800000000279397,1258903.100000000093132,1281847.120000000111759,1385891.359999999869615,1369420.820000000065193,1289997.099999999860302,10544505.669999999925494
20130227,1305128.479999999981374,1336134.439999999944121,1355767.199999999953434,1275225.449999999953434,1302454.080000000074506,1398096.079999999841675,1382081.479999999981374,1296430.199999999953434,10651317.410000000149012
20130228,1297819.780000000027940,1332457.969999999972060,1361395.900000000139698,1268102.969999999972060,1301985.739999999990687,1387712.959999999962747,1375922.239999999990687,1301464.800000000046566,10626862.360000001266599
20130301,1302413.819999999832362,1342787.100000000093132,1358385.200000000186265,1265135.270000000018626,1309010.840000000083819,1393359.919999999692664,1380541.669999999925494,1306779.099999999860302,10658412.919999999925494
20130304,1313272.459999999962747,1351540.600000000093132,1351971.100000000093132,1286205.940000000176951,1318377.639999999897555,1396820.959999999962747,1377633.139999999897555,1317687.399999999906868,10713509.240000000223517
20130305,1338957.320000000065193,1359593.819999999832362,1367286.400000000139698,1283535.010000000009313,1327744.440000000176951,1403560.879999999888241,1393715.599999999860302,1333910.000000000000000,10808303.470000000670552
20130306,1350024.780000000027940,1354866.929999999934807,1370035.300000000046566,1296296.120000000111759,1315567.600000000093132,1406293.279999999795109,1387043.089999999850988,1322442.300000000046566,10802569.400000000372529
20130307,1348145.400000000139698,1361169.449999999953434,1368464.500000000232831,1284128.550000000046566,1317909.300000000046566,1400828.479999999981374,1389267.260000000009313,1328036.299999999813735,10797949.239999998360872
20130308,1351068.880000000121072,1368872.530000000027940,1383779.800000000046566,1275225.449999999953434,1311352.540000000037253,1405928.959999999962747,1396966.310000000055879,1341461.899999999906868,10834656.370000001043081
20130311,1367774.479999999981374,1373249.280000000027940,1385088.800000000279397,1295702.579999999841675,1305264.120000000111759,1409025.679999999701977,1398677.209999999962747,1337266.399999999906868,10872048.549999998882413
20130312,1363389.260000000009313,1375350.119999999878928,1376187.600000000093132,1336656.840000000083819,1307137.479999999981374,1405746.799999999813735,1398506.119999999878928,1352649.899999999906868,10915624.120000001043081
20130313,1363598.079999999841675,1375175.049999999813735,1375664.000000000232831,1323302.190000000176951,1307605.820000000065193,1399006.879999999888241,1405007.540000000037253,1340902.500000000000000,10890262.060000000521541
20130314,1365268.639999999897555,1384803.899999999906868,1387837.700000000186265,1313805.550000000046566,1317909.300000000046566,1409754.319999999832362,1409113.699999999953434,1356006.299999999813735,10944499.410000000149012
20130315,1380094.860000000102445,1386379.530000000027940,1392811.900000000139698,1308463.690000000176951,1313225.899999999906868,1390627.520000000018626,1407744.979999999981374,1343140.100000000093132,10922488.480000000447035
20130318,1373621.439999999944121,1379726.869999999878928,1379852.800000000046566,1294812.270000000018626,1316035.940000000176951,1387348.639999999664724,1412022.229999999981374,1363558.199999999953434,10906978.389999998733401
20130319,1360048.139999999897555,1380602.219999999972060,1376842.100000000325963,1296889.660000000149012,1319782.659999999916181,1404653.839999999850988,1423314.169999999925494,1369152.199999999953434,10931284.989999998360872
20130320,1378215.479999999981374,1390931.350000000093132,1383125.300000000046566,1309354.000000000000000,1326339.420000000158325,1413215.359999999869615,1434435.020000000018626,1359362.699999999953434,10994978.629999998956919
20130321,1365895.099999999860302,1383228.270000000018626,1373700.500000000000000,1299560.590000000083819,1316504.280000000027940,1406475.439999999711290,1432895.209999999962747,1364956.699999999953434,10943216.089999999850988
20130322,1382809.520000000018626,1396008.379999999888241,1393073.700000000186265,1302825.060000000055879,1323061.040000000037253,1407568.399999999674037,1431868.669999999925494,1371110.100000000093132,11008324.869999999180436
20130325,1380303.679999999934807,1394957.959999999962747,1376711.200000000186265,1296592.889999999897555,1318845.979999999981374,1396820.959999999962747,1426393.790000000037253,1375025.899999999906868,10965652.359999999403954
20130326,1402647.419999999925494,1415441.149999999906868,1388492.199999999953434,1317366.790000000037253,1318845.979999999981374,1409936.479999999981374,1426222.699999999953434,1383976.299999999813735,11062929.019999999552965
20130327,1402229.780000000027940,1422794.089999999850988,1378282.000000000232831,1308760.459999999962747,1328681.120000000111759,1403743.039999999804422,1426393.790000000037253,1368872.500000000000000,11039756.780000001192093
20130328,1408703.199999999953434,1427345.909999999916181,1391633.800000000279397,1311728.160000000149012,1339921.280000000027940,1403743.039999999804422,1440423.169999999925494,1374746.199999999953434,11098244.759999999776483
20130401,1404526.800000000046566,1434348.709999999962747,1382994.400000000139698,1316179.709999999962747,1339921.280000000027940,1415401.279999999795109,1436317.010000000009313,1376704.099999999860302,11106393.289999999105930
20130402,1412461.959999999962747,1447654.030000000027940,1394382.700000000186265,1332798.829999999841675,1348819.739999999990687,1438353.439999999711290,1444187.149999999906868,1384535.699999999953434,11203193.549999998882413
20130403,1383435.979999999981374,1436799.689999999944121,1383387.100000000325963,1346153.479999999981374,1337579.580000000074506,1423052.000000000000000,1432381.939999999944121,1370271.000000000000000,11113060.769999999552965
20130404,1393459.340000000083819,1442752.069999999832362,1385219.699999999953434,1344966.399999999906868,1339452.940000000176951,1430702.719999999972060,1442989.520000000018626,1378941.699999999953434,11158484.389999998733401
20130405,1363598.079999999841675,1436274.479999999981374,1384696.100000000093132,1339327.770000000018626,1344136.340000000083819,1425055.760000000009313,1444187.149999999906868,1386213.899999999906868,11123489.580000000074506
20130408,1369862.679999999934807,1419992.969999999972060,1384303.400000000139698,1349714.719999999972060,1338984.600000000093132,1435256.719999999972060,1449662.030000000027940,1382577.800000000046566,11130354.919999999925494
20130409,1361927.520000000018626,1427170.839999999850988,1386921.400000000139698,1350605.030000000027940,1386755.280000000027940,1425602.239999999990687,1458900.889999999897555,1380619.899999999906868,11178503.100000001490116
20130410,1365686.280000000027940,1435924.339999999850988,1409698.000000000000000,1390075.440000000176951,1418134.060000000055879,1443453.919999999692664,1451030.750000000000000,1394604.899999999906868,11308607.690000001341105
20130411,1372786.159999999916181,1441176.439999999944121,1417028.400000000139698,1401055.929999999934807,1355376.500000000000000,1451286.799999999813735,1472417.000000000000000,1412785.399999999906868,11323912.630000000819564
