訓練日期,20170804 - 20171103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10811922.760000001639128
真實報酬,811922.760000001639128

夏普值報酬,0.072492276000000
夏普值風險,0.023120932768011
夏普值,3.135352571082165

預期報酬,12282.355634655428730
風險,49141.637807458268071
趨勢值,0.249937856828844
找到最佳解世代,2103
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](20),CAT[3](2),DD[7](3),HD[9](4),MCD[15](10),PG[21](23),V[25](1),VZ[26](24),
20170814,1284385.520000000018626,1251651.050000000046566,1249584.859999999869615,1278762.830000000074506,1270520.660000000149012,1260868.030000000027940,1265905.280000000027940,1254371.379999999888241,10116049.609999999403954
20170815,1298445.020000000018626,1250990.630000000121072,1254704.919999999925494,1244860.820000000065193,1273429.100000000093132,1268434.380000000121072,1275349.039999999804422,1246657.179999999934807,10112871.089999999850988
20170816,1293222.919999999925494,1256163.920000000158325,1260101.739999999990687,1262101.940000000176951,1283770.220000000204891,1271736.060000000055879,1283922.979999999748543,1244857.199999999953434,10155876.980000000447035
20170817,1268397.860000000335276,1245377.060000000055879,1245018.319999999832362,1240716.320000000065193,1275610.429999999934807,1266645.969999999972060,1269508.819999999832362,1231485.919999999925494,10042760.699999999254942
20170818,1265505.620000000111759,1253962.520000000018626,1249446.479999999981374,1222646.300000000279397,1274560.160000000149012,1272148.770000000018626,1273857.919999999925494,1226343.119999999878928,10038470.889999998733401
20170821,1263175.760000000242144,1250440.280000000027940,1258441.179999999934807,1236820.489999999990687,1279407.560000000288710,1277514.000000000000000,1282680.379999999888241,1237914.419999999925494,10086394.070000000298023
20170822,1283823.140000000130385,1274875.820000000065193,1276568.959999999962747,1242705.680000000167638,1289748.679999999934807,1276551.010000000009313,1293242.479999999748543,1243314.360000000102445,10180830.129999998956919
20170823,1285429.939999999944121,1263098.330000000074506,1272694.319999999832362,1235991.590000000083819,1283043.110000000102445,1271736.060000000055879,1282183.340000000083819,1241514.379999999888241,10135691.070000000298023
20170824,1279725.800000000279397,1263428.540000000037253,1268127.780000000027940,1228945.940000000176951,1279811.510000000009313,1269397.369999999878928,1282680.379999999888241,1242285.800000000046566,10114403.120000001043081
20170825,1284465.860000000335276,1269702.530000000027940,1271864.039999999804422,1240550.540000000270084,1283123.900000000139698,1272699.050000000046566,1284295.759999999776483,1251799.979999999981374,10158501.660000000149012
20170828,1297400.600000000093132,1266620.570000000065193,1274493.259999999776483,1254973.400000000139698,1289991.050000000046566,1272148.770000000018626,1289638.939999999944121,1250000.000000000000000,10195266.589999999850988
20170829,1308969.560000000055879,1276967.150000000139698,1265636.939999999944121,1242125.450000000186265,1287648.140000000130385,1270085.219999999972060,1289514.679999999934807,1247428.599999999860302,10188375.740000000223517
20170830,1312504.520000000018626,1293917.929999999934807,1278921.419999999925494,1243451.690000000176951,1288859.990000000223517,1263894.570000000065193,1289017.639999999897555,1237400.139999999897555,10207967.900000002235174
20170831,1317726.620000000111759,1293257.510000000009313,1313516.419999999925494,1242374.120000000111759,1292414.750000000000000,1269397.369999999878928,1286408.179999999934807,1233543.040000000037253,10248638.010000001639128
20170901,1318128.320000000298023,1301953.040000000037253,1323894.919999999925494,1249917.110000000102445,1291122.110000000102445,1272974.189999999944121,1291130.060000000055879,1232257.340000000083819,10281377.090000001713634
20170905,1302301.340000000316650,1302173.179999999934807,1280581.979999999981374,1267738.460000000195578,1285386.020000000018626,1275588.020000000018626,1280070.919999999925494,1217857.500000000000000,10211697.419999999925494
20170906,1300935.560000000055879,1287643.940000000176951,1278367.899999999906868,1297827.530000000260770,1278276.500000000000000,1275588.020000000018626,1282183.340000000083819,1206286.199999999953434,10207108.989999998360872
20170907,1295713.459999999962747,1296339.469999999972060,1274631.639999999897555,1309183.460000000195578,1291849.220000000204891,1279027.270000000018626,1299331.219999999972060,1188029.260000000009313,10234105.000000000000000
20170908,1274584.040000000037253,1296889.820000000065193,1277952.759999999776483,1323523.430000000167638,1290314.210000000195578,1277238.860000000102445,1297715.840000000083819,1185715.000000000000000,10223933.960000000894070
20170911,1297641.620000000111759,1308447.170000000158325,1317391.060000000055879,1312830.620000000111759,1305017.990000000223517,1293059.409999999916181,1319088.560000000055879,1190600.659999999916181,10344077.090000001713634
20170912,1292499.860000000335276,1331231.660000000149012,1350325.500000000000000,1325595.680000000167638,1263007.190000000176951,1286456.050000000046566,1319834.119999999878928,1203200.520000000018626,10372150.580000000074506
20170913,1282778.720000000204891,1316812.489999999990687,1369560.319999999832362,1326507.470000000204891,1268420.120000000111759,1287006.329999999841675,1315112.239999999990687,1215028.959999999962747,10381226.649999998509884
20170914,1271772.140000000130385,1326168.440000000176951,1379800.439999999944121,1321202.510000000242144,1268420.120000000111759,1287006.329999999841675,1318218.739999999990687,1213228.979999999981374,10385817.700000001117587
20170915,1284626.540000000037253,1335964.670000000158325,1376756.079999999841675,1313079.290000000270084,1267773.800000000046566,1283154.369999999878928,1308526.459999999962747,1230714.500000000000000,10400595.710000000894070
20170918,1274905.399999999906868,1363041.890000000130385,1374957.139999999897555,1308188.780000000260770,1265834.840000000083819,1281503.530000000027940,1302686.239999999990687,1236628.719999999972060,10407746.540000000968575
20170919,1275387.439999999944121,1373058.260000000009313,1380492.340000000083819,1306945.430000000167638,1271894.090000000083819,1295535.669999999925494,1309893.319999999832362,1268771.219999999972060,10481977.770000001415610
20170920,1254017.000000000000000,1374269.030000000027940,1387549.719999999972060,1315400.210000000195578,1291687.640000000130385,1298699.780000000027940,1309893.319999999832362,1272371.179999999934807,10503887.879999998956919
20170921,1232485.879999999888241,1373608.610000000102445,1385750.780000000027940,1319627.600000000093132,1284820.490000000223517,1274487.459999999962747,1308650.719999999972060,1258485.619999999878928,10437917.160000000149012
20170922,1220434.879999999888241,1369646.090000000083819,1378693.399999999906868,1326093.020000000251457,1283851.010000000009313,1268984.659999999916181,1311757.219999999972060,1283171.059999999823049,10442631.339999999850988
20170925,1209669.320000000298023,1368435.320000000065193,1386165.919999999925494,1335459.590000000083819,1262441.660000000149012,1275588.020000000018626,1280195.179999999934807,1283171.059999999823049,10401126.070000000298023
20170926,1230477.379999999888241,1370526.650000000139698,1366654.340000000083819,1336785.830000000074506,1238931.770000000018626,1274625.030000000027940,1279201.099999999860302,1273142.599999999860302,10370344.700000001117587
20170927,1239234.439999999944121,1370636.719999999972060,1355860.699999999953434,1333967.570000000065193,1244587.070000000298023,1250137.570000000065193,1291005.799999999813735,1273142.599999999860302,10358572.470000000670552
20170928,1231602.140000000130385,1378451.690000000176951,1360980.759999999776483,1345903.730000000214204,1272378.830000000074506,1250412.709999999962747,1299579.739999999990687,1270571.199999999953434,10409880.799999998882413
20170929,1238350.700000000186265,1372728.050000000046566,1364301.880000000121072,1355850.530000000260770,1265834.840000000083819,1251650.840000000083819,1299579.739999999990687,1272628.320000000065193,10420924.900000000372529
20171002,1235860.160000000149012,1372838.120000000111759,1387688.100000000093132,1359663.470000000204891,1268096.960000000195578,1262518.869999999878928,1310266.099999999860302,1269285.500000000000000,10466217.280000001192093
20171003,1241242.939999999944121,1381533.650000000139698,1386581.060000000055879,1369195.820000000065193,1267289.060000000288710,1267333.820000000065193,1312130.000000000000000,1281885.360000000102445,10507191.710000000894070
20171004,1233208.939999999944121,1395072.260000000009313,1388380.000000000000000,1370190.500000000000000,1270116.710000000195578,1271460.919999999925494,1308650.719999999972060,1283171.059999999823049,10520251.110000001266599
20171005,1248553.879999999888241,1391329.880000000121072,1398620.119999999878928,1377070.370000000111759,1282962.320000000298023,1266095.689999999944121,1320206.899999999906868,1279828.239999999990687,10564667.400000000372529
20171006,1247830.820000000298023,1397163.590000000083819,1403463.419999999925494,1374832.340000000083819,1289425.520000000018626,1270222.790000000037253,1326295.639999999897555,1255142.800000000046566,10564376.919999999925494
20171009,1252169.180000000167638,1396613.239999999990687,1412596.500000000000000,1373671.880000000353903,1293626.600000000093132,1267333.820000000065193,1329774.919999999925494,1261314.159999999916181,10587100.300000000745058
20171010,1252651.220000000204891,1411032.410000000149012,1410382.419999999925494,1369112.930000000167638,1297342.940000000176951,1260455.320000000065193,1333502.719999999972060,1263628.419999999925494,10598108.380000000819564
20171011,1257873.320000000298023,1415545.280000000027940,1411351.079999999841675,1369858.940000000176951,1318105.970000000204891,1258254.199999999953434,1347544.099999999860302,1256428.500000000000000,10634961.390000002458692
20171012,1253454.620000000111759,1430845.010000000242144,1407061.300000000046566,1364388.200000000186265,1324246.010000000009313,1267746.530000000027940,1343443.520000000018626,1243314.360000000102445,10634499.550000000745058
20171013,1261408.280000000260770,1438770.050000000046566,1407614.819999999832362,1363393.520000000251457,1336041.350000000093132,1279990.260000000009313,1350277.819999999832362,1230714.500000000000000,10668210.599999999627471
20171016,1284626.540000000037253,1447135.370000000111759,1397789.840000000083819,1361321.270000000251457,1333132.910000000149012,1281365.959999999962747,1345804.459999999962747,1236628.719999999972060,10687805.070000002160668
20171017,1289366.600000000093132,1436898.860000000102445,1396821.179999999934807,1354109.840000000083819,1336283.720000000204891,1276688.579999999841675,1336360.699999999953434,1244600.059999999823049,10671129.539999999105930
20171018,1283662.459999999962747,1445154.110000000102445,1394883.859999999869615,1354938.739999999990687,1339272.950000000186265,1276275.869999999878928,1339591.459999999962747,1251028.559999999823049,10684808.009999999776483
20171019,1253293.939999999944121,1448015.930000000167638,1396959.560000000055879,1353198.050000000279397,1345170.620000000111759,1260042.610000000102445,1329899.179999999934807,1265428.399999999906868,10652008.290000000968575
20171020,1255463.120000000111759,1445924.600000000325963,1402771.520000000018626,1354772.960000000195578,1343554.820000000298023,1214094.229999999981374,1336484.959999999962747,1273656.879999999888241,10626723.089999999850988
20171023,1254820.399999999906868,1449446.840000000083819,1409967.280000000027940,1365631.550000000279397,1319640.980000000214204,1201025.079999999841675,1336236.439999999944121,1259771.320000000065193,10596539.890000000596046
20171024,1262292.020000000018626,1521652.760000000242144,1416194.380000000121072,1376324.360000000102445,1324003.640000000130385,1196622.840000000083819,1347171.319999999832362,1258485.619999999878928,10702746.939999999478459
20171025,1256748.560000000055879,1506242.960000000195578,1400972.579999999841675,1376655.920000000158325,1321579.940000000176951,1194972.000000000000000,1360591.399999999906868,1250771.419999999925494,10668534.780000001192093
20171026,1264782.560000000055879,1507343.660000000149012,1439580.600000000093132,1389752.540000000270084,1325053.910000000149012,1203776.479999999981374,1364443.459999999962747,1257199.919999999925494,10751933.130000000819564
20171027,1310094.320000000298023,1516919.750000000000000,1429478.859999999869615,1387182.950000000186265,1336202.929999999934807,1197448.260000000009313,1363325.119999999878928,1256685.639999999897555,10797337.830000000074506
20171030,1339579.100000000093132,1502390.510000000242144,1412596.500000000000000,1370356.280000000260770,1342989.290000000037253,1186855.369999999878928,1367425.699999999953434,1229943.079999999841675,10752135.830000000074506
20171031,1358217.979999999981374,1494795.680000000167638,1425050.699999999953434,1374252.110000000102445,1348483.010000000009313,1187818.360000000102445,1366680.139999999897555,1230971.639999999897555,10786269.620000001043081
20171101,1340944.879999999888241,1500189.110000000102445,1444839.039999999804422,1370936.510000000242144,1344120.350000000093132,1195384.709999999962747,1380224.479999999748543,1229943.079999999841675,10806582.160000000149012
20171102,1350746.360000000335276,1502170.370000000111759,1419653.880000000121072,1348804.880000000353903,1358097.020000000018626,1190157.050000000046566,1379106.139999999897555,1220428.899999999906868,10769164.599999999627471
20171103,1386015.620000000111759,1503931.489999999990687,1402356.380000000121072,1362730.400000000139698,1362540.470000000204891,1191120.040000000037253,1383828.020000000018626,1219400.340000000083819,10811922.760000001639128
