訓練日期,20180425 - 20180726
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11026341.560000002384186
真實報酬,1026341.560000002384186

夏普值報酬,0.093934156000000
夏普值風險,0.026632451470412
夏普值,3.527056309643828

預期報酬,15469.832329685577861
風險,75429.077494347817264
趨勢值,0.205091098069505
找到最佳解世代,2268
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,7
AAPL[0](8),HD[9](5),KO[14](13),NKE[19](1),PG[21](2),VZ[26](18),WMT[28](22),
20180613,1671942.919999999925494,1623472.199999999953434,1465387.479999999981374,1580874.339999999850988,1506795.879999999888241,1363283.529999999795109,1388289.040000000037253,10600048.390000000596046
20180614,1672819.620000000111759,1618285.639999999897555,1445486.679999999934807,1593459.629999999888241,1497337.959999999962747,1375363.149999999906868,1383336.340000000083819,10586092.019999999552965
20180615,1655636.300000000046566,1625336.119999999878928,1463397.399999999906868,1617776.969999999972060,1524726.520000000018626,1382265.790000000037253,1381850.530000000027940,10650992.630000000819564
20180618,1654759.600000000093132,1626551.719999999972060,1444491.639999999897555,1612870.839999999850988,1494382.360000000102445,1365009.189999999944121,1370294.229999999981374,10568362.580000000074506
20180619,1628020.250000000000000,1614557.800000000046566,1446150.040000000037253,1584073.989999999990687,1504037.320000000065193,1394920.629999999888241,1380364.719999999972060,10552127.750000001862645
20180620,1635121.520000000018626,1613504.280000000027940,1434872.919999999925494,1593886.250000000000000,1494579.399999999906868,1383128.619999999878928,1380364.719999999972060,10535460.709999999031425
20180621,1626003.840000000083819,1623472.199999999953434,1429234.360000000102445,1577248.069999999832362,1506204.760000000009313,1398659.560000000055879,1390270.119999999878928,10551095.910000000149012
20180622,1621269.659999999916181,1599970.599999999860302,1434541.239999999990687,1566369.260000000009313,1525711.720000000204891,1431159.489999999757856,1400340.609999999869615,10579365.580000000074506
20180625,1597160.409999999916181,1591623.479999999981374,1445486.679999999934807,1543331.779999999795109,1532805.160000000149012,1426557.729999999981374,1427580.459999999962747,10564548.699999999254942
20180626,1616973.830000000074506,1591461.400000000139698,1437194.679999999934807,1547811.290000000037253,1536943.000000000000000,1417929.429999999701977,1419491.050000000046566,10567807.679999999701977
20180627,1614606.739999999990687,1580602.040000000037253,1428571.000000000000000,1522000.779999999795109,1530834.760000000009313,1418217.040000000037253,1434514.239999999990687,10529349.599999999627471
20180628,1626354.520000000018626,1582141.800000000046566,1441838.199999999953434,1529466.629999999888241,1537928.199999999953434,1462796.589999999850988,1417509.969999999972060,10598038.910000002011657
20180629,1622935.390000000130385,1581250.359999999869615,1454773.719999999972060,1699688.010000000009313,1538125.239999999990687,1446978.040000000037253,1414043.080000000074506,10757796.839999999850988
20180702,1641083.080000000074506,1572498.040000000037253,1451125.239999999990687,1671317.779999999795109,1539504.520000000018626,1450141.750000000000000,1386803.229999999981374,10712476.640000000596046
20180703,1612502.659999999916181,1569256.439999999944121,1459085.560000000055879,1627162.609999999869615,1534972.600000000093132,1458194.830000000074506,1394067.189999999944121,10655244.889999998733401
20180705,1625477.820000000065193,1575658.599999999860302,1481308.119999999878928,1632921.979999999981374,1560784.839999999850988,1474876.209999999962747,1396213.359999999869615,10747243.929999999701977
20180706,1648009.010000000009313,1576225.879999999888241,1480644.760000000009313,1631428.810000000055879,1562755.239999999990687,1480628.409999999683350,1395222.820000000065193,10774917.929999999701977
20180709,1670890.880000000121072,1589192.280000000027940,1472684.439999999944121,1648493.609999999869615,1534184.439999999944121,1459345.270000000018626,1418665.600000000093132,10793459.519999997690320
20180710,1668874.469999999972060,1601591.400000000139698,1491590.199999999953434,1654679.599999999860302,1572804.279999999795109,1476601.869999999878928,1439797.119999999878928,10905941.939999997615814
20180711,1647219.979999999981374,1596242.759999999776483,1485619.959999999962747,1650200.089999999850988,1559799.639999999897555,1476601.869999999878928,1428571.000000000000000,10844258.299999998882413
20180712,1674836.030000000027940,1604346.759999999776483,1481639.800000000046566,1650413.400000000139698,1554479.560000000055879,1473725.770000000018626,1428405.909999999916181,10867850.230000000447035
20180713,1677466.130000000121072,1610343.719999999972060,1483961.560000000055879,1650626.709999999729916,1562755.239999999990687,1478615.139999999897555,1447886.530000000027940,10911658.029999999329448
20180716,1673783.989999999990687,1611883.479999999981374,1483629.879999999888241,1658519.179999999934807,1567090.120000000111759,1483792.119999999878928,1446895.989999999990687,10925597.759999999776483
20180717,1678518.169999999925494,1629874.359999999869615,1500877.239999999990687,1652546.500000000000000,1576942.120000000111759,1479190.359999999869615,1455975.939999999944121,10973927.689999999478459
20180718,1669312.820000000065193,1628820.839999999850988,1496565.399999999906868,1633775.219999999972060,1570833.879999999888241,1470849.669999999925494,1453994.859999999869615,10924155.689999999478459
20180719,1682287.979999999981374,1642273.479999999981374,1496233.719999999972060,1641454.379999999888241,1551326.920000000158325,1459632.879999999888241,1448216.709999999962747,10921429.070000000298023
20180720,1678430.500000000000000,1640814.759999999776483,1501872.280000000027940,1641667.689999999711290,1550341.720000000204891,1455893.949999999720603,1453829.770000000018626,10922853.669999998062849
20180723,1678430.500000000000000,1639031.879999999888241,1490926.840000000083819,1633775.219999999972060,1546992.040000000037253,1459632.879999999888241,1446730.899999999906868,10895523.259999999776483
20180724,1692107.020000000018626,1637086.919999999925494,1501208.919999999925494,1611164.359999999869615,1556449.959999999962747,1481491.239999999757856,1452178.869999999878928,10931690.289999997243285
20180725,1708062.959999999962747,1629063.959999999962747,1528738.360000000102445,1645933.889999999897555,1565907.879999999888241,1464234.639999999897555,1451188.330000000074506,10993133.019999999552965
20180726,1702715.090000000083819,1616097.560000000055879,1533713.560000000055879,1667051.580000000074506,1578124.360000000102445,1472000.109999999869615,1456636.300000000046566,11026341.560000002384186
