訓練日期,20190118 - 20190423
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11818668.049999998882413
真實報酬,1818668.049999998882413

夏普值報酬,0.173166805000000
夏普值風險,0.047527861531749
夏普值,3.643479833072709

預期報酬,27831.614944963428570
風險,67979.277675454592099
趨勢值,0.409413219684925
找到最佳解世代,2406
找到最佳解實驗#,2
找到最佳解次數,29

stock[index](rank)
投資組合檔數,7
AAPL[0](3),CSCO[4](1),JNJ[12](15),MCD[15](19),MSFT[18](10),PG[21](6),V[25](2),
20190222,1585384.149999999906868,1619217.699999999953434,1511676.659999999916181,1444818.219999999739230,1493856.849999999860302,1580024.600000000093132,1517958.540000000037253,10752939.719999998807907
20190225,1596932.049999999813735,1641190.540000000037253,1507250.260000000009313,1440401.500000000000000,1502202.669999999925494,1569307.800000000046566,1519935.680000000167638,10777223.500000000000000
20190226,1597848.550000000046566,1653792.610000000102445,1506254.320000000298023,1445133.699999999953434,1512567.639999999897555,1573405.400000000139698,1530133.560000000055879,10819138.780000001192093
20190227,1602797.649999999906868,1667040.940000000176951,1503598.480000000214204,1446316.750000000000000,1510010.050000000046566,1558906.199999999953434,1532006.640000000130385,10820679.710000000894070
20190228,1587033.849999999860302,1672857.280000000027940,1512119.299999999813735,1450102.510000000009313,1508125.510000000009313,1553232.600000000093132,1541372.040000000037253,10824846.089999999850988
20190301,1603714.149999999906868,1661224.599999999860302,1531042.159999999916181,1459645.780000000027940,1514856.010000000009313,1551499.000000000000000,1555420.140000000130385,10877404.839999999850988
20190304,1611779.349999999860302,1653146.349999999860302,1532480.739999999990687,1424469.760000000009313,1511221.540000000037253,1558275.800000000279397,1539707.080000000074506,10831083.619999999180436
20190305,1608846.549999999813735,1657670.169999999925494,1535689.880000000121072,1430463.879999999888241,1503683.379999999888241,1561743.000000000232831,1539603.020000000018626,10837702.879999998956919
20190306,1599589.899999999906868,1669625.979999999981374,1539231.000000000000000,1435827.040000000037253,1504356.429999999934807,1559221.400000000139698,1538146.180000000167638,10846000.929999999701977
20190307,1581076.599999999860302,1657347.040000000037253,1529824.900000000139698,1423917.669999999925494,1486049.469999999972060,1553232.600000000093132,1527948.300000000279397,10759399.580000000074506
20190308,1584834.249999999767169,1650238.179999999934807,1527833.020000000018626,1415872.929999999934807,1487664.790000000037253,1551026.199999999953434,1533359.419999999925494,10750831.789999999105930
20190311,1639732.599999999860302,1677704.229999999981374,1533366.020000000018626,1428334.390000000130385,1518894.309999999823049,1569465.400000000139698,1567907.339999999850988,10935407.289999999105930
20190312,1658154.249999999767169,1685136.219999999972060,1540226.940000000176951,1434249.640000000130385,1529528.500000000000000,1576872.600000000093132,1578937.699999999953434,11003108.849999999627471
20190313,1665486.250000000000000,1699353.940000000176951,1542772.120000000111759,1436063.649999999906868,1541374.179999999934807,1594681.400000000139698,1586638.140000000130385,11066372.680000001564622
20190314,1683999.549999999813735,1704200.890000000130385,1527390.380000000121072,1441426.810000000055879,1542585.669999999925494,1596887.800000000046566,1604640.520000000018626,11101134.620000001043081
20190315,1705903.899999999906868,1719064.870000000111759,1522742.659999999916181,1461854.140000000130385,1560354.189999999944121,1614539.000000000000000,1617752.080000000074506,11202213.839999999850988
20190318,1723317.399999999906868,1729081.899999999906868,1517984.280000000027940,1450970.079999999841675,1582699.449999999953434,1599882.200000000186265,1612549.080000000074506,11216487.390000000596046
20190319,1709661.549999999813735,1722619.300000000046566,1532038.100000000093132,1444345.000000000000000,1583776.330000000074506,1606028.600000000093132,1608698.860000000102445,11207170.739999998360872
20190320,1724600.499999999767169,1721003.649999999906868,1519312.199999999953434,1459014.819999999832362,1582026.399999999906868,1603191.800000000046566,1599957.820000000065193,11209110.190000001341105
20190321,1788113.949999999953434,1742976.489999999990687,1528275.659999999916181,1470056.619999999878928,1618371.099999999860302,1615327.000000000000000,1621290.120000000111759,11384413.940000001341105
20190322,1751087.349999999860302,1704200.890000000130385,1515107.120000000111759,1473526.899999999906868,1575699.729999999981374,1602246.199999999953434,1592881.739999999990687,11214752.929999999701977
20190325,1729916.199999999953434,1703877.760000000009313,1511787.320000000298023,1464930.069999999832362,1583910.939999999944121,1606974.199999999953434,1592465.500000000000000,11193864.989999998360872
20190326,1712044.449999999720603,1720034.260000000009313,1533476.679999999934807,1478811.189999999944121,1587276.189999999944121,1623679.800000000046566,1616087.120000000111759,11271412.690000001341105
20190327,1727441.649999999906868,1717126.090000000083819,1534915.260000000009313,1479047.799999999813735,1571930.649999999906868,1621788.600000000093132,1604848.640000000130385,11257101.689999999478459
20190328,1729732.899999999906868,1724234.949999999953434,1536907.139999999897555,1493875.359999999869615,1574084.409999999916181,1632032.600000000093132,1609531.339999999850988,11300401.699999999254942
20190329,1741005.849999999860302,1744592.140000000130385,1546977.199999999953434,1497897.729999999981374,1587680.020000000018626,1639912.600000000093132,1625348.459999999962747,11383417.000000000000000
20190401,1752828.699999999953434,1776582.010000000009313,1538013.739999999990687,1485988.359999999869615,1602217.899999999906868,1633451.000000000000000,1636482.879999999888241,11425567.589999999850988
20190402,1778307.399999999906868,1786599.040000000037253,1523959.920000000158325,1485672.879999999888241,1604506.270000000018626,1635184.600000000093132,1641894.000000000000000,11456127.109999999403954
20190403,1790496.849999999860302,1797585.460000000195578,1517984.280000000027940,1485672.879999999888241,1615005.849999999860302,1634239.000000000000000,1648970.080000000074506,11489957.400000000372529
20190404,1793612.949999999953434,1781752.090000000083819,1500278.679999999934807,1497661.119999999878928,1606794.639999999897555,1630141.400000000139698,1640437.159999999916181,11450681.039999999105930
20190405,1805619.099999999860302,1784014.000000000000000,1507028.940000000176951,1504286.199999999953434,1613928.969999999972060,1633608.600000000093132,1640541.220000000204891,11489030.030000001192093
20190408,1834030.599999999860302,1793061.640000000130385,1506586.299999999813735,1497503.379999999888241,1614467.409999999916181,1654411.800000000046566,1641581.820000000065193,11541645.950000001117587
20190409,1828531.599999999860302,1783044.610000000102445,1500278.679999999934807,1499317.390000000130385,1605717.760000000009313,1649526.199999999953434,1638876.260000000242144,11505295.499999998137355
20190410,1838796.399999999906868,1803724.929999999934807,1500389.340000000083819,1492534.569999999832362,1617967.270000000018626,1649368.600000000093132,1650010.680000000167638,11552794.789999999105930
20190411,1823490.849999999860302,1796616.070000000065193,1496294.920000000158325,1489852.989999999990687,1619851.809999999823049,1650944.600000000093132,1642726.480000000214204,11519780.720000000670552
20190412,1822757.649999999906868,1818912.040000000037253,1504815.739999999990687,1511305.629999999888241,1628197.629999999888241,1655830.200000000186265,1661249.159999999916181,11603071.050000000745058
20190415,1826057.049999999813735,1827636.550000000046566,1510791.380000000121072,1513277.379999999888241,1629543.729999999981374,1666389.400000000139698,1669573.959999999962747,11643272.449999999254942
20190416,1826240.349999999860302,1840238.620000000111759,1527390.380000000121072,1512094.329999999841675,1625774.649999999906868,1677263.800000000046566,1667388.699999999953434,11676393.830000000074506
20190417,1861800.549999999813735,1819558.300000000046566,1532923.380000000121072,1511384.500000000000000,1639235.649999999906868,1668280.600000000093132,1669573.959999999962747,11702759.939999997615814
20190418,1868491.000000000000000,1822466.469999999972060,1521857.380000000121072,1537411.599999999860302,1660773.250000000000000,1671432.600000000093132,1666660.280000000027940,11749095.579999998211861
20190422,1874631.549999999813735,1820527.690000000176951,1525287.840000000083819,1529603.469999999739230,1666023.040000000037253,1670802.200000000186265,1669157.720000000204891,11756036.509999999776483
20190423,1901668.299999999813735,1831837.239999999990687,1548194.460000000195578,1540172.049999999813735,1688637.520000000018626,1625886.199999999953434,1682269.280000000027940,11818668.049999998882413
