代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14940937.379999998956919
真實報酬,4940937.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19859.460124585129961
風險,237216.012835613626521
起點值,0.083718885108938
找到最佳解世代,1614
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](16),HD[9](27),JNJ[12](12),MCD[15](11),MRK[17](9),MSFT[18](8),PG[21](5),
FS( 15 ),1219747.359999999869615,1313090.560000000055879,1110302.720000000204891,1307043.199999999953434,1328479.660000000149012,1343620.800000000046566,1224061.640000000130385,1338887.040000000037253,10185232.980000000447035
FS( 16 ),1203245.919999999925494,1302474.359999999869615,1108847.540000000037253,1301814.239999999990687,1361636.720000000204891,1346192.800000000046566,1219738.580000000074506,1339139.560000000055879,10183089.720000000670552
FS( 17 ),1284378.000000000000000,1339479.399999999906868,1154443.180000000167638,1313460.559999999823049,1403619.760000000242144,1366254.399999999906868,1256175.800000000046566,1358078.560000000055879,10475889.660000002011657
FS( 18 ),1307067.479999999981374,1321583.520000000018626,1131645.360000000102445,1288741.839999999850988,1379288.680000000167638,1369855.199999999953434,1243206.620000000111759,1307574.560000000055879,10348963.260000001639128
FS( 19 ),1327006.719999999972060,1344332.520000000018626,1101086.580000000074506,1296109.919999999925494,1386683.420000000158325,1377056.800000000046566,1262969.179999999934807,1328028.680000000167638,10423273.820000000298023
FS( 20 ),1333882.319999999832362,1360408.479999999981374,1123399.340000000083819,1311083.759999999776483,1407197.860000000102445,1418723.199999999953434,1290142.700000000186265,1311614.879999999888241,10556452.539999999105930
FS( 21 ),1368947.879999999888241,1446854.680000000167638,1171905.340000000083819,1325819.919999999925494,1427712.300000000279397,1416151.199999999953434,1321639.280000000027940,1347472.719999999972060,10826503.320000002160668
FS( 22 ),1370323.000000000000000,1492352.680000000167638,1188397.380000000121072,1336040.159999999916181,1440354.920000000158325,1424896.000000000000000,1321639.280000000027940,1356310.919999999925494,10930314.339999999850988
FS( 23 ),1384761.760000000009313,1467177.119999999878928,1182091.600000000093132,1334851.759999999776483,1454905.860000000102445,1419237.600000000093132,1342019.420000000158325,1358836.120000000111759,10943881.240000002086163
FS( 24 ),1411576.600000000093132,1533907.520000000018626,1191792.800000000046566,1327246.000000000000000,1437015.360000000102445,1367283.199999999953434,1348195.219999999972060,1347220.199999999953434,10964236.900000000372529
FS( 25 ),1421202.439999999944121,1596998.080000000074506,1172390.400000000139698,1329385.119999999878928,1428189.380000000121072,1341048.800000000046566,1367340.200000000186265,1342927.360000000102445,10999481.779999999329448
FS( 26 ),1412951.719999999972060,1602457.840000000083819,1191307.739999999990687,1322254.719999999972060,1400757.280000000027940,1333847.199999999953434,1361781.980000000214204,1341917.280000000027940,10967275.759999999776483
FS( 27 ),1401950.760000000009313,1587898.479999999981374,1181121.480000000214204,1323918.479999999981374,1409344.720000000204891,1323044.800000000046566,1363634.719999999972060,1323483.319999999832362,10914396.760000001639128
FS( 28 ),1377886.159999999916181,1586381.879999999888241,1183061.720000000204891,1322967.759999999776483,1392169.840000000083819,1316357.600000000093132,1392660.980000000214204,1315150.159999999916181,10886636.099999999627471
FS( 29 ),1374448.359999999869615,1536637.399999999906868,1175300.760000000242144,1332237.279999999795109,1375710.580000000074506,1347221.600000000093132,1409953.219999999972060,1313382.520000000018626,10864891.720000000670552
FS( 30 ),1345570.839999999850988,1560296.359999999869615,1171420.280000000027940,1332474.959999999962747,1392169.840000000083819,1341563.199999999953434,1440832.219999999972060,1327018.599999999860302,10911346.299999998882413
FS( 31 ),1336632.560000000055879,1502058.920000000158325,1156868.480000000214204,1301338.879999999888241,1378334.520000000251457,1283950.400000000139698,1446390.440000000176951,1296211.159999999916181,10701785.360000001266599
FS( 32 ),1339382.800000000046566,1481129.840000000083819,1125339.580000000074506,1298249.039999999804422,1361398.180000000167638,1256687.199999999953434,1448243.179999999934807,1265151.199999999953434,10575581.019999999552965
FS( 33 ),1331819.639999999897555,1472636.879999999888241,1147167.280000000027940,1312034.479999999981374,1368554.380000000121072,1274176.800000000046566,1462447.520000000018626,1262878.520000000018626,10631715.499999998137355
FS( 34 ),1334569.879999999888241,1485073.000000000000000,1132615.480000000214204,1326057.599999999860302,1387399.040000000037253,1319444.000000000000000,1451331.080000000074506,1292170.840000000083819,10728660.919999999925494
FS( 35 ),1370323.000000000000000,1469300.359999999869615,1140861.500000000000000,1333188.000000000000000,1387637.580000000074506,1332818.399999999906868,1486533.140000000130385,1278787.280000000027940,10799449.259999999776483
FS( 36 ),1349008.639999999897555,1422589.080000000074506,1127764.880000000121072,1318927.199999999953434,1364499.200000000186265,1295267.199999999953434,1437744.320000000065193,1276767.120000000111759,10592567.640000000596046
FS( 37 ),1316005.760000000009313,1330683.119999999878928,1109817.660000000149012,1307518.559999999823049,1354003.440000000176951,1291666.399999999906868,1441449.800000000046566,1276514.599999999860302,10427659.339999999850988
FS( 38 ),1338007.679999999934807,1253336.520000000018626,1100116.460000000195578,1318214.159999999916181,1343030.600000000093132,1309156.000000000000000,1449478.340000000083819,1276514.599999999860302,10387854.359999999403954
FS( 39 ),1373760.800000000046566,1290038.239999999990687,1143286.800000000046566,1337466.239999999990687,1370701.240000000223517,1366768.800000000046566,1469240.899999999906868,1305049.360000000102445,10656312.379999998956919
FS( 40 ),1399200.520000000018626,1270322.440000000176951,1145227.040000000037253,1345309.679999999934807,1359728.400000000139698,1388888.000000000000000,1442067.380000000121072,1306817.000000000000000,10657560.460000000894070
FS( 41 ),1394387.600000000093132,1293678.080000000074506,1157838.600000000093132,1353866.159999999916181,1365214.820000000065193,1432612.000000000000000,1473563.959999999962747,1318937.959999999962747,10790099.179999999701977
FS( 42 ),1399200.520000000018626,1289128.280000000027940,1146197.160000000149012,1350063.279999999795109,1371416.860000000102445,1438270.400000000139698,1468005.739999999990687,1290403.199999999953434,10752685.439999999478459
FS( 43 ),1402638.319999999832362,1280938.639999999897555,1150077.640000000130385,1356480.639999999897555,1388830.280000000027940,1442900.000000000000000,1484680.399999999906868,1313130.000000000000000,10819675.919999999925494
FS( 44 ),1375135.919999999925494,1238473.840000000083819,1106422.239999999990687,1330573.519999999785796,1370462.700000000186265,1389402.400000000139698,1443302.540000000037253,1290655.719999999972060,10544428.880000000819564
FS( 45 ),1361384.719999999972060,1230284.200000000186265,1109817.660000000149012,1345785.039999999804422,1383343.860000000102445,1434669.600000000093132,1432803.679999999934807,1317422.840000000083819,10615511.599999999627471
FS( 46 ),1329756.959999999962747,1184179.560000000055879,1086534.780000000027940,1336515.519999999785796,1354957.600000000093132,1420780.800000000046566,1391425.820000000065193,1310857.319999999832362,10415008.359999999403954
FS( 47 ),1347633.520000000018626,1199648.879999999888241,1099146.340000000083819,1356718.319999999832362,1360682.560000000055879,1442385.599999999860302,1393278.560000000055879,1329291.280000000027940,10528785.060000000521541
FS( 48 ),1339382.800000000046566,1192065.879999999888241,1100116.460000000195578,1347448.799999999813735,1354241.980000000214204,1389402.400000000139698,1385867.600000000093132,1323483.319999999832362,10432009.240000000223517
FS( 49 ),1360697.159999999916181,1202682.080000000074506,1092355.500000000000000,1353153.119999999878928,1360921.100000000093132,1360596.000000000000000,1382779.700000000186265,1318685.439999999944121,10431870.099999999627471
FS( 50 ),1397825.399999999906868,1226644.359999999869615,1120974.040000000037253,1371929.839999999850988,1366168.980000000214204,1379628.800000000046566,1434656.420000000158325,1337876.959999999962747,10635704.800000000745058
FS( 51 ),1397137.839999999850988,1225734.399999999906868,1148622.460000000195578,1384051.519999999785796,1370701.240000000223517,1397118.399999999906868,1427245.459999999962747,1352018.080000000074506,10702629.400000000372529
FS( 52 ),1442516.800000000046566,1254549.800000000046566,1168024.860000000102445,1401402.159999999916181,1361636.720000000204891,1425410.400000000139698,1489621.040000000037253,1380047.800000000046566,10923209.580000001937151
FS( 53 ),1448704.839999999850988,1275478.879999999888241,1183546.780000000027940,1408294.879999999888241,1364976.280000000027940,1433640.800000000046566,1509383.600000000093132,1394188.919999999925494,11018214.980000000447035
FS( 54 ),1490646.000000000000000,1254549.800000000046566,1196643.400000000139698,1407819.519999999785796,1379765.760000000242144,1423867.199999999953434,1500119.899999999906868,1412117.840000000083819,11065529.419999999925494
FS( 55 ),1501646.959999999962747,1280028.680000000167638,1202949.180000000167638,1403778.959999999962747,1390261.520000000251457,1437241.600000000093132,1514941.820000000065193,1403027.120000000111759,11133875.839999999850988
FS( 56 ),1487895.760000000009313,1304900.920000000158325,1186457.140000000130385,1413999.199999999953434,1398610.420000000158325,1525204.000000000000000,1533469.219999999972060,1401259.479999999981374,11251796.140000000596046
FS( 57 ),1539462.760000000009313,1273962.280000000027940,1201494.000000000000000,1406868.799999999813735,1403142.680000000167638,1514916.000000000000000,1531616.480000000214204,1385603.239999999990687,11257066.240000000223517
FS( 58 ),1550463.719999999972060,1272445.680000000167638,1226232.060000000288710,1431349.839999999850988,1338021.260000000242144,1556068.000000000000000,1578552.560000000055879,1392926.319999999832362,11346059.440000001341105
FS( 59 ),1571778.079999999841675,1285185.119999999878928,1228172.300000000046566,1462010.559999999823049,1337782.720000000204891,1594133.599999999860302,1448243.179999999934807,1410097.680000000167638,11337403.239999998360872
FS( 60 ),1572465.639999999897555,1281241.960000000195578,1220411.340000000083819,1456306.239999999990687,1335158.780000000027940,1582816.800000000046566,1427245.459999999962747,1408582.560000000055879,11284228.780000003054738
FS( 61 ),1571778.079999999841675,1311877.280000000027940,1231567.720000000204891,1447987.439999999944121,1347085.780000000027940,1544236.800000000046566,1449478.340000000083819,1406814.919999999925494,11310826.359999999403954
FS( 62 ),1571778.079999999841675,1315517.119999999878928,1231567.720000000204891,1453691.759999999776483,1345654.540000000037253,1536520.800000000046566,1469858.480000000214204,1417168.239999999990687,11341756.740000000223517
FS( 63 ),1599280.479999999981374,1311573.960000000195578,1253880.480000000214204,1468665.599999999860302,1326094.260000000242144,1540121.600000000093132,1470476.060000000055879,1419945.959999999962747,11390038.400000002235174
FS( 64 ),1604780.959999999962747,1301564.399999999906868,1258246.020000000251457,1447274.399999999906868,1313451.640000000130385,1543722.400000000139698,1452566.239999999990687,1401764.520000000018626,11323370.580000000074506
FS( 65 ),1635033.600000000093132,1328256.560000000055879,1276678.300000000046566,1452265.679999999934807,1315121.420000000158325,1544236.800000000046566,1471711.219999999972060,1404289.719999999972060,11427593.300000000745058
FS( 66 ),1626095.319999999832362,1339479.399999999906868,1275223.120000000111759,1451314.959999999962747,1312258.940000000176951,1534977.600000000093132,1468005.739999999990687,1400501.919999999925494,11407857.000000000000000
FS( 67 ),1621969.959999999962747,1335536.239999999990687,1277163.360000000102445,1436816.479999999981374,1314167.260000000242144,1523146.399999999906868,1470476.060000000055879,1361361.319999999832362,11340637.080000001937151
FS( 68 ),1610281.439999999944121,1380730.920000000158325,1287349.620000000111759,1424457.119999999878928,1308203.760000000242144,1510286.399999999906868,1448860.760000000242144,1299493.919999999925494,11269663.940000001341105
FS( 69 ),1625407.760000000009313,1416219.359999999869615,1322273.940000000176951,1423744.079999999841675,1316791.200000000186265,1548352.000000000000000,1455036.560000000055879,1313887.560000000055879,11421712.460000000894070
FS( 70 ),1617844.600000000093132,1388313.920000000158325,1314512.980000000214204,1443233.839999999850988,1342314.980000000214204,1574072.000000000000000,1446390.440000000176951,1317422.840000000083819,11444105.599999999627471
FS( 71 ),1599280.479999999981374,1376787.760000000009313,1304326.720000000204891,1431349.839999999850988,1336351.480000000214204,1560183.199999999953434,1428480.620000000111759,1311362.360000000102445,11348122.460000000894070
FS( 72 ),1624032.639999999897555,1405603.160000000149012,1319363.580000000074506,1440144.000000000000000,1342076.440000000176951,1581273.599999999860302,1453183.820000000065193,1315150.159999999916181,11480827.400000000372529
FS( 73 ),1654285.279999999795109,1414096.119999999878928,1342646.460000000195578,1433726.639999999897555,1330626.520000000251457,1593619.199999999953434,1458742.040000000037253,1320705.599999999860302,11548447.859999997541308
FS( 74 ),1638471.399999999906868,1361015.119999999878928,1316453.220000000204891,1428022.319999999832362,1318460.980000000214204,1593619.199999999953434,1463065.100000000093132,1322473.239999999990687,11441580.580000000074506
FS( 75 ),1567652.719999999972060,1339479.399999999906868,1266492.040000000037253,1421842.639999999897555,1300093.400000000139698,1588475.199999999953434,1435891.580000000074506,1318432.919999999925494,11238359.900000000372529
FS( 76 ),1610969.000000000000000,1327953.239999999990687,1306266.960000000195578,1421367.279999999795109,1318222.440000000176951,1579730.400000000139698,1456271.719999999972060,1324493.400000000139698,11345274.440000001341105
FS( 77 ),1616469.479999999981374,1320066.920000000158325,1297535.880000000121072,1434915.039999999804422,1327525.500000000000000,1619339.199999999953434,1460594.780000000027940,1333331.599999999860302,11409778.399999998509884
FS( 78 ),1633658.479999999981374,1357071.960000000195578,1294140.460000000195578,1448700.479999999981374,1339213.960000000195578,1612137.600000000093132,1461829.940000000176951,1338887.040000000037253,11485639.920000001788139
FS( 79 ),1661848.439999999944121,1391347.119999999878928,1333915.380000000121072,1450601.919999999925494,1342314.980000000214204,1674894.400000000139698,1507530.860000000102445,1353028.159999999916181,11715481.259999999776483
FS( 80 ),1660473.319999999832362,1429565.440000000176951,1311117.560000000288710,1456543.919999999925494,1333727.540000000037253,1671808.000000000000000,1521735.200000000186265,1346967.680000000167638,11731938.660000000149012
FS( 81 ),1663911.119999999878928,1463537.280000000027940,1325184.300000000046566,1453216.399999999906868,1346608.700000000186265,1694956.000000000232831,1521735.200000000186265,1348482.800000000046566,11817631.800000000745058
FS( 82 ),1644659.439999999944121,1450494.520000000018626,1337310.800000000046566,1441094.719999999972060,1359728.400000000139698,1681067.199999999953434,1516176.980000000214204,1347472.719999999972060,11778004.780000001192093
FS( 83 ),1664598.679999999934807,1571822.520000000018626,1336340.680000000167638,1437767.199999999953434,1363545.040000000037253,1690840.799999999813735,1524823.100000000093132,1339897.120000000111759,11929635.140000000596046
FS( 84 ),1670099.159999999916181,1548163.560000000055879,1343131.520000000251457,1433013.599999999860302,1337544.180000000167638,1662548.800000000046566,1524205.520000000018626,1343179.879999999888241,11861886.219999998807907
FS( 85 ),1652222.600000000093132,1506608.719999999972060,1323729.120000000111759,1436578.799999999813735,1341599.360000000102445,1668207.199999999953434,1522352.780000000027940,1366411.719999999972060,11817710.300000000745058
FS( 86 ),1623345.079999999841675,1479309.920000000158325,1297050.820000000065193,1424694.799999999813735,1327286.960000000195578,1635285.599999999860302,1482210.080000000074506,1338887.040000000037253,11608070.300000000745058
FS( 87 ),1622657.520000000018626,1468087.080000000074506,1286864.560000000288710,1420416.559999999823049,1320846.380000000121072,1584874.399999999906868,1473563.959999999962747,1333331.599999999860302,11510642.060000000521541
FS( 88 ),1635721.159999999916181,1469907.000000000000000,1304811.780000000027940,1418752.799999999813735,1325617.180000000167638,1555553.599999999860302,1489003.459999999962747,1335099.239999999990687,11534466.220000000670552
FS( 89 ),1672849.399999999906868,1490836.080000000074506,1311117.560000000288710,1433726.639999999897555,1339213.960000000195578,1579216.000000000000000,1520500.040000000037253,1334846.719999999972060,11682306.400000000372529
FS( 90 ),1698289.119999999878928,1501452.280000000027940,1332945.260000000242144,1439668.639999999897555,1341122.280000000027940,1593104.800000000046566,1532851.640000000130385,1368684.400000000139698,11808118.420000001788139
FS( 91 ),1681100.119999999878928,1532694.239999999990687,1328094.660000000149012,1447987.439999999944121,1314167.260000000242144,1622940.000000000000000,1530381.320000000065193,1357573.520000000018626,11814938.559999998658895
FS( 92 ),1694851.319999999832362,1531480.960000000195578,1335370.560000000288710,1441807.759999999776483,1308442.300000000279397,1644030.400000000139698,1543968.080000000074506,1415148.080000000074506,11915099.460000000894070
FS( 93 ),1690725.959999999962747,1557566.479999999981374,1326154.420000000158325,1436103.439999999944121,1297469.460000000195578,1673865.599999999860302,1535321.959999999962747,1405047.280000000027940,11922254.599999999627471
FS( 94 ),1706539.839999999850988,1546040.320000000065193,1334400.440000000176951,1434202.000000000000000,1293652.820000000065193,1691869.600000000093132,1543968.080000000074506,1396461.599999999860302,11947134.700000001117587
FS( 95 ),1720291.039999999804422,1579405.520000000018626,1329549.840000000083819,1429686.079999999841675,1311543.320000000065193,1682096.000000000232831,1556319.679999999934807,1389643.560000000055879,11998535.040000000968575
FS( 96 ),1786296.800000000046566,1588201.800000000046566,1361078.739999999990687,1430636.799999999813735,1347085.780000000027940,1654832.800000000046566,1556319.679999999934807,1396714.120000000111759,12121166.519999999552965
FS( 97 ),1812424.079999999841675,1603974.440000000176951,1354287.900000000139698,1444422.239999999990687,1346847.240000000223517,1646602.399999999906868,1562495.480000000214204,1402269.560000000055879,12173323.340000001713634
FS( 98 ),1817237.000000000000000,1608220.920000000158325,1369324.760000000242144,1444659.919999999925494,1359728.400000000139698,1639915.199999999953434,1560025.160000000149012,1447470.639999999897555,12246582.000000000000000
FS( 99 ),1807611.159999999916181,1603367.800000000046566,1364959.220000000204891,1442045.439999999944121,1339213.960000000195578,1636828.800000000046566,1562495.480000000214204,1441915.199999999953434,12198437.059999998658895
FS( 100 ),1811736.520000000018626,1611860.760000000009313,1339736.100000000093132,1451790.319999999832362,1331342.140000000130385,1611623.199999999953434,1591521.739999999990687,1445450.479999999981374,12195061.260000001639128
FS( 101 ),1822049.919999999925494,1588505.119999999878928,1326639.480000000214204,1444422.239999999990687,1324901.560000000055879,1611623.199999999953434,1587816.260000000242144,1445703.000000000000000,12151660.779999999329448
FS( 102 ),1805548.479999999981374,1570912.560000000055879,1311602.620000000111759,1443233.839999999850988,1338736.880000000121072,1595162.400000000139698,1602020.600000000093132,1460601.680000000167638,12127819.059999998658895
FS( 103 ),1791109.719999999972060,1562722.920000000158325,1302386.480000000214204,1440857.039999999804422,1358535.700000000186265,1607508.000000000000000,1577934.980000000214204,1464894.520000000018626,12105949.359999999403954
FS( 104 ),1828237.959999999962747,1609737.520000000018626,1322273.940000000176951,1456306.239999999990687,1363783.580000000074506,1647631.199999999953434,1595227.219999999972060,1468682.319999999832362,12291879.980000000447035
FS( 105 ),1820674.800000000046566,1656752.119999999878928,1301416.360000000102445,1448225.119999999878928,1363783.580000000074506,1638372.000000000000000,1590286.580000000074506,1462369.319999999832362,12281879.880000000819564
FS( 106 ),1820674.800000000046566,1642496.080000000074506,1292200.220000000204891,1447274.399999999906868,1361398.180000000167638,1627055.199999999953434,1588433.840000000083819,1462621.840000000083819,12242154.559999998658895
FS( 107 ),1776670.959999999962747,1580618.800000000046566,1276678.300000000046566,1421604.959999999962747,1353526.360000000102445,1603907.199999999953434,1536557.120000000111759,1429794.239999999990687,11979357.939999999478459
FS( 108 ),1815861.879999999888241,1559083.080000000074506,1262611.560000000288710,1419703.519999999785796,1352810.740000000223517,1628084.000000000000000,1541497.760000000242144,1433077.000000000000000,12012729.540000000968575
FS( 109 ),1826862.839999999850988,1585775.239999999990687,1268432.280000000027940,1421842.639999999897555,1350425.340000000083819,1634256.800000000046566,1521735.200000000186265,1431309.360000000102445,12040639.699999999254942
FS( 110 ),1866053.760000000009313,1586078.560000000055879,1275223.120000000111759,1433013.599999999860302,1370224.160000000149012,1672322.399999999906868,1550761.459999999962747,1440147.560000000055879,12193824.619999999180436
FS( 111 ),1868804.000000000000000,1570912.560000000055879,1267947.220000000204891,1442996.159999999916181,1363067.960000000195578,1655861.599999999860302,1550143.880000000121072,1438127.400000000139698,12157860.780000001192093
FS( 112 ),1859178.159999999916181,1586381.879999999888241,1304326.720000000204891,1448462.799999999813735,1356627.380000000121072,1668207.199999999953434,1585345.940000000176951,1455803.800000000046566,12264333.879999998956919
FS( 113 ),1870866.679999999934807,1598211.359999999869615,1307722.140000000130385,1467477.199999999953434,1352572.200000000186265,1674894.400000000139698,1577934.980000000214204,1453531.120000000111759,12303210.080000001937151
FS( 114 ),1874304.479999999981374,1566969.399999999906868,1311602.620000000111759,1486253.919999999925494,1352095.120000000111759,1690326.399999999906868,1588433.840000000083819,1452016.000000000000000,12322001.779999999329448
FS( 115 ),1866741.319999999832362,1574249.080000000074506,1335370.560000000288710,1450126.559999999823049,1360921.100000000093132,1667692.800000000046566,1593992.060000000055879,1445955.520000000018626,12295049.000000000000000
FS( 116 ),1879117.399999999906868,1592751.599999999860302,1328094.660000000149012,1439193.279999999795109,1371655.400000000139698,1692384.000000000000000,1603255.760000000242144,1447218.120000000111759,12353670.219999998807907
FS( 117 ),1871554.239999999757856,1570002.599999999860302,1324214.180000000167638,1448462.799999999813735,1388353.200000000186265,1712959.999999999767169,1649574.260000000242144,1445450.479999999981374,12410571.759999999776483
FS( 118 ),1846802.079999999841675,1613377.359999999869615,1322273.940000000176951,1437054.159999999916181,1402188.520000000251457,1708330.400000000139698,1636605.080000000074506,1450500.879999999888241,12417132.420000001788139
FS( 119 ),1864678.639999999897555,1621263.680000000167638,1340221.160000000149012,1453691.759999999776483,1414115.520000000251457,1735079.199999999953434,1627958.959999999962747,1459339.080000000074506,12516348.000000001862645
FS( 120 ),1951998.760000000009313,1573945.760000000009313,1308207.199999999953434,1440144.000000000000000,1405528.080000000074506,1734564.800000000046566,1628576.540000000037253,1467924.760000000009313,12510889.900000000372529
FS( 121 ),2012504.039999999804422,1535727.440000000176951,1276678.300000000046566,1433488.959999999962747,1391454.220000000204891,1681067.199999999953434,1641545.719999999972060,1451763.479999999981374,12424229.360000001266599
FS( 122 ),2015254.279999999795109,1549073.520000000018626,1296080.699999999953434,1448462.799999999813735,1419363.400000000139698,1690840.799999999813735,1642163.300000000046566,1467924.760000000009313,12529163.560000000521541
FS( 123 ),2002878.199999999953434,1513281.760000000009313,1274253.000000000000000,1438955.599999999860302,1417693.620000000111759,1668207.199999999953434,1730477.239999999990687,1455551.280000000027940,12501297.899999998509884
FS( 124 ),1989127.000000000000000,1464750.560000000055879,1266006.980000000214204,1428260.000000000000000,1412207.200000000186265,1647116.800000000046566,1771237.520000000018626,1436864.800000000046566,12415570.860000001266599
FS( 125 ),1938935.119999999878928,1448371.280000000027940,1261156.380000000121072,1426596.239999999990687,1407913.480000000214204,1668207.199999999953434,1765679.300000000046566,1443935.360000000102445,12360794.360000001266599
FS( 126 ),1890118.359999999869615,1432295.320000000065193,1222836.640000000130385,1415900.639999999897555,1398848.960000000195578,1648659.999999999767169,1730477.239999999990687,1445197.959999999962747,12184335.120000001043081
FS( 127 ),1928621.719999999972060,1480523.200000000186265,1256790.840000000083819,1422793.359999999869615,1410775.960000000195578,1610594.399999999906868,1742828.840000000083819,1503530.080000000074506,12356458.399999998509884
FS( 128 ),1851615.000000000000000,1449887.879999999888241,1217015.920000000158325,1403541.279999999795109,1398133.340000000083819,1591047.199999999953434,1712567.420000000158325,1464642.000000000000000,12088450.039999999105930
FS( 129 ),1859178.159999999916181,1464143.920000000158325,1215560.739999999990687,1413999.199999999953434,1411253.040000000037253,1608022.400000000139698,1721831.120000000111759,1488631.400000000139698,12182619.980000002309680
FS( 130 ),1853677.679999999934807,1458987.479999999981374,1212650.380000000121072,1400689.119999999878928,1413161.360000000102445,1577672.800000000046566,1700215.820000000065193,1479288.159999999916181,12096342.800000000745058
FS( 131 ),1874304.479999999981374,1458077.520000000018626,1210710.140000000130385,1414712.239999999990687,1438208.060000000055879,1679009.600000000093132,1732947.560000000055879,1490651.560000000055879,12298621.160000002011657
FS( 132 ),1905932.239999999757856,1509641.920000000158325,1243209.160000000149012,1425645.519999999785796,1466594.320000000065193,1682610.400000000139698,1758268.340000000083819,1527014.439999999944121,12518916.339999999850988
FS( 133 ),1908682.479999999981374,1506912.040000000037253,1265036.860000000102445,1433251.279999999795109,1472319.280000000027940,1676437.600000000093132,1761356.239999999990687,1541408.080000000074506,12565403.860000001266599
FS( 134 ),1978813.600000000093132,1557566.479999999981374,1300446.239999999990687,1443946.879999999888241,1494264.960000000195578,1719647.199999999953434,1790382.500000000000000,1561862.199999999953434,12846930.059999998658895
