代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13065533.290000000968575
真實報酬,3065533.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13506.258991295411761
風險,136955.784367170039332
起點值,0.098617660098868
找到最佳解世代,2307
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](4),DIS[6](1),DD[7](2),INTC[11](9),MRK[17](7),MSFT[18](3),PG[21](19),
FS( 12 ),1471379.049999999813735,1462064.199999999720603,1533564.830000000074506,1483010.380000000121072,1382554.299999999813735,1473665.520000000251457,1469461.260000000242144,10275702.539999999105930
FS( 13 ),1464215.949999999953434,1463606.649999999906868,1543252.540000000037253,1496776.660000000149012,1380795.699999999953434,1485577.280000000260770,1489718.820000000065193,10323946.600000001490116
FS( 14 ),1489627.899999999906868,1479692.200000000186265,1540372.409999999916181,1494273.699999999953434,1366140.699999999953434,1487278.960000000195578,1489531.250000000000000,10346920.120000001043081
FS( 15 ),1495767.699999999953434,1489828.300000000046566,1542205.219999999972060,1510542.940000000176951,1363209.699999999720603,1488555.220000000204891,1481278.170000000158325,10371390.250000000000000
FS( 16 ),1520838.550000000046566,1520456.949999999953434,1549274.630000000121072,1506162.760000000009313,1362037.299999999813735,1471113.000000000000000,1507725.540000000037253,10437611.730000000447035
FS( 17 ),1428571.000000000000000,1501066.150000000139698,1530161.040000000037253,1485513.340000000083819,1364675.199999999953434,1436228.560000000055879,1517666.750000000000000,10263885.040000000968575
FS( 18 ),1441703.349999999860302,1521558.699999999953434,1514713.070000000065193,1488016.300000000046566,1354709.799999999813735,1434526.880000000121072,1512039.650000000139698,10267270.750000000000000
FS( 19 ),1445796.549999999813735,1526186.050000000046566,1473605.760000000009313,1516800.340000000083819,1364088.999999999767169,1520036.300000000046566,1500597.880000000121072,10347114.880000000819564
FS( 20 ),1437439.599999999860302,1520456.949999999953434,1458419.620000000111759,1524309.219999999972060,1329210.099999999860302,1513229.580000000074506,1524981.979999999981374,10308050.050000000745058
FS( 21 ),1433858.049999999813735,1518694.149999999906868,1471249.290000000037253,1534321.060000000055879,1335951.399999999906868,1511102.480000000214204,1546740.100000000093132,10351919.530000001192093
FS( 22 ),1423966.149999999906868,1508778.399999999906868,1463918.049999999813735,1533069.580000000074506,1325986.000000000000000,1511953.320000000065193,1529108.520000000018626,10296783.019999999552965
FS( 23 ),1421749.000000000000000,1511422.600000000093132,1471772.949999999953434,1531192.360000000102445,1321589.500000000000000,1506422.859999999869615,1514665.630000000121072,10278817.900000000372529
FS( 24 ),1425671.649999999906868,1520677.300000000046566,1452397.530000000027940,1522432.000000000000000,1325692.899999999674037,1511527.900000000139698,1522168.430000000167638,10280570.709999999031425
FS( 25 ),1430788.149999999906868,1516270.300000000046566,1431974.790000000037253,1518051.820000000065193,1340054.799999999813735,1528970.120000000111759,1525544.690000000176951,10291657.669999999925494
FS( 26 ),1433516.949999999953434,1517151.699999999720603,1443757.140000000130385,1503659.800000000046566,1329503.199999999953434,1558749.520000000251457,1527420.390000000363216,10313761.699999999254942
FS( 27 ),1436416.300000000046566,1520456.949999999953434,1463918.049999999813735,1517426.080000000074506,1347089.199999999953434,1624264.200000000186265,1553305.050000000279397,10462878.830000001937151
FS( 28 ),1426694.949999999953434,1479692.200000000186265,1441924.330000000074506,1505537.020000000018626,1342985.799999999813735,1595335.640000000130385,1544114.119999999878928,10336287.059999998658895
FS( 29 ),1436757.399999999906868,1511202.250000000000000,1479104.190000000176951,1507414.239999999990687,1371709.599999999860302,1607247.400000000139698,1547677.950000000186265,10461116.030000001192093
FS( 30 ),1435222.449999999953434,1505913.850000000093132,1478842.359999999869615,1512420.160000000149012,1377571.599999999860302,1599164.420000000391155,1542988.700000000186265,10452126.539999999105930
FS( 31 ),1430105.949999999953434,1493353.899999999906868,1466798.180000000167638,1528689.400000000139698,1394864.500000000000000,1589379.760000000009313,1553117.479999999981374,10456312.169999999925494
FS( 32 ),1436075.199999999953434,1519795.899999999906868,1476485.890000000130385,1539326.980000000214204,1387537.000000000000000,1623413.359999999869615,1566247.380000000121072,10548884.710000000894070
FS( 33 ),1428571.000000000000000,1542932.649999999906868,1495337.649999999906868,1526186.440000000176951,1401605.799999999813735,1617457.480000000214204,1581628.119999999878928,10593722.139999998733401
FS( 34 ),1428229.899999999906868,1542491.949999999953434,1500050.590000000083819,1534321.060000000055879,1408933.299999999813735,1609799.920000000391155,1591381.760000000242144,10615211.480000000447035
FS( 35 ),1433346.400000000139698,1531474.449999999953434,1486697.260000000009313,1539326.980000000214204,1407174.699999999720603,1582573.040000000270084,1586317.369999999878928,10566913.200000001117587
FS( 36 ),1427036.050000000046566,1523101.150000000139698,1480413.340000000083819,1545584.380000000121072,1408933.299999999813735,1563003.720000000204891,1582003.260000000242144,10530078.199999999254942
FS( 37 ),1410151.600000000093132,1525525.000000000000000,1463918.049999999813735,1536824.020000000018626,1410691.899999999906868,1577468.000000000000000,1588568.209999999962747,10513149.780000001192093
FS( 38 ),1400600.800000000046566,1541169.849999999860302,1477795.040000000037253,1578748.600000000093132,1425053.799999999813735,1591081.440000000176951,1588193.070000000065193,10602645.599999999627471
FS( 39 ),1413562.599999999860302,1546898.949999999953434,1478842.359999999869615,1493647.960000000195578,1434432.999999999767169,1598313.580000000074506,1593445.030000000260770,10559146.480000000447035
FS( 40 ),1439486.199999999953434,1536762.849999999860302,1454492.169999999925494,1486139.080000000074506,1455536.199999999720603,1601291.520000000251457,1602073.250000000000000,10575784.269999999552965
FS( 41 ),1438804.000000000000000,1568493.250000000000000,1446375.440000000176951,1479881.679999999934807,1453191.399999999906868,1588954.340000000083819,1587630.360000000102445,10563333.469999998807907
FS( 42 ),1444091.050000000046566,1559458.899999999906868,1457895.959999999962747,1495525.179999999934807,1460518.899999999906868,1599589.840000000083819,1580877.840000000083819,10597960.669999999925494
FS( 43 ),1442897.199999999953434,1554390.850000000093132,1456586.810000000055879,1491770.739999999990687,1460518.899999999906868,1622137.100000000325963,1579752.420000000158325,10608057.019999999552965
FS( 44 ),1436927.949999999953434,1562543.799999999813735,1490886.540000000037253,1483010.380000000121072,1470777.399999999906868,1635750.540000000270084,1563246.260000000242144,10643145.870000001043081
FS( 45 ),1430447.050000000046566,1540288.450000000186265,1443757.140000000130385,1473624.280000000027940,1458467.199999999720603,1629794.660000000149012,1572437.190000000176951,10548818.970000000670552
FS( 46 ),1432152.550000000046566,1541830.899999999906868,1450041.060000000055879,1485513.340000000083819,1445277.699999999953434,1656596.120000000111759,1563433.830000000074506,10574848.500000000000000
FS( 47 ),1439656.750000000000000,1547560.000000000000000,1439567.859999999869615,1518051.820000000065193,1430622.699999999953434,1616606.640000000130385,1551054.209999999962747,10543122.980000000447035
FS( 48 ),1458246.699999999953434,1574663.049999999813735,1464179.880000000121072,1553093.260000000009313,1447622.499999999767169,1631921.760000000009313,1585379.520000000018626,10715109.669999999925494
FS( 49 ),1468309.149999999906868,1566950.800000000046566,1521258.820000000065193,1559976.400000000139698,1452605.199999999953434,1646811.460000000195578,1590256.340000000083819,10806171.170000001788139
FS( 50 ),1473937.300000000046566,1577086.899999999906868,1557915.020000000018626,1553093.260000000009313,1448794.899999999906868,1621286.260000000009313,1569060.930000000167638,10801177.570000000298023
FS( 51 ),1454494.599999999860302,1553950.149999999906868,1530684.699999999953434,1528063.660000000149012,1434726.099999999860302,1600015.260000000009313,1576001.020000000018626,10677938.490000000223517
FS( 52 ),1459440.549999999813735,1534338.999999999767169,1519949.669999999925494,1531192.360000000102445,1416260.799999999813735,1583423.880000000121072,1543738.979999999981374,10588348.240000000223517
FS( 53 ),1467626.949999999953434,1534118.650000000139698,1548227.310000000055879,1519929.040000000037253,1418019.399999999906868,1560876.620000000111759,1545051.970000000204891,10593852.939999999478459
FS( 54 ),1490310.099999999860302,1553729.800000000046566,1551107.440000000176951,1529940.880000000121072,1409519.500000000000000,1568959.600000000325963,1532297.209999999962747,10635867.530000001192093
FS( 55 ),1482464.800000000046566,1557035.049999999813735,1573624.820000000065193,1543081.420000000158325,1403950.599999999860302,1553644.480000000214204,1517666.750000000000000,10631470.919999999925494
FS( 56 ),1503783.550000000046566,1590968.949999999953434,1622325.199999999953434,1573742.679999999934807,1433260.599999999860302,1556197.000000000000000,1545239.540000000037253,10825520.519999999552965
FS( 57 ),1493038.900000000139698,1607935.899999999906868,1636987.680000000167638,1573116.940000000176951,1430036.499999999767169,1542158.140000000130385,1536236.180000000167638,10819513.240000000223517
FS( 58 ),1516745.350000000093132,1595375.950000000186265,1632536.570000000065193,1568111.020000000018626,1445570.799999999813735,1565556.239999999990687,1535110.760000000242144,10859009.689999999478459
FS( 59 ),1534311.999999999767169,1614766.750000000000000,1636202.190000000176951,1584380.260000000009313,1446743.199999999953434,1557898.679999999934807,1525169.550000000279397,10899475.630000000819564
FS( 60 ),1550514.250000000000000,1627326.699999999720603,1656363.099999999860302,1591263.400000000139698,1448208.699999999720603,1577468.000000000000000,1525169.550000000279397,10976316.700000001117587
FS( 61 ),1554607.449999999953434,1644293.650000000139698,1672596.560000000055879,1608158.380000000121072,1457294.799999999813735,1592783.120000000111759,1533610.200000000186265,11063347.160000000149012
FS( 62 ),1549832.050000000046566,1638344.199999999720603,1662908.849999999860302,1601900.980000000214204,1459346.499999999767169,1586401.820000000065193,1538299.450000000186265,11037036.850000001490116
FS( 63 ),1549832.050000000046566,1679770.000000000000000,1662908.849999999860302,1617544.480000000214204,1463742.999999999767169,1586401.820000000065193,1538111.880000000121072,11098315.080000000074506
FS( 64 ),1548808.750000000000000,1683515.950000000186265,1655577.609999999869615,1624427.620000000111759,1466967.099999999860302,1591506.859999999869615,1527045.250000000000000,11097852.140000000596046
FS( 65 ),1532777.050000000046566,1680651.399999999906868,1635678.530000000027940,1613790.040000000037253,1450553.500000000000000,1580871.359999999869615,1510726.660000000149012,11005051.540000000968575
FS( 66 ),1531924.299999999813735,1677125.800000000046566,1628347.290000000037253,1613164.300000000046566,1457587.899999999674037,1570235.859999999869615,1509038.530000000260770,10987426.980000000447035
FS( 67 ),1511799.399999999906868,1670735.649999999906868,1625467.159999999916181,1593140.620000000111759,1457881.000000000000000,1537053.100000000325963,1512602.360000000102445,10908682.289999999105930
FS( 68 ),1516745.350000000093132,1682193.850000000093132,1607400.890000000130385,1601275.239999999990687,1468725.699999999953434,1548964.859999999869615,1527232.820000000065193,10952541.710000000894070
FS( 69 ),1520326.899999999906868,1657514.649999999906868,1609233.699999999953434,1591263.400000000139698,1459346.499999999767169,1521312.560000000055879,1505099.560000000055879,10864100.270000001415610
FS( 70 ),1530048.249999999767169,1650463.450000000186265,1588549.130000000121072,1583754.520000000018626,1451432.800000000046566,1511527.900000000139698,1508475.820000000065193,10824254.869999999180436
FS( 71 ),1543692.250000000000000,1661260.599999999860302,1592476.580000000074506,1597520.800000000046566,1461984.399999999906868,1533224.320000000065193,1506224.979999999981374,10896386.929999999701977
FS( 72 ),1533118.149999999906868,1614546.399999999906868,1562104.299999999813735,1595643.580000000074506,1556948.799999999813735,1488129.800000000046566,1500785.450000000186265,10851279.480000000447035
FS( 73 ),1544545.000000000000000,1640547.699999999953434,1590381.940000000176951,1658843.320000000065193,1553431.599999999860302,1522163.400000000139698,1516916.470000000204891,11026832.430000001564622
FS( 74 ),1576096.750000000000000,1636801.750000000000000,1605306.250000000000000,1668855.160000000149012,1539362.800000000046566,1563854.560000000055879,1515415.910000000149012,11105696.179999999701977
FS( 75 ),1569274.750000000000000,1635259.299999999813735,1606615.399999999906868,1660720.540000000037253,1538776.599999999860302,1569385.020000000251457,1511101.800000000279397,11091136.410000000149012
FS( 76 ),1559553.399999999906868,1630191.250000000000000,1606091.740000000223517,1617544.480000000214204,1522656.099999999860302,1547688.600000000325963,1498347.040000000037253,10982075.609999999403954
FS( 77 ),1545227.199999999953434,1635038.949999999953434,1712656.549999999813735,1601275.239999999990687,1519138.899999999906868,1538754.780000000260770,1503974.140000000363216,11056068.760000001639128
FS( 78 ),1528854.399999999906868,1659497.800000000046566,1703230.669999999925494,1583754.520000000018626,1505070.099999999860302,1528544.700000000186265,1486154.990000000223517,10995110.180000001564622
FS( 79 ),1509070.600000000093132,1648039.600000000093132,1667621.790000000037253,1572491.199999999953434,1512397.599999999860302,1534075.160000000149012,1467585.560000000055879,10911284.509999999776483
FS( 80 ),1469673.550000000046566,1602427.149999999906868,1618659.580000000074506,1552467.520000000018626,1523535.399999999674037,1565981.660000000149012,1485217.140000000363216,10817965.000000000000000
FS( 81 ),1556995.150000000139698,1592070.699999999953434,1607139.060000000055879,1546835.860000000102445,1539655.899999999906868,1532798.900000000139698,1471899.670000000158325,10847398.240000000223517
FS( 82 ),1577120.050000000046566,1605952.749999999767169,1605568.080000000074506,1558099.179999999934807,1549621.299999999813735,1543008.980000000214204,1483904.150000000139698,10923277.490000000223517
FS( 83 ),1545568.300000000046566,1571798.500000000000000,1667883.620000000111759,1544332.900000000139698,1530276.699999999953434,1559600.359999999869615,1456331.360000000102445,10875794.740000000223517
FS( 84 ),1589570.199999999953434,1613444.649999999906868,1689615.510000000009313,1548087.340000000083819,1568379.699999999720603,1568108.760000000009313,1441888.470000000204891,11019097.629999998956919
FS( 85 ),1601679.250000000000000,1600003.300000000046566,1696946.750000000000000,1535572.540000000037253,1552552.299999999813735,1609799.920000000391155,1437199.220000000204891,11033756.280000001192093
FS( 86 ),1576267.300000000046566,1542271.599999999860302,1666312.640000000130385,1498653.880000000121072,1526466.399999999906868,1551942.800000000046566,1419942.780000000260770,10781860.400000002235174
FS( 87 ),1577631.699999999953434,1565628.699999999953434,1676524.010000000009313,1490519.260000000009313,1568379.699999999720603,1546412.340000000083819,1427258.010000000242144,10852356.719999998807907
FS( 88 ),1568421.999999999767169,1581273.550000000046566,1672334.729999999981374,1471747.060000000055879,1568965.899999999906868,1523865.080000000074506,1434010.530000000260770,10820621.850000001490116
FS( 89 ),1600314.849999999860302,1665006.550000000046566,1699826.880000000121072,1501156.840000000083819,1576000.300000000046566,1539180.200000000186265,1442451.180000000167638,11023939.800000000745058
FS( 90 ),1618052.050000000046566,1667430.399999999906868,1700350.540000000037253,1514923.120000000111759,1605310.300000000046566,1555346.160000000149012,1450141.550000000279397,11111557.120000001043081
FS( 91 ),1611741.699999999953434,1698059.050000000046566,1709252.760000000009313,1519929.040000000037253,1608827.499999999767169,1565556.239999999990687,1463646.590000000083819,11177015.879999998956919
FS( 92 ),1619586.999999999767169,1714144.600000000093132,1746432.620000000111759,1531192.360000000102445,1632568.599999999860302,1581296.780000000260770,1478839.760000000242144,11304064.720000000670552
FS( 93 ),1640223.550000000046566,1716788.799999999813735,1729151.840000000083819,1536198.280000000027940,1612051.599999999860302,1594059.380000000121072,1453517.810000000055879,11281994.259999999776483
FS( 94 ),1639200.250000000000000,1716568.450000000186265,1726533.540000000037253,1545584.380000000121072,1614982.599999999860302,1600015.260000000009313,1459332.479999999981374,11302219.960000000894070
FS( 95 ),1646704.449999999953434,1745875.000000000000000,1741719.679999999934807,1549338.820000000065193,1624947.999999999767169,1600440.679999999934807,1489343.680000000167638,11398373.310000000521541
FS( 96 ),1646875.000000000000000,1753587.250000000000000,1744337.980000000214204,1549338.820000000065193,1632275.499999999767169,1591932.280000000260770,1462521.170000000158325,11380871.000000001862645
FS( 97 ),1640905.749999999767169,1737942.400000000139698,1731508.309999999823049,1533069.580000000074506,1613223.999999999767169,1595761.060000000055879,1465709.860000000102445,11318123.959999999031425
FS( 98 ),1653014.800000000046566,1744993.599999999860302,1757691.309999999823049,1548087.340000000083819,1635792.699999999953434,1605971.140000000130385,1461583.320000000065193,11407137.210000000894070
FS( 99 ),1662906.699999999953434,1765706.499999999767169,1751145.559999999823049,1528063.660000000149012,1642240.899999999906868,1615755.800000000046566,1462521.170000000158325,11428343.290000000968575
FS( 100 ),1659836.799999999813735,1778927.500000000000000,1750621.899999999906868,1541204.199999999953434,1646637.399999999906868,1603418.620000000111759,1460457.900000000139698,11441107.319999998435378
FS( 101 ),1644316.750000000000000,1767469.299999999813735,1760833.270000000018626,1540578.460000000195578,1638723.699999999720603,1597037.320000000065193,1465334.720000000204891,11414296.520000001415610
FS( 102 ),1657790.199999999953434,1764604.750000000000000,1783350.649999999906868,1551841.780000000027940,1649275.300000000046566,1594059.380000000121072,1460457.900000000139698,11461382.960000000894070
FS( 103 ),1649262.699999999953434,1773418.750000000000000,1808748.159999999916181,1549338.820000000065193,1660706.199999999720603,1610650.760000000009313,1466647.709999999962747,11518776.100000001490116
FS( 104 ),1653867.550000000046566,1780690.300000000046566,1816341.230000000214204,1549338.820000000065193,1670378.500000000000000,1629794.660000000149012,1475463.500000000000000,11575877.560000000521541
FS( 105 ),1642611.250000000000000,1750943.049999999813735,1806129.860000000102445,1533069.580000000074506,1653671.799999999813735,1607247.400000000139698,1453330.240000000223517,11447006.179999999701977
FS( 106 ),1654720.299999999813735,1800521.799999999813735,1844357.040000000037253,1539952.719999999972060,1672430.199999999953434,1634048.859999999869615,1471524.530000000260770,11617558.449999999254942
FS( 107 ),1643634.550000000046566,1821895.750000000000000,1861114.159999999916181,1533069.580000000074506,1667154.399999999906868,1621286.260000000009313,1459707.619999999878928,11607865.319999998435378
FS( 108 ),1664612.199999999953434,1836438.850000000093132,1856139.390000000130385,1541204.199999999953434,1678292.199999999720603,1622987.940000000176951,1464209.300000000279397,11663887.080000000074506
FS( 109 ),1655231.949999999953434,1811539.299999999813735,1846189.850000000093132,1541829.940000000176951,1684447.299999999813735,1612352.440000000176951,1470211.540000000037253,11621805.320000000298023
FS( 110 ),1650115.449999999953434,1806250.899999999906868,1857972.199999999953434,1554344.739999999990687,1680050.799999999813735,1608949.080000000074506,1473025.090000000083819,11630711.259999999776483
FS( 111 ),1651650.399999999906868,1785978.699999999953434,1836763.970000000204891,1547461.600000000093132,1661585.499999999767169,1617457.480000000214204,1480903.030000000260770,11581803.679999999701977
FS( 112 ),1651309.299999999813735,1793250.249999999767169,1828123.579999999841675,1549338.820000000065193,1665102.699999999953434,1628092.980000000214204,1486342.560000000055879,11601563.190000001341105
FS( 113 ),1630672.750000000000000,1761299.500000000000000,1817388.549999999813735,1537449.760000000009313,1635206.499999999767169,1611927.020000000251457,1485404.709999999962747,11479351.789999999105930
FS( 114 ),1626920.649999999906868,1764384.399999999906868,1813984.760000000009313,1533069.580000000074506,1632568.599999999860302,1603844.040000000270084,1481465.740000000223517,11456240.769999999552965
FS( 115 ),1631696.050000000046566,1793470.599999999860302,1827076.260000000009313,1545584.380000000121072,1648982.199999999720603,1618733.739999999990687,1497596.760000000242144,11563142.990000000223517
FS( 116 ),1644316.750000000000000,1806691.599999999860302,1851950.110000000102445,1553093.260000000009313,1651913.199999999953434,1682546.739999999990687,1496283.770000000018626,11686798.429999999701977
FS( 117 ),1638006.400000000139698,1774300.149999999906868,1849855.470000000204891,1565608.060000000055879,1641068.500000000000000,1670634.980000000214204,1477714.340000000083819,11617190.900000000372529
FS( 118 ),1640905.749999999767169,1780690.300000000046566,1873420.169999999925494,1591263.400000000139698,1629344.500000000000000,1715729.500000000000000,1469086.119999999878928,11700442.740000000223517
FS( 119 ),1661030.649999999906868,1770554.199999999720603,1872111.020000000018626,1574994.160000000149012,1602086.199999999720603,1708497.359999999869615,1460833.040000000037253,11650109.629999998956919
FS( 120 ),1651820.949999999953434,1751604.099999999860302,1870278.210000000195578,1571865.460000000195578,1576293.399999999906868,1722961.640000000130385,1487467.979999999981374,11632294.740000000223517
FS( 121 ),1681496.649999999906868,1752926.199999999953434,1888344.480000000214204,1593140.620000000111759,1617620.499999999767169,1716154.920000000391155,1497034.050000000279397,11746720.419999999925494
FS( 122 ),1668023.199999999953434,1732433.650000000139698,1843047.890000000130385,1588134.699999999953434,1641947.800000000046566,1692756.820000000065193,1491219.380000000121072,11657566.440000001341105
FS( 123 ),1679108.949999999953434,1729348.750000000000000,1789372.740000000223517,1583754.520000000018626,1633447.899999999674037,1674463.760000000009313,1494032.930000000167638,11583532.550000000745058
FS( 124 ),1695140.649999999906868,1740586.599999999860302,1797227.640000000130385,1603152.460000000195578,1640775.399999999674037,1714453.239999999990687,1496096.200000000186265,11687435.190000001341105
FS( 125 ),1694799.550000000046566,1764384.399999999906868,1811890.120000000111759,1615041.520000000018626,1663930.300000000046566,1743807.220000000204891,1511852.080000000074506,11805708.190000001341105
FS( 126 ),1702303.750000000000000,1797436.899999999906868,1853521.090000000083819,1626304.840000000083819,1652206.299999999813735,1762100.280000000260770,1506975.260000000242144,11900851.419999999925494
FS( 127 ),1750398.849999999860302,1799640.399999999906868,1860590.500000000000000,1620047.440000000176951,1654844.199999999953434,1759122.340000000083819,1503036.290000000037253,11947683.019999999552965
FS( 128 ),1749034.449999999953434,1800081.099999999860302,1848022.659999999916181,1652585.920000000158325,1647516.699999999953434,1744658.060000000055879,1502473.580000000074506,11944375.470000000670552
FS( 129 ),1742553.550000000046566,1772317.000000000000000,1815555.740000000223517,1636942.420000000158325,1644878.799999999813735,1696160.179999999934807,1496283.770000000018626,11804694.459999999031425
FS( 130 ),1724475.250000000000000,1743671.499999999767169,1787278.100000000093132,1657591.840000000083819,1617620.499999999767169,1693182.239999999990687,1509788.810000000055879,11733611.240000000223517
FS( 131 ),1746305.649999999906868,1753366.899999999906868,1792514.699999999953434,1683872.920000000158325,1613223.999999999767169,1694033.080000000074506,1525919.830000000074506,11809240.080000000074506
FS( 132 ),1756538.649999999906868,1773198.399999999906868,1826028.939999999944121,1688253.100000000093132,1673602.599999999860302,1721685.380000000121072,1528545.810000000055879,11967855.880000000819564
FS( 133 ),1744088.500000000000000,1707974.800000000046566,1778637.710000000195578,1653837.400000000139698,1636965.099999999860302,1674463.760000000009313,1521043.010000000242144,11717013.279999999329448
FS( 134 ),1730273.949999999953434,1696957.300000000046566,1750621.899999999906868,1638193.900000000139698,1639016.799999999813735,1668082.460000000195578,1514853.200000000186265,11638002.510000001639128
FS( 135 ),1752957.099999999860302,1710398.650000000139698,1771044.640000000130385,1661972.020000000018626,1628758.299999999813735,1666806.200000000186265,1515791.050000000279397,11707730.960000000894070
FS( 136 ),1748181.699999999953434,1711280.049999999813735,1773662.939999999944121,1675112.560000000055879,1642827.099999999860302,1691055.140000000130385,1516353.760000000242144,11758476.250000000000000
FS( 137 ),1755515.350000000093132,1739705.199999999953434,1808486.329999999841675,1685124.400000000139698,1648982.199999999720603,1718707.440000000176951,1531546.930000000167638,11888070.849999999627471
FS( 138 ),1753809.849999999860302,1762621.599999999860302,1816603.059999999823049,1692007.540000000037253,1655137.299999999813735,1702116.060000000055879,1533610.200000000186265,11915908.609999999403954
FS( 139 ),1750569.399999999906868,1743230.800000000046566,1817650.380000000121072,1686375.880000000121072,1677999.099999999860302,1699138.120000000111759,1529858.800000000279397,11904825.480000000447035
FS( 140 ),1768477.149999999906868,1750722.699999999953434,1824981.620000000111759,1679492.739999999990687,1693240.300000000046566,1701265.220000000204891,1524044.130000000121072,11942226.860000001266599
FS( 141 ),1763190.099999999860302,1752265.149999999906868,1840953.250000000000000,1673861.080000000074506,1685326.599999999860302,1688502.620000000111759,1507350.400000000139698,11911452.200000001117587
FS( 142 ),1795594.599999999860302,1753807.600000000093132,1835978.480000000214204,1673861.080000000074506,1686205.899999999906868,1695734.760000000009313,1522168.430000000167638,11963353.849999999627471
FS( 143 ),1785532.149999999906868,1723840.000000000000000,1808486.329999999841675,1643199.820000000065193,1677706.000000000000000,1697861.859999999869615,1527045.250000000000000,11863674.410000000149012
FS( 144 ),1778198.500000000000000,1713924.250000000000000,1763451.569999999832362,1647580.000000000000000,1661292.399999999906868,1738702.179999999934807,1555743.459999999962747,11858895.359999999403954
FS( 145 ),1795935.699999999953434,1732874.349999999860302,1815817.569999999832362,1656966.100000000093132,1721084.799999999813735,1723387.060000000055879,1546364.959999999962747,11992433.539999999105930
FS( 146 ),1797641.199999999953434,1748298.850000000093132,1860590.500000000000000,1670106.640000000130385,1716395.199999999953434,1718707.440000000176951,1548428.229999999981374,12060171.059999998658895
FS( 147 ),1792013.049999999813735,1753146.550000000046566,1816341.230000000214204,1655088.880000000121072,1747463.799999999813735,1701690.640000000130385,1544489.260000000242144,12010236.410000000149012
FS( 148 ),1790989.750000000000000,1769672.800000000046566,1815555.740000000223517,1652585.920000000158325,1706429.799999999813735,1688502.620000000111759,1536611.320000000065193,11960350.949999999254942
FS( 149 ),1782632.799999999813735,1789724.649999999906868,1840429.590000000083819,1637568.160000000149012,1718446.899999999906868,1677441.700000000186265,1532484.780000000260770,11978731.580000001937151
FS( 150 ),1771547.050000000046566,1785538.000000000000000,1831265.540000000037253,1639445.380000000121072,1673895.699999999953434,1661701.160000000149012,1521793.290000000037253,11885189.120000001043081
