代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14567441.299999998882413
真實報酬,4567441.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19285.446395638940885
風險,326045.162679376371671
起點值,0.059149616688544
找到最佳解世代,1778
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),INTC[11](10),MCD[15](11),V[25](1),
FS( 13 ),2450521.340000000316650,2412559.229999999981374,2593159.859999999869615,2513697.000000000000000,9969937.429999999701977
FS( 14 ),2431607.060000000055879,2424952.409999999683350,2603786.459999999962747,2512327.299999999813735,9972673.230000000447035
FS( 15 ),2477659.220000000204891,2437345.589999999850988,2623977.000000000000000,2533420.680000000167638,10072402.490000000223517
FS( 16 ),2517543.680000000167638,2462820.459999999962747,2624685.439999999944121,2556157.700000000186265,10161207.280000001192093
FS( 17 ),2515076.600000000093132,2469017.049999999813735,2618132.370000000111759,2571224.399999999906868,10173450.419999999925494
FS( 18 ),2539199.160000000149012,2486918.309999999590218,2647886.850000000093132,2597248.700000000186265,10271253.019999999552965
FS( 19 ),2564144.080000000074506,2496557.449999999720603,2652845.930000000167638,2603549.320000000298023,10317096.779999999329448
FS( 20 ),2557565.200000000186265,2496557.449999999720603,2654262.810000000521541,2593413.540000000037253,10301799.000000000000000
FS( 21 ),2561539.939999999944121,2491049.370000000111759,2655502.580000000074506,2594783.240000000223517,10302875.130000000819564
FS( 22 ),2571819.439999999944121,2486229.799999999813735,2672505.139999999664724,2608754.180000000167638,10339308.560000000521541
FS( 23 ),2567570.580000000074506,2486918.309999999590218,2699071.639999999664724,2613411.160000000149012,10366971.689999999478459
FS( 24 ),2607455.040000000037253,2500688.509999999776483,2722981.490000000223517,2633956.660000000149012,10465081.699999999254942
FS( 25 ),2589911.359999999869615,2502065.530000000260770,2706156.040000000037253,2644914.259999999776483,10443047.190000001341105
FS( 26 ),2559758.160000000149012,2487606.820000000298023,2678526.879999999888241,2624094.820000000298023,10349986.679999999701977
FS( 27 ),2578261.260000000242144,2496557.449999999720603,2691101.689999999944121,2632313.020000000018626,10398233.419999999925494
FS( 28 ),2603343.240000000223517,2511704.669999999925494,2682069.080000000074506,2632313.020000000018626,10429430.009999999776483
FS( 29 ),2604713.840000000316650,2458689.399999999906868,2682954.629999999888241,2590400.200000000186265,10336758.070000000298023
FS( 30 ),2604302.660000000149012,2460066.419999999925494,2629644.520000000018626,2561362.560000000055879,10255376.160000000149012
FS( 31 ),2619242.200000000186265,2470394.070000000298023,2653554.370000000111759,2604645.080000000074506,10347835.720000000670552
FS( 32 ),2636922.939999999944121,2446296.220000000204891,2668785.830000000074506,2611219.639999999664724,10363224.629999998956919
FS( 33 ),2679000.359999999869615,2431149.000000000000000,2677464.219999999739230,2579716.540000000037253,10367330.119999999180436
FS( 34 ),2692569.300000000279397,2424263.899999999906868,2691987.240000000223517,2579716.540000000037253,10388536.980000000447035
FS( 35 ),2728753.140000000130385,2444919.199999999720603,2712354.889999999664724,2596700.820000000298023,10482728.050000000745058
FS( 36 ),2718473.640000000130385,2400166.049999999813735,2728826.120000000111759,2585469.279999999795109,10432935.089999999850988
FS( 37 ),2729986.680000000167638,2380887.770000000018626,2722804.379999999888241,2589852.320000000298023,10423531.150000000372529
FS( 38 ),2733687.300000000279397,2365740.549999999813735,2741755.150000000372529,2573689.860000000335276,10414872.859999999403954
FS( 39 ),2771927.040000000037253,2354035.879999999888241,2738921.389999999664724,2618342.080000000074506,10483226.390000000596046
FS( 40 ),2741088.540000000037253,2345773.759999999776483,2726877.910000000149012,2608480.240000000223517,10422220.449999999254942
FS( 41 ),2726149.000000000000000,2316856.339999999850988,2722627.270000000018626,2599714.160000000149012,10365346.769999999552965
FS( 42 ),2736154.380000000353903,2354724.390000000130385,2732899.650000000372529,2636148.180000000167638,10459926.600000001490116
FS( 43 ),2706549.420000000391155,2309282.729999999981374,2712177.779999999795109,2586565.040000000037253,10314574.969999998807907
FS( 44 ),2710524.160000000149012,2323052.930000000167638,2712709.109999999869615,2569032.879999999888241,10315319.079999998211861
FS( 45 ),2722037.200000000186265,2303774.649999999906868,2701019.850000000093132,2557253.459999999962747,10284085.160000000149012
FS( 46 ),2766170.520000000018626,2364363.530000000260770,2711115.120000000111759,2575333.500000000000000,10416982.670000001788139
FS( 47 ),2761647.540000000037253,2315479.320000000298023,2711469.340000000316650,2554514.060000000055879,10343110.260000001639128
FS( 48 ),2773845.880000000353903,2332692.070000000298023,2767790.320000000298023,2572868.040000000037253,10447196.310000002384186
FS( 49 ),2795638.420000000391155,2316856.339999999850988,2754507.070000000298023,2604919.020000000018626,10471920.849999999627471
FS( 50 ),2827299.280000000260770,2335446.109999999869615,2743703.359999999869615,2613685.100000000093132,10520133.849999999627471
FS( 51 ),2829629.300000000279397,2358166.939999999944121,2773280.730000000447035,2634778.480000000447035,10595855.450000001117587
FS( 52 ),2826751.040000000037253,2357478.430000000167638,2746005.790000000037253,2628203.919999999925494,10558439.179999999701977
FS( 53 ),2858000.720000000204891,2387772.870000000111759,2750256.430000000167638,2655323.980000000447035,10651354.000000000000000
FS( 54 ),2864716.660000000149012,2373314.159999999683350,2749902.209999999962747,2652584.580000000074506,10640517.609999999403954
FS( 55 ),2854300.100000000093132,2377445.220000000204891,2726877.910000000149012,2673130.080000000074506,10631753.310000000521541
FS( 56 ),2890483.939999999944121,2379510.750000000000000,2725638.139999999664724,2691484.060000000055879,10687116.889999998733401
FS( 57 ),2882260.340000000316650,2392592.439999999944121,2731305.660000000149012,2687648.899999999906868,10693807.339999999850988
FS( 58 ),2907753.500000000000000,2391215.419999999925494,2726169.469999999739230,2728465.959999999962747,10753604.349999999627471
FS( 59 ),2908301.740000000223517,2375379.689999999944121,2689507.700000000186265,2749559.340000000316650,10722748.470000000670552
FS( 60 ),2912139.420000000391155,2387084.359999999869615,2817381.120000000111759,2739149.620000000111759,10855754.519999999552965
FS( 61 ),3199828.359999999869615,2392592.439999999944121,2772040.959999999962747,2762708.459999999962747,11127170.219999998807907
FS( 62 ),3303308.660000000149012,2407739.659999999683350,2779833.799999999813735,2727644.139999999664724,11218526.260000001639128
FS( 63 ),3307009.280000000260770,2431149.000000000000000,2760351.700000000186265,2716138.660000000149012,11214648.640000000596046
FS( 64 ),3323319.420000000391155,2442165.159999999683350,2747776.889999999664724,2727370.200000000186265,11240631.669999998062849
FS( 65 ),3281927.300000000279397,2502754.040000000037253,2728294.790000000037253,2763256.340000000316650,11276232.469999998807907
FS( 66 ),3261505.359999999869615,2522720.830000000074506,2773457.840000000316650,2774487.879999999888241,11332171.910000000149012
FS( 67 ),3265617.160000000149012,2512393.180000000167638,2740338.270000000018626,2755586.020000000018626,11273934.629999998956919
FS( 68 ),3258215.920000000391155,2499311.489999999757856,2724398.370000000111759,2763804.220000000204891,11245730.000000001862645
FS( 69 ),3292755.040000000037253,2508262.120000000111759,2744766.020000000018626,2780240.620000000111759,11326023.800000000745058
FS( 70 ),3282749.660000000149012,2506885.099999999627471,2743880.469999999739230,2774487.879999999888241,11308003.109999999403954
FS( 71 ),3211615.520000000018626,2519278.280000000260770,2743880.469999999739230,2765995.740000000223517,11240770.009999999776483
FS( 72 ),3192015.939999999944121,2488295.330000000074506,2773989.170000000391155,2725452.620000000111759,11179753.059999998658895
FS( 73 ),3219427.939999999944121,2469705.559999999590218,2786032.650000000372529,2741889.020000000018626,11217055.169999999925494
FS( 74 ),3250540.560000000055879,2502065.530000000260770,2785324.209999999962747,2790650.340000000316650,11328580.640000000596046
FS( 75 ),3278226.680000000167638,2478656.189999999944121,2791700.170000000391155,2811469.779999999795109,11360052.820000000298023
FS( 76 ),3256571.200000000186265,2465574.500000000000000,2814370.250000000000000,2830371.639999999664724,11366887.589999999850988
FS( 77 ),3229159.200000000186265,2421509.859999999869615,2796482.139999999664724,2798594.600000000093132,11245745.799999998882413
FS( 78 ),3231626.280000000260770,2410493.699999999720603,2794179.709999999962747,2808182.500000000000000,11244482.190000001341105
FS( 79 ),3230392.740000000223517,2404297.109999999869615,2804806.310000000521541,2827632.240000000223517,11267128.400000000372529
FS( 80 ),3286176.160000000149012,2385707.339999999850988,2827476.389999999664724,2850917.139999999664724,11350277.030000001192093
FS( 81 ),3263424.200000000186265,2386395.849999999627471,2812776.260000000242144,2826536.480000000447035,11289132.790000000968575
FS( 82 ),3272333.100000000093132,2389838.399999999906868,2805691.859999999869615,2827632.240000000223517,11295495.599999999627471
FS( 83 ),3233271.000000000000000,2387084.359999999869615,2812953.370000000111759,2831193.459999999962747,11264502.190000001341105
FS( 84 ),3250951.740000000223517,2385707.339999999850988,2828007.719999999739230,2842972.879999999888241,11307639.679999999701977
FS( 85 ),3296318.600000000093132,2391215.419999999925494,2822871.529999999795109,2842698.939999999944121,11353104.489999998360872
FS( 86 ),3295907.420000000391155,2402231.580000000074506,2825528.180000000167638,2841603.180000000167638,11365270.359999999403954
FS( 87 ),3284942.620000000111759,2414624.759999999776483,2833321.020000000018626,2835850.439999999944121,11368738.839999999850988
FS( 88 ),3294125.640000000130385,2416001.780000000260770,2830487.260000000242144,2846260.160000000149012,11386874.839999999850988
FS( 89 ),3248484.660000000149012,2411182.209999999962747,2817912.450000000186265,2821879.500000000000000,11299458.820000000298023
FS( 90 ),3215864.380000000353903,2462131.949999999720603,2802326.770000000018626,2826536.480000000447035,11306859.580000000074506
FS( 91 ),3239027.520000000018626,2446984.729999999981374,2832081.250000000000000,2864340.200000000186265,11382433.699999999254942
FS( 92 ),3272881.340000000316650,2422886.879999999888241,2828716.160000000149012,2860778.980000000447035,11385263.360000001266599
FS( 93 ),3297689.200000000186265,2462820.459999999962747,2860950.180000000167638,2907896.660000000149012,11529356.500000000000000
FS( 94 ),3297552.140000000130385,2484852.780000000260770,2768852.980000000447035,2909540.299999999813735,11460798.199999999254942
FS( 95 ),3316055.240000000223517,2501377.020000000018626,2780719.350000000093132,2899130.580000000074506,11497282.189999999478459
FS( 96 ),3361285.040000000037253,2511704.669999999925494,2780719.350000000093132,2905979.080000000074506,11559688.140000000596046
FS( 97 ),3412956.660000000149012,2547507.189999999944121,2779302.469999999739230,2884611.759999999776483,11624378.080000000074506
FS( 98 ),3468877.140000000130385,2547507.189999999944121,2775051.830000000074506,2871736.580000000074506,11663172.740000000223517
FS( 99 ),3460379.420000000391155,2563342.919999999925494,2788335.080000000074506,2887625.100000000093132,11699682.519999999552965
FS( 100 ),3501497.420000000391155,2552326.759999999776483,2831727.029999999795109,2887625.100000000093132,11773176.309999998658895
FS( 101 ),3509446.900000000372529,2561277.390000000130385,2816672.680000000167638,2884885.700000000186265,11772282.670000001788139
FS( 102 ),3515066.359999999869615,2559900.370000000111759,2814547.359999999869615,2891734.200000000186265,11781248.289999999105930
FS( 103 ),3485872.580000000074506,2558523.349999999627471,2767613.209999999962747,2822153.439999999944121,11634162.580000000074506
FS( 104 ),3477374.859999999869615,2579867.159999999683350,2716074.200000000186265,2819961.919999999925494,11593278.139999998733401
FS( 105 ),3499030.340000000316650,2584686.729999999981374,2728471.900000000372529,2845986.220000000204891,11658175.190000001341105
FS( 106 ),3485187.280000000260770,2604653.520000000018626,2789397.740000000223517,2864888.080000000074506,11744126.620000001043081
FS( 107 ),3484364.920000000391155,2621866.270000000018626,2775051.830000000074506,2864888.080000000074506,11746171.099999999627471
FS( 108 ),3508761.600000000093132,2687963.229999999981374,2780010.910000000149012,2888446.919999999925494,11865182.660000000149012
FS( 109 ),3501497.420000000391155,2711372.570000000298023,2778239.810000000521541,2892556.020000000018626,11883665.820000000298023
FS( 110 ),3505609.220000000204891,2708618.530000000260770,2784438.660000000149012,2884885.700000000186265,11883552.109999999403954
FS( 111 ),3548509.000000000000000,2721700.220000000204891,2812599.150000000372529,2910362.120000000111759,11993170.490000002086163
FS( 112 ),3544260.140000000130385,2728585.320000000298023,2826767.950000000186265,2923785.180000000167638,12023398.589999999850988
FS( 113 ),3541656.000000000000000,2744421.049999999813735,2835977.670000000391155,2931455.500000000000000,12053510.220000000670552
FS( 114 ),3576469.240000000223517,2729962.339999999850988,2844124.730000000447035,2939673.700000000186265,12090230.010000001639128
FS( 115 ),3583459.300000000279397,2705864.489999999757856,2889642.000000000000000,2970628.919999999925494,12149594.709999999031425
FS( 116 ),3589901.120000000577420,2698290.879999999888241,2903102.359999999869615,2961588.899999999906868,12152883.259999999776483
FS( 117 ),3573865.100000000093132,2731339.359999999869615,2928960.420000000391155,2976655.600000000093132,12210820.480000000447035
FS( 118 ),3560296.160000000149012,2737535.949999999720603,2922584.459999999962747,2966793.759999999776483,12187210.330000000074506
FS( 119 ),3544808.380000000353903,2739601.479999999981374,2929491.750000000000000,2945974.320000000298023,12159875.929999999701977
FS( 120 ),3564270.900000000372529,2771272.939999999944121,2936044.820000000298023,2953096.759999999776483,12224685.419999999925494
FS( 121 ),3550564.900000000372529,2760256.780000000260770,2948973.850000000093132,2931729.439999999944121,12191524.970000000670552
FS( 122 ),3628826.160000000149012,2783666.120000000111759,2945431.650000000372529,2946248.259999999776483,12304172.189999999478459
FS( 123 ),3595520.580000000074506,2811206.520000000018626,2893007.090000000316650,2945700.379999999888241,12245434.570000000298023
FS( 124 ),3645958.660000000149012,2819468.640000000130385,2902571.029999999795109,2969807.100000000093132,12337805.429999999701977
FS( 125 ),3542067.180000000167638,2807763.970000000204891,2897257.730000000447035,2999392.620000000111759,12246481.500000000000000
FS( 126 ),3553717.279999999795109,2847009.040000000037253,2904873.459999999962747,3007884.759999999776483,12313484.540000000968575
FS( 127 ),3515203.419999999925494,3057004.589999999850988,2929314.639999999664724,3005419.299999999813735,12506941.949999999254942
FS( 128 ),3553443.160000000149012,3054939.059999999590218,2944191.879999999888241,3014459.320000000298023,12567033.419999999925494
FS( 129 ),3536036.540000000502914,3132052.180000000167638,2956235.359999999869615,3012815.680000000167638,12637139.759999999776483
FS( 130 ),3543163.660000000149012,3216050.399999999906868,2946671.420000000391155,3042675.139999999664724,12748560.620000001043081
FS( 131 ),3599769.439999999944121,3242902.290000000037253,2977311.450000000186265,3040209.680000000167638,12860192.859999999403954
FS( 132 ),3587708.160000000149012,3190575.530000000260770,2987052.500000000000000,3050619.399999999906868,12815955.590000001713634
FS( 133 ),3619506.080000000074506,3215361.890000000130385,3012202.120000000111759,3065960.040000000037253,12913030.129999998956919
FS( 134 ),3647740.439999999944121,3220869.970000000204891,3024599.820000000298023,3070617.020000000018626,12963827.250000000000000
FS( 135 ),3640065.080000000074506,3215361.890000000130385,3012733.450000000186265,3081026.740000000223517,12949187.160000002011657
FS( 136 ),3600728.859999999869615,3187821.489999999757856,2957829.350000000093132,3071986.720000000204891,12818366.419999999925494
FS( 137 ),3575372.760000000242144,3138248.770000000018626,2932856.840000000316650,3064864.279999999795109,12711342.650000000372529
FS( 138 ),3596891.180000000167638,3149953.439999999944121,2964382.420000000391155,3051715.160000000149012,12762942.200000001117587
FS( 139 ),3587845.220000000204891,3157527.049999999813735,2977488.560000000521541,3067603.680000000167638,12790464.509999999776483
FS( 140 ),3602921.820000000298023,3129986.649999999906868,2963496.870000000111759,3020212.060000000055879,12716617.400000000372529
FS( 141 ),3614434.859999999869615,3143068.339999999850988,2977134.340000000316650,3041305.439999999944121,12775942.979999998584390
FS( 142 ),3594698.220000000204891,3072840.320000000298023,2952870.270000000018626,3008432.639999999664724,12628841.449999999254942
FS( 143 ),3627181.439999999944121,3072151.809999999590218,2956589.580000000074506,3011993.860000000335276,12667916.690000001341105
FS( 144 ),3659527.600000000093132,3094184.129999999888241,2980853.650000000372529,3053084.860000000335276,12787650.240000002086163
FS( 145 ),3634308.560000000055879,3074217.339999999850988,2994136.900000000372529,3035826.639999999664724,12738489.440000001341105
FS( 146 ),3644313.939999999944121,3081102.439999999944121,2995199.560000000521541,3067329.740000000223517,12787945.680000001564622
FS( 147 ),3640202.140000000130385,3063201.180000000167638,2992542.910000000149012,3078561.279999999795109,12774507.509999999776483
FS( 148 ),3673233.600000000093132,3079725.419999999925494,3034695.090000000316650,3105407.399999999906868,12893061.509999999776483
FS( 149 ),3691188.460000000428408,3026021.640000000130385,3018578.080000000074506,3009528.399999999906868,12745316.580000000074506
FS( 150 ),3793983.460000000428408,3087299.030000000260770,3045853.020000000018626,3084314.020000000018626,13011449.529999999329448
FS( 151 ),3719696.939999999944121,3076282.870000000111759,3061792.920000000391155,3033361.180000000167638,12891133.910000000149012
FS( 152 ),3810019.480000000447035,3063201.180000000167638,3022474.500000000000000,2942960.980000000447035,12838656.140000000596046
FS( 153 ),3776713.900000000372529,2990907.629999999888241,3063918.240000000223517,2974464.080000000074506,12806003.849999999627471
FS( 154 ),3814131.279999999795109,2991596.140000000130385,3072596.629999999888241,3006241.120000000111759,12884565.170000001788139
FS( 155 ),3864843.480000000447035,2966121.270000000018626,3062501.359999999869615,3051715.160000000149012,12945181.269999999552965
FS( 156 ),3918708.060000000055879,2984711.040000000037253,3066752.000000000000000,3084587.959999999962747,13054759.059999998658895
FS( 157 ),3881153.620000000577420,3006054.849999999627471,3068523.100000000093132,3078287.340000000316650,13034018.910000000149012
FS( 158 ),3974080.300000000279397,2983334.020000000018626,3050457.879999999888241,3108146.799999999813735,13116019.000000000000000
FS( 159 ),4000121.699999999720603,2984022.530000000260770,3073836.400000000372529,3104037.700000000186265,13162018.330000001937151
FS( 160 ),4028081.939999999944121,2978514.449999999720603,3066574.889999999664724,3093354.040000000037253,13166525.320000000298023
FS( 161 ),4028904.300000000279397,3068020.750000000000000,3082869.010000000242144,3118008.639999999664724,13297802.699999999254942
FS( 162 ),4059057.500000000000000,3185067.449999999720603,3085348.549999999813735,3110612.259999999776483,13440085.759999999776483
FS( 163 ),4074271.160000000149012,3238771.229999999981374,3071002.639999999664724,3071986.720000000204891,13456031.750000001862645
FS( 164 ),4083180.060000000055879,3274573.750000000000000,3049395.219999999739230,3071438.840000000316650,13478587.870000001043081
FS( 165 ),4043843.839999999850988,3219492.949999999720603,3043727.700000000186265,3079383.100000000093132,13386447.589999997988343
FS( 166 ),4044803.260000000242144,3215361.890000000130385,3036111.969999999739230,3087053.419999999925494,13383330.540000000968575
FS( 167 ),4048366.820000000298023,3172674.270000000018626,3033809.540000000037253,3095271.620000000111759,13350122.250000000000000
FS( 168 ),4051930.380000000353903,3174739.799999999813735,3058250.719999999739230,3123487.439999999944121,13408408.339999997988343
FS( 169 ),4061935.760000000242144,3182313.409999999683350,3065866.450000000186265,3132527.459999999962747,13442643.080000001937151
FS( 170 ),4042199.120000000577420,3178182.349999999627471,3048509.670000000391155,3123487.439999999944121,13392378.580000000074506
FS( 171 ),4068651.699999999720603,3225689.540000000037253,3067991.770000000018626,3136910.500000000000000,13499243.509999999776483
FS( 172 ),4081809.460000000428408,3116216.449999999720603,3055062.740000000223517,3168139.660000000149012,13421228.310000000521541
FS( 173 ),4066321.680000000167638,3059070.120000000111759,3076493.049999999813735,3179919.080000000074506,13381803.930000001564622
FS( 174 ),4233123.700000000186265,3080413.930000000167638,3082691.900000000372529,3256074.399999999906868,13652303.930000001564622
FS( 175 ),4251078.559999999590218,3080413.930000000167638,3080566.580000000074506,3269223.520000000018626,13681282.589999999850988
FS( 176 ),4364564.240000000223517,3003300.809999999590218,3073659.290000000037253,3262922.899999999906868,13704447.240000000223517
FS( 177 ),4389646.219999999739230,2926187.689999999944121,3073127.959999999962747,3259361.680000000167638,13648323.550000000745058
FS( 178 ),4497375.379999999888241,2988842.099999999627471,3071002.639999999664724,3282920.520000000018626,13840140.639999998733401
FS( 179 ),4608256.919999999925494,2977137.430000000167638,3074190.620000000111759,3289769.020000000018626,13949353.989999998360872
FS( 180 ),4593865.620000000111759,2970252.330000000074506,3076138.830000000074506,3297987.220000000204891,13938244.000000001862645
FS( 181 ),4811105.719999999739230,3056316.080000000074506,3099163.129999999888241,3341543.680000000167638,14308128.609999999403954
FS( 182 ),4662395.620000000111759,3062512.669999999925494,3091901.620000000111759,3372498.899999999906868,14189308.810000000521541
FS( 183 ),4629090.040000000037253,3085922.009999999776483,3119353.670000000391155,3361267.360000000335276,14195633.080000001937151
FS( 184 ),4632790.660000000149012,3149953.439999999944121,3120947.660000000149012,3405919.580000000074506,14309611.339999999850988
FS( 185 ),4599759.200000000186265,3171297.250000000000000,3131574.260000000242144,3414685.660000000149012,14317316.370000001043081
FS( 186 ),4587423.799999999813735,3133429.199999999720603,3119353.670000000391155,3411946.259999999776483,14252152.929999999701977
FS( 187 ),4702828.320000000298023,3118970.489999999757856,3111206.609999999869615,3430300.240000000223517,14363305.660000000149012
FS( 188 ),4704335.980000000447035,3448078.270000000018626,3159026.310000000521541,3460433.639999999664724,14771874.199999999254942
FS( 189 ),4671441.580000000074506,3441193.169999999925494,3148576.820000000298023,3419890.520000000018626,14681102.089999999850988
FS( 190 ),4628815.919999999925494,3359260.479999999981374,3054885.629999999888241,3384552.259999999776483,14427514.290000000968575
FS( 191 ),4857157.879999999888241,3314507.330000000074506,3031152.889999999664724,3403180.180000000167638,14605998.279999999329448
FS( 192 ),4892382.299999999813735,3280770.339999999850988,3044613.250000000000000,3443997.240000000223517,14661763.130000000819564
FS( 193 ),4782323.120000000111759,3177493.839999999850988,2999981.529999999795109,3312232.100000000093132,14272030.589999999850988
FS( 194 ),4507791.940000000409782,3065266.709999999962747,2902039.700000000186265,3185123.939999999944121,13660222.290000000968575
FS( 195 ),4672675.120000000111759,3092118.599999999627471,2925595.330000000074506,3286481.740000000223517,13976870.790000000968575
FS( 196 ),4771495.379999999888241,3112085.390000000130385,2934982.160000000149012,3277715.660000000149012,14096278.589999999850988
FS( 197 ),4518482.620000000111759,2943400.439999999944121,2815610.020000000018626,3119104.399999999906868,13396597.480000000447035
FS( 198 ),4561930.639999999664724,3026021.640000000130385,2848021.150000000372529,3186493.639999999664724,13622467.070000000298023
FS( 199 ),4712285.459999999962747,3086610.520000000018626,2902925.250000000000000,3245390.740000000223517,13947211.970000000670552
FS( 200 ),4703513.620000000111759,3061135.649999999906868,2876358.750000000000000,3242103.459999999962747,13883111.480000000447035
FS( 201 ),4726676.760000000707805,3124478.570000000298023,2833675.240000000223517,3310040.580000000074506,13994871.150000000372529
FS( 202 ),4885803.419999999925494,3161658.109999999869615,2847666.930000000167638,3349761.879999999888241,14244890.339999999850988
FS( 203 ),4866340.900000000372529,3136871.750000000000000,2794711.040000000037253,3337982.459999999962747,14135906.150000002235174
FS( 204 ),4843177.760000000707805,3189198.509999999776483,2783553.109999999869615,3342365.500000000000000,14158294.880000000819564
FS( 205 ),4829745.879999999888241,3163035.129999999888241,2809765.389999999664724,3299082.980000000447035,14101629.379999998956919
FS( 206 ),4878402.180000000633299,3153395.989999999757856,2845541.609999999869615,3297713.279999999795109,14175053.059999998658895
FS( 207 ),4888544.620000000111759,3286278.419999999925494,2888048.010000000242144,3367567.980000000447035,14430439.030000001192093
FS( 208 ),4982019.540000000037253,3381292.799999999813735,2897257.730000000447035,3413042.020000000018626,14673612.089999999850988
FS( 209 ),4997918.500000000000000,3436373.599999999627471,2845541.609999999869615,3379621.340000000316650,14659455.049999998882413
FS( 210 ),4964612.919999999925494,3393685.979999999981374,2793825.490000000223517,3367841.919999999925494,14519966.310000000521541
FS( 211 ),4793013.799999999813735,3293852.030000000260770,2757695.049999999813735,3298261.160000000149012,14142822.039999999105930
FS( 212 ),4724209.680000000633299,3372342.169999999925494,2626102.320000000298023,3308396.939999999944121,14031051.110000001266599
FS( 213 ),4834954.160000000149012,3425357.439999999944121,2674984.680000000167638,3338804.279999999795109,14274100.559999998658895
FS( 214 ),4782460.180000000633299,3491454.399999999906868,2677995.549999999813735,3316341.200000000186265,14268251.329999998211861
FS( 215 ),4756692.900000000372529,3533453.509999999776483,2698894.529999999795109,3337982.459999999962747,14327023.399999998509884
FS( 216 ),4779856.040000000037253,3493519.930000000167638,2735379.189999999944121,3348118.240000000223517,14356873.400000000372529
FS( 217 ),4859213.780000000260770,3593353.879999999888241,2784969.990000000223517,3410850.500000000000000,14648388.150000000372529
FS( 218 ),4717630.799999999813735,3547223.709999999962747,2793825.490000000223517,3403454.120000000111759,14462134.120000001043081
FS( 219 ),4641973.680000000633299,3565124.970000000204891,2802326.770000000018626,3374964.360000000335276,14384389.780000001192093
FS( 220 ),4526706.219999999739230,3570633.049999999813735,2802680.990000000223517,3357980.080000000074506,14258000.339999999850988
FS( 221 ),4522868.540000000037253,3503159.070000000298023,2862367.060000000521541,3380717.100000000093132,14269111.770000001415610
FS( 222 ),4529584.480000000447035,3523125.859999999869615,2875650.310000000521541,3411398.379999999888241,14339759.030000001192093
FS( 223 ),4547265.219999999739230,3499716.520000000018626,2816318.459999999962747,3375238.299999999813735,14238538.500000000000000
FS( 224 ),4627719.440000000409782,3549289.239999999757856,2822871.529999999795109,3421808.100000000093132,14421688.309999998658895
FS( 225 ),4620455.260000000707805,3549977.750000000000000,2810119.609999999869615,3375512.240000000223517,14356064.860000001266599
FS( 226 ),4380737.320000000298023,3499716.520000000018626,2781427.790000000037253,3287029.620000000111759,13948911.250000000000000
FS( 227 ),4399788.660000000149012,3398505.549999999813735,2744943.129999999888241,3205121.560000000055879,13748358.900000000372529
FS( 228 ),4509025.480000000447035,3613320.669999999925494,2798607.459999999962747,3304835.720000000204891,14225789.330000000074506
FS( 229 ),4401433.379999999888241,3524502.879999999888241,2789220.629999999888241,3216079.160000000149012,13931236.050000000745058
FS( 230 ),4386356.780000000260770,3415029.790000000037253,2805691.859999999869615,3204847.620000000111759,13811926.050000000745058
