代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11488030.429999999701977
真實報酬,1488030.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,6402.878907001928383
風險,305038.322795236657839
起點值,0.020990408183237
找到最佳解世代,2331
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](10),MRK[17](1),NKE[19](5),PFE[20](3),
FS( 30 ),2669461.950000000186265,2307467.959999999962747,2453437.959999999962747,2483030.250000000000000,9913398.120000001043081
FS( 31 ),2684676.800000000279397,2325008.839999999850988,2435700.039999999571592,2496606.050000000279397,9941991.730000000447035
FS( 32 ),2666838.699999999720603,2281574.280000000260770,2428309.239999999757856,2466060.500000000000000,9842782.720000000670552
FS( 33 ),2704613.500000000000000,2281991.919999999925494,2468589.099999999627471,2466060.500000000000000,9921255.019999999552965
FS( 34 ),2705138.149999999906868,2284080.119999999646097,2451959.799999999813735,2461987.760000000242144,9903165.830000000074506
FS( 35 ),2666838.699999999720603,2260274.639999999664724,2380638.580000000074506,2416508.830000000074506,9724260.750000000000000
FS( 36 ),2589715.149999999906868,2230622.199999999720603,2388398.919999999925494,2341163.140000000130385,9549899.410000000149012
FS( 37 ),2753405.949999999720603,2256933.520000000018626,2435330.500000000000000,2378496.590000000316650,9824166.560000000521541
FS( 38 ),2685726.100000000093132,2244821.959999999962747,2445308.080000000074506,2376460.220000000204891,9752316.360000001266599
FS( 39 ),2602306.750000000000000,2300785.720000000204891,2418331.659999999683350,2396145.129999999888241,9717569.260000001639128
FS( 40 ),2732419.949999999720603,2274892.040000000037253,2455285.659999999683350,2409042.140000000130385,9871639.790000000968575
FS( 41 ),2566630.550000000279397,2224775.240000000223517,2369552.379999999888241,2379175.379999999888241,9540133.550000000745058
FS( 42 ),2610176.500000000000000,2259021.720000000204891,2464893.700000000186265,2421939.150000000372529,9756031.070000000298023
FS( 43 ),2622768.100000000093132,2277815.520000000018626,2528454.580000000074506,2452484.700000000186265,9881522.900000000372529
FS( 44 ),2643229.450000000186265,2277397.879999999888241,2571690.760000000242144,2425333.100000000093132,9917651.189999999478459
FS( 45 ),2559810.100000000093132,2228534.000000000000000,2496304.599999999627471,2387320.860000000335276,9671969.559999998658895
FS( 46 ),2599683.500000000000000,2345473.199999999720603,2482631.620000000111759,2407005.770000000018626,9834794.089999999850988
FS( 47 ),2689923.300000000279397,2359255.319999999832362,2475979.899999999906868,2440266.480000000447035,9965425.000000000000000
FS( 48 ),2681004.250000000000000,2347143.760000000242144,2469697.719999999739230,2429405.840000000316650,9927251.570000000298023
FS( 49 ),2765997.549999999813735,2369696.319999999832362,2504434.479999999981374,2465381.709999999962747,10105510.059999998658895
FS( 50 ),2720877.649999999906868,2387654.839999999850988,2485218.399999999906868,2465381.709999999962747,10059132.600000001490116
FS( 51 ),2749208.750000000000000,2449465.560000000055879,2478197.140000000130385,2479636.300000000279397,10156507.750000001862645
FS( 52 ),2809018.850000000093132,2475359.240000000223517,2494826.439999999944121,2466060.500000000000000,10245265.029999999329448
FS( 53 ),2812691.399999999906868,2460741.839999999850988,2446416.700000000186265,2476921.140000000130385,10196771.080000000074506
FS( 54 ),2739765.049999999813735,2449047.919999999925494,2429048.319999999832362,2479636.300000000279397,10097497.589999999850988
FS( 55 ),2703564.200000000186265,2456983.080000000074506,2442351.760000000242144,2486424.200000000186265,10089323.240000002086163
FS( 56 ),2681004.250000000000000,2516287.959999999962747,2471545.419999999925494,2497963.629999999888241,10166801.259999999776483
FS( 57 ),2699367.000000000000000,2509605.720000000204891,2474871.279999999795109,2515612.170000000391155,10199456.169999999925494
FS( 58 ),2695694.450000000186265,2490394.280000000260770,2463785.080000000074506,2489818.150000000372529,10139691.960000000894070
FS( 59 ),2783311.000000000000000,2481206.199999999720603,2514781.599999999627471,2501357.580000000074506,10280656.379999998956919
FS( 60 ),2766522.199999999720603,2483712.040000000037253,2570582.140000000130385,2511539.430000000167638,10332355.810000000521541
FS( 61 ),2708286.049999999813735,2458653.639999999664724,2527345.959999999962747,2485066.620000000111759,10179352.269999999552965
FS( 62 ),2798001.199999999720603,2421483.679999999701977,2516629.299999999813735,2402933.030000000260770,10139047.209999999031425
FS( 63 ),2744486.899999999906868,2393084.159999999683350,2522541.939999999944121,2368314.740000000223517,10028427.740000000223517
FS( 64 ),2742912.950000000186265,2402689.879999999888241,2472284.500000000000000,2359490.470000000204891,9977377.800000000745058
FS( 65 ),2769145.450000000186265,2411877.959999999962747,2516629.299999999813735,2364920.790000000502914,10062573.500000000000000
FS( 66 ),2798001.199999999720603,2396425.280000000260770,2562452.260000000242144,2371029.900000000372529,10127908.640000000596046
FS( 67 ),2813740.700000000186265,2370531.600000000093132,2529932.739999999757856,2374423.850000000093132,10088628.890000000596046
FS( 68 ),2850990.850000000093132,2420230.760000000242144,2511086.200000000186265,2387320.860000000335276,10169628.670000001788139
FS( 69 ),2884568.449999999720603,2424824.800000000279397,2509977.580000000074506,2378496.590000000316650,10197867.419999999925494
FS( 70 ),2868304.300000000279397,2492900.119999999646097,2528824.120000000111759,2409720.930000000167638,10299749.470000000670552
FS( 71 ),2880371.250000000000000,2492482.479999999981374,2543975.260000000242144,2434157.370000000111759,10350986.359999999403954
FS( 72 ),2828955.550000000279397,2472435.760000000242144,2568364.899999999906868,2422617.939999999944121,10292374.150000000372529
FS( 73 ),2866730.350000000093132,2495405.959999999962747,2636360.260000000242144,2421939.150000000372529,10420435.720000000670552
FS( 74 ),2875649.399999999906868,2467006.439999999944121,2621578.659999999683350,2423975.520000000018626,10388210.019999999552965
FS( 75 ),2875649.399999999906868,2469929.919999999925494,2635621.179999999701977,2419223.990000000223517,10400424.490000000223517
FS( 76 ),2849941.549999999813735,2446124.439999999944121,2637838.419999999925494,2430084.629999999888241,10363989.039999999105930
FS( 77 ),2856762.000000000000000,2441112.760000000242144,2635251.640000000130385,2424654.310000000055879,10357780.710000000894070
FS( 78 ),2896635.399999999906868,2471182.839999999850988,2636360.260000000242144,2441624.060000000055879,10445802.560000000521541
FS( 79 ),2872501.500000000000000,2469512.280000000260770,2667401.620000000111759,2436193.740000000223517,10445609.140000000596046
FS( 80 ),2908702.350000000093132,2467841.720000000204891,2669988.399999999906868,2421939.150000000372529,10468471.620000001043081
FS( 81 ),2902406.549999999813735,2439024.560000000055879,2620839.580000000074506,2423296.730000000447035,10385567.419999999925494
FS( 82 ),2921293.950000000186265,2494153.040000000037253,2669249.319999999832362,2447054.379999999888241,10531750.690000001341105
FS( 83 ),2896110.750000000000000,2486217.879999999888241,2653359.099999999627471,2438908.900000000372529,10474596.629999998956919
FS( 84 ),2994744.949999999720603,2529234.800000000279397,2688834.939999999944121,2460630.180000000167638,10673444.869999999180436
FS( 85 ),2981628.699999999720603,2590210.240000000223517,2728375.719999999739230,2474205.980000000447035,10774420.640000000596046
FS( 86 ),2965889.200000000186265,2563898.919999999925494,2736505.599999999627471,2473527.189999999944121,10739820.910000000149012
FS( 87 ),2992121.700000000186265,2586451.479999999981374,2762373.399999999906868,2469454.450000000186265,10810401.030000001192093
FS( 88 ),2931786.950000000186265,2588957.319999999832362,2762742.939999999944121,2476921.140000000130385,10760408.349999999627471
FS( 89 ),2888241.000000000000000,2613598.080000000074506,2767916.500000000000000,2489139.360000000335276,10758894.940000001341105
FS( 90 ),2860434.550000000279397,2603157.080000000074506,2756460.760000000242144,2464024.129999999888241,10684076.519999999552965
FS( 91 ),2876174.049999999813735,2607751.119999999646097,2745374.560000000055879,2464024.129999999888241,10693323.859999999403954
FS( 92 ),2887191.700000000186265,2614015.720000000204891,2738722.839999999850988,2458593.810000000055879,10698524.070000000298023
FS( 93 ),2913948.850000000093132,2570998.800000000279397,2760525.700000000186265,2454521.069999999832362,10699994.419999999925494
FS( 94 ),2891388.899999999906868,2590627.879999999888241,2802653.260000000242144,2468096.870000000111759,10752766.910000000149012
FS( 95 ),2792230.049999999813735,2547193.319999999832362,2794153.839999999850988,2454521.069999999832362,10588098.279999999329448
FS( 96 ),2777015.200000000186265,2548863.879999999888241,2744265.939999999944121,2458593.810000000055879,10528738.830000000074506
FS( 97 ),2777015.200000000186265,2559304.879999999888241,2761264.779999999795109,2474884.770000000018626,10572469.629999998956919
FS( 98 ),2738191.100000000093132,2555128.479999999981374,2732440.659999999683350,2464024.129999999888241,10489784.370000001043081
FS( 99 ),2754455.250000000000000,2567240.040000000037253,2713594.120000000111759,2478278.720000000204891,10513568.130000000819564
FS( 100 ),2660542.899999999906868,2550952.080000000074506,2673683.799999999813735,2469454.450000000186265,10354633.230000000447035
FS( 101 ),2605979.300000000279397,2535917.040000000037253,2681444.140000000130385,2469454.450000000186265,10292794.929999999701977
FS( 102 ),2558236.149999999906868,2500835.280000000260770,2636729.799999999813735,2457915.020000000018626,10153716.250000000000000
FS( 103 ),2583944.000000000000000,2518376.159999999683350,2649663.700000000186265,2468096.870000000111759,10220080.730000000447035
FS( 104 ),2608077.899999999906868,2535081.760000000242144,2944556.620000000111759,2462666.550000000279397,10550382.830000000074506
FS( 105 ),2633785.750000000000000,2525058.399999999906868,2895407.799999999813735,2466060.500000000000000,10520312.449999999254942
FS( 106 ),2595486.299999999813735,2535499.399999999906868,2818913.020000000018626,2467418.080000000074506,10417316.799999998882413
FS( 107 ),2662641.500000000000000,2574339.919999999925494,2828890.599999999627471,2502715.160000000149012,10568587.179999999701977
FS( 108 ),2695169.799999999813735,2597727.760000000242144,2826303.819999999832362,2519006.120000000111759,10638207.500000000000000
FS( 109 ),2720877.649999999906868,2590210.240000000223517,2855867.020000000018626,2522400.069999999832362,10689354.980000000447035
FS( 110 ),2736617.149999999906868,2601904.159999999683350,2866583.679999999701977,2540727.400000000372529,10745832.390000000596046
FS( 111 ),2686250.750000000000000,2585198.560000000055879,2858823.339999999850988,2525794.020000000018626,10656066.669999999925494
FS( 112 ),2746585.500000000000000,2616939.199999999720603,2859192.879999999888241,2546836.510000000242144,10769554.089999999850988
FS( 113 ),2739765.049999999813735,2626544.919999999925494,2859562.419999999925494,2547515.300000000279397,10773387.689999999478459
FS( 114 ),2728747.399999999906868,2614015.720000000204891,2873235.399999999906868,2537333.450000000186265,10753331.969999998807907
FS( 115 ),2715106.500000000000000,2611509.879999999888241,2862888.279999999795109,2555660.780000000260770,10745165.440000001341105
FS( 116 ),2713532.549999999813735,2628633.119999999646097,2830368.760000000242144,2556339.569999999832362,10728874.000000000000000
FS( 117 ),2727173.449999999720603,2610674.600000000093132,2843672.200000000186265,2535975.870000000111759,10717496.120000001043081
FS( 118 ),2723500.899999999906868,2611092.240000000223517,2844041.739999999757856,2533939.500000000000000,10712574.380000000819564
FS( 119 ),2744486.899999999906868,2618192.119999999646097,2830368.760000000242144,2525794.020000000018626,10718841.799999998882413
FS( 120 ),2737666.450000000186265,2648679.839999999850988,2791197.520000000018626,2559054.730000000447035,10736598.540000000968575
FS( 121 ),2750782.700000000186265,2693367.319999999832362,2851432.539999999571592,2578739.640000000130385,10874322.199999999254942
FS( 122 ),2736617.149999999906868,2673320.600000000093132,2888017.000000000000000,2590279.069999999832362,10888233.820000000298023
FS( 123 ),2501573.950000000186265,2651603.319999999832362,2841454.959999999962747,2607248.819999999832362,10601881.049999998882413
FS( 124 ),2502098.600000000093132,2706731.800000000279397,2807087.739999999757856,2619467.040000000502914,10635385.180000001564622
FS( 125 ),2523609.250000000000000,2751001.640000000130385,2842194.039999999571592,2710424.900000000372529,10827229.830000000074506
FS( 126 ),2560859.399999999906868,2735131.319999999832362,2865475.060000000055879,2733503.760000000242144,10894969.539999999105930
FS( 127 ),2596010.949999999720603,2723855.040000000037253,2906494.000000000000000,2691418.780000000260770,10917778.769999999552965
FS( 128 ),2603880.700000000186265,2753507.480000000447035,2909819.859999999869615,2751831.090000000316650,11019039.130000000819564
FS( 129 ),2586567.250000000000000,2765619.040000000037253,2938274.439999999944121,2785770.590000000316650,11076231.320000000298023
FS( 130 ),2607553.250000000000000,2780654.080000000074506,2975967.520000000018626,2772194.790000000502914,11136369.640000000596046
FS( 131 ),2621194.149999999906868,2785248.119999999646097,2974858.899999999906868,2810885.819999999832362,11192186.990000000223517
FS( 132 ),2630637.850000000093132,2756430.959999999962747,3002943.939999999944121,2783055.430000000167638,11173068.179999999701977
FS( 133 ),2562958.000000000000000,2759354.439999999478459,2983358.319999999832362,2778303.900000000372529,11083974.660000000149012
FS( 134 ),2541972.000000000000000,2786501.040000000037253,2961925.000000000000000,2770158.420000000391155,11060556.460000000894070
FS( 135 ),2524658.549999999813735,2775642.399999999906868,2961555.459999999962747,2763370.520000000018626,11025226.929999999701977
FS( 136 ),2490031.649999999906868,2813647.640000000130385,2940491.679999999701977,2793916.069999999832362,11038087.039999999105930
FS( 137 ),2474816.800000000279397,2875458.359999999869615,2958229.599999999627471,2811564.610000000335276,11120069.370000001043081
FS( 138 ),2471144.250000000000000,2884228.800000000279397,2947143.399999999906868,2857043.540000000502914,11159559.990000002086163
FS( 139 ),2439665.250000000000000,2930586.839999999850988,3036941.620000000111759,2873334.500000000000000,11280528.210000000894070
FS( 140 ),2498426.049999999813735,2888822.839999999850988,3065396.200000000186265,2861795.069999999832362,11314440.160000000149012
FS( 141 ),2468521.000000000000000,2883393.520000000018626,3053940.459999999962747,2855685.959999999962747,11261540.940000001341105
FS( 142 ),2464848.449999999720603,2880470.040000000037253,3063918.039999999571592,2864510.230000000447035,11273746.759999999776483
FS( 143 ),2500524.649999999906868,2883393.520000000018626,3046919.200000000186265,2878086.030000000260770,11308923.400000002235174
FS( 144 ),2536725.500000000000000,2881305.319999999832362,3054310.000000000000000,2822425.250000000000000,11294766.070000000298023
FS( 145 ),2548267.799999999813735,2866270.279999999795109,3051723.219999999739230,2816994.930000000167638,11283256.230000000447035
FS( 146 ),2557711.500000000000000,2873787.800000000279397,3059483.560000000055879,2816994.930000000167638,11307977.790000000968575
FS( 147 ),2530954.350000000093132,2862511.520000000018626,3008117.500000000000000,2816994.930000000167638,11218578.300000000745058
FS( 148 ),2540922.700000000186265,2864599.720000000204891,3037680.700000000186265,2818352.510000000242144,11261555.630000000819564
FS( 149 ),2516264.149999999906868,2837870.760000000242144,2941600.299999999813735,2808170.660000000149012,11103905.870000001043081
FS( 150 ),2503672.549999999813735,2865852.640000000130385,2953425.580000000074506,2840752.580000000074506,11163703.349999999627471
FS( 151 ),2479538.649999999906868,2897593.279999999795109,2971163.500000000000000,2836001.050000000279397,11184296.480000000447035
FS( 152 ),2437042.000000000000000,2909704.839999999850988,2967468.099999999627471,2864510.230000000447035,11178725.169999999925494
FS( 153 ),2429172.250000000000000,2905110.800000000279397,3033985.299999999813735,2855007.170000000391155,11223275.520000001415610
FS( 154 ),2357295.200000000186265,2885064.080000000074506,3053570.919999999925494,2871976.920000000391155,11167907.120000001043081
FS( 155 ),2357295.200000000186265,2917640.000000000000000,3067243.899999999906868,2878764.819999999832362,11220943.919999999925494
FS( 156 ),2390872.799999999813735,2958151.080000000074506,3084612.279999999795109,2908631.580000000074506,11342267.740000000223517
FS( 157 ),2389298.850000000093132,2922651.680000000167638,3085351.359999999869615,2916098.270000000018626,11313400.160000000149012
FS( 158 ),2383003.050000000279397,2941027.839999999850988,3076851.939999999944121,2919492.220000000204891,11320375.050000000745058
FS( 159 ),2418679.250000000000000,2941027.839999999850988,3150759.939999999944121,2953431.720000000204891,11463898.750000000000000
FS( 160 ),2421302.500000000000000,2922651.680000000167638,3120088.120000000111759,2936461.970000000204891,11400504.270000001415610
FS( 161 ),2476390.750000000000000,2956062.879999999888241,3154824.879999999888241,2969722.680000000167638,11557001.189999999478459
FS( 162 ),2448059.649999999906868,2969427.359999999869615,3161476.599999999627471,2990765.170000000391155,11569728.779999999329448
FS( 163 ),2461175.899999999906868,2956062.879999999888241,3114175.479999999981374,2981940.900000000372529,11513355.160000000149012
FS( 164 ),2408710.899999999906868,2950633.560000000055879,3133391.560000000055879,2972437.840000000316650,11465173.859999999403954
FS( 165 ),2397693.250000000000000,2937269.080000000074506,3093111.700000000186265,2964971.150000000372529,11393045.180000001564622
FS( 166 ),2407136.950000000186265,2953557.040000000037253,3124153.060000000055879,2979904.530000000260770,11464751.580000001937151
FS( 167 ),2481112.600000000093132,2962745.119999999646097,3130804.779999999795109,2991443.959999999962747,11566106.460000000894070
FS( 168 ),2437042.000000000000000,2987385.879999999888241,3121196.739999999757856,3005019.760000000242144,11550644.379999998956919
FS( 169 ),2523609.250000000000000,2996573.959999999962747,3058744.479999999981374,3001625.810000000055879,11580553.500000000000000
FS( 170 ),2558236.149999999906868,2980703.640000000130385,3048766.899999999906868,3041674.420000000391155,11629381.109999999403954
FS( 171 ),2525183.200000000186265,2974439.040000000037253,2963033.620000000111759,3034207.730000000447035,11496863.589999999850988
FS( 172 ),2467471.700000000186265,2966503.879999999888241,2960816.379999999888241,3048462.319999999832362,11443254.280000001192093
FS( 173 ),2467471.700000000186265,2984462.399999999906868,2964881.319999999832362,3073577.550000000279397,11490392.970000000670552
FS( 174 ),2442288.500000000000000,3021214.720000000204891,2971902.580000000074506,3086474.560000000055879,11521880.360000001266599
FS( 175 ),2350474.750000000000000,2942280.760000000242144,2769394.659999999683350,3021310.720000000204891,11083460.890000000596046
FS( 176 ),2320569.699999999720603,2855411.640000000130385,2753504.439999999944121,2905916.420000000391155,10835402.199999999254942
FS( 177 ),2354671.950000000186265,2915551.800000000279397,2805240.039999999571592,2971759.050000000279397,11047222.839999999850988
FS( 178 ),2336309.200000000186265,2900934.399999999906868,2771242.359999999869615,2926958.910000000149012,10935444.869999999180436
FS( 179 ),2410284.850000000093132,2974439.040000000037253,2863257.819999999832362,2981940.900000000372529,11229922.610000001266599
FS( 180 ),2407661.600000000093132,2999497.439999999478459,2826303.819999999832362,3025383.459999999962747,11258846.320000000298023
FS( 181 ),2359393.799999999813735,3015785.399999999906868,2793784.299999999813735,2986692.430000000167638,11155655.929999999701977
FS( 182 ),2308502.750000000000000,3021632.359999999869615,2742418.239999999757856,3020631.930000000167638,11093185.279999999329448
FS( 183 ),2361492.399999999906868,3030820.439999999478459,2767916.500000000000000,3011807.660000000149012,11172037.000000000000000
FS( 184 ),2334735.250000000000000,3011191.359999999869615,2710637.799999999813735,2993480.330000000074506,11050044.739999998360872
FS( 185 ),2225608.050000000279397,2946039.520000000018626,2665184.379999999888241,2883516.350000000093132,10720348.300000000745058
FS( 186 ),2324766.899999999906868,2921816.399999999906868,2701399.299999999813735,2946643.819999999832362,10894626.419999999925494
FS( 187 ),2397168.600000000093132,2940192.560000000055879,2663336.679999999701977,2891661.830000000074506,10892359.669999999925494
FS( 188 ),2381953.750000000000000,2984044.760000000242144,2667771.159999999683350,2934425.600000000093132,10968195.269999999552965
FS( 189 ),2505771.149999999906868,3043349.640000000130385,2753504.439999999944121,2911346.740000000223517,11213971.970000000670552
FS( 190 ),2459601.950000000186265,3074255.000000000000000,2773090.060000000055879,2922886.170000000391155,11229833.179999999701977
FS( 191 ),2529905.049999999813735,3053790.640000000130385,2837759.560000000055879,2964292.360000000335276,11385747.609999999403954
FS( 192 ),2471668.899999999906868,3018291.239999999757856,2829999.219999999739230,2914061.900000000372529,11234021.259999999776483
FS( 193 ),2516788.799999999813735,3053790.640000000130385,2865105.520000000018626,2954110.510000000242144,11389795.469999998807907
FS( 194 ),2479014.000000000000000,3061725.800000000279397,2829629.679999999701977,2919492.220000000204891,11289861.700000001117587
FS( 195 ),2556137.549999999813735,3135648.080000000074506,2881365.279999999795109,3013844.030000000260770,11586994.940000001341105
FS( 196 ),2570303.100000000093132,3152353.680000000167638,2874344.020000000018626,2976510.580000000074506,11573511.380000000819564
FS( 197 ),2524133.899999999906868,3126460.000000000000000,2821869.339999999850988,3005698.550000000279397,11478161.790000000968575
FS( 198 ),2447535.000000000000000,3119360.119999999646097,2775307.299999999813735,2994159.120000000111759,11336361.539999999105930
FS( 199 ),2486359.100000000093132,3116019.000000000000000,2779002.700000000186265,2954110.510000000242144,11335491.310000000521541
FS( 200 ),2470619.600000000093132,3094301.720000000204891,2779002.700000000186265,2912704.319999999832362,11256628.339999999850988
FS( 201 ),2524133.899999999906868,3125624.720000000204891,2746852.719999999739230,2933068.020000000018626,11329679.359999999403954
FS( 202 ),2561908.699999999720603,3176576.800000000279397,2762003.859999999869615,2953431.720000000204891,11453921.080000000074506
FS( 203 ),2518362.750000000000000,3188688.359999999869615,2679965.979999999981374,2998910.650000000372529,11385927.740000000223517
FS( 204 ),2486359.100000000093132,3123118.879999999888241,2628230.379999999888241,2954789.300000000279397,11192497.660000000149012
FS( 205 ),2467471.700000000186265,3123536.520000000018626,2674422.879999999888241,2925601.330000000074506,11191032.429999999701977
FS( 206 ),2441763.850000000093132,3118524.839999999850988,2641903.359999999869615,2928316.490000000223517,11130508.539999999105930
FS( 207 ),2489507.000000000000000,3150683.119999999646097,2686987.239999999757856,2941892.290000000502914,11269069.650000000372529
FS( 208 ),2522035.299999999813735,3188270.720000000204891,2664075.760000000242144,2991443.959999999962747,11365825.739999998360872
FS( 209 ),2563482.649999999906868,3225440.680000000167638,2759047.539999999571592,3047783.530000000260770,11595754.399999998509884
FS( 210 ),2502623.250000000000000,3253840.199999999720603,2747222.260000000242144,3089189.720000000204891,11592875.429999999701977
FS( 211 ),2587091.899999999906868,3313562.720000000204891,2776046.379999999888241,3138062.600000000093132,11814763.599999999627471
FS( 212 ),2630113.200000000186265,3308551.040000000037253,2880256.659999999683350,3121771.640000000130385,11940692.540000000968575
FS( 213 ),2505246.500000000000000,3266369.399999999906868,2800805.560000000055879,3064074.490000000223517,11636495.950000001117587
FS( 214 ),2537774.799999999813735,3273051.640000000130385,2791567.060000000055879,3053213.850000000093132,11655607.349999999627471
FS( 215 ),2426024.350000000093132,3204141.040000000037253,2710268.260000000242144,2981262.110000000335276,11321695.760000001639128
FS( 216 ),2476915.399999999906868,3233375.839999999850988,2679596.439999999944121,3013844.030000000260770,11403731.710000000894070
FS( 217 ),2485834.450000000186265,3220429.000000000000000,2718767.679999999701977,2987371.220000000204891,11412402.349999999627471
FS( 218 ),2509443.699999999720603,3258016.600000000093132,2746483.179999999701977,2997553.069999999832362,11511496.550000000745058
FS( 219 ),2533577.600000000093132,3299780.600000000093132,2695117.120000000111759,3025383.459999999962747,11553858.780000001192093
FS( 220 ),2511017.649999999906868,3194117.680000000167638,2680335.520000000018626,2973116.629999999888241,11358587.480000000447035
FS( 221 ),2470094.949999999720603,3141912.680000000167638,2583146.500000000000000,2926280.120000000111759,11121434.250000000000000
FS( 222 ),2504721.850000000093132,3104325.080000000074506,2629339.000000000000000,2878086.030000000260770,11116471.960000000894070
FS( 223 ),2390872.799999999813735,3080937.239999999757856,2548779.279999999795109,2848898.060000000055879,10869487.379999998956919
FS( 224 ),2389298.850000000093132,3069243.319999999832362,2495565.520000000018626,2847540.480000000447035,10801648.169999999925494
FS( 225 ),2352573.350000000093132,3044602.560000000055879,2674422.879999999888241,2846182.900000000372529,10917781.690000001341105
FS( 226 ),2286992.100000000093132,2971515.560000000055879,2516629.299999999813735,2752509.879999999888241,10527646.839999999850988
FS( 227 ),2423401.100000000093132,3090542.959999999962747,2698073.439999999944121,2863831.439999999944121,11075848.939999999478459
FS( 228 ),2432320.149999999906868,3148177.279999999795109,2722463.080000000074506,2908631.580000000074506,11211592.089999999850988
FS( 229 ),2452781.500000000000000,3147759.640000000130385,2710268.260000000242144,2916098.270000000018626,11226907.669999999925494
FS( 230 ),2462225.200000000186265,3191194.199999999720603,2739831.459999999962747,2962934.780000000260770,11356185.640000000596046
