代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13025967.470000000670552
真實報酬,3025967.470000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11678.732133595694904
風險,163304.615783537912648
起點值,0.071515015528257
找到最佳解世代,2867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](9),CAT[3](15),DD[7](1),JNJ[12](7),UNH[23](6),
FS( 21 ),2049632.500000000000000,1920819.800000000046566,1892844.620000000111759,2045329.280000000027940,2090127.010000000009313,9998753.210000000894070
FS( 22 ),2014492.689999999944121,1915247.000000000232831,1889572.700000000186265,2043912.739999999990687,2078662.090000000083819,9941887.220000000670552
FS( 23 ),2042683.949999999953434,1900618.399999999906868,1888754.720000000204891,2048870.630000000121072,2087260.780000000260770,9968188.480000000447035
FS( 24 ),2068691.380000000121072,1907352.200000000186265,1903887.350000000093132,2074604.440000000176951,2107324.390000000596046,10061859.760000001639128
FS( 25 ),2072066.390000000130385,1931965.400000000139698,1927199.780000000027940,2091602.920000000158325,2151591.720000000670552,10174426.210000000894070
FS( 26 ),2078220.820000000065193,1981424.000000000000000,1981595.450000000186265,2098449.530000000260770,2164648.990000000223517,10304338.790000000968575
FS( 27 ),2094500.280000000027940,1972832.600000000093132,1968098.780000000027940,2106948.769999999552965,2155731.830000000074506,10298112.259999999776483
FS( 28 ),2121897.419999999925494,2013235.400000000139698,1991820.200000000186265,2117100.640000000596046,2177069.320000000298023,10421122.980000000447035
FS( 29 ),2022433.890000000130385,2024148.800000000279397,1987321.310000000288710,2124655.519999999552965,2165604.400000000372529,10324163.920000001788139
FS( 30 ),2097676.759999999776483,2029489.400000000372529,2003680.910000000149012,2134335.209999999962747,2153502.540000000037253,10418684.820000000298023
FS( 31 ),2069286.970000000204891,2047368.800000000279397,1978732.520000000251457,2134335.209999999962747,2130891.169999999925494,10360614.670000001788139
FS( 32 ),2080404.650000000139698,2012538.800000000279397,2022903.440000000176951,2127960.780000000260770,2109235.209999999962747,10353042.880000000819564
FS( 33 ),2136787.169999999925494,1990479.800000000046566,2014314.650000000139698,2128905.140000000596046,2246814.250000000000000,10517301.010000001639128
FS( 34 ),2123485.660000000149012,1988854.400000000372529,2019222.530000000027940,2177539.680000000633299,2275476.549999999813735,10584578.820000000298023
FS( 35 ),2121500.360000000335276,1996981.400000000139698,2014723.640000000130385,2178720.129999999888241,2298724.860000000335276,10610650.390000000596046
FS( 36 ),2139963.650000000372529,1985835.800000000046566,2012269.700000000186265,2182025.390000000596046,2314966.830000000074506,10635061.370000001043081
FS( 37 ),2123287.129999999888241,1937538.200000000186265,2002044.950000000186265,2180608.849999999627471,2309871.310000000521541,10553350.440000001341105
FS( 38 ),2118323.879999999888241,1907352.200000000186265,2038036.070000000065193,2185566.740000000223517,2312737.540000000037253,10562016.429999999701977
FS( 39 ),2096485.579999999841675,1905494.600000000093132,2021267.480000000214204,2191705.080000000074506,2299680.269999999552965,10514633.009999999776483
FS( 40 ),2080801.709999999962747,1927785.800000000046566,2038445.060000000288710,2200676.500000000000000,2318151.530000000260770,10565860.600000001490116
FS( 41 ),2099066.469999999739230,1931733.200000000186265,2042125.970000000204891,2199732.140000000596046,2301591.089999999850988,10574248.870000001043081
FS( 42 ),2086559.079999999841675,1925231.600000000093132,2040899.000000000000000,2207523.110000000335276,2320062.349999999627471,10580275.140000000596046
FS( 43 ),2118323.879999999888241,1960758.200000000186265,2061757.489999999990687,2213897.540000000037253,2329934.919999999925494,10684672.030000001192093
FS( 44 ),2142147.480000000447035,1957507.400000000139698,2109609.320000000298023,2228535.120000000111759,2301272.620000000111759,10739071.940000001341105
FS( 45 ),2134206.280000000260770,1940324.600000000093132,2124741.950000000186265,2214605.809999999590218,2335667.379999999888241,10749546.019999999552965
FS( 46 ),2125073.900000000372529,1916408.000000000232831,2100202.549999999813735,2214841.900000000372529,2332482.679999999701977,10689009.030000001192093
FS( 47 ),2112765.040000000037253,1914086.000000000232831,2113699.219999999739230,2211300.549999999813735,2322291.640000000596046,10674142.449999999254942
FS( 48 ),2101250.299999999813735,1949612.600000000093132,2149690.339999999850988,2203745.669999999925494,2330571.860000000335276,10734870.769999999552965
FS( 49 ),2091125.270000000018626,1962383.600000000325963,2215537.730000000447035,2180608.849999999627471,2322610.110000000335276,10772265.559999998658895
FS( 50 ),2069485.500000000000000,2004411.800000000046566,2182818.530000000260770,2172109.610000000335276,2305412.730000000447035,10734238.170000001788139
FS( 51 ),2108992.969999999739230,2010216.800000000046566,2206130.959999999962747,2195954.700000000186265,2335985.849999999627471,10857281.279999999329448
FS( 52 ),2067897.260000000009313,1992801.800000000046566,2198769.139999999664724,2141417.910000000149012,2308597.429999999701977,10709483.539999999105930
FS( 53 ),2039507.470000000204891,1993730.600000000093132,2164004.990000000223517,2114267.559999999590218,2273884.200000000186265,10585394.820000000298023
FS( 54 ),2054198.689999999944121,1977476.600000000093132,2148463.370000000111759,2110017.940000000409782,2274839.610000000335276,10564996.210000000894070
FS( 55 ),2079014.939999999944121,1955185.400000000139698,2133330.740000000223517,2135515.660000000149012,2283756.769999999552965,10586803.509999999776483
FS( 56 ),2077228.169999999925494,1947290.600000000093132,2152144.280000000260770,2118517.180000000633299,2307642.019999999552965,10602822.250000000000000
FS( 57 ),2062934.010000000009313,1925928.200000000186265,2163187.009999999776483,2096560.810000000055879,2288215.349999999627471,10536825.379999998956919
FS( 58 ),2087353.199999999953434,1954488.800000000279397,2166049.940000000409782,2083811.950000000186265,2292036.990000000223517,10583740.880000000819564
FS( 59 ),2094103.220000000204891,1947987.200000000186265,2256436.730000000447035,2087353.300000000046566,2310189.780000000260770,10696070.230000000447035
FS( 60 ),2095095.870000000111759,1940324.600000000093132,2251119.860000000335276,2066577.380000000121072,2305094.259999999776483,10658211.969999998807907
FS( 61 ),2049036.909999999916181,1920355.400000000139698,2187726.410000000149012,2034469.140000000130385,2277705.839999999850988,10469293.700000001117587
FS( 62 ),2050228.089999999850988,1914550.400000000139698,2181182.570000000298023,2042968.380000000121072,2278342.780000000260770,10467272.220000000670552
FS( 63 ),2083184.070000000065193,1916408.000000000232831,2185272.469999999739230,2043912.739999999990687,2307005.080000000074506,10535782.359999999403954
FS( 64 ),2063132.540000000037253,1916640.200000000186265,2178319.639999999664724,2040135.300000000046566,2284712.179999999701977,10482939.859999999403954
FS( 65 ),2084772.310000000055879,1915943.600000000325963,2180773.580000000074506,2040371.390000000130385,2310826.720000000670552,10532687.600000001490116
FS( 66 ),2111772.389999999664724,1939860.200000000186265,2200405.099999999627471,2051703.710000000195578,2335985.849999999627471,10639727.250000000000000
FS( 67 ),2117331.230000000447035,1926160.400000000139698,2237214.200000000186265,2055008.970000000204891,2357960.280000000260770,10693675.080000001937151
FS( 68 ),2105816.490000000223517,1936377.200000000186265,2245802.990000000223517,2057842.050000000046566,2358597.220000000670552,10704435.950000001117587
FS( 69 ),2128051.849999999627471,1987461.200000000186265,2260526.629999999888241,2067285.650000000139698,2364648.150000000372529,10807973.480000000447035
FS( 70 ),2147507.790000000037253,2011145.600000000093132,2328827.959999999962747,2090186.380000000121072,2376750.009999999776483,10954417.740000000223517
FS( 71 ),2168551.969999999739230,2023220.000000000000000,2321057.150000000372529,2106712.680000000633299,2394265.860000000335276,11013807.660000000149012
FS( 72 ),2179868.179999999701977,2016486.200000000186265,2263389.560000000521541,2101518.700000000186265,2380253.179999999701977,10941515.820000000298023
FS( 73 ),2210243.269999999552965,2020433.600000000325963,2322284.120000000111759,2091130.739999999990687,2371972.959999999962747,11016064.690000001341105
FS( 74 ),2296405.290000000037253,2024381.000000000232831,2318194.219999999739230,2101990.879999999888241,2392355.040000000037253,11133326.429999999701977
FS( 75 ),2324993.610000000335276,2021826.800000000046566,2312877.349999999627471,2102699.150000000372529,2366558.970000000670552,11128955.880000000819564
FS( 76 ),2350603.980000000447035,2039706.200000000186265,2379951.709999999962747,2122766.799999999813735,2326113.280000000260770,11219141.970000002533197
FS( 77 ),2363309.900000000372529,2037616.400000000139698,2365228.070000000298023,2126544.240000000223517,2256049.879999999888241,11148748.490000002086163
FS( 78 ),2315464.169999999925494,1967956.400000000139698,2312468.360000000335276,2117336.730000000447035,2247451.189999999478459,10960676.849999999627471
FS( 79 ),2332934.810000000521541,1974458.000000000232831,2285475.020000000484288,2103407.419999999925494,2287259.939999999478459,10983535.189999999478459
FS( 80 ),2362515.780000000260770,1976315.600000000093132,2278113.200000000186265,2082867.590000000083819,2303183.439999999478459,11002995.610000001266599
FS( 81 ),2352787.810000000521541,1962151.400000000139698,2321466.139999999664724,2055953.330000000074506,2292355.459999999962747,10984714.140000000596046
FS( 82 ),2370059.919999999925494,1955185.400000000139698,2329236.950000000186265,2055717.239999999990687,2298087.919999999925494,11008287.429999999701977
FS( 83 ),2357354.000000000000000,1945897.400000000139698,2272796.330000000074506,2047690.180000000167638,2292673.929999999701977,10916411.839999999850988
FS( 84 ),2332736.280000000260770,1936609.400000000372529,2236805.209999999962747,2046745.820000000065193,2280572.070000000298023,10833468.780000001192093
FS( 85 ),2337699.530000000260770,1944968.600000000325963,2231488.339999999850988,2065160.840000000083819,2311463.660000000149012,10890780.970000000670552
FS( 86 ),2339486.299999999813735,1952166.800000000046566,2253982.790000000037253,2060911.220000000204891,2311145.189999999478459,10917692.299999998882413
FS( 87 ),2287868.500000000000000,1949844.800000000046566,2258072.690000000409782,2044148.830000000074506,2309552.839999999850988,10849487.660000000149012
FS( 88 ),2326780.379999999888241,1955185.400000000139698,2329236.950000000186265,2061383.400000000139698,2324520.929999999701977,10997107.060000000521541
FS( 89 ),2316655.349999999627471,1939628.000000000232831,2292018.860000000335276,2044384.920000000158325,2298406.390000000596046,10891093.520000001415610
FS( 90 ),2291839.099999999627471,1923838.399999999906868,2243758.040000000037253,2021248.100000000093132,2276431.959999999962747,10757115.600000001490116
FS( 91 ),2272581.690000000409782,1939395.800000000046566,2267070.469999999739230,2029511.250000000000000,2273247.259999999776483,10781806.470000000670552
FS( 92 ),2360530.480000000447035,1967492.000000000232831,2352958.370000000111759,2072479.630000000121072,2356049.459999999962747,11109509.940000001341105
FS( 93 ),2342265.719999999739230,1987925.600000000093132,2392221.410000000149012,2111906.660000000149012,2365285.089999999850988,11199604.480000000447035
FS( 94 ),2371648.160000000149012,2002554.199999999953434,2377497.770000000484288,2120169.809999999590218,2379616.240000000223517,11251486.180000001564622
FS( 95 ),2346236.320000000298023,1991176.400000000139698,2355003.320000000298023,2123238.980000000447035,2352546.290000000037253,11168201.310000002384186
FS( 96 ),2389118.799999999813735,2003250.800000000046566,2395493.330000000074506,2151097.599999999627471,2394584.330000000074506,11333544.859999999403954
FS( 97 ),2427832.150000000372529,1993498.399999999906868,2410625.959999999962747,2171401.339999999850988,2272928.790000000037253,11276286.640000000596046
FS( 98 ),2432398.339999999850988,2028096.200000000186265,2406127.070000000298023,2163374.280000000260770,2189808.120000000111759,11219804.010000001639128
FS( 99 ),2411552.690000000409782,2036455.400000000139698,2408990.000000000000000,2153222.410000000149012,2171973.799999999813735,11182194.300000000745058
FS( 100 ),2431604.219999999739230,2070588.800000000279397,2420032.730000000447035,2180608.849999999627471,2192992.820000000298023,11295827.419999999925494
FS( 101 ),2561442.839999999850988,1944968.600000000325963,2390176.459999999962747,2174470.509999999776483,2165922.870000000111759,11236981.280000001192093
FS( 102 ),2560648.719999999739230,1962848.000000000232831,2366046.049999999813735,2180372.759999999776483,2153184.070000000298023,11223099.599999999627471
FS( 103 ),2604523.849999999627471,1968420.800000000046566,2301834.620000000111759,2174234.419999999925494,2153502.540000000037253,11202516.230000000447035
FS( 104 ),2578516.419999999925494,1957043.000000000232831,2278113.200000000186265,2181317.120000000111759,2131846.580000000074506,11126836.320000000298023
FS( 105 ),2574148.759999999776483,1952166.800000000046566,2298153.709999999962747,2199023.870000000111759,2168152.160000000149012,11191645.300000000745058
FS( 106 ),2574545.820000000298023,1938699.199999999953434,2286701.990000000223517,2190760.720000000670552,2165922.870000000111759,11156630.600000001490116
FS( 107 ),2590825.280000000260770,1935680.600000000093132,2298971.690000000409782,2186511.099999999627471,2173884.620000000111759,11185873.290000002831221
FS( 108 ),2641053.370000000111759,1941021.200000000186265,2268706.429999999701977,2204453.940000000409782,2185668.009999999776483,11240902.950000001117587
FS( 109 ),2636288.649999999441206,1947987.200000000186265,2236805.209999999962747,2196426.879999999888241,2195859.049999999813735,11213366.989999998360872
FS( 110 ),2651773.990000000223517,1951702.400000000139698,2255209.759999999776483,2191232.900000000372529,2188534.240000000223517,11238453.290000000968575
FS( 111 ),2642244.549999999813735,1955649.800000000046566,2286701.990000000223517,2196662.970000000670552,2238534.030000000260770,11319793.339999999850988
FS( 112 ),2610876.809999999590218,1942414.400000000372529,2252346.830000000074506,2188399.820000000298023,2221655.120000000111759,11215692.980000000447035
FS( 113 ),2650185.750000000000000,1956114.199999999953434,2310423.410000000149012,2220508.059999999590218,2245221.900000000372529,11382453.320000000298023
FS( 114 ),2631126.870000000111759,1954024.400000000372529,2310014.419999999925494,2226174.220000000670552,2245221.900000000372529,11366561.810000000521541
FS( 115 ),2627156.270000000484288,1947058.399999999906868,2291200.879999999888241,2208939.650000000372529,2227706.049999999813735,11302061.250000000000000
FS( 116 ),2643832.790000000037253,1955185.400000000139698,2306333.509999999776483,2203745.669999999925494,2261463.870000000111759,11370561.240000002086163
FS( 117 ),2681950.549999999813735,1944968.600000000325963,2335780.790000000037253,2217438.890000000596046,2275158.080000000074506,11455296.910000002011657
FS( 118 ),2701605.020000000484288,1944504.199999999953434,2343142.610000000335276,2228535.120000000111759,2288852.290000000037253,11506639.240000002086163
FS( 119 ),2746869.860000000335276,1951470.200000000186265,2322284.120000000111759,2226410.309999999590218,2282801.360000000335276,11529835.850000001490116
FS( 120 ),2719472.719999999739230,1942878.800000000279397,2312468.360000000335276,2239631.349999999627471,2280572.070000000298023,11495023.300000000745058
FS( 121 ),2629538.629999999888241,1919891.000000000232831,2286701.990000000223517,2246477.959999999962747,2292355.459999999962747,11374965.039999999105930
FS( 122 ),2639068.070000000298023,1906887.800000000279397,2308378.459999999962747,2247658.410000000149012,2321973.169999999925494,11423965.910000002011657
FS( 123 ),2699421.190000000409782,1924535.000000000000000,2310014.419999999925494,2248838.860000000335276,2348406.179999999701977,11531215.650000000372529
FS( 124 ),2640457.780000000260770,1959829.400000000372529,2271978.349999999627471,2257810.280000000260770,2358915.689999999478459,11488991.500000000000000
FS( 125 ),2675796.120000000111759,1958900.600000000093132,2259299.660000000149012,2244353.150000000372529,2373246.839999999850988,11511596.370000001043081
FS( 126 ),2674604.940000000409782,1966098.800000000279397,2277295.219999999739230,2242464.430000000633299,2368151.320000000298023,11528614.710000000894070
FS( 127 ),2665274.030000000260770,1964473.399999999906868,2275250.270000000484288,2234909.549999999813735,2371972.959999999962747,11511880.210000000894070
FS( 128 ),2663487.259999999776483,1956346.400000000139698,2328827.959999999962747,2225938.129999999888241,2361781.919999999925494,11536381.669999999925494
FS( 129 ),2620604.780000000260770,1947522.800000000279397,2255209.759999999776483,2218619.339999999850988,2348087.709999999962747,11390044.390000000596046
FS( 130 ),2610678.280000000260770,1949844.800000000046566,2265025.520000000484288,2210592.280000000260770,2345539.950000000186265,11381680.830000001937151
FS( 131 ),2635097.469999999739230,1960061.600000000093132,2248665.919999999925494,2195010.339999999850988,2316877.650000000372529,11355712.980000000447035
FS( 132 ),2683737.320000000298023,1985371.400000000139698,2287110.980000000447035,2229715.570000000298023,2340762.900000000372529,11526698.170000001788139
FS( 133 ),2673810.820000000298023,1999071.200000000186265,2376270.799999999813735,2229715.570000000298023,2347769.240000000223517,11626637.630000000819564
FS( 134 ),2654354.879999999888241,2006733.800000000279397,2433529.400000000372529,2222632.870000000111759,2358278.750000000000000,11675529.699999999254942
FS( 135 ),2631722.459999999962747,1980263.000000000232831,2390994.440000000409782,2198315.599999999627471,2297450.980000000447035,11498746.480000000447035
FS( 136 ),2639663.660000000149012,1986996.800000000046566,2374225.849999999627471,2152278.049999999813735,2261463.870000000111759,11414628.230000000447035
FS( 137 ),2656935.770000000484288,1998142.400000000139698,2418396.770000000484288,2156763.759999999776483,2244584.959999999962747,11474823.660000000149012
FS( 138 ),2674604.940000000409782,2029025.000000000000000,2422895.660000000149012,2157235.940000000409782,2263056.220000000670552,11546817.760000001639128
FS( 139 ),2697634.419999999925494,2018343.800000000279397,2458068.799999999813735,2140473.549999999813735,2252546.709999999962747,11567067.280000001192093
FS( 140 ),2689891.750000000000000,2047368.800000000279397,2534140.940000000409782,2187219.370000000111759,2305094.259999999776483,11763715.120000001043081
FS( 141 ),2683538.790000000037253,2032740.200000000186265,2557044.379999999888241,2171637.430000000633299,2305412.730000000447035,11750373.530000001192093
FS( 142 ),2713318.290000000037253,2065016.000000000232831,2550091.549999999813735,2174234.419999999925494,2335985.849999999627471,11838646.109999999403954
FS( 143 ),2707957.980000000447035,2088932.600000000093132,2555817.410000000149012,2172817.879999999888241,2367832.849999999627471,11893358.720000000670552
FS( 144 ),2716494.770000000484288,2110991.599999999627471,2587309.639999999664724,2173526.150000000372529,2360826.509999999776483,11949148.669999999925494
FS( 145 ),2745083.089999999850988,2116564.400000000372529,2612667.020000000484288,2184858.470000000670552,2383756.349999999627471,12042929.330000000074506
FS( 146 ),2717884.480000000447035,2110062.799999999813735,2597534.389999999664724,2180372.759999999776483,2378660.830000000074506,11984515.259999999776483
FS( 147 ),2698428.540000000037253,2110062.799999999813735,2597534.389999999664724,2179192.309999999590218,2381527.060000000521541,11966745.099999999627471
FS( 148 ),2709744.750000000000000,2108669.600000000558794,2586082.669999999925494,2162429.919999999925494,2398087.500000000000000,11965014.440000001341105
FS( 149 ),2713318.290000000037253,2086842.800000000279397,2554999.429999999701977,2149208.879999999888241,2374839.189999999478459,11879208.589999997988343
FS( 150 ),2732178.639999999664724,2085681.800000000046566,2543547.709999999962747,2168568.259999999776483,2391718.099999999627471,11921694.509999999776483
FS( 151 ),2747862.509999999776483,2058282.200000000186265,2539048.820000000298023,2179900.580000000074506,2364329.679999999701977,11889423.789999999105930
FS( 152 ),2789553.809999999590218,2065016.000000000232831,2510828.509999999776483,2226174.220000000670552,2436622.370000000111759,12028194.910000000149012
FS( 153 ),2795708.240000000223517,2069892.200000000186265,2513691.440000000409782,2223105.049999999813735,2408278.540000000037253,12010675.469999998807907
FS( 154 ),2821715.669999999925494,2083127.600000000093132,2481381.230000000447035,2236562.180000000633299,2422928.160000000149012,12045714.839999999850988
FS( 155 ),2817149.480000000447035,2101703.600000000558794,2487516.080000000074506,2236798.269999999552965,2378979.299999999813735,12022146.730000000447035
FS( 156 ),2793325.879999999888241,2087307.200000000186265,2440073.240000000223517,2231132.110000000335276,2354775.580000000074506,11906614.009999999776483
FS( 157 ),2779627.309999999590218,2102864.600000000558794,2484244.160000000149012,2236326.089999999850988,2357323.339999999850988,11960385.500000000000000
FS( 158 ),2791737.639999999664724,2145821.599999999627471,2507556.589999999850988,2238214.809999999590218,2383437.879999999888241,12066768.519999999552965
FS( 159 ),2783597.910000000149012,2136533.600000000558794,2509601.540000000037253,2234437.370000000111759,2317196.120000000111759,11981366.540000002831221
FS( 160 ),2788561.160000000149012,2123298.200000000186265,2508783.560000000521541,2244353.150000000372529,2309552.839999999850988,11974548.910000000149012
FS( 161 ),2812583.290000000037253,2103793.400000000372529,2675242.490000000223517,2220035.879999999888241,2329934.919999999925494,12141589.980000000447035
FS( 162 ),2866186.389999999664724,2081502.200000000186265,2660518.849999999627471,2226882.490000000223517,2337578.200000000186265,12172668.129999998956919
FS( 163 ),2805436.209999999962747,2054567.000000000232831,2604896.209999999962747,2189580.269999999552965,2331208.799999999813735,11985688.489999998360872
FS( 164 ),2712921.230000000447035,2000928.800000000279397,2528415.080000000074506,2139293.099999999627471,2280253.599999999627471,11661811.810000000521541
FS( 165 ),2727016.860000000335276,2119815.200000000186265,2510419.520000000484288,2123475.070000000298023,2281845.950000000186265,11762572.600000001490116
FS( 166 ),2721656.549999999813735,2147214.799999999813735,2507965.580000000074506,2127252.509999999776483,2283756.769999999552965,11787846.209999999031425
FS( 167 ),2576531.120000000111759,2104257.799999999813735,2605305.200000000186265,2098921.709999999962747,2269425.620000000111759,11654441.449999999254942
FS( 168 ),2512008.870000000111759,2164165.400000000372529,2639251.370000000111759,2113087.110000000335276,2318470.000000000000000,11746982.750000000000000
FS( 169 ),2486795.560000000521541,2180651.599999999627471,2650703.089999999850988,2088769.840000000083819,2301909.560000000521541,11708829.650000000372529
FS( 170 ),2443516.019999999552965,2146053.799999999813735,2602851.259999999776483,2048870.630000000121072,2252865.179999999701977,11494156.889999998733401
FS( 171 ),2422868.900000000372529,2147911.400000000372529,2618801.870000000111759,2045093.190000000176951,2245540.370000000111759,11480215.730000000447035
FS( 172 ),2410162.980000000447035,2135372.599999999627471,2612258.030000000260770,2060675.130000000121072,2255412.939999999478459,11473881.679999999701977
FS( 173 ),2435376.290000000037253,2178794.000000000000000,2655201.980000000447035,2095380.360000000102445,2257005.290000000037253,11621757.920000001788139
FS( 174 ),2521736.839999999850988,2202942.799999999813735,2656019.959999999962747,2125835.970000000670552,2272610.320000000298023,11779145.890000000596046
FS( 175 ),2524516.259999999776483,2194351.400000000372529,2669925.620000000111759,2150153.240000000223517,2221018.179999999701977,11759964.699999999254942
FS( 176 ),2584075.259999999776483,2205032.599999999627471,2728002.200000000186265,2195010.339999999850988,2249043.540000000037253,11961163.939999997615814
FS( 177 ),2543773.669999999925494,2233128.799999999813735,2701008.860000000335276,2182025.390000000596046,2236941.679999999701977,11896878.400000000372529
FS( 178 ),2570972.280000000260770,2231735.600000000558794,2696918.959999999962747,2185330.650000000372529,2267833.269999999552965,11952790.760000001639128
FS( 179 ),2584075.259999999776483,2241952.400000000372529,2720640.379999999888241,2190052.450000000186265,2341399.839999999850988,12078120.330000000074506
FS( 180 ),2593406.169999999925494,2242184.600000000558794,2724730.280000000260770,2176123.140000000596046,2351272.410000000149012,12087716.600000001490116
FS( 181 ),2548935.450000000186265,2234057.599999999627471,2704689.769999999552965,2163610.370000000111759,2342355.250000000000000,11993648.439999999478459
FS( 182 ),2572163.459999999962747,2250543.799999999813735,2745588.769999999552965,2181081.030000000260770,2340125.959999999962747,12089503.019999999552965
FS( 183 ),2546751.620000000111759,2264011.400000000372529,2735364.019999999552965,2160777.290000000037253,2350635.470000000670552,12057539.800000000745058
FS( 184 ),2572759.049999999813735,2259831.799999999813735,2734546.040000000037253,2151097.599999999627471,2420698.870000000111759,12138933.359999999403954
FS( 185 ),2516972.120000000111759,2238701.599999999627471,2750496.650000000372529,2151097.599999999627471,2398724.439999999478459,12055992.409999998286366
FS( 186 ),2513597.110000000335276,2257045.400000000372529,2785669.790000000037253,2151097.599999999627471,2422291.220000000670552,12129701.120000001043081
FS( 187 ),2552310.459999999962747,2245435.400000000372529,2825341.820000000298023,2156999.849999999627471,2421017.339999999850988,12201104.870000001043081
FS( 188 ),2559457.540000000037253,2251704.799999999813735,2837202.530000000260770,2174942.690000000409782,2460826.089999999850988,12284133.650000000372529
FS( 189 ),2545560.440000000409782,2236379.600000000558794,2821251.919999999925494,2161721.650000000372529,2455412.099999999627471,12220325.710000000894070
FS( 190 ),2585464.969999999739230,2252865.799999999813735,2880964.459999999962747,2203745.669999999925494,2488214.509999999776483,12411255.409999998286366
FS( 191 ),2556876.649999999441206,2237772.799999999813735,2907139.820000000298023,2186038.919999999925494,2483755.929999999701977,12371584.119999999180436
FS( 192 ),2558266.360000000335276,2266333.400000000372529,2899369.009999999776483,2193121.620000000111759,2472609.480000000447035,12389699.870000001043081
FS( 193 ),2551913.399999999441206,2253562.400000000372529,2883827.390000000596046,2203273.490000000223517,2464966.200000000186265,12357542.879999998956919
FS( 194 ),2519155.950000000186265,2246596.400000000372529,2902231.939999999478459,2206342.660000000149012,2480252.759999999776483,12354579.709999999031425
FS( 195 ),2494935.290000000037253,2248686.200000000186265,2869103.750000000000000,2207287.019999999552965,2477068.060000000521541,12297080.320000000298023
