代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13492514.230000000447035
真實報酬,3492514.230000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14724.475616865414850
風險,233519.755655290035065
起點值,0.063054517916681
找到最佳解世代,3145
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,3
MCD[15](4),MSFT[18](3),V[25](1),
FS( 85 ),3955295.319999999832362,3515550.950000000186265,3536724.510000000242144,11007571.779999999329448
FS( 86 ),3956070.189999999944121,3538135.710000000428408,3512752.030000000260770,11006958.929999999701977
FS( 87 ),3939023.049999999813735,3499125.670000000391155,3496645.520000000018626,10934795.240000000223517
FS( 88 ),3953745.579999999608845,3545835.060000000055879,3521367.140000000596046,11020948.780000001192093
FS( 89 ),3954262.159999999683350,3519657.270000000018626,3492899.820000000298023,10966820.250000000000000
FS( 90 ),4036398.379999999888241,3565340.080000000074506,3517996.010000000242144,11119735.470000000670552
FS( 91 ),4017026.629999999888241,3592031.160000000614673,3561820.700000000651926,11170879.490000002086163
FS( 92 ),4001270.939999999944121,3592544.450000000186265,3573806.939999999944121,11167623.330000000074506
FS( 93 ),4044405.370000000111759,3652086.090000000316650,3602648.830000000540167,11299141.290000000968575
FS( 94 ),4004628.709999999497086,3683910.069999999832362,3593659.150000000372529,11282198.929999999701977
FS( 95 ),4010827.669999999925494,3735752.360000000335276,3630741.580000000540167,11377322.610000001266599
FS( 96 ),4010311.089999999385327,3765009.890000000130385,3626995.880000000353903,11402317.859999999403954
FS( 97 ),3976733.390000000130385,3762443.439999999944121,3655088.630000000353903,11394266.460000000894070
FS( 98 ),3974925.359999999403954,3791187.680000000167638,3680184.820000000298023,11446298.859999999403954
FS( 99 ),3983190.640000000130385,3809666.120000000111759,3674940.840000000316650,11467798.599999999627471
FS( 100 ),3975700.229999999515712,3787594.650000000372529,3730751.770000000018626,11494047.650000000372529
FS( 101 ),3922234.199999999720603,3777842.140000000130385,3759593.660000000614673,11459671.000000000000000
FS( 102 ),4108719.579999999608845,3808126.250000000000000,3745360.000000000000000,11662206.830000000074506
FS( 103 ),4042597.339999999385327,3800940.189999999944121,3777573.020000000018626,11621111.549999998882413
FS( 104 ),4053962.099999999627471,3755257.379999999888241,3729628.060000000055879,11538848.539999999105930
FS( 105 ),4025550.199999999720603,3749097.900000000372529,3713896.120000000577420,11488545.220000000670552
FS( 106 ),4007211.609999999403954,3731646.040000000502914,3729253.490000000223517,11468112.140000000596046
FS( 107 ),3978799.709999999497086,3725486.560000000055879,3778322.160000000614673,11482609.429999999701977
FS( 108 ),4044663.659999999683350,3709061.280000000260770,3793679.530000000260770,11547405.469999998807907
FS( 109 ),3996363.429999999701977,3703415.090000000316650,3767834.200000000651926,11467613.720000000670552
FS( 110 ),3973117.329999999608845,3730619.460000000428408,3779071.300000000279397,11482809.089999999850988
FS( 111 ),4002820.679999999701977,3716247.340000000316650,3801545.500000000000000,11520614.519999999552965
FS( 112 ),4001529.229999999515712,3736265.650000000372529,3793679.530000000260770,11531475.410000000149012
FS( 113 ),4001529.229999999515712,3719840.370000000111759,3782067.860000000335276,11503438.460000000894070
FS( 114 ),4045438.529999999795109,3665431.629999999888241,3726631.500000000000000,11437502.660000000149012
FS( 115 ),4063002.250000000000000,3721380.240000000223517,3749105.700000000651926,11533489.190000001341105
FS( 116 ),4061969.089999999385327,3777328.850000000558794,3815779.160000000614673,11655078.099999999627471
FS( 117 ),4071267.529999999795109,3758337.120000000111759,3844246.479999999981374,11673852.130000000819564
FS( 118 ),4104328.649999999906868,3780408.590000000316650,3870091.810000000055879,11754830.050000000745058
FS( 119 ),4078241.359999999403954,3716247.340000000316650,3826641.689999999944121,11621131.389999998733401
FS( 120 ),4074883.589999999385327,3720866.950000000186265,3839751.640000000596046,11635503.179999999701977
FS( 121 ),4090380.990000000223517,3703415.090000000316650,3866346.110000000335276,11660143.190000001341105
FS( 122 ),4123442.109999999403954,3755257.379999999888241,3898184.560000000055879,11776885.049999998882413
FS( 123 ),4102004.040000000037253,3732672.620000000111759,3864847.830000000540167,11699525.490000000223517
FS( 124 ),4091672.439999999944121,3731132.750000000000000,3866346.110000000335276,11689152.300000000745058
FS( 125 ),4102262.329999999608845,3737805.520000000018626,3871215.520000000018626,11711284.369999999180436
FS( 126 ),4124216.979999999515712,3738318.810000000055879,3887322.030000000260770,11749858.820000000298023
FS( 127 ),4116726.569999999832362,3749611.189999999944121,3886947.459999999962747,11753286.219999998807907
FS( 128 ),4120600.919999999925494,3798887.030000000260770,3885449.180000000633299,11804938.130000000819564
FS( 129 ),4131965.679999999701977,3837897.069999999832362,3877583.209999999962747,11847446.960000000894070
FS( 130 ),4127833.040000000037253,3795294.000000000000000,3891816.870000000577420,11814944.910000000149012
FS( 131 ),4109494.449999999720603,3778355.430000000167638,3858480.140000000596046,11746331.019999999552965
FS( 132 ),4086764.929999999701977,3767576.340000000316650,3864847.830000000540167,11719190.099999999627471
FS( 133 ),4130157.649999999906868,3815825.600000000558794,3916538.490000000223517,11862522.740000000223517
FS( 134 ),4125250.140000000130385,3797347.160000000614673,3911669.080000000540167,11834267.380000000819564
FS( 135 ),4172258.919999999925494,3837383.780000000260770,3976095.120000000577420,11985738.820000000298023
FS( 136 ),4037948.120000000111759,3833277.460000000428408,3978342.540000000037253,11849569.120000001043081
FS( 137 ),4055253.549999999813735,3860481.830000000074506,3964108.880000000353903,11879845.259999999776483
FS( 138 ),4055253.549999999813735,3837897.069999999832362,3973473.130000000353903,11866624.750000000000000
FS( 139 ),4053187.229999999515712,3865614.730000000447035,3944256.670000000391155,11863059.630000000819564
FS( 140 ),4046988.270000000018626,3857915.379999999888241,3926651.880000000353903,11831556.530000001192093
FS( 141 ),4066360.020000000018626,3872287.500000000000000,3948376.939999999944121,11887025.459999999031425
FS( 142 ),4129641.069999999832362,3846623.000000000000000,3948376.939999999944121,11924642.009999999776483
FS( 143 ),4107686.419999999925494,3809152.830000000074506,3944631.240000000223517,11861471.490000000223517
FS( 144 ),4104586.939999999944121,3819418.629999999888241,3953995.490000000223517,11878002.060000000521541
FS( 145 ),4036140.089999999385327,3760390.280000000260770,3858854.709999999962747,11655386.079999998211861
FS( 146 ),3960977.699999999720603,3760390.280000000260770,3855858.150000000372529,11577227.130000000819564
FS( 147 ),3979058.000000000000000,3790674.390000000130385,3891442.300000000279397,11661175.690000001341105
FS( 148 ),4067909.760000000242144,3791700.970000000670552,3917287.630000000353903,11776899.360000001266599
FS( 149 ),4046988.270000000018626,3823524.950000000186265,3917287.630000000353903,11787801.850000001490116
FS( 150 ),4054220.390000000130385,3829684.430000000167638,3949500.650000000372529,11833406.470000000670552
FS( 151 ),4051637.490000000223517,3811719.280000000260770,3955119.200000000651926,11818476.970000000670552
FS( 152 ),4060677.640000000130385,3833790.750000000000000,3944631.240000000223517,11839100.630000000819564
FS( 153 ),4101745.750000000000000,3899491.870000000111759,3979466.250000000000000,11980704.870000001043081
FS( 154 ),4122408.949999999720603,3901031.740000000223517,3997820.180000000633299,12021261.870000001043081
FS( 155 ),4135840.029999999795109,3915917.150000000372529,4008308.140000000596046,12060066.320000000298023
FS( 156 ),4147721.370000000111759,3915917.150000000372529,4019545.240000000223517,12083184.760000001639128
FS( 157 ),4214101.900000000372529,3922589.920000000391155,4061871.650000000372529,12198564.470000000670552
FS( 158 ),4233731.939999999478459,3958520.220000000670552,4049510.840000000316650,12241764.000000000000000
FS( 159 ),4271442.280000000260770,3977511.950000000186265,4070112.189999999944121,12319067.419999999925494
FS( 160 ),4262143.839999999850988,3985724.590000000316650,4056627.670000000391155,12304497.099999999627471
FS( 161 ),4272217.150000000372529,3982644.850000000558794,4028160.350000000558794,12283023.350000001490116
FS( 162 ),4281773.879999999888241,3983671.430000000167638,4037899.170000000391155,12303345.480000000447035
FS( 163 ),4300629.049999999813735,3999070.129999999888241,4008682.709999999962747,12308382.890000000596046
FS( 164 ),4295463.250000000000000,4045266.230000000447035,4028534.920000000391155,12369265.400000000372529
FS( 165 ),4219009.410000000149012,4046292.810000000055879,4027785.780000000260770,12293089.000000000000000
FS( 166 ),4232957.069999999366701,4047832.680000000167638,4060747.939999999944121,12341538.689999999478459
FS( 167 ),4225208.370000000111759,4036027.009999999776483,4101201.500000000000000,12362437.879999998956919
FS( 168 ),4236314.839999999850988,4042699.780000000260770,4112813.170000000391155,12391828.790000000968575
FS( 169 ),4271958.859999999403954,4301911.230000000447035,4109442.040000000037253,12683313.129999998956919
FS( 170 ),4293655.219999999739230,4306017.549999999813735,4121802.850000000558794,12721476.620000001043081
FS( 171 ),4311218.939999999478459,4269573.960000000894070,4119555.430000000633299,12700349.330000001937151
FS( 172 ),4297271.280000000260770,4269573.960000000894070,4160383.560000000055879,12727229.800000002607703
FS( 173 ),4341955.449999999254942,4314230.190000000409782,4157012.430000000633299,12813199.070000000298023
FS( 174 ),4356161.400000000372529,4318849.799999999813735,4171246.090000000316650,12846258.289999999105930
FS( 175 ),4392838.580000000074506,4335788.370000000111759,4192222.010000000242144,12920849.959999999031425
FS( 176 ),4410918.879999999888241,4325522.570000000298023,4198589.700000000186265,12935032.149999998509884
FS( 177 ),4393613.449999999254942,4340407.980000000447035,4212823.360000000335276,12946845.789999999105930
FS( 178 ),4313543.549999999813735,4316283.350000000558794,4200462.550000000745058,12830290.450000001117587
FS( 179 ),4277124.660000000149012,4304990.970000000670552,4190723.729999999981374,12772840.360000001266599
FS( 180 ),4323100.280000000260770,4308070.710000000894070,4172744.370000000577420,12803916.360000003129244
FS( 181 ),4342213.740000000223517,4314230.190000000409782,4194469.430000000633299,12850914.359999999403954
FS( 182 ),4321808.830000000074506,4259308.160000000149012,4129668.820000000298023,12710786.810000000521541
FS( 183 ),4341697.160000000149012,4270600.540000000037253,4158510.709999999962747,12770809.410000000149012
FS( 184 ),4306311.429999999701977,4229537.340000000782311,4113562.310000000055879,12649412.080000000074506
FS( 185 ),4311735.519999999552965,4236210.110000000335276,4118431.720000000204891,12666378.349999999627471
FS( 186 ),4347121.250000000000000,4297291.620000000111759,4174617.220000000204891,12819031.090000001713634
FS( 187 ),4366493.000000000000000,4265980.930000000633299,4151019.310000000055879,12783494.240000000223517
FS( 188 ),4368042.740000000223517,4273680.280000000260770,4194094.860000000335276,12835818.879999998956919
FS( 189 ),4364168.389999999664724,4304990.970000000670552,4209452.230000000447035,12878612.589999999850988
FS( 190 ),4425641.410000000149012,4356833.259999999776483,4246160.089999999850988,13028635.759999999776483
FS( 191 ),4402137.019999999552965,4277786.600000000558794,4115060.590000000316650,12794985.210000000894070
FS( 192 ),4441913.679999999701977,4320389.669999999925494,4217318.200000000186265,12979622.550000000745058
FS( 193 ),4465159.780000000260770,4325009.280000000260770,4147648.180000000633299,12937818.240000002086163
FS( 194 ),4407819.400000000372529,4161783.060000000055879,4024040.080000000540167,12593643.540000000968575
FS( 195 ),4468259.259999999776483,4187960.850000000558794,4067115.630000000353903,12723336.740000000223517
FS( 196 ),4480915.469999999739230,4249042.360000000335276,4110565.750000000000000,12840524.580000000074506
FS( 197 ),4466192.939999999478459,4234156.950000000186265,4172744.370000000577420,12873095.260000001639128
FS( 198 ),4472391.900000000372529,4319876.379999999888241,4217692.770000000484288,13009962.050000000745058
FS( 199 ),4474974.799999999813735,4374798.410000000149012,4209077.660000000149012,13058851.870000001043081
FS( 200 ),4448629.219999999739230,4392763.560000000521541,4249905.790000000037253,13091299.570000000298023
FS( 201 ),4482723.500000000000000,4380957.889999999664724,4244287.240000000223517,13107969.630000000819564
FS( 202 ),4472133.609999999403954,4347080.750000000000000,4229679.010000000707805,13048894.370000001043081
FS( 203 ),4495896.290000000037253,4457951.389999999664724,4263390.309999999590218,13217238.989999998360872
FS( 204 ),4499512.349999999627471,4433826.759999999776483,4253276.919999999925494,13186617.029999999329448
FS( 205 ),4478590.859999999403954,4405595.810000000521541,4200462.550000000745058,13084650.220000000670552
FS( 206 ),4447079.479999999515712,4389683.820000000298023,4199713.410000000149012,13036477.710000000894070
FS( 207 ),4438814.199999999254942,4388657.240000000223517,4210575.940000000409782,13038048.379999998956919
FS( 208 ),4427707.729999999515712,4389170.530000000260770,4221063.900000000372529,13037943.160000000149012
FS( 209 ),4424349.959999999962747,4383524.340000000782311,4232301.000000000000000,13040176.300000000745058
FS( 210 ),4459993.979999999515712,4399436.330000000074506,4270881.709999999962747,13130313.019999999552965
FS( 211 ),4471100.449999999254942,4399949.620000000111759,4283242.520000000484288,13154293.589999999850988
FS( 212 ),4445788.030000000260770,4390710.400000000372529,4270881.709999999962747,13107381.140000000596046
FS( 213 ),4474199.929999999701977,4411755.290000000037253,4289235.640000000596046,13175191.859999999403954
FS( 214 ),4455344.759999999776483,4432286.889999999664724,4331936.620000000111759,13219569.269999999552965
FS( 215 ),4486597.849999999627471,4471296.930000000633299,4348043.129999999888241,13305938.910000000149012
FS( 216 ),4495638.000000000000000,4526732.250000000000000,4452173.589999999850988,13474544.839999999850988
FS( 217 ),4492538.519999999552965,4531351.860000000335276,4470152.950000000186265,13494044.329999998211861
FS( 218 ),4482465.209999999962747,4528272.120000000111759,4461537.839999999850988,13472276.169999999925494
FS( 219 ),4481690.339999999850988,4507740.519999999552965,4456668.430000000633299,13446100.289999999105930
FS( 220 ),4478590.859999999403954,4521086.060000000521541,4488881.450000000186265,13488559.370000001043081
FS( 221 ),4483240.080000000074506,4599106.139999999664724,4498245.700000000186265,13580592.919999998062849
FS( 222 ),4486081.269999999552965,4534944.889999999664724,4509482.800000000745058,13530509.960000000894070
FS( 223 ),4519658.969999999739230,4626823.799999999813735,4569039.430000000633299,13715523.199999999254942
FS( 224 ),4509069.080000000074506,4624770.639999999664724,4611365.839999999850988,13745206.559999998658895
FS( 225 ),4549104.030000000260770,4619637.740000000223517,4596008.470000000670552,13764751.240000000223517
FS( 226 ),4551428.639999999664724,4702277.430000000633299,4657063.379999999888241,13910770.449999999254942
FS( 227 ),4566926.040000000037253,4717162.840000000782311,4669049.620000000111759,13953139.500000000000000
FS( 228 ),4549104.030000000260770,4713056.519999999552965,4665303.919999999925494,13927465.470000000670552
FS( 229 ),4537222.689999999478459,4739234.310000000521541,4690400.110000000335276,13966858.109999999403954
FS( 230 ),4606960.990000000223517,4828033.480000000447035,4731602.809999999590218,14166598.280000001192093
FS( 231 ),4591721.879999999888241,4820847.419999999925494,4676166.450000000186265,14088736.750000000000000
FS( 232 ),4455086.469999999739230,4760279.200000000186265,4627846.919999999925494,13843213.589999999850988
FS( 233 ),4420475.609999999403954,4876796.030000000260770,4653317.680000000633299,13950590.320000000298023
FS( 234 ),4440105.650000000372529,4838299.280000000260770,4709128.610000000335276,13987534.539999999105930
FS( 235 ),4375016.569999999366701,4711003.360000000335276,4528960.440000000409782,13614981.370000001043081
FS( 236 ),4232182.199999999254942,4516979.740000000223517,4355159.959999999962747,13104322.899999998509884
FS( 237 ),4266534.769999999552965,4687905.310000000521541,4493750.860000000335276,13448191.940000001341105
FS( 238 ),4280224.139999999664724,4599619.430000000633299,4481764.620000000111759,13361609.190000001341105
FS( 239 ),4106136.679999999701977,4363506.030000000260770,4264888.589999999850988,12734532.300000000745058
FS( 240 ),4153403.750000000000000,4526218.960000000894070,4357032.809999999590218,13036656.519999999552965
FS( 241 ),4233473.650000000372529,4574981.509999999776483,4437565.360000000335276,13246021.519999999552965
FS( 242 ),4194730.150000000372529,4610911.810000000521541,4433070.520000000484288,13238713.480000000447035
FS( 243 ),4132482.260000000242144,4661214.230000000447035,4525963.879999999888241,13319661.370000001043081
FS( 244 ),4152887.169999999925494,4756172.879999999888241,4580276.530000000260770,13489337.580000001937151
FS( 245 ),4075658.459999999497086,4722295.740000000223517,4564170.020000000484288,13362125.219999998807907
FS( 246 ),4059386.189999999944121,4759252.620000000111759,4570163.140000000596046,13388802.950000001117587
FS( 247 ),4097613.109999999403954,4696117.950000000186265,4510981.080000001005828,13304713.140000000596046
FS( 248 ),4149787.689999999944121,4708436.910000000149012,4509108.230000000447035,13367333.830000000074506
FS( 249 ),4211777.290000000037253,4828033.480000000447035,4604623.580000001005828,13644435.350000001490116
FS( 250 ),4225208.370000000111759,4897840.919999999925494,4666802.200000000186265,13789852.489999998360872
FS( 251 ),4149787.689999999944121,4835219.540000000037253,4621104.660000000149012,13606112.890000000596046
FS( 252 ),4074367.010000000242144,4813148.070000000298023,4604998.150000000372529,13492514.230000000447035
