代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14232901.010000001639128
真實報酬,4232901.010000001639128

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16124.954983025010733
風險,112584.680487746591098
起點值,0.143225125418196
找到最佳解世代,3480
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,6
BA[2](5),HD[9](11),JNJ[12](6),KO[14](7),MCD[15](2),V[25](1),
FS( 15 ),1722330.239999999990687,1761403.920000000158325,1725470.590000000083819,1724752.000000000000000,1732926.280000000027940,1726543.449999999953434,10393430.479999998584390
FS( 16 ),1722111.520000000251457,1743383.120000000111759,1727415.780000000027940,1723922.199999999720603,1740523.000000000000000,1721240.650000000139698,10378600.270000001415610
FS( 17 ),1725939.120000000111759,1738491.760000000009313,1735196.540000000037253,1725996.699999999953434,1732363.560000000055879,1726764.400000000139698,10384756.080000000074506
FS( 18 ),1722330.239999999990687,1741194.879999999888241,1734448.389999999897555,1726411.599999999860302,1731378.800000000046566,1731183.399999999674037,10386951.310000000521541
FS( 19 ),1707238.560000000055879,1738749.199999999720603,1722328.359999999869615,1717283.800000000046566,1725892.280000000027940,1730078.649999999906868,10341574.849999999627471
FS( 20 ),1702754.800000000279397,1739135.359999999869615,1728163.929999999934807,1725996.699999999953434,1727439.760000000009313,1730741.499999999767169,10354236.050000000745058
FS( 21 ),1702645.440000000176951,1726005.920000000158325,1723974.290000000037253,1720188.100000000093132,1712387.000000000000000,1723892.049999999813735,10309096.800000000745058
FS( 22 ),1716752.880000000121072,1728966.479999999981374,1733400.980000000214204,1734294.699999999720603,1682844.200000000186265,1756592.649999999906868,10352855.890000002458692
FS( 23 ),1734797.280000000260770,1744284.159999999916181,1730558.010000000242144,1728071.199999999953434,1680874.680000000167638,1770954.400000000139698,10389543.730000002309680
FS( 24 ),1735781.520000000251457,1723688.959999999962747,1748663.239999999990687,1732220.199999999953434,1683969.640000000130385,1791723.699999999953434,10416051.259999999776483
FS( 25 ),1740046.560000000055879,1718926.319999999832362,1740283.959999999962747,1731805.300000000046566,1698881.720000000204891,1816470.099999999860302,10446417.959999999031425
FS( 26 ),1731516.480000000214204,1728966.479999999981374,1739984.700000000186265,1714379.500000000000000,1694239.280000000027940,1806306.399999999906868,10415396.839999999850988
FS( 27 ),1739718.480000000214204,1752007.359999999869615,1738189.139999999897555,1702762.299999999813735,1691707.040000000037253,1796584.599999999860302,10420972.919999999925494
FS( 28 ),1743327.360000000335276,1746858.559999999823049,1716792.050000000046566,1703177.199999999720603,1700569.879999999888241,1807411.149999999906868,10418140.200000001117587
FS( 29 ),1731188.400000000139698,1738749.199999999720603,1715146.120000000111759,1699028.200000000186265,1717732.839999999850988,1797910.300000000046566,10399759.060000000521541
FS( 30 ),1737093.840000000316650,1738363.039999999804422,1714846.859999999869615,1696123.900000000139698,1709292.040000000037253,1793491.300000000046566,10389214.980000000447035
FS( 31 ),1724408.080000000074506,1749819.120000000111759,1718886.870000000111759,1710230.500000000000000,1726877.040000000037253,1795479.850000000093132,10425705.459999999031425
FS( 32 ),1731516.480000000214204,1752779.679999999934807,1716343.160000000149012,1713134.799999999813735,1726314.320000000065193,1802771.199999999953434,10442863.639999998733401
FS( 33 ),1738952.960000000195578,1742868.239999999757856,1708861.660000000149012,1706911.300000000046566,1718858.280000000027940,1805864.500000000000000,10422320.939999999478459
FS( 34 ),1744749.040000000270084,1745571.359999999869615,1708113.510000000242144,1714379.500000000000000,1719983.720000000204891,1808294.949999999953434,10441096.080000000074506
FS( 35 ),1726267.200000000186265,1777365.199999999720603,1704522.389999999897555,1718943.399999999906868,1707603.879999999888241,1815144.400000000139698,10449850.470000000670552
FS( 36 ),1755903.760000000242144,1777236.479999999981374,1672351.940000000176951,1738443.699999999953434,1702961.439999999944121,1839007.000000000000000,10485908.320000000298023
FS( 37 ),1830377.920000000391155,1769770.719999999739230,1687913.459999999962747,1747571.499999999767169,1713371.760000000009313,1853810.650000000139698,10602820.009999999776483
FS( 38 ),1849625.280000000260770,1782385.280000000027940,1673548.980000000214204,1734709.600000000093132,1714637.879999999888241,1839227.949999999720603,10594138.969999998807907
FS( 39 ),1834096.160000000149012,1780711.920000000158325,1696592.000000000000000,1719773.200000000186265,1728424.520000000018626,1850938.299999999813735,10610540.100000001490116
FS( 40 ),1810802.480000000214204,1782514.000000000000000,1692851.250000000000000,1716868.900000000139698,1730675.399999999906868,1849391.649999999906868,10583107.680000001564622
FS( 41 ),1787290.080000000074506,1771057.920000000158325,1694646.810000000055879,1724752.000000000000000,1724344.800000000046566,1827517.599999999860302,10529613.210000000894070
FS( 42 ),1793304.880000000121072,1769255.839999999850988,1694347.550000000046566,1711890.099999999860302,1722234.600000000093132,1821551.949999999953434,10512588.919999998062849
FS( 43 ),1774604.320000000065193,1762948.559999999823049,1699434.969999999972060,1717698.699999999953434,1733489.000000000000000,1818458.649999999906868,10506638.200000001117587
FS( 44 ),1776135.360000000335276,1776206.719999999739230,1700482.380000000121072,1723507.299999999813735,1747838.359999999869615,1901977.749999999767169,10626151.869999999180436
FS( 45 ),1793414.239999999990687,1757027.439999999944121,1696891.260000000242144,1724337.100000000093132,1750792.640000000130385,1896453.999999999767169,10618920.679999999701977
FS( 46 ),1820972.960000000195578,1759086.959999999962747,1698088.300000000046566,1738443.699999999953434,1752762.160000000149012,1895349.250000000000000,10664707.330000000074506
FS( 47 ),1791555.120000000111759,1774919.519999999785796,1696891.260000000242144,1743422.500000000000000,1753887.600000000093132,1880103.699999999953434,10640783.699999999254942
FS( 48 ),1796695.040000000270084,1785603.280000000027940,1707066.100000000093132,1711475.199999999953434,1751214.680000000167638,1890930.249999999767169,10642988.550000000745058
FS( 49 ),1818020.239999999990687,1800277.359999999869615,1724423.179999999934807,1683676.899999999906868,1770065.800000000046566,1898000.650000000139698,10694468.130000000819564
FS( 50 ),1837705.040000000270084,1800534.800000000046566,1733999.500000000000000,1685336.499999999767169,1766126.760000000009313,1909931.949999999953434,10733638.549999998882413
FS( 51 ),1842844.960000000195578,1819714.080000000074506,1741181.739999999990687,1681602.399999999906868,1769925.120000000111759,1918990.899999999674037,10774263.200000001117587
FS( 52 ),1851593.760000000242144,1830397.839999999850988,1753750.660000000149012,1677868.299999999813735,1779350.680000000167638,1934236.449999999953434,10827201.689999999478459
FS( 53 ),1868107.120000000111759,1822031.039999999804422,1766918.100000000093132,1709400.700000000186265,1782445.640000000130385,1931364.099999999860302,10880270.699999999254942
FS( 54 ),1888885.520000000251457,1840824.159999999916181,1778589.239999999990687,1710645.399999999906868,1797920.439999999944121,1932468.849999999860302,10949337.609999999403954
FS( 55 ),1920053.120000000111759,1866825.600000000093132,1790559.639999999897555,1720188.100000000093132,1801296.760000000009313,1942632.550000000046566,11041559.770000001415610
FS( 56 ),1917865.920000000391155,1869786.159999999916181,1788464.820000000065193,1725996.699999999953434,1798623.839999999850988,1939981.149999999906868,11040722.590000001713634
FS( 57 ),1934269.920000000391155,1862835.280000000027940,1821084.160000000149012,1728486.099999999860302,1804532.400000000139698,1948377.250000000000000,11099589.109999999403954
FS( 58 ),1940612.800000000279397,1878796.559999999823049,1836496.050000000046566,1733464.899999999906868,1809878.240000000223517,1953901.000000000000000,11153153.550000000745058
FS( 59 ),1962375.440000000176951,1870429.760000000009313,1831558.260000000242144,1728901.000000000000000,1786525.359999999869615,1944400.149999999906868,11124193.970000000670552
FS( 60 ),1971124.239999999990687,1865409.679999999934807,1828715.290000000037253,1740933.100000000093132,1795810.240000000223517,1943074.449999999953434,11145071.000000000000000
FS( 61 ),2011368.720000000204891,1888193.120000000111759,1853404.239999999990687,1749231.099999999860302,1815505.440000000176951,1966274.199999999720603,11283980.819999998435378
FS( 62 ),2001307.600000000325963,1904540.559999999823049,1849962.750000000000000,1762093.000000000000000,1803969.679999999934807,1956110.500000000000000,11277988.089999999850988
FS( 63 ),1992449.440000000176951,1902738.479999999981374,1852356.830000000074506,1762507.899999999906868,1799327.240000000223517,1961855.199999999953434,11271239.089999999850988
FS( 64 ),1978779.440000000176951,1893985.519999999785796,1851159.790000000037253,1750060.899999999906868,1801156.080000000074506,1965169.449999999953434,11240315.179999999701977
FS( 65 ),1990699.680000000400469,1879697.600000000093132,1852955.350000000093132,1742177.800000000046566,1801718.800000000046566,1967820.849999999860302,11235074.080000000074506
FS( 66 ),1987637.600000000325963,1891282.399999999674037,1856995.359999999869615,1742177.800000000046566,1802000.160000000149012,1965611.349999999860302,11245708.669999999925494
FS( 67 ),1974842.480000000214204,1887420.800000000046566,1884676.910000000149012,1743837.399999999906868,1802703.559999999823049,1968925.599999999860302,11262410.750000000000000
FS( 68 ),1954392.160000000149012,1890381.359999999869615,1888567.290000000037253,1754624.799999999813735,1800452.680000000167638,1982624.500000000000000,11271046.790000000968575
FS( 69 ),1958219.760000000242144,1897847.120000000111759,1895599.900000000139698,1743837.399999999906868,1795247.520000000018626,1991020.599999999860302,11281776.299999998882413
FS( 70 ),1954720.239999999990687,1894371.679999999934807,1901136.209999999962747,1741348.000000000000000,1797920.439999999944121,1978647.399999999906868,11268147.970000000670552
FS( 71 ),1954501.520000000251457,1904540.559999999823049,1929715.540000000270084,1747571.499999999767169,1799045.879999999888241,1986822.550000000046566,11322201.550000000745058
FS( 72 ),1948814.800000000279397,1914580.719999999739230,1922234.040000000270084,1752965.199999999953434,1800452.680000000167638,1989473.949999999953434,11328525.390000000596046
FS( 73 ),1969702.560000000055879,1925779.359999999869615,1916248.840000000083819,1743837.399999999906868,1809737.559999999823049,1993892.949999999720603,11359202.669999999925494
FS( 74 ),1961938.000000000000000,1902609.760000000009313,1916398.469999999972060,1750060.899999999906868,1811707.080000000074506,1970472.250000000000000,11313190.459999999031425
FS( 75 ),1924427.520000000251457,1887292.080000000074506,1904128.810000000055879,1763337.699999999953434,1808049.400000000139698,1945725.849999999860302,11232965.359999999403954
FS( 76 ),1935582.239999999990687,1896946.080000000074506,1889315.440000000176951,1758358.900000000139698,1816208.839999999850988,1955889.549999999813735,11252305.050000000745058
FS( 77 ),1938644.320000000065193,1905055.439999999944121,1883928.760000000242144,1749646.000000000000000,1814802.040000000037253,1963401.849999999860302,11255482.409999998286366
FS( 78 ),1922896.480000000214204,1901451.280000000027940,1877644.300000000046566,1747571.499999999767169,1819585.160000000149012,1970693.199999999953434,11239845.919999999925494
FS( 79 ),1925958.560000000055879,1890638.800000000046566,1882432.459999999962747,1755869.500000000000000,1821695.360000000102445,1965390.399999999906868,11241989.080000000074506
FS( 80 ),1939737.920000000391155,1894886.559999999823049,1880337.639999999897555,1760433.399999999906868,1821132.639999999897555,1969146.550000000046566,11265678.710000000894070
FS( 81 ),1942690.640000000130385,1892827.039999999804422,1869265.020000000018626,1760018.500000000000000,1812551.160000000149012,1970472.250000000000000,11247828.609999999403954
FS( 82 ),1946518.239999999990687,1891668.559999999823049,1865374.639999999897555,1767486.699999999953434,1819303.800000000046566,1966716.100000000093132,11257072.039999999105930
FS( 83 ),1934269.920000000391155,1890123.920000000158325,1863728.709999999962747,1760848.299999999813735,1823383.520000000251457,1963622.800000000046566,11235981.170000001788139
FS( 84 ),1931973.360000000335276,1887420.800000000046566,1865823.530000000027940,1759603.599999999860302,1823383.520000000251457,1974449.349999999860302,11242658.160000000149012
FS( 85 ),1954392.160000000149012,1883816.639999999897555,1865673.900000000139698,1770805.899999999906868,1818881.760000000009313,1961634.250000000000000,11255208.609999999403954
FS( 86 ),1936675.840000000316650,1887678.239999999757856,1867469.459999999962747,1766242.000000000000000,1834637.919999999925494,1967158.000000000000000,11259865.460000000894070
FS( 87 ),1939847.280000000260770,1895401.439999999944121,1871210.209999999962747,1770391.000000000000000,1830980.240000000223517,1968483.699999999953434,11276317.869999999180436
FS( 88 ),1956032.560000000055879,1893985.519999999785796,1869265.020000000018626,1767901.599999999860302,1828307.320000000065193,1960750.449999999720603,11276246.469999998807907
FS( 89 ),1941925.120000000111759,1907887.280000000027940,1860586.480000000214204,1771220.799999999813735,1828588.679999999934807,1963401.849999999860302,11273614.210000000894070
FS( 90 ),1952970.480000000214204,1907758.559999999823049,1858790.919999999925494,1769976.099999999860302,1845751.639999999897555,1963180.899999999674037,11298432.599999999627471
FS( 91 ),1925411.760000000242144,1886391.039999999804422,1876447.260000000242144,1781593.299999999813735,1846595.719999999972060,1959424.750000000000000,11275867.830000000074506
FS( 92 ),1920709.280000000260770,1878281.679999999934807,1870312.429999999934807,1775369.799999999813735,1839561.719999999972060,1963622.800000000046566,11247861.710000000894070
FS( 93 ),1957891.680000000400469,1896302.479999999981374,1881235.419999999925494,1786987.000000000000000,1847861.839999999850988,1984392.099999999860302,11354674.519999999552965
FS( 94 ),1945096.560000000055879,1902094.879999999888241,1822879.719999999972060,1803997.899999999906868,1861226.440000000176951,1982624.500000000000000,11317924.000000000000000
FS( 95 ),1951111.360000000335276,1895144.000000000000000,1816146.370000000111759,1793625.399999999906868,1866009.559999999823049,1983066.399999999906868,11305107.090000001713634
FS( 96 ),1960953.760000000242144,1914452.000000000000000,1823627.870000000111759,1787816.800000000046566,1874872.400000000139698,2013999.400000000139698,11375726.230000000447035
FS( 97 ),1972764.640000000130385,1930928.159999999916181,1821981.940000000176951,1786987.000000000000000,1876841.919999999925494,2013999.400000000139698,11403507.060000000521541
FS( 98 ),1991137.120000000111759,1955256.239999999757856,1838890.130000000121072,1795699.899999999906868,1888377.679999999934807,2029465.899999999674037,11498830.970000000670552
FS( 99 ),2006994.320000000065193,1969930.319999999832362,1846970.150000000139698,1788646.599999999860302,1993465.639999999897555,2035210.599999999860302,11641221.629999998956919
FS( 100 ),1987309.520000000251457,1985248.000000000000000,1848167.190000000176951,1794040.300000000046566,1981367.160000000149012,2028803.049999999813735,11624939.220000002533197
FS( 101 ),2003822.880000000121072,2009704.800000000046566,1851608.679999999934807,1784497.599999999860302,1981789.200000000186265,2023942.149999999674037,11655369.310000000521541
FS( 102 ),2021429.840000000316650,2009447.359999999869615,1847568.669999999925494,1790306.199999999953434,1968565.280000000027940,2015546.049999999813735,11652867.399999998509884
FS( 103 ),1994746.000000000000000,1985119.280000000027940,1845623.480000000214204,1793210.500000000000000,1985728.240000000223517,2016429.850000000093132,11620861.349999999627471
FS( 104 ),2006228.800000000279397,1994644.559999999823049,1851010.160000000149012,1800263.800000000046566,1986853.679999999934807,2044711.449999999953434,11683716.449999999254942
FS( 105 ),2005682.000000000000000,1995288.159999999916181,1845473.850000000093132,1797359.500000000000000,2006408.200000000186265,2042501.949999999953434,11692717.660000000149012
FS( 106 ),2002182.480000000214204,1993486.080000000074506,1854750.910000000149012,1811466.099999999860302,2018084.639999999897555,2046479.050000000046566,11726453.260000001639128
FS( 107 ),2023398.320000000065193,2004684.719999999739230,1848167.190000000176951,1812710.799999999813735,2025259.320000000065193,2034768.699999999953434,11748993.049999998882413
FS( 108 ),2034443.680000000400469,2019616.239999999757856,1844276.810000000055879,1821008.800000000046566,2029198.360000000102445,2031012.550000000046566,11779560.440000001341105
FS( 109 ),2044176.720000000204891,2029785.120000000111759,1843678.290000000037253,1805242.599999999860302,2030886.520000000251457,2032780.149999999906868,11786553.400000000372529
FS( 110 ),2003385.440000000176951,2035577.519999999785796,1837693.090000000083819,1807732.000000000000000,2033137.400000000139698,2038303.899999999906868,11755833.349999999627471
FS( 111 ),2011696.800000000279397,2010734.559999999823049,1843528.660000000149012,1811881.000000000000000,2028776.320000000065193,2034989.649999999674037,11741610.990000000223517
FS( 112 ),2004150.960000000195578,2020002.399999999674037,1850112.380000000121072,1808561.800000000046566,2044954.520000000251457,2048909.500000000000000,11776695.560000000521541
FS( 113 ),1994746.000000000000000,2025279.920000000158325,1900238.429999999934807,1814370.399999999906868,2057897.080000000074506,2059957.000000000000000,11852492.830000000074506
FS( 114 ),1998136.160000000149012,2037250.879999999888241,1911909.570000000065193,1819349.199999999953434,2072105.760000000009313,2058189.400000000139698,11896944.970000000670552
FS( 115 ),1955267.040000000270084,2009318.639999999897555,1895450.270000000018626,1822668.399999999906868,2059725.919999999925494,2027477.350000000093132,11769911.619999999180436
FS( 116 ),1940175.360000000335276,2004298.559999999823049,1899939.169999999925494,1817274.699999999720603,2068166.719999999972060,2026372.599999999860302,11756231.109999999403954
FS( 117 ),1976920.320000000065193,2012021.760000000009313,1900388.060000000055879,1821423.699999999953434,2084204.240000000223517,2043385.750000000000000,11838347.830000001937151
FS( 118 ),2008744.080000000074506,2007645.280000000027940,1904278.440000000176951,1833040.899999999906868,2084766.959999999962747,2061724.599999999860302,11900204.259999999776483
FS( 119 ),2006775.600000000325963,1993099.920000000158325,1908168.820000000065193,1841753.800000000046566,2079561.800000000046566,2073876.849999999860302,11903240.790000000968575
FS( 120 ),2026022.960000000195578,1995288.159999999916181,1908019.190000000176951,1868307.399999999906868,2103196.040000000037253,2094867.099999999860302,11995704.849999999627471
FS( 121 ),2045926.480000000214204,2014081.280000000027940,1908318.450000000186265,1884073.599999999860302,2107135.080000000074506,2099948.950000000186265,12059487.839999999850988
FS( 122 ),2040677.200000000186265,1994000.959999999962747,1899191.020000000018626,1883243.800000000046566,2108260.520000000018626,2091773.800000000046566,12017151.300000000745058
FS( 123 ),2043848.640000000130385,1980871.519999999785796,1902033.989999999990687,1884903.399999999906868,2109245.280000000260770,2092878.549999999813735,12013785.380000002682209
FS( 124 ),2052050.640000000130385,1976108.879999999888241,1919091.810000000055879,1886563.000000000000000,2122750.560000000055879,2104147.000000000000000,12060715.890000000596046
FS( 125 ),2048660.480000000214204,1997218.959999999962747,1927022.200000000186265,1899839.799999999813735,2143852.560000000055879,2107903.149999999906868,12124501.150000000372529
FS( 126 ),2080484.239999999990687,1999793.359999999869615,1946474.100000000325963,1903988.800000000046566,2162844.360000000335276,2124474.399999999906868,12218063.259999999776483
FS( 127 ),2066486.160000000149012,1992585.039999999804422,1950663.740000000223517,1908137.800000000046566,2149479.759999999776483,2133312.399999999906868,12200668.900000000372529
FS( 128 ),2042426.960000000195578,1984990.559999999823049,1957696.350000000325963,1907722.899999999906868,2127533.679999999701977,2116520.200000000186265,12136894.649999998509884
FS( 129 ),2057190.560000000055879,1994773.280000000027940,1956499.310000000055879,1888222.599999999860302,2137521.959999999962747,2123148.700000000186265,12157360.410000000149012
FS( 130 ),2077203.440000000176951,1975980.159999999916181,1953506.710000000195578,1872456.400000000139698,2130347.280000000260770,2123148.700000000186265,12132646.690000001341105
FS( 131 ),2078297.040000000270084,1969029.280000000027940,1968170.450000000186265,1880339.500000000000000,2131050.679999999701977,2089343.349999999860302,12116234.299999998882413
FS( 132 ),2077968.960000000195578,1958989.120000000111759,1972509.719999999972060,1880754.399999999906868,2088706.000000000000000,2065922.649999999906868,12044854.849999999627471
FS( 133 ),2089889.200000000186265,1982287.439999999944121,1975502.320000000298023,1868307.399999999906868,2107697.799999999813735,2100832.750000000000000,12124520.910000000149012
FS( 134 ),2103996.640000000596046,2017942.879999999888241,1986724.570000000298023,1879509.699999999720603,2119796.280000000260770,2106135.549999999813735,12214109.620000001043081
FS( 135 ),2137570.160000000149012,2018071.600000000093132,1990764.579999999841675,1877435.199999999953434,2126689.600000000093132,2080726.300000000046566,12231261.440000001341105
FS( 136 ),2148396.799999999813735,2016398.239999999757856,2010366.109999999869615,1879924.600000000093132,2138225.360000000335276,2080726.300000000046566,12274041.410000000149012
FS( 137 ),2177267.840000000782311,2044330.479999999981374,2006176.469999999972060,1882828.900000000139698,2154403.560000000055879,2094425.199999999953434,12359436.449999999254942
FS( 138 ),2169065.840000000782311,2029656.399999999674037,2008420.919999999925494,1892371.599999999860302,2167486.799999999813735,2085366.249999999767169,12352371.809999998658895
FS( 139 ),2178252.080000000074506,2015754.639999999897555,2018745.389999999897555,1876190.500000000000000,2162703.679999999701977,2088901.449999999953434,12340551.739999998360872
FS( 140 ),2181204.799999999813735,2001466.719999999739230,2035803.210000000195578,1869967.000000000000000,2177756.440000000409782,2075865.399999999906868,12342067.570000000298023
FS( 141 ),2211716.240000000223517,1947790.479999999981374,2041489.150000000139698,1877435.199999999953434,2175505.560000000055879,2111880.250000000000000,12365820.880000000819564
FS( 142 ),2187110.240000000223517,1949206.399999999674037,2040142.480000000214204,1884903.399999999906868,2165939.320000000298023,2103926.049999999813735,12331231.890000000596046
FS( 143 ),2175190.000000000000000,1959761.439999999944121,2020241.689999999944121,1869137.199999999720603,2162563.000000000000000,2096855.650000000139698,12283752.980000000447035
FS( 144 ),2183173.280000000260770,1972504.719999999739230,2002435.719999999972060,1880339.500000000000000,2170722.440000000409782,2126242.000000000000000,12335421.660000000149012
FS( 145 ),2159551.520000000484288,1958731.679999999934807,1984779.379999999888241,1860009.399999999906868,2154262.879999999888241,2086250.050000000046566,12203588.910000000149012
FS( 146 ),2162722.959999999962747,1974692.959999999962747,1979542.329999999841675,1860839.199999999953434,2154684.919999999925494,2072109.250000000000000,12204595.620000001043081
FS( 147 ),2171909.200000000186265,1982544.879999999888241,1988669.760000000242144,1857105.099999999860302,2145400.040000000037253,2062608.399999999674037,12208241.380000000819564
FS( 148 ),2207123.120000000111759,1965553.839999999850988,1999742.379999999888241,1859594.500000000000000,2153418.799999999813735,2077191.100000000093132,12262627.740000000223517
FS( 149 ),2203514.240000000223517,1957315.760000000009313,1982983.820000000298023,1842168.699999999953434,2153700.160000000149012,2060398.899999999906868,12200085.580000000074506
FS( 150 ),2213247.280000000260770,1959632.719999999739230,1983283.079999999841675,1841753.800000000046566,2198436.400000000372529,2075202.550000000046566,12271559.830000001937151
FS( 151 ),2230635.520000000484288,1946117.120000000111759,1968469.710000000195578,1841338.900000000139698,2187885.400000000372529,2101053.700000000186265,12275504.350000001490116
FS( 152 ),2255897.680000000633299,1938651.359999999869615,1963681.549999999813735,1839264.399999999906868,2179303.919999999925494,2108124.099999999627471,12284927.009999999776483
FS( 153 ),2257756.799999999813735,1964266.639999999897555,1978644.549999999813735,1846732.599999999860302,2202797.479999999981374,2125137.250000000000000,12375339.319999998435378
FS( 154 ),2255460.240000000223517,1973277.039999999804422,1973108.240000000223517,1843413.399999999906868,2181132.759999999776483,2119834.449999999720603,12346230.129999998956919
FS( 155 ),2280394.320000000298023,1967999.519999999785796,1984180.859999999869615,1853785.899999999906868,2184509.080000000074506,2141708.500000000000000,12412582.179999999701977
FS( 156 ),2285752.959999999962747,1981000.239999999757856,1977447.510000000242144,1855860.399999999906868,2184227.719999999739230,2139499.000000000000000,12423791.829999998211861
FS( 157 ),2277441.600000000558794,1958860.399999999674037,2012012.040000000270084,1853371.000000000000000,2165939.320000000298023,2156070.250000000000000,12423698.609999999403954
FS( 158 ),2306312.640000000596046,1973405.760000000009313,2023234.290000000270084,1860009.399999999906868,2164954.560000000055879,2170873.899999999906868,12498794.550000000745058
FS( 159 ),2299751.040000000037253,1892698.319999999832362,2043583.969999999972060,1859594.500000000000000,2169456.320000000298023,2167780.600000000093132,12432868.750000000000000
FS( 160 ),2320092.000000000000000,1887806.959999999962747,2024730.590000000083819,1868307.399999999906868,2165376.600000000093132,2200702.149999999906868,12467019.699999999254942
FS( 161 ),2320529.440000000409782,1861161.920000000158325,1990315.689999999944121,1860424.300000000046566,2136255.839999999850988,2217715.299999999813735,12386406.490000002086163
FS( 162 ),2323591.520000000484288,1891926.000000000000000,1973407.500000000000000,1877020.300000000046566,2237826.799999999813735,2209319.199999999720603,12513095.320000000298023
FS( 163 ),2553138.160000000149012,1888321.839999999850988,1959491.909999999916181,1897765.300000000046566,2201812.719999999739230,2228320.899999999906868,12728854.830000000074506
FS( 164 ),2635704.959999999962747,1901708.719999999739230,1957696.350000000325963,1913531.499999999767169,2208002.639999999664724,2200039.299999999813735,12816687.469999998807907
FS( 165 ),2638657.680000000633299,1906213.920000000158325,1972958.609999999869615,1908967.599999999860302,2192527.839999999850988,2190759.399999999906868,12810089.050000000745058
FS( 166 ),2651671.520000000484288,1925779.359999999869615,1985976.419999999925494,1901914.300000000046566,2182539.560000000055879,2199818.350000000093132,12847703.510000001639128
FS( 167 ),2618644.799999999813735,1928997.359999999869615,1982834.189999999944121,1896105.700000000186265,2167064.759999999776483,2228762.799999999813735,12822413.609999999403954
FS( 168 ),2602350.160000000149012,1937364.159999999916181,1977597.139999999897555,1891541.800000000046566,2202938.160000000149012,2237821.750000000000000,12849617.169999999925494
FS( 169 ),2605630.959999999962747,1941097.039999999804422,1995403.109999999869615,1894861.000000000000000,2176631.000000000000000,2222576.200000000186265,12836203.309999998658895
FS( 170 ),2599725.520000000484288,1966326.159999999916181,1992859.400000000139698,1887807.699999999953434,2163969.799999999813735,2229204.699999999720603,12839897.280000001192093
