代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12836034.859999999403954
真實報酬,2836034.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11109.086147411697311
風險,195656.865978686197195
起點值,0.056778412001253
找到最佳解世代,2251
找到最佳解實驗#,1
找到最佳解次數,20

stock[index](rank)
投資組合檔數,7
BA[2](10),CSCO[4](8),INTC[11](11),JPM[13](13),MRK[17](5),PG[21](19),UNH[23](2),
FS( 22 ),1406126.590000000083819,1636650.639999999897555,1415592.440000000176951,1450414.000000000000000,1471357.479999999981374,1453753.299999999813735,1494884.880000000121072,10328782.330000000074506
FS( 23 ),1405656.550000000046566,1634825.380000000121072,1417446.520000000018626,1455268.000000000000000,1466572.150000000139698,1458860.199999999953434,1501664.179999999934807,10340295.980000000447035
FS( 24 ),1422813.009999999776483,1630566.440000000176951,1419764.120000000111759,1457452.300000000046566,1466009.169999999925494,1470306.699999999720603,1501417.660000000149012,10368332.400000000372529
FS( 25 ),1444317.340000000083819,1651252.720000000204891,1434133.240000000223517,1454782.600000000093132,1481772.610000000102445,1463438.799999999813735,1500924.620000000111759,10430624.929999999701977
FS( 26 ),1437854.289999999804422,1645776.940000000176951,1416519.479999999981374,1426629.400000000139698,1476424.300000000046566,1462734.399999999906868,1499692.020000000018626,10365633.830000000074506
FS( 27 ),1443847.300000000046566,1679848.459999999962747,1430888.600000000093132,1434881.199999999953434,1473890.889999999897555,1460973.399999999674037,1492789.459999999962747,10417122.309999998658895
FS( 28 ),1444787.379999999888241,1665854.800000000046566,1448502.360000000102445,1422503.500000000000000,1493032.209999999962747,1448998.599999999860302,1504992.200000000186265,10428674.050000000745058
FS( 29 ),1464646.569999999832362,1695058.959999999962747,1472141.880000000121072,1440220.600000000093132,1497536.050000000046566,1439665.299999999813735,1542093.459999999962747,10551365.820000000298023
FS( 30 ),1484740.780000000027940,1685324.239999999990687,1456845.720000000204891,1434881.199999999953434,1494158.169999999925494,1429451.499999999767169,1543572.580000000074506,10528977.189999999478459
FS( 31 ),1484975.800000000046566,1682890.560000000055879,1467043.160000000149012,1436822.800000000046566,1475579.830000000074506,1431916.899999999906868,1539011.959999999962747,10518244.010000001639128
FS( 32 ),1499194.509999999776483,1696275.800000000046566,1468897.240000000223517,1430027.200000000186265,1462068.309999999823049,1432445.199999999953434,1539628.260000000242144,10528539.519999999552965
FS( 33 ),1535975.139999999897555,1715136.820000000065193,1482339.320000000065193,1425901.300000000046566,1450527.219999999972060,1457275.299999999813735,1535067.640000000130385,10602225.740000000223517
FS( 34 ),1574283.400000000139698,1723654.699999999953434,1514785.720000000204891,1467888.399999999906868,1470794.500000000000000,1464319.299999999813735,1562061.580000000074506,10777790.599999999627471
FS( 35 ),1596610.300000000046566,1715136.820000000065193,1499026.040000000270084,1467403.000000000000000,1486276.449999999953434,1467312.999999999767169,1562308.100000000093132,10794076.709999999031425
FS( 36 ),1587914.560000000055879,1720612.600000000093132,1498099.000000000000000,1462063.600000000093132,1492750.719999999972060,1457099.199999999720603,1578085.380000000121072,10796628.060000000521541
FS( 37 ),1561357.300000000046566,1693233.699999999953434,1483266.360000000102445,1454782.600000000093132,1494158.169999999925494,1458507.999999999767169,1599902.399999999906868,10745211.530000001192093
FS( 38 ),1552661.560000000055879,1701143.160000000149012,1477704.120000000111759,1443618.399999999906868,1493876.679999999934807,1459740.699999999720603,1585111.200000000186265,10713858.820000000298023
FS( 39 ),1542908.229999999748543,1697492.639999999897555,1478631.160000000149012,1441676.800000000046566,1487120.919999999925494,1454986.000000000000000,1589178.780000000027940,10691997.529999999329448
FS( 40 ),1538090.319999999832362,1709661.040000000270084,1500880.120000000111759,1432696.900000000139698,1500913.929999999934807,1458155.799999999813735,1600395.440000000176951,10740796.549999998882413
FS( 41 ),1511063.020000000018626,1731564.160000000149012,1516176.280000000027940,1449200.500000000000000,1498099.030000000027940,1456042.599999999860302,1598546.540000000270084,10760695.130000000819564
FS( 42 ),1491791.379999999888241,1732172.580000000074506,1499489.560000000055879,1437308.199999999953434,1489372.839999999850988,1449526.899999999906868,1588932.260000000242144,10688596.719999998807907
FS( 43 ),1492026.399999999906868,1745557.820000000065193,1504124.760000000242144,1453083.699999999953434,1511610.550000000046566,1471011.099999999860302,1601504.780000000027940,10778922.109999999403954
FS( 44 ),1484740.780000000027940,1712094.720000000204891,1483266.360000000102445,1436822.800000000046566,1531314.849999999860302,1465375.899999999674037,1596204.600000000325963,10709823.009999999776483
FS( 45 ),1492848.969999999972060,1678023.199999999953434,1478631.160000000149012,1416436.000000000000000,1526811.010000000009313,1464495.399999999674037,1566005.900000000139698,10623254.640000000596046
FS( 46 ),1503424.870000000111759,1703576.840000000083819,1486974.520000000018626,1427357.500000000000000,1565938.120000000111759,1475941.899999999906868,1578208.640000000130385,10741425.390000000596046
FS( 47 ),1492496.439999999944121,1679240.040000000270084,1462407.960000000195578,1391195.199999999953434,1560026.830000000074506,1465904.199999999720603,1563910.480000000214204,10615184.150000000372529
FS( 48 ),1502837.319999999832362,1684715.820000000065193,1466116.120000000111759,1401388.600000000093132,1558337.889999999897555,1465199.799999999813735,1549242.540000000270084,10627841.089999999850988
FS( 49 ),1503189.849999999860302,1680456.880000000121072,1467970.200000000186265,1412552.800000000046566,1549611.699999999953434,1456923.099999999860302,1557254.440000000176951,10627961.969999998807907
FS( 50 ),1521521.409999999916181,1681673.720000000204891,1476777.080000000074506,1438764.400000000139698,1557774.910000000149012,1458684.099999999860302,1563047.660000000149012,10698246.280000001192093
FS( 51 ),1541145.579999999841675,1717570.500000000000000,1489292.120000000111759,1499682.100000000093132,1575227.290000000037253,1452168.399999999674037,1574880.620000000111759,10849969.609999999403954
FS( 52 ),1537737.789999999804422,1718787.340000000083819,1473995.960000000195578,1519098.100000000093132,1589020.300000000046566,1444243.899999999906868,1577592.340000000083819,10860478.729999998584390
FS( 53 ),1541028.069999999832362,1697492.639999999897555,1458236.280000000027940,1501623.699999999953434,1580294.110000000102445,1449350.799999999813735,1569580.440000000176951,10797609.040000000968575
FS( 54 ),1550898.909999999916181,1715136.820000000065193,1467043.160000000149012,1511331.700000000186265,1590709.239999999990687,1458684.099999999860302,1575496.920000000158325,10869303.850000001490116
FS( 55 ),1559242.120000000111759,1723654.699999999953434,1464725.560000000055879,1536815.199999999953434,1600561.389999999897555,1466608.599999999860302,1608653.860000000102445,10960264.429999999701977
FS( 56 ),1534447.509999999776483,1730347.320000000065193,1483266.360000000102445,1559143.599999999860302,1592679.669999999925494,1436143.299999999813735,1650932.040000000270084,10986962.800000000745058
FS( 57 ),1536445.179999999934807,1718178.919999999925494,1481875.800000000046566,1543610.800000000046566,1593242.650000000139698,1422935.799999999813735,1638975.820000000298023,10935267.969999998807907
FS( 58 ),1540087.989999999990687,1712703.139999999897555,1466579.640000000130385,1552590.699999999953434,1597183.510000000009313,1425577.299999999813735,1653397.239999999990687,10948122.519999999552965
FS( 59 ),1536562.689999999944121,1717570.500000000000000,1454991.640000000130385,1543610.800000000046566,1582546.030000000027940,1433677.899999999674037,1649083.140000000130385,10918045.700000001117587
FS( 60 ),1565822.679999999934807,1730955.739999999990687,1455455.160000000149012,1551619.900000000139698,1577479.209999999962747,1400923.299999999813735,1654753.100000000325963,10937012.089999999850988
FS( 61 ),1610946.520000000018626,1742515.720000000204891,1471678.360000000102445,1555988.500000000000000,1585079.440000000176951,1406910.699999999720603,1637003.660000000149012,11010125.900000000372529
FS( 62 ),1584154.239999999990687,1701143.160000000149012,1442013.080000000074506,1543610.800000000046566,1569034.510000000009313,1404621.399999999906868,1628005.679999999934807,10872585.869999999180436
FS( 63 ),1584154.239999999990687,1672547.419999999925494,1403540.920000000158325,1533902.800000000046566,1543700.410000000149012,1410961.000000000000000,1623198.540000000270084,10772008.330000000074506
FS( 64 ),1574870.949999999953434,1665246.380000000121072,1418837.080000000074506,1548222.100000000093132,1556648.949999999953434,1425929.499999999767169,1628375.459999999962747,10818133.419999998062849
FS( 65 ),1557009.429999999934807,1634216.959999999962747,1407249.080000000074506,1518370.000000000000000,1550456.169999999925494,1428218.799999999813735,1632812.820000000298023,10728336.259999999776483
FS( 66 ),1538207.829999999841675,1608663.320000000065193,1383609.560000000055879,1518370.000000000000000,1542855.940000000176951,1437023.799999999813735,1627512.640000000130385,10656246.089999999850988
FS( 67 ),1552191.520000000018626,1594669.660000000149012,1385927.160000000149012,1486333.600000000093132,1522588.660000000149012,1431740.799999999813735,1630963.920000000158325,10604418.319999998435378
FS( 68 ),1566057.699999999953434,1614139.100000000093132,1392416.440000000176951,1495070.800000000046566,1508795.650000000139698,1446357.099999999627471,1627635.899999999906868,10650475.689999999478459
FS( 69 ),1552426.539999999804422,1612922.260000000242144,1381291.960000000195578,1485605.500000000000000,1522870.150000000139698,1446181.000000000000000,1635401.280000000027940,10636701.689999999478459
FS( 70 ),1583214.159999999916181,1644560.100000000093132,1397051.640000000130385,1505749.600000000093132,1539196.570000000065193,1452520.599999999860302,1646494.679999999934807,10768790.349999999627471
FS( 71 ),1563002.439999999944121,1624482.239999999990687,1393343.479999999981374,1500167.500000000000000,1528781.440000000176951,1446709.299999999813735,1610995.800000000046566,10667485.200000001117587
FS( 72 ),1579688.859999999869615,1622656.980000000214204,1379437.880000000121072,1499196.700000000186265,1523433.129999999888241,1451287.899999999674037,1599286.100000000325963,10654990.549999998882413
FS( 73 ),1552661.560000000055879,1614139.100000000093132,1386390.680000000167638,1485362.800000000046566,1516677.370000000111759,1430508.099999999860302,1590164.860000000102445,10575907.469999998807907
FS( 74 ),1576398.579999999841675,1640909.580000000074506,1408639.640000000130385,1496527.000000000000000,1538352.099999999860302,1437552.099999999627471,1610379.500000000000000,10708761.500000000000000
FS( 75 ),1557832.000000000000000,1621440.139999999897555,1389635.320000000065193,1496527.000000000000000,1529062.929999999934807,1419766.000000000000000,1597067.420000000158325,10611333.810000000521541
FS( 76 ),1539382.929999999934807,1625699.080000000074506,1390098.840000000083819,1554289.600000000093132,1538915.080000000074506,1406206.299999999813735,1608777.119999999878928,10663371.949999997392297
FS( 77 ),1505187.520000000018626,1677414.780000000027940,1373412.120000000111759,1538514.100000000093132,1536381.669999999925494,1412193.699999999720603,1602490.860000000102445,10645597.749999998137355
FS( 78 ),1497079.329999999841675,1701751.580000000074506,1397515.160000000149012,1541426.500000000000000,1551300.639999999897555,1409199.999999999767169,1614077.300000000046566,10712353.509999999776483
FS( 79 ),1499312.020000000018626,1699926.320000000065193,1401223.320000000065193,1540213.000000000000000,1545952.330000000074506,1412369.799999999813735,1607667.780000000027940,10706667.569999998435378
FS( 80 ),1498371.939999999944121,1732172.580000000074506,1439695.479999999981374,1566424.600000000093132,1565093.650000000139698,1425929.499999999767169,1634415.200000000186265,10862105.949999999254942
FS( 81 ),1514353.300000000046566,1759551.480000000214204,1454991.640000000130385,1590209.199999999953434,1592398.179999999934807,1434910.599999999860302,1644645.780000000027940,10991063.179999999701977
FS( 82 ),1519641.250000000000000,1758334.639999999897555,1459626.840000000083819,1578316.900000000139698,1587331.360000000102445,1430331.999999999767169,1639222.340000000083819,10972808.330000000074506
FS( 83 ),1518583.659999999916181,1759551.480000000214204,1463335.000000000000000,1588024.900000000139698,1589864.770000000018626,1434030.099999999860302,1651794.860000000102445,11005187.769999999552965
FS( 84 ),1482508.090000000083819,1767460.940000000176951,1464262.040000000037253,1584141.699999999953434,1583671.989999999990687,1427162.199999999953434,1647727.280000000027940,10956937.240000000223517
FS( 85 ),1485563.349999999860302,1758334.639999999897555,1467506.680000000167638,1594335.100000000093132,1585642.419999999925494,1440369.699999999953434,1658327.640000000130385,10990082.529999999329448
FS( 86 ),1490733.789999999804422,1769286.199999999953434,1472141.880000000121072,1597247.500000000000000,1599435.429999999934807,1443187.299999999813735,1676939.899999999906868,11048975.000000000000000
FS( 87 ),1496961.819999999832362,1772328.300000000046566,1465652.600000000093132,1568851.600000000093132,1594368.610000000102445,1452344.499999999767169,1686800.700000000186265,11037311.129999998956919
FS( 88 ),1550076.340000000083819,1770503.040000000270084,1468433.720000000204891,1584384.400000000139698,1609287.580000000074506,1457627.499999999767169,1702947.760000000242144,11143263.339999999850988
FS( 89 ),1550428.870000000111759,1768677.780000000027940,1477704.120000000111759,1579045.000000000000000,1604502.250000000000000,1449702.999999999767169,1688033.300000000046566,11118097.320000000298023
FS( 90 ),1563002.439999999944121,1772936.720000000204891,1478167.640000000130385,1583656.300000000046566,1621954.629999999888241,1455514.299999999813735,1730681.260000000242144,11205916.290000000968575
FS( 91 ),1564177.539999999804422,1772936.720000000204891,1480485.240000000223517,1571521.300000000046566,1609569.070000000065193,1464671.499999999767169,1734132.540000000270084,11197496.910000000149012
FS( 92 ),1541145.579999999841675,1766244.100000000093132,1485120.440000000176951,1549435.600000000093132,1599153.940000000176951,1465199.799999999813735,1716383.100000000325963,11122685.560000000521541
FS( 93 ),1526809.359999999869615,1754684.120000000111759,1491146.200000000186265,1535601.700000000186265,1579449.639999999897555,1454105.499999999767169,1702208.200000000186265,11044007.719999998807907
FS( 94 ),1533624.939999999944121,1761985.160000000149012,1489755.640000000130385,1506720.399999999906868,1583390.500000000000000,1467841.299999999813735,1699496.480000000214204,11042817.420000001788139
FS( 95 ),1529629.599999999860302,1743124.139999999897555,1465189.080000000074506,1504050.699999999953434,1578886.660000000149012,1460797.299999999813735,1691977.619999999878928,10973658.099999999627471
FS( 96 ),1520346.310000000055879,1756509.380000000121072,1468897.240000000223517,1510118.199999999953434,1618576.750000000000000,1468897.899999999674037,1709234.020000000018626,11052582.800000000745058
FS( 97 ),1525634.259999999776483,1761376.739999999990687,1472141.880000000121072,1511574.400000000139698,1573256.860000000102445,1463967.099999999627471,1697277.800000000046566,11005232.040000000968575
FS( 98 ),1560064.689999999944121,1752250.440000000176951,1491146.200000000186265,1513758.699999999953434,1580294.110000000102445,1462382.199999999953434,1707508.380000000121072,11067407.720000000670552
FS( 99 ),1545610.959999999962747,1750425.180000000167638,1498099.000000000000000,1527835.300000000046566,1583390.500000000000000,1468897.899999999674037,1703440.800000000046566,11077702.640000000596046
FS( 100 ),1548548.709999999962747,1747383.080000000074506,1496708.440000000176951,1522010.500000000000000,1605628.209999999962747,1471715.499999999767169,1699866.260000000242144,11091863.699999999254942
FS( 101 ),1569465.489999999990687,1777804.080000000074506,1529154.840000000083819,1554532.300000000046566,1623643.570000000065193,1482985.899999999674037,1715766.800000000046566,11253355.980000000447035
FS( 102 ),1486855.959999999962747,1688366.340000000083819,1462407.960000000195578,1446530.800000000046566,1572975.370000000111759,1448646.399999999906868,1692347.399999999906868,10798133.230000000447035
FS( 103 ),1441967.139999999897555,1661595.860000000102445,1423935.800000000046566,1398233.500000000000000,1556930.440000000176951,1430508.099999999860302,1690128.720000000204891,10603302.560000000521541
FS( 104 ),1455950.829999999841675,1690800.020000000018626,1445721.240000000223517,1444589.200000000186265,1564530.669999999925494,1452168.399999999674037,1709850.320000000298023,10763613.679999999701977
FS( 105 ),1492378.929999999934807,1719395.760000000242144,1480021.720000000204891,1485362.800000000046566,1605909.699999999953434,1477702.899999999674037,1732160.380000000121072,10992935.190000001341105
FS( 106 ),1526221.810000000055879,1745557.820000000065193,1520347.959999999962747,1508176.600000000093132,1621673.139999999897555,1491086.499999999767169,1740542.060000000055879,11153608.889999998733401
FS( 107 ),1524106.629999999888241,1752250.440000000176951,1518030.360000000102445,1486819.000000000000000,1630962.309999999823049,1493023.599999999860302,1736351.220000000204891,11141546.560000000521541
FS( 108 ),1492143.909999999916181,1723654.699999999953434,1514785.720000000204891,1445317.300000000046566,1632651.250000000000000,1504646.199999999720603,1744979.420000000158325,11058181.500000000000000
FS( 109 ),1492026.399999999906868,1747383.080000000074506,1528227.800000000046566,1460850.100000000093132,1665304.089999999850988,1497426.099999999860302,1755086.739999999990687,11146307.310000000521541
FS( 110 ),1494494.109999999869615,1748599.919999999925494,1538888.760000000242144,1460850.100000000093132,1654607.469999999972060,1493904.099999999860302,1735611.660000000149012,11126959.120000001043081
FS( 111 ),1528807.030000000027940,1780237.760000000242144,1575970.360000000102445,1500652.899999999906868,1670652.400000000139698,1510457.499999999767169,1741404.880000000121072,11308185.830000001937151
FS( 112 ),1551721.479999999748543,1790580.900000000139698,1593584.120000000111759,1511331.700000000186265,1670370.910000000149012,1510105.299999999813735,1729695.179999999934807,11357392.589999999850988
FS( 113 ),1537267.750000000000000,1801532.459999999962747,1619541.239999999990687,1533902.800000000046566,1677689.650000000139698,1510105.299999999813735,1724025.220000000204891,11404067.419999999925494
FS( 114 ),1529042.050000000046566,1810050.340000000083819,1622785.880000000121072,1532932.000000000000000,1676282.199999999953434,1512570.699999999720603,1743993.340000000083819,11427659.509999999776483
FS( 115 ),1545963.489999999990687,1810658.760000000242144,1631592.760000000242144,1556231.200000000186265,1679097.099999999860302,1512218.500000000000000,1736104.700000000186265,11471869.509999997913837
FS( 116 ),1555834.329999999841675,1814309.280000000027940,1625567.000000000000000,1557687.400000000139698,1678534.120000000111759,1514683.899999999906868,1742144.440000000176951,11488763.469999998807907
FS( 117 ),1568055.370000000111759,1819785.060000000055879,1624639.959999999962747,1552348.000000000000000,1661363.229999999981374,1513275.099999999860302,1734995.360000000102445,11474465.080000000074506
FS( 118 ),1582509.099999999860302,1820393.480000000214204,1629275.160000000149012,1549921.000000000000000,1651229.589999999850988,1517501.499999999767169,1757675.200000000186265,11508508.030000001192093
FS( 119 ),1583214.159999999916181,1863591.300000000046566,1654305.239999999990687,1551619.900000000139698,1654888.959999999962747,1502532.999999999767169,1762975.380000000121072,11573130.940000001341105
FS( 120 ),1569230.469999999972060,1860549.199999999953434,1588485.400000000139698,1545795.100000000093132,1654888.959999999962747,1501476.399999999906868,1761126.480000000214204,11481555.009999999776483
FS( 121 ),1568525.409999999916181,1868458.660000000149012,1606562.679999999934807,1554289.600000000093132,1655733.429999999934807,1509576.999999999767169,1771233.800000000046566,11534383.580000000074506
FS( 122 ),1562297.379999999888241,1873326.020000000018626,1607953.239999999990687,1550163.699999999953434,1648414.690000000176951,1510985.799999999813735,1747074.840000000083819,11500218.669999999925494
FS( 123 ),1584741.789999999804422,1878801.800000000046566,1626494.040000000270084,1556473.899999999906868,1642784.889999999897555,1501652.499999999767169,1746705.060000000055879,11537656.979999998584390
FS( 124 ),1597785.400000000139698,1871500.760000000242144,1614442.520000000018626,1561327.899999999906868,1649540.650000000139698,1487388.399999999674037,1746458.540000000270084,11528447.170000001788139
FS( 125 ),1563119.949999999953434,1856898.680000000167638,1611661.400000000139698,1555745.799999999813735,1644755.320000000065193,1493551.899999999906868,1759770.619999999878928,11485506.669999999925494
FS( 126 ),1570758.099999999860302,1857507.100000000093132,1615833.080000000074506,1552590.699999999953434,1651229.589999999850988,1507287.699999999953434,1765194.060000000055879,11520403.330000000074506
FS( 127 ),1565470.150000000139698,1869675.500000000000000,1615369.560000000055879,1548464.800000000046566,1651229.589999999850988,1521727.899999999674037,1769015.119999999878928,11540955.619999999180436
FS( 128 ),1546551.039999999804422,1862982.880000000121072,1601927.480000000214204,1544824.300000000046566,1641940.419999999925494,1527891.399999999906868,1764824.280000000027940,11490944.799999998882413
FS( 129 ),1549723.810000000055879,1869067.080000000074506,1587558.360000000102445,1569337.000000000000000,1622799.099999999860302,1513979.499999999767169,1761249.739999999990687,11473717.589999999850988
FS( 130 ),1541968.150000000139698,1873934.440000000176951,1602854.520000000018626,1566910.000000000000000,1628147.410000000149012,1515388.299999999813735,1759154.320000000298023,11488360.140000000596046
FS( 131 ),1548078.669999999925494,1888536.520000000018626,1621395.320000000065193,1609139.800000000046566,1797604.389999999897555,1510633.599999999860302,1762605.600000000325963,11737996.899999998509884
FS( 132 ),1553484.129999999888241,1886711.260000000242144,1624176.440000000176951,1604285.799999999813735,1769455.389999999897555,1510281.399999999906868,1752005.239999999990687,11700402.660000000149012
FS( 133 ),1558537.060000000055879,1882452.320000000065193,1618614.200000000186265,1598703.700000000186265,1759040.260000000009313,1514331.699999999720603,1748184.179999999934807,11679866.419999999925494
FS( 134 ),1554541.719999999972060,1876976.540000000270084,1600536.920000000158325,1584384.400000000139698,1763262.610000000102445,1519966.899999999906868,1752744.800000000046566,11652416.890000002458692
FS( 135 ),1563002.439999999944121,1883060.739999999990687,1607489.720000000204891,1588753.000000000000000,1791130.120000000111759,1527363.099999999860302,1758168.239999999990687,11718970.359999999403954
FS( 136 ),1564177.539999999804422,1878193.380000000121072,1602391.000000000000000,1585355.199999999953434,1783248.400000000139698,1532822.199999999953434,1761249.739999999990687,11707440.459999999031425
FS( 137 ),1582509.099999999860302,1897662.820000000065193,1618150.679999999934807,1595063.199999999953434,1782403.929999999934807,1532469.999999999767169,1745718.980000000214204,11753981.710000000894070
FS( 138 ),1586504.439999999944121,1893403.880000000121072,1632056.280000000027940,1594820.500000000000000,1774522.209999999962747,1524721.599999999860302,1739062.940000000176951,11745094.849999999627471
FS( 139 ),1583214.159999999916181,1869067.080000000074506,1623249.400000000139698,1599189.100000000093132,1781559.459999999962747,1531413.399999999674037,1746828.320000000298023,11734523.919999999925494
FS( 140 ),1586504.439999999944121,1854465.000000000000000,1620931.800000000046566,1600645.300000000046566,1791130.120000000111759,1539866.199999999720603,1752498.280000000027940,11746044.139999998733401
FS( 141 ),1579923.879999999888241,1856898.680000000167638,1633446.840000000083819,1598461.000000000000000,1783529.889999999897555,1537576.899999999906868,1750895.899999999906868,11740736.090000001713634
FS( 142 ),1586386.929999999934807,1863591.300000000046566,1639009.080000000074506,1597004.800000000046566,1788878.199999999953434,1529476.299999999813735,1751512.200000000186265,11755861.809999998658895
FS( 143 ),1576398.579999999841675,1884886.000000000000000,1640863.160000000149012,1596276.699999999953434,1789722.669999999925494,1539161.799999999813735,1750526.119999999878928,11777838.029999999329448
FS( 144 ),1566410.229999999748543,1889753.360000000102445,1629275.160000000149012,1600645.300000000046566,1765796.020000000018626,1537576.899999999906868,1724148.480000000214204,11713608.450000001117587
FS( 145 ),1562767.419999999925494,1903747.020000000018626,1626494.040000000270084,1603557.699999999953434,1754254.929999999934807,1547966.799999999813735,1692470.660000000149012,11691261.570000000298023
FS( 146 ),1553954.169999999925494,1907397.540000000270084,1634373.880000000121072,1607198.199999999953434,1769173.900000000139698,1542331.599999999860302,1684088.980000000214204,11698521.269999999552965
FS( 147 ),1561827.340000000083819,1921391.199999999953434,1647815.959999999962747,1624915.300000000046566,1773677.739999999990687,1555010.799999999813735,1692100.880000000121072,11776742.220000000670552
FS( 148 ),1537267.750000000000000,1918957.520000000018626,1654768.760000000242144,1638263.800000000046566,1765233.040000000037253,1541627.199999999953434,1687170.480000000214204,11743291.550000000745058
FS( 149 ),1521286.389999999897555,1912873.320000000065193,1663575.640000000130385,1638263.800000000046566,1767484.959999999962747,1537576.899999999906868,1677063.160000000149012,11718127.169999999925494
FS( 150 ),1526574.340000000083819,1921391.199999999953434,1669601.400000000139698,1631225.500000000000000,1770581.349999999860302,1555186.899999999906868,1673242.100000000325963,11747805.790000000968575
