代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14140213.299999998882413
真實報酬,4140213.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15441.730087379544784
風險,159622.060255530261202
起點值,0.096739323265592
找到最佳解世代,2163
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
AAPL[0](4),AXP[1](6),CAT[3](5),MSFT[18](2),UNH[23](1),
FS( 14 ),2127793.160000000149012,1982115.699999999953434,2049599.079999999841675,2005903.760000000009313,2061440.779999999795109,10226852.480000000447035
FS( 15 ),2147842.820000000298023,1992907.949999999720603,2050335.699999999953434,2007987.439999999944121,2078090.199999999720603,10277164.109999999403954
FS( 16 ),2112053.240000000223517,1968856.649999999906868,2024308.459999999962747,1994443.520000000018626,2070281.179999999701977,10169943.049999998882413
FS( 17 ),2115238.700000000186265,1955597.599999999860302,2022589.680000000167638,1976037.679999999934807,2058641.319999999832362,10128104.980000000447035
FS( 18 ),2119173.679999999701977,1982115.699999999953434,2035112.219999999739230,2012502.080000000074506,2074406.699999999720603,10223310.379999998956919
FS( 19 ),2135288.360000000335276,1980265.599999999860302,2126207.559999999590218,2015280.320000000065193,2068807.779999999795109,10325849.619999999180436
FS( 20 ),2102122.100000000558794,1954055.849999999860302,2147815.080000000074506,1993401.679999999934807,2038013.719999999739230,10235408.429999999701977
FS( 21 ),2118424.160000000149012,1974715.300000000046566,2179735.280000000260770,2000347.280000000027940,2062766.839999999850988,10335988.859999999403954
FS( 22 ),2108493.019999999552965,1967623.250000000000000,2167703.820000000298023,1994096.239999999990687,2040518.500000000000000,10278434.830000000074506
FS( 23 ),2117487.259999999776483,1970706.749999999767169,2148797.240000000223517,1987845.199999999953434,2035656.279999999795109,10260492.730000000447035
FS( 24 ),2118424.160000000149012,1984582.500000000000000,2195695.379999999888241,2001736.399999999906868,2027405.239999999757856,10327843.679999999701977
FS( 25 ),2134164.080000000074506,1909961.799999999813735,2192503.360000000335276,2005209.199999999953434,2010755.819999999832362,10252594.259999999776483
FS( 26 ),2137349.540000000037253,1904411.499999999767169,2172369.080000000074506,2007292.879999999888241,2013555.279999999795109,10234978.279999999329448
FS( 27 ),2174638.160000000149012,1908728.399999999906868,2166230.580000000074506,2015627.599999999860302,2034477.560000000055879,10299702.300000000745058
FS( 28 ),2179322.660000000149012,1876660.000000000000000,2147815.080000000074506,1986108.799999999813735,1985413.339999999850988,10175319.879999998956919
FS( 29 ),2198810.179999999701977,1871418.049999999813735,2150516.019999999552965,1983330.560000000055879,1990570.239999999757856,10194645.049999998882413
FS( 30 ),2192064.500000000000000,1862784.249999999767169,2135538.080000000074506,1976732.239999999990687,1977162.299999999813735,10144281.370000001043081
FS( 31 ),2204244.200000000186265,1854767.149999999906868,2152725.879999999888241,1994096.239999999990687,1973184.119999999646097,10179017.589999999850988
FS( 32 ),2202745.160000000149012,1847058.399999999906868,2143395.360000000335276,1987150.639999999897555,1976278.259999999776483,10156627.820000000298023
FS( 33 ),2201246.120000000111759,1852608.699999999953434,2141676.580000000074506,2002430.959999999962747,2112715.099999999627471,10310677.460000000894070
FS( 34 ),2194687.820000000298023,1888685.649999999906868,2160828.700000000186265,1997916.320000000065193,2127154.419999999925494,10369272.910000000149012
FS( 35 ),2193563.540000000037253,2059203.199999999953434,2127189.719999999739230,1988192.479999999981374,2137468.219999999739230,10505617.160000000149012
FS( 36 ),2184944.059999999590218,2077087.500000000000000,2119823.519999999552965,2071886.959999999962747,2141888.419999999925494,10595630.459999999031425
FS( 37 ),2204618.959999999962747,2068762.050000000046566,2111475.160000000149012,2118422.479999999981374,2131869.299999999813735,10635147.949999999254942
FS( 38 ),2215861.759999999776483,2057969.799999999813735,2074398.620000000111759,2118075.200000000186265,2118461.359999999869615,10584766.739999998360872
FS( 39 ),2166018.679999999701977,2059819.899999999906868,2065804.719999999739230,2105573.120000000111759,2095623.659999999683350,10492840.080000000074506
FS( 40 ),2145219.500000000000000,2063828.450000000186265,2038304.239999999990687,2087167.280000000027940,2091350.799999999813735,10425870.269999999552965
FS( 41 ),2130978.620000000111759,2049027.649999999906868,2059666.219999999739230,2079179.839999999850988,2067923.739999999757856,10386776.070000000298023
FS( 42 ),2127605.780000000260770,2048102.599999999860302,2049353.539999999804422,2080916.239999999990687,2082363.060000000055879,10388341.220000000670552
FS( 43 ),2089192.879999999888241,2042860.649999999906868,2019397.659999999916181,2076748.879999999888241,2054368.459999999962747,10282568.529999999329448
FS( 44 ),2091066.680000000167638,2018192.649999999906868,1991651.639999999897555,2063899.520000000018626,2047738.159999999683350,10212548.650000000372529
FS( 45 ),2058087.800000000046566,2014492.449999999953434,1995580.279999999795109,2056259.360000000102445,2030794.060000000055879,10155213.949999999254942
FS( 46 ),2039537.180000000167638,2020042.750000000000000,2021116.439999999944121,2038895.360000000102445,2029025.979999999981374,10148617.710000000894070
FS( 47 ),2068955.839999999850988,2065986.899999999906868,2056474.199999999953434,2098280.240000000223517,2091203.459999999962747,10380900.640000000596046
FS( 48 ),2081135.540000000037253,2068145.349999999627471,2079309.420000000158325,2100016.640000000130385,2105495.439999999944121,10434102.389999998733401
FS( 49 ),2077762.699999999953434,2119639.799999999813735,2239401.500000000000000,2089598.239999999990687,2090761.439999999944121,10617163.679999999701977
FS( 50 ),2019862.280000000027940,2161883.750000000000000,2294648.000000000000000,2038548.080000000074506,2153086.259999999776483,10668028.369999999180436
FS( 51 ),2031854.600000000093132,2173909.399999999906868,2283844.240000000223517,2049661.040000000037253,2157359.119999999646097,10696628.400000000372529
FS( 52 ),1980887.239999999990687,2233112.600000000093132,2312326.879999999888241,2018405.839999999850988,2243700.359999999869615,10788432.919999998062849
FS( 53 ),2007120.439999999944121,2234654.350000000093132,2318956.459999999962747,2044451.839999999850988,2242963.659999999683350,10848146.750000000000000
FS( 54 ),2061085.879999999888241,2210294.700000000186265,2292192.599999999627471,2071539.679999999934807,2232207.839999999850988,10867320.699999999254942
FS( 55 ),2060336.360000000102445,2213378.199999999720603,2278196.820000000298023,2105920.399999999906868,2221452.020000000018626,10879283.799999998882413
FS( 56 ),2062397.540000000037253,2189326.899999999906868,2267393.059999999590218,2095849.280000000027940,2202003.139999999664724,10816969.919999998062849
FS( 57 ),2093690.000000000000000,2205977.800000000279397,2281143.299999999813735,2113560.560000000055879,2216147.779999999795109,10910519.439999999478459
FS( 58 ),2095001.659999999916181,2211528.100000000093132,2298822.179999999701977,2122589.839999999850988,2243405.679999999701977,10971347.459999999031425
FS( 59 ),2084321.000000000000000,2247296.699999999720603,2361680.419999999925494,2097585.679999999701977,2262265.199999999720603,11053148.999999998137355
FS( 60 ),2094814.280000000027940,2246680.000000000000000,2352595.440000000409782,2102100.319999999832362,2251509.379999999888241,11047699.420000001788139
FS( 61 ),2090691.919999999925494,2224170.449999999720603,2330251.299999999813735,2104878.560000000055879,2241195.580000000074506,10991187.809999998658895
FS( 62 ),2088630.739999999990687,2204436.049999999813735,2309134.860000000335276,2121548.000000000000000,2321937.899999999906868,11045687.550000000745058
FS( 63 ),2071017.020000000018626,2221395.300000000279397,2346456.940000000409782,2092723.760000000009313,2332693.719999999739230,11064286.740000002086163
FS( 64 ),2051716.879999999888241,2236504.449999999720603,2363153.660000000149012,2055912.080000000074506,2371296.799999999813735,11078583.870000001043081
FS( 65 ),2059399.460000000195578,2215845.000000000000000,2336144.259999999776483,2057648.479999999981374,2368202.659999999683350,11037239.859999999403954
FS( 66 ),2044596.439999999944121,2221086.949999999720603,2319202.000000000000000,2091334.639999999897555,2322527.259999999776483,10998747.289999999105930
FS( 67 ),2060336.360000000102445,2229720.750000000000000,2338108.580000000074506,2081958.080000000074506,2317959.719999999739230,11028083.489999998360872
FS( 68 ),2080573.400000000139698,2290774.050000000279397,2389917.519999999552965,2131271.839999999850988,2348606.439999999944121,11241143.249999998137355
FS( 69 ),2100997.820000000298023,2309891.750000000000000,2363890.280000000260770,2118769.759999999776483,2347427.719999999739230,11240977.329999998211861
FS( 70 ),2135288.360000000335276,2305574.849999999627471,2345720.320000000298023,2152108.640000000130385,2359214.919999999925494,11297907.089999999850988
FS( 71 ),2123108.660000000149012,2268881.199999999720603,2334671.019999999552965,2159054.240000000223517,2349932.500000000000000,11235647.619999999180436
FS( 72 ),2158523.479999999515712,2276898.299999999813735,2357751.780000000260770,2187183.919999999925494,2365403.199999999720603,11345760.679999999701977
FS( 73 ),2158523.479999999515712,2283990.349999999627471,2301768.660000000149012,2176765.520000000018626,2355384.080000000074506,11276432.089999999850988
FS( 74 ),2170328.419999999925494,2310816.799999999813735,2321166.320000000298023,2173292.719999999739230,2366581.919999999925494,11342186.179999999701977
FS( 75 ),2173139.120000000111759,2312666.899999999906868,2273286.019999999552965,2163568.879999999888241,2415498.799999999813735,11338159.719999998807907
FS( 76 ),2185693.580000000074506,2298791.149999999906868,2276478.040000000037253,2209409.839999999850988,2380137.199999999720603,11350509.809999998658895
FS( 77 ),2191502.360000000335276,2314517.000000000000000,2316501.059999999590218,2206631.600000000093132,2380873.899999999906868,11410025.919999999925494
FS( 78 ),2193563.540000000037253,2322534.099999999627471,2303732.979999999515712,2206631.600000000093132,2377043.060000000055879,11403505.279999999329448
FS( 79 ),2179135.280000000260770,2299716.199999999720603,2311099.179999999701977,2206978.879999999888241,2380726.560000000055879,11377656.099999999627471
FS( 80 ),2183445.019999999552965,2311741.850000000093132,2316009.979999999515712,2196213.200000000186265,2402090.859999999869615,11409500.909999998286366
FS( 81 ),2197311.139999999664724,2312050.200000000186265,2321657.399999999441206,2197602.319999999832362,2396344.599999999627471,11424965.659999998286366
FS( 82 ),2187942.139999999664724,2293240.850000000093132,2287281.799999999813735,2187531.200000000186265,2378663.799999999813735,11334659.789999999105930
FS( 83 ),2187380.000000000000000,2279365.100000000093132,2290719.360000000335276,2184405.679999999701977,2372770.199999999720603,11314640.339999999850988
FS( 84 ),2170328.419999999925494,2284298.699999999720603,2277214.660000000149012,2158012.399999999906868,2358036.199999999720603,11247890.379999998956919
FS( 85 ),2176511.959999999962747,2323459.149999999906868,2307907.160000000149012,2173292.719999999739230,2378811.139999999664724,11359982.129999998956919
FS( 86 ),2174076.019999999552965,2351519.000000000000000,2297594.479999999515712,2163568.879999999888241,2385588.779999999795109,11372347.159999998286366
FS( 87 ),2185131.440000000409782,2322534.099999999627471,2283598.700000000186265,2163568.879999999888241,2389566.959999999962747,11344400.080000001937151
FS( 88 ),2209490.839999999850988,2327159.350000000093132,2284580.860000000335276,2182322.000000000000000,2392955.779999999795109,11396508.830000000074506
FS( 89 ),2229727.879999999888241,2339185.000000000000000,2268129.679999999701977,2175376.399999999906868,2386178.139999999664724,11398597.099999997764826
FS( 90 ),2231976.440000000409782,2363544.649999999906868,2303978.519999999552965,2174681.839999999850988,2380726.560000000055879,11454908.009999999776483
FS( 91 ),2243968.759999999776483,2371561.750000000000000,2324112.799999999813735,2194476.799999999813735,2385294.099999999627471,11519414.209999999031425
FS( 92 ),2234599.759999999776483,2370636.699999999720603,2307907.160000000149012,2174334.560000000055879,2392219.080000000074506,11479697.259999999776483
FS( 93 ),2230664.780000000260770,2362619.600000000093132,2319938.620000000111759,2177460.080000000074506,2383968.040000000037253,11474651.120000001043081
FS( 94 ),2248653.259999999776483,2362002.899999999906868,2297594.479999999515712,2171556.319999999832362,2367171.279999999795109,11446978.239999998360872
FS( 95 ),2248465.879999999888241,2389446.049999999813735,2291701.519999999552965,2170514.479999999981374,2324148.000000000000000,11424275.929999999701977
FS( 96 ),2244530.900000000372529,2364778.049999999813735,2292929.219999999739230,2163568.879999999888241,2338292.639999999664724,11404099.690000001341105
FS( 97 ),2248653.259999999776483,2349668.899999999906868,2322394.019999999552965,2178849.200000000186265,2337703.279999999795109,11437268.659999998286366
FS( 98 ),2250152.299999999813735,2342576.850000000093132,2319447.540000000037253,2186489.359999999869615,2343744.219999999739230,11442410.269999999552965
FS( 99 ),2248091.120000000111759,2387595.950000000186265,2363153.660000000149012,2205937.040000000037253,2363782.459999999962747,11568560.230000000447035
FS( 100 ),2283880.700000000186265,2370945.049999999813735,2410051.799999999813735,2211493.520000000018626,2375717.000000000000000,11652088.070000000298023
FS( 101 ),2285004.979999999515712,2372178.450000000186265,2387216.580000000074506,2231983.040000000037253,2397965.339999999850988,11674348.390000000596046
FS( 102 ),2285192.360000000335276,2369711.649999999906868,2430677.160000000149012,2284422.319999999832362,2401501.500000000000000,11771504.990000000223517
FS( 103 ),2279196.200000000186265,2382970.699999999720603,2376658.360000000335276,2261849.119999999646097,2388240.899999999906868,11688915.280000001192093
FS( 104 ),2273949.559999999590218,2355219.199999999720603,2348912.339999999850988,2245179.680000000167638,2388388.239999999757856,11611649.019999999552965
FS( 105 ),2412610.759999999776483,2366936.500000000000000,2335407.639999999664724,2208020.719999999739230,2397375.979999999981374,11720351.599999999627471
FS( 106 ),2408488.400000000372529,2359227.750000000000000,2302505.280000000260770,2193782.240000000223517,2368644.679999999701977,11632648.350000001490116
FS( 107 ),2418794.299999999813735,2406405.300000000279397,2290473.820000000298023,2211493.520000000018626,2384999.419999999925494,11712166.359999999403954
FS( 108 ),2441467.280000000260770,2399621.599999999627471,2280406.679999999701977,2210104.399999999906868,2364961.179999999701977,11696561.139999998733401
FS( 109 ),2464702.400000000372529,2396538.100000000093132,2291210.440000000409782,2202811.520000000018626,2365255.859999999869615,11720518.320000000298023
FS( 110 ),2474258.780000000260770,2399004.899999999906868,2281388.839999999850988,2199686.000000000000000,2362014.379999999888241,11716352.899999998509884
FS( 111 ),2481379.219999999739230,2410722.200000000186265,2307170.540000000037253,2224690.160000000149012,2363929.799999999813735,11787891.920000001788139
FS( 112 ),2475757.820000000298023,2419972.700000000186265,2364872.440000000409782,2222606.479999999981374,2368497.339999999850988,11851706.780000001192093
FS( 113 ),2497681.280000000260770,2433231.750000000000000,2418645.700000000186265,2247610.640000000130385,2386767.500000000000000,11983936.870000001043081
FS( 114 ),2530098.020000000484288,2448649.250000000000000,2408578.559999999590218,2242401.439999999944121,2403564.259999999776483,12033291.529999999329448
FS( 115 ),2539279.639999999664724,2454507.899999999906868,2431413.780000000260770,2241012.319999999832362,2420655.699999999720603,12086869.339999997988343
FS( 116 ),2536281.559999999590218,2451732.750000000000000,2412752.740000000223517,2240665.040000000037253,2411225.939999999944121,12052658.029999999329448
FS( 117 ),2543214.620000000111759,2457899.749999999534339,2427239.599999999627471,2244137.840000000316650,2322379.919999999925494,11994871.729999998584390
FS( 118 ),2561577.859999999403954,2465916.850000000093132,2408824.099999999627471,2239623.199999999720603,2365845.219999999739230,12041787.229999996721745
FS( 119 ),2569260.440000000409782,2462525.000000000000000,2411279.500000000000000,2235108.560000000055879,2365845.219999999739230,12044018.719999998807907
FS( 120 ),2558392.400000000372529,2468383.649999999906868,2346211.399999999441206,2244137.840000000316650,2395755.239999999757856,12012880.530000001192093
FS( 121 ),2560828.339999999850988,2459441.500000000000000,2344492.620000000111759,2244137.840000000316650,2402532.879999999888241,12011433.179999999701977
FS( 122 ),2565887.600000000558794,2472083.850000000093132,2392618.459999999962747,2230593.919999999925494,2436715.759999999776483,12097899.590000001713634
FS( 123 ),2567011.879999999888241,2468692.000000000000000,2373466.339999999850988,2221911.919999999925494,2436715.759999999776483,12067797.900000000372529
FS( 124 ),2619478.280000000260770,2526045.100000000093132,2420610.019999999552965,2255250.799999999813735,2474434.799999999813735,12295819.000000000000000
FS( 125 ),2603925.740000000223517,2469925.399999999906868,2316992.139999999664724,2222953.760000000242144,2465152.379999999888241,12078949.420000001788139
FS( 126 ),2619290.900000000372529,2463141.699999999720603,2335653.179999999701977,2231288.479999999981374,2478265.639999999664724,12127639.899999998509884
FS( 127 ),2611046.179999999701977,2451424.399999999906868,2348912.339999999850988,2231983.040000000037253,2485632.639999999664724,12128998.600000001490116
FS( 128 ),2614419.020000000484288,2453891.199999999720603,2355541.919999999925494,2236497.680000000167638,2479739.040000000037253,12140088.859999999403954
FS( 129 ),2604675.259999999776483,2437240.300000000279397,2289246.120000000111759,2256987.199999999720603,2473992.779999999795109,12062141.660000000149012
FS( 130 ),2598679.100000000558794,2445257.399999999906868,2244066.759999999776483,2247957.919999999925494,2475466.179999999701977,12011427.359999999403954
FS( 131 ),2607298.580000000074506,2447724.199999999720603,2266656.440000000409782,2254903.520000000018626,2504492.159999999683350,12081074.900000000372529
FS( 132 ),2608422.859999999403954,2442482.249999999534339,2274759.259999999776483,2247263.359999999869615,2507880.979999999981374,12080808.709999999031425
FS( 133 ),2604487.879999999888241,2457283.049999999813735,2255607.139999999664724,2236844.959999999962747,2490936.879999999888241,12045159.910000000149012
FS( 134 ),2632032.740000000223517,2443098.950000000186265,2292438.139999999664724,2248652.479999999981374,2531013.359999999869615,12147235.669999999925494
FS( 135 ),2636342.479999999515712,2459749.849999999627471,2279915.599999999627471,2244832.399999999906868,2523941.040000000037253,12144781.369999997317791
FS( 136 ),2623225.879999999888241,2443715.649999999906868,2281388.839999999850988,2252819.840000000316650,2500366.639999999664724,12101516.849999997764826
FS( 137 ),2650770.740000000223517,2431381.649999999906868,2342528.299999999813735,2254903.520000000018626,2475318.839999999850988,12154903.050000000745058
FS( 138 ),2620415.179999999701977,2390679.449999999720603,2269602.919999999925494,2229899.359999999869615,2470898.639999999664724,11981495.549999997019768
FS( 139 ),2650021.219999999739230,2394996.350000000093132,2269602.919999999925494,2258376.319999999832362,2461026.859999999869615,12034023.669999999925494
FS( 140 ),2640652.219999999739230,2400238.299999999813735,2264692.120000000111759,2252819.840000000316650,2435389.699999999720603,11993792.179999999701977
FS( 141 ),2635405.580000000074506,2411338.899999999906868,2262727.799999999813735,2256639.919999999925494,2431116.839999999850988,11997229.039999999105930
FS( 142 ),2639902.700000000186265,2392837.899999999906868,2247013.240000000223517,2260807.279999999795109,2425223.239999999757856,11965784.359999999403954
FS( 143 ),2694617.660000000149012,2424906.299999999813735,2282371.000000000000000,2267405.600000000093132,2436273.739999999757856,12105574.300000000745058
FS( 144 ),2700613.820000000298023,2412880.649999999906868,2280161.139999999664724,2273656.640000000130385,2408131.799999999813735,12075444.050000000745058
FS( 145 ),2697053.600000000558794,2442482.249999999534339,2289000.580000000074506,2281991.359999999869615,2430969.500000000000000,12141497.289999999105930
FS( 146 ),2691994.339999999850988,2439398.750000000000000,2277705.740000000223517,2287200.560000000055879,2416530.179999999701977,12112829.570000000298023
FS( 147 ),2692743.859999999403954,2423364.549999999813735,2265674.280000000260770,2276434.879999999888241,2439809.899999999906868,12098027.470000000670552
FS( 148 ),2712793.520000000484288,2413189.000000000000000,2311344.719999999739230,2282685.919999999925494,2430674.819999999832362,12150687.980000000447035
FS( 149 ),2698740.020000000484288,2397771.500000000000000,2314045.660000000149012,2276782.160000000149012,2436568.419999999925494,12123907.759999999776483
FS( 150 ),2691994.339999999850988,2402705.100000000093132,2352840.979999999515712,2282685.919999999925494,2436126.399999999906868,12166352.740000000223517
FS( 151 ),2685998.179999999701977,2398079.849999999627471,2345474.780000000260770,2280949.520000000018626,2446145.520000000018626,12156647.849999999627471
FS( 152 ),2682812.719999999739230,2389446.049999999813735,2385252.259999999776483,2275740.319999999832362,2438189.159999999683350,12171440.509999999776483
FS( 153 ),2653956.200000000186265,2382354.000000000000000,2384270.099999999627471,2274003.919999999925494,2443346.060000000055879,12137930.279999999329448
FS( 154 ),2657141.660000000149012,2364469.700000000186265,2329269.139999999664724,2265321.919999999925494,2439367.879999999888241,12055570.300000000745058
FS( 155 ),2643088.160000000149012,2337334.899999999906868,2286054.099999999627471,2255598.080000000074506,2430527.479999999981374,11952602.720000000670552
FS( 156 ),2657703.799999999813735,2364161.350000000093132,2311590.259999999776483,2274003.919999999925494,2463236.959999999962747,12070696.289999999105930
FS( 157 ),2645898.859999999403954,2337026.550000000279397,2317728.759999999776483,2270878.399999999906868,2484011.899999999906868,12055544.470000000670552
FS( 158 ),2636155.100000000558794,2329626.149999999906868,2295139.080000000074506,2258723.600000000093132,2493736.339999999850988,12013380.269999999552965
FS( 159 ),2669133.979999999515712,2467458.599999999627471,2324358.339999999850988,2274698.479999999981374,2527477.199999999720603,12263126.599999997764826
FS( 160 ),2665948.520000000484288,2454199.549999999813735,2316009.979999999515712,2305953.680000000167638,2521878.279999999795109,12263990.009999999776483
FS( 161 ),2691619.580000000074506,2480717.649999999906868,2377149.440000000409782,2345196.319999999832362,2539117.060000000055879,12433800.050000000745058
FS( 162 ),2708296.400000000372529,2486267.949999999720603,2564005.379999999888241,2358740.240000000223517,2564312.199999999720603,12681622.169999998062849
FS( 163 ),2692369.100000000558794,2482876.099999999627471,2569898.339999999850988,2355614.719999999739230,2569321.759999999776483,12670080.019999999552965
FS( 164 ),2694430.280000000260770,2477017.449999999720603,2521281.419999999925494,2370895.040000000037253,2573005.259999999776483,12636629.450000001117587
FS( 165 ),2691806.959999999962747,2443715.649999999906868,2510968.740000000223517,2377493.359999999869615,2576688.759999999776483,12600673.469999998807907
FS( 166 ),2746709.299999999813735,2443098.950000000186265,2504584.700000000186265,2410484.959999999962747,2572415.899999999906868,12677293.810000000521541
FS( 167 ),2764135.639999999664724,2452657.800000000279397,2492553.240000000223517,2406664.879999999888241,2565785.599999999627471,12681797.159999998286366
FS( 168 ),2755703.540000000037253,2430764.949999999720603,2493289.860000000335276,2399024.719999999739230,2542211.199999999720603,12620994.269999999552965
FS( 169 ),2745772.400000000372529,2415347.449999999720603,2440498.759999999776483,2389648.160000000149012,2564017.520000000018626,12555284.289999999105930
FS( 170 ),2791305.740000000223517,2415039.099999999627471,2446637.259999999776483,2396246.479999999981374,2565490.919999999925494,12614719.500000000000000
FS( 171 ),2867194.639999999664724,2410105.500000000000000,2440007.679999999701977,2394162.799999999813735,2570205.799999999813735,12681676.419999998062849
FS( 172 ),2885557.879999999888241,2418739.299999999813735,2438043.360000000335276,2397635.600000000093132,2552525.000000000000000,12692501.140000000596046
FS( 173 ),2871879.139999999664724,2425214.649999999906868,2464316.139999999664724,2407012.160000000149012,2554735.099999999627471,12723157.189999999478459
FS( 174 ),2884808.359999999403954,2402705.100000000093132,2479785.160000000149012,2377493.359999999869615,2553703.719999999739230,12698495.699999999254942
FS( 175 ),2925095.059999999590218,2389446.049999999813735,2472910.040000000037253,2374715.119999999646097,2531455.379999999888241,12693621.649999998509884
FS( 176 ),2917599.859999999403954,2415347.449999999720603,2514897.379999999888241,2376451.520000000018626,2527329.859999999869615,12751626.069999998435378
FS( 177 ),2913290.120000000111759,2409180.449999999720603,2512933.059999999590218,2410484.959999999962747,2477086.919999999925494,12722975.509999999776483
FS( 178 ),2815477.759999999776483,2354910.850000000093132,2458914.259999999776483,2343459.919999999925494,2487990.080000000074506,12460752.869999999180436
FS( 179 ),2858387.780000000260770,2355219.199999999720603,2460878.580000000074506,2351447.359999999869615,2526151.139999999664724,12552084.059999998658895
FS( 180 ),2868131.540000000037253,2368169.899999999906868,2515142.919999999925494,2350752.799999999813735,2542947.899999999906868,12645145.060000000521541
FS( 181 ),2885557.879999999888241,2373720.200000000186265,2511705.360000000335276,2377146.080000000074506,2574036.639999999664724,12722166.160000000149012
FS( 182 ),2881997.660000000149012,2380503.899999999906868,2544607.719999999739230,2385133.520000000018626,2581698.319999999832362,12773941.120000001043081
FS( 183 ),2873378.179999999701977,2378037.100000000093132,2552465.000000000000000,2388259.040000000037253,2587149.899999999906868,12779289.220000000670552
FS( 184 ),2883309.320000000298023,2387904.299999999813735,2578737.780000000260770,2417777.840000000316650,2623395.540000000037253,12891124.780000001192093
FS( 185 ),2878437.440000000409782,2388520.999999999534339,2594452.339999999850988,2429585.359999999869615,2615291.839999999850988,12906287.979999998584390
FS( 186 ),2879561.719999999739230,2377112.049999999813735,2589787.080000000074506,2445212.959999999962747,2601883.899999999906868,12893557.709999999031425
FS( 187 ),2862510.139999999664724,2372486.799999999813735,2588804.919999999925494,2425418.000000000000000,2581108.959999999962747,12830328.820000000298023
FS( 188 ),2870380.100000000558794,2413805.699999999720603,2594206.799999999813735,2434447.279999999795109,2645938.560000000055879,12958778.440000001341105
FS( 189 ),2912915.359999999403954,2420281.049999999813735,2601573.000000000000000,2492095.760000000242144,2643139.099999999627471,13070004.269999999552965
FS( 190 ),2884433.600000000558794,2435081.850000000093132,2583157.500000000000000,2510154.319999999832362,2642844.419999999925494,13055671.690000001341105
FS( 191 ),2894177.359999999403954,2431381.649999999906868,2567197.399999999441206,2518489.040000000037253,2664208.719999999739230,13075454.169999998062849
FS( 192 ),2911416.320000000298023,2460983.250000000000000,2541661.240000000223517,2513974.399999999906868,2699422.979999999981374,13127458.190000001341105
FS( 193 ),2904295.879999999888241,2465300.149999999906868,2578492.240000000223517,2498694.080000000074506,2677027.299999999813735,13123809.649999998509884
FS( 194 ),2791680.500000000000000,2476400.750000000000000,2600836.379999999888241,2442087.439999999944121,2673638.479999999981374,12984643.550000000745058
FS( 195 ),2724973.219999999739230,2472083.850000000093132,2604519.479999999515712,2423334.319999999832362,2641076.339999999850988,12865987.209999999031425
