代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11484954.859999999403954
真實報酬,1484954.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,7332.953584363410300
風險,177180.657873306219699
起點值,0.041386874122608
找到最佳解世代,2152
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PG[21](1),V[25](8),WMT[28](2),
FS( 46 ),3358572.280000000726432,3269963.979999999981374,3762654.200000000186265,10391191.460000000894070
FS( 47 ),3305917.920000000391155,3229638.239999999757856,3676442.799999999813735,10211999.960000000894070
FS( 48 ),3336379.120000000577420,3275724.799999999813735,3715787.599999999627471,10327892.519999999552965
FS( 49 ),3329416.560000000521541,3312948.560000000055879,3681071.599999999627471,10323437.720000000670552
FS( 50 ),3300696.000000000000000,3239387.319999999832362,3582709.600000000093132,10122793.919999999925494
FS( 51 ),3313750.800000000745058,3270407.119999999646097,3648670.000000000000000,10232828.919999999925494
FS( 52 ),3262837.080000000540167,3183108.540000000037253,3583288.199999999720603,10029234.820000000298023
FS( 53 ),3338990.080000000540167,3163610.379999999888241,3619740.000000000000000,10122341.460000000894070
FS( 54 ),3299825.680000000167638,3132147.440000000409782,3520220.800000000279397,9952194.920000001788139
FS( 55 ),3338554.920000000391155,3171143.760000000242144,3580395.200000000186265,10090094.880000000819564
FS( 56 ),3366405.160000000149012,3221661.720000000204891,3627261.799999999813735,10215329.679999999701977
FS( 57 ),3344212.000000000000000,3179120.279999999795109,3671235.399999999906868,10194568.679999999701977
FS( 58 ),3429503.360000000335276,3185324.239999999757856,3703058.399999999906868,10317887.000000000000000
FS( 59 ),3429068.200000000186265,3142339.659999999683350,3700165.399999999906868,10271574.259999999776483
FS( 60 ),3473454.520000000018626,3072323.540000000037253,3715787.599999999627471,10261566.660000000149012
FS( 61 ),3554829.440000000409782,3300983.779999999795109,3839608.000000000000000,10695422.220000000670552
FS( 62 ),3530025.320000000763685,3296109.239999999757856,3905568.399999999906868,10731703.960000000894070
FS( 63 ),3490860.920000000391155,3252681.520000000018626,3868538.000000000000000,10612081.440000001341105
FS( 64 ),3529155.000000000000000,3296109.239999999757856,3834400.599999999627471,10659665.839999999850988
FS( 65 ),3511748.600000000558794,3265089.440000000409782,3843079.600000000093132,10619918.640000000596046
FS( 66 ),3533506.600000000558794,3170257.479999999981374,3876638.399999999906868,10580403.480000000447035
FS( 67 ),3595299.320000000763685,3003193.699999999720603,3870852.400000000372529,10469346.420000001788139
FS( 68 ),3596169.640000000596046,3028009.540000000037253,3807785.000000000000000,10431965.179999999701977
FS( 69 ),3551783.320000000763685,3108661.020000000018626,3806627.800000000279397,10467073.140000000596046
FS( 70 ),3476935.800000000745058,3034213.500000000000000,3779433.599999999627471,10290583.900000000372529
FS( 71 ),3524368.240000000223517,3120625.799999999813735,3829193.200000000186265,10474188.240000000223517
FS( 72 ),3545255.920000000391155,3150759.319999999832362,3812992.400000000372529,10509008.640000000596046
FS( 73 ),3587901.600000000558794,3191971.339999999850988,3825143.000000000000000,10605016.940000001341105
FS( 74 ),3567449.080000000540167,3156963.279999999795109,3710001.600000000093132,10434414.960000000894070
FS( 75 ),3559181.040000000502914,3169814.339999999850988,3741245.999999999534339,10470242.380000000819564
FS( 76 ),3573976.479999999981374,3237614.760000000242144,3797370.199999999720603,10608962.439999999478459
FS( 77 ),3560051.360000000335276,3197289.020000000018626,3846551.200000000186265,10603892.580000001937151
FS( 78 ),3549172.360000000335276,3183994.819999999832362,3883581.600000000093132,10616749.779999999329448
FS( 79 ),3583114.840000000316650,3246920.699999999720603,3936812.800000000279397,10766849.339999999850988
FS( 80 ),3529155.000000000000000,3222991.140000000130385,3848287.000000000000000,10600434.140000000596046
FS( 81 ),3493907.040000000502914,3207924.379999999888241,3838450.800000000279397,10540283.220000000670552
FS( 82 ),3534812.080000000540167,3307630.879999999888241,3845393.999999999534339,10687837.960000000894070
FS( 83 ),3592253.200000000186265,3292564.119999999646097,3830928.999999999534339,10715747.320000000298023
FS( 84 ),3604872.840000000316650,3275281.659999999683350,3826878.799999999813735,10707034.300000000745058
FS( 85 ),3633158.240000000223517,3274838.520000000018626,3863909.200000000186265,10771906.960000000894070
FS( 86 ),3616187.000000000000000,3187983.079999999608845,3928133.799999999813735,10732304.879999998956919
FS( 87 ),3614446.360000000335276,3129488.600000000093132,3936812.800000000279397,10680748.760000001639128
FS( 88 ),3610094.760000000242144,3132147.440000000409782,3907304.200000000186265,10649547.400000002235174
FS( 89 ),3580503.880000000353903,3111763.000000000000000,3900360.999999999534339,10592628.880000000819564
FS( 90 ),3557440.400000000372529,3174245.739999999757856,3886474.600000000093132,10618161.740000000223517
FS( 91 ),3532201.120000000577420,3168041.779999999795109,3897468.000000000000000,10597711.900000000372529
FS( 92 ),3538293.360000000335276,3186653.659999999683350,3939705.800000000279397,10664653.820000000298023
FS( 93 ),3539598.840000000316650,3207038.100000000093132,3933919.799999999813735,10680557.740000000223517
FS( 94 ),3600956.400000000372529,3241159.879999999888241,3902675.399999999906868,10744792.679999999701977
FS( 95 ),3618362.800000000745058,3269520.839999999850988,3873745.399999999906868,10761630.040000000968575
FS( 96 ),3625760.520000000018626,3269077.699999999720603,3932762.599999999627471,10827601.820000000298023
FS( 97 ),3600521.240000000223517,3233183.359999999869615,3926976.600000000093132,10760682.199999999254942
FS( 98 ),3604002.520000000018626,3275281.659999999683350,3903253.999999999534339,10782539.179999999701977
FS( 99 ),3607048.640000000596046,3285473.879999999888241,3934498.399999999906868,10827021.919999999925494
FS( 100 ),3595299.320000000763685,3282815.040000000037253,3941441.600000000093132,10819556.960000000894070
FS( 101 ),3603132.200000000186265,3340423.239999999757856,3936234.200000000186265,10879790.640000000596046
FS( 102 ),3597910.280000000726432,3402462.839999999850988,3980786.399999999906868,10981160.520000001415610
FS( 103 ),3581809.360000000335276,3389168.640000000130385,3962849.799999999813735,10933828.800000000745058
FS( 104 ),3634898.880000000353903,3438357.180000000167638,3995830.000000000000000,11069087.060000000521541
FS( 105 ),3620973.760000000242144,3448992.540000000037253,3998144.399999999441206,11068111.699999999254942
FS( 106 ),3618797.960000000428408,3410882.500000000000000,3971528.799999999813735,11001210.260000001639128
FS( 107 ),3647083.360000000335276,3465831.859999999869615,3994672.800000000279397,11107589.020000001415610
FS( 108 ),3622279.240000000223517,3437914.040000000037253,3947227.599999999627471,11007421.879999998956919
FS( 109 ),3620538.600000000558794,3457855.339999999850988,3937970.000000000000000,11016364.940000001341105
FS( 110 ),3600086.080000000540167,3448549.399999999441206,3899782.400000000372529,10948418.880000000819564
FS( 111 ),3604437.680000000167638,3479569.199999999720603,3980786.399999999906868,11064794.279999999329448
FS( 112 ),3588336.760000000242144,3532302.859999999869615,4001037.400000000372529,11121678.019999999552965
FS( 113 ),3568754.560000000521541,3559777.540000000037253,3980786.399999999906868,11109319.500000000000000
FS( 114 ),3581374.200000000186265,3548699.040000000037253,3995830.000000000000000,11125904.240000000223517
FS( 115 ),3604437.680000000167638,3609409.220000000204891,4042118.000000000000000,11255965.900000000372529
FS( 116 ),3624019.880000000353903,3578389.419999999925494,4036910.599999999627471,11239320.900000000372529
FS( 117 ),3548737.200000000186265,3596115.020000000018626,4004508.999999999534339,11149362.220000000670552
FS( 118 ),3516100.200000000186265,3580161.979999999981374,3961692.599999999627471,11057955.779999999329448
FS( 119 ),3522627.600000000558794,3505714.459999999962747,3976157.599999999627471,11004500.660000000149012
FS( 120 ),3542644.960000000428408,3462729.879999999888241,4019552.599999999627471,11024928.439999999478459
FS( 121 ),3461705.200000000186265,3480012.339999999850988,4009716.399999999906868,10951434.939999999478459
FS( 122 ),3476500.640000000596046,3490204.560000000055879,4016659.600000000093132,10983365.800000000745058
FS( 123 ),3470843.560000000521541,3442345.440000000409782,3987150.999999999534339,10900341.000000000000000
FS( 124 ),3486509.320000000763685,3422847.279999999795109,3869116.600000000093132,10778474.200000001117587
FS( 125 ),3523497.920000000391155,3476910.359999999869615,3910775.800000000279397,10911185.080000000074506
FS( 126 ),3529155.000000000000000,3420631.579999999608845,3876638.399999999906868,10826425.980000000447035
FS( 127 ),3550913.000000000000000,3420631.579999999608845,3887631.799999999813735,10859177.379999998956919
FS( 128 ),3537858.200000000186265,3428164.959999999962747,3888788.999999999534339,10854813.160000000149012
FS( 129 ),3573976.479999999981374,3444118.000000000000000,3948963.399999999906868,10967058.880000000819564
FS( 130 ),3573541.320000000763685,3466275.000000000000000,3989465.399999999906868,11029282.720000000670552
FS( 131 ),3589207.080000000540167,3509702.720000000204891,3980207.800000000279397,11079118.600000001490116
FS( 132 ),3574846.800000000745058,3425506.119999999646097,3842500.999999999534339,10842854.919999999925494
FS( 133 ),3586160.960000000428408,3451651.379999999888241,3867959.399999999441206,10905772.739999998360872
FS( 134 ),3534812.080000000540167,3404678.540000000037253,3757446.799999999813735,10696938.420000001788139
FS( 135 ),3552218.479999999981374,3447663.119999999646097,3819935.599999999627471,10819818.199999999254942
FS( 136 ),3508267.320000000763685,3402905.979999999981374,3766704.399999999441206,10677878.699999999254942
FS( 137 ),3474760.000000000000000,3431266.940000000409782,3653877.399999999906868,10559905.339999999850988
FS( 138 ),3489555.440000000409782,3406894.239999999757856,4003930.399999999906868,10900381.080000000074506
FS( 139 ),3482157.720000000204891,3441902.299999999813735,4042118.000000000000000,10966179.019999999552965
FS( 140 ),3489990.600000000558794,3421517.859999999869615,4021288.399999999906868,10932797.860000001266599
FS( 141 ),3523497.920000000391155,3517679.239999999757856,4064104.799999999813735,11105282.960000000894070
FS( 142 ),3545691.080000000540167,3503498.760000000242144,4077991.200000000186265,11127182.040000000968575
FS( 143 ),3534376.920000000391155,3500839.919999999925494,4099399.399999999441206,11134617.239999998360872
FS( 144 ),3543515.280000000726432,3530087.159999999683350,4093613.399999999906868,11167216.839999999850988
FS( 145 ),3526544.040000000502914,3498181.079999999608845,4095349.200000000186265,11120075.320000000298023
FS( 146 ),3559181.040000000502914,3510589.000000000000000,4079148.399999999906868,11148919.440000001341105
FS( 147 ),3566143.600000000558794,3542938.220000000204891,4105185.399999999906868,11214268.220000000670552
FS( 148 ),3588771.920000000391155,3542495.079999999608845,4100556.600000000093132,11231824.599999999627471
FS( 149 ),3601826.720000000204891,3569083.479999999981374,4110971.399999999906868,11281882.599999999627471
FS( 150 ),3582244.520000000018626,3571742.319999999832362,4109814.200000000186265,11263802.039999999105930
FS( 151 ),3596604.800000000745058,3618272.020000000018626,4124279.200000000186265,11339157.019999999552965
FS( 152 ),3619233.120000000577420,3600989.560000000055879,4113285.800000000279397,11333509.480000000447035
FS( 153 ),3620538.600000000558794,3553130.440000000409782,4116178.799999999813735,11289848.839999999850988
FS( 154 ),3593123.520000000018626,3474251.520000000018626,4080884.200000000186265,11148260.240000000223517
FS( 155 ),3627066.000000000000000,3481784.899999999441206,4105185.399999999906868,11214037.299999998882413
FS( 156 ),3609659.600000000558794,3464059.299999999813735,4115021.600000000093132,11188741.500000000000000
FS( 157 ),3629676.960000000428408,3472035.819999999832362,4125436.399999999906868,11227150.179999999701977
FS( 158 ),3617492.479999999981374,3411768.779999999795109,4105185.399999999906868,11134447.660000000149012
FS( 159 ),3613576.040000000502914,3427278.680000000167638,4113864.399999999441206,11154720.120000001043081
FS( 160 ),3629676.960000000428408,3426835.540000000037253,4134693.999999999534339,11191207.500000000000000
FS( 161 ),3636639.520000000018626,3391384.339999999850988,4151473.399999999906868,11179498.259999999776483
FS( 162 ),3664489.760000000242144,3466718.140000000130385,4171724.399999999441206,11302933.300000000745058
FS( 163 ),3579633.560000000521541,3325799.619999999646097,4163623.999999999534339,11069058.179999999701977
FS( 164 ),3534812.080000000540167,3250022.680000000167638,4137008.399999999906868,10921844.160000000149012
FS( 165 ),3588336.760000000242144,3330674.159999999683350,4137587.000000000000000,11056598.919999999925494
FS( 166 ),3651434.960000000428408,3400690.279999999795109,4192553.999999999534339,11244680.240000000223517
FS( 167 ),3684507.120000000577420,3286803.299999999813735,4224955.599999999627471,11196267.019999999552965
FS( 168 ),3689293.880000000353903,3300540.640000000130385,4212805.000000000000000,11202640.519999999552965
FS( 169 ),3718014.440000000409782,3308960.299999999813735,4231898.800000000745058,11258874.540000000968575
FS( 170 ),3700172.880000000353903,3281928.760000000242144,4271243.599999999627471,11253346.240000000223517
FS( 171 ),3691469.680000000167638,3281928.760000000242144,4254464.199999999254942,11227863.640000000596046
FS( 172 ),3732374.720000000204891,3386509.799999999813735,4272400.800000000745058,11391286.320000000298023
FS( 173 ),3731504.400000000372529,3390941.199999999720603,4285130.000000000000000,11407576.599999999627471
FS( 174 ),3731504.400000000372529,3433482.640000000130385,4239420.599999999627471,11404408.640000000596046
FS( 175 ),3737596.640000000596046,3432596.359999999869615,4259671.599999999627471,11429865.599999999627471
FS( 176 ),3736726.320000000763685,3462729.879999999888241,4264300.400000000372529,11463757.600000001490116
FS( 177 ),3742818.560000000521541,3469820.119999999646097,4262564.599999999627471,11475204.279999999329448
FS( 178 ),3739337.280000000726432,3470263.260000000242144,4272400.800000000745058,11482002.340000001713634
FS( 179 ),3749781.120000000577420,3488432.000000000000000,4261986.000000000000000,11500200.120000001043081
FS( 180 ),3712792.520000000018626,3516792.959999999962747,4269507.800000000745058,11499094.280000001192093
FS( 181 ),3710181.560000000521541,3491533.979999999981374,4253885.599999999627471,11455602.140000000596046
FS( 182 ),3730198.920000000391155,3541165.659999999683350,4255621.400000000372529,11526986.980000000447035
FS( 183 ),3733680.200000000186265,3498181.079999999608845,4267193.400000000372529,11499055.679999999701977
FS( 184 ),3710616.720000000204891,3478239.779999999795109,4266036.199999999254942,11454893.699999999254942
FS( 185 ),3675368.760000000242144,3480012.339999999850988,4242313.599999999627471,11397695.699999999254942
FS( 186 ),3690599.360000000335276,3509259.579999999608845,4237684.799999998882413,11437544.739999998360872
FS( 187 ),3724541.840000000316650,3458741.619999999646097,4222062.599999999627471,11405347.059999998658895
FS( 188 ),3760224.960000000428408,3468047.560000000055879,4268929.199999999254942,11497202.719999998807907
FS( 189 ),3775455.560000000521541,3468933.839999999850988,4231320.199999999254942,11475710.599999999627471
FS( 190 ),3741077.920000000391155,3487988.859999999869615,4220326.799999998882413,11449394.579999998211861
FS( 191 ),3744559.200000000186265,3522110.640000000130385,4241156.400000000372529,11507827.240000000223517
FS( 192 ),3732809.880000000353903,3551357.879999999888241,4267772.000000000000000,11551940.759999999776483
FS( 193 ),3731939.560000000521541,3542938.220000000204891,4243470.800000000745058,11518349.580000001937151
FS( 194 ),3741948.240000000223517,3547812.760000000242144,4255042.800000000745058,11544804.800000000745058
FS( 195 ),3755873.360000000335276,3530973.440000000409782,4278765.400000000372529,11565613.200000001117587
FS( 196 ),3774150.080000000540167,3550471.600000000093132,4270086.400000000372529,11594709.080000001937151
FS( 197 ),3787640.040000000502914,3546040.199999999720603,4275293.800000000745058,11608975.040000000968575
FS( 198 ),3786769.720000000204891,3585479.659999999683350,4242313.599999999627471,11614563.980000000447035
FS( 199 ),3767622.680000000167638,3581048.260000000242144,4217433.800000000745058,11566105.740000002086163
FS( 200 ),3784158.760000000242144,3582377.680000000167638,4219748.200000001117587,11586285.640000000596046
FS( 201 ),3805046.440000000409782,3557118.699999999720603,4299016.400000000372529,11661182.540000000968575
FS( 202 ),3799389.360000000335276,3565981.500000000000000,4212805.000000000000000,11578176.859999999403954
FS( 203 ),3779372.000000000000000,3592126.760000000242144,4206440.400000000372529,11577940.160000000149012
FS( 204 ),3803305.800000000745058,3580605.119999999646097,4164202.599999999627471,11548114.519999999552965
FS( 205 ),3799389.360000000335276,3558004.979999999981374,4179246.200000000186265,11536641.539999999105930
FS( 206 ),3825063.800000000745058,3559334.399999999441206,4120807.599999999627471,11505206.800000000745058
FS( 207 ),3811138.680000000167638,3570412.899999999441206,4116178.799999999813735,11497731.379999998956919
FS( 208 ),3842470.200000000186265,3583707.100000000093132,4131222.400000000372529,11557400.700000001117587
FS( 209 ),3809398.040000000502914,3597001.299999999813735,4126015.000000000000000,11532415.339999999850988
FS( 210 ),3799389.360000000335276,3585036.520000000018626,4133536.799999999813735,11517963.679999999701977
FS( 211 ),3842905.360000000335276,3602762.119999999646097,4214540.800000000745058,11660209.280000001192093
FS( 212 ),3838118.600000000558794,3633781.919999999925494,4194868.400000000372529,11666769.920000001788139
FS( 213 ),3857265.640000000596046,3657268.339999999850988,4223798.400000000372529,11738333.380000000819564
FS( 214 ),3827239.600000000558794,3688731.279999999795109,4169410.000000000000000,11685381.880000000819564
FS( 215 ),3819841.880000000353903,3676766.500000000000000,4156102.199999999720603,11652711.580000000074506
FS( 216 ),3752827.240000000223517,3604091.540000000037253,4067576.399999999906868,11424496.179999999701977
FS( 217 ),3840294.400000000372529,3676766.500000000000000,4162466.799999999813735,11679528.699999999254942
FS( 218 ),3788075.200000000186265,3628907.379999999888241,4134693.999999999534339,11551677.580000000074506
FS( 219 ),3786334.560000000521541,3611181.779999999795109,4138165.599999999627471,11535682.939999999478459
FS( 220 ),3832026.360000000335276,3634225.060000000055879,4189082.400000000372529,11655334.820000000298023
FS( 221 ),3831591.200000000186265,3636883.899999999441206,4216276.599999999627471,11684752.699999999254942
FS( 222 ),3845516.320000000763685,3656382.060000000055879,4171145.800000000279397,11673045.180000001564622
FS( 223 ),3854654.680000000167638,3655052.640000000130385,4164202.599999999627471,11673910.919999999925494
FS( 224 ),3820712.200000000186265,3687845.000000000000000,4176931.799999999813735,11685490.000000000000000
FS( 225 ),3872496.240000000223517,3694048.959999999962747,4181560.599999999627471,11748106.800000000745058
FS( 226 ),3818971.560000000521541,3657711.479999999981374,4186189.399999999441206,11662873.440000001341105
FS( 227 ),3822888.000000000000000,3625362.260000000242144,4143951.600000000093132,11592202.859999999403954
FS( 228 ),3845081.160000000149012,3640872.159999999683350,4185032.199999999720603,11670986.519999999552965
FS( 229 ),3892948.760000000242144,3676766.500000000000000,4153787.800000000279397,11723504.060000000521541
FS( 230 ),3839424.080000000540167,3630236.799999999813735,4092456.200000000186265,11562118.080000001937151
FS( 231 ),3905568.400000000372529,3664801.720000000204891,4172881.600000000093132,11743252.720000000670552
FS( 232 ),3858135.960000000428408,3671891.959999999962747,4166517.000000000000000,11696545.919999999925494
FS( 233 ),3844646.000000000000000,3666131.140000000130385,4151473.399999999906868,11662251.540000000968575
FS( 234 ),3866404.000000000000000,3693605.819999999832362,4146844.600000000093132,11706855.419999999925494
FS( 235 ),3882504.920000000391155,3694048.959999999962747,4013188.000000000000000,11589742.880000000819564
FS( 236 ),3916447.400000000372529,3672778.239999999757856,3975000.399999999906868,11564227.040000000968575
FS( 237 ),3875542.360000000335276,3683413.600000000093132,3933341.200000000186265,11492298.160000000149012
FS( 238 ),3852914.040000000502914,3635554.479999999981374,3899203.799999999813735,11387673.320000000298023
FS( 239 ),3854219.520000000018626,3644860.419999999925494,3903253.999999999534339,11402334.939999999478459
FS( 240 ),3839859.240000000223517,3628021.100000000093132,3947806.200000000186265,11415687.539999999105930
FS( 241 ),3848127.280000000726432,3653723.220000000204891,3960535.399999999906868,11462386.900000000372529
FS( 242 ),3822017.680000000167638,3640429.020000000018626,3947227.599999999627471,11409675.300000000745058
FS( 243 ),3805481.600000000558794,3615170.040000000037253,3984836.600000000093132,11405489.240000000223517
FS( 244 ),3722366.040000000502914,3669676.260000000242144,3985993.799999999813735,11378037.100000001490116
FS( 245 ),3695821.280000000726432,3655938.919999999925494,3976736.200000000186265,11328497.400000002235174
FS( 246 ),3669711.680000000167638,3649291.819999999832362,3954170.800000000279397,11273175.300000000745058
FS( 247 ),3659703.000000000000000,3685629.299999999813735,4003351.799999999813735,11348685.099999999627471
FS( 248 ),3784593.920000000391155,3635111.339999999850988,4013188.000000000000000,11432894.259999999776483
FS( 249 ),3803305.800000000745058,3622703.419999999925494,4026495.800000000279397,11452506.020000001415610
FS( 250 ),3767622.680000000167638,3630236.799999999813735,4040382.199999999720603,11438242.679999999701977
FS( 251 ),3778936.840000000316650,3643531.000000000000000,4049639.799999999813735,11472108.640000000596046
FS( 252 ),3777196.200000000186265,3656382.060000000055879,4051375.599999999627471,11484954.859999999403954
