代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13383096.060000002384186
真實報酬,3383096.060000002384186

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13477.535260049609860
風險,112350.105250140637509
起點值,0.119960148057207
找到最佳解世代,2048
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AXP[1](10),KO[14](11),MCD[15](2),V[25](1),
FS( 101 ),2701927.799999999813735,2752664.470000000204891,3144078.340000000316650,2887553.500000000000000,11486224.109999999403954
FS( 102 ),2705836.080000000074506,2729639.890000000130385,3139177.300000000279397,2877849.500000000000000,11452502.770000001415610
FS( 103 ),2734822.490000000223517,2745999.460000000428408,3151021.480000000447035,2918181.750000000000000,11550025.180000001564622
FS( 104 ),2723749.029999999795109,2716309.870000000111759,3127128.910000000149012,2863293.500000000000000,11430481.310000000521541
FS( 105 ),2743616.120000000111759,2717521.690000000409782,3127741.540000000037253,2843885.500000000000000,11432764.850000001490116
FS( 106 ),2771625.459999999962747,2712068.500000000000000,3114263.680000000167638,2830845.750000000000000,11428803.390000000596046
FS( 107 ),2764785.970000000204891,2715703.960000000428408,3125903.649999999906868,2850860.250000000000000,11457253.830000000074506
FS( 108 ),2727331.620000000111759,2690255.740000000223517,3126312.070000000298023,2827813.250000000000000,11371712.679999999701977
FS( 109 ),2746547.330000000074506,2689649.830000000540167,3191250.850000000558794,2848131.000000000000000,11475579.010000001639128
FS( 110 ),2745570.259999999776483,2689043.920000000391155,3175935.100000000558794,2883611.250000000000000,11494160.530000001192093
FS( 111 ),2741010.600000000093132,2686014.370000000111759,3163478.290000000037253,2893315.250000000000000,11483818.510000001639128
FS( 112 ),2762506.139999999664724,2696920.750000000000000,3197581.360000000335276,2916665.500000000000000,11573673.750000000000000
FS( 113 ),2780419.090000000316650,2692073.470000000204891,3166133.020000000018626,2909387.500000000000000,11548013.080000000074506
FS( 114 ),2777487.879999999888241,2707221.220000000204891,3171034.060000000055879,2939409.250000000000000,11595152.410000000149012
FS( 115 ),2775533.740000000223517,2710250.770000000018626,3170625.640000000130385,2936376.750000000000000,11592786.900000000372529
FS( 116 ),2785304.439999999944121,2706615.310000000521541,3144078.340000000316650,2959120.500000000000000,11595118.589999999850988
FS( 117 ),2798657.730000000447035,2716309.870000000111759,3142648.870000000111759,2979438.250000000000000,11637054.720000000670552
FS( 118 ),2779767.709999999962747,2715703.960000000428408,3149183.590000000316650,2975192.750000000000000,11619848.009999999776483
FS( 119 ),2787584.270000000018626,2728428.070000000298023,3143261.500000000000000,3020377.000000000000000,11679650.839999999850988
FS( 120 ),2768368.560000000055879,2716915.780000000726432,3100990.030000000260770,3043727.250000000000000,11630001.620000001043081
FS( 121 ),2781721.850000000093132,2741152.180000000633299,3248429.649999999906868,3032203.750000000000000,11803507.430000001564622
FS( 122 ),2778139.259999999776483,2771447.680000000633299,3196151.890000000130385,3058283.250000000000000,11804022.080000000074506
FS( 123 ),2730914.209999999962747,2794472.260000000242144,3205137.129999999888241,3019467.250000000000000,11749990.850000001490116
FS( 124 ),2761854.759999999776483,2787807.250000000000000,3182674.030000000260770,3006730.750000000000000,11739066.789999999105930
FS( 125 ),2775859.430000000167638,2777506.780000000726432,3168175.120000000111759,3019164.000000000000000,11740705.330000001937151
FS( 126 ),2776185.120000000111759,2769024.040000000502914,3145712.020000000018626,3058889.750000000000000,11749810.929999999701977
FS( 127 ),2778139.259999999776483,2762359.030000000726432,3197785.570000000298023,3071323.000000000000000,11809606.860000001266599
FS( 128 ),2785955.820000000298023,2767206.310000000521541,3159598.300000000279397,3050398.750000000000000,11763159.180000001564622
FS( 129 ),2799960.490000000223517,2756905.840000000316650,3141219.399999999906868,3059496.250000000000000,11757581.980000000447035
FS( 130 ),2796052.209999999962747,2765388.580000000540167,3164703.550000000279397,3077691.250000000000000,11803835.590000001713634
FS( 131 ),2798983.419999999925494,2762964.940000000409782,3163682.500000000000000,3071323.000000000000000,11796953.859999999403954
FS( 132 ),2790841.169999999925494,2762359.030000000726432,3163682.500000000000000,3061922.250000000000000,11778804.950000001117587
FS( 133 ),2754038.200000000186265,2771447.680000000633299,3198398.200000000186265,3017041.250000000000000,11740925.330000001937151
FS( 134 ),2745244.570000000298023,2762359.030000000726432,3212284.480000000447035,3035236.250000000000000,11755124.330000001937151
FS( 135 ),2783675.990000000223517,2775083.140000000130385,3211467.640000000130385,3089214.750000000000000,11859441.520000001415610
FS( 136 ),2826667.070000000298023,2798713.630000000353903,3218819.200000000186265,3112261.750000000000000,11956461.650000002235174
FS( 137 ),2846208.470000000204891,2799319.540000000502914,3244958.080000000074506,3133186.000000000000000,12023672.089999999850988
FS( 138 ),2803868.770000000018626,2778718.600000000093132,3224332.870000000111759,3098009.000000000000000,11904929.240000000223517
FS( 139 ),2780744.779999999795109,2767206.310000000521541,3221678.140000000130385,3108622.750000000000000,11878251.980000000447035
FS( 140 ),2778139.259999999776483,2767812.220000000204891,3233930.740000000223517,3130153.500000000000000,11910035.720000000670552
FS( 141 ),2778139.259999999776483,2762964.940000000409782,3260069.620000000111759,3155929.750000000000000,11957103.570000000298023
FS( 142 ),2777487.879999999888241,2759329.480000000447035,3243120.190000000409782,3128940.500000000000000,11908878.050000000745058
FS( 143 ),2780093.399999999906868,2751452.649999999906868,3234951.790000000037253,3130153.500000000000000,11896651.339999999850988
FS( 144 ),2783675.990000000223517,2761147.210000000428408,3243324.399999999906868,3134095.750000000000000,11922243.350000001490116
FS( 145 ),2781721.850000000093132,2752058.560000000521541,3260682.250000000000000,3147135.500000000000000,11941598.160000000149012
FS( 146 ),2782047.540000000037253,2753876.290000000502914,3254760.160000000149012,3146832.250000000000000,11937516.240000000223517
FS( 147 ),2790841.169999999925494,2750240.830000000540167,3257823.310000000055879,3145619.250000000000000,11944524.560000000521541
FS( 148 ),2804194.459999999962747,2759935.390000000130385,3266808.550000000279397,3139251.000000000000000,11970189.400000000372529
FS( 149 ),2805497.220000000204891,2773871.320000000298023,3263541.190000000409782,3150774.500000000000000,11993684.230000000447035
FS( 150 ),2778464.950000000186265,2782354.060000000521541,3249042.280000000260770,3123785.250000000000000,11933646.540000000968575
FS( 151 ),2775859.430000000167638,2784777.700000000186265,3231071.800000000279397,3128940.500000000000000,11920649.430000001564622
FS( 152 ),2749152.850000000093132,2804166.820000000298023,3265379.080000000074506,3170789.000000000000000,11989487.750000000000000
FS( 153 ),2743941.810000000055879,2805378.640000000130385,3261499.090000000316650,3166846.750000000000000,11977666.290000000968575
FS( 154 ),2790841.169999999925494,2818708.660000000614673,3298665.310000000055879,3219005.750000000000000,12127220.890000000596046
FS( 155 ),2818850.509999999776483,2830826.860000000335276,3192476.110000000335276,3220825.250000000000000,12062978.730000000447035
FS( 156 ),2821781.720000000204891,2839915.510000000242144,3206158.180000000167638,3209301.750000000000000,12077157.160000000149012
FS( 157 ),2807125.669999999925494,2793866.350000000093132,3206158.180000000167638,3216883.000000000000000,12024033.199999999254942
FS( 158 ),2833180.870000000111759,2798107.720000000204891,3204524.500000000000000,3193229.500000000000000,12029042.589999999850988
FS( 159 ),2861841.590000000316650,2793866.350000000093132,3199623.460000000428408,3178976.750000000000000,12034308.150000000372529
FS( 160 ),2898644.560000000055879,2785989.520000000018626,3214939.210000000428408,3196565.250000000000000,12096138.540000000968575
FS( 161 ),2880080.230000000447035,2773871.320000000298023,3264970.660000000149012,3196565.250000000000000,12115487.460000000894070
FS( 162 ),2879754.540000000037253,2750846.740000000223517,3247612.810000000055879,3193532.750000000000000,12071746.839999999850988
FS( 163 ),2879103.160000000149012,2756299.930000000633299,3245162.290000000037253,3201114.000000000000000,12081679.380000000819564
FS( 164 ),2872915.049999999813735,2768418.130000000353903,3191046.640000000130385,3124088.500000000000000,11956468.320000000298023
FS( 165 ),2888548.169999999925494,2761147.210000000428408,3131621.530000000260770,3121662.500000000000000,11902979.410000000149012
FS( 166 ),2914603.370000000111759,2704797.580000000540167,3145916.230000000447035,3150471.250000000000000,11915788.430000001564622
FS( 167 ),2935773.220000000204891,2721157.149999999906868,3216164.470000000204891,3171395.500000000000000,12044490.339999999850988
FS( 168 ),2946195.299999999813735,2727216.250000000000000,3199623.460000000428408,3171395.500000000000000,12044430.509999999776483
FS( 169 ),2948800.820000000298023,2714492.140000000130385,3205341.340000000316650,3197475.000000000000000,12066109.300000000745058
FS( 170 ),2977787.230000000447035,2738122.630000000353903,3203299.240000000223517,3202023.750000000000000,12121232.850000001490116
FS( 171 ),2964108.250000000000000,2756905.840000000316650,3210446.590000000316650,3193532.750000000000000,12124993.429999999701977
FS( 172 ),2968993.600000000093132,2758117.660000000614673,3242915.980000000447035,3221735.000000000000000,12191762.240000002086163
FS( 173 ),2981695.509999999776483,2756299.930000000633299,3259252.780000000260770,3236594.250000000000000,12233842.470000000670552
FS( 174 ),2986255.169999999925494,2751452.649999999906868,3269871.700000000186265,3245085.250000000000000,12252664.769999999552965
FS( 175 ),2992768.970000000204891,2779324.510000000242144,3279265.360000000335276,3254182.750000000000000,12305541.589999999850988
FS( 176 ),2995048.799999999813735,2793260.440000000409782,3331747.330000000074506,3288450.000000000000000,12408506.570000000298023
FS( 177 ),2983649.649999999906868,2793866.350000000093132,3347267.290000000037253,3278442.750000000000000,12403226.039999999105930
FS( 178 ),3024360.899999999906868,2798107.720000000204891,3377081.950000000186265,3295121.500000000000000,12494672.070000000298023
FS( 179 ),2995048.799999999813735,2824767.760000000242144,3369730.390000000130385,3284204.500000000000000,12473751.450000001117587
FS( 180 ),2986255.169999999925494,2818708.660000000614673,3377694.580000000074506,3261157.500000000000000,12443815.910000000149012
FS( 181 ),2998957.080000000074506,2811437.740000000223517,3385250.350000000558794,3269042.000000000000000,12464687.170000001788139
FS( 182 ),2993094.660000000149012,2822950.030000000726432,3400157.680000000167638,3245388.500000000000000,12461590.870000001043081
FS( 183 ),2999282.770000000018626,2810225.920000000391155,3396073.480000000447035,3261460.750000000000000,12467042.920000001788139
FS( 184 ),3008727.779999999795109,2806590.460000000428408,3335627.320000000298023,3260854.250000000000000,12411799.810000000521541
FS( 185 ),3056929.899999999906868,2798107.720000000204891,3346654.660000000149012,3287540.250000000000000,12489232.530000001192093
FS( 186 ),3046182.129999999888241,2790230.890000000130385,3340528.360000000335276,3320291.250000000000000,12497232.629999998956919
FS( 187 ),3116531.169999999925494,2801137.270000000018626,3349309.390000000130385,3329692.000000000000000,12596669.830000000074506
FS( 188 ),3119788.070000000298023,2791442.710000000428408,3377490.370000000111759,3326962.750000000000000,12615683.900000002235174
FS( 189 ),3096338.389999999664724,2778718.600000000093132,3394644.009999999776483,3336970.000000000000000,12606671.000000000000000
FS( 190 ),3110994.439999999944121,2785989.520000000018626,3408530.290000000037253,3335150.500000000000000,12640664.750000000000000
FS( 191 ),3119788.070000000298023,2775083.140000000130385,3397502.950000000186265,3368204.750000000000000,12660578.910000000149012
FS( 192 ),3125976.180000000167638,2779930.420000000391155,3432831.280000000260770,3365475.500000000000000,12704213.380000000819564
FS( 193 ),3140632.230000000447035,2785383.610000000335276,3444062.830000000074506,3376999.000000000000000,12747077.670000001788139
FS( 194 ),3136072.570000000298023,2755088.110000000335276,3473060.649999999906868,3393981.000000000000000,12758202.330000000074506
FS( 195 ),3106109.090000000316650,2783565.880000000353903,3487355.350000000558794,3399136.250000000000000,12776166.570000000298023
FS( 196 ),3098292.529999999795109,2798107.720000000204891,3473673.280000000260770,3410659.750000000000000,12780733.280000001192093
FS( 197 ),3053347.310000000055879,2801137.270000000018626,3410368.180000000167638,3400652.500000000000000,12665505.259999999776483
FS( 198 ),3045856.439999999944121,2819920.480000000447035,3381574.570000000298023,3392768.000000000000000,12640119.490000000223517
FS( 199 ),3058232.660000000149012,2830826.860000000335276,3417923.950000000186265,3378212.000000000000000,12685195.470000000670552
FS( 200 ),3053673.000000000000000,2873846.470000000204891,3433035.490000000223517,3395800.500000000000000,12756355.460000000894070
FS( 201 ),3037388.500000000000000,2836280.050000000279397,3416902.899999999906868,3343338.250000000000000,12633909.700000001117587
FS( 202 ),3047159.200000000186265,2820526.390000000130385,3432627.070000000298023,3366688.500000000000000,12667001.160000000149012
FS( 203 ),3051393.169999999925494,2769629.950000000186265,3404650.300000000279397,3330298.500000000000000,12555971.919999999925494
FS( 204 ),3059861.110000000335276,2754482.200000000186265,3408938.710000000428408,3334240.750000000000000,12557522.770000001415610
FS( 205 ),3074842.850000000093132,2773871.320000000298023,3436915.480000000447035,3379728.250000000000000,12665357.900000000372529
FS( 206 ),3055627.139999999664724,2777506.780000000726432,3452231.230000000447035,3360623.500000000000000,12645988.650000000372529
FS( 207 ),3044553.680000000167638,2779930.420000000391155,3453456.490000000223517,3395497.250000000000000,12673437.839999999850988
FS( 208 ),3044227.990000000223517,2781142.240000000223517,3450393.340000000316650,3407930.500000000000000,12683694.070000000298023
FS( 209 ),3103177.879999999888241,2776900.870000000111759,3498995.320000000298023,3437649.000000000000000,12816723.070000000298023
FS( 210 ),3146168.959999999962747,2756905.840000000316650,3480412.210000000428408,3331511.500000000000000,12714998.510000001639128
FS( 211 ),3182320.549999999813735,2773265.410000000614673,3511860.550000000279397,3414298.750000000000000,12881745.260000001639128
FS( 212 ),3187205.899999999906868,2785383.610000000335276,3530239.450000000186265,3357894.250000000000000,12860723.210000000894070
FS( 213 ),3210981.270000000018626,2801137.270000000018626,3484904.830000000074506,3257821.750000000000000,12754845.120000001043081
FS( 214 ),3214889.549999999813735,2802955.000000000000000,3532689.970000000204891,3292695.500000000000000,12843230.019999999552965
FS( 215 ),3198605.049999999813735,2814467.290000000502914,3542696.259999999776483,3327872.500000000000000,12883641.099999999627471
FS( 216 ),3210655.580000000074506,2773871.320000000298023,3531056.290000000037253,3378212.000000000000000,12893795.190000001341105
FS( 217 ),3209678.509999999776483,2745393.550000000279397,3535957.330000000074506,3414602.000000000000000,12905631.390000000596046
FS( 218 ),3224334.560000000055879,2746605.370000000111759,3537999.430000000167638,3407627.250000000000000,12916566.609999999403954
FS( 219 ),3236385.090000000316650,2744181.730000000447035,3517170.009999999776483,3440681.500000000000000,12938418.330000000074506
FS( 220 ),3184600.379999999888241,2781142.240000000223517,3544125.730000000447035,3436132.750000000000000,12946001.100000001490116
FS( 221 ),3164081.910000000149012,2789019.070000000298023,3535753.120000000111759,3424306.000000000000000,12913160.100000001490116
FS( 222 ),3208701.439999999944121,2798713.630000000353903,3554540.440000000409782,3451598.500000000000000,13013554.010000001639128
FS( 223 ),3246481.480000000447035,2782959.970000000204891,3557399.379999999888241,3443410.750000000000000,13030251.580000001937151
FS( 224 ),3229219.910000000149012,2795078.170000000391155,3540858.370000000111759,3400652.500000000000000,12965808.949999999254942
FS( 225 ),3208375.750000000000000,2792048.620000000111759,3515944.750000000000000,3400046.000000000000000,12916415.120000001043081
FS( 226 ),3208050.060000000055879,2762964.940000000409782,3509410.030000000260770,3408840.250000000000000,12889265.280000001192093
FS( 227 ),3215866.620000000111759,2762359.030000000726432,3500629.000000000000000,3417331.250000000000000,12896185.900000000372529
FS( 228 ),3210329.889999999664724,2775689.050000000279397,3497974.270000000018626,3426428.750000000000000,12910421.959999999031425
FS( 229 ),3228568.529999999795109,2782959.970000000204891,3526155.250000000000000,3457663.500000000000000,12995347.250000000000000
FS( 230 ),3247132.860000000335276,2770235.860000000335276,3534936.280000000260770,3467670.750000000000000,13019975.750000000000000
