代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13913219.590000001713634
真實報酬,3913219.590000001713634

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14857.309896159800701
風險,185252.249834652437130
起點值,0.080200428925537
找到最佳解世代,2028
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),BA[2](3),CAT[3](2),INTC[11](13),MSFT[18](1),
FS( 23 ),1947798.160000000149012,2051892.880000000121072,2115677.320000000298023,2068856.389999999897555,1936047.020000000018626,10120271.769999999552965
FS( 24 ),1929517.360000000102445,2008859.760000000009313,2058392.139999999897555,2064434.419999999925494,1936425.440000000176951,9997629.119999999180436
FS( 25 ),1940485.840000000316650,2008701.550000000046566,2070845.439999999944121,2082754.009999999776483,1944372.260000000242144,10047159.099999999627471
FS( 26 ),1948813.760000000242144,2012023.960000000195578,2076933.719999999972060,2097283.339999999850988,1944372.260000000242144,10079427.040000000968575
FS( 27 ),1963844.640000000363216,2058221.280000000260770,2141137.400000000372529,2147820.139999999664724,1979186.899999999906868,10290210.360000001266599
FS( 28 ),1969938.240000000223517,2089072.229999999981374,2153037.219999999739230,2171825.120000000111759,1990161.080000000074506,10374033.890000000596046
FS( 29 ),1978875.520000000251457,2069612.400000000139698,2208385.219999999739230,2207200.879999999888241,2013623.120000000111759,10477697.140000000596046
FS( 30 ),1967703.920000000391155,2058537.700000000419095,2205341.080000000074506,2211622.849999999627471,2024975.719999999972060,10468181.270000001415610
FS( 31 ),2006702.960000000428408,2081319.940000000409782,2215580.459999999962747,2223625.339999999850988,2033679.380000000121072,10560908.080000001937151
FS( 32 ),2006499.840000000316650,2094609.579999999841675,2233291.820000000298023,2215413.110000000335276,2032165.700000000186265,10581980.050000000745058
FS( 33 ),2027827.440000000176951,2111063.420000000391155,2208938.699999999720603,2214149.689999999478459,2042004.620000000111759,10603983.870000001043081
FS( 34 ),2028639.920000000391155,2130523.250000000000000,2206724.779999999795109,2220466.790000000037253,2009082.080000000074506,10595436.820000000298023
FS( 35 ),2030468.000000000000000,2131472.510000000242144,2205341.080000000074506,2254579.129999999888241,2115796.519999999552965,10737657.239999998360872
FS( 36 ),2019702.640000000363216,2112645.520000000018626,2214196.760000000242144,2164876.310000000521541,2111633.900000000372529,10623055.130000000819564
FS( 37 ),2004062.400000000139698,2111696.260000000242144,2196762.139999999664724,2189513.000000000000000,2140772.240000000223517,10642806.040000000968575
FS( 38 ),1977250.560000000288710,2103311.129999999888241,2177667.080000000074506,2191408.129999999888241,2146826.959999999962747,10596463.859999999403954
FS( 39 ),1963641.520000000251457,2133529.240000000223517,2290023.520000000018626,2216676.530000000260770,2147962.219999999739230,10751833.030000001192093
FS( 40 ),2091200.880000000353903,2151090.550000000279397,2327383.419999999925494,2200252.069999999366701,2126392.280000000260770,10896319.199999999254942
FS( 41 ),2119434.560000000521541,2104418.600000000093132,2294728.100000000093132,2196461.810000000521541,2127149.120000000111759,10842192.190000001341105
FS( 42 ),2116794.000000000000000,2114702.250000000000000,2290300.260000000242144,2202147.200000000186265,2144934.860000000335276,10868878.570000000298023
FS( 43 ),2154168.080000000074506,2107582.800000000279397,2267884.320000000298023,2201515.490000000223517,2141150.660000000149012,10872301.350000001490116
FS( 44 ),2122278.240000000223517,2082110.989999999990687,2248235.779999999795109,2183195.900000000372529,2141150.660000000149012,10776971.570000000298023
FS( 45 ),2148886.959999999962747,2086382.660000000149012,2270098.240000000223517,2163612.889999999664724,2155909.040000000037253,10824889.789999999105930
FS( 46 ),2150511.919999999925494,2075940.800000000279397,2262903.000000000000000,2184459.319999999366701,2171802.679999999701977,10845617.719999998807907
FS( 47 ),2183214.240000000223517,2084167.719999999972060,2284765.459999999962747,2209727.719999999739230,2193372.620000000111759,10955247.760000001639128
FS( 48 ),2201291.919999999925494,2091445.380000000121072,2309118.580000000074506,2213517.979999999515712,2197156.820000000298023,11012530.679999999701977
FS( 49 ),2210229.200000000186265,2098248.410000000149012,2292237.439999999944121,2205937.459999999962747,2202454.700000000186265,11009107.210000000894070
FS( 50 ),2193776.480000000447035,2092869.270000000251457,2287256.120000000111759,2181300.769999999552965,2195643.140000000596046,10950845.780000001192093
FS( 51 ),2192354.640000000596046,2104260.390000000130385,2303583.779999999795109,2190776.419999999925494,2206238.900000000372529,10997214.130000000819564
FS( 52 ),2197432.640000000596046,2105842.490000000223517,2296942.020000000018626,2183827.610000000335276,2192615.780000000260770,10976660.540000002831221
FS( 53 ),2223838.240000000223517,2130523.250000000000000,2328767.120000000111759,2205305.750000000000000,2199427.339999999850988,11087861.699999999254942
FS( 54 ),2221807.040000000037253,2135902.390000000130385,2332641.479999999981374,2224257.049999999813735,2173694.780000000260770,11088302.740000002086163
FS( 55 ),2218557.120000000111759,2131472.510000000242144,2335962.359999999869615,2212254.560000000521541,2178235.820000000298023,11076482.370000001043081
FS( 56 ),2215713.440000000409782,2135902.390000000130385,2307458.139999999664724,2209096.009999999776483,2179749.500000000000000,11047919.480000000447035
FS( 57 ),2221400.799999999813735,2127042.629999999888241,2320188.180000000167638,2226152.179999999701977,2180506.339999999850988,11075290.129999998956919
FS( 58 ),2204135.600000000558794,2135744.180000000167638,2313269.680000000167638,2233732.700000000186265,2182398.440000000409782,11069280.600000001490116
FS( 59 ),2211041.679999999701977,2122296.330000000074506,2324892.760000000242144,2236259.540000000037253,2190723.679999999701977,11085213.989999998360872
FS( 60 ),2194385.839999999850988,2108848.479999999981374,2301093.120000000111759,2220466.790000000037253,2192994.200000000186265,11017788.429999999701977
FS( 61 ),2185042.320000000298023,2103943.969999999739230,2292514.180000000167638,2216676.530000000260770,2201319.440000000409782,10999496.440000001341105
FS( 62 ),2172245.759999999776483,2092078.219999999972060,2287532.859999999869615,2227415.599999999627471,2196021.560000000521541,10975294.000000000000000
FS( 63 ),2169808.320000000298023,2102678.290000000037253,2299709.419999999925494,2245735.189999999478459,2198670.500000000000000,11016601.719999998807907
FS( 64 ),2153152.480000000447035,2069612.400000000139698,2282551.540000000037253,2255210.839999999850988,2190723.679999999701977,10951250.940000001341105
FS( 65 ),2155183.679999999701977,2048095.839999999850988,2267884.320000000298023,2267213.330000000074506,2174451.620000000111759,10912828.789999999105930
FS( 66 ),2167980.240000000223517,2055215.290000000270084,2254047.320000000298023,2275425.560000000521541,2179371.080000000074506,10932039.490000000223517
FS( 67 ),2188292.240000000223517,2075149.750000000000000,2260689.080000000074506,2279215.819999999366701,2182398.440000000409782,10985745.330000001937151
FS( 68 ),2187682.879999999888241,2104102.180000000167638,2271481.939999999944121,2310169.610000000335276,2180127.919999999925494,11053564.529999999329448
FS( 69 ),2201088.799999999813735,2098564.830000000074506,2316867.299999999813735,2303220.799999999813735,2182020.019999999552965,11101761.750000000000000
FS( 70 ),2143402.719999999739230,2102678.290000000037253,2311885.979999999981374,2301957.379999999888241,2173316.360000000335276,11033240.730000000447035
FS( 71 ),2094857.040000000037253,2033540.520000000251457,2235782.479999999981374,2238786.379999999888241,2127149.120000000111759,10730115.540000002831221
FS( 72 ),2141777.759999999776483,2058695.910000000149012,2267054.100000000093132,2279215.819999999366701,2158936.400000000372529,10905679.990000000223517
FS( 73 ),2192760.879999999888241,2037179.350000000093132,2220285.040000000037253,2249525.450000000186265,2139258.560000000521541,10839009.280000001192093
FS( 74 ),2270352.719999999739230,2019934.460000000195578,2242147.500000000000000,2250157.160000000149012,2129041.219999999739230,10911633.059999998658895
FS( 75 ),2347538.320000000298023,2021516.560000000055879,2270098.240000000223517,2309537.900000000372529,2164234.280000000260770,11112925.300000000745058
FS( 76 ),2334335.520000000484288,2004588.090000000083819,2270651.719999999739230,2379657.709999999962747,2166504.799999999813735,11155737.839999999850988
FS( 77 ),2307117.440000000409782,2016928.470000000204891,2265947.139999999664724,2347440.500000000000000,2154395.360000000335276,11091828.910000000149012
FS( 78 ),2306914.320000000298023,2021832.980000000214204,2260965.820000000298023,2346177.080000000074506,2149854.320000000298023,11085744.520000001415610
FS( 79 ),2306508.080000000074506,2065657.150000000139698,2309948.799999999813735,2365760.089999999850988,2185804.219999999739230,11233678.339999999850988
FS( 80 ),2328241.919999999925494,2086382.660000000149012,2310779.020000000018626,2372077.189999999478459,2188074.740000000223517,11285555.529999999329448
FS( 81 ),2289446.000000000000000,2084958.770000000251457,2281444.580000000074506,2349335.629999999888241,2173316.360000000335276,11178501.339999999850988
FS( 82 ),2292899.040000000037253,2065815.360000000102445,2279507.400000000372529,2315223.290000000037253,2153260.099999999627471,11106705.189999999478459
FS( 83 ),2297164.560000000521541,2077681.110000000102445,2293621.139999999664724,2348703.919999999925494,2192994.200000000186265,11210164.929999999701977
FS( 84 ),2314632.879999999888241,2092078.219999999972060,2396291.680000000167638,2365128.379999999888241,2196021.560000000521541,11364152.720000000670552
FS( 85 ),2278680.640000000596046,2073093.020000000251457,2420644.799999999813735,2357547.860000000335276,2172181.099999999627471,11302147.419999999925494
FS( 86 ),2296352.080000000074506,2084325.930000000167638,2456621.000000000000000,2384711.389999999664724,2179749.500000000000000,11401759.899999998509884
FS( 87 ),2285586.719999999739230,2094451.370000000111759,2443060.740000000223517,2379026.000000000000000,2172937.940000000409782,11375062.769999999552965
FS( 88 ),2295336.480000000447035,2092394.640000000130385,2421751.760000000242144,2371445.479999999515712,2166126.379999999888241,11347054.739999998360872
FS( 89 ),2296352.080000000074506,2130523.250000000000000,2474609.100000000093132,2399872.429999999701977,2181263.179999999701977,11482620.039999999105930
FS( 90 ),2313414.160000000149012,2126726.209999999962747,2471011.479999999981374,2404926.110000000335276,2185047.379999999888241,11501125.339999999850988
FS( 91 ),2316867.200000000186265,2117708.240000000223517,2448318.799999999813735,2406821.240000000223517,2187317.900000000372529,11477033.380000000819564
FS( 92 ),2357288.080000000074506,2149192.030000000260770,2441400.299999999813735,2401767.560000000521541,2196399.980000000447035,11546047.950000001117587
FS( 93 ),2362366.080000000074506,2115967.930000000167638,2420644.799999999813735,2354389.310000000521541,2164234.280000000260770,11417602.400000002235174
FS( 94 ),2383490.560000000521541,2106791.750000000000000,2423688.939999999944121,2345545.370000000111759,2161206.919999999925494,11420723.540000000968575
FS( 95 ),2376178.240000000223517,2110272.370000000111759,2406807.799999999813735,2335438.009999999776483,2154016.940000000409782,11382713.359999999403954
FS( 96 ),2389381.040000000037253,2112170.890000000130385,2426179.600000000093132,2365760.089999999850988,2172937.940000000409782,11466429.559999998658895
FS( 97 ),2387756.080000000074506,2120081.390000000130385,2415663.479999999981374,2355652.729999999515712,2165369.540000000037253,11444523.219999998807907
FS( 98 ),2386131.120000000111759,2137484.490000000223517,2413726.299999999813735,2384711.389999999664724,2182020.019999999552965,11504073.320000000298023
FS( 99 ),2379021.919999999925494,2154571.170000000391155,2435312.020000000018626,2243208.349999999627471,2177100.560000000521541,11389214.019999999552965
FS( 100 ),2377803.200000000186265,2149192.030000000260770,2397398.639999999664724,2238154.669999999925494,2166504.799999999813735,11329053.339999999850988
FS( 101 ),2368459.679999999701977,2145869.620000000111759,2389096.439999999944121,2220466.790000000037253,2257704.019999999552965,11381596.550000000745058
FS( 102 ),2389787.280000000260770,2174663.839999999850988,2379687.279999999795109,2227415.599999999627471,2308412.299999999813735,11479966.300000000745058
FS( 103 ),2401974.480000000447035,2199502.810000000521541,2337899.540000000037253,2217308.240000000223517,2308033.879999999888241,11464718.949999999254942
FS( 104 ),2347944.560000000521541,2302655.729999999981374,2328213.639999999664724,2205937.459999999962747,2294410.759999999776483,11479162.150000000372529
FS( 105 ),2325398.240000000223517,2267374.900000000372529,2297218.760000000242144,2198988.650000000372529,2274354.500000000000000,11363335.050000000745058
FS( 106 ),2309961.120000000111759,2262628.600000000093132,2321295.139999999664724,2194566.679999999701977,2265650.839999999850988,11354102.379999998956919
FS( 107 ),2306304.959999999962747,2253452.420000000391155,2309672.060000000055879,2202778.910000000149012,2267542.940000000409782,11339751.290000002831221
FS( 108 ),2264665.360000000335276,2253136.000000000000000,2275909.779999999795109,2180669.060000000521541,2263001.900000000372529,11237382.100000001490116
FS( 109 ),2266696.560000000521541,2226873.140000000130385,2244638.160000000149012,2185722.740000000223517,2249000.360000000335276,11172930.960000000894070
FS( 110 ),2230947.440000000409782,2215323.810000000521541,2249066.000000000000000,2143398.169999999925494,2240675.120000000111759,11079410.540000002831221
FS( 111 ),2210838.560000000521541,2207729.729999999981374,2277846.959999999962747,2123183.450000000186265,2221754.120000000111759,11041352.820000000298023
FS( 112 ),2242728.400000000372529,2262945.020000000018626,2317697.520000000018626,2191408.129999999888241,2286463.940000000409782,11301243.010000001639128
FS( 113 ),2255931.200000000186265,2249813.589999999850988,2343434.340000000316650,2194566.679999999701977,2288356.040000000037253,11332101.850000001490116
FS( 114 ),2252275.040000000037253,2295536.280000000260770,2523868.820000000298023,2195198.389999999664724,2277003.440000000409782,11543881.970000002533197
FS( 115 ),2189510.959999999962747,2336670.879999999888241,2586135.320000000298023,2179405.639999999664724,2221375.700000000186265,11513098.500000000000000
FS( 116 ),2202510.640000000596046,2349802.310000000521541,2573958.760000000242144,2186354.450000000186265,2233485.140000000596046,11546111.300000000745058
FS( 117 ),2147262.000000000000000,2373059.180000000167638,2606060.600000000093132,2178142.219999999739230,2199427.339999999850988,11503951.339999999850988
FS( 118 ),2175698.799999999813735,2343315.700000000186265,2613532.580000000074506,2205305.750000000000000,2227808.839999999850988,11565661.669999999925494
FS( 119 ),2234197.360000000335276,2316894.629999999888241,2583367.919999999925494,2200883.780000000260770,2257325.599999999627471,11592669.290000000968575
FS( 120 ),2233384.879999999888241,2299333.320000000298023,2567593.740000000223517,2212254.560000000521541,2294789.179999999701977,11607355.679999999701977
FS( 121 ),2235619.200000000186265,2315470.740000000223517,2555417.180000000167638,2207832.589999999850988,2283815.000000000000000,11598154.710000000894070
FS( 122 ),2269540.240000000223517,2326070.810000000521541,2570914.620000000111759,2209727.719999999739230,2303114.419999999925494,11679367.810000000521541
FS( 123 ),2270962.080000000074506,2365623.310000000521541,2590839.900000000372529,2241313.219999999739230,2312953.339999999850988,11781691.850000001490116
FS( 124 ),2259384.240000000223517,2369103.930000000167638,2661685.340000000316650,2223625.339999999850988,2285707.099999999627471,11799505.949999999254942
FS( 125 ),2270758.959999999962747,2373850.229999999981374,2651445.959999999962747,2238786.379999999888241,2290626.560000000521541,11825468.089999999850988
FS( 126 ),2266290.320000000298023,2369578.560000000521541,2626262.620000000111759,2243208.349999999627471,2293653.919999999925494,11798993.770000001415610
FS( 127 ),2264056.000000000000000,2399163.830000000074506,2602462.979999999981374,2230574.150000000372529,2311818.080000000074506,11808075.040000000968575
FS( 128 ),2244962.719999999739230,2382077.150000000372529,2644527.459999999962747,2192039.839999999850988,2280409.219999999739230,11744016.390000000596046
FS( 129 ),2224041.360000000335276,2411029.580000000074506,2663345.779999999795109,2132659.099999999627471,2240296.700000000186265,11671372.519999999552965
FS( 130 ),2232369.280000000260770,2408814.640000000130385,2632904.379999999888241,2157927.500000000000000,2242188.799999999813735,11674204.600000001490116
FS( 131 ),2216322.799999999813735,2407390.750000000000000,2613809.320000000298023,2172456.830000000074506,2278895.540000000037253,11688875.239999998360872
FS( 132 ),2233384.879999999888241,2408656.430000000167638,2635118.299999999813735,2193303.259999999776483,2268678.200000000186265,11739141.070000000298023
FS( 133 ),2255321.839999999850988,2438716.330000000074506,2693510.439999999944121,2242576.639999999664724,2322413.839999999850988,11952539.089999999850988
FS( 134 ),2277461.919999999925494,2458492.580000000074506,2664176.000000000000000,2255210.839999999850988,2308790.719999999739230,11964132.059999998658895
FS( 135 ),2314632.879999999888241,2475895.680000000167638,2643697.240000000223517,2259001.099999999627471,2345119.040000000037253,12038345.940000001341105
FS( 136 ),2301430.080000000074506,2486495.750000000000000,2631243.939999999944121,2272267.009999999776483,2352687.440000000409782,12044124.219999998807907
FS( 137 ),2339819.759999999776483,2478585.250000000000000,2657257.500000000000000,2324698.939999999478459,2383339.459999999962747,12183700.910000000149012
FS( 138 ),2339819.759999999776483,2443937.260000000242144,2594160.779999999795109,2308906.189999999478459,2371986.860000000335276,12058810.849999997764826
FS( 139 ),2352616.320000000298023,2432862.560000000521541,2616023.240000000223517,2324067.229999999515712,2368202.660000000149012,12093772.010000001639128
FS( 140 ),2355663.120000000111759,2444411.890000000130385,2562058.939999999944121,2293745.150000000372529,2357606.900000000372529,12013486.000000000000000
FS( 141 ),2369272.160000000149012,2470991.170000000391155,2565656.560000000055879,2330384.330000000074506,2407558.339999999850988,12143862.560000000521541
FS( 142 ),2375568.879999999888241,2474313.580000000074506,2610765.180000000167638,2350599.049999999813735,2404530.980000000447035,12215777.670000001788139
FS( 143 ),2377803.200000000186265,2491558.469999999739230,2596374.699999999720603,2336069.719999999739230,2404530.980000000447035,12206337.070000000298023
FS( 144 ),2362162.959999999962747,2491242.050000000279397,2604676.900000000372529,2332911.169999999925494,2404909.400000000372529,12195902.480000000447035
FS( 145 ),2366834.719999999739230,2496779.400000000372529,2610211.699999999720603,2335438.009999999776483,2393178.379999999888241,12202442.210000000894070
FS( 146 ),2381865.600000000558794,2491558.469999999739230,2616576.719999999739230,2341755.110000000335276,2394692.060000000521541,12226447.960000000894070
FS( 147 ),2371709.600000000558794,2469725.490000000223517,2577833.120000000111759,2313959.870000000111759,2383717.879999999888241,12116945.960000000894070
FS( 148 ),2371100.240000000223517,2463238.879999999888241,2581707.479999999981374,2315855.000000000000000,2380312.099999999627471,12112213.699999999254942
FS( 149 ),2352616.320000000298023,2463080.670000000391155,2566486.779999999795109,2291218.310000000521541,2351552.179999999701977,12024954.259999999776483
FS( 150 ),2359319.280000000260770,2483489.760000000242144,2601079.279999999795109,2312064.740000000223517,2368202.660000000149012,12124155.720000000670552
FS( 151 ),2356678.719999999739230,2509594.410000000149012,2589456.199999999720603,2300062.250000000000000,2357606.900000000372529,12113398.480000000447035
FS( 152 ),2368662.799999999813735,2511018.300000000279397,2573682.020000000018626,2296271.990000000223517,2357606.900000000372529,12107242.009999999776483
FS( 153 ),2395068.400000000372529,2517188.490000000223517,2574788.979999999981374,2304484.219999999739230,2378041.580000000074506,12169571.669999999925494
FS( 154 ),2417005.360000000335276,2504848.109999999869615,2556247.400000000372529,2312696.450000000186265,2370473.179999999701977,12161270.500000000000000
FS( 155 ),2419442.799999999813735,2516713.859999999869615,2596651.439999999944121,2308274.479999999515712,2369716.339999999850988,12210798.919999998062849
FS( 156 ),2432442.480000000447035,2521934.790000000037253,2619344.120000000111759,2334174.589999999850988,2391286.280000000260770,12299182.260000001639128
FS( 157 ),2422286.480000000447035,2504373.479999999981374,2601079.279999999795109,2319013.549999999813735,2369337.919999999925494,12216090.709999999031425
FS( 158 ),2418020.959999999962747,2512916.820000000298023,2614639.540000000037253,2324067.229999999515712,2372743.700000000186265,12242388.250000000000000
FS( 159 ),2437520.480000000447035,2494564.459999999962747,2589456.199999999720603,2324698.939999999478459,2366310.560000000521541,12212550.640000000596046
FS( 160 ),2437317.360000000335276,2504848.109999999869615,2582814.439999999944121,2322172.099999999627471,2365175.299999999813735,12212327.309999998658895
FS( 161 ),2433051.839999999850988,2515606.390000000130385,2584198.139999999664724,2310169.610000000335276,2357606.900000000372529,12200632.880000000819564
FS( 162 ),2437520.480000000447035,2523991.520000000018626,2617406.939999999944121,2333542.879999999888241,2374257.379999999888241,12286719.199999999254942
FS( 163 ),2439145.440000000409782,2497254.030000000260770,2614086.060000000055879,2322803.810000000521541,2382582.620000000111759,12255871.960000000894070
FS( 164 ),2436911.120000000111759,2540128.940000000409782,2663345.779999999795109,2376499.160000000149012,2403774.140000000596046,12420659.140000000596046
FS( 165 ),2475707.040000000037253,2647869.950000000186265,2716203.120000000111759,2387869.939999999478459,2409828.860000000335276,12637478.910000000149012
FS( 166 ),2476925.759999999776483,2675714.910000000149012,2690466.299999999813735,2372708.900000000372529,2432155.639999999664724,12647971.510000001639128
FS( 167 ),2477128.879999999888241,2653249.089999999850988,2739449.279999999795109,2399240.719999999739230,2489297.060000000521541,12758365.029999999329448
FS( 168 ),2470629.040000000037253,2619550.359999999869615,2678566.479999999981374,2363864.959999999962747,2464699.759999999776483,12597310.599999999627471
FS( 169 ),2464941.679999999701977,2585535.209999999962747,2647294.859999999869615,2325962.360000000335276,2446535.600000000558794,12470269.710000000894070
FS( 170 ),2615250.480000000447035,2594236.760000000242144,2632074.160000000149012,2307011.060000000521541,2406044.660000000149012,12554617.120000001043081
FS( 171 ),2610781.839999999850988,2567182.850000000093132,2594991.000000000000000,2317118.419999999925494,2390529.440000000409782,12480603.550000000745058
FS( 172 ),2621953.440000000409782,2569397.790000000037253,2581430.740000000223517,2307011.060000000521541,2409828.860000000335276,12489621.890000000596046
FS( 173 ),2646530.959999999962747,2594394.969999999739230,2570084.400000000372529,2291218.310000000521541,2408315.179999999701977,12510543.820000000298023
FS( 174 ),2671717.839999999850988,2634263.890000000130385,2582260.959999999962747,2296271.990000000223517,2400368.360000000335276,12584883.039999999105930
FS( 175 ),2682076.959999999962747,2591705.400000000372529,2571191.359999999869615,2298167.120000000111759,2396962.580000000074506,12540103.419999999925494
FS( 176 ),2689795.519999999552965,2599141.270000000018626,2600249.060000000055879,2240049.799999999813735,2424208.820000000298023,12553444.469999998807907
FS( 177 ),2683701.919999999925494,2629992.219999999739230,2665282.959999999962747,2232469.280000000260770,2421938.299999999813735,12633384.679999999701977
FS( 178 ),2707466.959999999962747,2658470.020000000018626,2725889.020000000018626,2261527.939999999478459,2449184.540000000037253,12802538.480000000447035
FS( 179 ),2742606.720000000670552,2665905.890000000130385,2714542.680000000167638,2269740.169999999925494,2443508.240000000223517,12836303.700000001117587
FS( 180 ),2752559.599999999627471,2678562.690000000409782,2740279.500000000000000,2277320.689999999478459,2441994.560000000521541,12890717.040000000968575
FS( 181 ),2749309.679999999701977,2702452.400000000372529,2719247.260000000242144,2300062.250000000000000,2441616.139999999664724,12912687.730000000447035
FS( 182 ),2756825.120000000111759,2732512.300000000279397,2735574.919999999925494,2304484.219999999739230,2445400.339999999850988,12974796.899999998509884
FS( 183 ),2776730.879999999888241,2777602.150000000372529,2714819.419999999925494,2307011.060000000521541,2440480.879999999888241,13016644.390000000596046
FS( 184 ),2785058.800000000745058,2774437.950000000186265,2717586.820000000298023,2278584.110000000335276,2435561.419999999925494,12991229.100000001490116
FS( 185 ),2773277.839999999850988,2798169.450000000186265,2644250.719999999739230,2285532.919999999925494,2445400.339999999850988,12946631.269999999552965
FS( 186 ),2775918.400000000372529,2807345.629999999888241,2642313.540000000037253,2307642.769999999552965,2445400.339999999850988,12978620.679999999701977
FS( 187 ),2781402.640000000596046,2838829.420000000391155,2696554.580000000074506,2306379.349999999627471,2430641.959999999962747,13053807.949999999254942
FS( 188 ),2782621.360000000335276,2851486.219999999739230,2674968.859999999869615,2286796.339999999850988,2421181.459999999962747,13017054.239999998360872
FS( 189 ),2839494.959999999962747,2909707.500000000000000,2728102.939999999944121,2269740.169999999925494,2457509.780000000260770,13204555.350000001490116
FS( 190 ),2822636.000000000000000,2895152.180000000167638,2611318.660000000149012,2268476.750000000000000,2422316.720000000670552,13019900.310000000521541
FS( 191 ),2839291.839999999850988,2882337.170000000391155,2632350.900000000372529,2267845.040000000037253,2431398.799999999813735,13053223.750000000000000
FS( 192 ),2830354.560000000521541,2862560.920000000391155,2647294.859999999869615,2246998.610000000335276,2432155.639999999664724,13019364.589999999850988
FS( 193 ),2834010.720000000670552,2879805.810000000521541,2654766.840000000316650,2261527.939999999478459,2437075.100000000558794,13067186.410000000149012
FS( 194 ),2823448.480000000447035,2875375.930000000167638,2580047.040000000037253,2250157.160000000149012,2459401.879999999888241,12988430.489999998360872
FS( 195 ),2816948.640000000596046,2856865.359999999869615,2529126.879999999888241,2262791.360000000335276,2449562.959999999962747,12915295.199999999254942
