代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13218563.910000000149012
真實報酬,3218563.910000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12468.462471130342237
風險,273704.834373689198401
起點值,0.045554410829687
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
NKE[19](5),UNH[23](3),
FS( 139 ),5587413.530000000260770,6303493.570000000298023,11890907.100000001490116
FS( 140 ),5532845.060000000521541,6232336.419999999925494,11765181.480000000447035
FS( 141 ),5501815.930000000633299,6296114.309999999590218,11797930.240000000223517
FS( 142 ),5472926.740000000223517,6305074.839999999850988,11778001.580000000074506
FS( 143 ),5439757.670000000856817,6336173.149999999441206,11775930.820000000298023
FS( 144 ),5444037.550000000745058,6317725.000000000000000,11761762.550000000745058
FS( 145 ),5463297.010000000707805,6206509.009999999776483,11669806.019999999552965
FS( 146 ),5484696.410000000149012,6238134.409999999217689,11722830.820000000298023
FS( 147 ),5454737.250000000000000,6148529.110000000335276,11603266.359999999403954
FS( 148 ),5459017.130000000819564,6142204.030000000260770,11601221.160000000149012
FS( 149 ),5426918.030000000260770,6162233.449999999254942,11589151.480000000447035
FS( 150 ),5422638.150000000372529,6166450.169999999925494,11589088.320000000298023
FS( 151 ),5528565.180000000633299,6248676.209999999962747,11777241.390000000596046
FS( 152 ),5557454.370000000111759,6289262.139999999664724,11846716.509999999776483
FS( 153 ),5552104.520000000484288,6201238.110000000335276,11753342.630000000819564
FS( 154 ),5529635.150000000372529,6271341.080000000074506,11800976.230000000447035
FS( 155 ),5593833.350000000558794,6406803.209999999962747,12000636.560000000521541
FS( 156 ),5604533.050000000745058,6311399.919999999925494,11915932.970000000670552
FS( 157 ),5670871.190000000409782,6372015.269999999552965,12042886.460000000894070
FS( 158 ),5699760.380000000819564,6342498.229999999515712,12042258.609999999403954
FS( 159 ),5713669.990000000223517,6338281.509999999776483,12051951.500000000000000
FS( 160 ),5735069.390000000596046,6469526.919999999925494,12204596.310000000521541
FS( 161 ),5682640.860000000335276,6281355.790000000037253,11963996.650000000372529
FS( 162 ),5629142.360000000335276,6447916.229999999515712,12077058.589999999850988
FS( 163 ),5869885.610000000335276,6496408.509999999776483,12366294.120000001043081
FS( 164 ),5760748.670000000856817,6387827.969999999739230,12148576.640000000596046
FS( 165 ),5778938.160000000149012,6430522.259999999776483,12209460.419999999925494
FS( 166 ),5854906.030000000260770,6503260.679999999701977,12358166.710000000894070
FS( 167 ),5878445.370000000111759,6420507.549999999813735,12298952.919999999925494
FS( 168 ),5876305.430000000633299,6438955.699999999254942,12315261.129999998956919
FS( 169 ),5954413.240000000223517,6362000.559999999590218,12316413.800000000745058
FS( 170 ),5846346.270000000484288,6260799.280000000260770,12107145.550000000745058
FS( 171 ),5854906.030000000260770,6290316.320000000298023,12145222.350000001490116
FS( 172 ),5912684.410000000149012,6438428.610000000335276,12351113.019999999552965
FS( 173 ),6014331.560000000521541,6454241.309999999590218,12468572.870000001043081
FS( 174 ),6010051.680000000633299,6588649.259999999776483,12598700.940000001341105
FS( 175 ),5986512.340000000782311,6633979.000000000000000,12620491.339999999850988
FS( 176 ),6010051.680000000633299,6584959.629999999888241,12595011.310000000521541
FS( 177 ),6034660.990000000223517,6528033.909999999217689,12562694.899999998509884
FS( 178 ),6052850.480000000447035,6464783.110000000335276,12517633.589999999850988
FS( 179 ),6045360.690000000409782,6370434.000000000000000,12415794.690000001341105
FS( 180 ),6104209.040000000037253,6357256.750000000000000,12461465.789999999105930
FS( 181 ),6098859.190000000409782,6289789.229999999515712,12388648.419999999925494
FS( 182 ),6045360.690000000409782,6216523.719999999739230,12261884.410000000149012
FS( 183 ),5977952.580000000074506,6213361.179999999701977,12191313.759999999776483
FS( 184 ),6071039.970000000670552,6405221.939999999478459,12476261.910000000149012
FS( 185 ),6148077.810000000521541,6405221.939999999478459,12553299.750000000000000
FS( 186 ),6153427.660000000149012,6354621.299999999813735,12508048.960000000894070
FS( 187 ),6164127.360000000335276,6398896.860000000335276,12563024.220000000670552
FS( 188 ),6143797.930000000633299,6372015.269999999552965,12515813.199999999254942
FS( 189 ),6194086.520000000484288,6369379.820000000298023,12563466.339999999850988
FS( 190 ),6246515.050000000745058,6531723.540000000037253,12778238.589999999850988
FS( 191 ),6158777.510000000707805,6432630.620000000111759,12591408.130000000819564
FS( 192 ),6126678.410000000149012,6421034.639999999664724,12547713.050000000745058
FS( 193 ),6171617.150000000372529,6455822.580000000074506,12627439.730000000447035
FS( 194 ),6123468.500000000000000,6444226.599999999627471,12567695.099999999627471
FS( 195 ),6048570.600000000558794,6388355.059999999590218,12436925.660000000149012
FS( 196 ),6077459.790000000037253,6352512.939999999478459,12429972.730000000447035
FS( 197 ),6118118.650000000372529,6378867.439999999478459,12496986.089999999850988
FS( 198 ),6151287.720000000670552,6526452.639999999664724,12677740.359999999403954
FS( 199 ),6142727.959999999962747,6615003.759999999776483,12757731.719999998807907
FS( 200 ),6150217.750000000000000,6494827.239999999292195,12645044.989999998360872
FS( 201 ),6007911.740000000223517,6314035.370000000111759,12321947.109999999403954
FS( 202 ),5717949.870000000111759,6129026.780000000260770,11846976.650000000372529
FS( 203 ),5557454.370000000111759,5820679.129999999888241,11378133.500000000000000
FS( 204 ),5539264.880000000819564,5796960.080000000074506,11336224.960000000894070
FS( 205 ),5818527.050000000745058,5980387.399999999441206,11798914.449999999254942
FS( 206 ),6025031.260000000707805,6207563.189999999478459,12232594.449999999254942
FS( 207 ),6018611.440000000409782,6181735.780000000260770,12200347.220000000670552
FS( 208 ),5979022.550000000745058,6098455.559999999590218,12077478.109999999403954
FS( 209 ),5812107.230000000447035,5936638.929999999701977,11748746.160000000149012
FS( 210 ),5922314.140000000596046,6020973.330000000074506,11943287.470000000670552
FS( 211 ),5930873.900000000372529,6008323.169999999925494,11939197.070000000298023
FS( 212 ),5868815.640000000596046,5922407.500000000000000,11791223.140000000596046
FS( 213 ),5979022.550000000745058,6119012.070000000298023,12098034.620000001043081
FS( 214 ),5877375.400000000372529,6065775.979999999515712,11943151.379999998956919
FS( 215 ),5905194.620000000111759,6154854.189999999478459,12060048.809999998658895
FS( 216 ),5982232.459999999962747,6256582.559999999590218,12238815.019999999552965
FS( 217 ),5986512.340000000782311,6209144.459999999962747,12195656.800000000745058
FS( 218 ),6090299.430000000633299,6326685.530000000260770,12416984.960000000894070
FS( 219 ),6183386.820000000298023,6385719.610000000335276,12569106.429999999701977
FS( 220 ),6167337.270000000484288,6496935.599999999627471,12664272.870000001043081
FS( 221 ),6155567.600000000558794,6455295.489999999292195,12610863.089999999850988
FS( 222 ),6235815.350000000558794,6532777.719999999739230,12768593.070000000298023
FS( 223 ),6204786.220000000670552,6479541.629999999888241,12684327.850000001490116
FS( 224 ),6175897.030000000260770,6497989.780000000260770,12673886.810000000521541
FS( 225 ),6141657.990000000223517,6382557.070000000298023,12524215.060000000521541
FS( 226 ),6687342.690000000409782,6133770.589999999850988,12821113.280000001192093
FS( 227 ),6534336.980000000447035,5940328.559999999590218,12474665.539999999105930
FS( 228 ),6402730.670000000856817,6020446.239999999292195,12423176.910000000149012
FS( 229 ),6579275.720000000670552,6114795.349999999627471,12694071.070000000298023
FS( 230 ),6625284.430000000633299,6146420.750000000000000,12771705.179999999701977
FS( 231 ),6699112.360000000335276,6263434.729999999515712,12962547.089999999850988
FS( 232 ),6648823.770000000484288,6306656.110000000335276,12955479.880000000819564
FS( 233 ),6591045.390000000596046,6116903.709999999962747,12707949.100000001490116
FS( 234 ),6532197.040000000037253,6136933.129999999888241,12669130.169999999925494
FS( 235 ),6683062.810000000521541,6118484.979999999515712,12801547.789999999105930
FS( 236 ),6684132.780000000260770,6286626.689999999478459,12970759.469999998807907
FS( 237 ),6764380.530000000260770,6457403.849999999627471,13221784.379999998956919
FS( 238 ),6731211.459999999962747,6535413.169999999925494,13266624.629999998956919
FS( 239 ),6732281.430000000633299,6434211.889999999664724,13166493.320000000298023
FS( 240 ),6890636.990000001154840,6334064.790000000037253,13224701.780000001192093
FS( 241 ),6980514.469999999739230,6324050.080000000074506,13304564.550000000745058
FS( 242 ),7127100.360000000335276,6363581.830000000074506,13490682.190000001341105
FS( 243 ),7082161.620000000111759,6347242.040000000037253,13429403.660000000149012
FS( 244 ),7087511.469999999739230,6225484.250000000000000,13312995.719999998807907
FS( 245 ),7084301.559999999590218,5998835.549999999813735,13083137.109999999403954
FS( 246 ),6983724.379999999888241,6110051.540000000037253,13093775.919999999925494
FS( 247 ),7028663.120000000111759,6142204.030000000260770,13170867.150000000372529
FS( 248 ),6998703.959999999962747,6291897.589999999850988,13290601.550000000745058
FS( 249 ),7024383.240000001154840,6313508.280000000260770,13337891.520000001415610
FS( 250 ),7014753.510000000707805,6309818.649999999441206,13324572.160000000149012
FS( 251 ),7010473.629999999888241,6208090.280000000260770,13218563.910000000149012
