代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14031513.240000000223517
真實報酬,4031513.240000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16648.618027509386593
風險,131599.038844675524160
起點值,0.126510179509438
找到最佳解世代,2521
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),BA[2](3),DD[7](7),MCD[15](4),MSFT[18](1),UNH[23](2),UTX[24](12),
FS( 67 ),1497002.439999999944121,1716906.520000000018626,1565393.399999999906868,1504832.320000000065193,1563415.180000000167638,1675305.799999999813735,1569704.520000000018626,11092563.179999999701977
FS( 68 ),1510714.120000000111759,1708489.540000000037253,1574961.399999999906868,1500720.189999999944121,1558439.380000000121072,1670560.899999999674037,1555061.219999999972060,11078949.750000000000000
FS( 69 ),1512237.640000000130385,1716582.790000000037253,1571708.279999999795109,1498477.209999999962747,1557941.800000000046566,1666744.350000000093132,1551714.179999999934807,11075409.250000000000000
FS( 70 ),1520363.080000000074506,1720143.820000000298023,1587782.519999999785796,1506327.639999999897555,1572122.830000000074506,1669941.999999999767169,1548088.219999999972060,11124773.109999999403954
FS( 71 ),1514015.080000000074506,1708165.810000000055879,1588547.959999999962747,1521530.059999999823049,1557693.010000000009313,1674790.050000000046566,1545577.939999999944121,11110322.909999998286366
FS( 72 ),1511348.920000000158325,1713992.950000000186265,1575152.760000000009313,1514053.459999999962747,1559932.120000000111759,1669013.650000000139698,1537210.339999999850988,11080707.199999999254942
FS( 73 ),1523537.080000000074506,1701475.390000000130385,1562331.639999999897555,1529629.709999999962747,1555702.690000000176951,1657254.549999999813735,1533723.839999999850988,11063657.900000000372529
FS( 74 ),1523410.120000000111759,1708489.540000000037253,1572665.080000000074506,1529131.269999999785796,1554956.320000000065193,1627134.750000000000000,1539999.540000000037253,11055789.620000001043081
FS( 75 ),1520743.960000000195578,1715827.420000000158325,1555825.399999999906868,1522526.939999999944121,1549980.520000000018626,1637037.149999999674037,1544322.800000000046566,11046267.190000001341105
FS( 76 ),1523537.080000000074506,1721546.650000000139698,1563671.159999999683350,1523523.820000000065193,1560927.280000000027940,1636624.549999999813735,1545159.560000000055879,11074993.100000001490116
FS( 77 ),1524552.760000000009313,1703309.860000000102445,1557164.919999999925494,1512558.139999999897555,1566400.660000000149012,1640853.699999999720603,1538883.860000000102445,11043726.899999998509884
FS( 78 ),1523156.199999999953434,1732553.470000000204891,1625289.080000000074506,1508446.010000000009313,1580332.900000000139698,1654882.100000000093132,1556595.280000000027940,11181258.039999999105930
FS( 79 ),1547405.560000000055879,1806040.180000000400469,1640789.239999999757856,1517667.150000000139698,1584313.540000000037253,1663237.250000000000000,1547530.379999999888241,11306986.300000000745058
FS( 80 ),1548167.320000000065193,1825032.340000000316650,1673894.519999999785796,1518788.639999999897555,1598992.149999999906868,1678812.899999999906868,1539162.780000000027940,11382853.649999998509884
FS( 81 ),1548294.280000000027940,1809709.120000000111759,1670832.760000000009313,1531000.419999999925494,1636559.440000000176951,1681288.500000000000000,1529958.419999999925494,11407645.939999999478459
FS( 82 ),1544231.560000000055879,1786724.290000000037253,1639258.359999999869615,1532994.179999999934807,1620388.089999999850988,1672005.000000000000000,1522567.040000000037253,11318171.519999999552965
FS( 83 ),1540676.679999999934807,1763523.640000000130385,1625097.719999999972060,1527386.729999999981374,1608446.170000000158325,1672108.149999999906868,1529540.040000000037253,11266782.129999998956919
FS( 84 ),1634627.080000000074506,1769458.690000000176951,1643276.919999999925494,1525517.580000000074506,1581825.640000000130385,1678400.300000000046566,1508760.500000000000000,11341869.710000000894070
FS( 85 ),1631833.960000000195578,1751006.080000000074506,1631412.599999999860302,1535486.379999999888241,1571625.250000000000000,1658286.049999999813735,1511270.780000000027940,11290924.099999999627471
FS( 86 ),1638816.760000000242144,1752516.820000000298023,1640789.239999999757856,1548196.599999999860302,1584313.540000000037253,1669735.699999999953434,1529261.120000000111759,11363632.780000001192093
FS( 87 ),1654178.919999999925494,1769566.600000000093132,1635622.519999999785796,1550813.409999999916181,1583318.380000000121072,1655707.299999999813735,1543625.500000000000000,11392835.629999998956919
FS( 88 ),1669921.960000000195578,1796759.920000000158325,1629499.000000000000000,1552557.949999999953434,1578093.790000000037253,1655913.599999999860302,1551574.719999999972060,11434323.940000001341105
FS( 89 ),1676396.919999999925494,1767732.130000000121072,1627776.760000000009313,1553554.830000000074506,1575854.680000000167638,1653644.300000000046566,1539720.620000000111759,11394683.240000002086163
FS( 90 ),1681221.399999999906868,1772803.900000000139698,1642320.119999999646097,1551187.239999999990687,1593767.560000000055879,1654985.249999999767169,1535397.360000000102445,11431685.830000000074506
FS( 91 ),1677412.600000000093132,1793846.350000000093132,1667579.639999999897555,1567884.979999999981374,1592274.820000000065193,1658182.899999999906868,1548785.520000000018626,11505969.810000000521541
FS( 92 ),1692266.919999999925494,1813270.150000000139698,1677721.719999999972060,1564395.900000000139698,1610187.699999999953434,1670973.500000000000000,1562313.139999999897555,11591132.030000001192093
FS( 93 ),1714231.000000000232831,1818341.920000000158325,1681931.639999999897555,1567760.369999999878928,1606455.849999999860302,1682732.599999999860302,1556037.439999999944121,11627493.820000000298023
FS( 94 ),1720452.040000000037253,1826974.720000000204891,1665091.959999999962747,1576109.239999999990687,1605460.690000000176951,1694697.999999999767169,1560779.079999999841675,11649568.730000000447035
FS( 95 ),1718420.679999999934807,1843269.130000000121072,1673511.799999999813735,1578850.659999999916181,1605211.899999999906868,1688096.399999999906868,1563010.439999999944121,11670374.009999999776483
FS( 96 ),1723118.199999999953434,1863772.030000000260770,1669493.239999999757856,1592557.760000000009313,1607699.800000000279397,1625896.949999999953434,1564126.120000000111759,11646667.100000001490116
FS( 97 ),1735560.280000000027940,1894526.380000000121072,1668345.080000000074506,1595548.399999999906868,1604465.530000000027940,1656326.199999999720603,1569007.219999999972060,11723782.089999999850988
FS( 98 ),1740765.640000000363216,1892368.180000000400469,1735129.719999999972060,1593180.809999999823049,1601231.260000000009313,1656326.199999999720603,1571238.579999999841675,11790243.390000000596046
FS( 99 ),1733401.960000000195578,1908554.680000000400469,1726901.239999999757856,1598414.430000000167638,1607699.800000000279397,1677265.649999999906868,1563289.360000000102445,11815530.120000001043081
FS( 100 ),1735052.439999999944121,1914813.460000000195578,1731876.599999999860302,1603149.610000000102445,1607699.800000000279397,1682010.550000000046566,1568449.379999999888241,11843054.839999999850988
FS( 101 ),1738480.360000000102445,1936287.550000000279397,1714462.839999999850988,1582464.349999999860302,1597996.990000000223517,1705941.349999999860302,1573330.479999999981374,11848966.919999999925494
FS( 102 ),1739242.120000000111759,1944920.350000000093132,1696666.359999999869615,1590688.610000000102445,1591777.239999999990687,1705941.349999999860302,1569704.520000000018626,11838943.549999998882413
FS( 103 ),1774790.919999999925494,1984631.230000000214204,1729388.919999999925494,1608134.010000000009313,1615661.080000000074506,1732347.749999999767169,1585463.500000000000000,12030420.410000000149012
FS( 104 ),1764253.240000000223517,1974703.510000000242144,1726518.519999999785796,1597915.989999999757856,1592523.610000000102445,1725849.300000000046566,1571656.959999999962747,11953424.129999998956919
FS( 105 ),1774663.960000000195578,1965962.800000000279397,1724030.839999999850988,1593803.860000000102445,1598494.570000000065193,1735029.649999999674037,1566775.860000000102445,11958764.540000000968575
FS( 106 ),1769077.720000000204891,1952474.050000000279397,1730728.439999999711290,1595423.790000000037253,1598992.149999999906868,1740187.149999999674037,1557292.579999999841675,11944178.880000000819564
FS( 107 ),1771363.000000000232831,1964236.240000000223517,1720969.080000000074506,1595922.229999999981374,1602226.420000000158325,1736061.150000000139698,1565939.100000000093132,11956720.220000000670552
FS( 108 ),1764761.080000000074506,1961214.760000000242144,1724604.919999999925494,1596171.449999999953434,1616905.030000000027940,1732038.299999999813735,1558547.719999999972060,11954246.259999999776483
FS( 109 ),1760698.360000000102445,1948589.290000000037253,1731685.239999999757856,1596794.499999999767169,1610436.490000000223517,1733069.799999999813735,1561058.000000000000000,11942334.679999999701977
FS( 110 ),1766538.519999999785796,1928410.120000000111759,1739722.359999999869615,1594800.739999999990687,1615412.290000000270084,1753390.349999999860302,1563986.659999999916181,11962264.040000000968575
FS( 111 ),1767300.280000000027940,1932186.970000000204891,1747185.399999999906868,1590190.169999999925494,1609938.909999999916181,1755762.800000000046566,1566357.479999999981374,11968925.010000001639128
FS( 112 ),1764634.120000000111759,1928733.850000000093132,1735512.439999999711290,1592557.760000000009313,1602475.209999999962747,1743900.550000000046566,1559663.399999999906868,11927480.330000000074506
FS( 113 ),1783297.240000000223517,1928518.030000000260770,1756179.319999999832362,1593554.639999999897555,1610934.070000000065193,1771957.349999999860302,1577095.899999999906868,12021539.549999998882413
FS( 114 ),1786217.320000000065193,1922906.710000000195578,1740296.439999999711290,1594800.739999999990687,1608197.380000000121072,1767006.150000000139698,1566775.860000000102445,11986203.599999999627471
FS( 115 ),1777330.120000000111759,1943517.520000000018626,1744889.080000000074506,1603024.999999999767169,1613919.550000000279397,1750502.149999999674037,1582255.919999999925494,12015442.340000001713634
FS( 116 ),1795993.240000000223517,1935855.909999999916181,1757710.199999999720603,1604769.540000000037253,1615412.290000000270084,1732966.649999999906868,1583092.679999999934807,12025803.509999999776483
FS( 117 ),1775425.720000000204891,1898842.780000000260770,1719055.479999999748543,1601529.680000000167638,1597499.409999999916181,1729872.149999999674037,1564265.579999999841675,11886493.800000000745058
FS( 118 ),1795485.399999999906868,1909849.600000000093132,1711209.719999999972060,1608757.059999999823049,1617900.190000000176951,1722961.099999999860302,1561058.000000000000000,11927224.069999998435378
FS( 119 ),1789137.399999999906868,1912871.080000000074506,1739531.000000000000000,1607510.959999999962747,1613919.550000000279397,1705012.999999999767169,1559802.860000000102445,11927788.849999999627471
FS( 120 ),1785582.519999999785796,1897332.040000000037253,1719055.479999999748543,1611747.699999999953434,1616656.240000000223517,1702021.649999999906868,1559245.020000000018626,11891643.650000000372529
FS( 121 ),1788629.560000000055879,1900353.520000000018626,1744697.719999999972060,1613616.850000000093132,1619641.719999999972060,1697895.649999999906868,1559663.399999999906868,11924501.420000001788139
FS( 122 ),1825701.880000000121072,1913950.180000000400469,1771488.119999999646097,1613118.409999999916181,1624368.730000000214204,1705631.899999999906868,1572354.260000000009313,12026616.480000000447035
FS( 123 ),1829764.600000000093132,1916863.750000000000000,1755605.239999999757856,1605517.199999999953434,1628846.949999999953434,1685930.249999999767169,1562870.979999999981374,11985401.970000000670552
FS( 124 ),1827352.360000000102445,1920640.600000000093132,1749099.000000000000000,1611498.479999999981374,1634817.909999999916181,1701918.500000000000000,1568309.919999999925494,12013639.769999999552965
FS( 125 ),1823924.439999999944121,1908554.680000000400469,1731685.239999999757856,1615112.170000000158325,1638549.760000000009313,1691809.799999999813735,1564962.879999999888241,11974601.969999998807907
FS( 126 ),1824432.280000000027940,1906288.570000000298023,1718481.399999999906868,1615112.170000000158325,1630837.270000000018626,1708107.500000000000000,1561058.000000000000000,11964320.189999999478459
FS( 127 ),1838017.000000000232831,1928410.120000000111759,1722308.599999999860302,1611124.649999999906868,1635315.490000000223517,1701712.199999999953434,1575840.760000000009313,12012731.819999998435378
FS( 128 ),1828495.000000000232831,1910928.700000000186265,1731111.159999999683350,1625080.969999999972060,1631086.060000000055879,1705838.199999999953434,1569007.219999999972060,12001550.309999998658895
FS( 129 ),1823924.439999999944121,1914058.090000000316650,1733598.839999999850988,1621841.110000000102445,1635315.490000000223517,1705528.750000000000000,1567752.079999999841675,12002021.800000000745058
FS( 130 ),1819861.720000000204891,1930028.770000000018626,1722117.239999999757856,1619473.520000000018626,1634071.540000000270084,1712542.949999999953434,1575840.760000000009313,12013939.500000000000000
FS( 131 ),1817703.399999999906868,1916108.380000000121072,1724222.199999999720603,1619722.739999999757856,1630339.690000000176951,1706972.849999999860302,1574306.699999999953434,11989378.959999999031425
FS( 132 ),1798151.560000000055879,1927007.290000000037253,1702981.239999999757856,1634925.159999999916181,1629095.740000000223517,1710583.100000000093132,1577932.659999999916181,11980679.750000000000000
FS( 133 ),1800309.880000000121072,1899813.970000000204891,1687481.080000000074506,1635672.819999999832362,1622875.990000000223517,1707798.050000000046566,1565381.260000000009313,11919336.050000000745058
FS( 134 ),1790787.880000000121072,1895173.840000000316650,1664135.159999999683350,1629442.319999999832362,1615909.870000000111759,1701609.050000000046566,1563289.360000000102445,11860350.480000000447035
FS( 135 ),1800690.760000000242144,1931863.240000000223517,1682314.359999999869615,1636794.309999999823049,1629095.740000000223517,1724508.350000000093132,1579745.639999999897555,11985015.400000000372529
FS( 136 ),1792692.280000000027940,1919237.770000000018626,1675425.399999999906868,1648632.260000000009313,1626856.630000000121072,1739052.500000000000000,1583789.979999999981374,11985689.820000000298023
FS( 137 ),1786090.360000000102445,1925172.820000000298023,1677339.000000000000000,1652868.999999999767169,1618148.980000000214204,1745860.399999999906868,1574864.540000000037253,11980348.100000001490116
FS( 138 ),1808435.320000000065193,1934884.720000000204891,1688055.159999999683350,1660719.430000000167638,1629593.320000000065193,1769481.749999999767169,1589089.459999999962747,12080262.160000000149012
FS( 139 ),1806277.000000000232831,1946539.000000000000000,1693987.319999999832362,1662463.969999999972060,1651984.420000000158325,1765562.049999999813735,1603732.760000000009313,12130549.520000001415610
FS( 140 ),1823670.519999999785796,1964667.880000000121072,1711975.159999999683350,1672681.989999999757856,1680097.690000000176951,1777630.600000000093132,1622280.939999999944121,12253007.779999997466803
FS( 141 ),1834969.960000000195578,1980314.830000000074506,1766321.399999999906868,1765765.659999999916181,1689800.500000000000000,1795269.249999999767169,1629951.239999999990687,12462395.839999999850988
FS( 142 ),1824178.360000000102445,1960891.030000000260770,1753117.559999999823049,1755049.199999999953434,1687561.390000000130385,1798776.349999999860302,1648499.419999999925494,12428076.310000000521541
FS( 143 ),1825574.919999999925494,1977185.440000000176951,1722117.239999999757856,1755423.030000000027940,1698508.149999999906868,1801355.099999999860302,1656588.100000000093132,12436754.979999998584390
FS( 144 ),1823797.480000000214204,1994558.950000000186265,1711401.080000000074506,1743709.689999999944121,1703235.159999999916181,1803933.849999999860302,1659516.760000000009313,12440155.970000000670552
FS( 145 ),1860996.760000000242144,1968228.909999999916181,1703746.679999999934807,1758912.110000000102445,1726870.209999999962747,1800942.500000000000000,1658540.540000000037253,12478240.710000000894070
FS( 146 ),1872804.040000000037253,1979559.460000000195578,1703746.679999999934807,1759908.989999999757856,1724133.520000000018626,1796300.749999999767169,1664118.939999999944121,12500575.379999998956919
FS( 147 ),1867090.840000000083819,1979019.909999999916181,1681740.279999999795109,1777229.780000000027940,1718660.140000000130385,1779796.749999999767169,1677786.020000000018626,12481326.719999998807907
FS( 148 ),1860361.960000000195578,1975566.790000000037253,1673894.519999999785796,1787572.409999999916181,1711942.810000000055879,1795062.949999999953434,1687548.219999999972060,12491952.660000000149012
FS( 149 ),1891213.240000000223517,1996501.330000000074506,1719438.199999999720603,1793927.520000000018626,1716669.820000000065193,1796094.449999999953434,1692429.319999999832362,12606276.879999998956919
FS( 150 ),1942632.040000000037253,2007400.240000000223517,1699728.119999999646097,1797416.600000000093132,1715177.080000000074506,1799395.249999999767169,1688663.899999999906868,12650416.230000000447035
