代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13578863.300000000745058
真實報酬,3578863.300000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14094.541005618730196
風險,229555.895315010478953
起點值,0.061399168103600
找到最佳解世代,1963
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MRK[17](3),PG[21](1),
FS( 27 ),3481602.160000000614673,3546086.640000000596046,3385408.799999999348074,10413098.599999999627471
FS( 28 ),3506455.300000000279397,3540487.860000000335276,3404833.899999999441206,10451778.059999998658895
FS( 29 ),3496896.400000000372529,3516056.820000000298023,3389541.799999999813735,10402496.019999999552965
FS( 30 ),3499445.440000000409782,3555757.260000000242144,3435004.799999999348074,10490208.500000000000000
FS( 31 ),3449739.160000000614673,3605128.320000000298023,3449056.999999999534339,10503925.480000000447035
FS( 32 ),3416601.640000000596046,3561865.020000000484288,3455669.799999999348074,10434137.460000000894070
FS( 33 ),3359248.240000000223517,3584260.140000000596046,3482120.999999999534339,10425630.380000000819564
FS( 34 ),3351388.700000000651926,3584260.140000000596046,3471788.499999999534339,10407438.340000001713634
FS( 35 ),3381339.920000000391155,3561865.020000000484288,3471788.499999999534339,10414994.440000001341105
FS( 36 ),3415539.540000000037253,3602583.420000000391155,3527997.299999999348074,10546121.259999999776483
FS( 37 ),3511340.960000000428408,3618870.780000000260770,3547009.099999999161810,10677221.839999999850988
FS( 38 ),3469069.380000000353903,3602583.420000000391155,3482947.599999999161810,10554601.400000000372529
FS( 39 ),3534919.580000000074506,3595966.680000000633299,3435418.099999999627471,10566305.359999999403954
FS( 40 ),3521112.280000000260770,3579679.320000000298023,3441204.299999999813735,10541996.900000000372529
FS( 41 ),3537468.620000000577420,3599529.540000000502914,3424672.299999999348074,10561671.460000000894070
FS( 42 ),3553612.540000000037253,3610727.100000000558794,3439964.399999999906868,10604305.040000000968575
FS( 43 ),3540442.500000000000000,3640756.920000000391155,3458149.599999999627471,10639350.019999999552965
FS( 44 ),3508791.920000000391155,3651954.480000000447035,3486667.299999999348074,10647414.699999999254942
FS( 45 ),3497746.080000000074506,3632613.240000000689179,3431698.399999999441206,10562058.719999998807907
FS( 46 ),3521961.960000000428408,3624978.540000000502914,3385822.099999999627471,10532763.600000001490116
FS( 47 ),3538318.300000000279397,3615307.920000000391155,3395328.000000000000000,10548955.220000000670552
FS( 48 ),3563808.700000000651926,3637194.060000000055879,3405660.500000000000000,10606664.260000001639128
FS( 49 ),3607567.220000000670552,3681984.300000000745058,3397394.499999999534339,10686947.020000001415610
FS( 50 ),3576553.900000000372529,3585787.080000000540167,3365983.699999999254942,10528325.679999999701977
FS( 51 ),3461847.100000000093132,3479919.240000000689179,3259765.599999999627471,10201532.940000001341105
FS( 52 ),3479902.800000000279397,3553212.360000000335276,3267618.299999999813735,10300734.460000000894070
FS( 53 ),3476716.500000000000000,3535398.060000000055879,3311841.399999999441206,10323956.960000000894070
FS( 54 ),3485213.300000000279397,3624978.540000000502914,3348211.799999999813735,10458404.640000000596046
FS( 55 ),3542566.700000000651926,3655517.340000000316650,3383342.299999999348074,10581427.339999999850988
FS( 56 ),3543416.380000000353903,3675367.560000000055879,3316387.699999999254942,10535172.640000000596046
FS( 57 ),3557860.940000000409782,3682493.280000000260770,3608177.499999999534339,10848532.720000000670552
FS( 58 ),3539592.820000000298023,3693690.840000000316650,3579246.499999999068677,10812531.160000000149012
FS( 59 ),3763058.660000000614673,3669768.780000000260770,3602391.299999999348074,11035219.740000000223517
FS( 60 ),3767307.060000000055879,3590367.900000000838190,3697450.299999999348074,11055126.259999999776483
FS( 61 ),3723973.380000000353903,3560847.060000000055879,3678438.499999999534339,10963259.939999999478459
FS( 62 ),3682126.640000000596046,3583242.180000000633299,3631322.299999999348074,10896692.120000001043081
FS( 63 ),3679790.020000000018626,3636685.080000000540167,3647027.699999999254942,10963503.800000000745058
FS( 64 ),3791522.940000000409782,3708960.240000000689179,3686291.199999999254942,11186775.380000000819564
FS( 65 ),3757748.160000000614673,3746624.760000000242144,3665212.899999999906868,11169586.820000000298023
FS( 66 ),3714839.320000000298023,3721684.740000000689179,3702823.199999999720603,11139348.259999999776483
FS( 67 ),3754561.860000000335276,3678421.440000000409782,3711915.799999999813735,11144900.100000001490116
FS( 68 ),3831882.740000000223517,3721684.740000000689179,3769364.499999999534339,11322932.980000000447035
FS( 69 ),3881164.180000000633299,3731355.360000000335276,3782176.799999999813735,11394697.339999999850988
FS( 70 ),3913876.860000000335276,3821444.820000000298023,3773084.199999999720603,11508406.880000000819564
FS( 71 ),3940004.520000000018626,3841804.020000000484288,3775977.299999999348074,11557786.839999999850988
FS( 72 ),3949775.840000000316650,3810247.260000000242144,3819373.799999999348074,11579397.900000000372529
FS( 73 ),3916425.900000000372529,3801594.600000000558794,3831359.499999999534339,11549381.000000000000000
FS( 74 ),3908778.780000000260770,3797522.760000000242144,3863183.599999999627471,11569486.140000000596046
FS( 75 ),3905380.060000000055879,3771055.800000000745058,3864010.199999999254942,11540447.060000000521541
FS( 76 ),3899219.880000000353903,3809229.300000000745058,3878062.399999999441206,11586512.580000001937151
FS( 77 ),3984825.140000000596046,3871324.860000000335276,3877649.099999999161810,11733800.099999999627471
FS( 78 ),3966344.600000000093132,3886085.280000000260770,3855744.199999999720603,11708175.080000000074506
FS( 79 ),3902406.180000000633299,3806175.420000000391155,3806561.499999999068677,11515144.100000001490116
FS( 80 ),3881376.600000000093132,3806684.400000000838190,3778043.799999999348074,11466105.800000000745058
FS( 81 ),3864595.420000000391155,3800576.640000000596046,3783416.699999999720603,11448589.759999999776483
FS( 82 ),3906229.740000000223517,3839768.100000000558794,3799948.699999999254942,11545947.539999999105930
FS( 83 ),3921948.820000000298023,3885576.300000000745058,3832186.099999999627471,11639712.220000000670552
FS( 84 ),3990348.060000000055879,3930875.520000000484288,3844171.799999999813735,11765396.379999998956919
FS( 85 ),4020299.280000000260770,3965486.160000000149012,3836319.099999999161810,11822105.539999999105930
FS( 86 ),4004367.780000000260770,4038270.300000000745058,3906166.799999999813735,11948805.880000000819564
FS( 87 ),3937667.900000000372529,4032162.540000000502914,3856984.099999999161810,11826815.540000000968575
FS( 88 ),3930658.040000000037253,3980755.560000000055879,3856570.799999999813735,11767985.399999998509884
FS( 89 ),3939367.260000000242144,3988899.240000000689179,3866489.999999999534339,11794757.500000000000000
FS( 90 ),3886474.680000000633299,3904917.540000000502914,3821026.999999999534339,11612420.220000000670552
FS( 91 ),3922373.660000000614673,3940546.140000000596046,3844998.399999999441206,11707919.199999999254942
FS( 92 ),3899857.140000000596046,3924767.760000000242144,3881368.799999999348074,11705994.699999999254942
FS( 93 ),3897520.520000000018626,3970575.960000000894070,3886328.399999999441206,11754425.879999998956919
FS( 94 ),3960184.420000000391155,4021473.960000000894070,3988000.199999999254942,11969659.580000000074506
FS( 95 ),3893484.540000000037253,3892702.020000000484288,3994199.699999999720603,11780387.259999999776483
FS( 96 ),3840379.540000000037253,3829079.520000000484288,3834252.599999999161810,11503712.660000000149012
FS( 97 ),3817438.180000000633299,3783271.320000000298023,3822680.199999999254942,11423390.699999999254942
FS( 98 ),3805755.080000000074506,3754768.440000000409782,3792509.299999999813735,11353033.820000000298023
FS( 99 ),3689348.920000000391155,3740517.000000000000000,3760271.899999999906868,11190138.820000000298023
FS( 100 ),3699332.660000000614673,3710487.180000000633299,3759858.599999999627471,11169679.440000001341105
FS( 101 ),3617126.120000000577420,3621415.680000000633299,3610657.299999999348074,10849200.099999999627471
FS( 102 ),3696783.620000000577420,3766474.980000000447035,3723488.199999999720603,11186747.800000000745058
FS( 103 ),3732470.180000000633299,3836714.220000000204891,3803255.099999999161810,11372440.500000000000000
FS( 104 ),3729283.880000000353903,3836205.240000000689179,3768537.899999999906868,11334028.020000001415610
FS( 105 ),3771980.300000000279397,3889139.160000000149012,3799122.099999999627471,11460242.560000000521541
FS( 106 ),3739904.880000000353903,3847402.800000000745058,3772670.899999999441206,11359979.580000001937151
FS( 107 ),3715264.160000000614673,3768510.900000000838190,3746219.699999999720603,11229995.760000001639128
FS( 108 ),3787062.120000000577420,3882013.440000000409782,3822680.199999999254942,11491756.759999999776483
FS( 109 ),3828271.600000000093132,3839259.120000000577420,3807388.099999999627471,11474919.820000000298023
FS( 110 ),3836343.560000000055879,3867762.000000000000000,3821440.299999999348074,11525546.859999999403954
FS( 111 ),3829758.540000000037253,3838241.160000000149012,3759031.999999999534339,11427032.699999999254942
FS( 112 ),3856523.460000000428408,3790906.020000000484288,3768124.599999999627471,11415555.080000000074506
FS( 113 ),3873941.900000000372529,3812283.180000000633299,3792922.599999999161810,11479148.679999999701977
FS( 114 ),3849513.600000000093132,3734409.240000000689179,3767298.000000000000000,11351221.839999999850988
FS( 115 ),3845265.200000000651926,3791923.980000000447035,3802841.799999999813735,11440031.980000000447035
FS( 116 ),3809791.060000000055879,3797522.760000000242144,3776390.599999999627471,11383705.419999999925494
FS( 117 ),3847176.980000000447035,3847911.780000000260770,3746219.699999999720603,11441309.460000000894070
FS( 118 ),3878190.300000000279397,3861654.240000000689179,3778457.099999999627471,11518302.640000000596046
FS( 119 ),3920674.300000000279397,3859618.320000000298023,3737953.699999999254942,11518247.320000000298023
FS( 120 ),3952962.140000000596046,3839768.100000000558794,3919805.699999999720603,11712536.940000001341105
FS( 121 ),3980151.900000000372529,3724229.640000000596046,3897487.499999999534339,11601870.040000000968575
FS( 122 ),3908566.360000000335276,3713032.080000000540167,3868556.499999999068677,11490155.940000001341105
FS( 123 ),3900069.560000000055879,3711505.140000000596046,3865250.099999999161810,11476825.800000000745058
FS( 124 ),3869693.500000000000000,3727283.520000000484288,3866076.699999999720603,11463054.720000000670552
FS( 125 ),3861196.700000000651926,3734409.240000000689179,3906580.099999999161810,11502187.040000000968575
FS( 126 ),3797683.120000000577420,3788361.120000000577420,3987173.599999999627471,11573218.839999999850988
FS( 127 ),3753924.600000000093132,3891175.080000000540167,4028503.599999999627471,11673604.280000001192093
FS( 128 ),3771555.460000000428408,3912552.240000000689179,4051648.399999999441206,11735757.100000001490116
FS( 129 ),3771980.300000000279397,3926803.680000000633299,4027263.699999999254942,11726048.679999999701977
FS( 130 ),3742453.920000000391155,3939019.200000000651926,4047102.099999999627471,11728576.220000000670552
FS( 131 ),3723336.120000000577420,3910007.340000000316650,4014864.699999999720603,11648209.160000000149012
FS( 132 ),3712077.860000000335276,3945635.940000000409782,4038422.799999999348074,11696137.599999999627471
FS( 133 ),3701669.280000000260770,3904408.560000000055879,4061567.599999999161810,11667646.439999999478459
FS( 134 ),3695509.100000000093132,3996533.940000000409782,4102484.299999999813735,11794528.339999999850988
FS( 135 ),3699332.660000000614673,4021982.940000000409782,4101657.699999999254942,11822974.300000000745058
FS( 136 ),3735868.900000000372529,4017911.100000000558794,4069420.299999999348074,11823201.300000000745058
FS( 137 ),3822961.100000000093132,4062192.360000000335276,4070246.899999999906868,11955401.360000001266599
FS( 138 ),3807666.860000000335276,4033180.500000000000000,4132655.199999999254942,11973503.559999998658895
FS( 139 ),3834006.940000000409782,4042851.120000000577420,4103310.899999999441206,11980169.960000000894070
FS( 140 ),3883288.380000000353903,4063210.320000000298023,4123975.899999999441206,12070475.600000001490116
FS( 141 ),3890935.500000000000000,4111054.440000000409782,4143400.999999999534339,12145391.939999999478459
FS( 142 ),3879039.980000000447035,4091204.220000000204891,4115296.599999999161810,12085541.800000000745058
FS( 143 ),3891785.180000000633299,4109527.500000000000000,4126042.399999999441206,12127356.080000000074506
FS( 144 ),3894971.480000000447035,4103419.740000000689179,4088018.799999999348074,12086411.019999999552965
FS( 145 ),3905167.640000000596046,4137521.400000000838190,4073139.999999999534339,12115830.040000000968575
FS( 146 ),3930870.460000000428408,4155844.680000000633299,4068593.699999999254942,12155309.839999999850988
FS( 147 ),3836131.140000000596046,4141593.240000000689179,4086365.599999999627471,12064090.980000000447035
FS( 148 ),3852275.060000000055879,4158389.580000000540167,4095458.199999999720603,12106123.839999999850988
FS( 149 ),3866719.620000000577420,4110545.460000000894070,4088845.399999999906868,12066111.480000002309680
FS( 150 ),3834644.200000000651926,4094767.080000000540167,4073139.999999999534339,12002552.280000001192093
FS( 151 ),3812977.360000000335276,4061683.380000000353903,4067353.799999999348074,11942015.539999999105930
FS( 152 ),3846539.720000000670552,4116144.240000000689179,4115709.899999999441206,12078394.859999999403954
FS( 153 ),3862471.220000000670552,4134467.520000000484288,4135134.999999999534339,12132074.740000000223517
FS( 154 ),3867356.880000000353903,4153299.780000000260770,4181837.899999999906868,12202495.560000000521541
FS( 155 ),3881801.440000000409782,4147701.000000000000000,4187624.099999999161810,12217127.539999999105930
FS( 156 ),3936818.220000000670552,4151772.840000000316650,4233913.699999999254942,12322505.759999999776483
FS( 157 ),3907504.260000000242144,4140575.280000000260770,4195476.799999998882413,12243557.339999999850988
FS( 158 ),3889660.980000000447035,4169078.160000000149012,4211595.500000000000000,12270335.640000000596046
FS( 159 ),3929171.100000000093132,4177730.820000000298023,4204156.099999999627471,12311059.019999999552965
FS( 160 ),3958909.900000000372529,4222012.080000001005828,4235980.199999999254942,12416903.179999999701977
FS( 161 ),3968256.380000000353903,4188419.400000000838190,4201676.299999998882413,12358353.080000000074506
FS( 162 ),3945102.600000000093132,4191473.280000000260770,4214075.299999998882413,12350652.179999999701977
FS( 163 ),3982488.520000000018626,4220485.140000000596046,4257885.099999999627471,12460859.759999999776483
FS( 164 ),3983125.780000000260770,4188419.400000000838190,4252925.500000000000000,12424471.680000001564622
FS( 165 ),4023060.740000000223517,4205724.720000000670552,4279790.000000000000000,12508576.460000000894070
FS( 166 ),4033894.160000000614673,4233209.640000000596046,4300455.000000000000000,12567559.800000000745058
FS( 167 ),4001818.740000000223517,4239826.379999999888241,4283509.699999999254942,12525155.820000000298023
FS( 168 ),4000969.060000000055879,4235245.560000000521541,4288056.000000000000000,12524271.620000001043081
FS( 169 ),4000969.060000000055879,4233718.620000001043081,4285576.199999999254942,12520264.880000000819564
FS( 170 ),4033256.900000000372529,4166024.280000000260770,4274830.400000000372529,12474112.580000001937151
FS( 171 ),4051100.180000000633299,4130395.680000000633299,4283923.000000000000000,12465419.860000001266599
FS( 172 ),4032832.060000000055879,4120216.080000000540167,4338478.599999999627471,12491527.740000000223517
FS( 173 ),4037717.720000000670552,4112581.380000000353903,4325666.299999998882413,12475966.400000000372529
FS( 174 ),4019449.600000000093132,4113599.340000000316650,4325253.000000000000000,12458302.940000001341105
FS( 175 ),4012227.320000000298023,4063719.300000000745058,4329386.000000000000000,12405333.620000001043081
FS( 176 ),4070005.560000000055879,4042851.120000000577420,4342198.299999998882413,12455055.980000000447035
FS( 177 ),4075316.060000000055879,3997042.920000000391155,4369889.400000000372529,12442249.380000000819564
FS( 178 ),4072129.760000000242144,3947671.860000000335276,4398407.099999999627471,12418209.720000000670552
FS( 179 ),4070217.980000000447035,3762403.140000000596046,4374849.000000000000000,12207471.120000001043081
FS( 180 ),4140316.580000000074506,3725247.600000000558794,4383115.000000000000000,12248680.179999999701977
FS( 181 ),4119287.000000000000000,3738990.060000000055879,4381461.799999998882413,12239739.859999999403954
FS( 182 ),4147751.280000000260770,3797013.780000000260770,4263671.299999998882413,12208437.359999999403954
FS( 183 ),4198094.820000000298023,3803630.520000000484288,4285576.199999999254942,12287302.539999999105930
FS( 184 ),4204467.420000000856817,3885576.300000000745058,4268630.900000000372529,12358675.620000001043081
FS( 185 ),4193634.000000000000000,3900336.720000000204891,4375262.299999998882413,12469234.019999999552965
FS( 186 ),4187261.400000000372529,3907971.420000000391155,4330625.900000000372529,12425859.720000000670552
FS( 187 ),4196820.299999999813735,4006204.560000000055879,4400886.900000000372529,12603912.759999999776483
FS( 188 ),4124597.500000000000000,4006713.540000000502914,4336825.400000000372529,12468137.440000001341105
FS( 189 ),4133943.980000000447035,4047431.940000000409782,4362863.299999998882413,12544240.219999998807907
FS( 190 ),4195758.200000000186265,4071862.980000000447035,4384354.900000000372529,12651977.080000001937151
FS( 191 ),4225072.160000000149012,4045396.020000000484288,4367822.900000000372529,12638292.080000001937151
FS( 192 ),4206804.040000000037253,3964977.180000000633299,4327319.500000000000000,12499101.720000000670552
FS( 193 ),4206591.620000000111759,3979228.620000000577420,4342611.599999999627471,12528432.839999999850988
FS( 194 ),4200219.020000000484288,3986863.320000000298023,4308307.699999999254942,12495391.039999999105930
FS( 195 ),4248225.940000000409782,3979737.600000000558794,4381461.799999998882413,12609426.339999999850988
FS( 196 ),4227833.620000000111759,3927821.640000000596046,4385594.799999998882413,12541251.059999998658895
FS( 197 ),4206166.780000000260770,3940546.140000000596046,4364516.500000000000000,12511230.420000001788139
FS( 198 ),4228683.299999999813735,3947162.880000000353903,4409979.500000000000000,12585826.679999999701977
FS( 199 ),4248225.940000000409782,4027581.720000000204891,4468254.799999998882413,12744063.459999999031425
FS( 200 ),4231869.600000000558794,4006713.540000000502914,4440977.000000000000000,12679561.140000000596046
FS( 201 ),4226983.940000000409782,4014857.220000000204891,4436017.400000000372529,12677859.560000000521541
FS( 202 ),4245039.640000000596046,4046413.980000000447035,4396340.599999999627471,12687795.220000000670552
FS( 203 ),4247588.680000000633299,4121743.020000000484288,4410806.099999999627471,12780138.800000000745058
FS( 204 ),4226559.100000000558794,4123778.940000000409782,4412459.299999998882413,12762798.339999999850988
FS( 205 ),4201068.700000000186265,4131413.640000000596046,4409566.199999999254942,12742049.539999999105930
FS( 206 ),4177702.500000000000000,4085096.460000000894070,4317400.299999998882413,12580200.259999999776483
FS( 207 ),4163895.200000000651926,4039288.260000000242144,4306241.199999999254942,12509425.660000000149012
FS( 208 ),4232294.440000000409782,4055575.620000000577420,4353357.400000000372529,12641228.460000000894070
FS( 209 ),4211689.700000000186265,4031653.560000000055879,4253338.799999998882413,12496683.059999998658895
FS( 210 ),4222523.120000000111759,4085096.460000000894070,4290122.500000000000000,12597743.080000001937151
FS( 211 ),4240578.820000000298023,4126832.820000000298023,4326492.900000000372529,12693905.540000000968575
FS( 212 ),4251199.820000000298023,4157880.600000000558794,4411219.400000000372529,12820300.820000002160668
FS( 213 ),4313226.460000000894070,4145156.100000000558794,4438083.899999998509884,12896467.460000000894070
FS( 214 ),4364844.520000000484288,4197072.060000000521541,4495532.599999999627471,13057450.180000001564622
FS( 215 ),4276052.960000000894070,4198090.020000000484288,4493466.099999999627471,12967610.080000000074506
FS( 216 ),4317687.280000000260770,4223539.020000000484288,4520743.899999998509884,13061971.199999999254942
FS( 217 ),4353161.420000000856817,4260694.560000000521541,4533142.900000000372529,13146999.880000000819564
FS( 218 ),4343814.940000000409782,4219467.180000000633299,4583978.799999998882413,13147261.919999999925494
FS( 219 ),4360808.540000000037253,4213359.420000000856817,4595964.500000000000000,13170133.460000000894070
FS( 220 ),4329370.380000000819564,4239826.379999999888241,4587285.199999999254942,13156482.960000000894070
FS( 221 ),4344239.780000000260770,4300395.000000000000000,4529836.500000000000000,13174472.280000001192093
FS( 222 ),4345089.460000000894070,4344676.260000000707805,4563727.099999999627471,13253493.820000002160668
FS( 223 ),4357197.400000000372529,4305993.780000000260770,4618282.699999999254942,13281474.879999998956919
FS( 224 ),4338929.280000000260770,4304466.839999999850988,4595964.500000000000000,13239361.620000001043081
FS( 225 ),4331707.000000000000000,4352310.960000000894070,4642667.400000000372529,13326686.360000001266599
FS( 226 ),4369730.180000000633299,4338568.500000000000000,4617456.099999999627471,13325755.779999999329448
FS( 227 ),4345089.460000000894070,4252041.900000000372529,4535209.400000000372529,13132341.760000001639128
FS( 228 ),4381625.700000000186265,4266802.320000000298023,4537275.900000000372529,13185704.919999999925494
FS( 229 ),4411152.080000000074506,4267820.280000000260770,4531903.000000000000000,13210876.359999999403954
FS( 230 ),4382262.960000000894070,4313628.480000000447035,4566620.199999999254942,13262512.640000000596046
FS( 231 ),4451936.720000000670552,4352310.960000000894070,4607536.900000000372529,13411785.580000001937151
FS( 232 ),4520548.380000000819564,4423059.180000000633299,4714994.900000000372529,13658603.460000002756715
FS( 233 ),4487198.440000000409782,4356891.780000000260770,4676558.000000000000000,13520649.220000000670552
FS( 234 ),4506741.080000000074506,4277490.900000000372529,4713755.000000000000000,13497987.980000000447035
FS( 235 ),4505254.140000000596046,4319227.260000000707805,4666638.799999998882413,13491121.200000001117587
FS( 236 ),4524584.360000000335276,4317191.339999999850988,4701356.000000000000000,13543132.699999999254942
FS( 237 ),4517999.339999999850988,4122760.980000000447035,4727393.899999998509884,13368155.219999998807907
FS( 238 ),4524371.940000000409782,4058120.520000000484288,4752605.199999999254942,13335098.660000000149012
FS( 239 ),4550287.180000000633299,4120725.060000000055879,4772856.900000000372529,13443870.140000000596046
FS( 240 ),4539878.600000000558794,4152790.800000000745058,4789802.199999999254942,13482472.600000001490116
FS( 241 ),4539666.180000000633299,4169587.140000000596046,4791868.699999999254942,13501123.019999999552965
FS( 242 ),4586398.580000000074506,4208778.600000000558794,4771203.699999999254942,13566381.879999998956919
FS( 243 ),4543064.900000000372529,4142611.200000000651926,4753431.799999998882413,13439108.900000000372529
FS( 244 ),4567068.360000000335276,4133449.560000000055879,4765417.500000000000000,13465936.419999999925494
FS( 245 ),4552411.380000000819564,4175185.920000000391155,4705489.000000000000000,13433087.300000000745058
FS( 246 ),4519911.120000000111759,4160934.480000000447035,4653826.500000000000000,13334673.100000001490116
FS( 247 ),4555172.839999999850988,4160934.480000000447035,4660852.599999999627471,13376960.919999999925494
FS( 248 ),4579388.720000000670552,4144647.120000000577420,4741859.400000000372529,13465896.240000002086163
FS( 249 ),4566643.520000000484288,4198599.000000000000000,4794348.500000000000000,13559592.019999999552965
FS( 250 ),4510564.640000000596046,4238299.440000000409782,4976613.799999998882413,13725478.880000000819564
FS( 251 ),4476152.600000000558794,4224048.000000000000000,4878661.699999999254942,13578863.300000000745058
