代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11793029.500000000000000
真實報酬,1793029.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8390.437937872311522
風險,273447.722728719585575
起點值,0.030683883025774
找到最佳解世代,1825
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),V[25](6),VZ[26](8),
FS( 30 ),3421051.679999999701977,3612865.630000000353903,3393615.850000000093132,10427534.160000000149012
FS( 31 ),3458993.489999999757856,3632025.160000000614673,3380140.859999999869615,10471160.509999999776483
FS( 32 ),3455512.589999999385327,3646271.990000000223517,3368084.290000000037253,10469869.870000001043081
FS( 33 ),3503897.099999999627471,3655606.120000000111759,3370211.920000000391155,10529716.140000000596046
FS( 34 ),3507378.000000000000000,3658553.740000000223517,3365956.660000000149012,10531889.400000000372529
FS( 35 ),3519213.059999999590218,3655114.850000000558794,3364538.239999999757856,10538867.150000000372529
FS( 36 ),3472569.000000000000000,3633007.700000000186265,3324822.479999999981374,10430400.179999999701977
FS( 37 ),3381021.329999999608845,3497417.180000000167638,3269504.100000000093132,10147943.609999999403954
FS( 38 ),3232734.989999999757856,3358387.770000000484288,3173051.540000000037253,9764175.300000000745058
FS( 39 ),3174952.049999999348074,3290101.240000000223517,3085109.500000000000000,9550163.789999999105930
FS( 40 ),3312099.509999999776483,3472853.680000000167638,3202838.359999999869615,9987792.549999998882413
FS( 41 ),3387983.129999999422580,3556860.850000000558794,3275886.989999999757856,10220731.970000000670552
FS( 42 ),3350389.409999999683350,3559808.470000000204891,3267376.470000000204891,10177575.349999999627471
FS( 43 ),3307574.339999999385327,3502821.150000000372529,3263121.209999999962747,10073517.699999999254942
FS( 44 ),3253620.389999999664724,3387863.970000000204891,3184398.899999999906868,9825884.259999999776483
FS( 45 ),3343079.520000000018626,3420287.790000000502914,3216313.350000000093132,9979681.660000000149012
FS( 46 ),3342035.250000000000000,3458606.850000000558794,3242554.120000000111759,10043197.220000000670552
FS( 47 ),3301656.809999999590218,3397689.370000000111759,3178725.220000000204891,9878072.400000000372529
FS( 48 ),3368838.179999999701977,3464993.360000000335276,3253901.479999999981374,10087734.019999999552965
FS( 49 ),3321846.029999999795109,3419305.250000000000000,3219150.189999999944121,9960302.469999998807907
FS( 50 ),3315580.409999999683350,3450255.260000000242144,3224114.660000000149012,9989951.330000000074506
FS( 51 ),3390767.849999999627471,3476292.570000000298023,3243263.329999999608845,10110324.750000000000000
FS( 52 ),3375451.889999999664724,3439447.320000000298023,3237589.649999999906868,10052489.859999999403954
FS( 53 ),3417918.869999999646097,3464010.820000000298023,3288652.770000000018626,10170583.459999999031425
FS( 54 ),3435323.369999999646097,3487591.780000000260770,3275886.989999999757856,10198803.140000000596046
FS( 55 ),3405735.719999999739230,3486117.970000000204891,3207802.829999999608845,10099657.519999999552965
FS( 56 ),3378236.609999999403954,3428639.380000000353903,3160994.970000000204891,9967871.960000000894070
FS( 57 ),3407824.259999999776483,3477275.110000000335276,3177306.799999999813735,10062407.169999999925494
FS( 58 ),3383457.959999999962747,3451237.800000000279397,3151066.029999999795109,9985762.789999999105930
FS( 59 ),3389723.579999999608845,3485626.700000000186265,3119151.579999999608845,9994502.859999999403954
FS( 60 ),3386590.770000000018626,3450746.530000000260770,3126952.890000000130385,9964291.190000001341105
FS( 61 ),3397033.469999999739230,3472853.680000000167638,3136172.620000000111759,10006060.769999999552965
FS( 62 ),3340294.799999999348074,3301400.450000000186265,3102130.540000000037253,9743826.789999999105930
FS( 63 ),3393204.479999999981374,3366739.360000000335276,3087237.129999999888241,9847181.969999998807907
FS( 64 ),3429753.929999999701977,3422252.870000000111759,3085818.709999999962747,9937826.509999999776483
FS( 65 ),3438456.179999999701977,3438464.780000000260770,3046812.160000000149012,9923734.120000001043081
FS( 66 ),3473613.270000000018626,3471871.140000000130385,3038301.640000000130385,9983787.050000000745058
FS( 67 ),3521649.689999999944121,3548509.260000000242144,3120570.000000000000000,10190729.949999999254942
FS( 68 ),3547060.259999999776483,3541140.210000000428408,3124825.260000000242144,10213026.730000000447035
FS( 69 ),3542535.089999999385327,3597144.990000000223517,3109931.850000000093132,10249612.929999999701977
FS( 70 ),3583609.709999999962747,3630551.350000000558794,3136881.829999999608845,10351043.890000000596046
FS( 71 ),3576996.000000000000000,3634481.510000000242144,3131917.359999999869615,10343395.869999999180436
FS( 72 ),3593704.319999999366701,3684099.780000000260770,3141846.299999999813735,10419651.399999998509884
FS( 73 ),3598577.579999999608845,3684591.050000000279397,3146101.560000000055879,10429271.189999999478459
FS( 74 ),3579084.539999999571592,3645289.450000000186265,3119860.790000000037253,10344235.780000001192093
FS( 75 ),3608324.099999999627471,3701294.230000000447035,3168087.070000000298023,10477706.400000000372529
FS( 76 ),3648702.539999999571592,3733718.050000000279397,3170214.700000000186265,10552636.289999999105930
FS( 77 ),3637215.569999999366701,3782353.780000000260770,3170214.700000000186265,10589785.050000000745058
FS( 78 ),3614589.719999999739230,3747473.610000000335276,3208512.040000000037253,10570576.370000001043081
FS( 79 ),3569338.020000000018626,3707189.470000000204891,3181562.060000000055879,10458090.550000000745058
FS( 80 ),3859296.989999999757856,3754351.390000000130385,3254610.689999999944121,10868260.070000000298023
FS( 81 ),3919168.469999999739230,3786283.939999999944121,3273759.359999999869615,10979212.769999999552965
FS( 82 ),3904896.779999999795109,3840814.910000000614673,3287943.560000000055879,11033656.250000000000000
FS( 83 ),3886099.919999999925494,3808391.090000000316650,3274468.570000000298023,10968960.580000000074506
FS( 84 ),3931351.619999999646097,3874712.540000000502914,3296454.079999999608845,11102519.240000000223517
FS( 85 ),3920212.739999999757856,3857026.820000000298023,3290780.399999999906868,11068020.960000000894070
FS( 86 ),3907333.409999999683350,3811338.710000000428408,3324822.479999999981374,11043495.599999999627471
FS( 87 ),3902460.149999999441206,3695398.990000000223517,3317730.379999999888241,10915590.519999999552965
FS( 88 ),3901415.879999999422580,3827059.350000000558794,3294326.450000000186265,11022802.679999999701977
FS( 89 ),3912554.759999999776483,3849166.500000000000000,3272340.939999999944121,11034063.199999999254942
FS( 90 ),3928218.809999999590218,3893872.070000000298023,3276596.200000000186265,11098688.080000000074506
FS( 91 ),3944230.949999999720603,3868817.300000000279397,3246809.379999999888241,11059858.629999998956919
FS( 92 ),3931003.529999999795109,3833937.130000000353903,3212767.299999999813735,10977708.960000000894070
FS( 93 ),3941098.139999999664724,3904680.010000000242144,3198583.100000000093132,11044362.250000000000000
FS( 94 ),3963027.809999999590218,3889941.910000000614673,3214185.720000000204891,11067156.440000001341105
FS( 95 ),3902460.149999999441206,3847201.420000000391155,3179434.429999999701977,10929097.000000000000000
FS( 96 ),3827968.889999999664724,3837376.020000000484288,3136881.829999999608845,10802227.740000000223517
FS( 97 ),3865910.699999999720603,3876186.350000000558794,3194327.839999999850988,10936425.890000000596046
FS( 98 ),3861733.619999999646097,3872747.460000000428408,3197164.679999999701977,10931646.759999999776483
FS( 99 ),3917079.929999999701977,3952824.470000000204891,3218440.979999999981374,11088346.380000000819564
FS( 100 ),3943882.859999999403954,3937595.100000000558794,3245390.959999999962747,11126869.919999999925494
FS( 101 ),3965116.349999999627471,3939560.180000000167638,3219150.189999999944121,11123827.719999998807907
FS( 102 ),3984609.389999999664724,3935630.020000000484288,3190781.790000000037253,11111022.199999999254942
FS( 103 ),3977995.679999999701977,3919909.380000000353903,3204965.989999999757856,11102872.050000000745058
FS( 104 ),3982172.759999999776483,3908610.170000000391155,3185817.320000000298023,11076601.250000000000000
FS( 105 ),3976255.229999999981374,3922365.730000000447035,3207802.829999999608845,11106424.790000000968575
FS( 106 ),3973818.599999999627471,3881590.320000000298023,3223405.450000000186265,11078815.370000001043081
FS( 107 ),3983913.209999999962747,3925804.620000000111759,3232625.179999999701977,11142344.009999999776483
FS( 108 ),3958502.639999999664724,3883064.130000000353903,3185817.320000000298023,11027385.089999999850988
FS( 109 ),3947015.669999999925494,3846218.880000000353903,3160285.760000000242144,10953521.310000000521541
FS( 110 ),4044828.959999999962747,3949876.850000000558794,3241844.910000000149012,11236551.720000000670552
FS( 111 ),4052486.939999999944121,3908118.900000000372529,3266667.260000000242144,11227274.099999999627471
FS( 112 ),4056315.929999999701977,3884537.939999999944121,3241135.700000000186265,11181990.570000000298023
FS( 113 ),4058056.379999999422580,3826076.810000000055879,3217022.560000000055879,11101156.750000000000000
FS( 114 ),4079637.959999999962747,3837867.290000000502914,3214185.720000000204891,11131691.970000000670552
FS( 115 ),4040651.879999999422580,3739122.020000000484288,3178725.220000000204891,10958500.120000001043081
FS( 116 ),4046917.500000000000000,3776458.540000000502914,3223405.450000000186265,11046782.490000002086163
FS( 117 ),4070239.529999999795109,3862430.790000000502914,3230497.549999999813735,11163168.870000001043081
FS( 118 ),4101915.719999999739230,3923348.270000000484288,3298581.709999999962747,11323846.699999999254942
FS( 119 ),4090080.659999999683350,3865869.680000000167638,3269504.100000000093132,11225455.439999999478459
FS( 120 ),4060841.099999999627471,3749438.689999999944121,3231206.760000000242144,11041487.549999998882413
FS( 121 ),4096694.369999999646097,3791196.640000000130385,3255319.899999999906868,11143211.910000000149012
FS( 122 ),4097738.639999999664724,3801513.310000000055879,3286525.140000000130385,11185778.089999999850988
FS( 123 ),4135332.359999999403954,3859483.170000000391155,3329786.950000000186265,11324603.480000000447035
FS( 124 ),4127326.289999999571592,3844745.070000000298023,3312765.910000000149012,11284838.269999999552965
FS( 125 ),4133591.909999999683350,3858009.360000000335276,3315602.750000000000000,11307205.019999999552965
FS( 126 ),4179539.789999999571592,3891415.720000000204891,3348226.410000000149012,11419182.919999999925494
FS( 127 ),4157262.029999999795109,3849166.500000000000000,3317021.170000000391155,11323450.699999999254942
FS( 128 ),4112358.419999999925494,3809864.900000000372529,3278014.620000000111759,11200238.940000001341105
FS( 129 ),4092865.379999999422580,3718979.950000000186265,3253192.270000000018626,11065038.599999999627471
FS( 130 ),4149255.959999999962747,3746982.340000000316650,3297872.500000000000000,11194111.800000000745058
FS( 131 ),4121408.759999999776483,3697855.340000000316650,3228369.920000000391155,11047635.019999999552965
FS( 132 ),4026032.099999999627471,3625147.380000000353903,3210639.670000000391155,10861820.150000000372529
FS( 133 ),4019766.479999999981374,3580441.810000000055879,3179434.429999999701977,10779643.719999998807907
FS( 134 ),4061885.369999999646097,3631533.890000000130385,3197873.890000000130385,10891294.150000000372529
FS( 135 ),4087992.119999999646097,3672800.570000000298023,3186526.529999999795109,10947320.219999998807907
FS( 136 ),4007235.239999999757856,3591249.750000000000000,3131208.149999999906868,10729694.140000000596046
FS( 137 ),4059448.739999999757856,3625638.650000000372529,3182271.270000000018626,10867359.660000000149012
FS( 138 ),4009323.779999999795109,3528858.460000000428408,3151066.029999999795109,10689249.269999999552965
FS( 139 ),4090080.659999999683350,3507242.580000000074506,3182271.270000000018626,10779595.509999999776483
FS( 140 ),4030209.179999999701977,3472362.410000000614673,3150356.820000000298023,10652929.410000000149012
FS( 141 ),4101915.719999999739230,3515594.170000000391155,3253192.270000000018626,10870703.160000000149012
FS( 142 ),4121408.759999999776483,3571598.950000000186265,3336169.839999999850988,11029178.550000000745058
FS( 143 ),4149255.959999999962747,3524437.030000000260770,3335460.629999999888241,11009154.620000001043081
FS( 144 ),4192071.029999999795109,3531314.810000000055879,3421984.250000000000000,11145371.089999999850988
FS( 145 ),4207386.990000000223517,3483661.620000000111759,3477302.629999999888241,11168352.240000000223517
FS( 146 ),4259948.580000000074506,3406040.960000000428408,3475884.209999999962747,11141874.750000000000000
FS( 147 ),4308681.179999999701977,3659536.280000000260770,3543968.370000000111759,11512186.830000000074506
FS( 148 ),4337572.650000000372529,3654132.310000000055879,3599995.959999999962747,11591701.920000001788139
FS( 149 ),4314598.709999999031425,3605987.850000000558794,3539713.109999999869615,11460300.669999999925494
FS( 150 ),4228272.389999998733401,3654132.310000000055879,3590067.020000000018626,11472472.719999998807907
FS( 151 ),4200077.099999999627471,3619743.410000000614673,3576592.029999999795109,11396413.539999999105930
FS( 152 ),4016981.759999999776483,3514611.630000000353903,3614889.370000000111759,11146483.760000001639128
FS( 153 ),4039607.609999999403954,3329402.840000000316650,3598577.540000000037253,10967588.989999998360872
FS( 154 ),4073024.250000000000000,3356913.960000000428408,3556734.149999999906868,10986673.360000001266599
FS( 155 ),4091473.020000000018626,3446325.100000000558794,3544677.579999999608845,11082476.700000001117587
FS( 156 ),4063277.729999999981374,3363791.740000000223517,3502834.189999999944121,10929904.660000000149012
FS( 157 ),4105048.529999999795109,3459589.390000000130385,3553897.310000000055879,11118536.230000000447035
FS( 158 ),4148559.779999999795109,3492995.750000000000000,3563117.040000000037253,11204673.570000000298023
FS( 159 ),4129762.919999999925494,3538683.860000000335276,3568790.720000000204891,11237238.500000000000000
FS( 160 ),4078593.689999999944121,3499873.530000000260770,3612761.739999999757856,11191229.960000000894070
FS( 161 ),4056315.929999999701977,3514120.360000000335276,3607088.060000000055879,11177525.349999999627471
FS( 162 ),4095998.189999999944121,3589284.670000000391155,3621981.470000000204891,11307265.330000000074506
FS( 163 ),4069195.259999999776483,3544579.100000000558794,3590776.229999999981374,11204551.589999999850988
FS( 164 ),4074764.699999999720603,3529841.000000000000000,3604251.220000000204891,11208857.919999999925494
FS( 165 ),4120364.489999999757856,3599601.340000000316650,3624818.310000000055879,11344785.140000000596046
FS( 166 ),4074764.699999999720603,3573072.760000000242144,3618435.420000000391155,11266273.880000000819564
FS( 167 ),4079289.869999999646097,3556369.580000000074506,3597868.329999999608845,11233528.779999999329448
FS( 168 ),4137072.809999999590218,3666905.330000000074506,3649640.660000000149012,11453619.800000000745058
FS( 169 ),4124193.479999999981374,3650202.150000000372529,3696448.520000000018626,11470845.150000000372529
FS( 170 ),4061885.369999999646097,3631042.620000000111759,3680136.689999999944121,11373065.679999999701977
FS( 171 ),4078941.779999999795109,3630551.350000000558794,3674463.010000000242144,11383957.140000000596046
FS( 172 ),4077897.509999999776483,3534262.430000000167638,3702831.410000000149012,11314992.349999999627471
FS( 173 ),4122104.939999999944121,3469414.790000000502914,3720561.660000000149012,11312082.390000000596046
FS( 174 ),4164571.919999999925494,3472362.410000000614673,3712051.140000000130385,11348986.470000000670552
FS( 175 ),4176406.979999999981374,3449763.990000000223517,3710632.720000000204891,11336804.690000001341105
FS( 176 ),4231057.109999999403954,3519033.060000000055879,3725526.129999999888241,11475617.300000000745058
FS( 177 ),4278049.259999999776483,3512155.280000000260770,3726235.339999999850988,11516440.879999998956919
FS( 178 ),4296498.029999999329448,3532788.620000000111759,3735455.070000000298023,11564742.719999998807907
FS( 179 ),4299630.839999999850988,3555387.040000000502914,3773752.410000000149012,11628771.290000000968575
FS( 180 ),4287099.599999999627471,3593214.830000000074506,3803539.229999999981374,11683854.660000000149012
FS( 181 ),4319123.879999998956919,3624656.110000000335276,3775880.040000000037253,11719661.029999999329448
FS( 182 ),4309725.449999999254942,3624164.840000000316650,3790064.239999999757856,11723955.529999999329448
FS( 183 ),4310073.539999999105930,3584371.970000000204891,3773752.410000000149012,11668198.919999999925494
FS( 184 ),4322952.869999999180436,3631042.620000000111759,3752476.109999999869615,11706472.599999999627471
FS( 185 ),4291624.769999999552965,3642341.830000000074506,3798574.760000000242144,11732542.359999999403954
FS( 186 ),4287447.689999999478459,3639394.210000000428408,3787227.399999999906868,11714070.300000000745058
FS( 187 ),4315294.889999998733401,3703259.310000000055879,3833326.049999999813735,11851881.250000000000000
FS( 188 ),4380039.629999998956919,3772037.110000000335276,3832616.839999999850988,11984694.579999998211861
FS( 189 ),4374818.279999999329448,3757299.010000000242144,3835453.679999999701977,11967571.969999998807907
FS( 190 ),4421462.339999999850988,3811829.980000000447035,3830489.209999999962747,12063782.530000001192093
FS( 191 ),4440607.289999999105930,3823620.460000000428408,3859566.820000000298023,12123795.570000000298023
FS( 192 ),4433993.580000000074506,3781371.240000000223517,3836162.890000000130385,12051528.710000000894070
FS( 193 ),4438866.839999999850988,3842288.720000000204891,3795737.920000000391155,12076894.480000000447035
FS( 194 ),4460448.419999999925494,3811338.710000000428408,3687938.000000000000000,11959726.130000000819564
FS( 195 ),4454182.799999998882413,3833445.860000000335276,3700703.779999999795109,11988333.439999999478459
FS( 196 ),4440259.199999999254942,3823129.189999999944121,3660278.810000000055879,11923668.199999999254942
FS( 197 ),4441999.650000000372529,3857518.090000000316650,3684391.950000000186265,11983910.690000001341105
FS( 198 ),4416937.169999999925494,3915979.220000000204891,3637584.089999999850988,11970501.480000000447035
FS( 199 ),4438518.750000000000000,3946437.960000000428408,3642548.560000000055879,12027506.270000001415610
FS( 200 ),4447917.179999999701977,3934156.210000000428408,3641839.350000000093132,12023913.740000000223517
FS( 201 ),4485162.809999998658895,4001460.200000000186265,3668789.329999999608845,12155413.339999997988343
FS( 202 ),4485510.900000000372529,3967071.300000000279397,3693611.679999999701977,12146194.880000000819564
FS( 203 ),4474720.109999999403954,3986722.100000000558794,3670207.750000000000000,12131650.960000000894070
FS( 204 ),4378647.269999999552965,3969036.380000000353903,3548223.629999999888241,11895908.280000001192093
FS( 205 ),4368552.660000000149012,3886503.020000000484288,3585102.549999999813735,11840159.230000000447035
FS( 206 ),4436778.299999998882413,3838849.830000000074506,3599995.959999999962747,11875625.089999999850988
FS( 207 ),4445480.549999998882413,3858009.360000000335276,3577301.239999999757856,11880792.149999998509884
FS( 208 ),4466017.859999999403954,3869308.570000000298023,3665952.489999999757856,12001279.919999999925494
FS( 209 ),4452790.439999999478459,3816251.410000000614673,3618435.420000000391155,11887478.269999999552965
FS( 210 ),4403013.570000000298023,3794635.530000000260770,3612761.739999999757856,11810411.839999999850988
FS( 211 ),4462536.959999999031425,3854570.470000000204891,3639711.720000000204891,11956820.150000000372529
FS( 212 ),4469498.759999999776483,3792179.180000000167638,3594322.279999999795109,11856001.219999998807907
FS( 213 ),4501871.130000000819564,3792179.180000000167638,3605669.640000000130385,11899720.950000001117587
FS( 214 ),4500130.679999999701977,3800530.770000000484288,3605669.640000000130385,11906332.089999999850988
FS( 215 ),4545382.380000000819564,3818216.490000000223517,3625527.520000000018626,11989127.390000000596046
FS( 216 ),4554084.630000000819564,3842779.990000000223517,3622690.679999999701977,12019556.300000000745058
FS( 217 ),4580887.559999998658895,3890924.450000000186265,3655314.339999999850988,12127127.349999997764826
FS( 218 ),4495257.419999999925494,3797583.150000000372529,3627655.149999999906868,11920496.720000000670552
FS( 219 ),4529370.240000000223517,3826568.080000000074506,3650349.870000000111759,12006289.190000001341105
FS( 220 ),4484466.630000000819564,3774493.460000000428408,3612761.739999999757856,11871722.830000001937151
FS( 221 ),4512661.919999999925494,3822146.650000000372529,3633328.829999999608845,11968138.400000000372529
FS( 222 ),4444784.369999999180436,3772528.380000000353903,3609924.899999999906868,11827238.650000000372529
FS( 223 ),4393267.049999998882413,3803969.660000000614673,3573755.189999999944121,11770992.899999998509884
FS( 224 ),4361242.769999999552965,3776949.810000000055879,3519855.229999999981374,11658048.810000000521541
FS( 225 ),4266214.199999999254942,3815760.140000000130385,3521982.859999999869615,11603958.199999999254942
FS( 226 ),4274916.449999999254942,3793161.720000000204891,3485103.939999999944121,11553183.109999999403954
FS( 227 ),4314598.709999999031425,3899767.310000000055879,3516309.179999999701977,11730676.199999999254942
FS( 228 ),4290580.500000000000000,3884046.670000000391155,3535457.850000000093132,11710086.019999999552965
FS( 229 ),4309029.269999999552965,3881099.050000000279397,3557443.359999999869615,11747572.679999999701977
FS( 230 ),4290232.410000000149012,3913522.870000000111759,3590067.020000000018626,11793823.300000000745058
FS( 231 ),4248809.699999999254942,3878151.430000000167638,3609924.899999999906868,11736887.029999999329448
FS( 232 ),4245676.889999998733401,3891906.990000000223517,3576592.029999999795109,11714176.909999998286366
FS( 233 ),4217829.689999999478459,3927769.700000000186265,3600705.170000000391155,11746305.560000000521541
FS( 234 ),4224095.309999998658895,3927278.430000000167638,3611343.320000000298023,11762718.059999998658895
FS( 235 ),4246721.160000000149012,3956754.630000000353903,3596449.910000000149012,11799926.700000001117587
FS( 236 ),4243240.259999999776483,3959702.250000000000000,3670207.750000000000000,11873151.259999999776483
FS( 237 ),4250550.150000000372529,4011285.600000000558794,3653895.920000000391155,11915732.670000001788139
FS( 238 ),4274220.269999999552965,3992126.070000000298023,3684391.950000000186265,11950739.289999999105930
FS( 239 ),4259252.400000000372529,3939068.910000000614673,3735455.070000000298023,11933777.380000000819564
FS( 240 ),4281182.070000000298023,3851622.850000000558794,3728362.970000000204891,11861168.890000000596046
FS( 241 ),4264473.750000000000000,3859974.439999999944121,3758149.790000000037253,11882598.980000000447035
FS( 242 ),4255423.410000000149012,3840323.640000000130385,3747511.640000000130385,11843259.690000001341105
FS( 243 ),4263081.389999998733401,3849166.500000000000000,3791482.660000000149012,11903731.549999998882413
FS( 244 ),4256119.589999999850988,3782353.780000000260770,3814177.379999999888241,11852651.750000000000000
FS( 245 ),4296149.939999999478459,3799548.230000000447035,3812758.959999999962747,11908458.129999998956919
FS( 246 ),4268650.830000000074506,3799056.960000000428408,3836872.100000000093132,11904580.890000000596046
FS( 247 ),4198684.740000000223517,3759755.360000000335276,3831907.629999999888241,11790348.730000000447035
FS( 248 ),4219222.049999998882413,3843271.260000000242144,3877297.070000000298023,11939791.379999998956919
FS( 249 ),4157610.119999999646097,3687047.400000000372529,3860276.029999999795109,11704934.549999998882413
FS( 250 ),4048309.859999999403954,3603040.230000000447035,3882261.540000000037253,11533612.629999998956919
FS( 251 ),4124889.659999999683350,3692451.370000000111759,3887935.220000000204891,11705277.250000000000000
FS( 252 ),4159350.569999999366701,3770072.030000000260770,3904956.260000000242144,11834379.859999999403954
FS( 253 ),4188938.219999999739230,3643815.640000000130385,3960274.640000000130385,11793029.500000000000000
