代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12813222.570000000298023
真實報酬,2813222.570000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9493.051329229327166
風險,205584.132281317695742
起點值,0.046175992397308
找到最佳解世代,2230
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](10),MCD[15](14),V[25](1),VZ[26](5),WMT[28](3),
FS( 16 ),1986418.730000000214204,2031715.500000000232831,1862746.099999999860302,1941456.199999999953434,1983656.560000000055879,9805993.089999999850988
FS( 17 ),2038972.340000000083819,2072691.000000000000000,1955182.399999999906868,2005018.040000000037253,2022424.719999999972060,10094288.500000000000000
FS( 18 ),2057277.530000000260770,2086581.000000000000000,2016806.600000000093132,2033453.599999999860302,2028506.000000000000000,10222624.730000000447035
FS( 19 ),2007085.880000000121072,2053707.999999999767169,1963585.699999999953434,1994424.400000000139698,2003040.640000000130385,10021844.620000001043081
FS( 20 ),2022438.620000000111759,2081951.000000000232831,2003734.800000000046566,1993866.839999999850988,2010642.239999999990687,10112633.500000000000000
FS( 21 ),2059049.000000000000000,2101860.000000000000000,2021475.099999999627471,2015054.120000000111759,2021664.560000000055879,10219102.779999999329448
FS( 22 ),2062591.940000000176951,2101628.500000000000000,2052287.199999999953434,2024532.640000000130385,2007601.600000000093132,10248641.880000000819564
FS( 23 ),2080306.639999999897555,2093063.000000000000000,2051353.499999999767169,2016726.800000000046566,2021664.560000000055879,10263114.500000000000000
FS( 24 ),2080306.639999999897555,2085191.999999999767169,2047618.699999999720603,2000557.560000000055879,2001140.239999999990687,10214815.140000000596046
FS( 25 ),2059049.000000000000000,2062505.000000000000000,1997198.899999999906868,1982715.640000000130385,1977575.280000000027940,10079043.820000000298023
FS( 26 ),2050191.650000000139698,2056254.499999999767169,2004668.499999999767169,1963758.599999999860302,1964272.479999999981374,10039145.729999998584390
FS( 27 ),2090344.969999999972060,2067135.000000000232831,2065359.000000000000000,1986061.000000000000000,1992398.400000000139698,10201298.370000001043081
FS( 28 ),2101564.280000000260770,2051393.000000000000000,2042016.500000000000000,1972679.560000000055879,1984416.719999999972060,10152070.060000000521541
FS( 29 ),2048420.179999999934807,1968516.000000000000000,2015872.899999999906868,1964873.720000000204891,1952109.919999999925494,9949792.720000000670552
FS( 30 ),2048420.179999999934807,1995370.000000000000000,2041082.799999999813735,1965431.280000000027940,1969593.600000000093132,10019897.859999999403954
FS( 31 ),2040153.319999999832362,1993749.500000000000000,2048552.399999999906868,1979370.280000000027940,1960851.760000000242144,10022677.259999999776483
FS( 32 ),2060229.980000000214204,2008334.000000000000000,2091502.599999999627471,1984945.880000000121072,1984036.640000000130385,10129049.099999999627471
FS( 33 ),2096840.360000000102445,2038891.999999999767169,2112977.700000000186265,2017841.919999999925494,1995819.119999999878928,10262371.099999999627471
FS( 34 ),2103335.750000000000000,2043985.000000000232831,2120447.299999999813735,2047392.599999999860302,2001140.239999999990687,10316300.889999998733401
FS( 35 ),2080897.130000000121072,2056023.000000000000000,2101773.299999999813735,2022859.960000000195578,1993538.640000000130385,10255092.029999999329448
FS( 36 ),2086211.540000000037253,2067598.000000000000000,2167132.299999999813735,2030108.239999999757856,1987457.360000000102445,10338507.439999999478459
FS( 37 ),2045467.730000000214204,2026159.500000000000000,2134452.799999999813735,1998327.320000000298023,1950589.600000000093132,10154996.950000001117587
FS( 38 ),2002361.959999999962747,1990739.999999999767169,2061624.199999999720603,1984388.320000000298023,1911061.280000000027940,9950175.759999999776483
FS( 39 ),1990552.160000000149012,2022687.000000000000000,2102707.000000000000000,2000557.560000000055879,1930825.439999999944121,10047329.160000000149012
FS( 40 ),2030114.990000000223517,2068292.500000000000000,2107375.500000000000000,2027320.439999999944121,1969973.679999999934807,10203077.109999999403954
FS( 41 ),2053734.590000000083819,2077552.499999999767169,2088701.500000000000000,2056871.120000000111759,1977575.280000000027940,10254434.990000000223517
FS( 42 ),2009447.840000000083819,2037966.000000000000000,2045751.299999999813735,2054083.320000000298023,1950209.520000000018626,10097457.980000000447035
FS( 43 ),2038972.340000000083819,2055328.500000000000000,2046685.000000000000000,2071367.679999999934807,1973774.479999999981374,10186128.000000000000000
FS( 44 ),1994685.590000000083819,2033104.499999999767169,2000933.699999999720603,2051853.079999999841675,1972634.239999999990687,10053211.109999999403954
FS( 45 ),1931503.160000000149012,1991434.500000000000000,1967320.500000000000000,2026205.320000000298023,1974914.719999999972060,9891378.200000001117587
FS( 46 ),1926188.750000000000000,2002083.500000000000000,1979458.599999999860302,2029550.679999999934807,2009882.080000000074506,9947163.609999999403954
FS( 47 ),1935046.100000000325963,1987036.000000000000000,1984127.099999999860302,1994424.400000000139698,2001140.239999999990687,9901773.839999999850988
FS( 48 ),1930912.670000000391155,2016668.000000000000000,2033613.199999999953434,2002230.239999999757856,2004941.040000000037253,9988365.149999998509884
FS( 49 ),1945674.920000000391155,2018751.500000000000000,2013071.799999999813735,2016169.239999999757856,2041048.640000000130385,10034716.100000001490116
FS( 50 ),1975199.420000000391155,2049078.000000000232831,2083099.299999999813735,2057428.679999999934807,2083237.520000000018626,10248042.919999999925494
FS( 51 ),1972246.969999999972060,2068292.500000000000000,2112977.700000000186265,2035126.280000000027940,2079816.800000000046566,10268460.250000000000000
FS( 52 ),1992323.630000000121072,2045605.500000000000000,2127916.899999999441206,2044604.800000000046566,2098060.640000000130385,10308511.469999998807907
FS( 53 ),1989961.670000000391155,2067598.000000000000000,2161530.099999999627471,2064119.400000000139698,2091219.200000000186265,10374428.370000001043081
FS( 54 ),2002952.450000000186265,2082182.500000000000000,2192342.200000000186265,2081403.760000000009313,2107942.720000000204891,10466823.630000000819564
FS( 55 ),1978151.870000000111759,2052550.500000000000000,2128850.599999999627471,2059658.919999999925494,2082097.280000000027940,10301309.169999999925494
FS( 56 ),1970475.500000000000000,2075237.500000000000000,2192342.200000000186265,2076385.720000000204891,2124286.160000000149012,10438727.080000000074506
FS( 57 ),1979332.850000000325963,2074774.500000000000000,2102707.000000000000000,2065792.079999999841675,2137969.040000000037253,10360575.470000000670552
FS( 58 ),1981694.810000000288710,2060653.000000000232831,2132585.399999999441206,2068579.880000000121072,2142530.000000000000000,10386043.089999999850988
FS( 59 ),2013581.270000000251457,2137279.500000000000000,2181137.799999999813735,2086421.800000000046566,2163434.399999999906868,10581854.770000001415610
FS( 60 ),2004133.429999999934807,2130103.000000000000000,2198878.099999999627471,2059101.360000000102445,2158113.280000000260770,10550329.169999998062849
FS( 61 ),1976970.889999999897555,2124547.000000000000000,2116712.500000000000000,2017841.919999999925494,2155452.720000000204891,10391525.029999999329448
FS( 62 ),1992323.630000000121072,2124778.500000000000000,2148458.299999999813735,2052410.640000000130385,2180538.000000000000000,10498509.070000000298023
FS( 63 ),2024210.090000000083819,2164828.000000000000000,2203546.599999999627471,2099803.240000000223517,2197261.520000000018626,10689649.449999999254942
FS( 64 ),2035429.400000000139698,2159735.000000000000000,2220353.200000000186265,2098130.560000000521541,2172176.239999999757856,10685824.400000000372529
FS( 65 ),2017124.209999999962747,2149549.000000000000000,2177403.000000000000000,2061889.159999999916181,2155832.799999999813735,10561798.169999998062849
FS( 66 ),1979332.850000000325963,2127788.000000000000000,2101773.299999999813735,2033453.599999999860302,2137208.879999999888241,10379556.629999998956919
FS( 67 ),2001180.980000000214204,2142141.000000000000000,2136320.200000000186265,2051853.079999999841675,2161153.919999999925494,10492649.179999999701977
FS( 68 ),2027162.540000000037253,2153021.500000000000000,2175535.599999999627471,2088094.480000000214204,2182438.399999999906868,10626252.519999999552965
FS( 69 ),2001180.980000000214204,2171773.000000000000000,2162463.799999999813735,2072482.800000000046566,2185479.040000000037253,10593379.620000001043081
FS( 70 ),2013581.270000000251457,2190524.500000000000000,2169933.399999999441206,2081961.320000000298023,2202202.560000000055879,10658203.050000000745058
FS( 71 ),2027162.540000000037253,2190061.500000000000000,2207281.400000000372529,2091997.400000000139698,2254653.600000000093132,10771156.439999999478459
FS( 72 ),1979332.850000000325963,2144919.000000000000000,2173668.200000000186265,2056871.120000000111759,2206383.439999999944121,10561174.610000001266599
FS( 73 ),1989961.670000000391155,2159040.500000000000000,2171800.799999999813735,2081403.760000000009313,2209424.080000000074506,10611630.810000000521541
FS( 74 ),2011219.310000000288710,2193765.500000000000000,2221286.899999999441206,2091997.400000000139698,2250092.640000000130385,10768361.750000000000000
FS( 75 ),2001771.469999999972060,2177560.500000000000000,2190474.799999999813735,2063004.280000000027940,2238310.160000000149012,10671121.209999999031425
FS( 76 ),2007676.370000000111759,2187052.000000000000000,2232491.299999999813735,2076385.720000000204891,2183958.720000000204891,10687564.110000001266599
FS( 77 ),1978742.360000000102445,2156494.000000000000000,2180204.099999999627471,2043489.679999999934807,2154312.479999999981374,10513242.619999999180436
FS( 78 ),1966932.560000000288710,2136585.000000000000000,2133519.099999999627471,2046277.480000000214204,2156212.879999999888241,10439527.019999999552965
FS( 79 ),1989961.670000000391155,2147002.500000000000000,2119513.599999999627471,2032896.040000000037253,2175216.879999999888241,10464590.689999999478459
FS( 80 ),1947446.389999999897555,2136353.500000000000000,2128850.599999999627471,2011151.199999999953434,2153552.319999999832362,10377354.009999999776483
FS( 81 ),1948036.880000000121072,2144919.000000000000000,2120447.299999999813735,2017841.919999999925494,2160773.840000000316650,10392018.939999999478459
FS( 82 ),1915559.929999999934807,2126862.000000000000000,2084033.000000000000000,1971006.880000000121072,2152792.160000000149012,10250253.969999998807907
FS( 83 ),1911426.500000000000000,2132186.500000000000000,2078430.800000000046566,1971006.880000000121072,2162294.160000000149012,10255344.839999999850988
FS( 84 ),1924417.280000000260770,2170615.500000000000000,2182071.500000000000000,2021187.280000000027940,2175977.040000000037253,10474268.600000001490116
FS( 85 ),1954532.270000000251457,2163670.500000000000000,2168999.700000000186265,2042374.560000000055879,2210944.399999999906868,10540521.430000001564622
FS( 86 ),1985237.750000000000000,2211359.500000000000000,2263303.399999999441206,2103706.160000000149012,2238690.239999999757856,10802297.049999998882413
FS( 87 ),1973427.950000000186265,2210896.500000000000000,2281977.400000000372529,2105936.400000000372529,2227667.919999999925494,10799906.169999999925494
FS( 88 ),1959846.679999999934807,2215526.500000000000000,2268905.599999999627471,2110396.879999999888241,2207903.760000000242144,10762579.419999999925494
FS( 89 ),1958075.209999999962747,2207424.000000000000000,2242762.000000000000000,2121548.080000000074506,2217405.760000000242144,10747215.049999998882413
FS( 90 ),1968704.030000000260770,2222703.000000000000000,2225955.399999999441206,2136602.200000000186265,2234129.280000000260770,10788093.910000000149012
FS( 91 ),1971656.480000000214204,2232889.000000000000000,2266104.500000000000000,2136044.640000000596046,2223867.120000000111759,10830561.740000002086163
FS( 92 ),1970475.500000000000000,2243769.500000000000000,2236226.099999999627471,2108166.640000000596046,2203722.879999999888241,10762360.620000001043081
FS( 93 ),1994685.590000000083819,2269466.000000000000000,2268905.599999999627471,2142735.360000000335276,2216645.600000000093132,10892438.150000000372529
FS( 94 ),1975199.420000000391155,2279883.500000000000000,2262369.700000000186265,2138274.879999999888241,2207903.760000000242144,10863631.259999999776483
FS( 95 ),1962799.130000000121072,2268771.500000000000000,2239027.200000000186265,2133256.839999999850988,2189279.840000000316650,10793134.509999999776483
FS( 96 ),1956303.740000000223517,2259743.000000000000000,2249297.899999999441206,2133256.839999999850988,2191180.239999999757856,10789781.720000000670552
FS( 97 ),1975199.420000000391155,2272012.500000000000000,2237159.799999999813735,2142177.799999999813735,2202582.640000000130385,10829132.160000000149012
FS( 98 ),1991142.650000000139698,2256965.000000000000000,2274507.799999999813735,2162249.959999999962747,2214745.200000000186265,10899610.609999999403954
FS( 99 ),1989371.179999999934807,2251177.500000000000000,2301585.099999999627471,2153886.560000000521541,2196121.280000000260770,10892141.620000001043081
FS( 100 ),2019486.170000000391155,2287754.500000000000000,2366010.399999999441206,2186225.040000000037253,2249712.560000000055879,11109188.669999999925494
FS( 101 ),2053734.590000000083819,2296551.500000000000000,2351071.200000000186265,2187340.160000000149012,2257314.160000000149012,11146011.609999999403954
FS( 102 ),2043105.770000000251457,2282661.500000000000000,2347336.400000000372529,2190685.519999999552965,2249712.560000000055879,11113501.750000001862645
FS( 103 ),2064953.900000000139698,2318544.000000000000000,2392154.000000000000000,2229157.160000000149012,2280118.959999999962747,11284928.019999999552965
FS( 104 ),2063182.429999999934807,2327804.000000000000000,2379082.200000000186265,2229714.719999999739230,2274037.680000000167638,11273821.029999999329448
FS( 105 ),2052553.610000000102445,2305348.500000000000000,2351071.200000000186265,2216890.839999999850988,2270236.879999999888241,11196101.030000001192093
FS( 106 ),2071449.290000000037253,2333823.000000000000000,2408026.899999999441206,2233060.080000000074506,2280118.959999999962747,11326478.230000000447035
FS( 107 ),2066134.880000000121072,2322711.000000000000000,2369745.200000000186265,2236963.000000000000000,2271377.120000000111759,11266931.199999999254942
FS( 108 ),2070858.800000000046566,2288217.500000000000000,2404292.099999999627471,2215218.160000000149012,2293041.680000000167638,11271628.239999998360872
FS( 109 ),2057868.020000000251457,2300950.000000000000000,2361341.899999999441206,2186225.040000000037253,2269476.720000000204891,11175861.680000001564622
FS( 110 ),2048420.179999999934807,2311136.000000000000000,2379082.200000000186265,2171170.919999999925494,2258454.399999999906868,11168263.700000001117587
FS( 111 ),2035429.400000000139698,2328961.500000000000000,2351071.200000000186265,2137159.759999999776483,2242491.040000000037253,11095112.899999998509884
FS( 112 ),2035429.400000000139698,2306737.500000000000000,2332397.200000000186265,2139390.000000000000000,2249332.479999999981374,11063286.580000001937151
FS( 113 ),2047239.200000000186265,2308126.500000000000000,2329596.099999999627471,2150541.200000000186265,2244011.359999999869615,11079514.359999999403954
FS( 114 ),2009447.840000000083819,2313451.000000000000000,2313723.200000000186265,2168940.679999999701977,2257694.239999999757856,11063256.959999999031425
FS( 115 ),1994685.590000000083819,2328267.000000000000000,2366010.399999999441206,2170055.799999999813735,2261495.040000000037253,11120513.829999998211861
FS( 116 ),1977561.380000000121072,2323174.000000000000000,2352004.900000000372529,2170055.799999999813735,2263015.359999999869615,11085811.439999999478459
FS( 117 ),1988190.200000000186265,2327804.000000000000000,2393087.700000000186265,2175631.400000000372529,2274797.840000000316650,11159511.140000000596046
FS( 118 ),1995866.569999999832362,2351185.500000000000000,2422966.099999999627471,2175073.839999999850988,2280879.120000000111759,11225971.129999998956919
FS( 119 ),1991733.139999999897555,2344240.500000000000000,2389352.899999999441206,2174516.280000000260770,2303683.919999999925494,11203526.740000000223517
FS( 120 ),2010628.819999999832362,2355352.500000000000000,2348270.099999999627471,2172843.599999999627471,2318887.120000000111759,11205982.140000000596046
FS( 121 ),2023619.600000000325963,2337064.000000000000000,2324927.599999999627471,2141062.679999999701977,2315086.319999999832362,11141760.199999999254942
FS( 122 ),2004723.920000000391155,2286134.000000000000000,2357607.099999999627471,2107051.519999999552965,2333330.160000000149012,11088846.699999999254942
FS( 123 ),2020667.150000000139698,2297246.000000000000000,2347336.400000000372529,2101475.919999999925494,2336370.799999999813735,11103096.269999999552965
FS( 124 ),2008266.860000000102445,2296088.500000000000000,2354806.000000000000000,2081961.320000000298023,2317366.799999999813735,11058489.480000000447035
FS( 125 ),1991142.650000000139698,2284745.000000000000000,2358540.799999999813735,2074713.040000000037253,2307484.720000000204891,11016626.210000000894070
FS( 126 ),1991733.139999999897555,2284745.000000000000000,2331463.500000000000000,2097015.439999999944121,2329909.439999999944121,11034866.519999999552965
FS( 127 ),1994095.100000000325963,2293079.000000000000000,2349203.799999999813735,2099803.240000000223517,2332189.919999999925494,11068371.060000000521541
FS( 128 ),2002952.450000000186265,2278031.500000000000000,2393087.700000000186265,2107609.080000000074506,2363356.479999999981374,11145037.210000000894070
FS( 129 ),2002952.450000000186265,2283124.500000000000000,2476187.000000000000000,2094227.640000000130385,2354234.560000000055879,11210726.150000000372529
FS( 130 ),2010038.330000000074506,2315303.000000000000000,2498595.799999999813735,2109839.320000000298023,2357655.280000000260770,11291431.730000000447035
FS( 131 ),2008857.350000000325963,2303265.000000000000000,2506065.399999999441206,2126566.120000000111759,2351954.080000000074506,11296707.950000001117587
FS( 132 ),2024210.090000000083819,2336138.000000000000000,2497662.099999999627471,2114299.799999999813735,2344732.560000000055879,11317042.549999998882413
FS( 133 ),2017714.700000000186265,2316229.000000000000000,2529407.899999999441206,2114299.799999999813735,2342072.000000000000000,11319723.399999998509884
FS( 134 ),2007085.880000000121072,2314840.000000000000000,2624645.299999999813735,2114299.799999999813735,2354994.720000000204891,11415865.700000001117587
FS( 135 ),2005904.900000000139698,2302802.000000000000000,2659192.200000000186265,2101475.919999999925494,2352714.239999999757856,11422089.259999999776483
FS( 136 ),2020667.150000000139698,2306969.000000000000000,2631181.200000000186265,2126008.560000000521541,2348533.359999999869615,11433359.269999999552965
FS( 137 ),2034248.420000000391155,2304654.000000000000000,2690004.299999999813735,2120990.519999999552965,2364876.799999999813735,11514774.039999999105930
FS( 138 ),2019486.170000000391155,2282893.000000000000000,2687203.200000000186265,2109281.759999999776483,2347393.120000000111759,11446257.250000000000000
FS( 139 ),2033067.440000000176951,2297940.500000000000000,2656391.099999999627471,2121548.080000000074506,2358035.359999999869615,11466982.480000000447035
FS( 140 ),2038972.340000000083819,2314840.000000000000000,2684402.099999999627471,2144408.040000000037253,2374758.879999999888241,11557381.359999999403954
FS( 141 ),2031886.459999999962747,2326415.000000000000000,2665728.099999999627471,2146080.719999999739230,2283159.600000000093132,11453269.879999998956919
FS( 142 ),2044877.240000000223517,2330350.500000000000000,2716147.899999999441206,2130469.040000000037253,2227287.840000000316650,11449132.519999999552965
FS( 143 ),2042515.280000000260770,2333823.000000000000000,2718949.000000000000000,2126008.560000000521541,2225007.359999999869615,11446303.199999999254942
FS( 144 ),2037200.870000000111759,2322479.500000000000000,2744158.900000000372529,2126566.120000000111759,2234509.359999999869615,11464914.750000000000000
FS( 145 ),2032476.950000000186265,2323405.500000000000000,2728286.000000000000000,2126008.560000000521541,2221966.720000000204891,11432143.730000002309680
FS( 146 ),2032476.950000000186265,2309978.500000000000000,2776838.399999999441206,2127123.679999999701977,2239830.479999999981374,11486248.009999999776483
FS( 147 ),2062591.940000000176951,2298403.500000000000000,2716147.899999999441206,2124893.440000000409782,2245531.680000000167638,11447568.460000000894070
FS( 148 ),2054915.569999999832362,2297709.000000000000000,2735755.599999999627471,2142735.360000000335276,2235649.600000000093132,11466765.130000000819564
FS( 149 ),2042515.280000000260770,2303496.500000000000000,2711479.399999999441206,2156116.799999999813735,2242871.120000000111759,11456479.100000001490116
FS( 150 ),2044286.750000000000000,2313682.500000000000000,2713346.799999999813735,2174516.280000000260770,2257694.239999999757856,11503526.570000000298023
FS( 151 ),2030114.990000000223517,2312525.000000000000000,2680667.299999999813735,2157231.919999999925494,2241350.799999999813735,11421890.010000001639128
FS( 152 ),2031295.969999999972060,2319238.500000000000000,2699341.299999999813735,2167268.000000000000000,2275177.919999999925494,11492321.689999999478459
FS( 153 ),2045467.730000000214204,2244695.500000000000000,2753495.899999999441206,2186782.599999999627471,2271757.200000000186265,11502198.929999999701977
FS( 154 ),2052553.610000000102445,2241917.500000000000000,2734821.899999999441206,2180091.879999999888241,2283539.680000000167638,11492924.570000000298023
FS( 155 ),2071449.290000000037253,2237750.500000000000000,2719882.700000000186265,2192358.200000000186265,2306344.479999999981374,11527785.170000001788139
FS( 156 ),2074401.740000000223517,2240528.500000000000000,2737623.000000000000000,2201279.160000000149012,2318507.040000000037253,11572339.440000001341105
FS( 157 ),2073220.760000000009313,2252335.000000000000000,2725484.900000000372529,2200721.599999999627471,2321547.680000000167638,11573309.939999999478459
FS( 158 ),2076763.700000000186265,2269697.500000000000000,2731087.099999999627471,2204624.519999999552965,2327248.879999999888241,11609421.699999999254942
FS( 159 ),2071449.290000000037253,2260900.500000000000000,2723617.500000000000000,2206297.200000000186265,2312425.760000000242144,11574690.250000000000000
FS( 160 ),2078535.170000000391155,2262521.000000000000000,2774037.299999999813735,2210757.679999999701977,2308624.959999999962747,11634476.109999999403954
FS( 161 ),2084440.069999999832362,2260669.000000000000000,2719882.700000000186265,2209642.560000000521541,2303303.840000000316650,11577938.170000001788139
FS( 162 ),2099792.810000000055879,2239139.500000000000000,2725484.900000000372529,2218005.959999999962747,2301783.520000000018626,11584206.690000001341105
FS( 163 ),2108650.160000000149012,2217841.500000000000000,2737623.000000000000000,2211315.240000000223517,2305204.239999999757856,11580634.140000000596046
FS( 164 ),2110421.630000000353903,2212054.000000000000000,2773103.599999999627471,2197933.799999999813735,2309005.040000000037253,11602518.070000000298023
FS( 165 ),2122821.920000000391155,2244927.000000000000000,2802982.000000000000000,2192915.759999999776483,2326108.640000000130385,11689755.320000000298023
FS( 166 ),2122231.430000000167638,2253492.500000000000000,2796446.099999999627471,2155559.240000000223517,2321927.760000000242144,11649657.029999999329448
FS( 167 ),2145260.540000000037253,2247473.500000000000000,2786175.399999999441206,2133256.839999999850988,2325728.560000000055879,11637894.839999999850988
FS( 168 ),2179508.959999999962747,2260437.500000000000000,2777772.099999999627471,2122663.200000000186265,2311665.600000000093132,11652047.359999999403954
FS( 169 ),2185413.859999999869615,2271086.500000000000000,2754429.599999999627471,2131584.160000000149012,2326108.640000000130385,11668622.759999999776483
FS( 170 ),2188956.800000000279397,2277105.500000000000000,2777772.099999999627471,2147753.400000000372529,2332189.919999999925494,11723777.720000000670552
FS( 171 ),2177737.490000000223517,2301181.500000000000000,2809517.899999999441206,2144408.040000000037253,2305204.239999999757856,11738049.169999999925494
FS( 172 ),2168880.140000000130385,2256733.500000000000000,2777772.099999999627471,2140505.120000000111759,2290381.120000000111759,11634271.980000000447035
FS( 173 ),2169470.630000000353903,2283124.500000000000000,2824457.099999999627471,2099803.240000000223517,2305964.399999999906868,11682819.870000001043081
FS( 174 ),2151755.930000000167638,2289143.500000000000000,2789910.200000000186265,2088652.040000000037253,2285440.080000000074506,11604901.750000000000000
FS( 175 ),2126364.859999999869615,2261132.000000000000000,2725484.900000000372529,2051853.079999999841675,2277838.479999999981374,11442673.320000000298023
FS( 176 ),2129317.310000000055879,2281735.500000000000000,2740424.099999999627471,2084191.560000000055879,2272897.439999999944121,11508565.910000000149012
FS( 177 ),2132269.760000000242144,2260437.500000000000000,2825390.799999999813735,2093670.079999999841675,2285820.160000000149012,11597588.299999998882413
FS( 178 ),2124002.899999999906868,2244927.000000000000000,2874876.899999999441206,2077500.839999999850988,2271757.200000000186265,11593064.839999999850988
FS( 179 ),2138765.149999999906868,2235898.500000000000000,2820722.299999999813735,2086979.360000000102445,2302543.680000000167638,11584908.990000000223517
FS( 180 ),2183642.390000000130385,2248168.000000000000000,2849667.000000000000000,2104263.719999999739230,2351574.000000000000000,11737315.109999999403954
FS( 181 ),2190137.780000000260770,2253492.500000000000000,2843131.099999999627471,2099803.240000000223517,2358795.520000000018626,11745360.140000000596046
FS( 182 ),2179508.959999999962747,2205803.500000000000000,2829125.599999999627471,2127123.679999999701977,2347013.040000000037253,11688574.779999997466803
FS( 183 ),2188956.800000000279397,2221082.500000000000000,2824457.099999999627471,2159462.160000000149012,2373618.640000000130385,11767577.200000001117587
FS( 184 ),2175966.020000000018626,2203720.000000000000000,2757230.700000000186265,2150541.200000000186265,2263015.359999999869615,11550473.279999999329448
FS( 185 ),2188366.310000000055879,2189830.000000000000000,2775904.700000000186265,2202394.280000000260770,2195741.200000000186265,11552236.490000002086163
FS( 186 ),2212576.399999999906868,2204414.500000000000000,2843131.099999999627471,2201279.160000000149012,2180157.919999999925494,11641559.080000000074506
FS( 187 ),2235015.020000000018626,2218536.000000000000000,2875810.599999999627471,2238078.120000000111759,2240590.640000000130385,11808030.379999998956919
FS( 188 ),2262768.050000000279397,2254418.500000000000000,2883280.200000000186265,2243096.160000000149012,2243631.280000000260770,11887194.190000001341105
FS( 189 ),2253320.209999999962747,2256039.000000000000000,2871142.099999999627471,2251459.560000000521541,2239070.319999999832362,11871031.190000001341105
FS( 190 ),2271625.399999999906868,2250251.500000000000000,2873009.500000000000000,2261495.640000000596046,2245151.600000000093132,11901533.640000000596046
FS( 191 ),2278120.790000000037253,2257428.000000000000000,2852468.099999999627471,2263725.879999999888241,2242871.120000000111759,11894613.890000000596046
FS( 192 ),2286387.649999999906868,2246547.500000000000000,2717081.599999999627471,2265956.120000000111759,2242110.959999999962747,11758083.830000001937151
FS( 193 ),2273396.870000000111759,2219462.000000000000000,2749761.099999999627471,2244768.839999999850988,2231088.640000000130385,11718477.449999999254942
FS( 194 ),2281663.729999999981374,2211128.000000000000000,2766567.700000000186265,2259822.959999999962747,2249712.560000000055879,11768894.950000001117587
FS( 195 ),2277530.300000000279397,2165754.000000000000000,2758164.399999999441206,2260938.080000000074506,2244391.439999999944121,11706778.220000000670552
