代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12782620.710000000894070
真實報酬,2782620.710000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10172.828324528098165
風險,241768.132051093998598
起點值,0.042076795805240
找到最佳解世代,1817
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](13),MRK[17](6),MSFT[18](1),PFE[20](9),V[25](2),
FS( 76 ),2275286.299999999813735,1937355.250000000000000,2131260.080000000074506,1958735.000000000000000,2167244.860000000335276,10469881.490000000223517
FS( 77 ),2209486.160000000149012,1911939.379999999888241,2069309.120000000111759,1897662.800000000046566,2113242.469999999739230,10201639.929999999701977
FS( 78 ),2349143.599999999627471,1934491.489999999990687,2225966.719999999739230,1927923.800000000046566,2178984.509999999776483,10616510.119999999180436
FS( 79 ),2291400.620000000111759,1924110.360000000102445,2123664.559999999590218,1926273.199999999953434,2120466.870000000111759,10385915.609999999403954
FS( 80 ),2220229.040000000037253,1972078.340000000316650,2121765.679999999701977,1942228.999999999767169,2113061.860000000335276,10369363.920000001788139
FS( 81 ),2331238.799999999813735,1949884.199999999953434,2166389.359999999403954,1952682.800000000046566,2160562.290000000037253,10560757.449999999254942
FS( 82 ),2189790.879999999888241,1906927.800000000279397,2101115.359999999403954,1928473.999999999767169,2138347.259999999776483,10264655.299999998882413
FS( 83 ),2226943.339999999850988,1936281.340000000316650,2129361.200000000186265,1963136.600000000093132,2152976.669999999925494,10408699.150000000372529
FS( 84 ),2237686.219999999739230,1952389.989999999990687,2191549.519999999552965,1987895.600000000093132,2163993.879999999888241,10533515.210000000894070
FS( 85 ),2255143.400000000372529,1952032.020000000251457,2192736.319999999366701,1965887.599999999860302,2188918.059999999590218,10554717.399999998509884
FS( 86 ),2183971.820000000298023,1910149.530000000027940,2141703.919999999925494,1935076.400000000139698,2125885.169999999925494,10296786.839999999850988
FS( 87 ),2217990.940000000409782,2010381.129999999888241,2154521.359999999403954,1951032.199999999953434,2145571.660000000149012,10479497.289999999105930
FS( 88 ),2294981.580000000074506,2022194.140000000130385,2204604.319999999366701,1977992.000000000232831,2180429.389999999664724,10680201.429999999701977
FS( 89 ),2287372.040000000037253,2011813.010000000242144,2180393.599999999627471,1969188.800000000046566,2163452.049999999813735,10612219.500000000000000
FS( 90 ),2359886.480000000447035,2031143.390000000130385,2221219.519999999552965,1998349.399999999906868,2186750.740000000223517,10797349.530000001192093
FS( 91 ),2321391.160000000149012,2046536.100000000093132,2209351.519999999552965,1998349.399999999906868,2180971.219999999739230,10756599.399999998509884
FS( 92 ),2345562.639999999664724,2099515.660000000149012,2235223.759999999776483,2009903.600000000093132,2201380.149999999441206,10891585.809999998658895
FS( 93 ),2396591.320000000298023,2121709.799999999813735,2280322.160000000149012,1998899.599999999860302,2236057.269999999552965,11033580.150000000372529
FS( 94 ),2399724.660000000149012,2109180.850000000558794,2289104.479999999515712,2007702.800000000046566,2236057.269999999552965,11041770.060000000521541
FS( 95 ),2337505.480000000447035,2099157.690000000409782,2281271.599999999627471,2009903.600000000093132,2238947.030000000260770,10966785.400000002235174
FS( 96 ),2306619.700000000186265,2105959.120000000111759,2254924.639999999664724,2015405.600000000093132,2243281.669999999925494,10926190.730000000447035
FS( 97 ),2287372.040000000037253,2156790.860000000335276,2263232.240000000223517,2024758.999999999767169,2247977.530000000260770,10980131.670000001788139
FS( 98 ),2303038.740000000223517,2151063.339999999850988,2210300.959999999962747,2039064.200000000186265,2190362.939999999478459,10893830.179999999701977
FS( 99 ),2299905.400000000372529,2134596.719999999739230,2191074.799999999813735,2018156.600000000093132,2189279.280000000260770,10833012.800000000745058
FS( 100 ),2374657.940000000409782,2126721.379999999888241,2237360.000000000000000,2027510.000000000000000,2295297.349999999627471,11061546.669999999925494
FS( 101 ),2360334.099999999627471,2128869.200000000186265,2274388.160000000149012,2035763.000000000000000,2275972.080000000074506,11075326.540000000968575
FS( 102 ),2310648.280000000260770,2107391.000000000000000,2219795.359999999403954,2014305.199999999953434,2291685.149999999441206,10943824.989999998360872
FS( 103 ),2387191.299999999813735,2075531.669999999925494,2254924.639999999664724,1947731.000000000000000,2303063.580000000074506,10968442.189999999478459
FS( 104 ),2341534.060000000521541,2051189.709999999962747,2219558.000000000000000,1919670.800000000046566,2282654.649999999441206,10814607.219999998807907
FS( 105 ),2340191.200000000186265,2059423.020000000251457,2232850.160000000149012,1912518.199999999953434,2297103.450000000186265,10842086.030000001192093
FS( 106 ),2362572.200000000186265,2067298.360000000102445,2258722.399999999441206,1916919.800000000279397,2314803.229999999515712,10920315.989999998360872
FS( 107 ),2387191.299999999813735,2054053.470000000204891,2283882.559999999590218,1921871.600000000093132,2334670.330000000074506,10981669.259999999776483
FS( 108 ),2400619.900000000372529,2031859.330000000074506,2274150.799999999813735,1924622.599999999860302,2346229.370000000111759,10977482.000000000000000
FS( 109 ),2432400.919999999925494,2074457.760000000242144,2300972.479999999515712,1935076.400000000139698,2363206.709999999962747,11106114.269999999552965
FS( 110 ),2461048.599999999627471,2078395.430000000167638,2323996.399999999441206,1927923.800000000046566,2363206.709999999962747,11154570.939999997615814
FS( 111 ),2447172.379999999888241,2136744.540000000037253,2319011.839999999850988,1953233.000000000000000,2380906.490000000223517,11237068.250000000000000
FS( 112 ),2457467.639999999664724,2136386.570000000298023,2326844.719999999739230,1973040.199999999953434,2369889.280000000260770,11263628.410000000149012
FS( 113 ),2413600.879999999888241,2119204.009999999776483,2309992.160000000149012,1963686.799999999813735,2367902.570000000298023,11174386.419999999925494
FS( 114 ),2445829.520000000484288,2138892.360000000335276,2305957.040000000037253,1963136.600000000093132,2364109.759999999776483,11217925.280000001192093
FS( 115 ),2453439.060000000521541,2114550.400000000372529,2282933.120000000111759,1964787.199999999953434,2346771.200000000186265,11162480.980000000447035
FS( 116 ),2453439.060000000521541,2117056.190000000409782,2287205.599999999627471,1960935.800000000046566,2346771.200000000186265,11165407.850000001490116
FS( 117 ),2431505.679999999701977,2096651.900000000139698,2316638.240000000223517,1969738.999999999767169,2359955.729999999515712,11174490.550000000745058
FS( 118 ),2437324.740000000223517,2092356.260000000242144,2314264.639999999664724,1965337.399999999906868,2360858.780000000260770,11170141.820000000298023
FS( 119 ),2471343.860000000335276,2118130.100000000558794,2341798.399999999441206,1979092.399999999906868,2381990.149999999441206,11292354.910000000149012
FS( 120 ),2450753.339999999850988,2116698.219999999739230,2333490.799999999813735,1974690.800000000046566,2382170.759999999776483,11257803.919999999925494
FS( 121 ),2481639.120000000111759,2115266.339999999850988,2334677.599999999627471,1963136.600000000093132,2371153.549999999813735,11265873.210000000894070
FS( 122 ),2476267.679999999701977,2090566.410000000149012,2326370.000000000000000,1964237.000000000232831,2342436.559999999590218,11199877.649999998509884
FS( 123 ),2492382.000000000000000,2137818.450000000186265,2348681.839999999850988,1983493.999999999767169,2359594.509999999776483,11321970.799999998882413
FS( 124 ),2470896.240000000223517,2131017.020000000484288,2346070.879999999888241,1976891.600000000093132,2361039.389999999664724,11285915.129999998956919
FS( 125 ),2555048.799999999813735,2167887.930000000633299,2392356.080000000074506,1994498.000000000000000,2363387.320000000298023,11473178.130000000819564
FS( 126 ),2543858.299999999813735,2220151.549999999813735,2413243.759999999776483,2005502.000000000232831,2403482.740000000223517,11586238.349999999627471
FS( 127 ),2530429.700000000186265,2197599.440000000409782,2425586.479999999515712,2004951.799999999813735,2412332.629999999888241,11570900.050000000745058
FS( 128 ),2552810.700000000186265,2216929.820000000298023,2432707.279999999329448,2001650.600000000093132,2461458.549999999813735,11665556.949999999254942
FS( 129 ),2501334.400000000372529,2219077.640000000596046,2394492.319999999366701,2007702.800000000046566,2417389.709999999962747,11539996.870000001043081
FS( 130 ),2464181.940000000409782,2240197.870000000111759,2412294.319999999366701,2017606.400000000139698,2433644.610000000335276,11567925.140000000596046
FS( 131 ),2440458.080000000074506,2231248.620000000111759,2398527.439999999478459,1997248.999999999767169,2418653.979999999515712,11486137.119999997317791
FS( 132 ),2453886.679999999701977,2235186.290000000037253,2404698.799999999813735,1997248.999999999767169,2435811.930000000633299,11526832.699999999254942
FS( 133 ),2463286.700000000186265,2240555.839999999850988,2393780.240000000223517,1992847.399999999906868,2427503.870000000111759,11517974.050000000745058
FS( 134 ),2486115.320000000298023,2203684.930000000633299,2407309.759999999776483,1989546.199999999720603,2438340.469999999739230,11524996.679999999701977
FS( 135 ),2466867.660000000149012,2220509.520000000484288,2376690.319999999366701,2000550.199999999953434,2440146.570000000298023,11504764.269999999552965
FS( 136 ),2382267.480000000447035,2183280.640000000596046,2394017.599999999627471,1989546.199999999720603,2460013.669999999925494,11409125.589999999850988
FS( 137 ),2369286.500000000000000,2184712.520000000484288,2394017.599999999627471,1992847.399999999906868,2440327.180000000633299,11381191.199999999254942
FS( 138 ),2369286.500000000000000,2193661.770000000484288,2417990.959999999962747,2006052.199999999953434,2447370.969999999739230,11434362.399999998509884
FS( 139 ),2336162.620000000111759,2190082.070000000298023,2400663.679999999701977,1997248.999999999767169,2429851.799999999813735,11354009.169999998062849
FS( 140 ),2350038.839999999850988,2200463.200000000186265,2383336.399999999441206,2008803.199999999953434,2444300.600000000558794,11386942.239999998360872
FS( 141 ),2269914.860000000335276,2186502.370000000111759,2335389.679999999701977,2001650.600000000093132,2364832.200000000186265,11158289.710000000894070
FS( 142 ),2223362.379999999888241,2173615.450000000186265,2351767.519999999552965,2001650.600000000093132,2394091.020000000484288,11144486.969999998807907
FS( 143 ),2182628.959999999962747,2143545.969999999739230,2315214.080000000074506,1992297.199999999953434,2366457.690000000409782,11000143.899999998509884
FS( 144 ),2204562.339999999850988,2158580.709999999962747,2341086.319999999366701,2000550.199999999953434,2397522.610000000335276,11102302.179999999701977
FS( 145 ),2225152.860000000335276,2172899.509999999776483,2340611.599999999627471,1996148.600000000093132,2392284.919999999925494,11127097.490000000223517
FS( 146 ),2247086.240000000223517,2164308.230000000447035,2373842.000000000000000,1998899.599999999860302,2393187.969999999739230,11177324.039999999105930
FS( 147 ),2214409.980000000447035,2173257.480000000447035,2351055.439999999478459,2000000.000000000000000,2374223.919999999925494,11112946.820000000298023
FS( 148 ),2271705.339999999850988,2206548.690000000409782,2367908.000000000000000,2028610.399999999906868,2407456.160000000149012,11282228.589999999850988
FS( 149 ),2299457.780000000260770,2226595.009999999776483,2401138.399999999441206,2041815.199999999953434,2421904.959999999962747,11390911.349999997764826
FS( 150 ),2321391.160000000149012,2220151.549999999813735,2417516.240000000223517,2044566.199999999720603,2447732.190000000409782,11451357.339999999850988
FS( 151 ),2334819.759999999776483,2230174.709999999962747,2423924.959999999962747,2059421.600000000093132,2468863.559999999590218,11517204.589999999850988
FS( 152 ),2291848.240000000223517,2215855.910000000149012,2420601.919999999925494,2047317.199999999953434,2495232.620000000111759,11470855.890000000596046
FS( 153 ),2343324.540000000037253,2243061.629999999888241,2473058.479999999515712,2064373.400000000139698,2526839.370000000111759,11650657.419999998062849
FS( 154 ),2337505.480000000447035,2251294.940000000409782,2502491.120000000111759,2064923.600000000093132,2518170.089999999850988,11674385.230000000447035
FS( 155 ),2328105.459999999962747,2240555.839999999850988,2490148.399999999441206,2056670.600000000093132,2500831.530000000260770,11616311.829999998211861
FS( 156 ),2316467.339999999850988,2238408.020000000484288,2514833.839999999850988,2071526.000000000000000,2522143.509999999776483,11663378.709999999031425
FS( 157 ),2315124.480000000447035,2253084.790000000037253,2495132.959999999962747,2072076.199999999720603,2544900.370000000111759,11680318.800000000745058
FS( 158 ),2326762.599999999627471,2237692.080000000074506,2478043.040000000037253,2055570.199999999953434,2530993.399999999441206,11629061.320000000298023
FS( 159 ),2323629.259999999776483,2238050.049999999813735,2522429.359999999403954,2053919.599999999860302,2546525.860000000335276,11684554.129999998956919
FS( 160 ),2341534.060000000521541,2244135.540000000037253,2562780.559999999590218,2047317.199999999953434,2529187.299999999813735,11724954.660000000149012
FS( 161 ),2335715.000000000000000,2270267.350000000558794,2555422.399999999441206,2074277.000000000232831,2529187.299999999813735,11764869.050000000745058
FS( 162 ),2346905.500000000000000,2308570.139999999664724,2630665.519999999552965,2090232.800000000046566,2576326.509999999776483,11952700.469999998807907
FS( 163 ),2334819.759999999776483,2291387.580000000074506,2601944.959999999962747,2099586.199999999720603,2573797.969999999739230,11901536.469999998807907
FS( 164 ),2134286.000000000000000,2272773.140000000596046,2555897.120000000111759,2113341.199999999720603,2541468.780000000260770,11617766.240000002086163
FS( 165 ),2134733.620000000111759,2320025.180000000633299,2501066.959999999962747,2123244.800000000279397,2465070.750000000000000,11544141.310000000521541
FS( 166 ),2153086.040000000037253,2357970.000000000000000,2517919.519999999552965,2196971.600000000093132,2469766.610000000335276,11695713.769999999552965
FS( 167 ),2184867.060000000521541,2344367.139999999664724,2522666.719999999739230,2215678.400000000372529,2497038.719999999739230,11764618.039999999105930
FS( 168 ),2214857.599999999627471,2334701.950000000186265,2553286.160000000149012,2181566.000000000000000,2509139.589999999850988,11793551.300000000745058
FS( 169 ),2221571.900000000372529,2360117.820000000298023,2564442.080000000074506,2230533.799999999813735,2525394.490000000223517,11902060.090000001713634
FS( 170 ),2206800.440000000409782,2370498.950000000186265,2566578.319999999366701,2258043.799999999813735,2523407.780000000260770,11925329.289999999105930
FS( 171 ),2224705.240000000223517,2383385.870000000111759,2584380.319999999366701,2247039.800000000279397,2533702.549999999813735,11973213.780000001192093
FS( 172 ),2236343.360000000335276,2387323.540000000037253,2598859.279999999329448,2278401.199999999720603,2540926.950000000186265,12041854.329999998211861
FS( 173 ),2244400.520000000484288,2362623.610000000335276,2603131.759999999776483,2255843.000000000000000,2528826.080000000074506,11994824.970000000670552
FS( 174 ),2186657.540000000037253,2365129.399999999441206,2587228.639999999664724,2251991.600000000093132,2523769.000000000000000,11914776.179999999701977
FS( 175 ),2168752.740000000223517,2388397.450000000186265,2568477.200000000186265,2245389.200000000186265,2532438.280000000260770,11903454.870000001043081
FS( 176 ),2153981.280000000260770,2379090.229999999515712,2600520.799999999813735,2239887.200000000186265,2542371.830000000074506,11915851.339999999850988
FS( 177 ),2124438.360000000335276,2411665.500000000000000,2555422.399999999441206,2264646.199999999720603,2527200.589999999850988,11883373.049999998882413
FS( 178 ),2111457.379999999888241,2464645.059999999590218,2554947.679999999701977,2278951.399999999906868,2540385.120000000111759,11950386.640000000596046
FS( 179 ),2108324.040000000037253,2472162.430000000633299,2553523.519999999552965,2315814.800000000279397,2552666.600000000558794,12002491.390000000596046
FS( 180 ),2081466.840000000083819,2511897.100000000558794,2536670.959999999962747,2329019.600000000093132,2545622.809999999590218,12004677.309999998658895
FS( 181 ),2131600.280000000260770,2476100.100000000558794,2515545.919999999925494,2319666.199999999720603,2529367.910000000149012,11972280.410000000149012
FS( 182 ),2106085.940000000409782,2471446.490000000223517,2541180.799999999813735,2314714.399999999906868,2549235.009999999776483,11982662.640000000596046
FS( 183 ),2102952.599999999627471,2468940.700000000186265,2553048.799999999813735,2321867.000000000000000,2566573.570000000298023,12013382.669999999925494
FS( 184 ),2133390.759999999776483,2471446.490000000223517,2572987.040000000037253,2332871.000000000000000,2604501.669999999925494,12115196.959999999031425
FS( 185 ),2164276.540000000037253,2469656.639999999664724,2601470.240000000223517,2287754.600000000093132,2626174.870000000111759,12149332.890000000596046
FS( 186 ),2174124.179999999701977,2456769.719999999739230,2617136.000000000000000,2283353.000000000000000,2622562.669999999925494,12153945.569999998435378
FS( 187 ),2182181.339999999850988,2463213.180000000633299,2658911.359999999403954,2283353.000000000000000,2655614.299999999813735,12243273.179999999701977
FS( 188 ),2159352.719999999739230,2453547.990000000223517,2657249.839999999850988,2283353.000000000000000,2650376.610000000335276,12203880.160000000149012
FS( 189 ),2167857.500000000000000,2455337.839999999850988,2666269.519999999552965,2284453.400000000372529,2653085.759999999776483,12227004.019999999552965
FS( 190 ),2146819.360000000335276,2432427.759999999776483,2651553.200000000186265,2276200.399999999906868,2669521.270000000484288,12176521.990000002086163
FS( 191 ),2136076.480000000447035,2456411.750000000000000,2575123.279999999329448,2302610.000000000000000,2576868.339999999850988,12047089.849999999627471
FS( 192 ),2115485.959999999962747,2483617.469999999739230,2581057.279999999329448,2298758.600000000093132,2609919.969999999739230,12088839.279999997466803
FS( 193 ),2079228.740000000223517,2493998.600000000558794,2568477.200000000186265,2321867.000000000000000,2586440.669999999925494,12050012.210000000894070
FS( 194 ),2072514.439999999944121,2490060.930000000633299,2596248.319999999366701,2314164.200000000186265,2602334.350000000558794,12075322.240000002086163
FS( 195 ),2011190.500000000000000,2472878.370000000111759,2640397.279999999329448,2327919.200000000186265,2627800.360000000335276,12080185.710000000894070
