代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13799945.830000001937151
真實報酬,3799945.830000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14929.155159800071488
風險,213149.666146203118842
起點值,0.070040715661079
找到最佳解世代,1999
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](11),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
FS( 43 ),2297128.200000000186265,1712477.760000000242144,2256265.360000000335276,2329662.350000000093132,2135621.200000000186265,10731154.870000001043081
FS( 44 ),2288931.560000000521541,1731067.560000000055879,2258677.900000000372529,2308841.570000000298023,2100340.720000000204891,10687859.310000002384186
FS( 45 ),2279198.049999999813735,1741911.610000000102445,2173434.820000000298023,2317324.110000000335276,2037746.320000000298023,10549614.910000000149012
FS( 46 ),2225407.599999999627471,1727969.260000000242144,2187105.879999999888241,2329662.350000000093132,2059559.520000000018626,10529704.609999999403954
FS( 47 ),2225919.890000000596046,1683973.400000000139698,2219005.020000000484288,2302672.450000000186265,2081562.399999999906868,10513133.160000002011657
FS( 48 ),2206965.160000000149012,1696986.260000000242144,2211231.280000000260770,2336602.610000000335276,2113049.280000000260770,10564834.590000003576279
FS( 49 ),2220796.990000000223517,1721772.660000000149012,2255997.299999999813735,2363592.510000000242144,2135810.879999999888241,10697970.339999999850988
FS( 50 ),2236677.979999999515712,1745629.570000000298023,2284679.719999999739230,2387112.279999999795109,2131448.240000000223517,10785547.789999999105930
FS( 51 ),2219772.410000000149012,1768247.160000000149012,2294061.820000000298023,2397137.100000000093132,2152123.359999999869615,10831341.849999999627471
FS( 52 ),2220284.700000000186265,1763289.879999999888241,2287896.439999999478459,2479263.510000000242144,2149278.160000000149012,10900012.689999999478459
FS( 53 ),2216186.379999999888241,1735405.179999999934807,2270204.480000000447035,2488131.620000000111759,2141880.640000000130385,10851808.300000000745058
FS( 54 ),2282784.080000000074506,1742531.270000000251457,2328105.439999999478459,2498156.440000000409782,2158951.839999999850988,11010529.070000000298023
FS( 55 ),2369873.379999999888241,1741911.610000000102445,2315506.620000000111759,2498927.580000000074506,2153830.479999999981374,11080049.670000001788139
FS( 56 ),2409832.000000000000000,1742221.439999999944121,2300763.320000000298023,2476950.089999999850988,2127085.600000000093132,11056852.449999999254942
FS( 57 ),2436471.080000000074506,1738503.479999999981374,2292453.459999999962747,2451888.040000000502914,2126706.240000000223517,11046022.300000000745058
FS( 58 ),2395487.879999999888241,1753685.150000000139698,2291917.339999999850988,2497385.299999999813735,2132206.959999999962747,11070682.629999998956919
FS( 59 ),2392414.140000000596046,1746249.229999999981374,2292185.400000000372529,2440320.939999999944121,2137518.000000000000000,11008687.710000000894070
FS( 60 ),2360652.160000000149012,1745629.570000000298023,2289236.740000000223517,2454201.459999999962747,2143208.399999999906868,10992928.330000000074506
FS( 61 ),2362189.030000000260770,1745629.570000000298023,2297546.599999999627471,2427211.560000000055879,2162745.439999999944121,10995322.199999999254942
FS( 62 ),2367824.219999999739230,1753685.150000000139698,2297814.660000000149012,2427211.560000000055879,2169004.879999999888241,11015540.469999998807907
FS( 63 ),2364750.479999999515712,1743460.760000000242144,2292989.580000000074506,2411788.760000000242144,2162745.439999999944121,10975735.019999999552965
FS( 64 ),2400098.490000000223517,1741911.610000000102445,2303980.040000000037253,2448032.340000000316650,2172039.760000000242144,11066062.240000000223517
FS( 65 ),2318644.379999999888241,1739432.970000000204891,2314702.439999999478459,2447646.770000000018626,2193663.280000000260770,11014089.839999999850988
FS( 66 ),2276124.310000000521541,1767627.500000000000000,2335075.000000000000000,2446104.490000000223517,2201819.520000000018626,11026750.820000000298023
FS( 67 ),2292005.299999999813735,1765768.520000000251457,2364025.480000000447035,2466925.270000000018626,2254550.560000000055879,11143275.130000000819564
FS( 68 ),2292005.299999999813735,1755544.129999999888241,2366438.020000000484288,2488902.760000000242144,2263655.200000000186265,11166545.410000000149012
FS( 69 ),2234628.820000000298023,1759881.750000000000000,2364829.660000000149012,2471166.540000000502914,2259292.560000000055879,11089799.330000001937151
FS( 70 ),2177252.339999999850988,1775373.250000000000000,2354107.259999999776483,2476178.950000000186265,2256826.720000000204891,11039738.520000001415610
FS( 71 ),2223870.729999999515712,1784668.150000000139698,2361076.820000000298023,2478877.940000000409782,2273139.200000000186265,11121632.839999999850988
FS( 72 ),2215161.799999999813735,1817510.129999999888241,2401821.939999999478459,2493529.600000000093132,2277881.200000000186265,11205904.669999998062849
FS( 73 ),2210038.900000000372529,1923162.160000000149012,2368314.439999999478459,2445333.350000000093132,2283571.600000000093132,11230420.449999999254942
FS( 74 ),2274075.150000000372529,1921922.840000000083819,2416297.179999999701977,2460370.580000000074506,2313730.720000000204891,11386396.470000000670552
FS( 75 ),2278685.759999999776483,1894038.140000000130385,2415224.939999999478459,2471937.680000000167638,2335164.560000000055879,11395051.080000000074506
FS( 76 ),2296103.620000000111759,1898685.590000000083819,2412544.339999999850988,2591464.379999999888241,2327387.680000000167638,11526185.609999999403954
FS( 77 ),2343746.589999999850988,1897756.100000000093132,2455702.000000000000000,2559847.640000000130385,2358305.520000000018626,11615357.849999999627471
FS( 78 ),2359627.580000000074506,1911698.450000000186265,2463475.740000000223517,2588765.390000000130385,2364375.280000000260770,11687942.440000001341105
FS( 79 ),2331451.629999999888241,1895587.290000000037253,2461331.259999999776483,2621924.410000000149012,2362478.479999999981374,11672773.070000000298023
FS( 80 ),2320693.540000000037253,1899305.250000000000000,2475002.320000000298023,2610742.879999999888241,2375187.040000000037253,11680931.030000001192093
FS( 81 ),2565568.160000000149012,1922232.670000000158325,2521376.700000000186265,2623466.690000000409782,2396051.839999999850988,12028696.060000000521541
FS( 82 ),2560445.259999999776483,1909529.640000000130385,2517623.860000000335276,2605730.470000000204891,2367979.200000000186265,11961308.429999999701977
FS( 83 ),2499482.750000000000000,1879166.300000000046566,2485992.780000000260770,2596091.220000000204891,2343510.479999999981374,11804243.530000001192093
FS( 84 ),2466183.900000000372529,1835790.100000000093132,2546842.400000000372529,2630406.950000000186265,2356408.720000000204891,11835632.070000002160668
FS( 85 ),2441081.690000000409782,1854689.729999999981374,2526737.900000000372529,2608429.460000000428408,2384671.040000000037253,11815609.820000000298023
FS( 86 ),2364238.190000000409782,1814411.830000000074506,2460259.020000000484288,2591849.950000000186265,2293434.959999999962747,11524193.950000002980232
FS( 87 ),2280734.919999999925494,1747488.550000000046566,2358932.339999999850988,2482733.640000000130385,2205423.439999999944121,11075312.889999998733401
FS( 88 ),2300714.229999999515712,1718364.530000000027940,2448196.320000000298023,2514735.950000000186265,2275605.040000000037253,11257616.070000000298023
FS( 89 ),2315570.640000000596046,1731377.390000000130385,2402090.000000000000000,2530544.319999999832362,2269535.280000000260770,11249117.630000002682209
FS( 90 ),2190059.589999999850988,1695746.939999999944121,2278782.400000000372529,2409475.340000000316650,2159710.560000000055879,10733774.830000000074506
FS( 91 ),2251534.390000000596046,1700084.560000000055879,2363757.419999999925494,2525146.339999999850988,2206371.839999999850988,11046894.550000000745058
FS( 92 ),2296615.910000000149012,1717435.040000000037253,2389223.120000000111759,2544039.270000000484288,2247153.040000000037253,11194466.379999998956919
FS( 93 ),2277661.179999999701977,1701014.050000000046566,2407987.320000000298023,2539798.000000000465661,2244876.879999999888241,11171337.429999999701977
FS( 94 ),2324791.860000000335276,1701014.050000000046566,2434257.200000000186265,2620382.129999999888241,2291917.520000000018626,11372362.759999999776483
FS( 95 ),2352455.520000000484288,1734785.520000000251457,2483848.299999999813735,2633105.940000000409782,2319421.120000000111759,11523616.400000002235174
FS( 96 ),2334013.080000000074506,1744080.420000000158325,2466156.339999999850988,2633491.510000000242144,2311264.879999999888241,11489006.230000000447035
FS( 97 ),2372947.120000000111759,1703492.689999999944121,2485456.660000000149012,2602260.339999999850988,2314299.760000000242144,11478456.570000000298023
FS( 98 ),2353480.099999999627471,1690170.000000000000000,2452485.280000000260770,2585295.260000000242144,2284330.320000000298023,11365760.960000000894070
FS( 99 ),2346308.040000000037253,1690789.660000000149012,2458918.719999999739230,2588379.819999999832362,2283381.919999999925494,11367778.160000000149012
FS( 100 ),2445180.009999999776483,1700084.560000000055879,2521376.700000000186265,2628093.529999999795109,2331750.320000000298023,11626485.119999999180436
FS( 101 ),2515876.030000000260770,1736954.330000000074506,2557832.860000000335276,2685543.460000000428408,2363237.200000000186265,11859443.880000002682209
FS( 102 ),2556859.229999999515712,1695437.110000000102445,2525129.540000000037253,2623081.120000000111759,2340096.240000000223517,11740603.240000000223517
FS( 103 ),2525097.250000000000000,1679945.610000000102445,2513602.959999999962747,2584524.120000000111759,2331940.000000000000000,11635109.940000001341105
FS( 104 ),2450815.200000000186265,1663834.450000000186265,2488941.439999999478459,2557148.649999999906868,2283761.280000000260770,11444501.019999999552965
FS( 105 ),2509216.259999999776483,1684283.229999999981374,2494302.639999999664724,2540569.140000000130385,2290779.439999999944121,11519150.709999999031425
FS( 106 ),2548662.589999999850988,1685522.550000000046566,2510118.179999999701977,2508181.260000000242144,2311833.919999999925494,11564318.500000000000000
FS( 107 ),2597842.429999999701977,1682424.250000000000000,2501540.259999999776483,2515507.089999999850988,2296280.160000000149012,11593594.189999999478459
FS( 108 ),2629092.120000000111759,1687691.360000000102445,2516015.500000000000000,2474251.100000000093132,2311264.879999999888241,11618314.960000000894070
FS( 109 ),2599379.299999999813735,1696676.429999999934807,2531294.919999999925494,2510494.680000000167638,2318283.040000000037253,11656128.370000001043081
FS( 110 ),2673661.349999999627471,1708449.970000000204891,2587855.580000000074506,2556377.510000000242144,2361719.760000000242144,11888064.169999999925494
FS( 111 ),2639337.919999999925494,1715266.229999999981374,2594020.959999999962747,2576427.149999999906868,2356598.399999999906868,11881650.660000000149012
FS( 112 ),2652657.459999999962747,1715576.060000000055879,2530758.799999999813735,2551365.100000000093132,2336871.680000000167638,11787229.099999999627471
FS( 113 ),2656755.780000000260770,1697915.750000000000000,2515747.439999999478459,2552521.810000000055879,2325111.520000000018626,11748052.299999998882413
FS( 114 ),2606551.360000000335276,1711858.100000000093132,2524593.419999999925494,2559847.640000000130385,2340854.959999999962747,11743705.480000000447035
FS( 115 ),2621407.770000000484288,1724870.960000000195578,2535851.939999999478459,2541340.279999999795109,2362099.120000000111759,11785570.070000000298023
FS( 116 ),2603989.910000000149012,1692648.640000000130385,2490013.679999999701977,2533628.879999999888241,2337061.359999999869615,11657342.469999998807907
FS( 117 ),2640874.790000000037253,1692958.470000000204891,2496447.120000000111759,2575656.010000000242144,2369306.959999999962747,11775243.350000001490116
FS( 118 ),2641387.080000000074506,1694507.620000000111759,2479023.219999999739230,2558305.359999999869615,2337251.040000000037253,11710474.320000000298023
FS( 119 ),2603989.910000000149012,1676847.310000000055879,2406915.080000000074506,2483890.350000000093132,2275984.399999999906868,11447627.050000000745058
FS( 120 ),2528683.280000000260770,1654849.379999999888241,2336951.419999999925494,2491987.319999999832362,2219270.080000000074506,11231741.480000000447035
FS( 121 ),2688517.759999999776483,1674368.670000000158325,2513871.020000000484288,2540954.710000000428408,2288313.600000000093132,11706025.759999999776483
FS( 122 ),2622432.349999999627471,1665383.600000000093132,2398337.160000000149012,2551365.100000000093132,2226857.280000000260770,11464375.489999998360872
FS( 123 ),2540978.240000000223517,1706900.820000000298023,2396192.679999999701977,2523218.490000000223517,2219080.399999999906868,11386370.630000000819564
FS( 124 ),2668026.160000000149012,1687691.360000000102445,2446587.959999999962747,2561775.490000000223517,2268966.240000000223517,11633047.210000000894070
FS( 125 ),2506142.520000000484288,1650511.760000000242144,2372871.459999999962747,2472323.250000000465661,2245635.600000000093132,11247484.589999999850988
FS( 126 ),2548662.589999999850988,1675917.820000000298023,2404770.599999999627471,2571800.310000000055879,2260999.680000000167638,11462151.000000000000000
FS( 127 ),2560957.549999999813735,1689860.170000000158325,2475002.320000000298023,2638118.350000000093132,2272570.160000000149012,11636508.550000000745058
FS( 128 ),2580936.860000000335276,1689550.340000000083819,2476342.620000000111759,2683230.040000000502914,2298746.000000000000000,11728805.860000001266599
FS( 129 ),2499482.750000000000000,1653300.229999999981374,2418709.719999999739230,2604573.760000000242144,2232547.680000000167638,11408614.139999998733401
FS( 130 ),2538416.790000000037253,1740052.629999999888241,2433184.959999999962747,2590307.670000000391155,2253222.800000000279397,11555184.850000001490116
FS( 131 ),2626530.669999999925494,1750277.020000000251457,2489745.620000000111759,2583367.410000000149012,2289831.040000000037253,11739751.760000001639128
FS( 132 ),2617821.740000000223517,1741291.950000000186265,2462403.500000000000000,2576812.720000000204891,2272001.120000000111759,11670331.030000001192093
FS( 133 ),2700812.719999999739230,1758022.770000000251457,2508509.820000000298023,2613056.299999999813735,2296469.839999999850988,11876871.449999999254942
FS( 134 ),2656755.780000000260770,1771345.460000000195578,2495106.820000000298023,2593006.660000000149012,2290400.080000000074506,11806614.800000000745058
FS( 135 ),2684419.440000000409782,1817200.300000000046566,2524325.360000000335276,2585680.830000000074506,2311833.919999999925494,11923459.849999999627471
FS( 136 ),2742820.500000000000000,1836409.760000000242144,2575256.759999999776483,2603031.480000000447035,2348252.479999999981374,12105770.980000000447035
FS( 137 ),2746406.530000000260770,1825565.710000000195578,2585174.980000000447035,2552521.810000000055879,2348252.479999999981374,12057921.510000001639128
FS( 138 ),2675198.219999999739230,1816890.470000000204891,2576329.000000000000000,2534400.020000000484288,2351287.359999999869615,11954105.070000000298023
FS( 139 ),2639850.209999999962747,1822777.239999999990687,2546574.339999999850988,2548280.540000000502914,2355839.680000000167638,11913322.009999999776483
FS( 140 ),2617821.740000000223517,1866773.100000000093132,2555956.439999999478459,2578740.569999999832362,2360771.359999999869615,11980063.209999999031425
FS( 141 ),2635751.890000000596046,1861815.820000000298023,2496179.060000000521541,2582210.700000000186265,2300263.439999999944121,11876220.910000002011657
FS( 142 ),2632165.860000000335276,1847563.640000000130385,2474466.200000000186265,2570643.600000000093132,2299125.359999999869615,11823964.660000000149012
FS( 143 ),2717718.290000000037253,1840747.379999999888241,2526737.900000000372529,2623852.260000000242144,2410467.520000000018626,12119523.349999999627471
FS( 144 ),2701325.009999999776483,1842606.360000000102445,2568555.259999999776483,2682073.330000000074506,2390171.760000000242144,12184731.720000000670552
FS( 145 ),2644460.820000000298023,1824016.560000000055879,2506901.459999999962747,2636961.640000000130385,2406673.919999999925494,12019014.400000000372529
FS( 146 ),2732062.410000000149012,1796441.689999999944121,2546574.339999999850988,2625780.109999999869615,2418623.760000000242144,12119482.309999998658895
FS( 147 ),2679808.830000000074506,1775373.250000000000000,2506633.400000000372529,2631949.230000000447035,2397189.919999999925494,11990954.630000000819564
FS( 148 ),2678271.959999999962747,1782499.340000000083819,2521644.759999999776483,2579511.710000000428408,2412364.320000000298023,11974292.089999999850988
FS( 149 ),2703886.459999999962747,1789315.600000000093132,2550863.299999999813735,2625780.109999999869615,2430952.959999999962747,12100798.429999999701977
FS( 150 ),2732062.410000000149012,1777851.890000000130385,2579277.660000000149012,2673590.790000000502914,2451817.759999999776483,12214600.510000001639128
FS( 151 ),2747431.110000000335276,1758642.429999999934807,2568287.200000000186265,2639660.629999999888241,2463957.280000000260770,12177978.650000002235174
FS( 152 ),2783803.700000000186265,1795512.200000000186265,2598577.980000000447035,2619996.560000000055879,2481787.200000000186265,12279677.640000000596046
FS( 153 ),2816590.259999999776483,1798920.330000000074506,2624579.799999999813735,2618839.850000000093132,2481787.200000000186265,12340717.440000001341105
FS( 154 ),2800709.270000000484288,1849422.620000000111759,2618950.540000000037253,2638503.920000000391155,2500375.839999999850988,12407962.190000001341105
FS( 155 ),2812491.940000000409782,1849112.790000000037253,2627796.520000000484288,2654312.290000000502914,2488805.360000000335276,12432518.900000002235174
FS( 156 ),2762287.520000000484288,1834240.950000000186265,2608764.259999999776483,2679759.910000000149012,2486718.879999999888241,12371771.519999999552965
FS( 157 ),2799172.400000000372529,1851281.600000000093132,2604207.240000000223517,2750704.790000000502914,2482735.599999999627471,12488101.630000000819564
FS( 158 ),2807881.330000000074506,1830213.160000000149012,2578205.419999999925494,2735281.990000000223517,2464526.320000000298023,12416108.220000000670552
FS( 159 ),2807881.330000000074506,1832381.970000000204891,2583030.500000000000000,2749933.649999999906868,2464526.320000000298023,12437753.770000001415610
FS( 160 ),2782779.120000000111759,1814721.660000000149012,2616269.939999999478459,2752247.069999999832362,2478372.959999999962747,12444390.750000000000000
FS( 161 ),2789438.890000000596046,1811003.700000000186265,2613589.339999999850988,2749548.080000000074506,2479321.360000000335276,12442901.370000001043081
FS( 162 ),2828372.929999999701977,1833311.460000000195578,2644684.299999999813735,2750704.790000000502914,2501513.919999999925494,12558587.400000000372529
FS( 163 ),2804807.589999999850988,1832072.140000000130385,2635302.200000000186265,2783092.670000000391155,2501703.599999999627471,12556978.200000001117587
FS( 164 ),2840155.599999999627471,1830832.820000000298023,2636642.500000000000000,2785791.660000000149012,2490133.120000000111759,12583555.699999999254942
FS( 165 ),2834008.120000000111759,1809454.550000000046566,2627260.400000000372529,2734510.850000000093132,2459974.000000000000000,12465207.919999999925494
FS( 166 ),2852450.560000000521541,1850352.110000000102445,2652458.040000000037253,2785020.520000000484288,2477993.599999999627471,12618274.830000000074506
FS( 167 ),2827860.640000000596046,1844465.340000000083819,2649509.379999999888241,2768441.010000000242144,2479511.040000000037253,12569787.410000000149012
FS( 168 ),2924171.160000000149012,1876377.830000000074506,2701781.080000000074506,2805455.730000000447035,2481976.879999999888241,12789762.679999999701977
FS( 169 ),2911363.910000000149012,1921613.010000000242144,2725370.360000000335276,2846711.720000000204891,2524085.839999999850988,12929144.839999999850988
FS( 170 ),2895995.209999999962747,1902093.720000000204891,2739309.480000000447035,2855194.260000000242144,2533380.160000000149012,12925972.830000000074506
FS( 171 ),2921609.709999999962747,1918824.540000000037253,2747351.280000000260770,2882184.160000000149012,2584973.120000000111759,13054942.810000002384186
FS( 172 ),2862696.360000000335276,1920683.520000000251457,2704193.620000000111759,2882569.730000000447035,2538691.200000000186265,12908834.429999999701977
FS( 173 ),2820176.290000000037253,1938963.489999999990687,2724298.120000000111759,2887967.710000000428408,2555762.400000000372529,12927168.010000001639128
FS( 174 ),2793024.919999999925494,1931217.739999999990687,2708750.639999999664724,2876015.040000000502914,2540018.959999999962747,12849027.300000000745058
FS( 175 ),2808393.620000000111759,1934625.870000000111759,2715720.200000000186265,2864447.940000000409782,2558038.560000000521541,12881226.190000001341105
FS( 176 ),2819151.709999999962747,1939273.320000000298023,2703389.439999999478459,2857507.680000000167638,2549313.280000000260770,12868635.429999999701977
FS( 177 ),2845278.500000000000000,1907360.830000000074506,2718668.860000000335276,2880256.310000000055879,2560694.080000000074506,12912258.580000000074506
FS( 178 ),2823250.030000000260770,1921922.840000000083819,2684089.120000000111759,2924211.290000000502914,2562590.879999999888241,12916064.160000000149012
FS( 179 ),2726427.219999999739230,1889700.520000000251457,2703657.500000000000000,2915343.180000000167638,2583455.679999999701977,12818584.099999999627471
FS( 180 ),2711570.810000000521541,1890939.840000000083819,2703657.500000000000000,2863291.230000000447035,2562780.560000000521541,12732239.940000001341105
FS( 181 ),2711570.810000000521541,1898685.590000000083819,2730731.560000000521541,2881027.450000000186265,2570178.080000000074506,12792193.490000000223517
FS( 182 ),2673661.349999999627471,1895587.290000000037253,2711163.179999999701977,2850952.990000000223517,2551779.120000000111759,12683143.929999999701977
FS( 183 ),2689542.339999999850988,1904572.360000000102445,2691594.799999999813735,2831288.920000000391155,2566953.520000000484288,12683951.940000001341105
FS( 184 ),2597842.429999999701977,1892488.989999999990687,2637446.679999999701977,2789647.359999999869615,2483494.320000000298023,12400919.779999999329448
FS( 185 ),2544564.270000000484288,1881335.110000000102445,2655942.820000000298023,2797744.330000000074506,2514222.480000000447035,12393809.010000001639128
FS( 186 ),2497945.879999999888241,1855309.390000000130385,2614661.580000000074506,2751090.359999999869615,2485201.440000000409782,12204208.649999998509884
FS( 187 ),2523048.089999999850988,1868322.250000000000000,2643880.120000000111759,2764585.310000000055879,2517826.400000000372529,12317662.169999999925494
FS( 188 ),2546613.429999999701977,1880715.450000000186265,2643344.000000000000000,3072270.170000000391155,2512325.679999999701977,12655268.730000000447035
FS( 189 ),2571715.640000000596046,1873279.530000000027940,2680872.400000000372529,3020989.359999999869615,2513274.080000000074506,12660131.010000001639128
FS( 190 ),2534318.469999999739230,1881025.280000000027940,2655138.639999999664724,2941176.370000000111759,2493357.679999999701977,12505016.439999999478459
FS( 191 ),2599891.589999999850988,1909839.470000000204891,2674170.900000000372529,2951586.760000000242144,2528258.799999999813735,12663747.519999999552965
FS( 192 ),2631653.570000000298023,1927189.950000000186265,2711699.299999999813735,2948887.770000000484288,2543433.200000000186265,12762863.789999999105930
FS( 193 ),2656755.780000000260770,1921613.010000000242144,2730195.439999999478459,2979733.370000000111759,2570557.440000000409782,12858855.040000002831221
FS( 194 ),2672124.479999999515712,1930288.250000000000000,2737433.060000000521541,2990914.899999999906868,2592750.000000000000000,12923510.689999999478459
FS( 195 ),2622944.640000000596046,1917895.050000000046566,2733680.219999999739230,2982817.930000000167638,2620443.280000000260770,12877781.120000001043081
