代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14949539.829999998211861
真實報酬,4949539.829999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19489.863494242596062
風險,233403.184385992732132
起點值,0.083502988811031
找到最佳解世代,3841
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,5
BA[2](4),CSCO[4](12),MMM[16](1),NKE[19](2),UTX[24](3),
FS( 27 ),2133914.479999999981374,2260421.599999999627471,2058708.960000000195578,2057046.559999999823049,2049329.150000000139698,10559420.750000000000000
FS( 28 ),2142107.559999999590218,2259279.399999999906868,2099267.439999999944121,2084730.920000000158325,2053882.609999999869615,10639267.929999997839332
FS( 29 ),2132219.359999999869615,2253568.399999999906868,2086718.960000000195578,2080536.320000000065193,2049076.179999999934807,10602119.219999998807907
FS( 30 ),2099729.559999999590218,2254710.599999999627471,2072826.000000000000000,2041107.079999999841675,2033139.070000000065193,10501512.309999998658895
FS( 31 ),2091253.959999999729916,2268416.999999999534339,2067896.239999999990687,2032717.880000000121072,2023273.239999999990687,10483558.320000000298023
FS( 32 ),2109052.720000000204891,2296971.999999999534339,2084702.239999999990687,2055368.719999999972060,2023526.209999999729916,10569621.889999998733401
FS( 33 ),2133631.959999999962747,2327811.399999999906868,2103076.799999999813735,2074663.880000000121072,2080191.489999999990687,10719375.529999999329448
FS( 34 ),2133349.439999999944121,2315247.199999999720603,2084478.159999999916181,2051174.119999999878928,2100429.089999999850988,10684678.009999999776483
FS( 35 ),2152843.319999999832362,2311820.599999999627471,2109351.040000000037253,2076341.719999999972060,2103970.669999999925494,10754327.349999999627471
FS( 36 ),2151995.759999999776483,2279839.000000000000000,2086270.799999999813735,2204696.480000000447035,2088033.560000000055879,10810835.599999999627471
FS( 37 ),2146345.359999999869615,2264990.399999999441206,2088287.520000000018626,2214763.519999999552965,2080444.459999999729916,10794831.259999997913837
FS( 38 ),2147757.959999999962747,2275270.200000000186265,2085598.559999999823049,2153522.360000000335276,2077155.849999999860302,10739304.929999999701977
FS( 39 ),2142390.080000000074506,2244430.799999999813735,2075963.120000000111759,2171139.679999999701977,2076143.969999999739230,10710067.649999998509884
FS( 40 ),2110182.799999999813735,2221586.799999999813735,2056692.239999999990687,2139260.719999999739230,2044269.750000000000000,10571992.309999998658895
FS( 41 ),2129111.640000000130385,2244430.799999999813735,2080668.799999999813735,2164428.320000000298023,2074626.150000000139698,10693265.709999999031425
FS( 42 ),2177422.559999999590218,2323242.599999999627471,2123916.240000000223517,2174495.360000000335276,2124967.179999999701977,10924043.939999999478459
FS( 43 ),2188723.359999999869615,2335806.799999999813735,2121451.359999999869615,2197146.200000000186265,2132809.250000000000000,10975936.969999998807907
FS( 44 ),2194938.799999999813735,2339233.399999999906868,2137136.959999999962747,2218119.200000000186265,2149758.240000000223517,11039186.599999999627471
FS( 45 ),2150865.679999999701977,2317531.599999999627471,2139825.919999999925494,2221474.879999999888241,2139386.469999999739230,10969084.549999997019768
FS( 46 ),2094361.679999999701977,2319815.999999999534339,2140050.000000000000000,2197985.120000000111759,2113583.530000000260770,10865796.330000001937151
FS( 47 ),2168664.439999999944121,2318673.799999999813735,2160441.279999999795109,2200501.879999999888241,2138880.530000000260770,10987161.929999999701977
FS( 48 ),2177987.600000000093132,2334664.600000000093132,2171197.120000000111759,2204696.480000000447035,2149505.269999999552965,11038051.070000000298023
FS( 49 ),2123461.239999999757856,2339233.399999999906868,2157528.240000000223517,2227347.320000000298023,2154817.639999999664724,11002387.839999999850988
FS( 50 ),2162731.520000000018626,2395201.199999999720603,2175454.640000000130385,2231541.919999999925494,2170501.780000000260770,11135431.059999998658895
FS( 51 ),2173749.799999999813735,2396343.399999999906868,2180160.320000000298023,2249998.160000000149012,2174549.299999999813735,11174800.980000000447035
FS( 52 ),2100294.600000000093132,2402054.399999999906868,2187106.799999999813735,2254192.759999999776483,2164683.469999999739230,11108332.029999997466803
FS( 53 ),2126286.439999999944121,2392916.799999999813735,2197862.640000000130385,2243286.799999999813735,2185679.980000000447035,11146032.660000000149012
FS( 54 ),2120071.000000000000000,2400912.199999999720603,2212651.919999999925494,2235736.519999999552965,2199593.330000000074506,11168964.969999998807907
FS( 55 ),2095209.239999999757856,2383779.199999999720603,2225872.640000000130385,2243286.799999999813735,2212747.769999999552965,11160895.649999998509884
FS( 56 ),2098882.000000000000000,2355224.199999999720603,2229457.919999999925494,2227347.320000000298023,2227925.969999999739230,11138837.410000000149012
FS( 57 ),2127981.559999999590218,2400912.199999999720603,2233491.359999999869615,2259226.280000000260770,2249428.419999999925494,11271039.819999998435378
FS( 58 ),2119788.479999999981374,2415760.799999999813735,2254106.720000000204891,2330534.480000000447035,2271436.810000000521541,11391627.290000000968575
FS( 59 ),2090688.919999999925494,2405480.999999999534339,2255451.200000000186265,2286071.719999999739230,2271689.780000000260770,11309382.620000001043081
FS( 60 ),2080800.719999999972060,2373499.399999999906868,2281444.479999999981374,2261743.040000000037253,2270677.900000000372529,11268165.540000000968575
FS( 61 ),2107357.600000000093132,2350655.399999999441206,2258812.399999999906868,2249159.240000000223517,2253981.879999999888241,11219966.519999999552965
FS( 62 ),2087016.160000000149012,2349513.199999999720603,2253210.399999999906868,2267615.480000000447035,2215277.469999999739230,11172632.710000000894070
FS( 63 ),2115268.160000000149012,2379210.399999999441206,2275842.479999999981374,2252514.919999999925494,2272701.660000000149012,11295537.619999999180436
FS( 64 ),2124873.839999999850988,2378068.199999999720603,2258140.159999999683350,2250837.080000000074506,2265112.560000000521541,11277031.839999999850988
FS( 65 ),2144085.199999999720603,2407765.399999999441206,2274273.919999999925494,2260904.120000000111759,2258029.400000000372529,11345058.040000000968575
FS( 66 ),2155386.000000000000000,2420329.600000000093132,2301163.520000000018626,2271810.080000000074506,2260812.070000000298023,11409501.269999999552965
FS( 67 ),2187593.280000000260770,2410049.799999999813735,2290631.759999999776483,2293622.000000000000000,2275484.330000000074506,11457381.169999999925494
FS( 68 ),2163014.040000000037253,2416903.000000000000000,2300491.279999999795109,2290266.320000000298023,2279025.910000000149012,11449700.550000000745058
FS( 69 ),2143520.160000000149012,2429467.199999999720603,2299594.959999999962747,2316272.839999999850988,2266883.349999999627471,11455738.509999999776483
FS( 70 ),2146910.399999999906868,2395201.199999999720603,2318417.679999999701977,2311239.320000000298023,2276243.240000000223517,11448011.839999999850988
FS( 71 ),2112725.479999999981374,2414618.600000000093132,2304972.879999999888241,2288588.480000000447035,2264100.679999999701977,11385006.120000001043081
FS( 72 ),2116963.280000000260770,2397485.599999999627471,2303180.240000000223517,2291105.240000000223517,2268907.110000000335276,11377641.469999998807907
FS( 73 ),2119788.479999999981374,2397485.599999999627471,2313263.840000000316650,2305366.879999999888241,2296480.839999999850988,11432385.640000000596046
FS( 74 ),2109052.720000000204891,2451169.000000000000000,2334551.439999999944121,2285232.799999999813735,2302552.120000000111759,11482558.080000001937151
FS( 75 ),2112725.479999999981374,2411191.999999999534339,2311471.200000000186265,2265937.639999999664724,2280796.700000000186265,11382123.019999999552965
FS( 76 ),2147475.439999999944121,2371215.000000000000000,2301835.759999999776483,2287749.559999999590218,2261823.950000000186265,11370099.709999997168779
FS( 77 ),2165839.239999999757856,2387205.799999999813735,2320210.320000000298023,2285232.799999999813735,2289144.709999999962747,11447632.870000001043081
FS( 78 ),2119788.479999999981374,2359793.000000000000000,2280100.000000000000000,2266776.559999999590218,2235515.070000000298023,11261973.109999999403954
FS( 79 ),2137304.720000000204891,2354081.999999999534339,2292648.479999999981374,2276843.599999999627471,2256511.580000000074506,11317390.379999998956919
FS( 80 ),2185615.640000000130385,2386063.600000000093132,2320882.560000000055879,2279360.360000000335276,2291168.469999999739230,11463090.629999998956919
FS( 81 ),2172619.720000000204891,2382636.999999999534339,2330518.000000000000000,2284393.879999999888241,2290662.530000000260770,11460831.129999998956919
FS( 82 ),2183355.479999999981374,2379210.399999999441206,2325364.159999999683350,2299494.440000000409782,2280037.790000000037253,11467462.269999999552965
FS( 83 ),2177987.600000000093132,2368930.599999999627471,2314384.240000000223517,2296138.759999999776483,2254740.790000000037253,11412181.989999998360872
FS( 84 ),2222343.239999999757856,2423756.199999999720603,2340601.600000000093132,2302850.120000000111759,2302552.120000000111759,11592103.280000001192093
FS( 85 ),2234209.080000000074506,2480866.199999999720603,2345307.279999999795109,2319628.519999999552965,2303816.969999999739230,11683828.049999997019768
FS( 86 ),2289865.520000000018626,2490003.799999999813735,2342618.320000000298023,2316272.839999999850988,2320007.049999999813735,11758767.530000001192093
FS( 87 ),2294950.879999999888241,2493430.399999999441206,2368835.679999999701977,2294460.919999999925494,2329113.969999999739230,11780791.849999997764826
FS( 88 ),2343261.799999999813735,2499141.399999999906868,2371076.479999999981374,2287749.559999999590218,2350363.450000000186265,11851592.689999997615814
FS( 89 ),2377729.239999999757856,2478581.799999999813735,2355839.040000000037253,2244125.719999999739230,2356181.759999999776483,11812457.559999998658895
FS( 90 ),2394397.919999999925494,2464875.399999999441206,2354942.720000000204891,2301172.280000000260770,2354663.939999999478459,11870052.259999999776483
FS( 91 ),2390725.160000000149012,2466017.599999999627471,2375782.159999999683350,2294460.919999999925494,2364023.830000000074506,11891009.669999999925494
FS( 92 ),2441861.280000000260770,2504852.399999999906868,2384297.200000000186265,2297816.599999999627471,2359723.339999999850988,11988550.820000000298023
FS( 93 ),2406546.280000000260770,2475155.200000000186265,2362113.279999999795109,2271810.080000000074506,2346821.870000000111759,11862446.710000000894070
FS( 94 ),2415869.439999999944121,2458022.199999999720603,2356959.439999999944121,2258387.360000000335276,2355422.849999999627471,11844661.290000000968575
FS( 95 ),2411914.160000000149012,2475155.200000000186265,2367715.279999999795109,2300333.360000000335276,2364023.830000000074506,11919141.830000000074506
FS( 96 ),2382532.080000000074506,2380352.599999999627471,2351581.520000000018626,2248320.320000000298023,2338220.889999999664724,11701007.410000000149012
FS( 97 ),2396375.559999999590218,2370072.799999999813735,2384745.359999999869615,2497479.559999999590218,2367565.410000000149012,12016238.689999997615814
FS( 98 ),2397223.119999999646097,2381494.799999999813735,2356735.359999999869615,2498318.480000000447035,2347580.780000000260770,11981352.539999999105930
FS( 99 ),2447229.160000000149012,2381494.799999999813735,2376902.560000000055879,2494962.799999999813735,2343786.230000000447035,12044375.550000000745058
FS( 100 ),2435363.319999999832362,2379210.399999999441206,2359424.320000000298023,2452177.879999999888241,2342774.349999999627471,11968950.269999997690320
FS( 101 ),2425475.119999999646097,2387205.799999999813735,2382280.479999999981374,2475667.639999999664724,2363517.889999999664724,12034146.929999999701977
FS( 102 ),2408523.919999999925494,2379210.399999999441206,2367491.200000000186265,2443788.679999999701977,2350616.419999999925494,11949630.619999999180436
FS( 103 ),2375751.600000000093132,2423756.199999999720603,2386986.159999999683350,2470634.120000000111759,2352387.209999999962747,12009515.289999999105930
FS( 104 ),2383379.640000000130385,2421471.799999999813735,2368163.439999999944121,2471473.040000000037253,2357699.580000000074506,12002187.499999998137355
FS( 105 ),2400048.319999999832362,2403196.599999999627471,2371300.560000000055879,2489090.360000000335276,2356687.700000000186265,12020323.539999999105930
FS( 106 ),2434515.759999999776483,2354081.999999999534339,2370404.240000000223517,2473989.799999999813735,2343533.259999999776483,11976525.060000000521541
FS( 107 ),2450901.919999999925494,2349513.199999999720603,2369732.000000000000000,2515096.879999999888241,2370601.049999999813735,12055845.050000000745058
FS( 108 ),2463897.839999999850988,2395201.199999999720603,2374213.600000000093132,2512580.120000000111759,2389320.830000000074506,12135213.589999997988343
FS( 109 ),2481131.559999999590218,2452311.199999999720603,2413203.520000000018626,2529358.519999999552965,2407787.639999999664724,12283792.439999997615814
FS( 110 ),2501190.479999999981374,2477439.600000000093132,2425752.000000000000000,2567109.919999999925494,2423977.719999999739230,12395469.719999998807907
FS( 111 ),2511361.199999999720603,2460306.599999999627471,2412979.439999999944121,2541103.399999999441206,2420689.110000000335276,12346439.749999996274710
FS( 112 ),2451466.959999999962747,2404338.799999999813735,2369956.080000000074506,2503352.000000000000000,2365794.620000000111759,12094908.460000000894070
FS( 113 ),2454857.199999999720603,2416903.000000000000000,2378695.200000000186265,2537747.719999999739230,2390838.650000000372529,12179041.769999999552965
FS( 114 ),2449206.799999999813735,2356366.399999999906868,2363681.840000000316650,2554526.120000000111759,2348845.629999999888241,12072626.789999999105930
FS( 115 ),2433103.160000000149012,2350655.399999999441206,2352477.840000000316650,2524325.000000000000000,2315959.530000000260770,11976520.929999999701977
FS( 116 ),2485086.839999999850988,2336949.000000000000000,2368835.679999999701977,2555365.040000000037253,2358205.519999999552965,12104442.079999998211861
FS( 117 ),2456269.799999999813735,2351797.599999999627471,2370852.399999999906868,2573821.280000000260770,2368577.290000000037253,12121318.369999997317791
FS( 118 ),2491302.280000000260770,2388348.000000000000000,2406481.120000000111759,2587244.000000000000000,2349857.509999999776483,12223232.910000000149012
FS( 119 ),2566170.080000000074506,2328953.600000000093132,2417236.959999999962747,2581371.559999999590218,2327343.179999999701977,12221075.379999998956919
FS( 120 ),2589901.759999999776483,2357508.600000000093132,2350237.040000000037253,2604022.399999999441206,2330125.849999999627471,12231795.649999998509884
FS( 121 ),2623239.119999999646097,2360935.200000000186265,2325812.320000000298023,2596472.120000000111759,2305840.730000000447035,12212299.490000002086163
FS( 122 ),2596399.720000000204891,2396343.399999999906868,2326708.640000000130385,2627512.160000000149012,2317730.320000000298023,12264694.240000000223517
FS( 123 ),2582556.239999999757856,2389490.200000000186265,2346427.679999999701977,2667780.320000000298023,2309382.310000000521541,12295636.750000000000000
FS( 124 ),2576058.280000000260770,2327811.399999999906868,2342842.399999999906868,2657713.280000000260770,2303311.030000000260770,12207736.390000000596046
FS( 125 ),2605157.839999999850988,2367788.399999999906868,2376230.320000000298023,2656035.440000000409782,2321018.929999999701977,12326230.929999999701977
FS( 126 ),2648383.399999999906868,2379210.399999999441206,2416340.640000000130385,2708048.480000000447035,2355422.849999999627471,12507405.769999999552965
FS( 127 ),2661096.799999999813735,2376925.999999999534339,2416564.720000000204891,2682880.879999999888241,2365035.709999999962747,12502504.109999999403954
FS( 128 ),2678048.000000000000000,2327811.399999999906868,2420374.080000000074506,2681203.040000000037253,2374648.570000000298023,12482085.089999999850988
FS( 129 ),2656859.000000000000000,2366646.199999999720603,2424631.600000000093132,2680364.120000000111759,2387550.040000000037253,12516050.959999997168779
FS( 130 ),2672962.640000000130385,2379210.399999999441206,2463173.359999999869615,2673652.759999999776483,2397162.900000000372529,12586162.059999998658895
FS( 131 ),2662509.399999999906868,2410049.799999999813735,2475721.840000000316650,2716437.680000000633299,2409558.429999999701977,12674277.149999998509884
FS( 132 ),2677200.439999999944121,2429467.199999999720603,2476170.000000000000000,2712243.080000000074506,2401969.330000000074506,12697050.049999998882413
FS( 133 ),2715340.640000000130385,2429467.199999999720603,2478186.720000000204891,2765095.040000000037253,2426760.389999999664724,12814849.990000002086163
FS( 134 ),2741049.959999999962747,2422614.000000000000000,2498578.000000000000000,2761739.360000000335276,2423724.750000000000000,12847706.070000000298023
FS( 135 ),2728619.080000000074506,2728723.600000000093132,2488942.560000000055879,2703014.959999999962747,2407534.669999999925494,13056834.869999999180436
FS( 136 ),2794728.759999999776483,2768700.599999999627471,2496113.120000000111759,2739927.439999999478459,2462682.129999999888241,13262152.049999997019768
FS( 137 ),2789078.359999999869615,2735576.799999999813735,2503507.759999999776483,2740766.360000000335276,2459646.490000000223517,13228575.770000001415610
FS( 138 ),2789925.919999999925494,2742430.000000000000000,2510006.080000000074506,2736571.759999999776483,2467741.530000000260770,13246675.289999999105930
FS( 139 ),2766759.280000000260770,2665902.599999999627471,2482668.320000000298023,2703853.879999999888241,2434855.429999999701977,13054039.509999999776483
FS( 140 ),2818177.919999999925494,2685320.000000000000000,2474153.279999999795109,2656874.360000000335276,2415629.709999999962747,13050155.269999999552965
FS( 141 ),2825240.919999999925494,2687604.399999999906868,2471016.159999999683350,2634223.519999999552965,2404246.060000000521541,13022331.060000000521541
FS( 142 ),2828348.640000000130385,2728723.600000000093132,2500594.720000000204891,2654357.599999999627471,2427772.269999999552965,13139796.830000000074506
FS( 143 ),2799531.600000000093132,2754994.199999999720603,2490287.040000000037253,2640095.959999999962747,2406269.820000000298023,13091178.620000001043081
FS( 144 ),2840497.000000000000000,2783549.199999999720603,2496785.359999999869615,2618284.040000000037253,2427519.299999999813735,13166634.899999998509884
FS( 145 ),2797553.959999999962747,2754994.199999999720603,2471016.159999999683350,2586405.080000000074506,2400704.480000000447035,13010673.880000000819564
FS( 146 ),2846147.399999999906868,2784691.399999999906868,2478634.879999999888241,2644290.559999999590218,2409052.490000000223517,13162816.729999998584390
FS( 147 ),2814222.640000000130385,2782406.999999999534339,2465414.159999999683350,2633384.599999999627471,2385020.339999999850988,13080448.739999998360872
FS( 148 ),2782580.399999999906868,2777838.199999999720603,2433370.720000000204891,2590599.679999999701977,2352893.150000000372529,12937282.150000000372529
FS( 149 ),2818460.439999999944121,2804108.799999999813735,2435163.359999999869615,2607378.080000000074506,2346315.929999999701977,13011426.609999999403954
FS( 150 ),2895588.399999999906868,2797255.599999999627471,2489838.879999999888241,2632545.679999999701977,2390585.679999999701977,13205814.239999998360872
FS( 151 ),2888525.399999999906868,2782406.999999999534339,2483116.479999999981374,2644290.559999999590218,2381478.759999999776483,13179818.199999997392297
FS( 152 ),2874681.919999999925494,2749283.199999999720603,2469895.759999999776483,2607378.080000000074506,2369842.139999999664724,13071081.099999997764826
FS( 153 ),2850102.679999999701977,2740145.599999999627471,2443230.240000000223517,2576338.040000000037253,2344545.139999999664724,12954361.699999999254942
FS( 154 ),2886265.239999999757856,2781264.799999999813735,2491855.600000000093132,2590599.679999999701977,2385273.310000000521541,13135258.629999998956919
FS( 155 ),2876942.080000000074506,2751567.599999999627471,2488046.240000000223517,2596472.120000000111759,2378443.120000000111759,13091471.160000000149012
FS( 156 ),2910844.479999999981374,2821241.799999999813735,2507765.279999999795109,2598149.959999999962747,2402728.240000000223517,13240729.759999999776483
FS( 157 ),2940509.080000000074506,2834948.199999999720603,2531517.759999999776483,2607378.080000000074506,2432831.669999999925494,13347184.789999999105930
FS( 158 ),2888807.919999999925494,2818957.399999999906868,2500146.560000000055879,2590599.679999999701977,2382490.639999999664724,13181002.199999999254942
FS( 159 ),2815070.199999999720603,2791544.600000000093132,2437628.240000000223517,2549492.599999999627471,2336197.129999999888241,12929932.769999999552965
FS( 160 ),2824675.879999999888241,2796113.399999999906868,2455778.720000000204891,2541103.399999999441206,2331896.639999999664724,12949568.039999999105930
FS( 161 ),2764499.119999999646097,2748140.999999999534339,2408946.000000000000000,2515096.879999999888241,2314441.709999999962747,12751124.710000000894070
FS( 162 ),2787665.759999999776483,2742430.000000000000000,2425527.919999999925494,2533553.120000000111759,2321777.839999999850988,12810954.640000000596046
FS( 163 ),2846429.919999999925494,2785833.600000000093132,2457795.439999999944121,2594794.280000000260770,2352134.240000000223517,13036987.479999998584390
FS( 164 ),2914234.720000000204891,2813246.399999999906868,2470343.919999999925494,2614089.440000000409782,2365541.650000000372529,13177456.130000000819564
FS( 165 ),2894175.799999999813735,2780122.599999999627471,2450400.799999999813735,2671136.000000000000000,2351122.360000000335276,13146957.559999998658895
FS( 166 ),2916777.399999999906868,2780122.599999999627471,2449504.479999999981374,2614928.360000000335276,2396656.959999999962747,13157989.800000000745058
FS( 167 ),2866771.359999999869615,2777838.199999999720603,2436507.840000000316650,2626673.240000000223517,2372877.780000000260770,13080668.420000001788139
FS( 168 ),2906889.199999999720603,2808677.599999999627471,2452641.600000000093132,2636740.280000000260770,2396403.990000000223517,13201352.669999999925494
FS( 169 ),2943899.319999999832362,2806393.199999999720603,2499474.320000000298023,2669458.160000000149012,2441938.589999999850988,13361163.589999999850988
FS( 170 ),2948702.160000000149012,2813246.399999999906868,2512695.040000000037253,2672813.839999999850988,2453322.240000000223517,13400779.680000001564622
FS( 171 ),2957460.280000000260770,2873783.000000000000000,2540032.799999999813735,2682041.959999999962747,2479631.120000000111759,13532949.160000000149012
FS( 172 ),2980626.919999999925494,2902338.000000000000000,2541825.439999999944121,2667780.320000000298023,2473812.810000000521541,13566383.490000000223517
FS( 173 ),3019614.679999999701977,2954879.199999999720603,2566474.240000000223517,2672813.839999999850988,2521877.110000000335276,13735659.070000000298023
FS( 174 ),2878072.160000000149012,2962874.600000000093132,2580143.120000000111759,2671136.000000000000000,2525418.689999999478459,13617644.569999998435378
FS( 175 ),2985147.239999999757856,2961732.399999999906868,2573644.799999999813735,2657713.280000000260770,2535790.459999999962747,13714028.179999999701977
FS( 176 ),2944746.879999999888241,2936604.000000000000000,2562216.720000000204891,2630028.919999999925494,2529466.209999999962747,13603062.730000000447035
FS( 177 ),2960568.000000000000000,2937746.199999999720603,2568939.120000000111759,2656874.360000000335276,2551474.599999999627471,13675602.279999999329448
FS( 178 ),3040803.679999999701977,2953736.999999999534339,2587761.840000000316650,2656035.440000000409782,2563617.160000000149012,13801955.120000001043081
FS( 179 ),3021874.839999999850988,2949168.199999999720603,2603671.520000000018626,2657713.280000000260770,2592455.740000000223517,13824883.580000000074506
FS( 180 ),3019049.640000000130385,2937746.199999999720603,2605688.240000000223517,2655196.519999999552965,2583095.849999999627471,13800776.449999999254942
FS( 181 ),3045324.000000000000000,2919470.999999999534339,2616220.000000000000000,2651001.919999999925494,2659239.820000000298023,13891256.740000000223517
FS( 182 ),3021592.319999999832362,2922897.599999999627471,2606808.640000000130385,2627512.160000000149012,2655951.209999999962747,13834761.929999999701977
FS( 183 ),3014529.319999999832362,2912617.799999999813735,2611738.399999999906868,2621639.719999999739230,2650891.810000000521541,13811417.049999998882413
FS( 184 ),2983452.119999999646097,2912617.799999999813735,2619805.279999999795109,2623317.559999999590218,2655445.269999999552965,13794638.029999997466803
FS( 185 ),2961133.040000000037253,2893200.399999999441206,2613082.879999999888241,2630867.839999999850988,2657974.969999999739230,13756259.129999998956919
FS( 186 ),2987124.879999999888241,2932035.200000000186265,2618236.720000000204891,2636740.280000000260770,2670623.469999999739230,13844760.550000000745058
FS( 187 ),2969326.119999999646097,2922897.599999999627471,2631457.439999999944121,2639257.040000000037253,2670623.469999999739230,13833561.669999998062849
FS( 188 ),3014529.319999999832362,2957163.600000000093132,2653417.279999999795109,2767611.799999999813735,2711351.639999999664724,14104073.640000000596046
FS( 189 ),3048431.720000000204891,2991429.600000000093132,2650056.080000000074506,2781034.519999999552965,2726276.870000000111759,14197228.789999999105930
FS( 190 ),3037130.919999999925494,3005135.999999999534339,2642437.359999999869615,2785229.120000000111759,2697691.259999999776483,14167624.659999998286366
FS( 191 ),3024135.000000000000000,2993714.000000000000000,2633026.000000000000000,2791101.560000000521541,2661263.580000000074506,14103240.140000000596046
FS( 192 ),3006618.759999999776483,2983434.199999999720603,2640420.640000000130385,2753350.160000000149012,2682260.089999999850988,14066083.849999999627471
FS( 193 ),2990232.600000000093132,2999425.000000000000000,2659467.439999999944121,2770967.480000000447035,2688078.400000000372529,14108170.919999999925494
FS( 194 ),2975824.080000000074506,2975438.799999999813735,2651176.479999999981374,2781873.439999999478459,2671888.320000000298023,14056201.119999999180436
FS( 195 ),2945029.399999999906868,3008562.599999999627471,2652745.040000000037253,2790262.639999999664724,2669864.560000000521541,14066464.240000000223517
