代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13459376.060000002384186
真實報酬,3459376.060000002384186

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14287.384491085747868
風險,402561.201669677160680
起點值,0.035491210856453
找到最佳解世代,1601
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](9),WMT[28](3),
FS( 50 ),3689501.040000000037253,3354348.719999999739230,3228057.830000000540167,10271908.589999999850988
FS( 51 ),3735041.610000000335276,3351624.459999999962747,3213730.440000000409782,10300397.510000001639128
FS( 52 ),3779902.470000000204891,3376142.799999999813735,3251729.170000000391155,10407775.439999999478459
FS( 53 ),3815927.100000000093132,3427514.559999999590218,3271040.000000000000000,10514482.660000000149012
FS( 54 ),3888656.070000000298023,3436076.520000000018626,3279761.020000000018626,10604494.609999999403954
FS( 55 ),3996729.959999999962747,3456313.879999999888241,3267302.420000000391155,10720347.259999999776483
FS( 56 ),4014402.420000000391155,3475772.879999999888241,3257335.540000000037253,10747511.839999999850988
FS( 57 ),4002167.640000000130385,3406109.659999999683350,3196911.330000000540167,10605189.630000000819564
FS( 58 ),3901570.560000000055879,3346565.119999999646097,3132126.610000000335276,10380263.289999999105930
FS( 59 ),3926040.120000000111759,3400271.959999999962747,3164518.970000000204891,10490832.050000000745058
FS( 60 ),3915164.760000000242144,3476940.419999999925494,3228680.760000000242144,10620786.939999999478459
FS( 61 ),3877101.000000000000000,3492507.619999999646097,3241139.360000000335276,10610748.980000000447035
FS( 62 ),3855350.280000000260770,3425957.839999999850988,3196288.400000000372529,10477597.519999999552965
FS( 63 ),3792816.959999999962747,3455146.339999999850988,3234910.060000000055879,10482874.359999999403954
FS( 64 ),3702415.530000000260770,3417785.059999999590218,3233041.270000000018626,10353242.859999999403954
FS( 65 ),3637163.370000000111759,3347732.659999999683350,3236778.850000000558794,10221675.879999998956919
FS( 66 ),3616772.070000000298023,3365634.939999999944121,3294088.410000000614673,10276496.419999999925494
FS( 67 ),3673188.000000000000000,3340338.239999999757856,3279761.020000000018626,10293288.259999999776483
FS( 68 ),3664351.770000000018626,3390153.279999999795109,3285990.320000000298023,10340496.370000001043081
FS( 69 ),3590943.089999999850988,3393655.899999999906868,3345168.670000000391155,10329768.660000000149012
FS( 70 ),3775144.500000000000000,3444638.479999999981374,3414313.900000000372529,10634097.880000000819564
FS( 71 ),3886616.939999999944121,3476940.419999999925494,3408707.530000000260770,10772265.890000000596046
FS( 72 ),3905648.820000000298023,3438800.779999999795109,3438608.170000000391155,10783058.769999999552965
FS( 73 ),3966143.010000000242144,3475772.879999999888241,3427395.430000000633299,10869312.320000000298023
FS( 74 ),4098006.750000000000000,3500291.219999999739230,3454804.350000000558794,11053103.320000000298023
FS( 75 ),4078295.160000000149012,3450476.179999999701977,3412445.110000000335276,10941217.449999999254942
FS( 76 ),4100045.880000000353903,3488615.819999999832362,3481590.340000000316650,11070253.040000000968575
FS( 77 ),3870983.610000000335276,3487837.459999999962747,3504015.820000000298023,10862837.890000000596046
FS( 78 ),3838357.530000000260770,3464097.479999999981374,3511490.979999999981374,10813946.990000000223517
FS( 79 ),3814567.680000000167638,3592916.059999999590218,3545752.130000000353903,10953236.870000001043081
FS( 80 ),3940314.030000000260770,3580851.479999999981374,3537031.110000000335276,11058197.620000001043081
FS( 81 ),3862147.380000000353903,3571511.159999999683350,3532670.600000000558794,10966330.140000000596046
FS( 82 ),3890015.489999999757856,3571900.339999999850988,3573783.979999999981374,11035700.810000000521541
FS( 83 ),3929438.670000000391155,3639228.479999999981374,3601192.900000000372529,11169861.050000000745058
FS( 84 ),3932157.510000000242144,3630666.520000000018626,3560079.520000000018626,11122904.550000000745058
FS( 85 ),3930798.089999999850988,3613542.599999999627471,3533293.530000000260770,11077635.219999998807907
FS( 86 ),3849912.600000000093132,3576959.679999999701977,3502769.959999999962747,10929643.239999998360872
FS( 87 ),3858748.830000000540167,3601088.839999999850988,3542014.550000000279397,11001853.220000000670552
FS( 88 ),3913805.339999999850988,3619380.299999999813735,3576898.630000000353903,11110085.269999999552965
FS( 89 ),3886616.939999999944121,3650903.879999999888241,3581882.070000000298023,11119403.890000000596046
FS( 90 ),3881179.260000000242144,3682427.459999999962747,3609290.990000000223517,11172898.710000000894070
FS( 91 ),3944392.290000000037253,3681649.099999999627471,3695255.330000000540167,11321297.720000000670552
FS( 92 ),3838357.530000000260770,3605759.000000000000000,3616143.220000000204891,11060260.750000000000000
FS( 93 ),3740479.290000000037253,3629498.979999999981374,3621126.660000000614673,10991105.929999999701977
FS( 94 ),3735041.610000000335276,3687875.979999999981374,3687780.170000000391155,11110698.759999999776483
FS( 95 ),3682703.939999999944121,3660633.379999999888241,3668469.340000000316650,11011807.660000000149012
FS( 96 ),3775824.209999999962747,3676589.759999999776483,3579390.350000000558794,11031805.320000000298023
FS( 97 ),3736401.030000000260770,3625218.000000000000000,3530801.810000000055879,10892421.839999999850988
FS( 98 ),3665031.480000000447035,3591748.520000000018626,3533916.459999999962747,10790697.460000000894070
FS( 99 ),3640561.920000000391155,3609261.619999999646097,3565062.959999999962747,10814887.500000000000000
FS( 100 ),3583466.280000000260770,3591359.339999999850988,3529555.950000000186265,10704382.570000000298023
FS( 101 ),3656195.250000000000000,3605759.000000000000000,3541391.620000000577420,10803346.870000001043081
FS( 102 ),3563754.689999999944121,3575402.959999999962747,3528310.090000000316650,10667468.740000000223517
FS( 103 ),3530448.899999999906868,3584354.099999999627471,3543883.340000000316650,10658687.339999999850988
FS( 104 ),3652116.989999999757856,3648957.979999999981374,3566308.820000000298023,10867384.789999999105930
FS( 105 ),3623569.170000000391155,3637282.579999999608845,3623618.380000000353903,10884471.130000000819564
FS( 106 ),3711251.760000000242144,3717453.659999999683350,3669092.270000000018626,11097798.689999999478459
FS( 107 ),3766987.980000000447035,3716675.299999999813735,3651027.300000000279397,11134691.580000000074506
FS( 108 ),3783980.730000000447035,3724458.899999999906868,3618634.940000000409782,11127075.570000000298023
FS( 109 ),3815927.100000000093132,3710837.599999999627471,3634208.190000000409782,11160973.890000000596046
FS( 110 ),3796215.510000000242144,3736523.479999999981374,3661617.110000000335276,11194357.100000001490116
FS( 111 ),3777863.339999999850988,3753647.399999999906868,3644798.000000000000000,11176309.740000000223517
FS( 112 ),3793496.670000000391155,3771938.859999999869615,3611782.709999999962747,11177219.240000000223517
FS( 113 ),3822044.489999999757856,3815137.839999999850988,3632962.330000000540167,11270145.660000000149012
FS( 114 ),3805051.739999999757856,3832650.939999999944121,3618634.940000000409782,11256338.620000001043081
FS( 115 ),3775144.500000000000000,3813970.299999999813735,3588111.370000000577420,11177227.169999999925494
FS( 116 ),3691540.170000000391155,3798792.279999999795109,3591226.020000000018626,11081559.470000000670552
FS( 117 ),3679305.390000000130385,3819418.819999999832362,3609913.920000000391155,11108639.130000000819564
FS( 118 ),3699696.689999999944121,3794122.119999999646097,3629847.680000000633299,11123667.490000000223517
FS( 119 ),3711251.760000000242144,3784392.619999999646097,3599324.110000000335276,11094969.490000000223517
FS( 120 ),3844474.920000000391155,3845883.059999999590218,3687157.240000000223517,11377516.220000000670552
FS( 121 ),3849912.600000000093132,3860671.899999999906868,3699615.840000000316650,11410201.339999999850988
FS( 122 ),3870303.899999999906868,3837321.099999999627471,3687157.240000000223517,11394783.240000000223517
FS( 123 ),3916524.180000000167638,3897644.000000000000000,3736991.640000000596046,11551160.820000000298023
FS( 124 ),3947790.839999999850988,3913211.199999999720603,3727024.760000000242144,11588027.799999998882413
FS( 125 ),3909727.080000000540167,3875460.739999999757856,3720795.459999999962747,11505984.280000001192093
FS( 126 ),3933516.930000000167638,3923329.879999999888241,3736991.640000000596046,11593839.450000001117587
FS( 127 ),3932837.220000000204891,3904649.239999999757856,3722664.250000000000000,11560151.710000000894070
FS( 128 ),3993331.410000000149012,3846661.419999999925494,3758171.260000000242144,11598165.089999999850988
FS( 129 ),4014402.420000000391155,3868066.319999999832362,3719549.600000000558794,11602019.339999999850988
FS( 130 ),4059263.280000000260770,3885190.239999999757856,3701484.630000000353903,11645939.150000000372529
FS( 131 ),4101405.300000000279397,3915157.099999999627471,3675321.570000000298023,11691884.970000000670552
FS( 132 ),4095287.910000000149012,3877795.819999999832362,3686534.310000000055879,11659619.040000000968575
FS( 133 ),4109561.820000000298023,3880130.899999999906868,3677813.290000000037253,11667507.010000001639128
FS( 134 ),4102764.720000000204891,3889082.040000000037253,3700238.770000000018626,11692086.529999999329448
FS( 135 ),4091889.360000000335276,3913989.559999999590218,3706468.070000000298023,11712347.990000000223517
FS( 136 ),4076256.030000000260770,3905427.599999999627471,3708959.790000000037253,11690644.419999999925494
FS( 137 ),4123835.730000000447035,3913211.199999999720603,3728270.620000000577420,11765318.550000000745058
FS( 138 ),4166657.459999999962747,3952518.379999999888241,3738237.500000000000000,11857414.339999999850988
FS( 139 ),4153742.970000000204891,3940842.979999999981374,3775613.300000000279397,11870200.250000000000000
FS( 140 ),4081014.000000000000000,3959523.619999999646097,3800530.500000000000000,11841069.119999999180436
FS( 141 ),4150344.420000000391155,3928778.399999999906868,3794301.200000000186265,11873425.019999999552965
FS( 142 ),4082373.420000000391155,3843158.799999999813735,3824201.840000000316650,11749735.060000000521541
FS( 143 ),4337264.669999999925494,3861839.439999999944121,3829185.280000000260770,12028290.390000000596046
FS( 144 ),4317553.080000000074506,3859893.540000000037253,3798038.780000000260770,11975486.400000000372529
FS( 145 ),4343382.059999999590218,3840823.719999999739230,3781842.600000000558794,11966049.379999998956919
FS( 146 ),4399118.280000000260770,3840823.719999999739230,3818595.470000000204891,12058538.470000000670552
FS( 147 ),4432424.069999999366701,3854834.199999999720603,3822333.050000000279397,12109592.320000000298023
FS( 148 ),4429705.230000000447035,3829537.500000000000000,3873413.310000000055879,12132657.040000000968575
FS( 149 ),4419509.580000000074506,3838099.459999999962747,3858462.990000000223517,12116073.030000001192093
FS( 150 ),4463690.730000000447035,3892195.479999999981374,3864069.360000000335276,12219956.570000000298023
FS( 151 ),4505153.040000000037253,3871958.119999999646097,3854725.410000000614673,12231837.570000000298023
FS( 152 ),4552732.740000000223517,3927221.679999999701977,3842889.740000000223517,12322845.160000000149012
FS( 153 ),4628860.259999999776483,3893752.199999999720603,3838529.229999999981374,12361142.689999999478459
FS( 154 ),4788592.110000000335276,3891417.119999999646097,3859708.850000000558794,12539719.080000001937151
FS( 155 ),4791310.950000000186265,3871179.759999999776483,3855971.270000000018626,12518462.980000000447035
FS( 156 ),4880352.959999999962747,3878185.000000000000000,3849119.040000000037253,12607658.000000000000000
FS( 157 ),4946964.540000000037253,3874293.199999999720603,3875905.030000000260770,12697163.769999999552965
FS( 158 ),4832773.259999999776483,3837710.279999999795109,3847250.250000000000000,12517734.789999999105930
FS( 159 ),4876274.700000000186265,3863006.979999999981374,3864692.290000000037253,12603974.969999998807907
FS( 160 ),4875594.990000000223517,3891417.119999999646097,3892101.209999999962747,12659114.320000000298023
FS( 161 ),4999302.209999999962747,3910876.119999999646097,3741975.080000000540167,12652154.410000000149012
FS( 162 ),4981629.750000000931323,3917492.179999999701977,3650404.370000000577420,12549527.300000000745058
FS( 163 ),5014255.830000000074506,3923329.879999999888241,3646666.790000000037253,12584253.500000000000000
FS( 164 ),5072710.889999999664724,3904260.059999999590218,3662240.040000000037253,12639211.989999998360872
FS( 165 ),5105336.969999999739230,3905816.779999999795109,3641683.350000000558794,12652838.100000001490116
FS( 166 ),5199136.950000000186265,3883244.339999999850988,3670961.060000000055879,12753343.349999999627471
FS( 167 ),5267107.950000000186265,3863785.339999999850988,3680305.010000000242144,12811199.299999998882413
FS( 168 ),5286819.540000000037253,3862617.799999999813735,3664108.830000000540167,12813547.169999999925494
FS( 169 ),5293616.639999999664724,3872347.299999999813735,3675944.500000000000000,12841909.439999999478459
FS( 170 ),5177386.230000000447035,3889471.219999999739230,3700238.770000000018626,12767097.219999998807907
FS( 171 ),5148838.410000000149012,3887525.319999999832362,3673452.780000000260770,12709817.510000001639128
FS( 172 ),5152916.669999999925494,3898811.540000000037253,3728893.550000000279397,12780622.760000001639128
FS( 173 ),5263029.690000000409782,3773495.579999999608845,3723287.180000000633299,12759813.449999999254942
FS( 174 ),5293616.639999999664724,3768825.419999999925494,3742598.010000000242144,12805041.069999998435378
FS( 175 ),5360228.219999999739230,3761820.179999999701977,3779973.810000000055879,12902023.209999999031425
FS( 176 ),5516561.519999999552965,3766490.339999999850988,3799907.570000000298023,13082960.429999999701977
FS( 177 ),5725232.490000000223517,3786338.520000000018626,3804891.010000000242144,13316463.019999999552965
FS( 178 ),5685809.310000000521541,3815527.020000000018626,3814234.959999999962747,13315572.289999999105930
FS( 179 ),5685809.310000000521541,3800738.179999999701977,3789940.690000000409782,13276489.179999999701977
FS( 180 ),5836704.930000000633299,3803462.439999999944121,3783711.390000000596046,13423879.760000001639128
FS( 181 ),5884284.629999999888241,3800349.000000000000000,3774990.370000000577420,13459625.000000000000000
FS( 182 ),5850299.129999999888241,3764155.259999999776483,3772498.650000000372529,13386954.040000000968575
FS( 183 ),5819712.180000000633299,3728350.699999999720603,3778105.020000000018626,13326168.900000000372529
FS( 184 ),5787765.810000000521541,3718621.199999999720603,3784334.320000000298023,13290722.330000000074506
FS( 185 ),5893800.569999999366701,3773884.759999999776483,3812366.170000000391155,13480052.499999998137355
FS( 186 ),5966529.540000000037253,3788284.419999999925494,3805513.940000000409782,13560328.900000002235174
FS( 187 ),5997116.490000000223517,3778165.739999999757856,3811743.240000000223517,13587026.470000000670552
FS( 188 ),5921668.680000000633299,3799959.819999999832362,3788694.830000000540167,13510324.330000000074506
FS( 189 ),5821751.310000000521541,3817862.099999999627471,3812366.170000000391155,13451980.580000000074506
FS( 190 ),6007312.139999999664724,3827980.779999999795109,3822333.050000000279397,13657626.970000000670552
FS( 191 ),6110628.060000000521541,3868455.500000000000000,3778105.020000000018626,13757189.580000000074506
FS( 192 ),6062368.650000000372529,3793732.939999999944121,3753810.750000000000000,13609913.339999999850988
FS( 193 ),6153449.790000000037253,3838099.459999999962747,3779350.880000000353903,13770901.130000000819564
FS( 194 ),6177919.350000000558794,3848218.139999999664724,3745712.660000000614673,13771851.150000000372529
FS( 195 ),6102471.540000000037253,3801127.359999999869615,3733254.060000000055879,13636853.960000000894070
FS( 196 ),6080720.819999999366701,3835764.379999999888241,3725155.970000000204891,13641642.169999999925494
FS( 197 ),6047415.030000000260770,3799959.819999999832362,3746335.590000000316650,13593711.439999999478459
FS( 198 ),5876807.819999999366701,3773884.759999999776483,3723287.180000000633299,13373980.759999997913837
FS( 199 ),5633471.639999999664724,3758706.739999999757856,3773744.510000000242144,13165923.889999998733401
FS( 200 ),5920309.259999999776483,3779333.279999999795109,3854102.479999999981374,13553746.019999999552965
FS( 201 ),5907394.769999999552965,3788284.419999999925494,3865938.150000000372529,13561618.339999999850988
FS( 202 ),5704161.480000000447035,3708113.339999999850988,3846627.320000000298023,13258903.140000000596046
FS( 203 ),5563461.509999999776483,3733799.219999999739230,3890232.420000000391155,13187494.150000000372529
FS( 204 ),5551226.730000000447035,3704610.719999999739230,3708959.790000000037253,12964798.239999998360872
FS( 205 ),5440434.000000000931323,3681259.919999999925494,3598701.180000000633299,12720396.100000001490116
FS( 206 ),5923028.100000000558794,3705778.259999999776483,3573161.050000000279397,13201968.410000000149012
FS( 207 ),5900597.669999999925494,3729518.239999999757856,3672206.920000000391155,13302323.830000000074506
FS( 208 ),5855057.100000000558794,3789841.139999999664724,3677190.360000000335276,13322089.600000001490116
FS( 209 ),5670855.690000000409782,3792565.399999999906868,3669715.200000000186265,13133137.289999999105930
FS( 210 ),5652503.519999999552965,3782835.899999999906868,3679682.080000000540167,13115022.500000000000000
FS( 211 ),5689887.569999999366701,3794900.479999999981374,3675944.500000000000000,13160733.549999998882413
FS( 212 ),5649784.680000000633299,3776609.020000000018626,3674698.640000000596046,13101093.340000001713634
FS( 213 ),5488693.410000000149012,3731074.959999999962747,3656633.670000000391155,12876403.040000000968575
FS( 214 ),5529476.009999999776483,3717064.479999999981374,3687157.240000000223517,12933698.730000000447035
FS( 215 ),5517241.230000000447035,3640785.199999999720603,3678436.220000000204891,12836463.650000000372529
FS( 216 ),5526757.169999999925494,3577738.040000000037253,3677190.360000000335276,12781686.570000000298023
FS( 217 ),5539671.660000000149012,3575402.959999999962747,3687157.240000000223517,12802232.860000001266599
FS( 218 ),5502967.319999999366701,3576570.500000000000000,3701484.630000000353903,12781023.450000001117587
FS( 219 ),5420722.410000000149012,3536874.139999999664724,3679682.080000000540167,12637279.630000000819564
FS( 220 ),5371103.580000000074506,3541933.479999999981374,3697124.120000000577420,12610162.180000001564622
FS( 221 ),5302452.870000000111759,3558279.040000000037253,3687157.240000000223517,12547890.150000000372529
FS( 222 ),5147478.990000000223517,3487837.459999999962747,3842266.810000000055879,12477584.259999999776483
FS( 223 ),5150197.830000000074506,3496788.599999999627471,3888986.560000000055879,12535973.990000000223517
FS( 224 ),5449949.940000000409782,3552052.159999999683350,3926985.290000000037253,12928988.390000000596046
FS( 225 ),5408487.629999999888241,3554776.419999999925494,3969967.459999999962747,12933232.510000001639128
FS( 226 ),5540351.370000000111759,3554776.419999999925494,3969967.459999999962747,13065096.250000000000000
FS( 227 ),5489373.120000000111759,3562170.839999999850988,4053440.080000000074506,13104985.040000000968575
FS( 228 ),5460145.589999999850988,3543490.199999999720603,4068390.400000000372529,13072027.189999999478459
FS( 229 ),5556664.410000000149012,3537652.500000000000000,4091438.810000000521541,13185756.720000000670552
FS( 230 ),5623955.700000000186265,3506907.279999999795109,4076488.490000000223517,13207352.470000000670552
FS( 231 ),5609681.790000000037253,3476940.419999999925494,4100159.830000000074506,13186783.040000000968575
FS( 232 ),5447231.100000000558794,3374586.079999999608845,4083340.720000000204891,12905158.900000000372529
FS( 233 ),5479177.469999999739230,3359408.059999999590218,4110749.640000000130385,12949336.169999999925494
FS( 234 ),5464903.560000000521541,3388985.739999999757856,4080226.070000000298023,12934116.370000001043081
FS( 235 ),5549187.600000000558794,3450476.179999999701977,4107012.060000000521541,13106676.840000001713634
FS( 236 ),5551226.730000000447035,3439579.139999999664724,4103274.480000000447035,13094081.350000001490116
FS( 237 ),5634831.060000000521541,3415060.799999999813735,4249663.030000000260770,13299555.890000000596046
FS( 238 ),5546468.759999999776483,3369915.919999999925494,4206680.860000000335276,13123066.539999999105930
FS( 239 ),5594728.169999999925494,3405720.479999999981374,4218516.530000000260770,13218966.179999999701977
FS( 240 ),5555984.700000000186265,3423622.759999999776483,4178026.080000000074506,13157634.540000000968575
FS( 241 ),5549867.310000000521541,3491729.259999999776483,4212910.160000000149012,13254507.730000000447035
FS( 242 ),5575016.580000000074506,3522085.299999999813735,4220385.320000000298023,13317488.199999999254942
FS( 243 ),5687848.440000000409782,3511966.619999999646097,4243433.730000000447035,13443249.790000000968575
FS( 244 ),5704161.480000000447035,3487059.099999999627471,4224122.900000000372529,13415344.480000000447035
FS( 245 ),5687848.440000000409782,3450087.000000000000000,4268350.929999999701977,13406287.370000001043081
FS( 246 ),5609002.080000000074506,3410779.819999999832362,4217270.670000000856817,13237053.570000000298023
FS( 247 ),5652503.519999999552965,3438411.599999999627471,4192353.470000000204891,13283269.589999999850988
FS( 248 ),5542390.500000000931323,3429460.459999999962747,4247171.310000000521541,13219023.270000001415610
FS( 249 ),5554625.280000000260770,3467600.099999999627471,4272088.509999999776483,13294314.889999998733401
FS( 250 ),5578415.129999999888241,3437633.239999999757856,4272711.440000000409782,13288760.809999998658895
FS( 251 ),5525397.750000000931323,3431795.540000000037253,4254646.469999999739230,13211840.760000001639128
FS( 252 ),5670855.690000000409782,3445416.839999999850988,4343102.530000000260770,13459376.060000002384186
