代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10767791.859999999403954
真實報酬,767791.859999999403954

夏普值報酬,0.068079186000000
夏普值風險,0.025007086392609
夏普值,2.722395761391926

二次趨勢線,290.674623651982017 x^2 + -6266.959663662071762 x + 10000000.000000000000000
二次加權預期報酬,18731.057970408379333
風險,73014.665798254805850
二次加權趨勢值,0.256538296322053
一次趨勢線,7793.580271131477275 x + 10000000.000000000000000
一次預期報酬,7793.580271131477275
一次風險,154091.444075854495168
一次趨勢值,0.050577631469888
找到最佳解世代,1847
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](2),JNJ[12](1),NKE[19](3),PG[21](5),
FS( 33 ),2576283.830000000074506,2389018.899999999906868,2472436.140000000130385,2578832.500000000000000,10016571.370000001043081
FS( 34 ),2615999.379999999888241,2425146.790000000037253,2517948.560000000055879,2599644.279999999795109,10158739.009999999776483
FS( 35 ),2607157.049999999813735,2431286.169999999925494,2516666.520000000018626,2607527.529999999795109,10162637.269999999552965
FS( 36 ),2608206.139999999664724,2437189.419999999925494,2529486.919999999925494,2611311.489999999757856,10186193.969999998807907
FS( 37 ),2624991.580000000074506,2460330.159999999683350,2530127.939999999944121,2626132.000000000000000,10241581.679999999701977
FS( 38 ),2629787.419999999925494,2434591.989999999757856,2541666.299999999813735,2629600.629999999888241,10235646.339999999850988
FS( 39 ),2665756.219999999739230,2437661.680000000167638,2564743.020000000018626,2634330.580000000074506,10302491.500000000000000
FS( 40 ),2666205.830000000074506,2442620.409999999683350,2547435.479999999981374,2629285.299999999813735,10285547.019999999552965
FS( 41 ),2664857.000000000000000,2437425.549999999813735,2555127.719999999739230,2627077.989999999757856,10284488.259999999776483
FS( 42 ),2662459.080000000074506,2431050.040000000037253,2526281.819999999832362,2618248.750000000000000,10238039.689999999478459
FS( 43 ),2684340.100000000093132,2449468.180000000167638,2517948.560000000055879,2620771.389999999664724,10272528.230000000447035
FS( 44 ),2694231.520000000018626,2440731.370000000111759,2541025.280000000260770,2616672.100000000093132,10292660.270000001415610
FS( 45 ),2691683.729999999515712,2450176.569999999832362,2526281.819999999832362,2614149.459999999962747,10282291.579999998211861
FS( 46 ),2698877.489999999757856,2452065.609999999869615,2561537.919999999925494,2639375.859999999869615,10351856.879999998956919
FS( 47 ),2693931.779999999795109,2465761.149999999906868,2629486.040000000037253,2641583.169999999459833,10430762.139999998733401
FS( 48 ),2699327.100000000093132,2457024.339999999850988,2641024.400000000372529,2627393.319999999366701,10424769.160000000149012
FS( 49 ),2658712.330000000074506,2451121.089999999850988,2623075.840000000316650,2616987.429999999701977,10349896.689999999478459
FS( 50 ),2695730.219999999739230,2479220.560000000055879,2643588.479999999981374,2637483.879999999888241,10456023.140000000596046
FS( 51 ),2712665.529999999795109,2468830.839999999850988,2622434.819999999832362,2632753.929999999701977,10436685.119999999180436
FS( 52 ),2745187.319999999832362,2469539.229999999981374,2623075.840000000316650,2625501.339999999850988,10463303.730000000447035
FS( 53 ),2757326.789999999571592,2472845.049999999813735,2616024.620000000111759,2644736.469999999739230,10490932.929999999701977
FS( 54 ),2758226.009999999776483,2500236.129999999888241,2602563.200000000186265,2651358.399999999906868,10512383.740000000223517
FS( 55 ),2769915.869999999646097,2507556.159999999683350,2612819.520000000018626,2653881.039999999571592,10544172.589999997988343
FS( 56 ),2815925.959999999497086,2534947.239999999757856,2627562.979999999981374,2654827.029999999795109,10633263.209999999031425
FS( 57 ),2790597.929999999701977,2550059.560000000055879,2622434.819999999832362,2663656.269999999552965,10626748.580000000074506
FS( 58 ),2776959.759999999776483,2547462.129999999888241,2586537.700000000186265,2674377.489999999757856,10585337.080000000074506
FS( 59 ),2773962.359999999869615,2537544.669999999925494,2567948.120000000111759,2662710.279999999795109,10542165.429999999701977
FS( 60 ),2814727.000000000000000,2565408.009999999776483,2591024.840000000316650,2687936.679999999701977,10659096.529999999329448
FS( 61 ),2758975.359999999869615,2529043.989999999757856,2556409.760000000242144,2659241.649999999906868,10503670.759999999776483
FS( 62 ),2774411.969999999739230,2529043.989999999757856,2868586.500000000000000,2667124.899999999906868,10839167.359999999403954
FS( 63 ),2755078.739999999757856,2515820.709999999962747,2856407.120000000111759,2662710.279999999795109,10790016.849999999627471
FS( 64 ),2751182.119999999646097,2517001.359999999869615,2858971.200000000186265,2640637.179999999701977,10767791.859999999403954
