訓練日期,20120522 - 20120822
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11425028.539999999105930
真實報酬,1425028.539999999105930

夏普值報酬,0.133802854000000
夏普值風險,0.040607171290418
夏普值,3.295054783379411

預期報酬,23357.461903485822404
風險,88353.302533943380695
趨勢值,0.264364333121701
找到最佳解世代,1748
找到最佳解實驗#,2
找到最佳解次數,22

stock[index](rank)
投資組合檔數,5
AAPL[0](7),HD[9](9),MRK[17](2),PFE[20](14),WMT[28](3),
20120607,2037165.069999999832362,2152485.410000000149012,2038829.429999999701977,1946761.400000000139698,2089781.750000000232831,10265023.060000000521541
20120608,2067844.959999999962747,2199113.180000000167638,2045744.260000000009313,1964507.600000000093132,2164335.500000000000000,10441545.500000000000000
20120611,2035419.059999999590218,2157106.180000000167638,2046276.169999999925494,1960958.360000000102445,2142445.250000000000000,10342205.019999999552965
20120612,2053128.589999999850988,2194492.410000000149012,2066488.750000000000000,1968944.150000000139698,2148473.000000000000000,10431526.900000000372529
20120613,2038911.079999999608845,2141143.520000000018626,2042552.799999999813735,1968944.150000000139698,2127851.750000000000000,10319403.300000000745058
20120614,2036666.209999999962747,2191131.849999999627471,2063297.289999999804422,2001774.619999999878928,2145617.750000000000000,10438487.719999998807907
20120615,2045895.119999999646097,2178949.819999999832362,2071275.939999999711290,2006211.169999999925494,2149424.750000000000000,10451756.799999998882413
20120618,2087300.500000000000000,2197852.970000000204891,2066488.750000000000000,2007098.479999999981374,2161163.000000000000000,10519903.700000001117587
20120619,2093286.819999999832362,2225157.520000000018626,2086701.329999999841675,2015084.270000000018626,2151328.250000000000000,10571558.189999999478459
20120620,2087300.500000000000000,2219276.540000000037253,2085637.510000000009313,2011535.030000000260770,2173853.000000000000000,10577602.580000000074506
20120621,2058366.619999999646097,2153325.549999999813735,2098403.350000000093132,2005323.860000000102445,2147838.500000000000000,10463257.879999998956919
20120622,2074330.139999999664724,2185250.870000000111759,2137232.779999999795109,2016858.890000000130385,2135148.500000000000000,10548821.179999999701977
20120625,2033922.479999999981374,2164247.370000000111759,2115956.379999999888241,1993788.829999999841675,2163066.500000000000000,10470981.559999998658895
20120626,2038412.219999999739230,2179369.890000000130385,2131381.770000000018626,1991126.900000000139698,2175756.500000000000000,10516047.279999999329448
20120627,2047142.269999999552965,2165507.580000000074506,2155849.629999999888241,2006211.169999999925494,2176073.750000000000000,10550784.399999998509884
20120628,2027686.729999999981374,2171388.560000000055879,2163828.279999999795109,1999112.690000000176951,2166873.500000000000000,10528889.760000001639128
20120629,2081064.750000000000000,2225997.660000000149012,2220742.649999999906868,2040816.260000000009313,2211923.000000000000000,10780544.320000000298023
20120702,2111495.209999999962747,2226837.799999999813735,2226061.750000000000000,2040816.260000000009313,2200184.750000000000000,10805395.769999999552965
20120703,2135939.349999999627471,2169708.279999999795109,2223934.109999999869615,2029281.229999999981374,2244599.750000000000000,10803462.719999998807907
20120705,2173353.849999999627471,2189031.500000000000000,2214359.729999999981374,2011535.030000000260770,2255069.000000000000000,10843349.109999999403954
20120706,2158886.909999999683350,2190711.779999999795109,2207976.809999999590218,2000000.000000000000000,2263952.000000000000000,10821527.500000000000000
20120709,2187571.359999999869615,2189451.569999999832362,2240955.229999999981374,2009760.409999999916181,2276642.000000000000000,10904380.570000000298023
20120710,2167367.529999999795109,2193652.270000000018626,2200530.069999999832362,1991126.900000000139698,2287745.750000000000000,10840422.519999999552965
20120711,2153898.309999999590218,2170548.419999999925494,2192019.509999999776483,1982253.800000000046566,2292504.500000000000000,10791224.539999999105930
20120712,2134193.339999999850988,2165507.580000000074506,2282444.209999999497086,2011535.030000000260770,2294090.750000000000000,10887770.910000000149012
20120713,2155644.319999999832362,2188191.360000000335276,2312231.169999999925494,2023957.369999999878928,2321691.500000000000000,11001715.719999998807907
20120716,2162628.359999999869615,2161306.879999999888241,2305848.250000000000000,2052351.290000000037253,2315346.500000000000000,10997481.280000001192093
20120717,2162877.789999999571592,2130641.770000000018626,2350528.689999999944121,2095829.479999999981374,2319153.500000000000000,11059031.230000000447035
20120718,2160383.489999999757856,2138623.099999999627471,2337230.939999999944121,2100266.030000000260770,2311222.250000000000000,11047725.809999998658895
20120719,2189067.939999999944121,2140723.450000000186265,2337230.939999999944121,2111801.060000000521541,2269345.250000000000000,11048168.640000000596046
20120720,2153399.449999999720603,2129801.629999999888241,2309039.709999999497086,2102927.959999999962747,2292187.250000000000000,10987356.000000000000000
20120723,2151653.439999999944121,2140723.450000000186265,2301592.970000000204891,2094054.860000000102445,2279497.250000000000000,10967521.970000000670552
20120724,2141426.809999999590218,2149544.919999999925494,2270742.189999999944121,2074534.040000000037253,2288697.500000000000000,10924945.460000000894070
20120725,2048888.279999999795109,2145344.220000000204891,2267018.819999999832362,2070097.489999999757856,2286794.000000000000000,10818142.810000000521541
20120726,2048638.849999999627471,2222637.099999999627471,2304784.429999999701977,2084294.449999999953434,2337236.750000000000000,10997591.579999998211861
20120727,2085055.629999999888241,2256242.700000000186265,2398932.500000000000000,2114462.990000000223517,2364203.000000000000000,11218896.820000000298023
20120730,2120225.259999999776483,2236919.479999999981374,2365954.079999999608845,2103815.270000000484288,2378796.500000000000000,11205710.589999999850988
20120731,2176347.009999999776483,2191971.989999999757856,2349464.870000000111759,2133096.500000000000000,2361347.750000000000000,11212228.120000001043081
20120801,2162378.929999999701977,2170968.489999999757856,2355315.879999999888241,2124223.400000000372529,2335650.500000000000000,11148537.199999999254942
20120802,2165870.949999999720603,2158786.459999999962747,2335635.209999999497086,2122448.780000000260770,2349292.250000000000000,11132033.649999998509884
20120803,2194056.539999999571592,2196592.759999999776483,2348401.049999999813735,2154391.940000000409782,2365154.750000000000000,11258597.039999999105930
20120806,2218500.679999999701977,2184410.729999999981374,2366485.990000000223517,2152617.320000000298023,2356589.000000000000000,11278603.720000000670552
20120807,2212514.359999999869615,2201213.529999999795109,2340422.399999999906868,2106477.200000000186265,2347388.750000000000000,11208016.239999998360872
20120808,2208772.909999999683350,2217596.259999999776483,2343613.859999999869615,2114462.990000000223517,2357540.750000000000000,11241986.769999999552965
20120809,2212015.500000000000000,2232718.779999999795109,2355315.879999999888241,2118012.230000000447035,2342947.250000000000000,11261009.640000000596046
20120810,2215258.089999999850988,2228938.149999999906868,2370741.270000000018626,2124223.400000000372529,2337554.000000000000000,11276714.910000000149012
20120813,2244940.259999999776483,2218856.470000000204891,2362762.620000000111759,2104702.580000000074506,2328671.000000000000000,11259932.929999999701977
20120814,2250926.579999999608845,2298249.700000000186265,2362230.709999999497086,2127772.639999999664724,2348023.250000000000000,11387202.879999998956919
20120815,2247933.419999999925494,2310431.729999999981374,2343613.859999999869615,2133096.500000000000000,2361982.250000000000000,11397057.759999999776483
20120816,2267638.389999999664724,2365460.899999999906868,2337230.939999999944121,2131321.879999999888241,2289014.750000000000000,11390666.859999999403954
20120817,2309542.629999999888241,2383103.839999999850988,2305316.340000000316650,2110913.750000000000000,2283938.750000000000000,11392815.310000000521541
20120820,2370154.119999999646097,2376382.720000000204891,2327124.649999999906868,2121561.469999999739230,2293773.500000000000000,11488996.460000000894070
20120821,2337728.219999999739230,2365880.970000000204891,2284039.939999999944121,2102040.650000000372529,2266172.750000000000000,11355862.529999999329448
20120822,2383373.909999999683350,2379323.209999999962747,2282444.209999999497086,2102927.959999999962747,2276959.250000000000000,11425028.539999999105930
